第一話,プロ拷問官
拷問官,ｸｯﾁｬｸｯﾁｬｸﾁｬｸﾁｬｸﾁｬｸﾁｬｸﾁｬｸﾁｬｸﾞｯﾁｬｸﾞﾁｬｸﾁｬｸﾁｬﾆﾁｬｸﾁｬｸﾁｬ
食通,うわあああ！？。ひいい！？。や、やめろ……。やめてくれ……！この音は嫌いなんだ……！。何もかも喋るから、やめてくれえええええええ……っ！！！
助手娘,お疲れ様でしたー
拷問官,おう。奴のブログ見てたら、音立てて食事する奴が大嫌いだってのがすぐ分かったからな。責め方もすぐ決まった
助手娘,耳栓しててもすごかったですもん！先生のクチャ音。それじゃ、さっきはカツ丼でしたから、今度は天丼です！
拷問官,いただきまーす。うん……うまい。やっぱり飯は静かに食うに限るな
第二話,黒歴史ノート
青年,…………
拷問官,…………
助手娘,先生、今日はどう責めるつもりなんだろ？
拷問官,君のことは少し調べさせてもらったが――。君は中高生の頃、自分で架空のキャラやストーリーの設定を作るのが好きだったらしいな
青年,だからなに？
拷問官,それで……ノートにオリジナル設定を書き溜めるのが趣味だったとか
青年,それがどうしたってんだよ
拷問官,実はな……。ここに一冊のノートがある
青年,！！！。まさか……まさか……！
拷問官,ふっふっふ……そのまさかさ。ふむふむ……。架空の物語やキャラクターの設定がいっぱい書いてあるな。さて、こいつをどうしてくれようか？
青年,まさか……読み上げるつもりか！？
拷問官,ピンポーン
青年,やめろォ！なんの権利があって――
拷問官,じゃ、読み上げまーす。物語は――産声から始まる
青年,！
拷問官,魔炎王フレイムと氷女王アイスンの間に生まれた炎と氷の申し子セキドー
青年,あああっ……
拷問官,炎と氷の力を併せ持つセキドーは、やがて竜皇帝の一人娘ミナと恋に落ちる。時を同じくして、宇宙大帝ゼロ＝オヴラートが次元の彼方から蘇る。ゼロ＝オヴラートに立ち向かえるのは、セキドーとミナの二人だけ。果たして二人の運命は！？ゼロ＝オヴラートの唱える≪零計画≫とは一体……！？
青年,うわああああああああっ……！！！。ってちょっと待てよ？。セキドーだとか、ゼロなんちゃらだとか、僕書いた記憶がないぞ……？
拷問官,オリジナルモンスター≪スラーレム≫。HPは3000、攻撃力は1700、防御力300。スライムの軟体とゴーレムの剛力を併せ持つ、A級モンスターである
青年,スラーレムってなに！？
拷問官,スラーレムの特殊能力≪軟体回避≫――相手の攻撃を30％の確率で……
青年,ちょっと待って、ちょっと待って
拷問官,なんだ
青年,さっきから読んでるそれ、なんなんだ！？
拷問官,ああ、これ？これは……俺が書き溜めてきたノートだ
青年,は？
拷問官,まだまだたっぷりあるから、是非聞いてってくれよな！
青年,えええ……
拷問官,邪悪聖竜ヴァリアブルエクスタシー、HP75000、攻撃力8000、防御力……。私立ホメロス学園で、俊樹と美奈は恋に落ちる……。ネオ江戸で、正義の忍者クロフネは、ジャスティス忍術で悪を成敗……
青年,ひいいいいっ……！ある意味、自分の黒歴史を披露されるよりキツイ！。もういい！ギブアップ！自白するから許して下さいっ！
拷問官,なんだ、まだ20冊以上あるのに
青年,冗談じゃねえ！
刑事,よく吐かせてくれた。まさかお前の黒歴史ノートで、自白させるとはな……
拷問官,黒歴史？なにいってんだ？
刑事,え？
拷問官,俺は書き溜めたノートを恥ずかしいだなんて思ったことは一度もないぞ
助手娘,そうです！先生は今でも自分の考えた設定がアニメ化、ゲーム化することを夢見てるんですから！
刑事,マジで……？
拷問官,大マジだよ。今日も帰りにこのノートを、アニメ制作会社に持ち込むつもりだ
助手娘,今日こそ門前払いされないといいですね！
刑事,万が一こいつの考えた物語がアニメ化されたら、それこそ凄まじい拷問器具になりそうだ……
第三話,お袋の声で
立てこもり犯,10億円と逃走手段をすぐ用意しろ！でないと人質を撃ち頃す！
刑事,今回の相手は、あの立てこもり犯だ
拷問官,俺は拷問官であって、交渉人じゃないんだがな
刑事,分かってるさ。お得意の拷問術で、奴に少しだけスキを作ってくれればいい。そうすれば、近くに潜んでる特殊部隊を突入させられる
拷問官,仕方ないな……引き受けるよ
刑事,私に出来ることはあるか？
拷問官,一つだけ。犯人のお袋さんの電話番号を教えてくれ。それくらい調べてるだろ？
刑事,母親を呼び出すつもりか？無理だ、犯人の母親は遠方で暮らしている。それに情に訴えて通用する犯人では……
拷問官,いいから。一言でも声を聞ければいいんだ
刑事,分かった。えぇっと、電話番号は――
拷問官,じゃ、始めるか。もうやめて！お願いだから！
立てこもり犯,！？。お袋の声！？
拷問官,立てこもりなんてやめてええええ！お母さん、泣いちゃうわ！
立てこもり犯,ふん、やめるか！大した声真似だが、お袋の声で説得しようとしたって無駄なんだよ！。先にいっとくが、お袋本人に説得されたってやめねえぜ！
拷問官,…………。……好き
立てこもり犯,え？
拷問官,愛してる
立てこもり犯,ひっ！
拷問官,あたし、あんたのこと好きなの……。愛してしまったの……チュッ
立てこもり犯,うげええええ……。やめろっ！お袋の声で愛の告白なんてやめてくれえええええええ！！！
刑事,よし、今だ！突入してくれ！
隊員,うおおおおおっ！
立てこもり犯,し、しまった！
隊員,立てこもり犯を確保しましたァ！！！
刑事,……また助けられたな
拷問官,こういうのはこれっきりにしてくれよな
刑事,それにしても、まさか声帯模写までできるとはな
拷問官,大切な人の声で尋問されるってのは、結構ダメージを与えられるからな。当然身につけてる
刑事,ところで……一つ頼みがあるんだが
拷問官,？
刑事,アイドルの○○ちゃんの声で刑事さん、好きっていってくれないか？
拷問官,……お前のお袋さんが聞いたら泣くぞ
第四話,虫の居所が悪い日
女,ふん、吐かないわよ！
拷問官,……くっ！なんてしぶとい女だ！。これは長期戦になる！助手、お茶持ってこい！
助手娘,はいっ！
拷問官,…………
助手娘,お茶です
拷問官,遅いぞ、バカ！
助手娘,すみません……
拷問官,俺はとろい奴が嫌いなんだ……。ぶっ！。なんだ、このぬるさは！？お前、まともに茶も入れられねえのか！？
助手娘,いえ、そんな……
拷問官,俺はお湯を沸騰させたぐらいのが好きなんだよ！今すぐ入れ直してこい！
助手娘,はいっ！。入れ直してきました！
拷問官,ったく……。ぶっ！。あっちーよ、バカ！俺をヤケドさせる気かァ！？口内炎できたらどうすんだァ！？
助手娘,さっき、沸騰したのが好きだって……
拷問官,たとえ話だっつうの！普通少し冷ましてから持ってくるもんだろがよ！
助手娘,じゃあ、また入れ直して……
拷問官,もういいよ！いらねえよ！。そもそも、この女が吐かないのも、全部お前が悪いんだ！
助手娘,そんな……
拷問官,クズ！カス！ゴミ！使えねーんだよ、このバカ女！
助手娘,ひ、ひどい……
拷問官,ひどい？ひどいのはお前のツラだろうが、このボケェ！！！
女,…………。もうやめてっ！
拷問官,！
女,もうパワハラをやめてぇっ！！！
拷問官,…………。ってことは、やはり……？
女,ええ、そうよ……私がやったのよ。上司のパワハラに耐えかねて、殺してしまったのよ……。うっ、うっ、うっ……
拷問官,よく打ち明けてくれた、スッキリしただろ
女,…………
拷問官,……後は刑事たちに任せよう
助手娘,……はい
拷問官,さっきはすまなかったな。吐かせるためとはいえ、罵詈雑言浴びせちまって
助手娘,いえいえ。それに、先生にパワハラされるのって……結構快感でしたから
拷問官,おいおい……
第五話,拷問官の敗北
刑事,今日はこの容疑者を何とか自白させてもらいたい
拷問官,分かった
刑事,いったいどう責めるつもりなんだ？
拷問官,それは容疑者のデータを見てからだ。少し時間をくれ。ふむふむ……
新米,我々よりも熟読してますね……
刑事,当然だろうな。相手を傷つけず自発的に喋らせるってのは生半可な難易度じゃない。取り調べの可視化も進む昨今、入念な下準備があって、初めて成し遂げられるんだからな
新米,行き当たりばったりにやってると思ってましたが、全て計算されたものなんですね
助手娘,真剣な先生の横顔……素敵だなぁ
拷問官,――よし、責め方は決まった。この方法なら確実に吐かせることができる。取調室に行くぞ！
助手娘,はいっ！
刑事,お、ついに始まるか
新米,今日はいったいどんな拷問を見られるんだろう……？
拷問官,さて、と……取り調べを始めさせてもらう
男,……あの
拷問官,どうした？
男,ずっと考えてたんですけど、やっと自白する決心がつきました！
拷問官,……え？
男,さっそく、犯行の手口から……
拷問官,ちょっと待ってくれ！せっかくこっちも色々と考えてきたのに……
助手娘,先生、こらえて！
拷問官,まだ自白しないでぇぇぇ……！
男,…………？
拷問官,ふぅ……
助手娘,落ち込まないで下さい、先生！次がありますって！
新米,事件は迷宮入りにならずに済みそうですけど、あの人の心はしばらく迷宮入りっぽいですね
刑事,拷問官にとって、初めての敗北かもしれんな……
第六話,VSゲーマー
刑事,今日自白させて欲しい容疑者は、ゲーマーだ
拷問官,ゲーマーね……。つまり、ゲームが得意ってことか。となると、責め方もゲームを用いた方法にするべきだろうな
助手娘,ゲームを用いた方法……ですか。大音量でゲームをしたりとか？怖いゲームをプレイしたりとか？
拷問官,甘いな……。俺が考えてる方法はもっとすごい方法だ。奴の一番好きなゲームは？
刑事,セブンアドベンチャーってゲームだ。スピードクリアの世界記録も持ってるとか
助手娘,知ってます！大人気のアクションRPGですよね！
拷問官,どんなストーリーなんだ？
助手娘,えぇっと、凄腕の冒険者が七つのお宝を集めつつ、ヒロインの死や大災害などを乗り越え。最終的には竜魔王を倒し、世界を救うというお話です！
拷問官,オーソドックスな冒険譚って感じか
刑事,ちなみに、ゲーマーはこのゲームのヒロインが大のお気に入りだそうだ
拷問官,…………。よし、取り調べを始めよう
ゲーマー,なんで、テレビゲームなんて持ち込んでるの？
拷問官,今から俺がこのゲームをプレイするからだ
ゲーマー,あっ、それは……！
拷問官,そう、ご存じセブンアドベンチャーだ。これからお前の目の前でプレイさせてもらう。いっとくけど、アドバイスするんじゃないぞ。自力でクリアしたいからな
ゲーマー,誰がするかよ
拷問官,…………。お、最初のボスだ
助手娘,こいつはちゃちゃっと片づけちゃいましょう！
拷問官,ああ、分かってる。なかなかかっこいいBGMだな
ゲーマー,取り調べ中にゲームだなんて、なに考えてんだこいつ……？
拷問官,またゲームオーバーかよ！こいつ、つええ！
助手娘,頑張って下さい！
拷問官,もちろんだ。こんな最初のボス如きでつまずいてたまるか！。またやられた！なんで！？
助手娘,先生、防御しないと防御！
拷問官,防御ってどうやるんだっけ？
助手娘,このボタンを押すんです！
ゲーマー,なんでこんなチュートリアル戦闘で手こずってんだよ！。ゲーム中でされてる説明を全く読んでねえのか！？
拷問官,今ジャンプしただろォ！？ボタン押したってぇ！
助手娘,先生、お茶をどうぞ
拷問官,……ありがと。コントローラーが悪いんじゃないかな……新しいの買ってこようかな
助手娘,これも新しいらしいですよ
拷問官,マジで！？ってことは不良品か……？
助手娘,さっきあたしがプレイした時は、特に異常はありませんでしたけど
ゲーマー,とうとう道具のせいにし始めたぞ、こいつ……
拷問官,よし、もう一回……
助手娘,次こそ勝てますよ！
ゲーマー,もうやめてくれえええええ！！！
拷問官,！
ゲーマー,こんなド下手なプレイを見続けるくらいなら、とっとと白状した方がマシだ！
拷問官,分かった……じゃあ通常の取り調べに戻ろうか
助手娘,そうか、これを狙ってわざと下手くそなプレイをしてたんですね！
拷問官,…………
助手娘,仕事は終わったのにまだプレイしてるんですか？
拷問官,…………。本当は……ゲームを中盤ぐらいまでさっくり進めて。ヒロインが死ぬシーンを何度も見せるって拷問をやろうとしたんだけどなぁ……
第七話,冥土拷問
メイド助手娘,ど、どうですかね？
刑事,お～、似合ってるよ！
新米,うん、可愛い！
メイド助手娘,ありがとうございます！。先生、いかがですか？メイド服姿のあたしは……
拷問官,うん、バッチリだ
メイド助手娘,ホントですか！
拷問官,田舎のメイド喫茶にいそう
メイド助手娘,それ、どういう意味ですか！。いらっしゃいませ、ご主人様！
キモオタ,…………！。萌え～！。いいねぇ～！メイド服に着られちゃってる感があるけど、それがまたいい！
メイド助手娘,あ、ありがとうございます……
キモオタ,じゃあさじゃあさ、リクエストに応えてくれない？
メイド助手娘,なにをすればいいでしょう、ご主人様？
キモオタ,両手でハートマークを作って……こっちに向けて！
メイド助手娘,は、はい！。こう……ですか？
キモオタ,いいよいいよー！もう最高！
刑事,…………。……なぁ。これのどこが拷問なんだ？ただ喜ばせてるだけじゃないか
メイド拷問官,ここで俺の出番ってわけだ
刑事,え゛。お前、なんて格好してやがる！
メイド拷問官,今あのキモオタは、メイドに扮した助手を見て、舞い上がってる。そこへ俺が登場したらどうなる？
刑事,天国から地獄だな……
メイド拷問官,そういうことだ。あのキモオタを文字通り冥土に叩き落としてやるよ
メイド助手娘,それじゃあたしはこれで……
キモオタ,ええっ、もう行っちゃうの……？
メイド助手娘,代わりに他のメイドが来ますから！
キモオタ,ふうん、なら仕方ないか
メイド拷問官,どうも～！新しいメイドでーっす！
キモオタ,！？
メイド拷問官,吐いて下さいませ、ご主人様！
キモオタ,あ、あわわわ……。萌え～～～～～～～～～～！！！！！
メイド拷問官,！？
第八話,助手の戦い
拷問官,……やるな
頑固男,…………
拷問官,久しぶりに手強い相手だ……他の手を考える必要があるな。ちょっと休憩してくる。しばらくこいつの相手しててくれ
助手娘,分かりました！
頑固男,…………
助手娘,…………。どうしよう、二人きりになっちゃって……うーん……。あのー、肩でも揉みましょうか？
頑固男,いらねえ
助手娘,ですよね……ア、ハハ……
頑固男,…………。あんたはさっき出てった男のなんだ？恋人か？
助手娘,いえいえいえ、違います！ただの助手です、助手！。あ、でも、いつかは……だなんて思ってますけど。あーっ！今の内緒！ナイショにして下さいね！
頑固男,……喋らねえよ
助手娘,よかった……あなたが口が固い人で。あ、でも口が固い人だから先生は苦戦してるのか。うーん、難しい……
頑固男,ったく、おかしな娘だ……。しかし、なんでまたあんた、さっきの男の助手に？
助手娘,あたし、昔先生に助けられたことがあるんです
頑固男,ほう？
助手娘,あたし、悪い人に財布を盗まれて、追いかけて問い詰めたんですけど――。こんな具合に開き直られてしまって……
頑固男,ふん……俺がいえた義理じゃねえが、悪い奴もいたもんだな
助手娘,そこへ先生が現れたんです。先生は一部始終を見ていたんでしょうね。すぐさまその悪い人から自白を引き出して、財布を取り戻してくれたんです。さっそうと去っていった先生の姿に憧れて……あたしは先生の助手になったんです
頑固男,ふうん……。あんた、不思議な子だな
助手娘,あ、それミステリアスってことですか？
頑固男,いや、単純にわけ分からん子だなってことさ
助手娘,あらら……
頑固男,ちょっと……肩揉んでくれねえか
助手娘,はいっ！
頑固男,ありがとよ。俺も昔結婚してて、別れた娘がちょうどあんたぐらいの年頃のはずだ
助手娘,へぇ～、だったら会いに行きましょうよ！
頑固男,いや俺、今まさに警察に捕まってるんだけど
助手娘,あ、そうでした……
頑固男,……ククッ。アハハハハハッ！おもしれえ娘だな、ホント！
助手娘,ありがとうございます！
頑固男,褒めてねえって。……おう、娘さん
助手娘,なんでしょう？
頑固男,さっきの男か他の刑事を呼んできてくれ
助手娘,へ、どうしてです？
頑固男,なんか、全部吐き出したくなっちまったのさ。あんたと話してたらな
助手娘,……はい！すぐ呼んできます！
拷問官,まさか、お前が奴を自供させるとはな！やるじゃんか！
助手娘,向こうから話してくれただけなんですけど……
拷問官,そんな奴じゃなかったろ、いったいどんな手を使ったんだよぉ～
助手娘,いえ、あたしは普通にしてただけで……
拷問官,いやいや、きっと俺も知らない拷問奥義を開眼したんじゃ？
助手娘,本当ですってば～
第九話,鞭を振るう時
拷問官,今日もいっぱい吐かせたな～
助手娘,はい、お見事でした！
拷問官,よかったら、どこかでメシ食うか？おごってやるよ
助手娘,いいんですか、やったぁ！。きゃっ！？
元囚人,へっへっへ……
拷問官,！？
元囚人,おっとぉ、動くなよ！こいつのツラに傷がついちまうぜ？
助手娘,ひっ……！
拷問官,お前は……！
元囚人,覚えててくれたようだな。俺はあんたのせいで全部ゲロっちまって、三年もブタ箱に入るはめになった……。今こそその復讐をしてやるぜ！
拷問官,復讐するなら俺をやれ。助手を放せ！
元囚人,放さねえよ……こいつは利用価値がありそうだからな。なんだったら、あんたの目の前でこいつを傷つけるのが一番の復讐になるんじゃねえか？
助手娘,先生、逃げて！あたしはどうなってもいいから！
元囚人,大人しくしてろ！
助手娘,あうっ！
拷問官,…………。放すつもりはないのか？
元囚人,ねえよ！
拷問官,なら……これを使うしかないか
元囚人,！？。なんだありゃ、鞭……！？
助手娘,先生が鞭を……！？はじめて見た……！
拷問官,いくぞ
元囚人,う！？。なんて鞭捌きだ！やべえ、あんなのでブッ叩かれたら……！
拷問官,はっ！
元囚人,ひえっ！。…………。…………？。あれ……痛くない……？
拷問官,…………
元囚人,――え！？。こいつ、自分で自分を叩きやがった！
助手娘,先生！？
拷問官,…………
元囚人,な、なにやってんだお前！？なんで自分を！？
拷問官,俺は相手を傷つけないのが信条なんでな。今この場ではこうすることしか思いつかなかった。放してくれ……俺の助手を返してくれ……。頼む……
元囚人,どんどん傷が……
助手娘,先生やめて！死んじゃう！
元囚人,わ、分かったよ……行け
助手娘,！
元囚人,もうあんたには手を出さねえよ……じゃあな
拷問官,……ありがとう。ううっ……！
助手娘,先生、しっかりして！死なないでぇぇぇ！
拷問官,……なーんてな
助手娘,へ？
拷問官,俺は拷問のプロだぞ？死ぬような鞭の打ち方するわけないだろ。打ったらヤバイ箇所は打ってないし、傷跡もほとんど残ることはない
助手娘,よかったぁ……。だけど、それでも自分を打つなんて……！
拷問官,俺にとっちゃ、お前を傷つけられるなんてのは、一番の拷問だからな。それに比べりゃ、鞭程度どうってことない
助手娘,先生……！。先生ーっ！！！
拷問官,いだぁ～～～～～～～～～い！！！！！
助手娘,あっ、ごめんなさい！
拷問官,危うくショック死するとこだった……
最終話,いつか吐かせてみせます
拷問官,ご清聴ありがとうございましたー！。じゃあもう一曲歌います！
チャラ男,もうやめてくれ……これ以上あんたのカラオケを聴きたくない！。俺のやったこと、全て吐くよ……！
拷問官,もっと歌いたかったなぁ……。さて、今日はもう帰るか
助手娘,は、はいっ！。…………
拷問官,？どうした？最近、様子がおかしいぞ
助手娘,いえ……
拷問官,いいたいことがあるなら、はっきりいえよ。報・連・相ってやつだ
助手娘,…………
拷問官,よぉし、だったら吐かせてやるよ。俺はお前の弱点を知り尽くしてるからな
助手娘,え……。いったいどんな拷問を……！？
拷問官,とっておきの怖い話をしてやる。むかしむかし、あるところに……
助手娘,キャーッ！あたし先生のことが好きです！
拷問官,……へ
助手娘,あ、す、すみませんっ！あっさり吐いちゃいました！
拷問官,ふうん、そうだったのか……。お前、俺のことをねえ……
助手娘,元々好きだったんですけど、この前の元囚人さんとの事件でさらに惚れちゃって……
拷問官,…………
助手娘,あの……
拷問官,ん？
助手娘,へ、返事は？先生は、あたしのことどう思ってますか？
拷問官,そうだな……。ただ答えるのもつまらないから、お前も拷問官の助手なら俺に吐かせてみろ！
助手娘,ええっ！？
拷問官,ほら、どんな拷問でもいいからやってみな
助手娘,よぉーし……。くすぐり！
拷問官,へっちゃら
助手娘,黒板を爪で引っかく！
拷問官,ダメダメ
助手娘,耳に息を吹きかける！
拷問官,ぬるいぬるい
助手娘,ビンタ！
拷問官,いだいっ！
助手娘,はぁー、はぁー、はぁー……
拷問官,こんなんじゃ、とても俺を吐かせることはできないな
助手娘,うう……いつか吐かせてみせますから！
拷問官,期待してるよ
助手娘,あーあ、はぐらかされちゃった。でも、吐かせた結果、答えが俺はお前が嫌いだったらどうしよう……
刑事,よっ、助手ちゃん
助手娘,刑事さん！
刑事,今あいつを拷問してたけど……。あいつは拷問官だけあって、拷問への耐性も並大抵じゃないからな。きっと苦労するぞ？
助手娘,ですよね……
刑事,だけど、一つだけアドバイスだ
助手娘,なんでしょう？
刑事,あいつは人の嫌がることをやる仕事をしてるから、人にいい返事をする時は勿体ぶるとこがあるんだ。ようするに照れ臭いんだな。いい年して子供みたいな奴だろ？
助手娘,へ？それってどういう――
刑事,おっと、これから事件現場に行くんだ。それじゃ頑張りなよ
助手娘,はいっ！
拷問官,吐けぇ！吐きやがれぇ！
チンピラ,へっ、誰が吐くかよ
拷問官,うぷっ！ううう……！うぷぷぷぷぷっ……！
チンピラ,ひっ、やめろ！分かった、吐くから吐くんじゃねえ！
拷問官,……よし、それじゃ吐いてもらおうか
チンピラ,ちくしょう……負けた
拷問官,うぷっ、今日は迫真の演技をしすぎたな……マジで吐きそう
助手娘,あ、そうだ。よかったら、今日は胃に優しい手料理をご馳走しましょうか？
拷問官,え、いいの？助かるよ！。もし、美味かったら、こないだの返事を吐いちゃうかもしれん
助手娘,よーし、腕を振るいますよ！あ、だけど、あたしの料理は吐かないで下さいよ？
拷問官,当たり前だろ。せっかくのお前の手料理、どんな拷問を受けたって吐くもんか
