第一話,フードコートで水ばかり飲んでるクソ女
女,今はイラストレーターも積極的に顔を出す時代で、私も顔出ししたんですけど。そしたら、ネット上でこいつちょっと太ってるなって意見が出てて……。それ以来、食事が手につかなくなってしまったんです……
男,…………。“そんなことで”といいたいとこだけど、ここまでげっそり痩せちゃうってことは。よっぽどショックだったんだろうな……。ちょっと待っててくれ
女,？
男,これ……食べなよ
女,え
男,うどんだ……ここのうどんはヘルシーでうまいよ
女,あの、私の話聞いてました！？私は痩せたいんですよ！？。なんでうどんなんか食べさせようとするんです！？炭水化物じゃないですか！
男,なんでって……
女,どうせ、あなたもこういうんですよね！？。太ってる方が可愛いよって！絶対そう！心にもないことを！
男,そんなこというつもりはないよ。俺だって痩せてる方が好みだし
女,……だったらなんで！
男,俺はね、太い細いより、人がうまそうにメシ食ってるところを見るのが好きなんだ
女,！
男,だからこうして、毎晩のようにフードコートに来てる。できれば、あなたにもうまそうにうどんをすすって欲しい
女,…………
男,…………。――ってちょっと待て！俺なにいってるんだ！？。冷静に考えて気持ち悪すぎるだろうが！人が食ってるのを見るのが好き、だなんて。課長や先輩にいびられたせいか、とんでもないこと口にしちまった！
女,ありが……とう……
男,！
女,いただきます……
男,おお……うまそうに食べるじゃないか、この子
女,おいしい……
男,ハ、ハハ……どうも
女,本当に、おいしい！
男,う～ん、いい食べっぷりだ
女,ごちそうさまでした……
男,なかなかの食べっぷりだったよ。見てて心地よかった
女,ありがとうございます。私、これからはフードコートでおいしそうにご飯を食べます！
男,それはなによりだ
女,じゃあさっそく、うどんをおかわりしちゃおっかな。食べたらお腹減ってきちゃった！
男,リバウンドしないように注意してね……。いい食べっぷりだったなぁ～。あの子の食べっぷり見てたら、俺も元気出てきたよ。よーし、今日も頑張るぞ！
先輩,ちっ、あれだけいびったのに、もう元に戻ってやがる！
課長,もっと落ち込むと思ったのだが……面白くないな……
第二話,フードコートで勉強ばかりしてるクソ受験生
男,すっかり元気になったね
女,ええ、おかげさまで
男,いやぁ～、よかったよかった。あの時の君は本当に枯れ枝みたいだったから
女,ご心配をおかけしました……
男,ところで、今はどんな仕事を？
女,子供向け雑誌へのイラストを請け負ってます
受験生,…………。あの、あなたたち
男,？
女,なに？
受験生,さっきからうるさいです。勉強の邪魔ですよ。もう少し静かに話して下さい
男,へ……？
女,あ、ごめんなさい……
受験生,…………
男,おい、ちょっと待てよ
受験生,なんです？
男,静かにしろって、ここはフードコート、図書館じゃなく飯を食う場所なんだ。勉強してるそっちの方がおかしいんじゃないか？
受験生,ふぅ……やれやれ。そう来ましたか
男,やれやれ、とはなんだよ
受験生,あなた、学歴は？
男,は？
受験生,大卒ですよね？どこの大学を卒業されたんですか？
男,なんなんだ、いきなり……！。○×大学だけど
受験生,やれやれ……やはりね。大したレベルの大学じゃないですね。いうことが幼稚だ
男,……なんだと！
受験生,いちいち怒らないで。出来の悪い頭を冷やして、ボクの話を聞いて下さい。まず一つ、ボクはちゃんとご飯を食べています。ほらこの通り、フードコート内で買ったレタスバーガー。つまり、あなたの“飯を食う場所なんだ”という批判は的外れです。単なるハンバーガーにしなかったのは、レタスがある方が栄養的にも優れていると考えたからです
男,はぁ……。だけど、勉強なら家でやりゃ――
受験生,それともう一つ、ボクは一流大学を目指しています。合格するには、よりよい環境で勉強することが必要です。ここは予備校から近く、非常にいい地理的条件が揃っているのです。ボクが一流大学に受かれば、この国の政治や経済に大きく寄与することはいうまでもありません。少なくとも、○×大学にしか入れず、しがないサラリーマン生活を送り。フードコートで食事するのだけが楽しみのあなたよりずうっとね。ですから、あなたなんかにボクに意見する権利はないんです。お分かりですか？
男,うぐぐぐぐ……！。こいつ、いわせておけば……！
女,まあまあ！落ち着いて！
男,！
女,ごめんなさいね。もう少し静かな声でお話しするから、ね？
受験生,分かって下さればいいんです。…………
男,くそっ、高校生にここまでいわれて、引き下がるなんて……！。だけど、これ以上言い合いしても、勝てなかっただろうなぁ……
先輩,おい！
男,はい
先輩,お前、たしか○×大学出だったよな？
男,そうですけど……
先輩,へっ、中途半端な大学だな！どうりで仕事っぷりも中途半端なはずだ！。中途半端は中途半端らしく、足引っぱらないことだけ考えろよ！
男,せいぜい気をつけます……
課長,私の世代にも○×大学出がいるが、やはり使えないのが多いよ
先輩,あ～、やっぱりぃ！ですよねぇ！
男,○×大学出を後悔してるわけじゃないけど、やっぱり学歴は大事なのか……。……今日はなるべく静かな声で話そうか
女,そうですね
受験生,…………
男,ん？あいつ、なんだか落ち込んでるな。なにかあったのか？
受験生,このボクが……。このボクが、B判定だなんてぇぇぇぇぇ！！！
男＆女,！？
受験生,うあぁぁぁぁ……！
男,お、おい……
受験生,…………
男,どうしたんだ？何があった？
受験生,この間の模試で、判定がB判定だったんですよ……
男,B判定？。B判定って……なんだ、60％以上じゃんか。まだ受験シーズンまで時間あるし、落ち込むことなんて――
受験生,これから低学歴は！
男,な……！
受験生,ボクの志望大学に受かるなら、今の時期からA判定を楽勝で取れるぐらいじゃなきゃ。ダメなんですよ！偏差値の低い慰めをしないで下さい！
男,お、お前……受験勉強する前にちったぁ口のきき方を勉強したらどうだ！？
受験生,少なくともあなたレベルの人間に対してなら、これで十分です！
男,あなたレベル……何様だ、お前！
女,二人とも落ち着いて！
中年男,ウ～イ……
男,うわっ！？（酒くさっ！）
受験生,なんですか、あなたは？
中年男,ま、飲みねえ
男,は、はい……（おいおい、ストロングゼロかよ）
中年男,そっちの兄ちゃんも
受験生,ぼ、ボクはいいですよ
男,そうですよ。こいつ、まだ高校生……未成年ですよ？飲ませちゃまずいですよ……
中年男,兄ちゃんはいっつもここで勉強してるが、こういうことだって勉強なんだぜえ？
男,いやいや……その理屈はおかしい――
受験生,…………。いいですよ、飲んでやりますよ、このくらい！どうせB判定なんだ！。偏差値ゼロのボクには、ストロングゼロが相応しい！
男,バ、バカ！ヤケになんなよ！
中年男,おお～、いい飲みっぷりじゃねえか！
受験生,ふん、どうってことないれふ……
男,おいおい……
女,わ、私、水持ってきます！
男,頼むよ！。おばちゃん、あのおっさんと受験生を止めてくれよ！
清掃女,いいんじゃないのかい？あたしゃ小学生のころから飲酒してたよ
男,マジで！？
清掃女,ただし、缶を燃えるゴミのとこに捨てたら許さないからね
中年男,…………
受験生,…………
男,…………。ええい、俺も付き合ってやる！
受験生,お？いい飲みっぷりれふねえ～
男,たりめーだろうが！中堅大学出たサラリーマン舐めんなよ！
中年男,よっしゃ、次はビールいくか！
受験生,うう……
男,ほら、水！
受験生,ども……
男,やべぇ～、前途ある未成年と一緒に飲酒した上、酔い潰しちまった
中年男,おう、兄ちゃん
受験生,なんれふか……？
中年男,ちったぁ、勉強になったかい？
受験生,……うぅ、なりまひた……
中年男,人生なんだって勉強だ。たかが模試の成績で、落ち込んでるヒマなんかねえはずだぜ
受験生,……はい。ボクはこんな状態になって……改めて分かりまひた。ボクはやっぱり、勉強が好きなんらって……。いろんな教科の勉強をするの……楽しいって……
中年男,それもまた、勉強だ
男,ふうん、こいつ……案外、大物になるかもな
受験生,ボクはもうヘロヘロなのに……あなたはへっちゃらだ。すごいれすね
男,そりゃま、仕事で酒はそこそこ飲むからな。缶の一本や二本なら……
受験生,色々と生意気なこといいました……本当にすみません
男,こっちこそ色々と大人げなかった。受験、頑張れよ
受験生,はい！。ウ～イ……
男,といっても、この状態じゃ今日勉強は無理だな……明日から頑張れ！
受験生,どうですか、この模試判定。再びA判定に返り咲きましたよ……まぁ、これがボク本来の実力ってことでしょうね
男,模試はしょせん模試だからな。油断するなよ
受験生,○×大学出のあなたにいわれるまでもありません。勝って兜の緒を締めますよ
男,ぐぬぬ……（すっかり元に戻りやがって……）
女,よーし、受験生君の合格祈願に今日はカツ丼を食べましょー！
男,おっ、いいね！
第三話,フードコートで騒ぐクソガキと叱らないクソ親
女,あら、今日はコーヒーですか？
男,たまには優雅にエスプレッソと思って。君は何を描いてるの？
女,イラストの案を練ってるんです。テーマは“親子”で
男,親子か……
少女,わーい！
男,あっ！。俺のエスプレッソがぁぁぁ……！。君のイラストにもかかってる！
女,あっ、これは落書きみたいなものなんで大丈夫ですよ
男,そ、そうなの！？よかった……いや、よくない！。よくも……！。――って、もうあんなところに！
少女,えーいっ！
受験生,うわっ！？ボクの参考書が！
少女,とりゃーっ！
中年男,わわっ！オレのワンカップ酒が！
男,台風だな、まるで……！。フードコート内で騒ぎやがって……許せん！
女,まあまあ、子供がやったことですし……
男,いや、ああいう子供こそ、ちゃんと大人が叱ってあげなくちゃいけないんだ！。おい、お嬢ちゃん！
少女,んー？
男,フードコートで騒いだらダメだろ！静かにしなさい！
少女,なんでよ？
男,え。な、なんでって……。みんなの迷惑になるからに決まってるだろ！
少女,迷惑？。だったら聞くけど、いつもいつも夜にフードコートにやってきて。他の客の食べる姿をニヤニヤ見物してるあなたはどうなの？
男,ぐっ！？
少女,ものすごく気持ち悪いんだけど～？
男,うぐぐ……。くっそぉ～、なにも言い返せない……！
受験生,やれやれ、ここはボクにお任せ下さい
男,お？お前が叱ってくれるのか？
受験生,こういうことも勉強ですからね。あの子をすぐに静かにさせてあげますよ。君――
少女,うっさい、ガリ勉！！！
受験生,あうう……
男,早いな！一撃で撃沈かよ！
受験生,予習が足りなかったようです……
男,俺と口論した時のふてぶてしさはどうした！？
受験生,ああいう子はどうも苦手で……
女,まるで、味方になったとたん弱体化した敵キャラみたい
受験生,嫌なたとえ方しないで下さい！
中年男,しかたねえ、オレの出番だな
男,おっさん！。あれだけ生意気だった受験生を改心させたおっさんなら、きっと……！
中年男,ウ～イ、おい嬢ちゃん。いいかい？こういう公共の場にはルールってもんがある……
少女,酔っ払いにいわれたくないんだけど
中年男,へっ、それをいわれちゃおしめえよ
男,おっさんも瞬殺かい！
受験生,三本まとめてヘシ折られましたね……毛利元就もビックリです
男,くそぉ～……大の男が三人いて……
受験生,こうなったら、奥の手を使いましょう
男,奥の手？
受験生,あの子の母親に言いつけて、叱ってもらうんですよ。“将を射んと欲すればまず馬を射よ”というやつです
男,娘が将で、母親が馬ってのはどうかと思うが……いい作戦だ！やってみるか！。あのー、お宅の娘さんがさっきから暴れてるんですが
母,…………
男,どうにかしてもらえませんか？
母,…………
受験生,聞いてますか？もしもーし
母,…………
男,……ダメだこりゃ
受験生,娘は騒ぎすぎ、母親は静かすぎ……最強の布陣ですね
男,仕方ない、今日のところは諦めよう……
少女,わーい！わーい！
清掃女,騒ぐんじゃないよ、待てーっ！
母,…………
男,掃除のおばちゃんで、やっと互角とは……
受験生,母親は相変わらず我関せずですし、手の打ちようがありませんね
男,うーん……。なんとかあの子を静かにさせて、フードコートの平和を守らないと……！
先輩,おい！……なんだこの書類！
男,あ、先輩、すみません……
先輩,ったく、これだから○×大出は使えねーわ！屋上から飛び降りろよ！
男,どうやって、あの子を……
先輩,聞いてんのか！
男,はい、聞いてます、聞いてます！
先輩,使えねえ後輩持つと、苦労するのはこっちなんだよ！このクソッタレが！
男,静かにさせるには……
先輩,…………！。お前、俺に怒られたくてわざとやってんのか！？
男,――――！
先輩,おい、どうなんだよ！このボンクラ野郎！
男,それだ！
先輩,え？
男,先輩、ありがとうございます！やっと分かりました！
先輩,なんなんだ、こいつは……
少女,わーい！わーい！
男,…………
女,今日も相変わらずですね、あの子……
男,うん……
少女,…………？。あれ、いつもと感じが違う……
男,おい、君
少女,な、なによ。いつもみたいに怒鳴らないの？
男,怒鳴らない。その代わり、どうして君がやたら騒いでるのか、当ててやろう
少女,へ？そんなのあんたに分かるわけ――
男,君さ……ひょっとして、お母さんに叱られたくてやってんだろ？
少女,！
男,……やっぱりな
女,えっ、そうだったんですか！
男,伊達に長年フードコートで人間観察してないよ
女,すごい、フードコート探偵ですね！
男,ずいぶんと活動範囲が狭い探偵だな……。話……聞かせてもらえるかな？
少女,うん……。実はお母さんね、お父さんに逃げられたの……
男,え
女,そんな……
少女,それ以来、家にいる時もフードコートにいる時も抜けがらみたいになっちゃって……。昔はよく笑うお母さんだったのに……
男,それで、お母さんを元に戻そうとして、あんなに暴れてたわけか。きっと叱ってくれるはずだって
少女,うん……ごめんなさい……
男,いや、もういいよ。それより、お母さんを元に戻す方法を考えよう！
女,だけど、娘さんにも反応を示さない人をどうやって……
男,うーん……
受験生,ボクの出番のようですね
中年男,オレもいるぜ
男,うわっ、どこから湧いてきた！？
受験生,人をゴキブリみたいにいわないで下さいよ……。さっきからフードコートにいましたよ
中年男,オレたちは仲間だろうが！
男,悪かった、悪かった
中年男,昔はよく笑うおっかさんだったってんなら、やっぱり笑わすのがいいんじゃねえか？
男,笑わせる、か……。怒らせるより、そっちのがいいよな。やってみよう！
少女,みんな、ありがとう……！
中年男,んじゃ、オレからいくぜ。おい、あんた
母,…………
中年男,フードコートでラーメン食う時は、息をふーっど吹きかけて食えよ！
母,…………
中年男,すまねえ……
男,おっさん、オヤジギャグ……の域にも達してないぞ！
女,まあまあ
受験生,偏差値でいうと30ぐらいでしょうかね。続いてボクがいきます。数学が得意な目が歩いてる！……アルキメデス
母,…………
女,ア、アハハ……
少女,お姉さん、笑ってあげるなんて優しいね
男,悪い、おっさんと大してレベル変わらんぞ。分かりにくさを加味すると、おっさん未満かも
受験生,そんなぁ！
中年男,つか、アルキメデスってなんだよ？
受験生,古代ギリシャの数学者ですよ！ボクが尊敬する人の一人です！
男,尊敬してるならギャグに使うなよ……。んじゃ、次は俺な
中年男,ふん、あの母親を笑わせんのは無理だぜ
受験生,ええ、ボクですら無理だったんですから……
女,いえ……。男さんなら、きっと何かやってくれるはず……！
少女,やれるかなぁ……
男,大きく息を吸って……。くぉのボクが、Bィィィ判定だぬぁんてェェェェェ！！！
受験生,！？
男,くぉのボクが、Bィィィィィ判定ィィィィィ！！！
受験生,ちょっ、なにやってんですか！
女,……ふふっ
中年男,ハハハッ！受験生のモノマネか！
少女,キャハハ、おもしろーい！
受験生,みんなまで笑わないで下さい！
男,Bィィィィィィィィィィィ判定ィィィィィィィィィィィィ！！！
母,…………。――ぶふっ！ぶふぉっ！。アハハハハハハハハハハハハッ！！！
少女,お母さんが……笑った……！
母,ふぅー、ふぅー、ふぅー……
女,お水です
母,す、すみません……。久しぶりに笑いました……こんなに笑ったのは生まれて初めてかも
中年男,顎が外れる勢いで笑ってたもんな。よほどツボに入ったんだな
女,確かにかなり面白かったです！
男,お前のおかげだよ
受験生,こんなことで褒められてもちっとも嬉しくないです！
母,皆さん、本当にありがとうございました……。あれだけ笑うと、夫のことも吹き飛んでしまいました。これからはもう、娘に心配をかけないような母親になろうと思います……
男,その意気ですよ！
女,あ、そうだ！。今度私が描くイラスト、お二人をモデルにさせてもらってもいいですか？
男,お、それいいね。母と娘、か。親子ってテーマにピッタリだ！
母,もちろん、かまいませんよ
少女,うーんとかわいく描いてね！
女,そうさせてもらうわね！
少女,あ、それとさ、ギャラはたっぷり払ってもらうからね！。あなたがもらったお給料の七割ぐらいはもらわないと割りに合わないわ！
女,えぇと、それは……
男,七割て……
母,コラッ、なにいってるの！！！
少女,！
母,ほら、謝りなさい！
少女,ご、ごめんなさい……
男,ビックリした……！。このお母さん、怒るとこんなに怖かったんだ……
第四話,フードコートで酒ばかり飲んでるクソオヤジ
男,お、今日はうどん？好きだね～
女,はい、あなたにおごってもらった思い出の一品なので
男,思い出だなんて照れるな……
中年男,うーん……
男,お？
女,あら？
男,あのおっさんが悩むなんて、雪でも降るかな？
女,そんな……失礼ですよ。せいぜい雷にしておきましょう
男,君もだいぶ失礼なような
中年男,うぅ～ん……
男,なんで悩んでるのか、気になるな……
女,かなり深刻な表情ですもんね……
男,よし、聞いてみよう！
中年男,――なにを悩んでるか？。こないだ……娘から結婚式の招待状が来たんだよ
男,えっ！？
女,なんですって！？
受験生,娘さんがいたんですか！
少女,おじさん、結婚してたの！？相手はよっぽどの物好きだねー！
中年男,うるせえよ！……ってワラワラ群がってきやがって！。まあ、とっくに離婚しちまって、今は離れ離れなんだがよ
男,おっさんでも結婚できるなら、俺も希望はあるな……
中年男,どういう意味だ！？
女,よかった……結婚願望あるんだ……
少女,なにホッとしてんのー？
女,し、してないしてない！してないから！
男,それで、なにを悩んでるんです？まさか、着ていく服がないなんてオチじゃ……
中年男,いや、行くかどうか迷ってるんだよ
男,え、なんで？
女,それは行くべきですよ！一生に一度のことですもん！
少女,二度以上あることもあるよ？
女,そ、そうね……
男,それはさておき、どうして行かないんです？。招待状が送られてきたってことは、“来て欲しい”ってことじゃないですか！
中年男,……こんな年中赤ら顔の酔っ払いがめでたい式に行けるかよ。オレも恥ずかしいし、なにより娘の恥になっちまうじゃねえか……
受験生,なぁんだ。でしたらこのボクが解決法をお教えしましょう！
男,おっ、さすが秀才。いいアイディアがあるのか？
受験生,すばり、結婚式まで禁酒すればいいんですよ！そうすればアルコールも抜けるでしょ
男,あ、そっかぁ！
女,それいい！さすが受験生君！
少女,あったまいいー！
受験生,フッ……
中年男,いや、ちょっと待ってくれ！酒がねえとオレは……
受験生,いつかの言葉を返しましょう。こういうのも“勉強”ですよ
中年男,あぐぐぐぐ……
男,ハハハ、そういうこと！観念しな、おっさん！。というわけで、おっさんの禁酒作戦開始だ！
女,なんだかワクワクしてきました！
受験生,勉強の合間のいい気分転換になりそうですね
少女,おじさんに一滴の酒も飲ませるもんか！
母,私も微力ながら手伝わせて頂きます
男,このフードコートでは、絶対おっさんに酒を飲ませるな！作戦開始！
中年男,どいつもこいつもオレをオモチャにしやがって……。お手柔らかに頼むぜぇ……。ストロングゼロをちょっとだけ……
男,おっとぉ、結婚式まで酒はゼロだぜ、おっさん！
中年男,ああっ！。喉渇いたし、一杯ぐらい……
女,お水をどうぞ！いくらでも汲んできますよ！
受験生,こちら、図書館で借りてきた本に載っている、肝硬変になった肝臓の写真です
中年男,お、おい……んなもん見せないでくれよ。メシがまずくなる……
少女,お酒飲んだらダメだったら！
中年男,うげっ！
母,コラーッ！お酒飲んだらダメでしょ！
中年男,ひっ、そんな娘を叱るように叱らないで……。叱り方も娘に似てるし……。こっそり飲もうと思ったら、缶を没収されちまった……！
清掃女,あたしもあんたの禁酒に協力してるからさ！
中年男,こりゃ地獄だ……だけど、オレのためを思ってやってくれてるんだからなぁ。オレも久しぶりに根性出すか！。どうだ？
男,おおっ、正装！かっこいい！
女,すっごくステキです！
受験生,見違えましたよ！まるで一流大学の教授みたいだ！
少女,馬子にも衣装ってやつだね
母,コラッ、なにいってるの！……とてもよくお似合いですよ
清掃女,いいじゃないか。もっとあたしが若けりゃ立候補してたよ
中年男,こうして久しぶりにシャキッとできたのも、お前らのおかげだ……。んじゃ、結婚式当日はこの格好で娘と会ってくるぜ！
男,結婚式はどうでした？
中年男,とてもよかったよ……。娘はキレイになってたし、旦那もいい奴っぽかったし……いうことなしさ
女,それはよかったですね！
少女,んでさ、元奥さんとはどうだったの？
母,コ、コラッ！
中年男,……ま、それなりに楽しく会話したぜ
少女,より戻しちゃえばいいのに
中年男,さすがにそれは無理だが……時々は会おうってことにはなったよ
男,うーん、今日のおっさんはやたらかっこよく見える……。こういう年の取り方したいなって思えてしまう……
中年男,つうわけで――。飲むかぁ～！。娘の幸せにかんぱーい！
男,やっぱり飲むのかよ！
女,あああ……お洋服にこぼしちゃって……
受験生,まぁ……よく持った方ですよ
少女,おじさん、久しぶりにフードコートで飲むお酒の味はどぉう？
中年男,うん、うめえ！もう一杯！
最終話,フードコートに入り浸ってばかりいるクソ男
男,合格おめでとう！
受験生,ありがとうございます！
中年男,志望校にみごと受かっちまうとはな、大したもんだ！
女,ホントですよ！△□大といったら、超名門ですから！
少女,口だけじゃなかったんだ！やるぅ！
男,もしかして、裏口入学なんじゃないのか～？
受験生,実はそうなんです……入学試験の日はあえて、裏口から入りましたからね
男,お前……ホント変わったなぁ。そんな返しをするようになったとは
受験生,ボクが進歩してるのは、偏差値だけではないということですよ
男,じゃ、ここらで俺からお祝いの言葉を
受験生,お、これはどうも
男,このボクがBィィィィィ！判定ィィィィィィッ！
受験生,ちょ、ちょっと！
女,もうっ！せっかく合格したのに、失礼ですよ！アハハッ！
少女,といいつつ、めっちゃ笑ってるけどね
母,アハハハハハハハハハッ！！！
少女,お母さん、笑いすぎ！
男,…………。フードコートの常連と仲良くなってからは、フードコートに来るのがますます楽しくなったなぁ。今日は何食べる？
女,きつねうどんにします！
男,じゃ、俺はチャーシューメンにしよっかな。ふんふ～ん
課長,…………
先輩,…………
課長,あいつ……近頃、妙に上機嫌だな
先輩,調子こいてますよね……
課長,ああ、どうも気に食わん。そろそろ、自分の立場というものを分からせてやった方がいいかもしれんな
先輩,ですよね……
男,お電話ありがとうございます！……あっ、これはどうも！。あっ、はい！例の品は、期日通り納入するよう手配しておりますので！。はいー！よろしくお願いしまーす！
先輩,ちっ……あんなにはりきりやがって。たかが納品ぐらいで……。……ん、納品……？。…………
男,あ、どーも！いつもお世話になってます！。…………。――え！？。全く違う品が納品された！？おかげで現場の作業が滞ってる！？そ、そんなバカな！。私はちゃんと手配を……！。――あれ！？俺が違う品を納入するよう指示したことになってる！。なんでこんなことに……！？。大至急、正しい品を納品させますので……え、もういい！？し、しかし――
課長,どうするんだね！？。小口の取引先とはいえ、こんな致命的なミスをして！
男,も、申し訳ありませんっ！
課長,この件については私も知らん！君が全責任を負って処理したまえ！
先輩,ったく、いつかやらかすと思ってたんだ！これだからお前は使えねえってんだよ！
男,…………。あああ……。ああああああああああ……！
課長,……ふふっ、よくやってくれた。青ざめた彼の顔は一見の価値アリだったよ
先輩,違うもんが納品されるよう、ちょいとあいつのパソコンからいじっただけですよ
課長,彼、どうすると思う？
先輩,辞めるか、病気になるか、下手すりゃ自殺しちまうんじゃないっすか？
課長,あの取引先は取引額が小さいから、縁が切れても課にダメージはないし。弱い者いじめをすると、健康診断の数値がよくなるんだよねぇ～
先輩,俺もっすよ！今年も色んな数値がよくなってて……
課長,職場のストレスは、ハラスメントで晴らすに限る！なーんてね！
先輩,アッハッハ、座布団一枚！
女,今私、新作のイラストを手掛けてるんですよ！テーマはなんと≪食事≫！
男,……へえ
女,今日はなにを食べますか？
男,…………
女,あのー？
男,ごめん……。今日は……水だけにしとく
女,え、でも……
男,ちょっと食欲がなくってね……なぁに、大丈夫さ……
女,は、はい……。まるで、昔の私のように落ち込んでるわ……
先輩,おい
男,は、はいっ！
先輩,お前……終わりだな
男,え
先輩,この件に関しちゃ、部長もカンカンだ。納品する品をミスって手配するなんてお前……新入社員でもやらねえミスだぞ！。クズがっ！会社の恥さらしがっ！
男,す、すみまっ……！
先輩,薬局行って、睡眠薬でも買ってきたらどうだ？永久に眠るためによ！
男,…………！。取引先には謝りに行ったけど、門前払いされちゃったし……。本当に、俺は……終わりだ……。…………
女,どうしました？今日は水も飲んでないじゃないですか
男,ほっといてくれ……
女,放っておけませんよ
男,いいから、放っておいてくれよ！俺なんて餓死でもすりゃいいんだよ！
女,放っておけませんよ！！！
男,！！！
女,前におっしゃってましたね？おいしそうにご飯を食べる人を見るのが好きだって
男,そんなこといったっけ……
女,いいました。私だってそうです！。私だって、好きな人がおいしそうにご飯を食べるのを見るのが好きなんです！。落ち込んでたら、助けてあげたくなるんです！。さあ、何があったか話して下さい！……絶対に助けますから！
男,……う
中年男,おおっ、あの子もいうねえ！
受験生,大人しい人だと思っていましたが、侮ってましたね
少女,今さらっととんでもないこといってなかった？
中年男,話してみろって
受験生,ボクが力になれるかは分かりませんが……
少女,話せば楽になることもあるって！
母,この子ったら生意気を……
男,…………
女,お願いします……！
男,分かったよ……。完全に俺の事情なんだけど……
中年男,なるほどねえ……納入する品をミスって、取引先に大迷惑をかけちまったと。で、取引が打ち切りになりそうってわけか
受験生,受験でいうと、受験で使わない教科の勉強をしてしまったようなものですか
男,取引先からの信頼も、社内での信頼も、なにもかも失ってしまった……。俺はもう……
女,…………。なにいってるんですか！まだまだ挽回できますよ！
中年男,そうだぜ。今はとにかく、どうやって埋め合わせするか、動く時だ
受験生,ボクだって、B判定から合格できたんです！あなたなら絶対大丈夫！
少女,ダメだったら、フードコートでヤケ豪遊すりゃいいんだしさ！
中年男,そうそう、オレがビールでも焼酎でもおごってやるよ！
男,…………
女,諦めないで……！
男,…………！。みんな、俺なんかを励ましてくれて……。そうだ……まだ終わったわけじゃない。落ち込むのは、やれることを全部やってからだ！。みんな……ありがとう！。今日はたっぷり食って、なんとか挽回できるよう頑張るよ！
女,よかった……
中年男,あの兄ちゃんが元気ねえとやっぱり締まらねえからな
受験生,ホントですよ。このフードコートの守り神みたいな人ですから
少女,まーったくイチャイチャしちゃって、あの二人
母,若いっていいわねえ……
清掃女,しばらく、あの二人が座ってる机には近づかないでおいてやるかねえ
男,こんにちは
取引先,……また来たのか。君もしつこいな
