ドキュ夫・ドキュ子,ッ！？
ブス,アンタらの言うとおり私はブスだ。まさしくブス、髪の毛からつまさきまでぜーんぶブスだ。可愛らしいとこなんてこれっぽっちもありゃしない。ブスの中のブス、それが私さ
DQNV3,なにこれウゼー……ブスのくせに調子くれてんなヨッ！
ブス,机を蹴るなぁ！！！
DQNV3,ヒッ！
ブス,これは学校の備品だ。私が使った後も使う人がいるかもしれない。ブスの後なんて嫌かもしれないが、まぁそれはお慰みって奴さね。こういうものはそうやって使い続けていくんだ。みんなのものは大切に、だろ
DQN,～～～ッ！誰だ今笑ったヤツ！出てこいやオラ！テメェか！それともテメェか！
女,きゃっ！
ブス,―――ッオラァ！
DQN,……ガッ！？……カ、カハ……
クラスメイト,……い、一本背負い！
DQN2,テメェなにしやがる！
ブス,私をバカにすんのはいい、ブスなのは百も承知だ。つっぱんのもアンタらの自由さ。どこで煙草フカそうがいつ学校フケようが好きにすりゃいい……だけどなぁ、女に手を出すような事だけは、男としてしちゃいけない事なんじゃないのかい？
DQNV3,……テメェ
DQN,い、行こうぜ……もういいよ、こんなブス
ブス,オイ
DQN2,ンだよブス！まだなんかあんのか！
ブス,保健室、連れて行ってやれよ。こんなゴリラにやられたんだ、怪我してるかもしれないぞ
DQN,……ケッ
ブス,大丈夫だったかい？
女,は、はい……その、ありがとうございます
ブス,なぁに言ってんのさ、アンタこそ災難だったね。あんなバカにからまれて、怪我はないかい？
女,大丈夫です。ブスさんのおかげです
ブス,タハハ、そいつは何よりだ
クラスメイト,ブスさんすごーい！かっこいいー！
ブス,オイオイいきなりなんだい！わかった！わかったよ！質問なら答えるから少し離れておくれってば！
女,はぁ……お昼、どこで食べようかな。教室だとみんなの目があるし……虐められてる訳じゃないけど、静かに食べたいもんなぁ。今日は屋上で食べよ。風があって涼しい……よし、いただきまー
ブス,おや、先客がいたよ
女,ぶ、ブスさん！？
ブス,そんなに驚かなくてもいいじゃないか。朝からずーっと質問責めで疲れちまったのさ。弁当くらい静かに食わせてもらいたいから手洗いに行くフリして逃げてきちまった
女,大変でしたね。ブスさん人気者だから
ブス,ナッハッハ、そりゃ一時のもんさね。こんな転校生、物珍しいに決まってるわ。何せ日本語を話すゴリラが制服着てんだからねぇ
女,そんな事ないですよ……助けてもらった時、私はブスさんのことかっこいいなって思ったし
ブス,ふふ……アンタ優しいねぇ。私もアンタくらいのしおらしさがあれば色々と楽ができたんだろうけど、どうにも損な性分でさぁ
女,しおらしいっていうか、地味なだけですよ……お弁当食べるお友達もいないし
ブス,なんだいそんなこと気にしてんのかい。だったら私と食べりゃあいいじゃないか
女,キャッ！？……え、えぇ！？私なんかでいいんですか？
ブス,嫌かい？
女,嫌じゃ、ないです
ブス,なら決まりだ。今日からアンタと私は友達だ
女,え……手？」（大きい……
ブス,握手だよ握手
女,はい……
ブス,ちっこい手だねぇー。それに白くてまさに女の子の手って感じだぁ
女,ブスさんのは、逞しいです……あ、ご、ごめんなさい！
ブス,ナッハッハ！いいよいいよ！その通りさ！ほーれ握手握手！
女,わ！きゃっ！
ブス,はいっと、これで私たちは友達さ。これからよろしく！
女,は、はい！よろしくお願いします！
ブス,……
女,……
ブス,……プクク、なんか、変な感じだなお互い
女,ちょ、ちょっと照れます
ブス,タハハ、じゃあ今のは二人だけの秘密ってことにするか
女,そですね。それがいいです
ブス,よし決まり！じゃあ改めて飯にするか。私は特製ブス弁当。味よし量よし見栄えなし。腹が膨れればそれでいいからね！いただきます！
女,私のはお母さんが作ってくれたお弁当。大好きな卵焼きが入ってるんですよ。それじゃあ私もいただきます。ブスさんへの質問責めもなくなりましたね
ブス,だから言ったろう？物珍しいだけだって。まぁ世の中そんなもんさ
メガネ,あーブス君、ちょっといいかな
ブス,ん？誰だいアンタ
メガネ,同じクラスのメガネだ。生憎、人気者の君と違って僕は地味でね。覚えていないのも仕方ないだろうな
ブス,悪かったよ。このデカ頭にアンタの顔は叩き込んどく。だから嫌味はよしとくれ
メガネ,そうしてくれると助かるね
ブス,で、メガネは私に何か用なのかい？
メガネ,あぁ。僕は新聞部に所属しているんだが、今月の特集記事で君のことを取り上げたいと思っているんだ
女,特集記事……ブスさんすごい
ブス,学校新聞に載るような大層なことをした覚えはないがねぇ
メガネ,いや、君には十分な話題性があるよ。うちの部長がぜひとも君に会いたいとまで言っている。一度部室にまで来てくれないか？
ブス,わかったわかった。行けばいいんだろう？案内しておくれ
メガネ,こっちだ
ブス,ちょいと行ってくるよ。なぁメガネ、その記事ってのは珍獣特集だろ？当たりかい？
メガネ,そんな訳ないだろう
ブス,じょーだんだよじょーだん、ったく頭が固いねぇ
女,ブスさん頑張ってね！」（なにを頑張るのかよく分からないけど……
部長,おぉ君が噂のブスくんか！俺が新聞部の部長だ！よく来てくれた！
ブス,始めまして部長さん。今日は私なんかの記事を書いてくれるって聞いたんで顔を出させてもらったよ
部長,おぉそうなんだよ！メガネ、よくやったぞ！
メガネ,……いえ、それほどでもありません
部長,さっそくだが本題に入ろう。うちは月に一度のペースで学校新聞を作っているんだが、今回はそれに載せる特集記事を君で組みたいと思ってるんだ
ブス,部長さん。それはありがたいんだが私には読者のみんなを楽しませるようなネタはもっちゃいないよ
部長,冗談だろ？転校初日で同じクラスの不良生徒を見事に成敗したって噂でもちきりだぞ？それに加えてその体格、うちの柔道部からオリンピック選手が出るかもなんて事まで言うやつが出てくる始末だ
ブス,買いかぶりすぎさ。私はただのブスだ。それ以上でもそれ以下でもないさね
部長,まぁまぁ。とにかく簡単なインタビューと写真だけでいいから。協力してくれないか？このとーり！新聞部を救うと思って！
ブス,……そこまで頼まれちゃ断れないよ。わかった、インタビューなり写真なり好きにしておくれ
部長,ニヤリ。さて、それではいくつか聞いていこうと思うんだが……まずは軽く、入りたい部活は無いかい？
ブス,ないね。強いてあげるなら家庭科クラブかねぇ。お菓子をつくるなんて楽しそうじゃないか
部長,むむ……では次の質問、不良生徒と対峙した時はどう思った？
ブス,別に。バカな事をしてるなと思ったくらいだよ
部長,ふむ。顔についてことさらひどくからかわれたと聞いたが、それについてはどうだい？
ブス,ブスなのは百も承知さ。今更どうこう言われてもなんとも思わないよ。むしろおべっか買ってかわいいなんて言ってくる子は残念な気分になるね
メガネ,部長、そういう質問は少し……
部長,なんだメガネ、今は取材中だぞ。むむむ……なら次だ。では話題を変えて恋愛についても聞いてみよう。好きな異性のタイプは？
ブス,しつこくない男がいいねぇ。根ほり葉ほりなんでも聞き出そうとする男は好みじゃない
部長,むむむむ……では、そういう男性との、恋愛経験なんてのもあったりするのかな？こう言ってはなんだが君は少し顔がアレだからね、そこら辺も聞いてみたいのさ
メガネ,部長！話が違います！彼女のことをそういった方向性で取り扱うのは
部長,うるさいよメガネ！静かにしていろ！……で、どうなんだいブスくん。ぜひとも頼むよ。君も分かるだろう？面白おかしく取り上げる方が読む方も楽しいのさ。な？
ブス,……
メガネ,……ッ！
ブス,一つ良い事を教えてあげるよ
部長,な、なんだいいきなり立ち上がったりして。まだ取材中なんだが
ブス,私も一応は女だからね。実は好きなやつがいるんだ
部長,お！きたきた！誰だいそれは！まさかうちの学校の生徒か！？
ブス,アンタさ
部長,……え？
ブス,ひと目見た時からアンタのことが気になってたんだよ。今日だってメガネに呼ばれた時は内心ガッツポーズしたもんだ
部長,ちょ、ちょっと、なにするんだ！
ブス,おいおいそれはないだろう。きちんと取材してくれよ部長さん
部長,く、くるしっ……
ブス,いいねぇ近くで見るとますます好みだ。あぁもう我慢できない、このまま唇を……
部長,や、やめろー！離せブス！！
メガネ,部長！
部長,―――はっ！い、いや、違うんだブスくん！今のは……
ブス,あぁひどい、フられちまったよ。おいメガネ、私は心に傷が出来たから帰りたいんだけど一人じゃ心細いからちょっと来てくれないかい？
メガネ,……わかった
ブス,そうそう部長さん。悪いんだけど記事はやっぱり無かったことにしてくんないかなぁ。そんなの書かれたらアンタのことを思い出して私も我慢が効かなくなりそうだからさ
部長,わ、わかりまひた……
ブス,いいねぇ。フった女にもケアを忘れないその心配り、アンタじつはモテるだろ。ま、オイタもほどほどにな
メガネ,―――すまない！
ブス,アンタが悪いわけじゃないさ
メガネ,まさかあの部長があんな事をするなんて！僕達は君の心を傷つけてしまった！
ブス,あんなもので傷つくほどヤワな心しちゃいないよ
メガネ,だがしかし……
ブス,納得できないんならその分だけ他のブスに優しくしてやんな。ブスってのは損な生き物だ。卑屈になればいじめられ、調子に乗ればウザがられ、恋をすれば逃げられ、恋から逃げれば笑われる……面倒なことこの上ないよ
メガネ,……
ブス,でもねぇ、そんなブスにもちゃーんとブスの生きる道があんのさ。世界で可愛いって言ってくれるのが両親と自分だけでも、生まれた時から顔面が人間に似た生き物でしかなくても、きちんと前向きに生きていける術ってのがね
メガネ,そう、なのか
ブス,それを私はブス道って呼んでる
メガネ,ブス道……
ブス,何があっても挫けない心。けして前に出ない謙虚な心。女を捨てない情熱の心。支えてくれる者への感謝の心。それを強かに胸に秘めて生きていくのがブス道さ
メガネ,君は、強いんだな
ブス,いいや弱いよ。弱いからそんなふざけた名前のモンで心をガードしてるんだ
メガネ,……ブスさん、改めて謝らせてくれ。すまなかった
ブス,アンタも強情な男だね。もういいって言ってるだろうに……でもアンタのそういうとこ、嫌いじゃないよ。なぁ、ダチにならないか？
メガネ,友達？
ブス,そうさ。男女の友情は成立しないかもしれないが、ブスとの友情は成立するんだなこれが。私が証明してやるよ。どうだい？
メガネ,こちらこそお願いするよ、ブスさん
ブス,よろしくな、メガネ
女,あ、ブスさん！探したんですよ？取材どうでした？
メガネ,そ、それは……
ブス,ダーッハッハッハ！オイオイ聞いてくれよ女、メガネときたら隣のクラスの柔道部員と間違えて私を連れて行ったんだよ！ひどい話だよなぁ！
女,え、メガネくんったら……ひどい……
メガネ,いて！いててっ！……って違う！事実無根だ！
ブス,まぁまぁいいじゃないの！笑い話さ笑い話！どうせだからこのまま一緒に帰ろうぜ！な？
女,私はいいよ
メガネ,分かった。僕も帰るとしよう
ブス,よぉーし決まりだ！二人ともより道するよ！なんせ私はここに転校してきたばっかりだからねぇ！美味い店やらなんやら紹介してもらおうじゃないの！
女,ふふふ、ブスさんったら
メガネ,……まったく、敵わないな君には
ブス,アーッハッハッハ！なんせ私はブスだからねぇ！怖いもんなんてこの顔くらいさ！。ブス道
