―≪斧組合,アックス・ギルド
斧ファイター,どうか斧を！斧をよろしくお願い致します！
斧使い,斧に清き一票を！。月刊ウェポンを買ってきたぞ！
斧ファイター,おおっ、早いですね！
斧戦士,さっそく人気投票のページを開いてみようぜ！
斧使い,私の読みでは、きっと１０位以内には――
三人,！？
斧使い,なぜだ！？なぜかえって人気が下がってしまってるんだ！？
斧戦士,分からねえ……
斧ファイター,どういうことでしょうか……？
斧使い,うーん……道具としての側面を押し出しすぎてしまったのかもしれんな。斧はしょせん道具なんだ、と軽く見られてしまったのかも……
斧ファイター,ど、どうしましょう！？せめて２０位以内に戻さないと……
斧戦士,だったら……見た目だ！。斧のこの屈強なビジュアルを、前面に押し出すのさ！
斧使い,やってみよう！
斧戦士,さあさあ、見てくれ！この斧の強そうな外見を！。巨大なくさび形の刃が、鋭く光って悪を倒す！
斧ファイター,シンプルなデザインだからこそ、扱いやすく、敵を容易に倒せるんです！
斧使い,斧は強くて美しい！。アクス・イズ・ビューティフル！！！。月刊ウェポンを買ってきたぞ！
斧ファイター,待ってました！
斧戦士,人気投票のページを開くんだ！さあ早く！
斧使い,私の読みでは、これで２０位以内には返り咲いて――。３３位ィ……！？
斧ファイター,さらに順位が落ちてますね……
斧戦士,どうなってんだ、こりゃあ！？
斧使い,どうやらもっと決定的な強みを押し出さねば、人気には繋がらないようだな
斧戦士,っつっても、斧の強みって他になんかあるか！？
斧使い,……ある。私たちは全員、がっしりした体格をしている。なぜか分かるか？
斧ファイター,そりゃもちろん、重い斧を毎日のように振り回してるからですよ
斧使い,その通りだ。この肉体美を武器にするのだッ！。さあ、半裸になれ！
斧戦士,おうっ！
斧ファイター,はいっ！
斧使い,見よ！この肉体美！この肩幅！
斧戦士,剣や槍の使い手で、ここまで力こぶある奴はいねえだろ！
斧ファイター,見て下さい、この背筋を！まるで山脈でしょう？
斧使い,あなたも斧を握ってみませんか！結果にコミットする――それがアックス！。…………
斧戦士,…………
斧ファイター,…………
斧使い,クックック……
斧戦士＆斧ファイター,！？
斧使い,実用性もビジュアルも筋肉もダメか……クッククク……。こうなったら……斧を上げるのは諦めよう
斧戦士,え……！？
斧ファイター,じゃあどうするんですか……？
斧使い,決まってるだろう？他の武器を……下げるんだよ！。他の武器を徹底的にディスるビラを作りまくるんだ！
斧ファイター,ディスる！？
斧使い,刀剣は見た目がかっこいいだけで、実用性皆無のクソ武器！。槍は長さだけが取り柄のデクノボウ！。弓矢を用いる奴はチキン！。ナイフ？封筒でも切ってろ！。棍棒？うどんでも打ってろ！。鎌は草でも刈ってろ！。カギ爪はめてる奴ってなんであんな奇声を上げるんだよ！。トンファー？あのグルグル回す動作って絶対意味ねえだろ！。ブーメランって親離れできない子供みたいだよね！。ククク……出来た！。よし！このビラを町じゅうに貼りまくるぞ！くれぐれもバレないようにな！
斧戦士,お、おう
斧ファイター,は、はい……
斧使い,危うく逮捕されかける場面もあったが、なんとか成し遂げた！。これで剣や槍の人気はガタ落ちよ！……効果は抜群だぁっ！
斧戦士,…………
斧ファイター,…………
斧使い,あれえ……？あれれぇ……おかしいぞぉ……？
斧戦士,やっぱりな……
斧ファイター,斧のことだけ書かれてない時点で、犯人バレバレだし……
斧使い,ク……ククク……クカカカカカカカッ！カカカカカカカカーッ！。こうなったら意地だ！絶対斧の人気を上げてやる！。――どんな手を使ってもだッ！！！。まず、斧の形がダメだ！。刃はまっすぐにして、柄の横ではなく先端に取り付けよう！
斧戦士,これじゃ斧っていうか剣や槍じゃねえか……？
斧使い,うるせえ、黙ってろ！頭カチ割んぞ！。あとは……柄に装飾品をいっぱい散りばめよう！キラキラ光ってキレイだ！
斧ファイター,これじゃ握りにくくないですか……？
斧使い,握りィ……？実用性なんかどうでもいいんだよッ！。あと……やっぱ筋肉なんてのは時代遅れだ！ナンセンス！。美少女や細身のイケメンどもを金で雇って、アイドルグループを結成させる！
ＡＸＩＬＥ,アクザイル
斧使い,ハハハ、どうだ！こいつらに斧持たせて歌って踊らせれば完璧だ！。さらにアイドルの握った斧と触れあえる、握手会ならぬアックス会もやるぞ！。だが、俺の策はまだまだこんなものではないぞ！。なんと……新作の斧を買うと、あの最新式の剣や槍もついてくる！
斧ファイター,あの……
斧使い,あん？
斧ファイター,それって抱き合わせ商法じゃ……
斧使い,抱き合わせて何が悪い！！！
斧ファイター,い、いえっ……！。どうしましょう……もはや迷走を通り越して暴走ですよ……
斧戦士,しょうがねえよ、あいつは生まれてから斧一筋に生きてきたんだ……
斧ファイター,この組合を作ったのも、あの人ですしね……
斧戦士,今は好きにさせといてやろう……
斧使い,…………。ク……クカカカ……フフ、フヒヒヒ……。アーッヒャッヒャッヒャッヒャッヒャッヒャ！！！。今年の組合費全部使っちまったし、もうどうしようもねええええええ！！！。ハ、ハハハ……。もう……斧なんかどうでもいい……。どうでもいいんだ……。…………。あー……今月の会合を始める。とっとと終わらせるぞ
斧戦士,おう
斧ファイター,はい
斧戦士,斧使い……すっかり痩せこけて……やさぐれちまった……
斧ファイター,会合はきちんと開くあたり、まだ斧への愛情はあると信じたい。けど……
斧戦士,ん？ウチの組合に客？
斧ファイター,珍しいですね
斧戦士,悪いけど、ちょっと出てこいよ
斧ファイター,分かりました！
記者,月刊ウェポンの記者です。ぜひ取材をしたいんですが……
斧ファイター,はぁ……
斧戦士,どうする？
斧使い,……受けてやれ。どうせ、今日の会合も話し合うことは特になかったしな
斧ファイター,分かりました！。オーケーです！
記者,ありがとうございます！。ふう、助かった……。本当は落ちぶれた斧の取材なんかしたくないけど、急きょページに穴が出来ちゃったからな。まあこいつらなら取材費そんなにかからないし、ちゃちゃっと終わらせるか
斧使い,じゃ……薪割ります
記者,お願いします。薪割りって……どうせならもっといいもん見せてくれよ。気がきかねえな
斧使い,…………
記者,え！？
斧使い,…………
記者,速い……！それに全て正確に真っ二つにされてる……！芸術的な職人技だ……！
斧使い,…………。ま……こんなもんですかね
記者,す、すごい……！斧ってこんなにすごいものだったのか……！
斧使い,？
斧戦士,岩を砕くぜ！
記者,おお～……ものすごい威力だ！
斧ファイター,３０メートル先にある的に、手斧をぶつけます！
記者,お、お見事……！。いやーすごかったです！ありがとうございました！
斧使い,どうも
記者,正直いって私、斧ってものにあまり期待してなかったんですけど……
斧使い,でしょうね
記者,今日のことは絶対いい記事にしてみせますから！記者魂が燃えてきましたよ！
斧使い,はぁ。見え透いたお世辞なんかいいやがって……。ふう……カウンセリングを受けたりして、ようやく心が回復してきたよ
斧戦士,ずっとあのままだったらどうしようかと思ったぜ
斧使い,心配をかけたな。これからは地道に――
斧ファイター,大変です、大変です！
斧戦士,どうした？
斧ファイター,今月号の月刊ウェポンを見て下さい！
斧戦士,ああ、そういやここしばらく買ってなかったな
斧使い,なにがあったんだ？
斧ファイター,人気投票のページを開きますよ！
斧戦士,こ、これは……！？３位じゃねえか！
斧ファイター,どうやらいつだったかの取材でボクらが見せた斧の実演の記事が大反響だったみたいで。斧の人気がグーンと上がったみたいなんです！
斧使い,そうか……そういうことだったのか……
斧戦士,どういうことだよ？
斧使い,私は斧の人気がイマイチだと知って、斧の人気を上げようといいつつ。結局、心の中では斧というものを疑ってしまっていた……。斧やこれまで自分がやってきたことを、信じ抜くことができなかった……。だから人気など意識せず、いつもやってるように自分の積み重ねてきた技を見せたら。こんなに反響を得ることができたんだ
斧戦士,なるほどな……
斧ファイター,次はどうします？もっとすごい技を見せて、１位を狙いますか！？
斧使い,いや……やめとこう。もう人気争いは懲り懲りだよ。これからは人気なんか関係なく、自分の斧の技量を高めることだけを考えよう！
斧戦士,おうっ！
斧ファイター,はいっ！
