少女＆女友人,ん？
少年,それじゃ……ボクのジャージを縫ってもらえないかな？破れちゃって……
少女,それぐらいならすぐ終わるよ！
少年,ホントかい！ありがとう！
女友人,なんたってこの子の裁縫の腕前はプロ級なんだから！
少女,少年君のジャージを縫えるなんて……幸せ
怪人Ｄ,ぐげぇっ……！
魔法少女,オスッ！
貴公子,おっとボクが出るまでもなかったか。少しは成長したみたいだけど、まだまだボクの足元にも及ばないな
魔法少女,うるさいわね、ほっといて！
小動物,たしかに成長はしているが……どこか壁を越えきれていない……
警備員,あぐ、ぅ……
拳魔人,ふん、人間の分際でオレに向かってくるとは……敵の強さも分からんか！
職員,ひいぃ……警備員が全滅……！
拳魔人,さァ、放送機器がある場所に案内しろッ！オレの声を流すんだッ！
職員,は、はいっ！
拳魔人,オレは闇格闘組織四天王の一人、拳魔人！。この近辺によく現れるという“魔法少女”よ！オレは今市役所にいるッ！。いざ尋常にオレと勝負しろッ！。でなくば市役所の職員をオレの拳で全員殴り殺すッッッ！
少女,変身ッ！
魔法少女,さあ、行かなきゃ！
小動物,よせい！キサマはまだ、四天王の相手をできる段階ではないッ！
魔法少女,だけど私が行かなきゃ、みんな殺されちゃう！
小動物,バカめが……ッ！
魔法少女,あなたが四天王ね！
拳魔人,！。よく来たな。その勇気だけは褒めてやろう
魔法少女,勇気だけじゃなく、実力だってあるわ！
拳魔人,では見せてもらおうか……。人智を超えた拳法“魔法”とやらをな！
魔法少女,え……速……ッ！
拳魔人,そぉらッ！
魔法少女,げほっ……！。でえやあっ！
拳魔人,ふん、ぬるい打撃だ……。こんなもの当たるわけがない。ジャブ！フック！ストレート！アッパーカットォ！
魔法少女,なんて強さなの……！全然歯が立たないなんて……！
拳魔人,少しは期待したが……しょせんは女か。しかし、情けをかけるつもりはない。このオレの拳を、キサマの血で染めてやろうッ！。む！？
貴公子,弱い者いじめはそこまでにしときなよ
拳魔人,こいつ……デキる！。キサマ、魔法少女の仲間か？助太刀にきたのか？
貴公子,いや……どっちもハズレだ。ボクは通りすがりの格闘貴公子さ
拳魔人,仲間でも助太刀でもないのなら、いったいなぜ割って入った？
貴公子,今から一週間だけ、時間をくれないか。一週間あれば、きっと彼女は君に並ぶくらいの格闘家になるだろう
拳魔人,一週間で……！？。フハハハ、バカをいうな！。たった一週間でなにができる！？。今の魔法少女では、たとえ一年待ってやったところでオレには勝てん！
貴公子,たった一つの勝利や敗北が、人を強くすることだってある。彼女にももしかしたら、そんな奇跡が起こせるかもしれないということさ
拳魔人,なるほど、それこそが“魔法”というわけか。……よかろう！では、この市役所で待っててやる！
貴公子,ありがとう
小動物,あの貴公子に助けられたか……。しかし、拳魔人のいうとおり、一週間で奴を超えるなど不可能だ……ッ！
魔法少女,ここは……！？
貴公子,ボクの秘密特訓場だよ。本来、誰も入れたくないんだけど、他に場所がなかったからね
魔法少女,私……負けたの？
貴公子,そのとおりさ。君はあの魔人に敗北した。大惨敗だった
魔法少女,…………
貴公子,市役所の人を救いたければ、君は一週間で奴より強くなるしかない
魔法少女,たった一週間で……！。ねえ……一つだけ聞いていい？
貴公子,なんだい？
魔法少女,あなたはなぜ戦っているの？
貴公子,楽しいからさ
魔法少女,楽しいって……なにが？
貴公子,もちろん、強い相手と戦うことがさ。だからボクは君と戦うつもりはないよ
魔法少女,！
貴公子,だって君は格闘技の本質というものを、まったく理解していないからね
魔法少女,なんですって……！。スポーツの技術を格闘技に使うあなたにいわれたくない！
貴公子,おや？なぜスポーツの技術を格闘技に使ってはいけないんだい？
魔法少女,だって……私が好きな人もスポーツ大得意だけど。その人はスポーツで他人を傷つけたりしない！。逆に……スポーツでみんなを助けてる！
貴公子,これは手厳しいな。だけどね、格闘技の本質ってのは自分の気質にあった戦い方をすることだ。攻撃的な人が消極的な戦い方をしても結果は出ないし。逆に大人しい人が無理に攻めても決して上手くいかない。その点、ボクはスポーツが好きだし、格闘技はもっともっと好きだから。スポーツの技術を使って戦っているだけのことさ
魔法少女,なんて人なの……！
貴公子,さて……君にはないのかい？
魔法少女,え？
貴公子,君の好きなこと……例えば、趣味とかさ。今のギクシャクした拳法のままじゃ、アイツには到底勝てないよ。これは他人から教えてもらうんじゃなく、君自身で見出すしかない
魔法少女,私の好きなこと……趣味……
貴公子,さて、そろそろボクも特訓を始めたいんでね。出てってもらおう
魔法少女,いわれなくても出ていくわ！
貴公子,それにしても、君が好きだっていう男が羨ましいな
魔法少女,え？
貴公子,ボクは、君のことを結構気に入ってるんだよ。もっとも、君は二番目だがね。一番好きな女性は他にいる。もしボクがその人にフラれたら、君と交際してやってもいいよ
魔法少女,ふんっ！
少女,…………
小動物,コイツめ、どうしたのだ？。貴公子に連れ去られてから何があったかは知らんが、ずっと考え込んで……。まさかもう、魔法少女はイヤだなんていう気ではあるまいな……。しかし、あの惨敗ではそれも仕方のないことか──
少女,…………。私の趣味、特技……。ねえ……師匠！私とスパーリングして下さいッ！
小動物,……よかろう
少女,そう……私の得意技は拳法ではなくあくまでもお裁縫！。師匠に教わった拳法をベースに──自分の特技を取り入れるッ！
小動物,なんだこのフットワークは！？。我の教えたものと違うが、しかし今までより少女にしっくりくる動きだ！
少女,突くッッッ！
小動物,……達したようだな
少女,ええ、達しました！
拳魔人,待っていたぞ、魔法少女！少しはオレを楽しませてくれるのだろうな！？
魔法少女,ええ、今日はあなたを倒す！
拳魔人,大きく出たな。それではゆくぞッ！
魔法少女,かわすッ！
拳魔人,なんだこの動きは！？
魔法少女,針のように──突くッ！
拳魔人,が、はっ……。身体能力や拳足の動きが大きく変わったわけではない！。だが、いったいなんだ！？今の繊細さは！。拳法でありながら、まるで手芸のような繊細さ……ッ！
魔法少女,さあ、どんどんいくわよ！
拳魔人,ふん、図に乗るなよ！魔法少女ッ！。ぐうっ……！。ならば、奥の手を使うしかあるまいッッッ！
魔法少女,構えが変わった！？
拳魔人,はあああああっ！
魔法少女,きゃああっ！
拳魔人,キサマの拳法の要である繊細さ──を生かす暇もなくケリをつけるッ！
小動物,ぬう……ッ！考えおったな、四天王め！。吹き荒れる嵐の前には、いかな可憐な花も空しく散る運命であるように──。あのような連打を受けては、いかな繊細さも意味を成さぬ！
拳魔人,このまま防御を粉砕し、なぶり殺しにしてくれるッ！
魔法少女,うううっ……！。すごい連打！まるで台風だわ！このまま受け続けたらマズイ！。だけど……お裁縫にだって……“連打”はあるんだから！。ミシンの構え！
拳魔人,なんだとっ！？
魔法少女,反撃開始よ！。ミシン針のように──連打ッ！
拳魔人,なにィ～！？繊細なだけではないというのかァッ！。オレの連打を……上回るとは……ッ！
魔法少女,ここで呼吸を整え──。針のように──突くッッッ！！！
拳魔人,ぐ、は……！。闇格闘組織四天王である、このオレが……！。みごと……だ……
魔法少女,オスッ！
拳魔人,あの貴公子のいったとおりだった……な。一週間で……人はこうも強くなれる、のだな……。“魔法”……堪能させてもらっ、た……
魔法少女,そうだ……。私が勝てたのはあの貴公子のおかげだったんだ……
小動物,よくやったぞ、魔法少女よ。だが四天王の一角を崩したとあらば、闇格闘組織も本気となるであろう。心せよッ！
魔法少女,はいッッッ！
＜,闇格闘組織
極魔人,拳魔人がやられたようだな……
投魔人,ケッ、だらしねえヤロウだ！
蹴魔人,魔法少女とかいう小娘……なかなか侮れないようですね
投魔人,拳魔人はオレたちの中でも最弱だった！。んなヤツが欠けたところで、オレたちゃビクともしねえぜ！
極魔人,だが……放っておくわけにもいくまい。四天王の一人を倒されたことで、大魔神様は大変ご立腹だ
蹴魔人,ならば、この私が蹴り殺して参りましょうか。なにしろ蹴りの威力は拳の三倍、ですからねえ
少年,！。ねえ、最近よくケガしてるけど大丈夫かい？
少女,えっ！？あ、うん、平気……ちょっとこけちゃって
少年,そう……ならいいんだけど
少女,ケガしたおかげで少年君に心配されちゃった……ちょっと嬉しい。あ、ところで少年君ってスポーツ大好きだよね！。どうしてなの？
少年,ええっと……体を動かしてると、気分がよくなるからかな！
少女,やっぱりあの貴公子とは全然ちがう……すっごくかっこいい！
女友人,さぁて、あたしはイチャイチャを横目にスマホでもいじるとしますか
少年,学校に持ってきちゃいけないんじゃなかったっけ？
女友人,固いこといいなさんなって……えぇ～と。！？。なに、このニュース！？
少女が住む町には、,スカイタワー
蹴魔人,ふんっ！ふんっ！ふんっ！。空手などではバットを蹴りでへし折るパフォーマンスがありますが。この塔をバットのようにへし折れたらさぞ気持ちいいでしょうねェ～。ふんっ！
少女,私が四天王を倒して、塔の倒壊を止めなくちゃ！。私、気分悪くなったから保健室行ってくる！
女友人,え！？
少年,ボクは……ちょっと早退しよっかな
女友人,二人とも、急にどうしたの！？
魔法少女,よしっ！
小動物,蹴魔人は強敵だが、今のキサマなら十分勝ち目がある！ゆくぞッッッ！
蹴魔人,私が人間のいうことなど聞くと思いますか？。さぁ～て、そろそろへし折ってしまいましょうかね
魔法少女,待ちなさいっ！
蹴魔人,！。おや、あなたが魔法少女ですね？。お待ちしていましたよ。本当はあの程度の塔、もっと早く倒すこともできたのですが。わざとチマチマ蹴っていたかいがありました
魔法少女,私をおびき寄せるために、騒ぎを起こしてたってわけね
蹴魔人,そうです。ただし、あなたが私に敗れればあの塔はオシマイですがねえ
貴公子,おっと、わずかに出遅れたか……。魔法少女があのニュースを見てるとは限らないし。今日はボクの出番かな、と思ったんだがな。まぁいいや……。ここでお手並み拝見させてもらおう
小動物,では一緒に見学するか
貴公子,！？。い、いつの間に……！なんだこの生物は……！
蹴魔人,では、いきますよ！
魔法少女,ぐ……！。なんて威力……！たしかにこれならスカイタワーを倒せるわ！。だけど私だってッ！
蹴魔人,ぐほっ……！
貴公子,へぇ……だいぶやるようになったね
小動物,あやつは日々、我と鍛錬しておるからな
魔法少女,ミシン針のように連打ッッッ！
蹴魔人,なんという連打！間合いを確保しなくてはッ！。きええっ！
魔法少女,あぶなっ！
蹴魔人,これは想像以上に手強い……。拳魔人を倒しただけのことはありますね。ならば本気を出しましょう、いきますよ！
魔法少女,軌道が読めない……！。威力があるだけじゃなく、読みにくいだなんて……ッ！
蹴魔人,私は手のように、いや手以上に足を自在に動かせるのですよ！
魔法少女,ぐっ……。なんとか懐に入らなきゃ！
蹴魔人,無駄ですよ！。はっ！。ふんっ！
魔法少女,あうっ……！。全然懐に入れない……！。この人と蹴り勝負ができるほど、私の足技は精度が高くないし……！
小動物,むう……ッ！このままではじわじわ削られるだけだ……！
貴公子,……やれやれ、世話の焼けるお嬢さんだ。魔法少女！
魔法少女,……貴公子！（来てたなんて！）
貴公子,足技に自信がないみたいだけど……足技とはなにも蹴り技だけではないよ！
魔法少女,！
蹴魔人,なにをいっているのですか？。蹴り技以外の足技など存在しませんよッッッ！
魔法少女,いえ……ある！
蹴魔人,まさか飛び蹴り！？ふん、すぐに迎撃して──。！？。し、絞め技ァ……！？
魔法少女,そう……布を裁断するハサミのように──両足を使うッッッ！
蹴魔人,これが……“魔法”か……
魔法少女,オスッ！
小動物,ナイスアドバイスだったぞ、小僧ッ！
貴公子,フッ、彼女にはもっと強くなってもらいたいからね……
小動物,……なぜだ？
貴公子,むろん、ボクに相応しい強敵になってもらうためさ。さて、ボクらは倒れかけてるスカイタワーを修復しようか
小動物,我の開発した接着剤があれば、あの程度の損傷は容易く直る
＜,闇格闘組織
大魔神,なんという体たらくだ！。魔法少女とはいえ１０代半ばの小娘に、四天王が二人も敗れるとはッ！
投魔人,フン、しょせんヤツらは四天王の器にはなかったってことですよ！。次はこのオレが、あのガキを投げ殺してやりますよ！
極魔人,待て、私も行こう
投魔人,あぁ！？オレだけで十分だ！
極魔人,別にお前を信用してないわけではない……。念には念を、というやつだ
投魔人,ケッ、ただしトドメはオレがもらうからな！
極魔人,かまわん。私は闇格闘組織が勝てばそれでよいのだからな
大魔神,よいか……くれぐれもぬかるでないぞ！
投魔人＆極魔人,はっ！
少女,あ、そういえば今日は格闘技のタイトルマッチだっけ！。なにかの参考になるかもしれないし……見たいなぁ。お母さん、格闘技見ていい？
母,いいわよ
父,お前もそういうのが好きな年頃になったんだな
小動物,よい心がけだッ！
少女,えぇ～と、チャンネルはっと
投魔人,オラァッ、魔法少女ッ！。よく四天王を二人も倒してのけたもんだ！マグレとはいえよ！。だが、このオレはテメェが倒した二人とは次元がちがうぜ！次元がよ！。拳法家のテメェのことだ。もちろん、この番組を見てやがるんだろ！。さあ、オレと勝負するためにリングまで──出てこいやッ！。ワァーッハッハッハッハッハ！
少女,…………！
小動物,投魔人……四天王の三人目か！
父,うわぁ～、チャンピオンも挑戦者もボロボロだ！ひどいことするなぁ……
母,魔法少女ってだれなのかしら？
少女,行きましょう！
小動物,うむッ！
父,おいおい、食事中にどこいくんだ？
母,ダイエットでもしてるのかしら？
魔法少女,あなたの挑戦、受けて立つわ！
投魔人,ハーッハッハァ！一時間は待たされると思ったが、さすがに速いな！
魔法少女,これでも迅速（はや）さには自信があるからね
投魔人,ほざきやがって……さあリングに上がってこいッ！
魔法少女,いわれなくても！。え！？もう一人いたの！？
極魔人,掴んでしまえば、こちらのものだ
魔法少女,あああああああああっ！！！
小動物,なにい！？まさか二人がかりだったとは……ッッッ！
魔法少女,し、しまった……ッ！
投魔人,ハハハッ、そのまま掴んでおけよォ？。オレが投げ殺してやんなきゃなァ！
極魔人,うむ。受け身を取らせないよう、頭から落とすのだぞ
投魔人,分かってるって！潰れたトマトみてえにしてやらァ！
魔法少女,ぐっ……！
投魔人,だれだテメェは！？
貴公子,通りすがりの格闘貴公子さ
投魔人,貴公子だとォ！？キザなヤロウだ！
貴公子,女の子に二人がかりなんて、情けないと思わないのか？。とはいえ、アキレス腱を切られたのは彼女の油断……。あの二人の試合はもう始まっている。二人を止めるつもりはない。だからボクは、君の相手をすることにしよう
投魔人,おもしれえ！──貴公子だかなんだか知らんが、すぐに投げ殺してやるッ！
貴公子,神聖なリングで二試合以上やるのは無粋だ。ボクたちは外に行こう
投魔人,いいぜ！
極魔人,次は右腕をもらう
魔法少女,ああああっ……！
実況,あーっと、怪人がアームロックで、女の子の右腕をへし折ったァッ！。これは強烈ゥ！
小動物,我が拳法では、関節技や寝技の使い手はああなる前に仕留めるのが鉄則……ッ！。最悪の相性だ……！
貴公子,さ、やろうか
投魔人,ハァーッハッハ！わざわざ外に出るなんて、テメェはバカだなァ！？
貴公子,なぜだい？
投魔人,ここの地面はコンクリだぜ？投げ技が得意なオレにとっちゃ──。リングよりもよっぽど有利なフィールドなんだよォ！
貴公子,が、は……っ！
投魔人,ハァーッハッハッハッハァ！。血ヘドすら吐けなくなるまで投げ続けてやっから、覚悟しやがれ！
魔法少女,あ、ああ、あ……！
極魔人,では最後に首の骨をいただくとしよう。これでジエンドだ
実況,完璧に極まっている！これはもう、女の子は万事休すかァッ！
魔法少女,ううっ……！。なんて力……とても外せないッ！
極魔人,無駄だ。私の絞め技──特にチョークスリーパーから逃れられた者はいない
