白衣のお姉さん,特にＣ型が不足しておりまーす！愛を分けて下さい
白衣,ん？どゆこと？
少年,初めて来たときなんか不足してるとかお姉さん言ってたでしょ？ってことは逆に余ることってあるんじゃないかって思って
白衣,んー…君は世界に愛があふれていると思っているのかい？
少年,そこまで、ていうか一切そんなこと言ってないよ、まあその言いぶりだと余ったりはしないんだね
白衣,そう…悲しいけど愛が余ることなんてない、どれだけあっても世界には愛が足りないのです
少年,なんで敬語？
白衣,あーおかえり
少年,ここは僕の家じゃないよ、でもただいま
白衣,かわいいとこあるじゃん
少年,ここってさ
白衣,んー？
少年,誰かと相席になることないの？
白衣,めちゃめちゃあるよ
少年,えー…僕お姉さん以外とあったことないよ
白衣,…んーそういうめぐりあわせだからね、それにこの時間って小学生と主婦くらいしかこれないし
少年,フーン…もうそろそろ時間かな？
白衣,よくわかったね、通いすぎてあたしよりくわしくなっちゃうかもよ
少年,大体３０分なんだから分かるよ、じゃあまた来るね
白衣,おっすーいらっしゃーい
少年,こんちはー
白衣,ちょっとおせっかいかもしれないけどさ
少年,なに？
白衣,新しいお母さんとどんな感じ？
少年,うーん普通、あ、でもちょっと良くなったかも
白衣,うーん…悪くなってないならいいのかな？
少年,前は許せないとか認めたくないとか一緒にいるのも優しくされるのも嫌だったんだけどさ。うーん、そういうのが無くなった気がするんだ。
白衣,なんだぁ！すごくよくなってるじゃん！えらいえらい！
少年,えらい？えらい？でもさー
白衣,んー
少年,母さんのことがちょっとだけ思い出しにくくなってるんだ
白衣,…んー
少年,…もとからさ、父さんとかあの人を許せないとか言ってたくせに母さんの顔、覚えてなかったんだけど。手を繋いだ時のあったかさとか、においとか、声の感じとかはなんとなく覚えてた気がするんだけど。頭の中のすっごく奥に行ったみたいに一生懸命思い出そうとしないと、思い出せなくなったんだ
白衣,………ん
少年,…これって良い事…なんだよね…きっと
白衣,そうだよ…良い事なんだよ
少年,…いつか忘れないと、っていうか忘れるんなら早いほうがいいんだよね、みんな幸せになれるんだよね
白衣,忘れるんじゃないよ、思い出を、た、大切な所、君が言ったみたいにずっと奥にしまうんだよ
少年,大切な所にしまう？
白衣,うん、母さんは君の大切な所に、君の人生を邪魔しないようにずっと居たいと願ってるよ
少年,うん…そうだよね、忘れるんじゃない…よね、へへ、もうお姉さんなんで涙ぐんでるの
白衣,なんか…ね、感情移入しちゃって君だって鼻赤くなってない？
少年,うん…うん…。ただいま
継母,あ、少年くん、おかえりなさい
少年,ただいま、か、かあ…ヨウコさん
継母,…そうそう今日の晩御飯はね、少年くんの好きなカレーにしたの楽しみにしててね
少年,ありがとうございます、あの…
継母,なあに？
少年,明日はみんなと勉強する約束したから、ちょっと遅くなります
継母,おそくってどれくらい？ちゃんと７時には帰れる
少年,うーん、わからないです
継母,お弁当作る？あんまり遅くなったらいけませんよ
少年,ううん、でもちゃんと帰るから待っててください
継母,…わかりました。少年くんをしんじるね
白衣,やあ、待ってたよ
少年,こんにちは
白衣,…どうしたの。深刻な顔なんてしちゃって、中に入ってお菓子食べよ
少年,…うん
白衣,…………
少年,…………
白衣,…………
少年,…………
白衣・少年,「あのさ」
白衣,君からいいなよ
少年,お姉さんから言ってよ
白衣,レディファースト？うん、単刀直入に聞こうかな。あたしのこと、分かっちゃったんだよね？
少年,…うん、次は僕の番ね、多分今日で最後…なんだよね。
白衣,…………うん…せーかい…やっぱりかしこいなぁ
少年,ここが献愛ルームっていうのは嘘だったの？
白衣,ううん、君に話したことは全部本当、あたしや君みたいに愛情を持て余して持て余して…。それが、これからある楽しい事を邪魔しちゃってる、ちょっとだけかわいそうな人からね。愛が無くって悲しんでいる人の所に届けるところだよ
少年,そっか、じゃあ愛情をいっぱい分けてあげても忘れるんじゃなくて、大切な所に行くって話も本当だよね
白衣,わかんない…ごめんね
少年,そっか、でもお姉さんは僕にそうしてもらいたいんだよね。
白衣,せーかい…君が幸せになるのに邪魔にしたくないんだ
少年,そっか…
白衣,こっちに来て
少年,結構通ったつもりだったけど、まだ知らない部屋あったんだ
白衣,…そういうものよ、さあここに寝て
少年,うん…どうすればいいの？
白衣,目を閉じて眠るだけだよ、起きたら…きっと…全部忘れてる
少年,大切な所にしまう。だよ。
白衣,………うん。ありがとね…
少年,僕もありがとう。一緒にいれて嬉しかった。
白衣,あたしも…おっOい小っちゃくてごめんね
少年,へへ、まだ根に持ってる
白衣,…持ってない。幸せだったよ……おやすみなさい
少年,おやすみなさい、母さん
