彡(｡)(；),はあ、はあ……、うう、仲間とはぐれてしもうた
仲間Ａ,さあ…？
仲間Ｂ,分かるような、分からないような
仲間Ｃ,最後にタケノコ食べたのだいぶ前だし…
彡(ﾟ)(ﾟ),えぇ…（ドン引き）。そうや、食料にタケノコ残ってへんか？。山に取りに行くとかはどうや。地下鉄の駅にあったシェルターやろ、線路を歩いていって山まで……。まあともかくタケノコの匂いや、ワイがゾンビの中から見つけたるわ。見つからへんなあ……。あの女ゾンビ、噛み付いたゾンビに抵抗されてたし。もう○されてもうたかもな、ゾンビが○されるって変な表現やけど。なんやて！？。すごい名前やな
仲間Ａ,この通信機です、どうぞ
彡(ﾟ)(ﾟ),おおきに、もしもし
電話,ペラペラ
彡(ﾟ)(ﾟ),あれ、英語やで？。えーと…ゾンビを食べるゾンビを見つけた…。Ifoundazombieiteatingotherzombie
電話,オーイエス、Pleasetellmemoreaboutit（それについて詳しく教えてください）
彡(ﾟ)(ﾟ),通じたわ、さすがワイや
電話,Iheardthattherearefeaturestofind（見つけるための特徴があると聞いたのですが）
彡(ﾟ)(ﾟ),なんか言うてるわ……まあタケノコの匂いのこと言うたらええんやな。あれ、そういえばアメリカ人ってタケノコ知ってるんかな？。聞いてみるわ、えーと竹の小さい頃やから…。HeyYourelookinglikelittlebamboo
電話,NO！！！Imnotlittlebamboo！！
彡(ﾟ)(ﾟ),見たことない言うてるわ。なんや英語ペラペラやんけ、最初から代わってくれや。おお、ほんまか。美味しそうっちゅうか……モニュモニュするっちゅうか、ムズムズする匂いやなあ。そう…含め煮に入ってるタケノコの匂いや
電話,ペラペラ
彡(ﾟ)(ﾟ),うん、カツオダシの中のタケノコの匂いや。醤油は少々やな、でもタケノコの甘さがよく生きてる感じの、薄い味付けや。何の話やコレ。……。…いや、違うんや。確かに含め煮の匂いなんやけど、「含め煮の中のタケノコの匂い」なんや、タケノコそれ自体から出てるんや。何か…匂いを正確に向こうに伝える手段って無いんかな。せやけど、センサーとかで数値化できるはずやで？。ほげっ…。なんか申し訳ないわ…。…………。よし。しゃあないな、ワイがアメリカに行くわ。ゾンビの混乱で、飛行機やヘリはほとんど使えへんけど。地下鉄の線路をたどれば海の近くまで行けるやろ、動く船があるはずや、それでアメリカまで行く。途中でタケノコも調達せえへんとな
彡(^)(^),なあに、今まで生きてこれたんや、何とかなるやろ。アメリカの人らに、タケノコのあの匂い、エグみたっぷりの匂いを教えてやらんとな。ああ、あのエグみを感じる匂いや
彡(ﾟ)(ﾟ),へ？。そうか、向こうもうまく行ったな。こっちも三体目の「怪物」を作れたし、ゾンビ駆除も楽になりそうや。それにしてもチロシンの匂いか、ぜんぜん知らへんかったなあ。いや、ワイの説明も悪かったわ、匂いを説明するのって難しいな
仲間Ａ,リーダー、無線です
彡(ﾟ)(ﾟ),ふー、さて、一服したらまたＺドロップの捜索に…。何や？どうした？。えっ？！？
