杏子,それなら
まどか,そうじゃなくて、キュップぃボールってなんなの？
QB,まどか、君は魔法少女なのにキュップぃボールすら知らないのかい？どうかしてるよ
まどか,知らないよっ！
ほむら,鹿目さん落ち着いてっ
QB,やれやれ、君たちの感情というものは理解し難いよ。どうして突然怒り出すんだい？
まどか,キャリア1週間のアマチュアなのは自覚してるけど、馬鹿にされたからだよ！
QB,キュップぃボールというのはね、僕たちの星の競技なんだ
まどか,スルーされた
QB,流石のまどかもグリーフシードは知ってるよね？
まどか,また馬鹿にしてるよね？魔女の卵のことでしょ
QB,僕たちがグリーフシードを回収するとき、背中でキュップぃするんだけど。その技術を競うのがキュップぃボールだよ
ほむら,フィギュアスケートみたいに技術点とか芸術点とかで競うんですか？
まどか,ほむらちゃんが興味を持ってる・・・！
QB,技術を競うんだよ。僕たちは感情がないから芸術性は判断できないよ。技の難易度を競うだけさ。ちなみに前回の優勝者の技は72回転半ムーンサルトドリフトキュップぃだったね
ほむら,ななじゅ・・・
まどか,すごいね、私もちょっとだけ興味が出てきたよ
ほむら,そんな技があるならきっと盛り上がるし、楽しそうだね
まどか,そうだねほむらちゃん。チケットはともかく一緒に見に行けたらきっと楽しいよね
ほむら,これをきっかけに鹿目さんとお友達になれるなら・・・契約してもいいかな・・・
QB,何を勘違いしてるんだい暁美ほむら
ほむら,え？
QB,何度も言うけれど、僕たちには感情がないんだ。興奮したり、盛り上がったりするわけがないだろう？。確かに万単位で入場できる会場で行われるけど、誰も歓声を挙げたりせず静かなものだよ
ほむら,
まどか,そんなの絶対おかしいよ！？
QB,あのねまどか、キュップぃボールは娯楽じゃなくて競技なんだ。言うならばキュップぃの勉強会みたいなものだよ。君たちの好むようなスポーツみたいなものとは違うんだよ
まどか,じゃあ私たち行く意味がないよね！なんでそういうチケット持ってくるの！
ほむら,鹿目さん落ち着いて
QB,全く・・・まどか、キュップぃボールとはそもそもだね・・・
まどか,せっかくほむらちゃんと仲良くなれるチャンスだと思ったのに・・・
ほむら,えっ、鹿目さん？
QB,・・・時のインキュベーター王7世が提唱し・・・
まどか,あ、えっとね・・・その・・・
ほむら,あの、私なんかでよければ仲良く・・・してくれるなら・・・
QB,・・・そして5回目の技術革命が行われた際には・・・
まどか,ほむらちゃん・・・。うん、これからもっと仲良くしてね。ほむらちゃん！
ほむら,鹿目さん・・・！
QB,・・・君らで言うところの中世の時代には・・・
ほむら,じゃあ私そろそろ帰らないと
まどか,うん、じゃあまた明日ね
ほむら,うん、また明日・・・。また明日って言ってバイバイできるお友達ができた・・・！
QB,・・・そして最近になって新たに訪れた転機が・・・
ほむら,またね、鹿目さん！
まどか,ほむらちゃんまたねー！。さてと、私も帰ろうかな。って、あれ？何でマミさんそんなところで紅茶を飲んでるんですか？
マミ,あら？お話は終わったかしら？
まどか,もしかしてマミさん、ずっと待っててくれたんですか？
マミ,ええ、二人が楽しそうに話してるのを見て、邪魔しちゃ悪いかなと思って
まどか,そんなっ！すみませんマミさん、お待たせしてしまって・・・
マミ,いいのよ鹿目さん。暁美さんと仲良くなれたんでしょ？
まどか,はいっ
マミ,ふふっ、良かったわね。。今日はうちに寄って行くのかしら？
まどか,あ、マミさんが迷惑じゃないなら・・・
マミ,迷惑な訳ないじゃない、大歓迎よ。さ、行きましょうか。魔法で出した紅茶じゃなくて、もっとおいしい紅茶をご馳走するわ
まどか,はーい。楽しみです
QB,・・・という訳だよ。分かったかい、まどか？。あれ？
ほむら,ただいまー、って誰も居ないけど。今日はいろんなことがあったな・・・。転校した学校で、すぐにお友達ができて、。名前をほめてくれて、。ちょっと落ち込んじゃったり、。そしたら魔女・・・が出てきて、。魔法少女・・・か・・・
マミ,今日はどんな素晴らしい商品なのかしら
ほむら,ごほごほっ・・・えっ？きゅ、QB！？と、鹿目さんと一緒に居た魔法少女の、えっと・・・
マミ,巴マミよ、暁美さん
ほむら,そう、巴さん。なんでテレビに、というか今私の言った事に返事をして・・・えぇ・・・？
QB,だいぶ混乱しているようだね。でも、魔法を使えばこのぐらい何てことないんだよ
マミ,ごめんなさいね、暁美さん。QBがどうしてもやｒQBさあ、今日の商品はこちら！
QB,魔法少女だよ
マミ,・・・
ほむら,えっ・・・？も、もしかして鹿目さんが商品なの！？
QB,違うよ。なにを言っているんだい君は。いや君たちは、かな？まずは話を聞いてからにしてくれないかな？。ゴホン。さて・・・。君は自分というものに不満はないかい？もっと違う自分、違う未来を手に入れたくはないかい？
ほむら,えっと、確かにもっと格好良くなれたら嬉しいかな
QB,そんな君にはこれ！魔法少女！。どうしようもない現状を変えたい！もっと理想の自分になりたい！。ｷｭﾌﾟﾈｯﾄならそんな君の手伝いができるんだよ！
マミ,楽しそうねQB・・・
QB,その秘密がこちら！なんと魔法少女になる際に何でも１つ願いを叶える事ができるんだ
ほむら,え、凄い・・・そういえばさっきも願い事は何だ、って・・・。本当になんでも叶えてもらえるの？
QB,もちろん願いの限度はあるけどね。でも君が望みそうな願いなら大抵は何とかなると思うよ
ほむら,なんでも・・・
QB,さあ、君の願い事はなんだい？
ほむら,格好良く・・・なれるかな・・・？
QB,君が望むならクールでミステリアスな雰囲気漂う美少女にだってなれるよ
ほむら,えぇ・・・そういう感じのは私には似合わないよ・・・。それにやっぱり魔女と戦うのは怖いし・・・
QB,そんな不安を持つ君に朗報だよ。なんと今契約すると、希望次第でベテラン魔法少女・巴マミによる特別レッスンが受けられるんだ！
マミ,え？QB、今私のこと呼んだかしら？
QB,マミ、何で本番中に紅茶を飲んでサボってるんだい。君はまじめにやる気があるのかい？
マミ,え？あっ、ゴメンなさいQB
QB,いくら僕が毎回マミの言葉を遮っているからって、それはあんまりじゃないかな
マミ,故意にやっていたのね・・・
QB,僕にも理由は分からないんだけど、話を進めていたらこうなってしまったんだ。マミ、分かってよ
マミ,もう、今回だけｙQBじゃあマミ、例のVTRをお願いするよ
ほむら,・・・
QB,なんてことをするんだいマミ。バールのような物で殴るなんて、危うく死んでしまうところだったじゃないか
マミ,QBが反省してないからでしょ！
QB,まったく、訳が分からないよ
ほむら,あの・・・？
マミ,あら、どうしたの暁美さん？
ほむら,その・・・折角いろいろして頂いてるのに申し訳ないんですけど。私みたいなのが魔法少女になるなんて無理です・・・
マミ,暁美さん・・・
QB,心配は無用だよ、暁美ほむら。そんな不安を持つ少女は結構居るんだ。今回はかつてそんな不安を持ちながら、今や魔法少女として活躍してる子のインタビューをしてきたんだ。結論を出すのはそれを見てからでも遅くはないんじゃないかな？
ほむら,えっと、それじゃあ見てみようかな・・・
QB,そうこなくちゃ。マミ、例のVTRをお願いするよ
マミ,分かったわ。じゃあVTR、ティロ・フィナーレ！
QB,何故これから始まるのにフィナーレなんだい？
QBボイス,昨今では実に多くの魔法少女が世界中で活躍しているんだ。今日はその中の一人にインタビューしてみたよ。最近なったばかりの駆け出し魔法少女だ。やあ、○○○。今日はインタビューに来たよ
M,ﾃｨﾋﾋ。ほむらちゃんのためならお安い御用だよ
ほむら,鹿目さん！？目線入ってるけど鹿目さんだよね！？
QBボイス,じゃあ早速質問だよ。君は魔法少女になってみてどうだい？
M,えー？そうだなぁ。前より自分に自信が持てるようになったかな
QBボイス,へぇ、それは何故なんだい？
M,魔法少女になる前の私って、得意な学科とか人に自慢できる才能とか何もなくて。このまま人の役に立てないまま生きていくのかな、って思ってたんだけど。でも魔法少女の存在を知って、私でも誰かの役に立てるって思ったら嬉しくて。契約するまで凄く悩んだけど、今では良かったなって思ってるよ
QBボイス,そうかい。そう言ってもらえると、僕としても誘った甲斐があるよ
M,でもまだまだマミさんに頼りっぱなしだし、もっとしっかりしないとね
QBボイス,君が強くなってくれると心強いよ
M,ｳｪﾋﾋ。頑張っちゃうよ
QBボイス,あとはそうだね、これから魔法少女になろうか考えてる子に一言もらえるかい？
M,うーん・・・、焦らずちゃんとよく考えて契約して欲しいかな。って、私が言えるようなことでもないけどねｳｪﾋﾋ
QBボイス,ありがとう、○○○。いいインタビューだったよ
M,どういたしましてー
ほむら,あの・・・私や巴さんの名前が出ていたんですけど・・・？
QB,この番組は暁美ほむら宅への独占放送だから実は問題ないよ、彼女の名前を伏せたのは気分を出すためさ。さて、じゃあここで改めてセット内容の確認をするよ
ほむら,え？はい、お願いします
QB,まずはソウルジェム
マミ,これがないと始まらないわね
QB,それぞれのイメージに合わせてカラーリングが自由に選べる上に、カラーバリエーションはほぼ無限さ。次に魔法少女服
マミ,これも重要ね。魔法少女の命とも言えるわ
QB,これもデザインは君の自由だ、イメージ通りの形に構築するよ
マミ,もしどんな風にするか悩むようなら、私がいいデザインを考えるわよ
ほむら,え、本当ですか？私、オシャレとか自信がないからお願いしようかな・・・
QB,やめておいた方がいいと思うけどね
マミ,QB！それどういう意味よ！
QB,気をとりなおして、次は願い事。これはこの商品のメインともいえるものだね
マミ,そうね、とても重要なことよ。だからこそちゃんと考えて欲しいと思うの
QB,以上が基本セットだね。武器とか能力は願い事や資質に左右されるからセットには含まれないよ。そして、今契約してくれるなら・・・・なんと！。この万能刺身包丁をつけちゃうよ
マミ,えぇっ！凄いわQB！これで魚介類系の魔女が出ても安心ね
ほむら,万能？なのにお刺身用なの・・・？
QB,この包丁も特製だからね、とてもよく切れるから気をつけるんだよ。迂闊に使おうものなら、まな板どころかキッチンまで真っ二つだよ
ほむら,えぇぇ・・・
QB,そして更に！今回限りの特別奉仕！。この特製高枝切りバサミもつけるよ！これも3000ｍまで伸びる特別製さ！
マミ,素晴らしいわ！これで樹木型の魔女が出ても大丈夫ね！
ほむら,高枝切りバサミって、通販だとオマケじゃなくてメイン扱いじゃないのかな・・・
マミ,でもQB、そんなにいろいろ付けちゃって大丈夫なの？
QB,もちろんさ！と言いたいところだけど、実はちょっと厳しいんだ。だから今回限りのワンチャンス！後で「あの時契約しておけばよかった」と思っても遅いよ。おや、そろそろ時間のようだね。願い事が決まったら僕にテレパシーを飛ばしてね！。それじゃあ、君の契約待ってるよ
ほむら,・・・。魔法少女、か・・・。でもやっぱり怖いし、願い事も・・・これといってないし・・・。ごめんね、鹿目さん、巴さん・・・。私はやっぱりそういうのは無理だよ・・・。それに・・・QBにテレパシーってどうやるのかも分からないよ・・・。え・・・？きゃあああああっ！マミマミの再放送が終わってる！。そんな・・・、スーパーマミマミになる前の名シーンのある３話を見逃すなんて・・・。もう寝よ・・・。はぁ・・・。いろいろ考えすぎちゃって結局あんまり寝られなかったな・・・。あ、鹿目さん
まどか,おはよう、ほむらちゃん
ほむら,お・・・おはよう、鹿目さん。凄い！おはようって友達と言い合えるなんて夢みたい！
まどか,あのね、ほむらちゃん。昨日のテレビ見た・・・？
ほむら,昨日って、もしかしてQBの・・・
まどか,うん、見てくれたんだね！
ほむら,その、アニ・・・テレビを見ようとしたら無理やり始まって仕方なく・・・
まどか,え？そうなの？
ほむら,魔法ってあんなこともできるんだね。ビックリしちゃった
まどか,うーん、私はそういうことはできないんだけど。マミさんやQBだとできるのかなー？
ほむら,巴さんって凄いんだね
まどか,ｳｪﾋﾋ。私の自慢の先輩だよ
マミ,ｸｼｭﾝ！！
QB,マミ、風邪かい？
マミ,誰か噂してるのかしら・・・？
QB,そんなアテもないのになにを言っているんだいマミ？
ほむら,はぁ・・・鹿目さんは魔女退治に行っちゃったし、今日はまっすぐ帰ろう・・・
まどか,ほむらちゃんも一緒に来る？
ほむら,あ、あの私・・・ごめんなさい・・・！
まどか,あっ・・・
ほむら,私ってほんとバカ・・・なんで断っちゃったんだろ・・・。え？私のことかな？。はい？なんでしょうか？
QB,今ちょっとアンケートやってるんだ。時間は取らせないからちょっと協力してもらえないかな？
ほむら,きゅ、QB！？
QB,やあ、暁美ほむら
ほむら,アンケートって、どんなことを聞いてるの？
QB,いや、大したことは聞いてないよ。ここじゃあれだからちょっと場所を移そうか、その先に小さな喫茶店があるんだ
ほむら,うん、いいｙ・・・。はっ！これはもしかして英会話の教材を買わされるパターンの勧誘！？。あのっ、私ちょっと忙しいからまた今度にして！
QB,え？大丈夫だよ、すぐ終わるから
ほむら,ごめんなさい！
QB,行ってしまった。この勧誘方法はあまり有効じゃないなぁ
ほむら,はぁ・・・っ、はぁ・・・っ。危なかった・・・。どうしよう、なんだかQBの勧誘がだんだん怖くなってきたよ・・・。このまま落ち着いてくれるといいんだけど・・・。ただいまー、あれ？机の上に雑誌が？。こんな雑誌買ったかな？。・・・。これは月間魔法少女じゃなくて、月間巴マミじゃないかな・・・
QB,この方法もダメか。え？この雑誌かい？毎月刊行で定価4780円、ただし魔法少女候補なら無料だよ。バックナンバーは創刊号から取り扱っているよ。ちなみに創刊号は特別価格で1050円さ。もし興味があるならテレパシーで連絡してくれるかな
ほむら,あれ？ポストに何か・・・？新聞は取ってないし、なんだろう？。・・・
MAMI,今日から２年生！新しいクラスに新しい友達！楽しみだな！
QB,おっと、そこの君。新学期に想いを馳せるのもいいけれど、僕と契約して魔法少女になってよ！
MAMI,え？魔法少女って何？
QB,魔法少女というのはだね、どうたらこうたら
MAMI,ええっ！それは凄いよ！私、魔法少女になる！
ほむら,・・・。何この超展開・・・
QB,この方法も有効じゃないみたいだね
ほむら,はーい？
QB,やあ、暁美ほむら。QHKだよ。受信料の支払い手続きは済んでいるかい？。見る機会がなくても、チューナーを内蔵した機器があるだけで支払わないといけないんだ。ついでに魔法少女の契約もしようよ！。この方法も効果は見込めないな
ほむら,はーい？
QB,やあ、暁美ほむら。魔法少女新聞を取らないかい？。この方法でも無理みたいだね。え？魔法少女新聞かい？。これは1ヶ月ごとの契約で月々6980円だよ。3ヶ月契約だと12600円、半年契約だと23200円だよ。もし興味があるならテレパシーで連絡してくれるかな。あと僕は不良品じゃないよ、いろいろな勧誘方法を模索しているんだ。次はとっておきの方法を試してみようかな、まず張り紙をはらないと・・・。ｱｹﾐｻｰﾝ、ｲﾙﾝﾃﾞｼｮｰ？。ｵｶﾈｶｴｼﾃ、ｼﾞｬﾅｶｯﾀﾏﾎｳｼｮｳｼﾞｮﾆﾅｯﾃﾖｰ。ｵﾗｧ！ﾏﾎｳｼｮｳｼﾞｮﾆﾅﾚﾔｧ！！
ほむら,怖い・・・誰か助けて・・・鹿目さん・・・
まどか,あれ？ほむらちゃん今日おやすみなのかな？通学路でも会わなかったし・・・
さやか,え？暁美さん？
仁美,あら、本当ですわ。暁美さんは退院したばかりですし、体調が良くない日もあるのではないでしょうか？
まどか,うーん、心配だなぁ・・・
さやか,お？まどかは暁美さんにゾッコンだなぁ。さやかちゃんは寂しいぞー
まどか,えぇ！？ち、違うよー。その、ほむらちゃん一人暮らしだし何かあったらと思うと・・・
さやか,隠すな隠すなー
まどか,きゃぁぅ！もうっ！ほんとに違うってばぁ。でもほむらちゃん、本当に大丈夫かな？もし倒れてたりしたら・・・。何の反応もないよ・・・どうしちゃったんだろ・・・。というかこの張り紙はなんだろ・・・？字が汚くて読めないや・・・。ほむらちゃーん？。ほむらちゃーん
ほむら,鹿目さん？
まどか,あ、ほむらちゃん？良かった、心配したんだよ
ほむら,・・・
まどか,ほむらちゃん？どうしたの？もしかして凄く体調が悪いの！？
ほむら,そうじゃないけど・・・
まどか,あの、よかったらドアを開けて中に入れてもらえないかな？。お見舞いにって思って、果物とか買ってきたんだよ
ほむら,・・・鹿目さん、今一人だけ？
まどか,え？そうだけど・・・？
ほむら,今からカギを開けるから、そしたらすぐに入って
まどか,う、うん？よく分からないけど分かったよ
ほむら,鹿目さん！早くっ
まどか,え、わ・・わ・・・っ
ほむら,はぁ・・・っ、はぁ・・・っ
まどか,ど、どうしたの？ほむらちゃん
ほむら,ごめんね、なんでもないから・・・
まどか,っ・・・！危ない！
ほむら,うぅ・・・
まどか,ほむらちゃん！大丈夫！？
ほむら,うん、ごめんね。ちょっと眩暈がしただけだから大丈夫だよ・・・
まどか,全然大丈夫じゃないよ！
ほむら,鹿目さんが来てくれたから安心しちゃって、気が緩んだのかな
まどか,いったい何があったの？
ほむら,実は・・・。あっ・・・///
まどか,もしかしてほむらちゃん、ご飯食べてないの？
ほむら,うん、買い置きはあるんだけど食欲がなくて・・・
まどか,私リンゴ買ってきたから剥いてあげるよ！リンゴなら食べられるよね？
ほむら,ありがとう鹿目さん・・・
まどか,リンゴ剥けたよー
ほむら,うん・・・
まどか,ちょっと形は変だけど・・・でもほら、食べて食べて
ほむら,。。うっ・・・ひっく・・・
まどか,ほ、ほむらちゃん！？ごめんね、リンゴ酸っぱかったかな？
ほむら,ううん、違うの。鹿目さんが居てくれるのが嬉しくて・・・
まどか,私で良ければここにいるよ。だからほむらちゃん、何があったか話してくれるかな？
ほむら,あのね・・・。ということがあって、QBが怖くて・・・
まどか,そんな・・・
ほむら,私がすぐに魔法少女にならなかったのが悪いんだ・・・だから今も鹿目さんにも迷惑が・・・
まどか,違うよ！
ほむら,
まどか,そんなことないよ！これはどう考えてもQBが悪いよ
ほむら,でも・・・
まどか,QB！どうせ侵入してその辺にいるんでしょ？出てきて！
ほむら,出て・・・こないね・・・
まどか,うーん、よし。マミさんの家に行ってみよう
ほむら,え？でも・・・
まどか,QBが居るかもしれないし、居なくてもマミさんが相談に乗ってくれるよ
ほむら,うん・・・
QB,
マミ,QBがそんなことを・・・
ほむら,おうちに居ても物音とかが怖くなっちゃって・・・
マミ,私も通販風の時は手伝ったけど、まさかこんなにエスカレートするなんて・・・
まどか,ごめんね、ほむらちゃん。ほむらちゃんが魔法少女になるかもしれないって思ったら。もっと仲良くなれると思って、そしたら舞い上がっちゃって・・・
マミ,私も仲間が増えるかと思ったら嬉しくて・・・つい・・・。ごめんなさい、暁美さん。私たちはあなたに申し訳ないことをしてしまったわ
ほむら,そんな・・・私こそずっと悩んでて、それが巴さんたちに変に期待させてしまって・・・
まどか,ほむらちゃん・・・
マミ,そんなことないわ、暁美ｓQB「やあ。みんな揃って何をしているんだい？
ほむら,ひっ！きゅ、QB！
まどか,ほ、ほむらちゃんが抱きついてきた！これは今までの私の人生で一番の自慢だよ！
マミ,・・・
まどか,マミさん・・・？
マミ,ティロ・ハリセン！
QB,キュブシ！！。何をするんだいマミ
マミ,あなたには反省するという考えはないの？
QB,反省？何のことだい？僕には反省する事が思い浮かばないよ
マミ,ティロっ！ティロっ！ティロっ！
QB,いたっ、ちょ、マミ、やめ、いたっ！たんなる、いたっ、紙の、った、加工物ったい、でもっ、いたっ
まどか,ほむらちゃん、大丈夫？
ほむら,うん、ごめんね。もう落ち着いたから・・・
まどか,あぁ、ほむらちゃんが離れちゃった・・・
マミ,ところでQB、あなた暁美さんに迷惑を掛けているそうじゃない
QB,迷惑？何のことだい？僕には迷惑を掛けた事が思い浮かばないよ
マミ,
QB,待って、マミ！そうだ、話を聞くよ！話し合いは相互の理解のために必要だね！
まどか,ほむらちゃんをしつこく勧誘するのをやめてよ！
QB,やめても何も、僕は少女を魔法少女にするのが役目なんだ。そうしないと世界は魔女に滅ぼされてしまう、その要求は聞くことができないよ
まどか,だからって・・・、限度があるよ！ほむらちゃん、こんなに怖がってるじゃない！
ほむら,あの、鹿目さん私なら大丈夫だから
まどか,ほむらちゃん、私に任せて！。QB！あんまりほむらちゃんに酷い事するなら、QBが相手でも許さないからね！
QB,君と事を構えるつもりはないよ、まどか。ところでさっき暁美ほむらの家で呼ばれたけど、あえて無視したのは悪いと思っているよ
まどか,マミさん、私にもそれ使わせてもらえませんか？
マミ,ええ、たくさん作ったから遠慮なく使ってね
QB,ごめんよ！戸締りを厳重にされていたから、無理に侵入して出て行くのはどうかと思ったんだ！。だからそのハリセンはやめて！ほんと痛いから！エントロピー凌駕しそうだから！
ほむら,あ、あの。もうやめてあげてください
まどか,ほむらちゃん！？
マミ,暁美さん・・・、いいの？QBは貴女に随分酷いことをしたのよ？
まどか,そうだよ、ほむらちゃん。それに私たちのこともいろいろ馬鹿にしてるし、何より反省してないよ！
ほむら,確かに酷いこと沢山されたけど、でもほんの少しだけ可哀想になって・・・
まどか,ほむらちゃん・・・。なんて優しいの、ほむらちゃん！あぁ、もう天使が地上に降り立ったかのようだよ！
マミ,暁美さんがそう言うのなら・・・
QB,そこまで言うのなら仕方ないね。全く君のわがままにも困ったものだよ
マミ,ティロ・フィナーレ（気分だけ）
QB,キュブシ！！
マミ,さて、流石にQBもそろそろ反省すると思うし。紅茶とケーキでもどうかしら？
まどか,わぁ、やったぁ！ほむらちゃん、マミさんの紅茶とケーキ凄くおいしいんだよ！
ほむら,え、そうなの？楽しみだな・・・
まどか,おいしー！これマミさんが作ったんですか？
マミ,えぇ、日持ちするから明日鹿目さんと暁美さんを呼ぼうと思って作っておいたの
ほむら,お店で売ってるケーキよりおいしいです
QB,僕としては先週食べたガトーショコラってケーキのほうが好みだね
マミ,じゃあまた今度作ってあげるわね
ほむら,あの、鹿目さん、巴さん。
まどか,なに？ほむらちゃん
マミ,ケーキのおかわりかしら？それとも紅茶？
ほむら,その・・・、実は私やっぱりQBと契約しようかなと思って・・・
QB,
まどか,えっ！？だってほむらちゃん、QBが怖いって・・・！
マミ,それは自身の恐怖を置いても叶えたい願いができた、ということかしら？
ほむら,はい
QB,よし。さぁ、暁美ほむら。君の願いはなんだい？
ほむら,私の願いは・・・
まどか,願いは・・・？
マミ,
ほむら,QBからの勧誘をやめさせたい。勧誘されない私になりたい！
まどか,え？」マミ「え？」QB「え？
ほむら,やっぱり無理でしょうか・・・？
QB,わけがわからないよ。マミ、内容をよく理解できない僕がおかしいのかい？
マミ,QBがしつこく勧誘しすぎたから心労で・・・。暁美さんメンタルが少し弱そうだし
まどか,ほむらちゃん、流石にそれはおかしいよ！
ほむら,え？え・・・？
マミ,暁美さん、よく考えて？。まず、QBは何のために勧誘をしているかはわかるわよね？
ほむら,えっと、資質のある人に魔法少女になってもらうため・・・ですよね？
マミ,そうよ。じゃあ魔法少女に対しては勧誘する意味があると思う？
ほむら,あ、そっか。。巴さんの言うとおり、魔法少女になれば、そんな願いをしなくても勧誘されなくなるんですね
マミ,その通りよ
ほむら,ごめんなさい、巴さん。私、ちょっと焦ってたみたいです
QB,今のは流石の僕も驚いたよ・・・
まどか,QBがしつこすぎるのが悪いんだから、ほむらちゃんは気にしちゃダメだよ
ほむら,うん・・・。でもどうしよう、他に願い事考えてなかったよ
QB,あ、あれは違うんだよ！そう、勧誘の一環なのさ。あのスレに魔法少女の資質を持った子が書き込みをしてそうな感じがしてね。ただ、突然脈絡のない発言をしてしまったのはとても申し訳ないと思っているよ。だから・・・・杏子もそのハリセンをしまってくれないかな・・・。君の温情、ありがたく頂戴するよ
マミ,無理して考えることじゃないわ。何度も言うけれど、本当に叶えたい願いを叶えるのよ
ほむら,でも、それだとQBが・・・
まどか,QBは私とマミさんがなんとかするよ！だからほむらちゃんは無理しないで！
QB,まるで僕が悪いことをしているみたいじゃないか
マミ,貴方にとっては悪いことじゃないかもしれないけれど、暁美さんにとっては悪いことなのよ
QB,なるほど、過度の勧誘は逆効果みたいだね
まどか,QB、ほむらちゃんがちゃんと願い事を決めるまで勧誘するのをやめてよ
QB,それは構わないけど、僕としては早いほうが助かるんだけどね
マミ,ダメよQB。女の子を急かすと嫌われるわよ
QB,そういうものなのかい？でも、どうせなら今契約したほうがいいと思うんだけどな
ほむら,？
まどか,どういうこと？
QB,今契約すると、この特製QBストラップ（ソウルジェム用）が貰えるよ
ほむら,そういうのはもういいよ！
QB,やっぱり駄目だったか。仕方ない、魅力的なオマケを考えることにしよう。魔女空間で僕と握手！というのはどうかな？
まどか,それはバツゲームの範囲じゃないかな・・・
マミ,魔法少女候補とはいえ、一般の人を巻き込むのは駄目よ
ほむら,できるならもう二度とあんな場所には行きたくありません・・・
QB,月間魔法少女の付録を豪華にするのはどうかな？
ほむら,豪華に・・・って？
QB,毎月付いてくる巴マミフィギュアパーツ。全て集めると等身大の巴マミが完成するよ！
まどか,それ何年かかるの・・・
マミ,というか本編中にも言いたかったのだけど、勝手に私を使うはやめてもらえないかしら？
まどか,通販だと、同じ商品をもう1個！ってあるよね？
ほむら,うん、そうだね
QB,願い事を2個にしたら現役魔法少女からクレームが来るよ。ソウルジェムを2個にしても意味はないしね
マミ,衣装を増やしてもらえるなら私は嬉しいのだけど･･･
ほむら,あまり奇抜なものじゃなくて・・・、QBのぬいぐるみとかどうかな？
まどか,あっ、それ凄くいいかも！
QB,僕のぬいぐるみかい？
マミ,ちょっと大きくて、抱きしめられる感じなら女の子受けはよさそうね
QB,予備の固体を使う手はあるけど・・・、これはまだマミたちに知られたくないな。検討しておくよ
ほむら,そういえば、願い事を増やしてって願いは駄目なの？
マミ,暁美さん、何気に凄いことを言うわね・・・
まどか,すごいよほむらちゃん！そんなこと思いつくなんて天才だよ！
ほむら,そ、そうかな・・・？
QB,願い事を増やす、っていうのは魔法少女の願いとしては難しいんだ。僕たちと同等の力を持つことに近いしね。余程の因果を持ってないと駄目だね。等身大マミフィギュアを作ってみたよ
マミ,何で勝手にそんなことをするの！？
まどか,すごい、見分けが付かないぐらいそっくりだよ！
QB,これをオマケにすれば契約もはかどるかな？
ほむら,うわぁ・・・すごい・・・きゃっ
QB,あ、首はジョイントが弱いからすぐ取れちゃうよ。気をつけて
ほむら,魔法少女入門の冊子をつけたらどうかな？
QB,君が積極的に考えてくれて嬉しいよ
マミ,確かに、魔法少女になっても独りぼっちってあるものね。心強そうだわ
まどか,さすがほむらちゃん！
