パンケーキを巡る血肉わけた戦い,ウソ
ありす,はい、お待たせしました。橘流いちごスパゲティパンケーキになります
あずき,
穂乃香,
忍,
柚,
ありす,どうかしましたか？せっかく栃木からイチゴパスタの麺を入手できましたから、まずは皆さんにと
巴,ウマい！ウマいのぅ！ありす、これはまた格別じゃ！
ありす,ありがとうございます。上の生クリームはリコッタチーズを交ぜてより爽やかさを求めました
巴,それにこのハチミツ。純正か何か知らんが、くせになる味じゃのぅ！
ありす,ネネさんが言うには、純正に近いとえぐみがあって大人の味になると聞きますが、さすがは巴さん。もう大人の味がわかりますか
巴,大人かどうかわからんが……おかわりじゃ！
ありす,はいっ！
