戦士♂,そうだ。お前はひのきのぼうだ
戦士,僧侶は……自身より遥かに有能な賢者が入ってきたことで……。……自分の力量の限界を悟り、進んでパーティーからの脱退を願い出た
勇者,えっ？。ど、どういうこと？ねえ、ボクそんな話聞いてないよ！？
商人,い、いやあ、我々も急な話で驚きましてな
勇者,ちょっと待ってよ、僧侶はどこ？直接話をして――
賢者,僧侶殿は、すでに町を去られました
勇者,えっ！？ひ、一人で？。このへんの魔物が手強いの知ってるでしょ！？まだ今日の疲れも取ってないのに！！
戦士,落ち着け勇者。僧侶には。僧侶には、貴重なキメラのつばさを持たせた。故郷までひとっ飛びだ。危険はない
勇者,そ、そうなの？商人さん
商人,もももちろんですとも。ある程度の金銭も持たせましたし、帰っても当分は生活も安泰かと
勇者,そ、そうなんだ……。でも、ボクに何の相談もなしに……
戦士,……このところかなり思いつめていたようだぞ。勇者に迷惑をかけたくはない、と
勇者,ボク、僧侶を迷惑に思ったことなんて、一度もないよ！
戦士,勇者はそう思っていたとしても、事実、回復や一部の補助以外は、足手まといだった
勇者,……本気で言ってるの？僧侶はね、ボクなんかよりずっと賢くて。町の人の会話なんかも、ダンジョンの地形なんかも、全部憶えられるんだよ？
戦士,何？。では、今まで勇者の得ていた情報が常に正確だったのは
勇者,……僧侶に教えてもらってたんだ。恥ずかしいから、こっそり聞いていたけど。それに、戦いでは一番みんなの体調を気にしてて……自分のケガなんかほったらかしで……。だからボクたちが教会のお世話になったことなんて、ほんの数えるほどしかなかったでしょ？
戦士,……すまない。それは気付かなかった
勇者,足手まといだなんてとんでもないよ。僧侶がいないと、とてもここまで来れなかった……
賢者,大変恐縮ながら勇者様。よろしいですか？
勇者,……なに？
賢者,彼は自分の意思でこの場を離れました。それほどの貢献を経た上で、自分で決断を下したのです。であれば、我々はその意思を尊重するのが、彼の本意ではないでしょうか
勇者,でも……
賢者,不肖この賢者、記憶力も状況判断力も、人並みよりは優れていると自負しております。彼の穴埋め以上のはたらきは必ず果たし、勇者様への尽力は惜しまぬと誓うゆえ。どうか此度の顛末には、ご理解ご寛容を
勇者,……。……
賢者,勇者様、どちらへ？
勇者,ルーラで僧侶に会いに行く。やっぱり一度きちんと話さないと
商人,そ、それはっ……
戦士,それはならん、勇者よ。なんのために僧侶がお前に会わずに去ったと思う。教えてやる、互いに未練を引きずらないようするためだ。すっぱり繋がりを絶てばしこりも残らん。そして恐らくその判断は正しい。いま僧侶に会いに行くのは、その意志、克己を踏みにじることになりかねん。だが……それでも構わず、我を押し通すというなら、行ってくるがいい
商人,ちょっ
戦士,だが勇者、私情に振り回されるようでは、俺は魔王を倒しうる器とは思わんぞ
勇者,……
賢者,勇者様
勇者,寝室だよ。話は分かった。……今日はもう疲れちゃった。先に寝てるから……
商人,ふうう、なんとか乗り切りましたな！
戦士,……俺は人を騙すことに慣れていない。後味は最悪だ。だがこの件だけはやむを得まい。勇者は擁護していたが、やはり俺からしてみれば、僧侶は優秀な人材とは思えなかった。より呪文に秀でた賢者が参入した今なら、尚更だ
賢者,恐縮です
戦士,なのに、勇者の僧侶への入れ込みようは度が過ぎていた。魔王打倒に万全を期すためにも……この辺で決別してもらわねば
賢者,ええ。私は彼のことはよく知りませんが、やはり５人での長旅というのは効率が悪いかと
商人,とんでもない話です！人数が一人増えるだけで、経済的にはえらい負担ですぞ！
戦士,とにかく全ては、確実に魔王を倒すためだ。我々ももう僧侶のことは忘れよう。明日は未踏の地への探索だ。各々、今日は早めに床につくがいいだろう――
賢者,この周辺の地形に関してはお任せください。私にとっては庭のようなものです――
商人,あ、あれ？お二人とももうお休みで？うむむ、せっかくの酒盛りが――
僧侶,……。ちょっと寒いなぁ。やっぱりあの装備って、防寒効果もすごかったんだなあ。そうだよ、装備がないから、魔物にばったり遭わないようにしないと。おっと。魔物だ。まだこっちに気付いていないな。遠回りしていこう――。おっと。魔物だ。ここは隠れてやり過ごそう――。おっと魔物だ。全力で逃げよう！――。おっと。もう日が沈んじゃうな。そろそろ野宿する場所を確保しておかなくちゃ。あっ。雨だ。雨が降ってきた。大変だっ。どこか雨宿りできる場所……あっ、この木のウロ、結構広そう。うん、中に何もいないみたいだし、何かがいた痕跡もないし、ちょうどいいや。よっしょ。いい感じ。もうすっかり暗くなってきたし、今日はここで寝よう……。……戦士さんたち、大丈夫かなぁ。寝てるとき風邪引かないかな。戦士さんは頑丈だから病気とは無縁だけど、商人さんは寝相が悪いからなぁ。ちょっと心配。賢者さんはどうだろ。きっと僕なんかよりずっと頭が良い人だから、心配するのは失礼かな。勇者は……いつも布団を多めに被ってるから大丈夫だよね……。勇者といっても、まだ年頃の女の子なんだし……体調には気を配らないと……。……。Ｚｚｚ――。……。……寒い……ちょっと寒い……。……でも平気……寒くない……。！。あ。朝。そっか。そういえば僕ひとりだった。勇者たちから抜けて、家に帰るところだったんだ。魔王を倒しに行くのに比べたら、ずいぶん気楽な旅路だよね。ん……。雨はやんでるけど……地面がべちゃべちゃだ。こりゃ歩きづらいなあ。と。こんなこと言ってたら、また戦士さんに怒られちゃう。う～ん……よしっ。出発！。一つ前の村までの道順はこっち……うん、こっちが最短距離。目的地への方角がちゃんと分かるって幸せだね。自信を持って歩けるもの。道のりもやることも分からなかったら、僕にはきっと耐えられないだろうなぁ。……。ん……！。やっぱり出た！右手の抜け道は……。うわわっ。こうなったらいったん引き返して……。！。は、挟まれちゃった！逃げ場がない！。戦わなきゃ。戦わなきゃ。ぼ、僕一人で……戦えるかな……
勇者,やあっ！
商人,このおおおっ！
賢者,そのグループはまとめて倒せますね
戦士,こいつで最後だ！
勇者,ふう……
戦士,今の戦いはなかなか質が良かったな
商人,多めにゴールドを回収！
賢者,勇者様、足から血が
勇者,えっ？ああ、こんなのかすり傷だよ
賢者,私にはまだまだ魔力に余裕があります。回復させてください
勇者,そ、そう？じゃあお願い、僧侶――じゃなかった賢者さん！
賢者,……
戦士,勇者。僧侶のことは忘れろとは言わんが、早いうちに意識を切り替えろ。最終的に魔王との戦いは、このパーティーで挑むことになるのだからな
勇者,わ、分かってるよ。今のは、ちょっと。賢者さんが、いつもの僧侶と同じことを言ってきたから、つい……
賢者,いつも？
商人,そうです、僧侶の奴は、戦闘が終わるたびにイチイチ他人のケガを見て回るのです。いやーしつこいもんですぞ。別にいいと断る頃には、すでに回復呪文を唱えておりまして
戦士,うむ、あれは考えなしだった。魔力の使い方としては、えらく非効率に思えたものだ
賢者,まぁ、毎回そんなことをやれば効率は悪いでしょうね
勇者,……みんな僧侶のこと何にも知らないくせに……
商人,それにしても、やはり賢者殿は相当な戦力になりますな！
賢者,お褒め預かり光栄です
戦士,お前は先の町で、長らく呪文の研究をしていたのだろう？。若いということもあって、正直あまり戦闘には期待していなかったが、。予想に反して立ち回りは様になっていた。どこで覚えた？
賢者,私は魔道の修練のため、大陸中を巡りました。元々旅には慣れ親しんでおります。空白期間こそありましたが、思ったより勘が鈍っていなかったので幸いでした。すぐに皆様に息を合わせられるよう、精進いたします
商人,何をおっしゃる、賢者殿はもうすっかりパーティーの一員ですぞ！
戦士,うむ。賢者がパーティーの良き参謀となれば、以前よりも旅は安泰になることだろう
勇者,……そんなの絶対分かんないもん……
賢者,あ。勇者様、足元っ
勇者,うわ。っとっと
賢者,大丈夫ですか？
勇者,う、うん平気。ありがと。…………ちぇっ……
戦士,――そろそろ日も傾いてきたが、次の町まではあとどのくらいなのだ？
賢者,あと一山、越えなければなりませんが……勇者様、いかがいたしましょう
勇者,それなら頑張って歩こう。まだみんな余力はあるみたいだし
商人,賢者殿のおかげで、前よりずっと好ペースで進んでおりますからな！
賢者,それは何よりです
戦士,お前はパーティーに加入したばかりだ。くれぐれも無理はするなよ
賢者,ええ、ありがとうございます
勇者,……ねえ賢者さん
賢者,はい？
勇者,賢者さんは、どうしてこのパーティーについていこうと思ったの？
賢者,それは無論、この世に悪をもたらす元凶、魔王を征伐するためです。魔王はいにしえより、選ばれた勇者の剣でのみ討ち果たされると言われています
戦士,……
賢者,ゆえに勇者様が先の町に立ち寄ると伺ってからは、元より同行させて頂くつもりでした。もちろん希望通りにパーティーに参入できるとは思えませんでしたが――。幸運にもそちらの商人様の紹介あって、人員交代の機会に恵まれた次第です
商人,いや何の、腕利きの賢者がフリーだと聞いては、声をかけずにはいられませんとも！
勇者,ボクには急な話だったけどね
戦士,仲間になるかもしれん、という話は予め伝えておいたはずだが
勇者,僧侶が抜けるなんて聞いてないよ
戦士,まだ言っているのか。過ぎたことを引きずるな。あれは……。あれは僧侶の意志だったのだ。お前も納得しただろう
勇者,……まだ全部飲み込めたわけじゃないよ。一日経ったばかりだし
商人,まあまあ、徐々に今のパーティーに慣れていけばいいじゃあありませんか！
勇者,……でも……
賢者,勇者様。私の能力では、何かご不満でしょうか？すぐに改善いたします、何でも仰ってください
勇者,えっ？い、いや、そういうわけじゃないよ。賢者さんはすごく頼りになると思う。ほら、もう日が沈んじゃうよ、先を急ごっ
僧侶,ふう。なんとか勝てた……。……。こっちも命がかかってるから、甘いことは言ってられないけど。このモンスターたちも、子供がいたり、生きるのに必死だったかもしれない。供養だけでもしていこう。僕一人しかいないし、誰にも迷惑かからないよね。――。よし、先を急ごう。次の村に着いたら、装備だけでも整えようかな。やっぱり手ぶらじゃきついや。わ、よく見ると服もドロだらけだ。新しい服も買っておこう。そうだ、好きなものが自分のお金で買えるんだ。一人旅も悪くないかなあ。はぁ……はぁ……。今度はうまく逃げられた。しかも村の方向だ、ラッキーだね。あ。この坂、見覚えあるぞ。ここを越えたら――。見えた！村だ。まだ結構歩かなきゃならないけど。！。また雨！。うーん、雨宿りするには中途半端な距離だなぁ。よし、もう日も沈んで暗くなってるし、今日は頑張ってあそこの村まで行こう。うわあ、雨足早いぞ。急がなくちゃ！。歩きづらいなぁ。視界も悪いし。でも負けないぞ。なんてったって僕は勇者のパーティーにいたんだ。雨の中でも勇気を出して、胸を張って歩こう。ん……！。村まであと少しだ。こうなったら……。今のうち！。ぶぼ！いてて……。はぁ……はぁ……あれ？。必死で逃げてたら、いつの間にか村に着いてた……。良かった。なんとか無事に、一人で戻って来れたぞ。村の人は……やっぱりみんな家の中だ。こんな天気だもんね。ええっと、まずは宿屋？ううん、こんなに汚れたカッコじゃ、会う人に失礼だね。まずはお店に行って着替えを買ってこよう。ついでに装備も整えられるし、一石二鳥だ。もうすっかり遅くなったし、雨も降ってるけど……開いてるかな？。確かこのカドを曲がって……左に行って……もひとつカドを折れたここ！。よかった開いてる！。こんばんわ～
武具屋,いらっしゃ……ん？お前どこのガキだ？
僧侶,僕は通りすがりの旅人です。お金はあります、服を下さいな
武具屋,おい馬鹿野郎、濡れたカッコで入ってくるんじゃねえ！外で水きってこい！
僧侶,ごめんなさい
武具屋,旅人ねぇ、そうは見えねぇがなあ。ま、金があるってんなら一応客だが
僧侶,所持金は１２５ゴールド……この村の宿屋は確か一人２０ゴールドだから……。１０ゴールドのぬののふくと……かわのぼうし８０ゴールドまで買える！。これとこれを下さい
武具屋,９０ゴールドだ。偽金じゃねえだろうな
僧侶,へへ。奮発してぼうしまで買っちゃった。一人で買い物って楽しいな。あ、そうだ。武器も見せてくださいな
武具屋,ああ？あといくら持ってんだ？
僧侶,３５ゴールドです
武具屋,はっ、やっぱ金持ってねえのか。その額じゃこれとこれしか売れねえな
僧侶,ふむふむ、３０ゴールドのこんぼうと……あ！。これ下さい！。これでよし。ありがとうございました
武具屋,へへ、いまどきあんなひのきのぼう買うバカがいるとはな。一緒に並べて正解だぜ、タダ同然で仕入れて５ゴールドの儲け！。頭の回んねえ奴だ、まさにひのきのぼうに相応しいガキだったぜ。へへ……
僧侶,ひのきのぼう、買っちゃった。戦士さんが僕のことをひのきのぼうって言ってたけど。僕にはぴったりだ。このひのきのぼうは、まさしく運命の相棒なんちゃって。残りは３０ゴールド。この村の宿代は一人２０ゴールド。残り１０ゴールドで薬草も買えちゃうぞ。大事に使おう。えっと宿屋はこっちか。新しい服が濡れないように気をつけなくちゃ……。こんばんは～
主人,いらっしゃいませ……おお、あなた様は勇者様ご一行の！
僧侶,わあ、覚えてくれて、ありがとうございます。そうです、僧侶です
主人,あなた方であればいつでも歓迎します！どうぞどうぞ
僧侶,あのうすみません、今日は僕一人なんです
主人,……はて？どういった事情が？
僧侶,僕は先日、勇者のパーティーから外れたんです。今は故郷に帰るところなんです
主人,ははあ……なるほど、そういうわけですか……
僧侶,こちらの宿代は、一人２０ゴールドですよね。一泊、泊めさせてもらえませんか
主人,……うーむ。勇者様がいないのでは、愛想振りまいてもしょうがないな……いま忙しいし……。あーその……実は８０ゴールドなんですよ
僧侶,えっ？この間パーティーで泊まった時は、全員で８０ゴールドでしたよね？
主人,ええーそれが、一泊、８０ゴールドだったわけでして
僧侶,えっ、そうだったんですか。僕、いま３０ゴールドしか手持ちがないんですけれど……
主人,あー……、……では、残念ながら……はい……
僧侶,他に泊まれるところは知りませんか？
主人,いえいえ、あったとしても、競合店を紹介するような真似はできませんよ
僧侶,そうですか……では、お邪魔しました
主人,はい、ご予算に都合がつきましたら、是非とも当宿屋に。……ふう、なんとか追っ払えたか。それじゃ仕事仕事――
僧侶,そっかぁ。一泊で８０ゴールドだったんだ。他のところと違うんだ。困ったなあ。８０ゴールドだったら、ちょうどこのかわのぼうしと同じ代金か。きっと贅沢したから、バチが当たっちゃったんだろうなぁ。反省。じゃあ、今晩どうしよう。やっぱり野宿しかないかな。そうだ！キメラのつばさがあれば、家までひとっとびだ！道具屋に行ってみよう。確か取り扱ってなかったはずけど、もしかしたら新しく入荷してるかもしれない。３０ゴールドで譲ってはくれないだろうけど……一応、ダメ元で訪ねてみよう
道具屋,ねえよ、キメラのつばさなんて大層なもん。帰んな帰んな
僧侶,そうですか……。この村には他に泊まる場所がなかったし……やっぱり今日も野宿か……
下女,ちょっと道具屋さん、薬草ちょうだい！
ドンッ僧侶,わっ
道具屋,おや村長ンとこの。こんな夜分にどうしたんだい？
下女,それが、旦那様の具合が急変しちゃって！どうしたらいいか分かんないのよ！
道具屋,そりゃまた大変だ
下女,とにかく薬草を煎じて飲ませるぐらいしか思いつかないの！お金はあるわ！早く！
僧侶,……あのう
下女,なによアンタ、邪魔よ！
僧侶,えっと、僕いちおう僧侶ですけど、もしよければ診ましょうか？村長さんを
村長,ゴホッ、ゴホッ……
僧侶,……
奥さん,まったく、何でこんな子供連れてきたの！
下女,も、申し訳ありません、一応僧侶と名乗ってましたので……
僧侶,……あの
奥さん,な、なに？どうなの？
僧侶,最近、こちらの村長が無理をされたことは？
奥さん,そ、そうね。勇者様が来るってことで、風邪の中わざわざ無理を押して出迎えたわ
僧侶,……！それは気付かず、申し訳ありませんでした。実は僕は、その勇者と一緒にいた者です。数日前に、こちらに挨拶に伺ったことがあります。そのとき病気だと気付いていれば……
奥さん,そ、そうなの？あんたの顔なんて全然覚えてないけど
下女,……！だ、だったら……。アンタには、旦那様を治す責任があるはずよっ！。アンタたちのせいで、旦那様の具合が余計に悪くなったんだから！
僧侶,そうですね。ごめんなさい
奥さん,ちょ、ちょっと、勇者様のお連れに向かって……
下女,いえ奥様、この子が一人でこの村に戻ってくるなんて、不自然だと思いませんか？。きっと仲間から外されたに違いありません。今なら怖いものなしです。勇者様の名を盾に無理なお礼を要求される前に、逆に責任を全部押し付けちゃいましょう
奥さん,なるほど。ヘタにした手に出るより、そっちの方がいいわね
僧侶,あのう……？
奥さん,オホン。いいこと、あんた達がウチの主人に無理させたから、こんなことになったのよ。ここは責任持って、きっちり主人を看病しなさい。いいわね！
僧侶,は、はい。もとよりそのつもりですけど……そのう……
奥さん,主人に何かあったらあんたの責任よ、いいわね！じゃあ、あたしは子供の世話があるから
下女,あ、奥様、お手伝いします。ちょっとアンタ、ちゃんと旦那様を診ときなさいよ！
僧侶,あ、あの……。……行っちゃった……
村長,ゴホッ……ゴホッ……
僧侶,この病気には、まんげつそうがあれば特効薬が作れるんだけど。ここには薬草しかないし、困ったな
村長,ゴホッゴホッ
僧侶,大丈夫ですか？。こんなの気休めにしかならないよ。やっぱり薬を飲ませないと。仕方ない、さっきの道具屋で買ってこよう。確かまんげつそうは３０ゴールド。今の手持ちも３０ゴールドぴったり。良かった。人助けすると、こんなところでラッキーが起こるんだね。ん、ラッキーってのはちょっとおかしいかな？まあいいや。村長さん、ちょっと待ってて下さいね。まんげつそうを買ってきます
村長,ゴホッゴホッ
僧侶,すぐに戻ってきます！。ただいま戻りました。店じまいの途中だったから、すごく怒られちゃった。でも閉まる前に間に合ってよかったな
村長,……ゴホッ、ゴホッ
僧侶,ええっと……炊事場、勝手に使っていいのかな。まずはお湯を沸かして……あ、沸かしてある。このやかんを使おう。えっと次に……包丁でまんげつそうを刻んで……
村長,ゴホッ、ゴホッ
僧侶,！大丈夫ですか？。やらないよりいいよね。これからこまめに呪文もかけていこう――。村長さん、お薬ができました
村長,……ふぅ……ふぅ……
僧侶,ちょっと熱いですよ。ゆっくりでいいので、飲んでください
村長,……
僧侶,はい。これで大丈夫です
村長,ゴホッ、ゴボッ……
僧侶,！。これは朝までついていた方がいいかなぁ
村長,ハァ……ハァ……。……ゆ……勇者様……
僧侶,！。気がつきましたか？無理に喋らなくていいですよ
村長,ゆ……勇者様……
僧侶,僕は勇者じゃありませんよ。安静にしていてください
村長,オーブを……オーブをお持ちくだされ……。……この村から……少し西へ向かったはずれに……ゴホッゴホッ
僧侶,えっ？何ですか？ちょっと詳しく
村長,ほ……ほこらが……。……私をほこらに……オーブを……。さすれば……魔の城へ続く道が……。……言い伝え……。ゴホッゴホッ……。……
僧侶,村長！村長。寝ちゃった。オーブかぁ。そんな大事そうなこと、どうしてこの間勇者に言わなかったんだろ。もしかして言うのをためらっちゃうほど、極秘の情報だったのかな……
村長,……
僧侶,……
下女,なにこれ！道具が出しっぱなしじゃない！
僧侶,ん……あ。おはようございます……
下女,ちょっとアンタ、勝手に私の仕事増やさないでよ！
僧侶,えっ？あ……片付けるの忘れてた……ごめんなさい……
下女,これなに？薬？
僧侶,えっ？はい。薬草がたくさんあったので、念のために作っておきました。村長さんにはもう特効薬を飲ませたので、あとはそれを一日三回ずつ飲ませて下さい
下女,それで治るの？大丈夫なのっ？
僧侶,はい。もう大丈夫ですよ
下女,そう、分かったわ。じゃあアンタ早く出て行きなさい
僧侶,えっ？
下女,えっ、じゃないでしょ。元々、アンタのせいで村長様がこんなになって。アンタがそれを治した、これで差し引きゼロよ。違う？
僧侶,なるほど
下女,ううん、ゼロどころか、雨の中一晩泊めてあげた分、こっちが優位なはずよ。そうでしょ？
僧侶,なるほど、そうですね
下女,でもその分はいいから、その代わり早く出て行ってちょうだい。勇者様ならいざ知らず、アンタみたいな見ず知らずの他人を連れて来ちゃったせいで。私は昨日寝る前、また奥様に怒られちゃったんだから！分かった！？
僧侶,はい、分かりました。ごめんなさい
村長,……ううん……
下女,！。は、早く出て行きなさい。旦那様が起きる前に
僧侶,分かりました。一晩泊めていただき、ありがとうございました
下女,そんなのいいから、早く！
僧侶,あ。はい。では、また
下女,ふう……行ったようね。何とか勢いを通して帰らせることができたわ。途中無理があるかと思ったけど、あまり頭が回らない子で助かったわね。あの子、ひのきのぼうなんて持ち歩いてた時点でおかしいと思ってたのよ。見た通りひのきのぼうレベルの子で良かったわ。ふふ
村長,ううん……
下女,！旦那様、お目覚めですか？
村長,ううむ……下女か……
下女,おお旦那様、お具合の方はいかがですか？
村長,……身体が軽い……誰かが付きっきりで看病してくれたようじゃな……
下女,えっ。……え、ええ、奥様がついてらしてましたよ
村長,あいつが……？あいつに、まだそんな甲斐性があったのじゃな……
下女,こちらが……こちらが私がご用意しました、新しいお薬です。ささ、どうぞ
村長,おお、ありがとう……。私は幸せだ。これほどにまで村の者に親われて……
下女,ふふ、これで奥様にも旦那様にも私の株が上がったわ。ひのきのぼうサマサマね！
僧侶,ふああ。ちょっと眠いなぁ。結局昨日はあんまり眠れなかったし。ううん、文句言っちゃいけない。この前みたいに雨の中で一晩越すよりずっとよかったし。ん～……。それにしても、北の城までまだかかるなぁ。城下町から、ちょっと離れた林にある小屋。そこで勇者が帰ってくるのを、のんびり過ごして待つんだ。これが僕の最後の旅……。……ふああ。何だか眠いや……今日は天気もいいし。ちょっとそこの木陰でひと眠りしよう。誰にも迷惑かからないし、いいよね。よいしょ。……ふああ。本当にいい天気……。……Ｚｚｚ……――
勇者,あっ。賢者さん、もしかしてあそこ
賢者,ええ、南の港町ですね
戦士,あそこまでもう一歩きだな
商人,ふう……ふう……いやあ、なかなかしんどいですな……
勇者,この辺になってだんだん暑くなってきたね。みんな大丈夫？
戦士,この程度でへばっているようでは、とても魔王打倒など叶わん
商人,も、申し訳ない、少し休憩をば。ワシは荷物が多いからして
勇者,じゃあボクが少し持ってあげる！もう少しだから、頑張ろう！
商人,は、はひ……
賢者,ふう……
勇者,賢者さんも大丈夫？ちょっと疲れてるでしょ？
賢者,えっ？い、いえ、そんなことはありません
勇者,……ふふ。僧侶はちっとも疲れを顔に出さなかったよ？じゃ、先を急ごっ
賢者,は、はい……。……
勇者,着いた！う～ん潮の香り！
商人,な、何とか日が暮れる前に到着しましたな……
賢者,ふう……。ん、んコホン
戦士,ここが南の港町か。初めて足を踏み入れる
町民,おや、あなた方は？旅人とは珍しい
勇者,こんにちは、初めまして。ボクは勇者です
町民,おお！ではあなた方が北の城から遣わされたという……
戦士,うむ、打倒魔王を掲げる一団だ。王族の刻印付きの証書もあるぞ
町民,それはそれは！ぜひ宿屋まで案内させてください！
勇者,本当ですか？お願いします！
商人,ちょっと待て！お前まさか、善意を装って悪質な宿を紹介する悪徳業者ではあるまいな
町民,え？いえいえ滅相もない！そもそもこの町に宿屋は一つしかありませんし……
賢者,本当ですよ、商人さん。しかしその姿勢、見知らぬ地では頼もしい限りですね
戦士,うむ、勇者はこういうところが抜けているからな。ふう
勇者,わあ、窓から海が見える……きれい……
賢者,最上級の一室ならではの景色です。ここからの眺めは、今も昔と変わりませんね
商人,ううむ、露店が並んでますな。我が身に宿る商魂が昂ぶってきますわ
戦士,だが、夕刻を過ぎて店じまいも多いようだ。道具の調達などは明日が良かろう
勇者,港町かぁ。てことは、大陸中の色んな人が行き交ってるんだよね。魔王城に行くための情報なんかも、紛れてないかな
商人,！ま、魔王城ですか
戦士,ふっ、浮かれて目的を見失ってはいなかったようだな。当然だが
勇者,ボクはただ、この旅を早く終わらせたいだけだよ
賢者,さすが勇者様です。この町は唯一、彼の地へと陸続きになっていますからね
勇者,うん。それが少し気になってたんだけど……
賢者,ですが、ここから直接乗り込むのは、地形の関係で無理ということが判明しています。詳しくお話ししましょう。まず、地図をご覧下さい。少し分かりづらいですが、魔王城の周りは険しい山々で囲まれており。さらにその外側を海が囲んでいます。もっと分かりやすく言うと。地図を見てわかるように、この大陸はドーナツ型です。穴の部分が海です。その海のど真ん中に、魔王城の大陸がぷかぷか浮かんでいるイメージです
勇者,うんうん、そこまでは誰でも知ってる。でも……
賢者,そうです。魔大陸は、完全に孤立していたわけではなかった
戦士,つい最近、発見されたルートがあるのだな
賢者,ええ、このルートが細い陸続きになっていることが判明しました。ですがこの経路はほとんど毒沼で満ちている上、仮に魔大陸に辿りついたとしても……
勇者,しても？
賢者,行き止まりなのです。前述したように、険しい山岳で塞がっていますから
