東山,西住みほ、27歳。彼女は高校時代、軍神として世に名を知らしめました。1年生では全国大会準優勝。2、3年生では優勝。大学では六大学戦車道で4連覇という偉業を達成しました。そんな彼女が今、苦境に立たされています
まほ,出産やみほの再就職のことで悲しい気持ちになるのはわかる。だがみほはそんなに弱いやつじゃない。家族の応援を力にできないような奴はプロに向いてない。だからお前たち家族だけは純粋にみほを応援してやってくれ。遠慮なんてするな
優花里,は、はい。すみません。変なこと言いました
まほ,お前も不安なんだろう。でも今は元気な子供を生むことだけを考えろ
りほ,おばちゃん、おかわりー！
まほ,はいはい、いっぱい作ったからな。ちょっと待ってろ
ー,おはようございます
みほ,おはようございます
―,調子はどうですか？
みほ,きちんと睡眠も取れましたし、バッチリです
エリカ,１ヶ月も部屋貸してあげたんだから絶対どっかに引っかかりなさいよ。あんたねぇ、家事とか全部奥さんにやらせてるでしょ
みほ,いや、ウチの私がキッチンに立つと怒るから……
エリカ,だからってまともに料理もできないってどういうことなのよ！？
みほ,高校時代はやってたんだけどねー。久しぶりすぎて忘れちゃってて
エリカ,まぁでも大学時代思い出して懐かしかったわ
みほ,うん、ありがとうエリカさん
ファン,西住選手！握手してください！。大洗時代から応援してます！頑張って！
みほ,はい、ありがとうございます
エリカ,ちょっと！ダメダメ！今ナーバスになってるんだから終わった後にしてちょうだい
みほ,いいよ全然。一応まだプロだから。ファンは大事にしないと
エリカ,みほ……頑張れ
みほ,もしもし
まほ,みほか。私だ
みほ,お姉ちゃん、優花里さんどう？
まほ,うん、安定している。二人目だし大丈夫だと本人も言ってる
みほ,そっか、ありがとう
まほ,ところで本題なんだが。優花里と話し合った結果、出産の結果は試験前に伝えないことにした
みほ,え！？なんで！？
まほ,一応予定日はトライアウト当日だ。しかしこういうのはどうしたって前後するものだ。当日までに生まれればいいが不安な気持ちのまま試験を受けるのは良くないと思ってな。試合前日や当日に電話を待つのは嫌だろう。よっぽどのことがない限りお前には連絡を取らない
みほ,……うん
まほ,今はトライアウトのことだけに集中しろ。医者も問題ないと言っていたそうだ
みほ,わかった
まほ,頑張れ、お父さん
―,誰からのお電話ですか？
みほ,姉からです。今はトライアウトに集中しろと、出産のことではもう電話はしないと言われました。優しい姉です。まずは通信手ですね
審判,それでは試合開始！。試合終了！。2試合目は午後1時から行います。それまでに各自ポジションを確認しておいてください
みほ,あー、緊張した……
―,どうでしたか？
みほ,はい、バッチリでした！
エリカ,よかったじゃない！
みほ,うん！
エリカ,やっぱりあなた砲手向いてるわよ。ご飯食べましょうか、午後からは車長やるんでしょ？しっかり食べとかないと
みほ,そうだね
審判,試合開始！。試合終了！。これで今年度トライアウトの全日程を終了します
みほ,………
エリカ,お疲れさま
みほ,……うん。やっぱり私ダメかも
エリカ,そんなことない！
みほ,初めて言いますけど私。車長として戦車に乗ると震えが来て汗が止まらないんです。練習だとそんなことないのに。カウンセリングも受けたのに全然効果なくて
エリカ,……自分のことなんだから気付いてないわけないとは思ってたけど。そんな重症だったのね
みほ,だから4年目からは砲手の練習もしてたの。でもチームの方針で車長しかやらせてもらえなくて。本当にずっと悩んでた、本職で砲手やってる人にもなんか申し訳なくて
エリカ,でもこれで進む道はっきりしたんじゃない？
みほ,うん。とりあえず結果を待つよ。あっ、そうだ優花里さん！電話しないと！
エリカ,それならさっきまほさんから私に電話来て生まれたって言ってたわよ。母子ともに健康だって
みほ,ええー！？。優花里！
優花里,あぁ、みほさん
まほ,おめでとうみほ
みほ,よく頑張ったね！
優花里,何言ってるんですか、余裕ですよ。もうベテランですから
エリカ,二人目で何がベテランよ
まほ,それでトライアウトの方はどうだったんだ？
みほ,……うん
エリカ,砲手としては100点満点でした。でも車長の方は……
まほ,そうか、みほもよく頑張った
優花里,パパ、赤ちゃんの顔見てきてあげてください
みほ,そ、そうだね
優花里,そんな悲しそうな顔しないください。一家の長でしょう
みほ,うん。ごめん。新しい門出の日にダメだよね落ち込んでたら
エリカ,私も見ていい？。うわあああ！めっちゃかわいい！
みほ,うん。目元が優花里そっくり
エリカ,一人目の子もそうだけど秋山の遺伝子強いわね！
みほ,そう？りほは私に似てるって言われるけど
エリカ,だってりほちゃん髪の毛くるっくるじゃない
みほ,髪だけでしょ！
エリカ,顔はみほで髪は秋山なのよ！
看護師,お父さん、娘さん抱きますか？
みほ,え、いいんですか？
看護師,はい
エリカ,あのー、私もいい？
みほ,ちっちゃい……。パパ、君の為ならなんでもするよ。頑張る
エリカ,次私！私！。ああああ、柔らかい！私も子供ほしいなあああ！！
みほ,……
エリカ,ったく…。ほーらパパ泣かないで―って。パパが泣くと私も悲しいよーって
みほ,ふっ、何言ってるのエリカさん
エリカ,あんたのため思ってやってんのよ！！
しほ,ついに追い詰めたぞプリキュア
りほ,くっ、私はまけない！いくよ！。クルクルリンクル！プリキュアダイヤモンドエターナル！！
しほ,な、なにぃ！その技を使うとは……。ぐわあああ！や、やられたあ……
りほ,やったあ！りほの勝ち！
しほ,ふっふっふ、甘いぞプリキュア！！
りほ,くっ！まだ生きていたのね！
しほ,今度こそ息の根を止めてやる！
りほ,キュア頭突き！
しほ,いたっ！
みほ,ただいまー
りほ,あーパパおかえりー！！。妹はー？ねえ妹はーー？
みほ,退院までまだちょっとかかるからね。今日から何日かはパパと二人だよ
りほ,えーー！！！
まほ,いい子にしてたか、りほ
りほ,うん！おばあちゃんとプリキュアごっこしてたの！
みほ,ありがとうお母さん。って鼻血出てるよ！？
しほ,3時間連続プリキュアごっこはさすがに疲れたわ
みほ,ごめんね
しほ,いいのよ。で、優花里さんは大丈夫だったの
みほ,うん。今会って来たけど全然元気そうだった
しほ,おめでとう。で、話は変わるけど。トライアウトはどうだったのかしら
まほ,りほ、今度はおばさんとプリキュアごっこしようか
りほ,えーもう飽きた！
まほ,そうか。じゃあ向こうでアイカツでも見よう
りほ,見るー！！
みほ,うん……もしかしたらダメかも
しほ,そう。でも心配しないでいいわ。あなた一人くらい就職の面倒は見れるから
みほ,でも私ももう二児の父で27だし、コネってわけには……
しほ,何を甘えたこと言ってるの。家族に辛い思いをさせる方がよっぽど恥よ。まほはいつまで経っても結婚しないから孫の顔を見せてくれるあなたには感謝してるのよ。少しくらい甘えなさい
みほ,…うん、ありがとう。はい、はい。わかりました
優花里,どこかのチームからの電話ですか？
みほ,うん、石川の独立リーグから。でも車長としてだって
優花里,そうですか……
―,車長を続けるつもりはないんですか？
みほ,はい。もう吹っ切れました。他のチームにそれで入っても、去年までと同じような結果になるのは目に見えてますから
優花里,中々上手くいかないものですね
みほ,うん……。はい！はい、西住です。はい、はい。ドイツですか？
優花里,！
みほ,はい、はい。え、じゃあ砲手として？
優花里,！！
みほ,はい、わかりました。じゃあ失礼します
優花里,ど、どうでした？もしかして！
みほ,うん。ドイツリーグのチームの人から。しかも砲手として戦力に考えてるって
優花里,やったじゃないですか！
みほ,でもね、4部リーグだって
優花里,4部……
みほ,もしもし、お姉ちゃん？
まほ,あー私だ。結果はどうだった
みほ,うん。一応何個かオファーはもらって
まほ,そうか、良かったじゃないか。で、どうなんだ。ドイツでやる気はあるのか？
みほ,私は……。やってみたいと思ってる
まほ,そうか。私は反対だ
みほ,え……？
まほ,反対する理由はいくつもある。ドイツリーグのレベルは知っているか？
みほ,大学の国際親善試合とかでしかやったことないけど
まほ,砲手の練習は大学2年以来やっていないんだろう？。贔屓目に見てもお前は3部レベルだ
みほ,3部……
まほ,ドイツでプレーしている日本人選手は何人かいるが、みな日本で結果を残した者ばかりだ。中には日本で大活躍しても1部で1回に試合も出ることなく退団した選手もいる
みほ,それは、わかってるよ
まほ,環境や練習の違いで化ける選手もいる。だがお前ドイツ語話せないだろう？
みほ,うん……
まほ,4部リーグの選手に通訳なんてついてくれないぞ
みほ,ドイツ語は今から勉強する
まほ,生活もかなりハードだ。全く戦力にならないで1000万近く貰ってた日本とは180度変わる。大体嫁と子供はどうするんだ。ドイツに連れてくるのか？
みほ,うぅん、単身赴任で私だけ行くつもり
まほ,その間の生活費はどうする。子供二人抱えて優花里に働かせる気か？
みほ,一応使ってない契約金とか貯金とかあるし……
まほ,いくらだ
みほ,1000万
まほ,普通の家庭だったらそれでいいかもしれない。でも、お前娘に私立の学校に行かせるって言ってたよな？
みほ,うん、出来れば黒森峰に行ってほしいって思ってる
まほ,二人目の子もすぐに大きくなって金がかかるようになる。1000万なんてすぐなくなる
みほ,……
まほ,就職するのも早い方がいいに決まってる。仕事だって若い頃から始めた方が覚えがいい
みほ,……
まほ,厳しいことを言ってすまない。でもお前の人生はお前だけのものじゃないってことを深く心に刻む必要がある
みほ,うん……わかった、ありがとう
―,お姉さんからの電話ですか？
みほ,はい。姉はズバズバ本音を言う人なので。27歳無職の現実を知ったって感じです。お疲れ様
優花里,やっと寝てくれましたよ。はい、ビール
みほ,いつもありがとうね優花里さん
優花里,なんですか急に。気持ち悪いですよ
みほ,うん……
優花里,……
みほ,私さ、引退、することにした
優花里,……
みほ,かっこいいとこ見せられなくてごめん。これからはサラリーマン、頑張るから
優花里,誰かに何か言われたんですか？
みほ,……
優花里,もうお前は終わってるとか、家族のこと考えろとか、そんなくだらないこと言われたんでしょう？
みほ,……
優花里,みほはいつもかっこいいよ。戦車乗ってるときも、子供と遊んでるときも。世界一かっこいい戦車乗りで、世界一かっこいいパパだよ。本当は引退したくないんでしょ？
みほ,……したくない
優花里,私たちのことなら気にしなくていいから。実家に頼み込んで働かせてもらう。子供たちも、黒森峰じゃなくたって戦車道は出来る
みほ,でも、それじゃ迷惑が
優花里,迷惑じゃない！みほが頑張ってるの応援するの、全然迷惑じゃない
みほ,……ありがとう
優花里,みほなら絶対出来る！ドイツでも活躍できる！
みほ,……
優花里,泣かないの！
みほ,うん。絶対世界一の戦車乗りになって帰ってくるから。待ってて
優花里,うん！。あのーすみません、ディレクターさん
―,はい？
優花里,これから夫婦の時間なんで……
―,あっ、すみません。楽しんでください。残された貯金は使わないんですか？
優花里,これは主人が命をかけて稼いだお金です。私事では使えません。私の貯金から生活費や学費まで出せたらいいんですが。さすがにそうはいきませんから。そちらにはありがたく使わせていただきます。私の方は完全予約制でやっているので、休みも取りやすいです。どこかに勤めるとなるとそうはいきませんから。ホント、今までどれだけいい生活をさせてもらっていたか身に沁みました。今の目標は安定した収入と、お金を貯めて家族3人でパパの応援に行くことです
―,お孫さんと一緒に暮らせて嬉しいですか？
好子,はい、勿論。みほちゃんが日本にいる時は優花里もそっちにかかりっきりで中々会えませんでしたから。嬉しい悲鳴といったところでしょうか
淳五郎,いないいなーーいばあっ！
かほ,きゃっきゃっ
みほ,あと30分、か
優花里,……
りほ,ねーパパ旅行行くのー？りほも行きたいー！
優花里,違うよ。パパはお仕事しに行くの
りほ,やだやだ！行きたい行きたい行きたい！
優花里,ワガママ言わないの。ママだって行ってほしくないんだから
りほ,うわあああああああん！
みほ,ごめんね。全部パパのせいなの。りほは何も悪くないのに。これからは、りほがパパの変わりにママを守ってあげてくれる？
りほ,うー……
みほ,ははっ、まだわかんないよね。ごめん。かほ、今度会うときはもっと大きくなってるんだろうな。一番大事な時に一緒にいてあげられなくてごめんね。パパ頑張る。優花里
優花里,はい
みほ,優花里には心配と迷惑かけてばっかりだったね
優花里,いえ、そんなことないです
みほ,それもこれで最後だよ。絶対に優花里を迎えに来る
優花里,……はい！期待して待ってます！
みほ,じゃあ行ってきます！
優花里,いってらっしゃい！
