長谷川丸男,４１
喪黒,お待ちなさい！！。長谷川丸男さん……。あなた約束を破りましたね
長谷川,も、喪黒さん！！
喪黒,私はあなたに忠告しました。例の墜落事故の取材を行うのもいいが、あまり深入りはするべきではない……と
長谷川,で、ですが……。私は……
喪黒,取材のために、あの事故現場へ再び足を運ぶようなことはしない……。それが、長谷川さんと私との約束でした
長谷川,私は本当のことが知りたいんです！！なぜなら、あの墜落事故の後で、不気味な出来事が何度も起きたからです！！
喪黒,だったら……。これ以上、あの墜落事故に深入りするのはやめたらどうです？あなたの身の安全のために……
長谷川,そんなわけにはいきません！！記者である以上、真実が何かを私は知りたいんです！！
喪黒,長谷川さん。どうしても、墜落事故の現場へもう1度行くのですね？
長谷川,もちろんですよ！！
喪黒,分かりました……。そこまで言うのなら、私はあなたを止めません。ドーーーーーーーーーーーン！！！
長谷川,ギャアアアアアアアアア！！！。俺は、再びここへ戻ってきたんだ……。ここへ来れば、何かの手がかりがつかめるはずなんだ……。ムウッ……！！
テロップ,横田基地、在日米軍司令部――
自衛隊幹部A,あなたは、これに見覚えがあるはずですよね？
長谷川,こ、こいつは……！！
自衛隊幹部B,長谷川さん。2度目にあの墜落現場へ向かった際、あなたはあるものを目にしたはずです
長谷川,知ってたんですか！？てっきり、あれは幻覚だと思っていました……。私の頭がおかしくなったのかと……
米軍幹部,幻覚デハアリマセン。アナタハ正常デス。長谷川サンハ、コノ世界ノタブーニ触レテシマッタンデスヨ
長谷川,じゃあ、私が目にしたものは……
米軍幹部,ソウデス。地球外生命体ノ存在ガ知ラレテシマッタラ、世界中ノ人タチガパニックヲ起コスデショウ。デスカラ……
長谷川のモノローグ,俺は、自衛隊幹部たちや米軍幹部たちと密約を結んだ。あの例のタブーは絶対に口外しない……と
長谷川,新聞記者としての俺は……。会社に縛られてはいたものの、まだ生き生きと活動できた……
喪黒,世の中には様々な謎がありますが……。一方で、人間は何かしらの形で探究心を持ち合わせているものです
