デクシオ,“こちらデクシオ。この場所にあると思われるジガルデ・セル、回収できましたか？”
ｱﾆﾎﾟｹｶｷ,バクガメス！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……。……ガラガラ
Rガラガラ,ガラ！
ｱﾆﾎﾟｹｶｷ,な…っ！！
ヨウ,…！！(動けなくなったバクガメスにさらに攻撃を加えた…！？)
サトシ,や、止めろ！もう勝負は付いただろ！！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,だから？お前らを二度と歯向かえないようにしろと言われている。…続けろ、ガラガラ！
ｱﾆﾎﾟｹｶｷ,……き、貴様ぁ…！！
サトシ,…！ピカチュウ！電撃でガラガラの注意をこっちに引き付けるんだ！
ピカチュウ,ぴかー
Rガラガラ,！
サトシ,よし！…って…あれ？…ガラガラに電気が効いた…？。…そ、そうなのか。詳しいな、ヨウ
ヨウ,…それよりも早くバクガメスを助けなきゃ……
Rガラガラ,ガラァ！！
ｱﾆﾎﾟｹｽｲﾚﾝ,！こ、こっちにくる！
サトシ,し、刺激しすぎたか！？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,ガラガラ！“かえんぐるま”！
ｱﾆﾎﾟｹｶｷ,！！みんな、伏せろ！！。…！！みんな、大丈夫か…？
ｱﾆﾎﾟｹﾏｰﾏﾈ,……いって～…！
トゲデマル,まー、まー！？
ｱﾆﾎﾟｹﾏｵ,…マ、マーマネ！…膝…、血が出てるじゃない！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,…だいじょうぶ…、擦りむいただけ…。…痛っつ…！
ヨウ,…！
トゲデマル,まー…。……。！！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,てんで弱ぇな、てめぇら…。……拍子抜けだぜ
スカル団員,へへっ、ﾍﾞﾃﾗﾝﾄﾚｰﾅｰさんは元島巡り達成者なんスカら…、子どもなんかが…
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…！！！
スカル団員,………ギャ…！！
ｱﾆﾎﾟｹﾘｰﾘｴ,きゃあ！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,余計な事を言いやがって！！テメェから潰すぞ…！クズ野郎がぁ！！
スカル団員,………ひぇえええええ…！！！！
ｱﾆﾎﾟｹｶｷ,…！…すまん…！
トゲデマル,まきゅー！
ヨウ,あ！
ｱﾆﾎﾟｹﾏｰﾏﾈ,トゲデマル！……駄目っ！
Rガラガラ,……
トゲデマル,まきゅ…！
ヨウ,っ！
トゲデマル,まきゅ～…
ヨウ,…………。……………ああ…。………望むところだ…。……………
トゲデマル,…まる！まーきゅー！
ヨウ,…わ！……ト、トゲデマル？
ｱﾆﾎﾟｹﾏｰﾏﾈ,…！だ、ダメだよ、トゲデマル！ごめん、キミ！トゲデマルを落ち着かせて！
ヨウ,……………。……………トゲデマル…、闘い、たいの？…。……いや…、…一緒に…、闘え…と…？
トゲデマル,まー！。………まきゅう…
ヨウ,……………。……………それでも…たとえ、そうだとしても…、…君はあのガラガラに勝ちたい……？
トゲデマル,！！まっきゅっ！！
ヨウ,………………。………………。………………そっ…か……。……………。……………………………マーマネ…
ｱﾆﾎﾟｹﾏｰﾏﾈ,…？。……！！
ｱﾆﾎﾟｹﾘｰﾘｴ,な……、何を…言ってるの……？…あの子…？
ｱﾆﾎﾟｹﾏｰﾏﾈ,…………………。……………………ヨウ、とか…言ったね……
ヨウ,…！
ｱﾆﾎﾟｹﾏｵ,マ、マーマネ…！？
ｱﾆﾎﾟｹﾘｰﾘｴ,そ、そんな…！止めた方が…！？
サトシ,…………。…………ヨウ！
ヨウ,…………サトシ…？
ピカチュウ,ぴっかちゅ！
ヨウ,あ……、…ありがとう…！
サトシ,へへへー！
ｱﾆﾎﾟｹﾘｰﾘｴ,………サ、サトシまで…！
トゲデマル,まきゅーう！
ヨウ,うん。一緒に頑張ろう。トゲデマル
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,結局、そのトゲデマルが相手かよ……。テメェ、素人か？
ヨウ,…
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,！。…ああん？…“かいふくのくすり”？……何のマネだ？
ヨウ,それでガラガラのダメージを回復させなよ。少なからずダメージがあるはずだ
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…………は？
ヨウ,ガラガラがダメージを受けたままじゃフェアじゃない。これはポケモンバトルだ
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,はぁ！？バッカじゃねェのか！？……てめぇ、俺のガラガラを舐めてるのか？
ヨウ,それから。あなたは島巡り達成者だったというのに今こんなことをしている。それが僕にはどうしても許せない。僕はあなたをゼンリョクで倒す。アローラのポケモントレーナーとして。来い
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,やれ！ガラガラ！！“かえんぐるま”！
ヨウ,トゲデマル。“びりびりちくちく”
トゲデマル,まきゅー！
ｱﾆﾎﾟｹﾏｵ,先に当たった…！
Rガラガラ,！…。
トゲデマル,…ま、まきゅ…、…！！。…も…、もきゅ！
ヨウ,…よし…。…よく耐えたトゲデマル…
ｱﾆﾎﾟｹﾏｵ,…。で、でも、このままでも普通に当たり負けてるよ？ここからどうするの！？
ｱﾆﾎﾟｹｽｲﾚﾝ,…まだ、かてるかのうせいがある、かもしれない…？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…ふ、ふ、ははは…！ははははははは…！！
ヨウ,？………何が…、おかしい…？。……！(まさか…)
トゲデマル,………ま、まきゅう……
ｱﾆﾎﾟｹﾏｰﾏﾈ,……トゲデマルの様子が…、…おかしい…
ｱﾆﾎﾟｹｶｷ,！ガラガラの特性は“のろわれボディ”だったか…！
ｱﾆﾎﾟｹｽｲﾚﾝ,…“のろわれボディ”？
サトシ,ヤ、ヤバいじゃんか！…マーマネ！トゲデマルは何か他に強いわざ、覚えてないの？
ｱﾆﾎﾟｹﾏｰﾏﾈ,無いよ！！そんなのあれば最初に言ってる！そんなことみんなも知ってるじゃん！！
ヨウ,…………………。…………………
ｱﾆﾎﾟｹﾏｰﾏﾈ,………ヨ、ヨウ…？
ｱﾆﾎﾟｹｶｷ,……くっそッ…！……ここまでか…！！
ｱﾆﾎﾟｹﾘｰﾘｴ,……と、止めに入った方が…！？
ヨウ,…………………。…なるほど。わざの封じ効果を引いてしまったのは運が悪かった。降参なんてしないさ。何も問題はない
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…は？
ヨウ,次のトゲデマルの攻撃一回で必ずあなたのガラガラを落とす。急所に当てるまでもなく、すでに確一圏内だ
ヨウ以外,…！！！？？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,………お前…、今、何て言った…？
ヨウ,それは簡単だ。“びりびりちくちく”以外の、より強力な技を使う
ｱﾆﾎﾟｹﾏｰﾏﾈ,よ、ヨウ！ど、どういうことっ？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……お前、なんなんだよっ、わけわかんねぇよ………！！
ヨウ,だけど、今このバトルでトゲデマルが使えるわざは４つじゃなくて、５つある
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,はぁ！？な、なにを…いって…、……！！？
ｱﾆﾎﾟｹﾏｵ,え？
ｱﾆﾎﾟｹｽｲﾚﾝ,ど、どういうこと！？
サトシ,……ヨウが手首に付けてるの…、…俺とカキと…同じ…！ヨウも、アレを、使えるんだ…！
ｱﾆﾎﾟｹﾘｰﾘｴ,………！
ヨウ,………………………。………………………………Zワザ……
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……あッ…！！？
トゲデマル,まぁっきゅうううゅぅぅ………！！！。…まっきゅううぅぅーーッ！！！！
Rガラガラ,…ガラガッ……！！！。…ガ、。
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…あ、…あ……ばかな………！
ｱﾆﾎﾟｹﾏｰﾏﾈ,……トゲデマルが…、…あの子が…、…勝った……！
ヨウ,………。お疲れ様トゲデマル。ありがとうね！
トゲデマル,まっきゅう～
ｱﾆﾎﾟｹｽｲﾚﾝ,かてたことじたいがよかったよ…！…ん？……どうしたの？…カキ？
ヨウ,……え？……あー、いや、えっと……
サトシ,なんかよくわかんないけど、ヨウの撃ったZワザってそんなにスゲーんだ？。いー、マジかよー！
ヨウ,……
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,………ばか、な…。……ガラ、ガラ…
ヨウ,……
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…！
ヨウ,……………
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……………。………何、だよ…？俺を…、笑いてぇのか…？
ヨウ,……………
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,………………
ヨウ,……………
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……やめろ…
ヨウ,本当は悪いことしている負い目が、あなたにはあったからじゃないんですか？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…やめろつってん、だろ…！
ヨウ,………………
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…………………
ヨウ,……………。強かったです。…言うつもりだったのはそれだけ
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……………。……、…アンタ、只の手練れじゃ無ぇな……。一体…何者な…、………！？
ヨウ,？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…！。…………？………！？。……な…、なんだ、ありゃ……！？いつの間に…？…どこから来た……！？
ヨウ,………え？
ｱﾆﾎﾟｹﾏｵ,…何かな、このポケモン？いつから、私たちのこんなすぐそばに？…全然、気づかなかった
ｱﾆﾎﾟｹｽｲﾚﾝ,このへんのポケモンじゃなさそうだねぇ？きみ、どこのこー？
ｱﾆﾎﾟｹﾘｰﾘｴ,わたくし、こんなポケモン初めて見ました
サトシ,ドククラゲみたいだな？いや…、全然違うか？？
ピカチュウ,ぴかちゅう？
ｱﾆﾎﾟｹｶｷ,…というか、ポケモン………なのか？こいつ？
ｱﾆﾎﾟｹﾏｰﾏﾈ,ねぇ？みんな、ひょっとして僕を保健室に連れてくの、忘れてな～い？
ヨウ,…そんな…馬鹿な…！？…急に…！？……な、なんで……！！？
ウツロイド,じぇるるっぷ……
ヨウ,……………ウ。……………ウル、トラ…、ビースト……！！？。…ウツロイド…！！？しかも、…色違い！？…っ、。みんな！そいつから離れて！！！
ｱﾆﾎﾟｹﾏｵ,え？
ウツロイド,じぇるるっぷ…！
サトシ,うわぁっっ！！！
ヨウ,！！……あああ………！！！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,な、何だよ…！！あれは…！！！？。……あ……、ああ…。
ヨウ,…ありがとう。みんなっ！早く、そいつから逃げてっ！！！
サトシ達,！！
ｱﾆﾎﾟｹﾏｵ,…なんなの…あれ…！？
ｱﾆﾎﾟｹｶｷ,…そりゃ悪かったな…！
サトシ,でも、擦りむいただけだったんだろ…！？
ピカチュウ,ぴぃー…、ぴぃー…
ヨウ,……全員、逃げれた？
シロン,こぉん！？
ｱﾆﾎﾟｹｽｲﾚﾝ,…あっ！…ま、まだ、リーリエが…！？………にげおくれてるっっ！！？
ヨウ,……な！！……っ！！
サトシ,！……ヨウ！！
ｱﾆﾎﾟｹﾘｰﾘｴ,…………あ…、ああ……！！
ウツロイド,じぇるるっぷ……
ヨウ,・・・・・・リーリエぇぇッッ！！！！！。………………。………………か、。(……間一髪…、間に合った…。)…リーリエ、大丈夫！？ケガしてない！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,………！////
ヨウ,リーリエ…？リーリエっ！大丈夫！？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………だ、だいじょうぶです…
ヨウ,…………よ、良かった……。君に……、何かあったら……っ
ｱﾆﾎﾟｹﾘｰﾘｴ,…へ？…えっ…！？
ウツロイド,じぇるるっぷ！！
ヨウ,…っ！…リーリエ、走れる？
ｱﾆﾎﾟｹﾘｰﾘｴ,ご、ごめんなさい…！足が…、すくんじゃって…！
ヨウ,…わかった。…じゃあ、僕の傍から離れないで
ｱﾆﾎﾟｹﾘｰﾘｴ,………は、はい…！
ウツロイド,…じぇるるっぷ……
ヨウ,い、今…、ほしぐもちゃん以外の手持ちを持ってきて、無い…！これじゃあ、闘えない…！！
ウツロイド,…じぇるるっぷ
ｱﾆﾎﾟｹﾘｰﾘｴ,…いやっ！
ヨウ,…く、くそっ…！！
ウツロイド,…じぇるる！！
ピカチュウ,ピィーカァー、チュウウウ…ッ！
ウツロイド,…！！！
サトシ,…俺達が相手だ…！行け、ピカチュウ！
ピカチュウ,ピッカァ！
ウツロイド,じぇるるっぷ！！
ヨウ,サ、サトシ…！！！それ以上、闘おうとしちゃダメだ、逃げて！勝てる相手じゃ…！
ピカチュウ,ピィッッー…！！
ウツロイド,！？
ヨウ,…な…？(…速い…！)
サトシ,良く避けた！上手いぞ、ピカチュウ！
ウツロイド,じぇるるっぷ！！
ヨウ,！これは、直撃する！あぶないっ！
サトシ,………いや……、ここだ…ッ！…ピカチュウ！地面に向かってアイアンテぇーールッ！！
ピカチュウ,ピッカーチュウゥ！！
ウツロイド,…！？
サトシ,そのまま………、。…………………かわせぇッ！！。ピカチュウ…！…エレキボォォーールッッ！！
ピカチュウ,ピィーカァーチュウゥウ…！！！
ウツロイド,……じぇ…！！！？？？
サトシ,…よォし！続けて、10万ボル……、何ッ！？
ウツロイド,……じぇるる…っぷ
サトシ,………消えて…、いく…？
ヨウ,！？…ま、待てっ…！！
サトシ,！？あ…、あいつ、どこにいった！？。………ヨウ…、…とりあえず、リーリエなら、ここに居るけど…？
ヨウ,……………
サトシ,……………？
ヨウ,……あ、いや、そうなんだけど…、えーと、そういう事ではなくて……
ｱﾆﾎﾟｹﾘｰﾘｴ,…わ、わたくしが逃げ遅れた所為で…、あなたの…ポケモンが…！
サトシ,……それにしても…なんだったんだ、あれ？
ピカチュウ,ぴか…ちゅう…？
ｱﾆﾎﾟｹｸｸｲ,おーい！
ヨウ達,！！。……
ｱﾆﾎﾟｹﾏｰﾏﾈ,………く、来るのが…、遅いよ！博士ぇ！！
ｱﾆﾎﾟｹｸｸｲ,え？な、何？…なんかあったのか？
ｱﾆﾎﾟｹﾘｰﾘｴ,何か…あったって…、
ｱﾆﾎﾟｹｶｷ,…な、なん…だ、これは……？
ｱﾆﾎﾟｹｽｲﾚﾝ,…きえ…、てる…！？
ｱﾆﾎﾟｹﾏｵ,あのポケモンが暴れて…壊されたところ、全部、元通りになってる…。…なん、で…？
ヨウ達,……！！？……
ヨウ,……ククイ、博士…。！……ククイ博士が、…教師…？…なんか…本当に、何でもありだな…、…わ！？
ロトム図鑑,アローラー！…ヨウ！ジガルデ・セル探しはいい加減もう終わったロトか？。…？そんなこと知ってるロトよ、ククイ博士？つい先日、会ったばかりじゃないロトか？
ｱﾆﾎﾟｹｸｸｲ,ははは！面白い事言うな、お前。…なぁ、君？ちょっとこの子見せてもらってもいいかな？
ヨウ,………………。………ええ、どうぞ…
ロトム図鑑,くすぐったいロ。た、探偵ドラマにハマるロトム図鑑…！一体、どんな顔してるか見てみたいロ……
ｱﾆﾎﾟｹｸｸｲ,フフフ！キミとよく似た顔してるぜ！……さぁ、どれどれ、図鑑の状況は…？……。……！！？
ヨウ,………
ｱﾆﾎﾟｹｸｸｲ,…………き、君は…、一体……！？
ヨウ,…ククイ博士…、聞いてほしい話があるんです…。…少し、お時間をもらえませんか…。……滅茶苦茶な話をしているのは、わかっているつもりです…。…とても信じられないと思います
ｱﾆﾎﾟｹｸｸｲ,…いや…、………信じたいと……思ってる…
ヨウ,……
ｱﾆﾎﾟｹｸｸｲ,……
ヨウ,ロイヤルマスクで…、
ｱﾆﾎﾟｹｸｸｲ,…………。…随分と…すげぇんだなぁ…君の世界の俺は……
ヨウ,…そうなんです。本当にすごい方なんです、ククイ博士は…
ｱﾆﾎﾟｹｸｸｲ,……………
ヨウ,…………。
ｱﾆﾎﾟｹｸｸｲ,……だから俺は、君を信じることにしたぜ…。……ヨウ…！
ヨウ,…！。…あ、ありがとうございます。…やっぱりククイ博士はどこの世界でもククイ博士でした…！。…力場？そこからあのUBが出現したってことでしょうか？
ｱﾆﾎﾟｹｸｸｲ,………観測時とまったく同じスピードで、再び大きくなろうとしているみたいだ………
ヨウ,…！？そこからUBがまた、出現する…という事でしょうか…！？。…いや、そんな…。それで…、またUBが出てきそうな時間を割り出すことってできるんですか？。…！？
サトシ,…！？。……あ…、ははは、は…、バ、バレてた…！
ピカチュウ,ぴか、…ちゅあ…
ヨウ,えっ？き、君は、サトシ…？なんで、ククイ博士の家に…？
サトシ,あー、俺、ここにイソーローさせてもらってんだ
ヨウ,………居…候…？。……サトシ…、君まで僕の話を…信じてくれるの…？…なんで？。…………は、はぁ…！？(…じ、冗談だよな…？)
サトシ,よせよぉ…。照れるなぁー
ヨウ,………？…そ、そうなの？(…そんなことありえるのか？でも本心で何か言ってるように感じる…)。！…それじゃあ？
サトシ,出てきたら出てきたで…ヨウが知ってるUBよりも強いかも知れないって事か…？。…あ！あとヨウの盗られたボールがヤツらの世界の中で開かれちゃったら、どうなるんだ…！？
ｱﾆﾎﾟｹｸｸｲ,………！？…た、確かに…！それも…何か考えないと…！
サトシ,…一体どういうポケモン…？ヨウの相ぼ、…？……！！
ヨウ＆ｱﾆﾎﾟｹｸｸｲ,………
ピカチュウ,…ぴかぴぃ…
ｱﾆﾎﾟｹｸｸｲ,…あっはっはっは…！…そうだな。ちょっと休憩にするか。おーし！飯の支度だ！
サトシ,さんせいー！
ピカチュウ,ぴっかー！
ヨウ,ふふ！。………！この世界にもあのロフトはあるんですか。…凄いな…！そこは一緒です
ｱﾆﾎﾟｹｸｸｲ,…ん、そうか？悪いな、サトシ…
ヨウ,え？。…だ、ダメですよ…！！そんなの！な、何言ってるんですか！？
サトシ＆ｱﾆﾎﾟｹｸｸｲ,え？
サトシ,……俺と、ピカチュウ達は別に、構わないよ？ヨウ？
ヨウ,…？…？サトシが、良くても…？…？
ヨウ・サトシ・ｱﾆﾎﾟｹｸｸｲ,！！！！
ヨウ,……！…この世界の、リーリエ……
ｱﾆﾎﾟｹｸｸｲ,やぁ、リーリエ。アローラ。ヨウなら確かにここに居るね。どうした？
ヨウ,アローラ。おかえり、なさい。リーリエ。
ｱﾆﾎﾟｹﾘｰﾘｴ,…？…あのう？なぜ、わたくしがククイ博士のご自宅でおかえりなさいなんでしょう…？
ヨウ,……え？
ｱﾆﾎﾟｹﾘｰﾘｴ,………？
ヨウ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,………？？
ヨウ,あ、ごめんなさい、ただの冗談です
ｱﾆﾎﾟｹﾘｰﾘｴ,…………？？？
サトシ,あはははははははは！………すいません…
モクロー,ほぉろ？？
イワンコ,わう？？
ｱﾆﾎﾟｹﾘｰﾘｴ,……あ、もちろん、サトシも一緒にどうぞ？
サトシ,まじ？やったぁ！ヨウ。リーリエの家、でっかいんだぜー！きっと凄いごちそうが出るよ！。………ゲッ…！
ピカチュウ,ぴかぴっ…！
ｱﾆﾎﾟｹｸｸｲ,……
サトシ,……………。リーリエ。今日は俺、辞めとく…。残念だけど…
ｱﾆﾎﾟｹﾘｰﾘｴ,いえ。こちらこそ急に押しかけてしまって申し訳ありません
サトシ,折角なのにごめんな。でも代わりにヨウは行くから
ヨウ,……え…、(えー…？)。……こ、この世界のリーリエは、ここに住んでるのか…
ロトム図鑑,……確かに凄いお屋敷ロト…。あ、ヨウ、…あの人はサトシくんと同様、初めて会う人ロト
ヨウ,あ、今日はお招きありがとうございます。ヨウです
ロトム図鑑,ありがロト！ボク、ロトム図鑑ロト！よロトしく！。ロ、ロトッ！？
ヨウ,…え？…そうなんですか…？…そうとは知らず、すいません…。……でも、困ったな…
ｱﾆﾎﾟｹﾘｰﾘｴ,執事が失礼致しました。…こちらへどうぞ。わたくしはロズレイティーを。…貴方はどうされますか？。…？あの、ひょっとしてヤドンのしっぽ料理、お気に召しませんでしたでしょうか？
ヨウ,！…あ！いや、とってもおいしかったです…。…ごめん、ちょっと考え事しちゃって…。……………ヨ…、ヨウ……？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………え……？あ、…ご、ごめんなさい。呼び方…、馴れ馴れしかった、でしょうか…？。…？……？？
ヨウ,…リーリエの本棚、凄い…。難しそうなポケモンの本がこんなにいっぱい…。…ううん…、そうじゃないんだ…。本を読んだんじゃなくて、直接行ったことがあって…
シロン,こぉーーん…
ヨウ,…リーリエのアローラロコン……。あ、ポケマメでよければ僕、持ってるよ。……よかったらどうぞ？
ｱﾆﾎﾟｹﾘｰﾘｴ,いいんですか？すいません。…何でしたらヨウがシロンに直接あげてみませんか？
ヨウ,！いいの…？。(こういうテンションは僕の世界のリーリエには無かったので面白い)…じゃあ遠慮なく
シロン,こぅ～ん、こぅ～ん！
ヨウ,…待たせてごめんね……はい、シロン。にじいろポケマメだ
シロン,！こーん～♪
ヨウ,確かに、これはかわいいや…
ｱﾆﾎﾟｹﾘｰﾘｴ,ふふふ…！良かったね、シロン…
ヨウ,…シロンっていう名前は、リーリエがつけたの？。………………。
ｱﾆﾎﾟｹﾘｰﾘｴ,………ヨウ…？
ヨウ,……そうかもだね…、ごめん…
ｱﾆﾎﾟｹﾘｰﾘｴ,あ！…ごめんなさい…。ロトム。ひやぁあああああああ…！！！
ヨウ＆ロトム図鑑,うわあ！！！
ロトム図鑑,ど、どうしたロ！何があったロト！リーリエ！
ｱﾆﾎﾟｹﾘｰﾘｴ,……ひ…っ…！
ヨウ,リ、リーリエ？…な！…ええっ…！…な、なんで固まってるの！？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………あ……、その、ですね……じ…、実はわたく、し………
ヨウ＆ロトム図鑑,シロン以外のポケモンに触れることができない……？
ｱﾆﾎﾟｹﾘｰﾘｴ,………………はい
ロトム図鑑,………リ、リーリエが…ロトか…？。………。……本当は気にしてるロ？ポケモン、触られないロと？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………。………………。
ヨウ,………………。………………
ｱﾆﾎﾟｹﾘｰﾘｴ,……………
ヨウ,…………………。………………。…………じゃあねリーリエ…、君がゼンリョクを出し切れるとっておきのおまじないを教えてあげる
ｱﾆﾎﾟｹﾘｰﾘｴ,………………。………そんなものがあるのですか？
ヨウ,……………今度、ポケモンに触れる練習をする時にこうつぶやくんだ……………
ｱﾆﾎﾟｹﾘｰﾘｴ,…は、はい……
ヨウ,がんばリーリエ
ｱﾆﾎﾟｹﾘｰﾘｴ,…が、がんば…？
ヨウ,がんばリーリエ
ｱﾆﾎﾟｹﾘｰﾘｴ,…………ひょっとして…、ヨウはわたくしをからかっているのでしょうか…？
ヨウ,…ふふふっ！
ｱﾆﾎﾟｹﾘｰﾘｴ,……も、もう！わたくしは真剣ですのにー！
ヨウ,……ごめんごめん。……でも、からかうつもりで言ったわけじゃないんだ
ｱﾆﾎﾟｹﾘｰﾘｴ,……………。
