宇佐美いちか→キュアホイップに変身することに主役のピンク枠,お調子者なうさぎ
シエル,(なんで……なんでいちかは……いつもたくさんのキラキラルを……もう一度確かめておきたいの)
いちか,ししょうー
シエル,ノン、シショーじゃないわ！シショーのお父様でしょ？
いちか,お父さんが！？
シエル,ジャパニーズカラテの立派なシショーじゃない！
いちか,う～ん……なんかしゃくぜんとしないなー……
いちか＆シエル,え？なに！？
いちか,今の大きい声はなに！？
あおい,あの黄色いおっさんが急に入ってきてさ
いちか,黄色い？……え？
？？,ほほぉ、全員で6人か。相手にとって不足なし！まずは準備運動がてら……
あきら,確認とかじゃなくて、容赦なく来る感じだね
いちか,みんないくよ！
6人,キュアラモード・デコレーション！
キュアマカロン,お客様。お買いものではないのなら、お店の外に行きましょうか
？？,そうだな。ここでは狭すぎる。外で待とう
キュアカスタード,で、出て行っちゃっいました……
キュアマカロン,礼儀のある敵なのね
キュアショコラ,マカロン、感心している場合じゃないよね
キュアパルフェ,わたしたちも行きましょう
キュアホイップ,うん！
？？,いち、にー！いち、にー！
キュアジェラート,じゅ、準備体操しているぞ？
？？,遅かったではないか、プリキュア。我が宿敵より幾分か様相も違う様子。断然戦いが楽しみだ
キュアショコラ,みんな、気を付けて
？？,では行くぞ！プリキュア！！
咲,あれ？この辺りじゃなかったっけ？
舞,う～ん……そうね。チラシの地図だとこの辺りに……
咲,なになに！？なんの音！？
舞,なにかが爆発したような……
フラッピ,咲！滅びの力を感じるラピ
チョッピ,舞。まだそんなに強くないけど、確かに滅びの力チョピ
舞,え？なんで滅びの力が？
チョッピ,分からないチョピ……こわいチョピ
フラッピ,咲！急ぐラピ！
咲,そうだね！本当に滅びの力だったら危ないし、考える前に動こう！！
舞,そ、そうね
？？,そんなものか！プリキュア！！！
キュアホイップ,つ、強い……
キュアマカロン,そ、想像以上ね……
？？,そんな甘ったるい攻撃では、わたしには効かんぞ！！
キュアパルフェ,なら、これならどうかしら！
キュアホイップ,パルフェ、待って！
キュアパルフェ,キラキラキラリン！パルフェ・エトワール！
？？,ぬ！？
キュアパルフェ,つかまえた！
？？,だから、甘いと言っておるのだ！うおーーーー！！
キュアパルフェ,キャーーッ！！
キュアホイップ,パルフェー！！
キラリン,ち、力を使い果たしちゃったキラ……
？？,なんと軟弱な……貴殿らは努力してもあの者たちのようにはなれんだろう……ここで息の音を……
咲,ちょーーーっと待ったーーーーー！！！
？？,この声は！？
咲,って、なにこの状況！？
舞,もしかして、あの子たちって……それに……
咲＆舞,キントレスキー！？
？？→キントレスキー,久しぶりだな
咲,アンタほろんだんじゃないの？
キントレスキー,そう思っていたのだが、鍛えていたら戻っていたのだ
咲,どんだけなの……
舞,妖精さん……大丈夫？
キラリン,に、逃げないと危ないキラ……
舞,大丈夫よ
キラリン,キラ？
咲,舞、いくよ！
舞,ええ！
咲＆舞,デュアル・スピリチュアル・パワー!
咲,花開け大地に!
舞,羽ばたけ空に!
咲→キュアブルーム,輝く金の花キュアブルーム
舞→キュアイーグレット,煌めく銀の翼キュアイーグレット
ブルーム＆イーグレット,ふたりはプリキュア！
キュアイーグレット,聖なる泉を汚す者よ!
キュアブルーム,アコギな真似はお止めなさい!
キュアホイップ,キュア……ブルーム？
キラリン,キュア……イーグレット？
キントレスキー,ふふふ、待っていたぞプリキュア！いざ尋常に勝負！！
キュアブルーム,イーグレットはみんなを！
キュアイーグレット,ブルーム、気を付けてね！
キントレスキー,赤いの一人か！それでわたしを止められるとでも？
キュアブルーム,止めてみせる！ハァ！
キントレスキー,ぬお！？そ、そうか……まだまだ全力に遠いことを見抜いているのか……
キュアブルーム,……
キントレスキー,よかろう……少しの間、鍛え直すために出直そう
いちか,さっきはありがとう！えっと……
咲,咲、日向咲ひゅうがさき
舞,私は、美翔舞みしょうまい
あおい,えっと……咲さんもプリキュアなのか？
咲,そうだよ。あとさん
ゆかり,他にもプリキュアは居たのね
舞,他ってはるかちゃんやみらいちゃんたちのことかしら？
ゆかり,ええ
舞,そうね。実はもっとたくさんいるのよ
あきら,もっと、たくさん？
咲,そういえば、全員合わせたら何人になるんだろう？
舞,えっと……あゆみさんやくるみさん、ひかりさんも入れたら……51人？
あおい,ご、ごじゅういちぃ！？
いちか,なんですとー！？
ゆかり,私達が出会ったのは、その中の一部ってことなのね
あきら,そう、みたいだね……
咲,あと二人いるけど……その二人はもう戦う力を宿せないから……舞の計算通りかな
舞,うん……
ひまり,あ、あれ？シエルちゃんは？
ビブリー,あっちの部屋で休んでるわよ
いちか,ビブリー！ありがとう！
ビブリー,あ、アンタは行っちゃダメ
いちか,え？……なんで……
ビブリー,名指しでNGなんだから仕方ないでしょ
舞,私なら、行ってもいいかしら？
ビブリー,アンタが助けた見知らぬプリキュアってヤツね。アンタならいいんじゃない
舞,咲、ちょっと行ってくるね
咲,舞？
舞,咲は、いちかちゃんとお話ししてみない？
咲,……分かった。いちかちゃん、ちょっとお出かけしよう？
いちか,え？は、はい……
咲,さーさー！レッツゴー！
ひまり,ふ、二人に置いていかれちゃいましたね
ゆかり,それにしてもすごい二人ね
ひまり,え？
あきら,アイコンタクトだけでお互いのやることを理解していた感じだね。とてもじゃないけど、今のわたしたちじゃまだ真似できないチームワークかな
あおい,あの見つめ合った時間だけでお互いのやることが分かったってのか？
ゆかり,きっとね
キントレスキー,フンッ！フンッ！
エリシオ,なぜ、トドメを刺さなかったのです
キントレスキー,フン！貴殿はずっと私を監視している者だな？フン！
エリシオ,気付いていたのですか
キントレスキー,場数が違うのでな
エリシオ,……
キントレスキー,悪態をつくためだけに来たのではないのであろう？フゥ……フン！
エリシオ,えぇ、あなたに力を差し上げようと思いまして
キントレスキー,不要だ
エリシオ,な！？
キントレスキー,他人の力で行う勝負など、その時点でわたしの望む勝負ではない。帰りまたまえ
エリシオ,……ﾁｯ
キントレスキー,待っていろプリキュア！フン！次こそ倒す！フンッ！！
舞,失礼します
シエル,あ、さっきの……
舞,美翔舞って言うの、舞って呼んでね
シエル,わたしは、キラ星シエル
舞,シエルちゃんね。あれ？どっかで聞いたことがあるような……
シエル,さっきはありがとう。強いのねアナタたち
舞,そうでもないわ。そういえばさっきは妖精だったような？
キラリン,キラリンっていうキラ。スイーツを作る修行のときに人間になれるようになったキラ
舞,へぇ～、すごいのね
チョッピ,まるでミルクみたいチョピ
舞,そうね
シエル,ミルク？
舞,そういう子が居るの。妖精だけど人間に変身して、プリキュアのように変身して戦うことが出来る子なの
シエル,トレビアン!わたし以外にも居るのね！
舞,その子もいろいろ一人で出来ちゃう子だって、かれんちゃんが言ってたわ
シエル,一人で……
舞,一人で出来るっていうより、一人でやろうとしちゃう……っていうのも大きいのかも
シエル,……
舞,あの、さっき、いちかちゃんだけ来ちゃダメって言った理由、教えてもらってもいい？
シエル,……ちょっと、今日……いちかにいじわるしちゃったの……
舞,いじわる？
シエル,……わたしたちの力の源になっているのはね、スイーツに込められたキラキラルっていう力なの
舞,キラキラル？
シエル,ウィ♪それはね普通にお菓子を作るだけでも宿るけど、その量は人によって違うの
舞,いちかちゃんは、たくさん作れるの？
シエル,ウィ、普通に作るだけなら、たぶんわたしの方が多いと思うし、スイーツもまだまだ上手に作れるのはわたしだと思うでも……
舞,……
シエル,普通のお菓子なのに誰よりも多いキラキラルが詰まったお菓子を作ることもあるの……
舞,その理由が知りたかったの？
シエル,……なんとなく分かってはいるんだけど、もう一度……確かめたくなって……
舞,……なんとなくわたしも分かる気がする
シエル,え？
舞,わたしね、絵を描くことが好きなの
シエル,タブロー？
舞,うん。みんなに見てもらうために本気で描くこともあるけど……
シエル,……けど？
舞,誰かのためだけに本気で描くこともあるの
シエル,誰かのため……だけに……
舞,その時って、相手の事、相手の笑顔を考えるから、もっと気持ちが籠ったりするの
シエル,相手の笑顔……
舞,そう。だからきっと、そういう気持ちになるのが得意な子なのかもしれないわね
シエル,……相手の気持ち……
舞,あと、謝るのが苦手なら、こうやって……。手を繋いでみるといいよ
シエル,手を……？
舞,えぇ、きっと気持ちが伝わるわ
シエル,手を……
ムープ,ムプー！ま、まい、なんか変な感じがしたムプ
フープ,フープも感じたププ
舞,え！？チョッピは！？
チョッピ,チョッピも少し変な感じがしたチョピ
舞,咲といちかちゃんが危ないかも！
シエル,いちかが！？
舞,咲といちかは外でお話ししているの
チョッピ,咲と舞は一緒じゃないと変身できないチョピ
舞,咲……
シエル,分かった。わたしが舞を連れていくわ
舞,え？
シエル,わたしはキュアパルフェ、ペガサスの力で空を飛べるの！だったら間に合いそうでしょ？
舞,……うん。おねがい！
シエル,ウィ♪あとでお話しのお礼にいちかと一緒にスイーツを作ってあげるわ♪
舞,ありがとう
シエル,ビブリー、このこと、みんなに伝えてちょうだい！
ビブリー,まったく……なんであたしが……
シエル,よろしく！キュアラモード・デコレーション！
咲,ごめんね。連れ出しちゃって
いちか,い、いえ……
咲,引っかかっているのは、助けられなかったこと……？
いちか,え？
咲,なんかね、さっきの子のお見舞いしたそうな感じがすこし暗かったから
いちか,……実は、わたし、ちょっとシエルちゃんに怒られたばっかりで……
咲,怒られた？
いちか,うん。シエルちゃん。すっごくキレイなスイーツを作るんです。で、今日はシエルちゃんがそのやり方をわたしに教えてくれるって……
咲,上手く出来なかった……って感じ？
いちか,はい……
咲,そっかぁ……わたしもそういうのダメだろうな～
いちか,え？
咲,わたしの実家、パン屋さんなの
いちか,パン屋さん？
咲,そう。だからお手伝いでパンやケーキを作ったりするんだけど、不器用でミスしちゃうことがあるんだ……てへへ
いちか,そうなんだ……
咲,でも、ちゃんと教えてもらったことは覚えているし、次は頑張ろうって思う。いちかちゃんもそうでしょ？
いちか,うん
咲,なら、大丈夫だよ。あと、どうしてもそれを本人の前でやるのが緊張しちゃうのなら……
いちか,しちゃうのなら？
咲,こうやって手を握るの。わたしはね、舞とそうやって、ずっと頑張ってきたんだ～
いちか,手を握って……
咲,そして、いつも絶好調ナリー！って言うんだ。元気に大きな声で♪
いちか,手と……笑顔……うん！
咲,お、元気になったね
いちか,はい！
咲,だったら……
キントレスキー,だったら、私の相手をしてもらおうか！
咲＆いちか,キントレスキー！？
キントレスキー,貴殿は二人揃わぬと戦えぬのは知っている。だから、準備体操にまずはそっちのウサギを狩ろう
いちか,え？咲さん？
咲,アイツのいうとおり、私は舞と一緒じゃないと変身できないの！いちかちゃん、今は逃げよう！
いちか,大丈夫です！咲さんこそ、舞さんを迎えに行ってください
咲,いちかちゃん！？
いちか,さっき、咲さんにパワーをもらいましたし、わたしだって頑張れます！
キントレスキー,ほぅ、少し顔つきが良くなったではないか。楽しみだ
いちか,キュアラモード・デコレーション！ショートケーキ！元気と笑顔を！レッツ・ラ・まぜまぜ！キュアホイップ！出来上がり♪
キントレスキー,では行くぞ！
キュアホイップ,はぁああ！！！
咲,ねぇ、フラッピ。舞がどこに居るか分かる？すぐお店の方に行く方がいい？
フラッピ,大丈夫ラピ
咲,え？
フラッピ,もうすぐそこまで来てるラピ
咲,すぐそこ？
舞,さーーーきーーーーー！！
咲,え？舞の声？
フラッピ,上ラピ！
咲,上？
舞,さきーーー！！！
咲,まーーい！！
キュアパルフェ,到着♪
舞,咲、大丈夫だった？
咲,うん。わたしは大丈夫だけど、そのせいでいちかちゃんが一人で……
舞,パルフェ！
キュアパルフェ,ウィ！ホイップのフォローはまかせて！
咲,じゃあ、行くよ、舞！
舞,うん！
咲＆舞,デュアル・スピリチュアル・パワー!
咲,未来を照らし!
舞,勇気を運べ!
咲→キュアブライト,はぁ！！天空に満ちる月！キュアブライト！
舞→キュアウィンディ,大地に薫る風！キュアウィンディ！
ブライト＆ウィンディ,ふたりはプリキュア！
キュアウィンディ,聖なる泉を汚す者よ!
キュアブライト,アコギな真似はお止めなさい!
ブライト＆ウィンディ,ハァ！
ﾄﾞｺﾞｯ！,二人で飛び蹴り
キントレスキー,ぬお！？ｸｯ今度こそそちらも本気モードということか！
キュアブライト,ホイップ大丈夫！？
キュアホイップ,はい！って、あれ？この前と違う？
キュアブライト,今のわたしはキュアブライト
キュアウィンディ,わたしはキュアウィンディ
キントレスキー,無駄話をしている余裕など……侮られたものだな……テエイッ！
ﾎﾟﾜﾝｯ！,ウィンディのバリアで受け流す音
キントレスキー,なに！？
キュアウィンディ,ねぇ、パルフェ、ホイップ。二人で一緒に必殺技を合わせてみない？
キュアホイップ,二人で？
キュアパルフェ,一緒に？
キュアブライト,キントレスキー！わたしが相手してあげる！タアッ！！
キントレスキー,うぐっいい打ち込み……流石はプリキュアだ！
キュアウィンディ,ブライトが時間を作ってくれているわ。さ、早く！
キュアパルフェ,でも、どうやって……わたしのは破られちゃったし……
キュアホイップ,あ、そっか。パルフェ大丈夫だよ
キュアパルフェ,え？
キュアホイップ,さっきは、ホイップだけしか戦えなかったから、破られちゃったんだよね。今はわたしが居るよ！
キュアパルフェ,！ウィ♪やってみましょ！
キュアウィンディ,じゃあ、わたしとブライトがチャンスを作るわ。大丈夫、わたちたちは絶対にあきらめないから！
ホイップとパルフェ,はい！
キュアブライト,ハァーーー！！
キントレスキー,どうした。少しずつ攻撃が荒くなってきているではないか
キュアブライト,ﾊｧ……ﾊｧ……アンタこそ、そういう余裕を見せてると……
キュアウィンディ,テーイ！
ドゴッ,天空からの回転かかと落し
キントレスキー,グォォッ
キュアブライト,ナイス、ウィンディ
キュアウィンディ,お待たせ、ブライト
キントレスキー,ついに二人揃ったか！待ちわびたぞ！ウオオオ！！！
キュアブライト,タアアアア！！！
ウィンディ,エーーーイ！！
キュアパルフェ,また投げ飛ばされたら……
キュアホイップ,大丈夫だよ、パルフェ♪
キュアパルフェ,ホイップ……
キュアホイップ,一緒にギューってキラキラルを込めて、アイツを倒そう
キュアパルフェ,……ウィ♪じゃあ、今だけ一緒に……
キュアホイップ,うん♪
ｷﾞｭｯ,パルフェとホイップが手をつなぐ
キュアパルフェ,フシギ……もう不安がない……
キュアホイップ,うん。今なら、何だって出来るよね！
キュアパルフェ,ウィ♪
キュアウィンディ,ブライト！
キュアブライト,うん！光よ！
キントレスキー,ぬおっ！？
キュアウィンディ,風よ！
キントレスキー,なに！？足が！？
ブライト＆ウィンディ,今だよ！ホイップ、パルフェ！
キュアパルフェ,キラキラキラリン！パルフェ・エトワール！
キュアホイップ,キラキラキラルン！ホイップ・デコレーション！
キントレスキー,ぐおおおおおおおおおお！！！！
キュアジェラート,おーーーーい！！
キュアホイップ,あ、みんな！
キュアマカロン,ごめんなさい。ちょっとイジワルなビブリーが場所を教えてくれなくて
キュアショコラ,もう少し早く来れると思ったんだけどね……
キュアカスタード,あれ？あの金色の人は？
キュアブライト,今、ホイップとパルフェが倒しｔ……
キントレスキー,ふはははははは！！素晴らしい強敵だ！！！
キュアジェラート,アイツ、あんなボロボロなのになんで嬉しそうなんだ？
キュアウィンディ,……そういう性格なのよ
キントレスキー,ﾊｧ……ﾊｧ……素晴らしい、素晴らしいぞ、ウサギとウマのプリキュア
キュアジェラート,ウマじゃなくてペガサスだけどな……
キントレスキー,とても良い、良いぞ！このまま全力で勝負を。！？
エリシオ,全く利用価値の無いただの筋肉バカなら、欲望のままに戦うだけでいいんですよ
キントレスキー,き、キサマ……何をした？
エリシオ,われわれが使う黒いキラキラルの力を注入したのです。これで負けることは無いでしょう
キントレスキー,キサマ……わたしの真剣勝負に泥を塗るつもりか
エリシオ,泥？わたしはプリキュアを排除できればいいだけですから
キントレスキー,ぐおおおおお……
エリシオ,な、カードが体から押し出されそうになっているだと！？何故力を拒絶するのです！
キントレスキー,キサマが最悪の侮辱をわたしに与えたからだ！プリキュア！もう勝負はついた。きちんとわたしにトドメを刺せ！
エリシオ,なんですって？
キュアブライト,……ウィンディ、行くよ
キュアウィンディ,うん
キュアホイップ,みんな、あのカードの黒いキラキラルはわたしたちで！
5人,うん！
ムープ＆フープ,スプラッシュ・ターン！
キュアウィンディ,精霊の光よ!命の輝きよ!！
キュアブライト,希望へ導け!二つの心!！
ブライト＆ウィンディ,プリキュア！プリキュア・スパイラル・スター・スプラッシュ！！
6人,キラキラルクリーマー！。キラッと輝け！クリスタルアニマル！。プリキュア・アニマルゴーランド！
キントレスキー,ぐぉぉぉぉ……流石はプリキュア……新しき者たちも……良い強さだ……
エリシオ,ﾁｯ……使えないヤツでしたね……
いちか,バースデー用のお菓子なら、こちらとかどうですか？
シエル,これも一緒にどうぞ♪
咲,どっちも可愛い！ありがとう！
舞,良かったわね、咲
咲,うん♪
いちか,咲さんと舞さん……あ、キラッとひらめいた♪シエル、もう一回だけ、あのやり方、教えて！
シエル,え？いいけど……
いちか,えっとね……(ｺｼｮｺｼｮ
シエル,ワオ♪トレビアン！それなら絶対に教えてあげるわ♪
咲と舞,？
いちか,お二人とも、もうちょっとだけ待っててください
シエル,パルフェなスイーツをお届けするからね♪
咲と舞,はぁ……
あきら,では、客席にご案内しましょう
あおい,あたしはお水でも持ってこようかな
ひまり,えっと……えっと……
ゆかり,ひまり、一緒にバースデー用のお菓子をラッピングしましょうか
ひかり,あ、はい♪
いちか＆シエル,レッツ・ラ・クッキーーング♪
いちか,ここで……このチョコソースをかければ……か、かければ……
シエル,……いちか
いちか,シエル？。ぁ……
シエル,大丈夫、咲と舞の笑顔のためなら、頑張れるでしょ？
いちか,うん♪。お、待たせしましたー♪
シエル,パルフェな自信作よ♪
咲,すごーい！
舞,……キレイ
いちか,これがお二人を意識したひまわりと白鳥のアシェットデセールです♪
シエル,日向夏のアイスとかんきつ類、それにチョコソースで作ったひまわりと……
いちか,当店自慢の白鳥シュークリームを一緒に盛り付けてみました。お二人にぴったりですよね？
咲＆舞,わ～～♪ありがとう！！
咲,ひまわり可愛い！
舞,流石に描いてたらアイス溶けちゃうよね……
咲,舞ってば……
みんな口々に,うふふ♪
咲,すごかったね。いちかちゃんたち
舞,うん。きっと平和を守ってくれるよね
咲,帰ろう。わたしたちの町に
舞,うん！
