池袋晶葉,ロボットを動かすこと
晶葉,つまり上腕二頭筋に力を入れてしまうと二の腕の筋肉の働きを阻害してしまい、スムーズに剣を振れないということか？
珠美,如何にも！流石飲み込みが早いですな！
晶葉,なるほど、関節を単なる回転軸と考えてはいけないというわけだな。例えるならシリンダーを二本並べて、両者の伸縮具合によって関節の角度を調整していると言うべきか・・・。うむ、早速ひとつ勉強になったな！
珠美,それはなによりです！。では改めて、二の腕の筋肉を使うことを意識して振ってみましょう。筋力トレーニングの際にトレーナー殿が効いている筋肉を意識しろと仰っていたでしょう？。それと同じ要領です
晶葉,ああ、そういうことか！では・・・。はっ！ふんっ！
珠美,そう、いい感じですよ！。続いて足捌きも行ってみましょう。剣を振り下ろすのに合わせて、このように一歩踏み出します！
晶葉,こうか・・・？
珠美,はい！この踏み込みによって剣に下半身の力を加えて。より強力な攻撃となるのです！
晶葉,なるほど、腕の力だけではなく全身を使うことでさらなる効率化を図っているわけか
珠美,まあ剣道に限らずスポーツや武道全般に言えることですが。全身を効率よく使うことはとても重要です！。野球のピッチャーの全力投球を見れば一目瞭然ですね
晶葉,ああ、私は野球には詳しくないが、あれは素人が見ても全身を使っているとわかるな
珠美,では踏み込んでの素振り、やってみましょうか！
晶葉,了解だ！。ふん！てや！
珠美,足に意識が行き過ぎてまた腕に余計な力が入っていますよ！
晶葉,ふむ、二つのことを同時にこなすというの難しいな
珠美,珠美も最初はそうでした。やはりこういったことは何度も繰り返して体に覚えさせるのが一番です
晶葉,なるほど、練習あるのみ・・・というわけか。はっ！えいっ！
珠美,おっ、だんだん良くなってきましたよ。では次に、目の前に敵がいると想像してみてください。振り下ろした剣が敵に当たる瞬間に最高速度に達するよう意識してみましょう
晶葉,いくら剣を早く振れても、敵を倒せなければ意味がない・・・というわけか。目的を見据えてのシミュレーションが重要なんだな。せい！とお！
珠美,いいですねえ～気迫も篭ってきましたね！
晶葉,ふんっ！せやぁ！
珠美,おっとと、今度は気負いすぎですぞ！。上半身ばかりが前に出ようとしすぎて、腰が曲がってしまっていますね
晶葉,腰か・・・そういえば菜々も腰は大事にしろと言っていたな
珠美,むむ・・・菜々殿の言葉とは若干ニュアンスが違うと思いますが・・・いずれにせよ腰は重要です！。何せ上半身と下半身をつなぐ身体の中心ですからね！。いくら足捌きが見事でも、腰がしっかりしていないとその力を剣に伝えることができません
晶葉,そうか、スポーツや格闘技をテーマにした漫画などで腰が入っていないという表現が使われることがあるが・・・。あれはすなわち、腰がしっかりしていないので全身の連動が上手くいっていない、と言う意味なのか
珠美,そう解釈していいと思います！
晶葉,ふむ、今度作るロボットは腰の強度に重点を置いてみるとしよう！。よし！素振り再開だ！。はぁ・・・はぁ・・・
珠美,素振り百本、見事成し遂げましたな！
晶葉,いやぁ、驚いたな。一本一本真剣に振るとこんなにも疲れるのか・・・。それに教えてもらったことをすべて同時にこなそうとすると物凄い集中力がいるな
珠美,はい・・・しかし達人ともなれば意識せずとも正しい素振りが出来るそうです
晶葉,達人は無意識レベルで体が覚えているというわけか・・・。否、それができるものを達人と呼ぶ、というべきか
珠美,珠美もまだまだその域には達していません。修行あるのみです！。さて、それでは最後にもっとも重要なことを教えましょう
晶葉,ま、まだあるのか！
珠美,はい、それは・・・気迫です！
晶葉,気迫？
珠美,そう！必ず勝つ！！という意志をもって挑むこと！！。たとえ単なる素振りであっても、牽制のための軽い一打であっても。それは勝利につながる一振りである！という意識を持つことが重要なのです
晶葉,うむ、それは確かに、もっとも重要だな！。参考までに、珠美師匠の気迫がどんなものか見てみたいな
珠美,そういえば素振りの見本を見せるのをすっかり忘れていましたね。では・・・珠美の本気、ご覧あれ！。面ッ！！！
晶葉,ッ！？。・・・はぁー、さすがだな。スピードも迫力も私とは段違いだ！
珠美,ふふふ、そうでしょう！修行の賜物です！。さて、では今日のところはこのあたりで・・・。いえ・・・やっぱり、もう少し師匠らしいところを見せておきましょうか。晶葉殿、まだ体力に余裕はありますかな？
晶葉,一応、少しは・・・
珠美,でしたら折角の機会ですので、ひとつ勝負をしましょう！
晶葉,初日からいきなり実戦か！？まるで勝てる気がしないのだが・・・
珠美,ご安心ください、勝負といってもちょっとしたゲームのようなものです。これから一分間、晶葉殿は好きなように珠美に攻撃してください。こちらからは手を出しません。防御に徹します。珠美に一太刀でも当てる事ができたなら、そうですねえ・・・事務所のカフェで甘味を奢りましょう！
晶葉,ほほう、すごい自信だな・・・だが、その条件ならば私にも勝機があるかもしれないな。受けて立とう！
木場真奈美,おや、それはなかなか面白そうな余興じゃないか
珠美,真奈美殿！これからトレーニングですかな？
真奈美,ああ、そうだが・・・その前に観戦していってもいいかい？
珠美,はい、構いませんよ！
真奈美,ありがとう、間近で剣道の試合を見る機会など滅多にないのでね
晶葉,まあ私が相手だし条件もアレなので試合と呼べるようなものになるかどうか・・・
真奈美,ははっ、勝負はやってみなければわからないさ
珠美,真奈美殿、開始の合図を頼んでもよろしいですか？ついでに時間も計っておいてもらえるとありがたいです
真奈美,よし、請け負った
珠美,晶葉殿、準備はよろしいかな？
晶葉,ああ、いつでも！
真奈美,では・・・。始めっ！
晶葉,先手必勝！奇襲だ！！
珠美,・・・
晶葉,難なく止められた！？読まれていたか・・・
真奈美,奇襲に動じず冷静な対処、さすが経験者だな
珠美,ふふふ、見え透いていますよ。開始前からそんなに前傾していては突っ込むと教えているようなものです
晶葉,ふむ、見通しが甘かったか・・・だが技術のない私には攻めるしか勝機がないのでな。遠慮なく行かせてもらうぞ！！
珠美,また前のめりになりすぎていますよ！。腰が入っていないというやつです。腕の力だけでは珠美は倒せません
晶葉,おっと、そうだった・・・全身を効率的に使った打ち込みが重要なんだったな。そして気迫！。面ッ！！
珠美,そう、それです！
真奈美,今のはいい打ち込みだったが、それでもまるで通用していない。かなりの実力差があるようだな・・・
晶葉,はあっ！！やぁっ！！
珠美,良い気迫！その調子です！
晶葉,全力の打ち込みも易々と止められる！やはり正攻法では分が悪い！。ならば・・・。面！。と、見せかけて胴だ！！
珠美,甘い！
真奈美,フェイントも通用しないか。しかもあの反応からしてあらかじめ想定していたな。さすが実戦経験が違うな
珠美,今のは少しヒヤリとしましたよ。面の掛け声にもっと気迫が乗っていれば、本当に面が来ると思って引っかかっていたかもしれませんね
晶葉,なるほど・・・気迫とはフェイントにも活用できるのか
真奈美,残り３０秒！
晶葉,むむう・・・何か打つ手はないか？
珠美,どうしましたか？手が止まっていますよ？
晶葉,どうにか隙を見つけたいところだが・・・
珠美,・・・
晶葉,ダメだ！素人目に見てもまるで隙がない！。否・・・隙がないなら作るまで！なにか弱点があれば・・・！
真奈美,残り２０秒！
珠美,時間も少なくなってきましたよ？さあ、集中集中！！
晶葉,ああ、すまない。ちょっと・・・その、気になることがあってな・・・
珠美,むう・・・どうされましたか？
真奈美,残り１０秒！
晶葉,ああ・・・その・・・。君の後ろにいる血まみれの男は誰だ？
珠美,ひぅっ！？ゆ、幽霊っ！！？
晶葉,隙あり！胴ッ！！
真奈美,一本！それまで！
珠美,な・・・な・・・なぁぁ！！？。ひ、卑怯ですぞ晶葉殿ぉ！
晶葉,ふふん、勝ちは勝ちさ
真奈美,ハッハッハッ！心理戦を駆使した見事な一本だったね
珠美,そ、それにですね！今のような左脇への胴打ちは逆胴といっですね！武士は左腰に大小二本の刀を差しているのでよほど強く打ち込まなければ有効打にならず、現代の剣道においても逆胴の判定は厳しくてとても一本とは・・・
晶葉,おや？今回は一発でも当てれば勝ちという条件ではなかったかな？
珠美,ぐぬぬぬぬ・・・・・・。はぁ・・・わかりました、負けを認めましょう
晶葉,いや、すまない。私も大人気なかったな。夢中で剣を振るのが思いの外楽しくてな、ついムキになってしまったよ
珠美,いえいえ、兵とは詭道なりと申しますし、だまし討ちも立派な戦術です
真奈美,たしかそれは・・・孫子の言葉だったかな？
珠美,はい・・・今回は見事に慢心と弱点を突かれましたね。良いところを見せようとして逆に恥をかいてしまうとは・・・珠美もまだまだ未熟ですね・・・
真奈美,とは言え、最後の一撃以外は完璧に対応していたね。素人目に見ても、素晴らしい腕だということはわかるよ
珠美,はは・・・ありがとうございます
真奈美,それにしても幽霊が怖いとは、ずいぶんと可愛らしいじゃないか
晶葉,そうそう、助手に聞いたが仕事でお化け屋敷に行ったときは大変だったらしいぞ？
真奈美,詳しく聞かせてもらおうか
珠美,うわあぁぁ！！あの時の話はご勘弁を！！
真奈美,フフッ・・・すまない、からかいすぎたようだね。では私はトレーニングに行くよ。またな
珠美,はい！怪我をしないようにお気をつけて！
晶葉,ああ、またな！
珠美,さて、では約束どおり甘味を食べにカフェへ参りましょうか！
晶葉,いや、しかしあんな勝ち方をしておいて奢ってもらうのも気が引けるな・・・
珠美,武士に二言はありませぬ！遠慮なくどうぞ！
晶葉,ふむ・・・では私も、剣道を教えてもらったお礼に師匠に奢ろう。それでどうかな？
珠美,わかりました！いただきます！！。甘～い♪珠美は幸せです！
晶葉,うむ、運動した後だとさらに美味しく感じるな！
珠美,む？・・・そういう割には箸が進んでいないように見えますが
晶葉,恥ずかしながら・・・普段使わない筋肉を使ったせいか腕が上がらなくてな・・・。私もまだまだ鍛錬が足りないようだ
珠美,でしたら珠美が食べさせてあげましょう！はい、あーん！
晶葉,あーん・・・うむ、美味いが・・・これちょっと恥ずかしい・・・
珠美,まあまあ遠慮なさらずに！あ～ん！
晶葉,あ～ん///
珠美,あ、これなんだかお姉さんっぽくていいですね！。おっと、そう言えば凛殿たちが本日の歌番組に出演すると言っていましたね！。いや～、すごい人気ですなぁ！
晶葉,ふむ・・・そうだな・・・
珠美,おや・・・どうかされましたか？
晶葉,いや、なんというか・・・彼女たちは、まさに正統派という感じだろう？。女の子らしくて、アイドル然としていて・・・
珠美,そうですね。もちろん実力もありますし人気があるのも頷けます
晶葉,私は・・・たまにこう思ってしまうんだ・・・。私もあんな風に女の子らしかったなら、正統派だったなら・・・。助手ももっと楽だったんじゃないか？もっと人気を得られたんじゃないか？・・・と。ああ、その、助手のプロデュースを疑っているわけじゃないんだがな？
珠美,う～む・・・確かに、晶葉殿の言うことにも一理あります。世知辛い言い方になりますが、アイドルとは人気商売。他者の共感を得られるよう動いたり、流行に乗らざるを得なかったり・・・。そういったことが少なからず必要になるのかもしれません。しかし、晶葉殿・・・。仮に、そんな風に、女の子らしく、アイドルらしく、生き方を変えるとして。やりたいことを封印し、自分の流儀を曲げて、他者に媚びへつらい・・・。そうやって手に入れた結果は・・・。果たして、晶葉殿には輝いて見えるのでしょうか？
晶葉,そ、それは・・・
珠美,武士の生き方を端的に示した言葉に。武士道とは死ぬことと見つけたりというものがあります
晶葉,・・・ずいぶんと物騒な言葉だな・・・。いや、しかし時代背景を考えれば・・・
珠美,いえ、これは決して死や玉砕を賛美する言葉ではありません。普通のことを、普通にやっても、普通の結果しか得られません。死ぬことと見つけたりとは、敢えて困難な道を行き。死に物狂いでやって、ようやく大きな結果を得られる。そういう意味であると、珠美は解釈しております。晶葉殿のように自分の道を持つ人間は。茨の道を征して手に入れたものにこそ、価値を見出すのではないでしょうか？
晶葉,ああ・・・ああ、そうだな！珠美師匠の言う通りだ！！。逆胴を決めてこそ、勝利は輝くというものだ！。ありがとう、師匠！危うく忘れるところだったよ。研究者とは、問題が困難であるほど燃え上がるものだということをな！
珠美,はい！その意気です、晶葉殿！！。ッ！？！？！？
白坂小梅,ラボにいないから・・・探した・・・よ？
星輝子,ﾌﾋｯ・・・ここに・・・いたか
輿水幸子,フフーン！カワイイボクが迎えに来てあげましたよ！
晶葉,ああ、小梅たちか
珠美,びっっっくりした～～！まったく気配を感じませんでした・・・
晶葉,すまない、もうそんな時間か
珠美,おや？このあと皆さんと何か用事でも？
晶葉,うむ、ちょっとした集まりがあってな。そうだ！珠美師匠も参加しないか？。きっと精神力を鍛えるいい修行になるぞ！
珠美,なんと！それは興味深いですね！。今しがた精神的な未熟さを痛感したばかりなのでぜひ参加させてください！。して、どのような修行なのですか？
小梅,私主催の・・・ホラー映画大会・・・
珠美,それはご勘弁を！！
幸子,食い気味に逃げた！
晶葉,まあまあ、そう遠慮するな！
輝子,ヒャッハァーー！逃がさねえぜ！！
幸子,道連れ確保ォ！！
小梅,皆で見れば・・・楽しいよ・・・？。・・・って、あの子も言ってる・・・
珠美,あの子って誰ですかぁ！？。ひぃぃっ！珠美を掴んでる手が二本多い気がするんですけどぉ！！？
晶葉,はっはっは！武士道とは死ぬことと見つけたり、だろう？
珠美,いやこれ本当に死んでる人じゃないですかぁ！！！
小梅,・・・じゃあ・・・行こっか・・・
珠美,お、お、お助けあれえぇぇぇーーー！！！
