男…26歳ゲーム開発会社勤務,グラフィック担当
後輩女,イヤ、そんな
男,ハイ帰宅ですよ、と日が変わる直前だが。あれ
女,あ
男,こんばんは昼間はどうも
女,こんばんはーお仕事ですか？
男,ええ、遅くなっちゃって。ああ、ゲーム開発です俺は絵ー描いてます
女,えー、すごい
男,あ、じゃあ、おやすみなさい
女,おやすみなさいお疲れ様です！
男,お疲れ様です、か
■土曜日,昼過ぎ
男,今週は予定も無いし、バイクの整備でもすっか
女,あ
男,うお誰どこ？
女,上ですこんにちわー
男,女さん？上？あ、ベランダか
女,バイク乗られるんですね洗車ですかー？
男,ええ、整備とか
女,あー
男,？
女,すみません、ちょっと待ってて下さい
男,あ、引っ込んだなんだ？
女,こ、こんにちわ
男,あれ、降りて来たんですか？
女,え、ええなんか話し辛いし半端なので
男,走ってきたんですか？
女,え、は、はい
男,あはは…
女,はー、
男,…
女,…
男,まあ、整備してたわけです。４階から良くわかりましたね目ー良いですね
女,ええ意外とそうですね
男,意外と？
女,あ、はい、私のです
男,スクーター通勤なんですか？
女,はい、そうなんです。男さんもバイク通勤なんですか？。そうなんですか会社って、ウチの店の近所なんですよね
男,ええ、バニラタワーてわかります？
女,あ、あのおっきい所ですよね？えー、すごいな。そう言われれば、ウチは結構広いですからね
男,資料になる洋書が多いんで重宝してます
女,ありがとうございますあ、そろそろお店に行く準備しないと
男,あ、土曜日仕事なんですね
女,ええ、午後過ぎからそれじゃ、また
男,ええ、また
女,ぺこり
男,走ってった…エレベータとか使わないのか？
女,それじゃ、行ってきます
男,あ、行ってらっしゃい
女,ぺこり。あれ
男,なんか不調か？
女,あ、はい、なんかちょっと、エンジン掛かんなくなっちゃったみたいで…
男,うーん…
女,え、わかりますか？
男,いや、解るかどうか、見てみる位なら
女,…えー、じゃあすみません、お願いします…
男,はい、ちょっとキー借りますね
女,…
男,女さん、これから出勤ですよね時間はどうです？
女,あ、はい、ちょっと寄り道しようと思ってたんで、30分位余裕あります。はい、そしたら電車で行きますどうもすみません…
男,じゃあ…。んんん、よっと外れた…うわ真っ黒だ燃調狂ってんのかな。取り敢えず磨くか…ブラシは、っと
女,…
男,…これかな？どっち回しでどうなんだこりゃとりあえず適当で
女,あ、かかった
男,ん、すんませんもうちょっと待って下さい
女,あ、すみません…
男,排気がちょい黒いかな…
女,…バイク、詳しいんですね
男,んー、俺はそんなには自分じゃ軽く整備する程度で…んーと
女,…
男,取り敢えず動く様にはなりましたが…
女,え、すごいありがとうございます！。はい、解りました今日の帰りにでも寄ってみます
男,時間、まだ大丈夫ですか？。いいですよ、今日はヒマなんです。はい、いってらっしゃい～
女,ぺこり
男,行った...取り敢えずだけど、なんとかなってまぁ良かった。NONOのメットだったなマニアックなでも似合うかもな。何か、アレコレ話したなぁ。自分の続きでもするかな～
■４月初旬水曜日,夜
男,ふう…今日の作業はこんな所かな。お、ボリュームでかすぎて聞こえなかった
後輩女,あ、男先輩、すみませんちょっと見てもらっていいですか？
男,ん、何を？
後輩女,これが実機に上手く出力されないんですけど…
男,どこで上手くいってないの？
後輩女,モデルの変換でエラーが出るんです。ちょっと確かめます…あ、そうでした
男,確か前も同じ間違いしてたよね
後輩女,はい…すみません
男,見せる前に、自分で一通り見直さないといかんよ
後輩女,はい、わかりました。はい、わかりました了解です
男,んじゃ、俺は今日はもう帰るけど、他何かある？大丈夫？
後輩女,いえ、大丈夫ですありがとうごさいますお疲れ様でした
男,はい、お先～お先失礼します
上司,あいオツカレー
後輩女,はぁ～
■翌週月曜日,夜
男,疲れたな自分の仕事してるだけなら平気なんだがなぁ
女,あの、男さん？
男,ん、あ、女さんこんばんは
女,こんばんは今帰りですか？
男,ええ、まあ女さんも？
女,私は、ちょっとそこのアラスカマートまで
男,そですかー
女,あの、あ…何か、お疲れって感じですね
男,え、そう見えますか
女,なんか、肩を落とした感じで
男,元々猫背なんですいやでも、結構疲れますよ。作業内容つうか…うーん、後輩の指導みたいなもんですね
女,あーあー、なるほどー叱ったりとか、そういうのですか？。そうですね先輩はつらいですね
男,…俺、愚痴言ってましたね？
女,あ、そうかもですね
男,やめましょう
女,アハハ、もう、着きますしね
男,郵便受け覗いて、となんも無いか
女,…
男,自然に待っててくれるのな
女,いえ。色々ですよ例えばー
男,ん
女,あ、着いちゃいましたね
男,そうですね最後まで聞けなくて
女,え、アハハ、いえ、別に…じゃあ、お疲れ様でした
男,ええ、おやすみなさい
女,おやすみなさい
男,…
■火曜日,昼過ぎ
男,来週末締めだから…ちょっとペース上げるか？
後輩女,男先輩、すみませんこれ、チェックお願いします
男,ん、ちょい待って
後輩女,あ、あー…。はい、すみません。はい…出ました
男,どう？
後輩女,…はい
男,タッチに違和感あるよね
後輩女,…はい
男,それじゃいかんでしょ
後輩女,はい、直します
男,見直しもちゃんとね
後輩女,はい、ありがとうございます…ちょっと休憩入ります
男,ハイ了解。う～～～～～～～～～む、頼むよもうちょいじゃんか
同僚Ａ,キッツイなあ～男君
男,え、普通じゃないですか？
同僚Ａ,あんなん言われたらヘコむわ～
男,いやだって、あの出来は通せないでしょう？
同僚Ａ,通せないけどね～
男,じゃあ仕方無いじゃないですか言い方だって普通ですよ
同僚Ａ,言い方は普通やけどさ～
同僚Ｂ,男さん、話してる最中、顔が怖いですよ
男,え
同僚Ａ,ああ、怖い怖い
男,ええー、俺が？顔怖い？。そんな徹底とかしてるつもりも無いんですよ。それは困るので、気をつけますむずいなあー
同僚Ｂ,飲んで色々ぶっちゃければ、お互い気軽になるんじゃないですか
同僚Ａ,そうだー誘えー
男,うーん
上司,手は出さん様にね
同僚Ａ,出すなーなんもするなー
男,どっちなんですか。うーん、どっかで一度、何かフォローしとくべきか。苦手なんだよなあ正直面倒だ。さて、いいキリかな。そこそこ捗ったな平均してこのペースなら行けそうか。後輩女さん
後輩女,え！？はい！
男,すげえビビられてるな。んー、このまま仕上げまで行ければ、悪くないよ大丈夫。イヤ、いいよそんじゃお先
後輩女,お疲れ様でした
男,微妙に採点甘くしちまったクソッ馬鹿が。いかんなあ、俺も下手くそが
■同じ日,夜遅く
男,ふ～～～～帰宅。女さんは居ないねあ～あ。とっとと風呂入って寝よう。お、風呂沸いたね入るかね。なんか歌声が…。隣りか！女さんか！。やっぱここ壁薄い、ていうかこれ、結構大声じゃないか？。熱唱してんなあ～。おっと、声出して笑っちった。…。歌、止まったな…あちゃ～、聞こえちゃったか。ククッゴメン女さんははは
■水曜日,朝
男,だぁれも居っないっがおっはようございます～ぃ
後輩女,あ、おはようございます
男,うぉ！あれ、おはよう、早いね
後輩女,いえ、ええ、ちょっと、捗ってないんで
男,…
後輩女,えー、はい…
男,しまった適当な所で帰れって言っとくんだった
後輩女,はい、頑張ります。はい、わかりました
男,定時か…後輩女さんは、と
後輩女,…
男,超集中してんな～暫くほっとくか。そろそろかね
後輩女,あ、はい、なんでしょう？
男,そろそろキリの良い所で帰っときなよ。いいよじゃあもうちょいね
後輩女,はい！
男,結局終電が近い訳だが
後輩女,あ、はい
男,今日は泊まりは駄目だからね
後輩女,え、あ、うそもうこんな時間
男,終わらなそう？。いんや、それはいいよ出来の方が問題
後輩女,はい…あ、出ましたチェックお願いします
男,じゃあちょっと見せてね…。…
後輩女,…
男,これで全部ねよし全部ＯＫ頑張ったなーいい出来
後輩女,わ、やったありがとうございます。わかりましたじゃあ今日はここまでにしますね
男,お疲れ様俺も帰るよ～。電車的にヤバイ気がしてきた…
後輩女,あ、私、自転車なんで大丈夫です。なんかノってきちゃってすみません
男,俺は終電ヤバイんでダッシュで帰るよんじゃお疲れ
後輩女,あ、お疲れ様ですありがとうございました
男,こりゃマジで走らんと間に合わん！
■同じ日,深夜
男,帰宅だ…疲れたな明日は普通時間の出勤にしよ…。女さんちは明り消えてるな…まあそりゃそうか。あれ、俺ちょっとストーカーぽいか？今のだけ聞くと
■金曜日,朝
男,さて気合入れて出勤バシっと終わらせて週末は休むかね。なんかパトが多いな交差点で事故か？。…あのスクーター、女さんのと同じじゃないか？。連絡つうか確認！ああ方法が無いメアドとか何も知らんよ。…なんも出来んわばかか俺はばかなのか。出社するしか無いかああ、遅刻か？俺あ～
■同じ日,朝
男,おはようございますすんません遅れました
上司,おはよう
同僚Ａ,おはよう罰金さん
同僚Ｂ,罰金おはようございます
男,…すんません
後輩女,おはようございます
男,おはようございますスマン遅れて何かある？
後輩女,いえ、大丈夫です珍しいですね、遅刻なんていつもは早いのに
男,そうね…
後輩女,罰金なんですか？
貯金箱,ｸﾏｰ
同僚Ａ,焼肉～肉～
後輩女,…はあそんなに貯まるものなんですか？
男,うん、主に同僚Ａさんのお陰で
同僚Ａ,肉の為だしゃあない
上司,しゃあない、じゃねーよ
男,う～～～～ん、来る時の事故が頭から離れん。女さん大丈夫だろかそもそも女さんだよな、あの事故
後輩女,…
男,怪我かァーーーーー！？路面に血とかは無かった、気がするが…。怪我で済んでるだろうなああああ。…仕事が手に付いてねえ！
後輩女,…
男,もう帰ろう今日は駄目だこりゃ休出しといた方が良いな
後輩女,あ、お疲れ様でした…
男,あーもう、ああ
後輩女,…
同僚Ｂ,お疲れ様です
同僚Ａ,乙かれィ
■同じ日,夜
男,女さんちは、電気点いて無いな…どうしよう、気になり過ぎるな。…。駄目だ、もう行ったれ俺の精神安定の為に。これを郵便受けに…入れてしまった。単に隣に住んでて超たまにアイサツとかするだけじゃん！ヌハァ。いやもう無事かどうかが確認出来ればいいやそれで。…無事だよな？わからねえーーーうあー。何なの俺のこの取り乱し様は寝ろよもう馬鹿野郎がくぅぅっそォ。…人はこの様にしてストーカーになるのかも知れんね…
■月曜日,朝
男,おっとメールだ！。氏ね！！！！！消去！くそ～
男ﾊﾞｼﾊﾞｼｯ,よし、やるぞ！
後輩女,…。男先輩、少しいいですか？
男ﾊﾞﾘﾊﾞﾘｼｺﾞﾄ,ん、何？
後輩女,未チェック分の作業が溜まったんで、一度見てもらえますか？
男,お、了解今のこれがキリ着いたら見とくよ
後輩女,はい、すいません、よろしくお願いします
男,あ、今、どこまで手着けてる？
後輩女,あ、はい、ちょうど優先Ａが全部チェック待ちになった所です。了解です…あの、先輩
男,ん、何？
後輩女,身体の具合悪くしてたりとか、します？
男,ん、いや、大丈夫。しまった…
後輩女,そですか、良かった
男,すまんね。段々作業速度がノってきたなこうでないといかんね
後輩女,男先輩、私そろそろあがりますね
男,ん、了解出来た所まで見とくから、進捗表更新しといて
後輩女,はい、出来てます
男,オッケーんじゃおつかれさま
後輩女,お先に失礼します
同僚Ａ,おつーっす
同僚Ｂ,お疲れ様です
男,よし、一人になった所で更にペースアップだ。ふ～、一息。中々捗ったな…つうかもう誰も居ないじゃん。ん、あれ！？もう終電無いじゃんか！まだ１１時前位だと思ってた…。もういいか泊まろう
■火曜日,明け方
男,空が白んで来たか？キリ良いし、ちょっと寝とくかなぁ。今何時だ？…携帯携帯ん、メールきてら。なんだ？このアドレス…。！！。おいおい…。は～、そうか…。ん？。おおっと、そう来たかどうしよう。お休み～俺～…
後輩女,先輩、男先輩
男,んん～
後輩女,先輩、起きて下さい始業時間です
男,んん、ううう？
後輩女,男先輩ってば
男,んん、ん？お！？後輩女さん！今何時！？
後輩女,もう１０時回ってます皆さん来てますよ
男,やばっ、寝過ぎたあ、わざわざゴメン
後輩女,いえ、あ、じゃあ私、戻ってますね
男,おう、あんがとね。う～ん、なんかスゲーよく寝た気分だなつうか寝過ぎたか
■火曜日,朝
男,おはようございますすんません寝過ぎました
上司,おはよう
同僚Ａ,おはよう罰金さん
同僚Ｂ,罰金おはようございます
男,…すんません
同僚Ｂ,また焼肉が近づきましたね
男,なんすかそれ！きたねえ！
後輩女,…すみません
同僚Ａ,とっととクマちゃんにごはんをあげたまえ
男,くっそ～
後輩女,ほんとすみません…
男,いや、いいよ…。おっと、女さんに返信メール出しとくか。送信、と。よし、心配事は取り敢えず消えた！。さて、仕事頑張るかー。後輩女さん、ちょっと
後輩女,はい、なんですか？
男,昨日の優先Ａの修正だけど…
後輩女,ハイ、何処を直しましょう？。はいすぐやります
男,あ、修正はこまいのばっかなんで、優先Ｂの後に回しといて
後輩女,解りました
男,大分作業が安定してきたねこの調子で頑張ってね
後輩女,ハイ！ありがとうございます
男,ニコニコしちゃってまあ嬉しいのはこっちもだっての。自分の作業もビシっと決めないとな。後輩女さん、俺はそろそろ上がるけど、何かある？
後輩女,いえ、大丈夫ですあ、私もそろそろ上がります
男,じゃあ出ようかお先ーす
後輩女,お先に失礼します
同僚Ａ,乙かれィ
同僚Ｂ,お疲れ様です
後輩女,男先輩、調子戻ったみたいですね
男,んー、そうなあスマン、気を回させて
後輩女,あ、いえ、でも、安心しました
男,うん、もう平気かなありがとねじゃあ、俺は駅だから
後輩女,はいそれでは、お疲れ様でした！
男,お疲れ様。作業集中度高い割に、結構周りも見てるな覚えだって悪くは無い。一本上げて修羅場をくぐれば、ガっと伸びるかもな頑張ってくれ…。ん、メール来てら…女さんからか！。…ご挨拶ってわかってても、嬉しいね
■金曜日,昼
同僚Ｂ,そろそろデータを締めます待ってくれって人、います？
男,オーケーですふー、まあ間に合ったね
後輩女,結局、先輩に少し作業返す羽目になっちゃって、すみません。そんな、無理ですよ。了解ですお疲れ様です
男,無事に締まったし、週末は休めるな女さんにメール出しとこう。送信…とあー、疲れた…
同僚Ｂ,ん、通しチェックＯＫです
同僚Ａ,乙かれィ～
同僚Ｂ,お疲れ様でした
男,さて…
後輩女,え、いきなりどうしたんですか？。あ、解りましたじゃあ御馳走になります
同僚Ａ,いいなあワシにも奢ってよセンパ～イ。いや、ワシははよ帰って嫁さんの機嫌とらにゃあ
男,そすかー
後輩女,…
男,解りました…じゃあ後輩女さん、行っとこうか
後輩女,あ、はい
■薫葉駅外れ,夜
男,じゃあ取り敢えず、締めお疲れさんでした
後輩女,お疲れ様でしたー
男,食い物とか、適当に頼んでね…後輩女さんは飲む方？
後輩女,お酒ですかかなり好きですね
男,そーか俺はそんなでもないんで、お手柔らかに
後輩女,…で、今日は…
男,ん？
後輩女,いえ、何か話があるのかな、って
男,え、いや、特に無いよ単純にお疲れってカンジで
後輩女,え、そうなんですか私てっきり、何かあるもんだと。なんだー、私考えすぎてました安心しました
男,何を考えすぎてたんだよ
後輩女,いろいろと…
男,何か強張ってるなぁそんなに緊張する？
後輩女,します怖いです
男,そうすかー…。何の慰労にもならないなこりゃ早めに終わっとくか…。…そんなに顔怖いのか、俺。後輩女さんてさ、学生時代なんか部活やってた？
後輩女,急にどうしたんですか？
男,どうも何か、うっすらと体育会系のノリを感じるんだよな。バドってバドミントン？部活でやるイメージがあんまり無いな。まじか
後輩女,どうもご馳走様でした！
男,イヤイヤ、そんじゃー週末はゆっくり休んでね
後輩女,ハイ、それじゃ、お疲れ様でした失礼します
男,はいお疲れ～。今何時だ？…あれ、女さんから返信来てら。返～信。お、メール女さんから。うーん、まあそうか。送信！。送信、とうーん、今夜のうちにちょろっと片しとくか。女さんは…もう寝てるっぽいね。隣の部屋の人とメールでやりとり、って、妙な感覚だなぁ。今日はとっとと寝よう…酒入ると眠いわ
■土曜日,昼前
男,くっそぉ～うるせえなこの目覚まし野郎が！。あ～、もう起きる時間か体がまだ睡眠を欲している。お、メールメール
男メＯＫですどうぞ,送信
男,さて、変なもん出しっぱにしてないよな…。来たか
女,どうも、こんにちわ
男,捻挫とか言って、思ったよりも重そうだな
女,はい…ちょっと歩き辛くて、ごめんなさい
男,いや、それはいいんですがあ、どうぞ手、貸します？
女,あ、大丈夫です。あ、わざわざすみません
男,はい、どうぞ
女,ありがとうございます
男,…
女,…
男,で、
女,あ、はい、えーと
男,なんか、反応が硬くないですか
女,ちょっとあの恐縮っていうか緊張みたいな
男,なんでだまた顔が怖いとかだと嫌だな
女,はい。いえ、なんか心配おかけしちゃったんだなぁ、て
男,いや、あれは我ながら…
女,はい…
男,…なんかストーカーじみてるな、とか…
女,…ああ…
男,何で俺はこんな事をわざわざ口にしてるんだ馬鹿なのかヒィィ。そうすかー。ああ～、申し訳ないヘンなつもりは。解りました！了解、オッケーです！もう気にしないどきます。つくづく感じましたよ、それは
女,あ、それから！この間のスクーターの時も、ありがとうございました！
男,ああ、そういえばスクーター、どうなりました？
女,いや、廃車になってしまって…
男,ああー、もったいない
女,本当に…同じのもう、売ってないんですよね
男,あれは、中古でも良いタマは無さそうですね～
女,はい…メットもお気にだったんですよ
男,ああアレ、NONOの奴、ちょっと値が張るやつですね。メットもボロボロでしたね…
女,そうなんですよ…
男,ん、保険とかって、どんな感じになったんですか？聞いて良ければ。そりゃまあ、良かったですね
女,でも暫くは、新しいスクーターを探しにも行けないですけどね。そうですね！
男,ん、午後から仕事でしたっけ？時間平気ですか？
女,あ、そうだ、いけないすいません、私このへんで…
男,ハイハイわざわざありがとうございました
女,いや、そんな…
男,…はい
女,はい？
男,いや、立つのに手を貸そうかなと
女,あっ、あ、ありがとうございます…
男,いえいえよいしょっと…これから駅まで歩きですか
女,よっそうなんですもう面倒で
男,うーん…
女,ええ！？そんな、悪いですよ！。流石にそれはなんか申し訳無さすぎですって！。え～、じゃあ、あの…、お願い、しちゃっても…
男,ええ、行きます？
女,はい、じゃあ、お願いします
男,よし、じゃあ駐輪場のところで
女,はい、準備してきますね。お待たせしました
男,今暖気してるんで、ちょっと待ってて下さい
女,大変なんですね。やっぱり大きいですね、これ。無いですね。ありますね。わかりました
男,車があればいいんですけどね、こういう時は
女,そんな～
男,じゃあ行きますかはいメット超安全運転で行きますよ
女,お世話になります。どうもありがとうございましたこのお礼はまた
男,なんか永遠に繰り返しちゃうじゃないですか、それ
女,うーん、でも
男,まあ、そこらへんの話はまた今度で俺も仕事に行きますよ
女,あ、ハイ頑張って下さいね
男,はい、女さんもそれじゃーまた
女,行ってらっしゃい
男,ﾍﾟｺﾘ。…。ニッヘッヘッヘッへ～。さて、働くと言った手前働くかね良い口実が出来たよ全く。さて、さすがに誰もいませんね、と
後輩女,あ、お疲れ様です
男,うお！ビックリした！何だ後輩女さんか何でいるの
後輩女,ちょっと、締めた所までを改めて眺めてみたくなって
男,そうか…いや、いいんだけど、休めよ…
後輩女,先輩は今日はどうしたんですか？。仕事じゃないですか
男,まぁついでもあったしつうか俺の事はいいじゃない早目に帰んなよ
後輩女,解りました
男,真面目な奴…
後輩女,…。…。どうしたんですか？
男,ん、何が？
後輩女,何か唸ってたじゃないですか、今
男,え、声出してたかスマン、何でもない
後輩女,何でもないって…
男,いや、ちょっと疲れたな、って
後輩女,そりゃそうですよ先輩、締め前に連泊してたじゃないですか。解りましたちょっと片付けますね。あれ、ヘルメットバイクなんですか？
男,うん、休出だしあんまし言い触らさないどいて
後輩女,うふ解りました
男,じゃあ俺は駐車場なんでお疲れさん
後輩女,お疲れ様でした
ﾄﾞﾙﾙﾙﾙ…,暖気中
男,これからはポーカーフェイスだ！クールに。…俺には無理
■日曜日,昼過ぎ
男,取り敢えず、部屋の掃除でも…。ちょっと出てみっか。女さんの部屋は…うわなんだこりゃ。こんちは～…女さん？。返事が無い…？
女,すみません…ちょっと…
男,ん、女さん？
女,ちょっと、助けて下さい…
男,女さん？どこですか？
女,こっちです…
おれの頭脳が,こっち
男,入りますよ…入っちゃいますよ？…お邪魔します。うお！
女,あの…
男,この下！？。本当に居た…。え？あ？すんません
女,あ…ごめんなさいありがとうございますいや、つい…
男,どうしたんですか？この有様は
女,本を…あ痛たたたた
男,おっと、大丈夫ですか？座る所とか…無さそうですかねこりゃ。んー、ちょっとウチ来ます？なんか解らんですけど、一休みとか
女,えーとー
男,ちょっと話も聞きたいですし
女,じゃあ、済みません、お邪魔します…
男,ちょっと飲みモン出すんで、座ってて下さい
女,済みません…
男,はいどうぞウーロン茶です
女,有難うございます…
男,ふ～
女,…
男,で…
女,…
男,部屋、すごい有様ですね～
女,いえ、私のです単に、たくさん持ってるんです
男,え、え～？尋常じゃない量じゃないですか
女,段々と増えてしまって…手放せないんですよ。寝る場所と読む場所があればいいんです！
男,う、そうすか
女,あ、すみません…
男,うーん
女,あ、そろそろ、私帰りますね続きもあるし
男,うーん、ちょっといいですか？
女,なんですか？
男,ちょっと俺、手伝ってもいいですか？
女,ええ？そんな、何で、私の部屋。大丈夫ですよゆっくりやれば
男,廊下にもあんなに溢れさせちゃって
女,…
男,あれ、雨降ってきたりしたらヤバイですよ
女,晴れてるじゃないですか
男,夕方から降水確率上がってますよ
女,え、うーん。…。…それじゃあ、お願いします…
男,じゃあ、始めちゃいますか
女,なんか、いつも色々させてしまって…
男,そこらへんはまあ、気にしないどいて下さいよ
女,…あんまり、じっくり見ないで下さい
男,はあ…
女,ちょっと
男,ここらへんのこれ、こっちに積んじゃっていいですか？
女,あ、はい…
男,じゃあ早速
女,ああもう！もっと丁寧に扱って下さいよ！
男,ああ、すみませんここらへん開いたんで、座って下さい
女,あ、ハイ…。そうですね、じゃあ…。…じゃあ、ここらへんの物からそっちの棚に、お願いします
男,ハイハイ、さて
女,あ！
男,はいはい、丁寧に
女,…はい
男,ふー、本棚は満杯ですねなんとなく床面が見えてきたなぁ
女,はい…
男,そっちの部屋って、隙間無いんですか？
女,全然無いんですよそれに、寝室なので、今はちょっと…
男,ん、そーかじゃあ床の、当面とうしましょ
女,んー、こっちの隅から、積んじゃいましょう私もやりますよ
男,了解です足、無理しないで下さいよ。なんとなく床が広くなってきましたねつうかここ、ソファあったのか
女,はい…あ、ああああ！外！雨！雨外！
男,んん、あー
女,本！廊下の本！早く中に入れて下さい！
男,おっとそうか急げ！。ふー、ギリギリ濡らさないで済みましたね
女,はー、はー、ありがとうございますあーもう良かった…
男,取り敢えず、ひとまとまりかな？。え？、ああ、そうか。ああ、長々お邪魔しちゃって、すみません
女,はい…いや…
男,それじゃ、また
女,あ、はい、それじゃ
男,…。うざがられたァァァァア！。何故止まらんのだ俺はっハァー！
■月曜日,朝
男,ん～～～～……
後輩女,あのー…
男,うーん、俺は暴走したんだろうかいやまぁしだんだろうけど
後輩女,先輩、今日からの仕事ですが…。はい
男,んで、一応今日から俺らFX/UI班の作業が本格始動、て事になる
後輩女,はいで、私は何を。解りました
同僚Ｂ,よろしくお願いします
後輩女,わかりました
男,会議１発目までは、デザインイメージのネタ繰りでもしといて下さい
後輩女,はい効果は、男先輩が全部やるんですか？。はい、色々質問すると思いますが、よろしくお願いします
男,ほい。…う～ん
後輩女,…
男,…ああ、もう仕事に集中しようくよくよしても仕方無い。どう？ネタ的に
後輩女,ん～、すみません、まだなんとも。そうですね…まだそこらへん、よくわからなくて。はい？。あ、良いですねていうか、良いんですか？仕事中に。解りました今、行きます？
上司,あいよー
男,じゃあ、ちょっと２人で出てきます
同僚Ｂ,じゃあ僕もついでにコンビニでスピリッツと何かオヤツをお願いします
男,了解、USBハブ6Pとスピリッツとオヤツ、じゃ行って来ます
同僚Ａ,うぃ～
同僚Ｂ,よろしくです
後輩女,行ってきます
男,うん、ここは品揃えが良いし広くて雰囲気良いから、時々来るんだ。女さんが居るかも知れないんだよな、そういや気まずいなぁ
後輩女,じゃあ、私デザインの方見に行ってきます
男,俺は上のフロアに居るから、用事済んだらメール下さい
後輩女,了解ですそれじゃ、いってきます
男,ほい。よし、今日は建築本見ようついでに児童書コーナーにも寄っちゃえ。お、いたいたええ、女さんと一緒か！？
後輩女,あ、先輩、お疲れ様です
男,おつかれさんどしたの？
女,あ！男さん…
男,…女さん、こんにちわ
後輩女,あ、知ってる方なんですか？
男,うん、近所の人なんだ女さん、こちら、会社の同僚で後輩女さん
後輩女,改めて、はじめまして後輩女といいます
女,あ、私、女ですこんにちわじゃなくて、はじめまして
男,２人一緒とは思わなかったよ
後輩女,このダイアグラム作例集の第１集が無いか聞いてたんです。あ、そうなんですか…。じゃあ、それでお願いします
女,はい、では少々お待ち下さい
男,２人一緒だったんで、びっくりしたよ
後輩女,私だって、先輩の知ってる人だとは思わなかったです
男,そりゃそうだよな
後輩女,あ、戻ってきた。あー、そうですかー。あ、わかりました連絡って、メールでもいいですか？
女,はい、大丈夫です
後輩女,じゃあ、この名刺のアドレスにお願いします
女,はい、承りましたではまた後日
後輩女,よろしくお願いします
女,ﾁﾗﾘ
男,ん
女,ﾍﾟｺﾘ
男,んー…
後輩女,先輩、私の方の用事は済みました
男,ん、俺も済んだし、帰るとしますか
後輩女,はい
男,成果はあった？
後輩女,はい、とっかかりにはなりそうなカンジです先輩はどうですか？。はい…さっきの店員さん、お友達なんですか？
男,んー、友達っつーかなぁ知り合いか、なんかなぁ
後輩女,彼女さん、とか…
男,イヤ、全然つうか、何でさ
後輩女,すみません…なんかちょっと、微妙な雰囲気だったじゃないですか
男,まぁ、色々あるんだよ…
後輩女,すみません…
男,やっぱ女はこういう話が好きなのかね？
後輩女,先輩、その…
男,いや、もういいよ
後輩女,そうじゃなくて、USBハブとスピリッツとか、忘れてないですか。わかりました。あはは、わかりました
男,ただいま～
同僚Ｂ,お帰りなさい
男,はいＡさん、ハブ買ってきましたよ
同僚Ａ,ああそれ、棚を引っ掻き回したら出て来たんで、もういらん
男,なんすかそれ！カネは払って下さいよ
同僚Ａ,しゃあないな～
男,じゃあないじゃねーよ！。おっとメール…女さんからか！…なんか長文だな休憩中に見よう
あひる,ｸﾞｧｯｸﾞｧｯ
