モバP(以下P),ふたりとも寒い中おつかれ様
早苗,あ、店員さん。生中お願い
P,ペース気を付けてくださいね？
早苗,大丈夫だいじょぶ♪
飛鳥,さ、冷めないうちに食べよう
P,まずは揚げたての手羽先から……お、けっこう胡椒がきいてるな、スパイシーで美味い
飛鳥,世界の山ちゃんの手羽唐は胡椒が多めで若者人気が強いらしいよ
早苗,この辛さはビールが進むわね！手づかみで食べるワイルドさも気に入ったわ！
P,んが……しかし、きれいに食べるのが難しいな。骨に付いた肉がこそぎ落とせん
早苗,たしかにフライドチキンと違って小さいから食べずらいわね
飛鳥,ふっ、手羽唐初心者にありがちな発言だね
P,というと？
飛鳥,小さいからこそ綺麗に食べる方法も確立されてるのさ……見てくれ。まずはこの手羽先をこうして、と
早苗,関節から二つに折るの？
飛鳥,まず手羽先と手羽中と折って分ける。身の多い方が手羽中だ。そして手羽中を口に入れて、歯で身と骨を押さえるようにしたら……一気に引く！
早苗,わぁ！綺麗に骨だけ残った！
飛鳥,以外に、力が、要るから……っん、躊躇わないことがコツさ
P,食べるか話すかどっちかにしなさい
早苗,もう片方の先の部分は？
飛鳥,こちらはほとんど身がないので手羽中だけ食べる人もいるそうだよ
P,ほう、そうなのか
早苗,でも勿体なく感じるわねぇ
飛鳥,なら羽の外側に沿って食べるといい
早苗,こう？あっ、パリパリの薄皮で美味しい！
P,ジューシーな身とまた違った食感だ。こっちもイケるなぁ
早苗,飛鳥ちゃん本当に初めて？なんでこんな詳しいのかしら
飛鳥,灯台下暗しだね。指南書は目の前にあるものさ
Ｐ,目の前……あ、箸袋に食べ方が載ってたのか
早苗,枝豆に手羽先、串カツだからお箸見てなかったわー
P,みそ串カツ初めて食べたがこんな味なんだな
早苗,ソースより甘みが強いのね。これもまたビールが進んじゃうわ♪
P,そして黒手羽先。本当に黒いな！
飛鳥,手羽をウスターソースにニンニク、生姜を加えたものに漬け込み、揚げたあと更にソースをくぐらせることでこの色になるようだよ
早苗,いただきまーす……わ、酸味と甘味が癖になりそう！
飛鳥,このソース味、どこか懐かしい感覚がする……？
P,あれだ、ソース味の駄菓子の味に近い
飛鳥,言われてみれば確かに
早苗,表面がソースでべとべとなのに、中はカラッと揚がってサクサクなのが駄菓子っぽさあるわね
飛鳥,しかし、どうしてもソースと油で指がベトベトになってしまうね……んっ
早苗,ふふっ、指まで美味しくなるなんて最高じゃない
P,なんというか、イケナイ光景に見えてしまうな……
店員,お待たせしました、どて煮と天むすです
Ｐ,お、また来たぞ
飛鳥,なんというか、枝豆以外が見事に茶色ばかりだね
早苗,ほーんと、名古屋って何でも味噌つけたがるわよねぇ。あ、生おかわり！
Ｐ,早苗さん何杯目ですか？
早苗,そんなの気にしてたら飲めないわよ！
飛鳥,天むす美味しい
早苗,あ、ずるいあたしもー！
Ｐ,ひとり二個はありますから
早苗,なによー、ほら飛鳥ちゃんも飲んでる？
飛鳥,ソフトドリンクをね
早苗,お酒なんて飲んでたらタイホしちゃうわよ！
飛鳥,だから飲んでないと云ってるだろう……これが所謂絡み酒、か……
Ｐ,お、どて煮も味がよく染みてるなぁ
飛鳥,キミも少しは助けないか！
早苗,店員さーん！生おかわりー！手羽先も追加で！
Ｐ,会計済ませてきた。早苗さんは？
飛鳥,見ての通り変わらずさ
早苗,うーん……むにゃ……
Ｐ,しゃーないか。早苗さんおぶりますよー、っと。おぉ、この弾力は……
飛鳥,明日早苗さんに報告しておこう
Ｐ,勘弁してくれ、これは男として不可抗力だ
飛鳥,まったく、自分の担当プロデューサーから聞きたい台詞ではないね……ねぇ、プロデューサー？
Ｐ,ん、どうした飛鳥？
飛鳥,ボクはやはり早苗さんやキミと比べたら、どうしようもなくコドモだね。知らないセカイが数えきれないほどあるようだ
Ｐ,突然どうした？
飛鳥,居酒屋特有の喧騒なのかな。アルコールを飲み交わすというのは、普段のコーヒーブレイクとは違う雰囲気で。中々面白い体験になったよ
Ｐ,あぁ、酒の席ってのはいいもんだ。飛鳥の6年後が楽しみだな
飛鳥,そのときになったら、キミが色々手解きしてくれるかい？
Ｐ,よりダンディーになった俺が、とびっきりのバーにご招待してやろう
飛鳥,ふっ、確かに聞いたよ……大人になるのも悪くないかもね。楽しみにしておくよ
早苗,――なんてことがあって……あー頭痛い……
瑞樹,あら楽しそう。無事に戻ってこられて良かったわね
早苗,新幹線は今朝には運転再開してたみたいよ
瑞樹,それで、世界の山ちゃんだっけ？たしかこの辺りにもあるわよね。早苗ちゃん、次は私とどう？
早苗,いいわねー！楓ちゃんや美優ちゃんも誘っちゃいましょ！
飛鳥,あれだけ飲んだ翌日に次の宴会を計画するのは流石だね
Ｐ,まさにパッション溢れてるなぁ
早苗,あ、プロデューサー君もどう？飛鳥ちゃんもいいわよー！お姉さんが色々教えてあげる♪
飛鳥,早苗さん、6年待ってくれないかい……
