男,うっはー！！やっぱ初月ちゃんかわええーー！！もっかい！。やばい！やばいって！脳が蕩ける！！……も、もう我慢できねえ。ふうっ……あぁぁ……。やっぱ初月ちゃんはかっこ可愛い……。あ、アレ？視界が……なんだ？頭……が……。う……？痛い？違……う。おも……い……た……すけ……。あ、う…………。は……づづ……き……
提督,ああ、もちろん生えてるぞ。だから安心して明石に見せるといい。私はちょっと外に出ていよう
明石,はい、終わったら呼びますね
提督,……みんな大人になっていくんだなぁ
明石,ってなわけで診よっか
初月,……ホントに、大人は皆こんなものが生えてるんだな？
明石,ええ。お風呂とかで見なかった？
初月,僕はあまり他人のとかじろじろ見ないんだ。だって失礼だろ？
明石,あ～まあ、それもそうね。じゃあ今度お風呂で見てみると良いわ
初月,……分かった
明石,じゃあ、お願い
初月,…………こんなのが……
明石,…………へ？
初月,ほ、ホントに大人は皆こういうのが生えてるんだな？
明石,…………ひ…………
初月,ひ？
明石,ひぎゃぁぁあぁぁぁぁぁぁっ！！！
提督,どうした明石！？何があった！
初月,……あっ///
提督,ふへ？
初月,あ、あまり見ないでくれ///は、恥ずかしい……
提督,は、初月……？え？明石、何がどうなってるんだ？
明石,み、見ての通りです……。初月ちゃんは初月くんに……
提督,つまり初月は20㎝級のチン撃の巨根だったということだな！？
明石,いきなり下品すぎませんか！？
提督,駆逐漢
明石,それ言いたいだけですよね！？落ち着いてください提督！！
初月,うぅ……
提督,す、すまん初月。お前の事を考えず騒いでしまって……
初月,や、やっぱりこんなものが生えてることは異常なんだな！？大人は皆生えてるなんて嘘なんだな！？
提督,い、いや……男の大人は皆20cmくらい当たり前だし。私もそれくらい……あ、あるし！
明石,見栄張って対抗しないでください！あ、あのね初月ちゃん。こういうの、男の大人の人には生えているわ
初月,と、いう事はやっぱりこんなもの、大人の女には生えていないんだな？
明石,ま、まあその……
初月,うぅ……こ、こんなもの！
明石,あっ、初月ちゃん！無理しちゃダメよ！
？？？,痛っ！
明石,ほら言ったじゃない。それは今貴方から生えてるのよ。痛くて当然じゃない
初月,ちっ、違う！
明石,違わないわ、痛いって言ったじゃない
初月,そうじゃない。僕は何も言ってない
明石,へ？
初月,これだ。こいつがしゃべったんだ！
明石,そんな馬鹿な……
提督,いや、私も聞こえたぞ。確かに初月の声じゃなかった
明石,提督……っていつまで見てるんですか。せめて後ろを向いてください
提督,す、すまん
明石,ではもう一度……
憲兵,全員動くなっ！悲鳴が上がったのはここか！？
初月,きゃっ
憲兵,…………む？
提督,な、何事ですか憲兵さん？
憲兵,動くなと言ったでしょう。提督殿、悪いが今一番疑わしいのはあなただ。動かないでもらおう
明石,あ、あの、今は診察中なので出来れば関係者以外は……
憲兵,ええ、先ほどの悲鳴の原因が分かればすぐさま出ていきます
明石,悲鳴……？って……あっ
提督,明石が上げたやつか。あれは……
憲兵,提督殿、あなたには聞いていない。私が質問しているのは明石殿にだ
提督,…………
明石,あれですか？あれはですね、その～……え～っと……
憲兵,なんだ？隠すと為にならないぞ。もしや提督を庇っての……
明石,違います違います！ただその……そう、恥ずかしかっただけなんです
憲兵,恥ずかしい？
明石,は、はい。実は……ゴキブリを見てしまって……。それであんな声を……
憲兵,本当か？
明石,は、はい。お騒がせしてすみませんでした
憲兵,繰り返すが、そこの男を庇っていると言う事はないな？
明石,むっ、ありませんってば。いいから診察の邪魔です。出てってください
憲兵,分かった。以後、気を付けるように
明石,……やな感じ……。じゃあ、診察を続けるけど……
憲兵,そういえば
明石,わひゃあっ！
憲兵,診察の場に提督殿がおられるのはなぜだ？
提督,あ、ああ、私も明石の悲鳴で入ってきた口だ
憲兵,では男は不要だ。早く出るように
提督,…………分かった
初月,あ、あの……
憲兵,なにか？
初月,提督は僕の見舞いに来てくれたんだ。だからしばらく居てくれても……
憲兵,なんだと？提督殿、あなたは虚偽の報告をしたのか。これは許されざる行為ですぞ
初月,ち、違う
提督,……ふぅ。勘違いしている。見舞いに来て、その後診察が始まったから一旦外に出ていたんだ
明石,そしたら私が大声上げちゃったんですよ。だから、嘘じゃないですって
憲兵,…………分かった。矛盾はないようだな
明石,ほっ
憲兵,では提督殿は外で待機するべきだろう
提督,…………そうだな
初月,あっ……
提督,安心しろ、しばらく外に居るだけだから
初月,……分かった
憲兵,……それから明石殿
明石,はい？
憲兵,嫌味はもっと離れてから言う方が良いだろう
明石,…………
提督,じゃあ、終わったら呼んでくれ
初月,…………
明石,もう少し時間を置いてからの方が良さそうね
初月,そ、そうなのか……
明石,レントゲンとかも撮った方が良さそうだし、他にも色々検査したいから……。後で工廠に来てくれる？
初月,……分かった
明石,大丈夫よ、私と提督が何とかしてあげるから
初月,ありがとう……
明石,じゃあ、しばらく横になってて。準備が出来たら呼ぶわ
初月,………………。……はぁ、なんでこんなものが……。くふぅんっ。……あっ、い、今の感じ……。もうなんなんだ。こんなもの！……離れろ
？？？,いててて！
初月,だ、誰だ！？
？？？,……ん～、おはよう。もう朝？寝足りないなぁ……
初月,ま、まさか……
？？？,俺初月ちゃんの抱き枕なんて買ってたっけ？まあいいや、やっぱ可愛いなぁ
初月,な、なんで私の事を知っているんだ！？
？？？,あれ、抱き着きたいのに手を伸ばせない……ん？
初月,おい、聞いてるのか？貴様いったいなんなんだ！
？？？,ん？なんで話すし表情が変わるんだ？も、もしかして現実？
初月,さっきから寝ぼけた事を言うな！お前はこんな変な姿で僕にくっついてるんだ。鏡を見ろ！
？？？,………………はぁ～～～！！？？
初月,どうだ、理解したか
？？？,お、俺がTNKになってるぅ！？
初月,そ、そんな直接的な言葉を使うな、バカッ
？？？,じゃ、じゃあ……あれ……俺の名前……なんだっけ？
初月,なんだ、忘れたのか？
？？？,というか俺、何してたんだっけ？
初月,それも分からないのか……えっと、名前は無いんだったな
？？？,ああ。でも初月ちゃんの事だけは覚えてる。確か、大好きだったんだ……
初月,お、お前に告白されても嬉しいもんか！！
？？？,TNKだしなぁ……
初月,だ、だからそんな風に言うな！
？？？,むう……なら何ていえばいいんだよ
初月,僕に聞かれても分かるかっ！
？？？,TNKTNK……じゃあ、田中にでもしとこう
初月,分かった。田中だな
田中,よろしく
初月,ち、近づくな！
田中,近づくなって、初月ちゃんから生えてるんだろ
初月,や、止めろぉ。うぅ……おぞましい……。というかちゃん付けはやめてくれ。なんていうか……田中より年下に思われるのはなんか嫌だ
田中,なんだよ、その言い方
初月,文句があるのか。まったく、勝手に生えてきて……早く出て行って欲しいよ
田中,さっきからその言い方はなくねぇ？
初月,なんでだよ！僕は被害者だ。おかしいのは田中だろ？
田中,俺だって好きでこんな所にくっついてるんじゃねえよ。なんだよ、好きだって感情だけはあったのに、もう冷めちまったよ
初月,ああ、それは良かったよ。せいせいする
田中,ちっ
初月,お前、明石と提督の所以外ではしゃべるなよ
田中,なんでだよ
初月,なんでって、自分で自覚が無いのか？こんな気持ち悪い物にしゃべられたら皆がパニック起こすだろ
田中,はぁ？世の中には俺が大好きな人も居るかもしんねえじゃんか
初月,無いね、絶対言い切れる。さっき鏡見ただろ
田中,世の中にはTNKが好きな女性男性がたくさん居るんだよ！
初月,いいから黙ってろ！
田中,むぎゅ
初月,…………。……だれも居ないな……よしっ
愛宕,ぱんぱかぱ～ん！
初月,うわぁ！
愛宕,あら～、驚かせちゃったみたいでごめんね～
初月,い、いや……別に。じゃあ用があるから僕はこれで……
愛宕,あん、つれないわねぇ。さっき放送で呼んでたアレ？
初月,あ、ああ。だから早く……
愛宕,体調悪いんですって？お姉さんが、おまじないしてあげる
初月,いいよ、そんな……
愛宕,一瞬よ～。えいっ
初月,うぷっ
愛宕,は～やくよくなぁ～れ
初月,……ん？
愛宕,おまじないは～お姉ちゃんのハグでした～……ってアレ？何か足の間に……
初月,なっ何でもないから！
愛宕,ごめんね初月ちゃん。どこか痛くしちゃった？
初月,べっ、別に何でもない///もう行かないと///
愛宕,お腹が痛いの？擦ってあげようか？それともおんぶして連れてってあげましょうか？
初月,イテテテっ……こらっ、田中暴れるな……
愛宕,あらあら。ほら、おぶってあげるから、早くおいで
初月,だ、大丈夫だぁー！！。はぁはぁ……
明石,初月ちゃん、いらっしゃい。もうすぐしたら提督も来るから。それで何か変わったことはあった？
初月,……あった
明石,何かしら？
初月,田中が……しゃべったんだ
明石,へ？
初月,田中って名前を付けた。だって、しゃべるんだ、あいつ。……もう見てもらった方が早いか
明石,ひっ
初月,くそっ、なんで大きくしてるんだよ、お前……
田中,仕方ないだろ、たまたまスカートの中が見える位置にあって、それで愛宕さんが履いてなかったんだから。大きくならないのが不可能だよ
明石,…………。しゃべっ……えええぇぇぇぇぇぇ！？
田中,あ、明石だ
初月,だからお前はなんで僕らの名前を知ってるんだ……
田中,分からない。何故か名前が頭に浮かぶんだよなぁ
初月,記憶がないってのも嘘なんじゃないのか？
田中,嘘じゃないって。艦娘の名前だけは何故か分かるんだよ……
初月,どうだか
明石,あ、あの……？本当に？え？どこから声が出てるんですか？
初月,さあな、田中に聞くといい
田中,……俺も分かんねえんだけどさ、こうして話続けてれば聞こえるんじゃないか？
明石,つ、つまり耳を近づけろと……
田中,どうかな？ま゛～～ま゛～～
明石,ひっ
田中,…………
明石,す、すみません。続けて下さい
田中,ま゛ーーー……
明石,…………
初月,どうだ？
明石,どうやら鈴口から聞こえるみたい。ここが口なんでしょうか……
田中,まあ、穴はそこしかないしな
明石,そういえば初月ちゃんはおトイレ行ったの？
初月,……いや、行ってないな
明石,まずはどこから出るのか確認しといた方が良いと思うわ
初月,うっ……田中、お前見るなよ
田中,無理だって、目を閉じられねーもん
明石,見えるんですか？
田中,うん、まあ、なんていうか、頭の部分で見てる感じだと思う
明石,ふぇぇ……ちょっと興味が湧いてきましたよ
田中,え？
初月,やぁんっ。た、田中、お前勝手に動くなって言っただろ。お前が動くと僕が変な感じになるんだ
田中,だから勝手に動くんだよ、コントロールできないんだって
初月,まったく、これだから田中は……
明石,仲がいいのかしら……
提督,初月はどうなった？
明石,あ、提督。今二人はおトイレに行ってます
提督,トイレか、なるほど。それで構造が少しは分かるもんなって二人？
明石,ええ……話すより見た方が早いと思うので……
初月,お前、目を瞑れないって言うのも本当なんだろうな？嘘だったら……
田中,だから嘘じゃないっての。目も瞼があって始めて閉じられるだろ。俺にはそんな皮が無いじゃんか
提督,…………
明石,お分かりになります？だから二人です
提督,キェェェェェ！？シャベッタァァァァァァァ！！？？
初月,提督、お前顔面崩壊するほど驚くことは無いだろう。狂気を感じるぞ……
提督,す、すまん。え？だが、え？え？
明石,ちなみに名前は田中というそうですが……。提督、今は置いておきましょう。ところでどっちの穴から出た？
初月,そ、それは……下の自分の穴から///
明石,頑張っても出なかったのね？
田中,ああ
明石,ふぅん、なら膀胱などの体の器官とは繋がってないのかしら……
初月,な、なら千切っても問題ないんだな？
田中,おい、怖いこと言うなって
明石,まだ調べてみない事には分からないわ。それに位置的にはクリ//////ごにょの位置から生えてるわけだし。ぼ、膨張したって事は血管と繋がってる可能性が高いわ
初月,そ、そうかぁ……
明石,それに切り取って根本原因が無くなるわけじゃないかもしれないわ
初月,また生えてくるのか？
提督,トカゲのしっぽみたいだな
明石,ええ、一度生えて来たわけだし、可能性はないとは言えないわ
初月,くそっ
明石,……漫画の話みたいね
提督,どういうことだ？
明石,有名な某無免許医の漫画で、話をする人面瘡の話があるんです
提督,ああ、なんか合ったようななかったような……
明石,まあ、あの漫画以外にも昔からある怖い話とかで聞いたこともあるかもしれませんが、原因の一つは心因性ってことです
初月,僕に原因があるって事か？
明石,可能性の話よ。肉体的かもしれないし、それなら切除すれば大丈だわ
初月,ほっ
田中,俺はその場合どうなるんだ？
明石,……分からないけれど、田中さん単体で生きていられるとは考え辛いですね
田中,…………
提督,まあその、田中様の事もきちんと考えさせていただきますので……
初月,なんで敬語なんだ
提督,しかし万一の時は、初月を優先させていただきますので悪しからずお願いいたします
田中,分かりました……
初月,なんで敬語なんだ？
田中,そりゃあ、偉い人っぽいし……
提督,お、男として巨根様には逆らえない……
明石,提督はどうでもいいとして、なんというか常識的ですね……。提督にも敬語を使わない初月ちゃんの中にもそういう側面もあったという事でしょうか……？。それじゃあ、詳しい検査を始めましょうか
初月,分かった
明石,検査の結果を言うわね
初月,ああ
明石,時間を待たないと結果の出ない検査もしたけれど、それを鑑みても完全な健康体と言えるわ
提督,そうか……
初月,田中はどうなんだ？
明石,ええ、それについては予想通りという感じね。血管、神経、表皮などは繋がっているけれど、内臓的なつながりも無し。相当する機関もないことから生殖能力も無し。そして思考する事のできる脳にあたる様な神経塊は無し、目や耳などの感覚器官も無し、発声器官に肺もなし……どうやってしゃべってるのよこれ
田中,俺に言われてもな……
明石,……是非一度解剖とかしてみたいわね
田中,わーお
初月,うふんっ、ちょ、変な動きするの止めろ。お前の感覚は僕にも伝わって来るんだぞ
明石,冗談よ。とにかく、田中さんが付いてることで命に関わる何かが起こる心配はないと見ていいと思うわ
初月,実害はあるけどな……。風呂とか入れそうにないし……
提督,それにあたっては私の使っている風呂を使うといい。特定の艦娘が色んな事情からよく使っている。そう気にすることもないだろう
初月,そうか、ありがとう
提督,あと、当分の間は初月を内勤にしておく……
初月,ダメだ、そんなの！
提督,だがな、お前は今正常な状態じゃないんだぞ
初月,今健康体だって明石も言ってくれたじゃないか
明石,そうですね、データ上は、ですが
初月,だから頼むよ。僕を任務から外さないでくれ
提督,むぅ……。分かった、遠征任務だけは許可を出そう。それ以上はもっと様子を見てからだ
初月,ありがとう。あっ///
明石,そういえば初月ちゃんは朝ごはん食べてなかったわね
提督,ちと早いかもしれんが、まあその分空いてるだろう。もしダメだったら私が何か作るさ
明石,ごちそうさまです！
提督,おい、何も奢るとは言ってないぞ
明石,えー、けちー。私今月出費が多かったんですよぉ。ちょっとぐらい可愛い部下に奢ってくれてもいいじゃないですかー
提督,知らん。ああ、初月は何でも好きなものを頼めよ
初月,それはありがとう
提督,田中さんは……食べられるのか？
田中,どうでしょう？試したことが無いので分かりません
初月,お前が物を食べるとかぞっとしないな
明石,血管が繋がっているので、初月ちゃんから栄養は行くと思うのだけれど……もしかしたら食べられるかもしれないわね
初月,止めてくれ。僕は絶対試さないからな！
提督,よっし、行くぞ～
？？,…………。……この資料は……まさか……。間違いない。やはりあいつは、初月は男だったのか。あの一瞬を私は見逃さなかったぞ。間違いなく付いていた。そして探ってみれば案の定……。くそっ、海軍め。このような情報を秘匿していたとは……。これは人類に対する冒涜だ。これを陸軍に持ち返れば私は……。私の事を正当に評価せずにこんな鎮守府送りにした上層部の間抜けどもの鼻をあかしてやれるぞ。……くっ、検査結果ばかりで男からの製造方法が見当たらない。厳重に隠しているのかそれとも……。見当たらない……クソッ。まあいい、もっと調査をしていれば必ず尻尾は掴めるはずだ。いざとなったら……クククッ。…………
秋月,初月ー、大丈夫？
初月,問題ない。むしろ久しぶりの海で絶好調なくらいだ
秋月,良かったー
田中,いいお姉さんだな
初月,当たり前だろ、僕の自慢の姉さんだからな
田中,それで、本当に問題ないのか？
初月,ああ、始めのうちは股の間で揺れるからバランスが崩れていたが、押し付けたら大丈夫になったからな。お前こそ大丈夫なのか？
田中,まあ、ちょっときついけど、転倒して俺の事バレるよりかはマシだろうしな
初月,そうか。……ん～……
田中,……ところでお前たちはこんな風にして遠征してたんだな
初月,遠征にも色々あるけどな。今回の輸送護衛任務は、本当なら僕たちの様な秋月型は燃費が悪いから使われる事は少ないんだが……提督が気を利かせてくれたんだろうな……
田中,ふーん
初月,ルートも自軍勢力圏内でほとんど危険はなし。まったく、過保護すぎる
田中,文句言う割には嬉しそうだな
初月,そりゃあ、出撃出来ないのは不満だけど、こうも心配されて嬉しく思わないわけないだろ
田中,…………そうかよ
初月,なんだよ、拗ねてるのか？
田中,そんなんじゃねーよ。ほら、任務に集中しろよ。警戒がにん……
初月,ここは安全圏なんだから、そんなに気を張らなくても……
田中,２時方向から魚雷！避けろ！！
初月,え？。え？魚雷？
田中,まだ来るぞ！早く警戒通達しろ！
初月,あ、ああ。秋月姉さん！みんな、魚雷だ！！総員警戒！
秋月,了解
望月,敵襲だぁ～？マジかよ
天龍,魚雷が来た方角は？
初月,南西だ。それ以上は分からない
天龍,上等だ。秋月、初月は俺と一緒に南西方向を警戒。航跡が見えたら砲弾を撃ち込んでやれ。絶対にタンカーには当てさせんな
初月・秋月,了解！
天龍,望月は反対側を警戒しろ。そして本部に敵襲を知らせろ！ついでにタンカーにも連絡してケツ叩いてやれ
望月,おっけー
天龍,行くぞお前ら！。はぁ、はぁ……
秋月,ジリ貧、ですね
天龍,敵さんが本気で補給路を潰しに来たってこったろうな
初月,まさかこんな長時間攻撃が続いて、しかもまだ止む気配がないなんて……
天龍,おまけにこっちの対潜装備は基本装備しか持ってきてねえから相手の位置すらまともにわかんねえと来た
秋月,せめて潜望鏡位出してくれれば……
天龍,泣き言言ってもしゃあねえ。最悪、タンカーを放棄することも考えねえとな。秋月、連絡を
秋月,はい
初月,なんとかしないと……そうだ。……おい、田中
田中,なんだ？
初月,お前、魚雷に一番最初に気づいたよな。なんでだ？
田中,そんなの、ただ見えただけだぞ
初月,……もしかして、今までのも全部見えてたのか？
田中,ああ。多分、初月たちよりも海面に近いからとかそういう理由じゃないか？
初月,じゃ、じゃあ敵潜水艦の位置が分かったりはしないか？
田中,それは……分からない
初月,分からない？見えないじゃなくてか？
田中,ああ。今は拘束帯で縛り付けられてるから、これが邪魔で見えにくいんだよ
初月,……じゃあ、外せば見えるかもしれないんだな？
田中,……必ずとは約束できないけど
初月,わ、分かった///
田中,え？
初月,//////
天龍,おい、はつ……なぁ！？
初月,…………///
天龍,は、初月！何やってるんだ！？
初月,み、見て分からないか？パンツを脱いでいるんだ///
天龍,なんだ、見たまんまか……じゃねえ！この非常時に何考えてんだ！
初月,こ、こうした方が……た、戦いやすいんだ///
天龍,ノーパンの方が強くなるとかありえるか！緊張で頭おかしくなったか？
初月,信じてくれ！敵潜水艦は僕が見つけて叩く！
天龍,ほ、本気なのか？
初月,ああ、だから信じてタンカーと僕のパンツを守っていて欲しい
天龍,わ、分かった
初月,行ってくる
天龍,…………
初月,どうだ、田中
田中,ああ、見やすくなった。だが、まだ発見はできない
初月,クソッ。急げ！
田中,分かってる！12時方向から魚雷！航跡は三つ！
初月,このっ。早く見つけてくれ！
田中,分かってる！確実に近づいてるはずだ
初月,はずじゃ困る！
田中,……水に入れば見つけられるかもしれない
初月,艤装を付けたままじゃ不可能だ
田中,……初月、忘れたのか？俺はTNKだぞ？
初月,だからどうした？
田中,先だけ水に浸ければいい
初月,え……？そ、それは……足を止めないといけない。つまり狙い撃ちされる危険もあるんだぞ？
田中,先っちょだけ、先っちょだけでいいんだ。入れさせてくれ！そうしたら逝かせてやる！
初月,……分かった。なら田中を信じよう
田中,おう、サンキュー。見つけたら攻撃は頼むぜ
初月,当たり前だ！。…………。……い、入れるぞ？
田中,ああ
初月,ん……
田中,もうちょっとだけ奥に入れてくれ
初月,も、もっとか？……んんっ///
田中,ああ、いい感じだ……よ～し、もうちょっともうちょっと
初月,は、早くしろ！
田中,まだ……まだ……見えた！だが魚雷も発射された！11時からだ！
初月,急に言うなっ。まにっ……あえ！！。よしっ、回避したぞ！
田中,10時方向300m地点に一隻、それから12時方向に270m地点に一隻だ！ぶちかませ！
初月,ああっ！！。やったか？
田中,それは禁句だっての！他にも居るだろうからまだやるぞ！
初月,ああ！
天龍,潜水艦７隻撃破……だと？
初月,残念だが後の６隻には逃げられたよ
秋月,すごいすご～い。初月凄いよ！！
望月,マジでスゲーな、おい。ソナーも無しに探し当てるなんてなぁ
初月,まあ、それは、ちょっとね
天龍,いや、でも……いや、今はいい。急いで戻るぞ。次来られたらもう持たねえ
初月,そうだな。僕はもう爆雷が尽きたよ
望月,じゃあ、あたしのやるぜ
初月,望月は装備の型が合わないだろ
望月,そっか。じゃあ秋月から分けてもらえよ
初月,ああ……ところで天龍
天龍,なんだ？
初月,僕の……パンツを返して欲しいんだけど……
天龍,……ん、ああ。ホラよ
初月,ありがとう
天龍,しかしマジでパンツ脱いだら索敵能力が上がるとはな……
初月,……え～っと、まあ、うん、そうだな
天龍,今度オレもやってみっかなぁ……
初月,……ウン、ソウダナ……
秋月,私もやってみるね
望月,アタシもやってみっかぁ
初月,…………
田中,…………
初月,ば、バカッ。なに興奮してるんだ！まだパンツ履いてないんだぞ！
秋月,初月、どうかした？
初月,な、なんでもない！
天龍,以上、報告終わりだ。それから提督、マジで考えといてくれよ？本気だからな！！
提督,ああ、分かった。分かったから入渠してこい
天龍,おう
提督,……で、だ。まず何から話したものか迷うが……。初月、よくやったな。お前が居なかったらタンカーは沈められていたかもしれん。いや、確実に沈められていただろう。お前はこの鎮守府を救ったといっても過言ではない。ありがとう
初月,そ、そんな……ぼ、僕だけの力じゃないし///
田中,そうだな～。俺も頑張ったもんな～
提督,た、田中様？
初月,あ、ああ。田中が一番頑張ったんだぞ
提督,どういうことだ？
初月,田中は眼が良くてな。頭だけ水の中に入って、ソナー替わりになってくれたんだ
提督,それでか！天龍が対潜訓練の為にノーパンになる事を提案してきたのは！
初月,そ、そうだな……
提督,なら初月にしか意味がないことだな。却下しておこう……少し残念だが
初月,え？
提督,なんでもない。……田中様、ご協力感謝いたします
田中,あ、いえ、まあ、初月を守りたい一心でしたからお気になさらず
提督,そうですか
初月,なあ、お前たちは何時までその口調を続けるんだ？
提督,いやーだって…一度やってしまったら止め時が分からないって言うか……
田中,え、提督だし目上の人には敬語を使わないと……
初月,田中の方が常識的な理由なことに、若干頭痛がするんだが……
提督,ではまあ、外部協力員ように改めさせてもらおう。いいかね、田中君？
田中,はい。こちらこそお願いします
提督,では、話を戻すが……それほど違ったのか？田中君の協力があれば
初月,そうだな。基本的に、雷撃に関してはかなりの遠距離から感知可能。そしてソナー無しでも潜水艦を探知と、上等な対潜装備に対魚雷装備でも積んでるみたいだったな
提督,ふぅむ……それはかなりのものだな……。では君たちには今後、積極的に対潜任務へと参加してもらう事にしよう。いいかね？
初月,もちろんだ
田中,はい
提督,ありがとう。礼を言うよ、田中君。これで一人でも多くの艦娘が傷つかずに済む
田中,あ……
提督,それから、今後については明石と色々検討していくつもりだ。少なくとも切り捨ててポイ、なんてことにはしない
初月,聞いたか、田中？
田中,あ、ああ
提督,それまでは二人とも窮屈かもしれないが、相棒としてお互いを受け入れてやっていってほしい
初月,はっ！
田中,はい
提督,まあ、正しく相棒だよな、なんちゃって……
初月,…………
田中,あの……今のは真面目に締めるべきだったと思います……
提督,ぐはっ。……まあ、よろしくたのむ……。初月には間宮を用意したから楽しんでくるといい
初月,あ、ありがとう
提督,田中君には……喜ぶようなものが想像つかなかったから何も用意できていないが……
田中,俺の為に色々調べて対策練ってもらってるんだから、それだけでありがたいです。これ以上望むなんて罰が当たりますよ
提督,そうか、助かる。……TEN○Aは駄目だよな……。では、下がってくれ
初月,はっ！
田中,はっ
初月,あふぅんっ。ちょっ、力入れるなぁ……
