みんながウナギを楽しむ,一部例外あり
杏,まあまあ。ここに来た時間、そんなに違わないしさ
優花里,皆さんも特上だったんですね！
杏,まあ、せっかくだからね～
桃,さて、料理も揃ったし・・・、西住
みほ,はい？
桃,音頭をとれ。隊長だろ？
みほ,えっと・・・、なんの音頭ですか？
桃,いただきますに決まってるだろう
みほ,えぇ～！？
柚子,桃ちゃん、それはいくらなんでも・・・
桃,なんだ柚子。それぐらいできなくて、何が隊長だ！
みほ,あぅ・・・
麻子,・・・ちょっと待て。そんなこと言うなら、次期隊長は河嶋先輩なんじゃなかったのか？
桃,え？
華,そういえば、そうでしたね
桃,え、いやその
杏,かーしま、言い出しっぺはやらなきゃだよ～
桃,会長！？
柚子,桃ちゃん、ファイト！
桃,柚子ちゃぁん！？
みほ,えっと・・・。じゃあ、河嶋先輩、お願いします
桃,西住まで・・・。・・・し、仕方ない。コホン・・・。・・・すぅ～。ぱ、ぱんつぁ～、ふぉ～～！！
一同,いただきまーす！
桃,き、貴様らぁ！！掛け声が違うだろう！！
杏,何言ってんの、食べる前なんだからいただきますでしょ
柚子,桃ちゃん、お店で大きな声出したら駄目だよ
桃,う、うう・・・。だまされた・・・
優花里,だましたつもりはありませんが・・・
麻子,そもそも、自分でいただきますに決まってるだろうとか言ってたしな
みほ,あはは・・・
沙織,あ～ん、ん～・・・。っおいしー！！
優花里,やっぱり奮発した甲斐がありましたねぇ！
みほ,うん！とってもおいしい！！
麻子,うまいな。うなぎなんて久しぶりだがやっぱりうまい
華,ご飯だけでも大盛りにしてもらった方がよかったのでしょうか・・・
杏,ここのは肝吸いもいけるんだよ～
桃,会長！わたしのうなぎもどうぞ！
杏,かーしま。それやっちゃうと、かーしまの分がなくなっちゃうでしょ？
桃,ですが・・・
柚子,うふふ。じゃあ桃ちゃん、わたしが貰ってもいい？
桃,ダメだ！
柚子,ええ～？桃ちゃんのいじわるぅ
優花里,えへへ。仲がいいですね、旧生徒会のお二人！
みほ,うん！苦しいことを乗り越えてきたからこそって感じがするね
華,わたくしたちも、あんな感じになれるといいですね
沙織,もう既にわたしたちあんこうチームは十分仲良しだよ！
麻子,そうだな
杏,うんうん。後輩たちにいい姿を見せれてるね。河嶋もたまにはやるじゃん
桃,全く、油断も隙も無い・・・。それに、そんなに食べたら太るぞ、柚子
柚子,・・・え？
みほ,あれ・・・？
沙織,い、今・・・
華,なんだかとっても・・・
優花里,まずい空気に・・・
麻子,変わったような・・・？
杏,・・・前言撤回
柚子,・・・
桃,まったく、会長はそんなに痩せていらっしゃるのに、どうして柚子は・・・
柚子,あはは、そうね、桃ちゃん。あははは
桃,え・・・？ゆ、柚子ちゃん？
柚子,あははは。ちょっとお話しましょうか。あははは
桃,ゆ、柚子ちゃぁん！？ちょ、離して・・・、か、会長！に、西住ぃ！！
杏,・・・
みほ,あ・・・
杏,しーっ・・・
みほ,・・・
柚子,あははっははははははははははは
桃,っ！ゆ、許してぇ！！柚子ちゃぁああぁぁぁああああん・・・・
杏,・・・
みほ,・・・
沙織,・・・
華,・・・
優花里,・・・
麻子,・・・
優花里,っ、さ、さあ！皆さん、うな重の続きをいただきましょう！！
華,そ、そうですね！もう空ですが・・・
沙織,う、うん！た、食べよっか、麻子！！
麻子,お、おうよ！会長の言う通り、うまいな。この肝吸い
みほ,・・・あの、会長
杏,聞かないでね～
みほ,は、はい・・・
優花里,や、やっぱり丑の日はうなぎに限りますね、西住殿！
みほ,あはは・・・、そ、そうだね
典子,いくぞ佐々木！！
あけび,はい！
典子,ダメだダメだ！！それじゃあ88ミリ砲には通用しないぞ！！
あけび,はい、キャプテン！！
典子,いいかみんな。たとえ17ポンド砲だろうがカール自走臼砲の600ミリ砲だろうが返せるように根性で頑張るんだ！！
あけび・忍・妙子,はい、キャプテン！！
典子,よーし、それじゃあ今日はこれまで！！
あけび・忍・妙子,ありがとうございました！！
妙子,ふぅ～、今日もいい練習でしたね～
典子,そうだな。みんな、どんどん良くなってるぞ！だが、まだもっと練習が必要だ！
あけび,それにしても、お腹がすきました～
忍,そうね。わたしももうお腹がすいて・・・
典子,みんなでなにか食べてから帰ろうか？
妙子,いいですね、キャプテン！
あけび,そういえば、今日は丑の日なんでしたっけ？
典子,そう言われればそうか・・・。うーん、でもさすがにうなぎは懐的に厳しいな
妙子,そうですねぇ・・・
忍,あ、ご飯のことなんですけど、福ちゃんがアヒル殿たちにおいしいものを送りますって言ってた気がします！
典子,そういわれると、そんなこと言ってた気がするな・・・。それ、もう着いたの？
忍,はい、今朝わたしの部屋宛てに荷物が来てました！
妙子,じゃあ、忍ちゃんの家に行ってそれをみんなで食べよう！
あけび,おいしいもの・・・、なんだろう
典子,お肉かな！
忍,福ちゃん、何送ってくれたんだろう・・・
妙子,お肉！
忍,よいしょ・・・っと。これが福ちゃんから送ってきた荷物なんだけど・・・
典子,早速開けよう！
あけび,はい、キャプテン！
忍,はさみはさみ・・・、あった。はい、妙子ちゃん。お願い
妙子,はーい
典子,こ・・・、これは・・・！！
あけび,え・・・、まさか・・・！！
妙子,う・・・・、
忍,う・・・・！！！
一同,うなぎだーー！！！！！！
典子,こ、これは金メダル級の贈り物だ・・・！！
忍,福ちゃん、ありがとう！！
妙子,で、でもこんな高いものほんとにいいの？
あけび,あ、手紙があるよ！！
忍,ほんとだ、読むね。なになに・・・。アヒル・・・、いかがお、ごし・・・。ね、ねえ妙子ちゃん。この字、ようしょく、って書いてあるんだよね
妙子,うん！そんな感じだった気がする！！
忍,ようしょく・・・、えっと、がくえんかん、みず・・・
典子,ここにあじって漢字とかんそうって文字が書いてあるな。きっと、わたしたちの感想をききたいんじゃないか？
あけび,さすがキャプテン！
忍,ありがとうございます、キャプテン！
妙子,じゃあ、早速これを温めましょう！
典子,よし！じゃあわたしはお米を買ってくるから、みんなはその間にそれを温めておいてくれ！
一同,はい！キャプテン！！
福田,アヒル殿、我々のうなぎを召し上がってくれたでしょうか・・・
西,どうしたんだ、福田？
福田,あ、西隊長！アヒル殿にこないだ贈呈したかば焼きのことを考えていたのであります！
西,そうか・・・。皆さんが喜んでくれるといいな！
福田,はいであります！
西,それはそうと福田、喜べ！今日は我々もうなぎだそうだ！！
福田,本当でありますか！？
西,ああ、何せ今日は丑の日だからな！
福田,やったであります！大戦果であります！！
西,じゃあ、手を洗ってこい、福田！
福田,了解であります！！
西,・・・ふふ、福田があれだけ嬉しそうにしてるんだから、きっとアヒル殿も喜んでくれているだろうな
玉田,西隊長！夕食の準備がととのったようでありますよ！！
細見,細見、辛抱堪らんであります！はやく食堂への突撃命令を！！
西,おお、そうか。では、食堂へ突撃！！
一同,突撃ーー！！！！！！
アッサム,ふぅ・・・。あら？。なるほど・・・、今日は丑の日だったわね。・・・
ローズヒップ,帰宅ですわー！！帰りますわー！！！！
アッサム,・・・。お待ちなさい
ローズヒップ,わととと！！？あ、アッサム様！！
アッサム,廊下を走ってはいけませんとあれほど言ってるでしょう！
ローズヒップ,す、すみませんでございますわー！
アッサム,まったく・・・。・・・
ローズヒップ,あの、アッサム様？
アッサム,ねえローズヒップ
ローズヒップ,はい！
アッサム,この後暇かしら？
ローズヒップ,え？。アッサム様、まだでございましょうか？
アッサム,落ち着きなさい、ローズヒップ
ローズヒップ,ですがアッサム様、わたくし楽しみで楽しみで、仕方ないのでございますわ！
アッサム,あら、そんなに楽しみなの？
ローズヒップ,当然でございますわ！まさかアッサム様にうなぎ屋へと誘っていただけるなんて、喜びの極みでございます！！
アッサム,うふふ・・・、それはよかった
ローズヒップ,しかもアッサム様がお代をお支払いしてくださるなんて、感謝感激雨あられなのでございますですわ！！
アッサム,はぁ・・・。ローズヒップ、そういうことは思ってても言っちゃダメよ
ローズヒップ,はは、はい！！
アッサム,まったく・・・。あら、ありがとうございます
ローズヒップ,やったでございますわー！！うなぎ様なのでございます！！では早速・・・
アッサム,！。待ちなさい、ローズヒップ
ローズヒップ,え？
アッサム,うな重が来たときは、すぐに蓋を開けたりせずに、しばらく待つのがマナーなのよ
ローズヒップ,え？そうなのでございますか？
アッサム,ええ。ですからすこし待ちなさい
ローズヒップ,は、はい・・・
アッサム,・・・
ローズヒップ,・・・
アッサム,・・・
ローズヒップ,・・・うなぎ・・・・・・
アッサム,・・・くすっ。・・・ぷくくく・・・っ
ローズヒップ,え？アッサム様、どうされましたのですか？
アッサム,あっははは・・・！ご、ごめんなさいローズヒップ。冗談よ
ローズヒップ,え？
アッサム,別に待たなくてもいいのよ。温かいうちに早く召し上がりなさいな
ローズヒップ,え、ええええ！？あ、アッサム様！！ひどいのでございますわ！！
アッサム,ご、ごめんなさい。あなたがその、あまりにも嬉しそうだから。ちょっとからかいたくなって
ローズヒップ,アッサム様もお人が悪いのでございます！
アッサム,ごめんなさいってば・・・。その代わり、今日は好きなように食べていいわよ
ローズヒップ,え？マジでございますか！？
アッサム,ええ。わたくししか見ていないのだから、マナーについてとやかく言うつもりはありません
ローズヒップ,でも・・・
アッサム,いいのよ。・・・だけど、ダージリンたちには内緒よ？
ローズヒップ,アッサム様・・・！はい！！では、お言葉に甘えまして・・・。いただきます！はむ！むぐ！！むごごごっ！！
アッサム,あ、だけどそんなにがっつくと・・・
ローズヒップ,むぐ！もごご！！もご！！
アッサム,ほらごらんなさい。はい、お茶よ
ローズヒップ,もごっ！！っ、ごくっ、ごく・・・、っぷはー！！助かりましたでございます！ありがとうございますです、アッサム様！
アッサム,全く。いくらマナーについては何も言わないとはいえ、よく噛んで召し上がりなさいな
ローズヒップ,肝に銘じますでございます！では、改めましていただきます！もご、もぐ、もぐ・・・
アッサム,・・・では、わたくしもいただくとしましょうか。いただきます
ローズヒップ,もご！もぐ！むぐ！！
アッサム,はむ・・・、うん、おいしいですわ
ローズヒップ,ふぉふぁっふぁふぇふ！ふぁっふぁふふぁふぁ！！
アッサム,もぐ・・・、ごくん。何言ってるか全然わからないわよ。飲み込んでからしゃべりなさいな
ローズヒップ,ふぁい！！もぐもぐ・・・。ふぁひふぁふぉうふぉふぁいふぁふ、ふぁっふぁふふぁふぁ！
アッサム,はあ・・・。どういたしまして、ローズヒップ
ローズヒップ,ふぁい！！。いや～、昨日は本当においしかったでございますわー！
ダージリン,ごきげんね、ローズヒップ
ローズヒップ,あ！ダージリン様！ごきげんよう！！
オレンジペコ,なにかいいことでもあったんですか？
ローズヒップ,えへへ・・・、実は昨日、うな
アッサム,おほん！！
ローズヒップ,はっ！！
オレンジペコ,・・・ローズヒップさん？
ローズヒップ,いやー！実は昨日、うなじの綺麗なお姉さまをお見掛けしてお持ち帰りしたのでございますわ！！
アッサム,ぶっ！！
オレンジペコ,・・・はい？
ローズヒップ,アッサム様、わたくしは秘密を守り通したのでございますわ！
アッサム,あの子は・・・！！
ダージリン,うふふ、それは楽しそうね。ローズヒップ！
ローズヒップ,はい！大層たのしゅうございましたわ！！
ダージリン,・・・あら？そういえば昨日は丑の日だったみたいね。一日遅れだけれど、みんなでうなぎでもいかがかしら？
オレンジペコ,本当ですか？ダージリン様！
ダージリン,ええ。わたくしの家でご馳走しますわよ？
アッサム・ペコ,あっ・・・
ローズヒップ,マジでございますか！？
ダージリン,ええ、マジでございますわよ
ローズヒップ,やったでございますわ！！ダージリン様、是非ご馳走になりたいのでございます！！
ダージリン,あらそう。そこの二人はどう？
オレンジペコ,す、すみませんダージリン様。実は昨日、クラスの友人たちとうなぎを食べてしまいまして・・・
アッサム,じ、実はわたくしも、昨日の夕飯がうなぎでして・・・
ダージリン,そう、それは残念ね・・・
ルクリリ,～♪
ダージリン,ルクリリ
ルクリリ,！？あ、だ、ダージリンさま！ご、ごきげんよう
ダージリン,あなた、今年もわたしのお家へうなぎを食べに来ない？
ルクリリ,え、えっと・・・。すみません、昨日すでに食べてしまいまして・・・
ダージリン,そう。みんな食べちゃったのね。・・・しょうがないわね。行きましょうか、ローズヒップ
ローズヒップ,はい！
オレンジペコ,アッサム様、確認ですが、あれって・・・
アッサム,ええ、オレンジペコの思っている通りよ・・・
オレンジペコ,じゃあ・・・
アッサム,ローズヒップ・・・、強く生きなさい・・・
ルクリリ,馬鹿め、二度も騙されるか・・・
ダージリン,せっかくわたくし特製のうなぎの煮こごりをご馳走しようと思ったのに・・・。つれないのね、みんな
ローズヒップ,いやぁ～、昨日もうなぎ、今日もうなぎ、わたくし、とってもついてるのでございますわ！！
ケイ,WOW！今日はCOWの日ね！ナオミ、アリサ。うなぎでも食べに行きましょうか！
ナオミ,イエスマム
アリサ,・・・
ケイ,あれ？どうしたの、アリサ？
アリサ,・・・実はわたし、おこづかいがなくって・・・・・・
ナオミ,そうなのか？アリサ、結構おこづかい貰ってなかったっけ
アリサ,ぎく
ケイ,うーん、別におごるのはノープロブレムだけど、浪費するのはよくないわね。何に使ったの、アリサ？
アリサ,そ、それは・・・
ナオミ,・・・
ケイ,？
アリサ,えっと・・・、戦車道・・・、そう！戦車道の練習用のバーベルに使っちゃって・・・。はは、あははは
ナオミ,バーベル？
アリサ,ほ、ほら！ナオミだって、こないだわたしのこと力が足りないって言ってたじゃない！
ナオミ,あー
ケイ,確かにアリサにはパワーもスタミナも足りてないわね
アリサ,は、はい！そうなんです！！だから、力をつけようかと・・・
ナオミ,ちなみに、何キロのバーベルを買ったんだ？
アリサ,え！？
ナオミ,いや、軽いバーベルだとそんなに高くないし。一体何キロの買ったんだろうって
アリサ,そ、それは・・・。え、えっと・・・
ケイ,？アリサ、バーベルの重さを言うと何かまずいことでもあるの？
アリサ,い、いえ！その・・・。50キロ・・・？そう！50キロです！！
ナオミ,50キロか・・・。それだと結構高いかもな
アリサ,そうなのよ！いやあ、奮発しちゃったのよ！！はは、ははは
ケイ,結構パワフルじゃない、アリサ！
アリサ,お、お褒めいただき光栄です、マム！
ケイ,じゃあ、そうね・・・。その成果を見るために
アリサ,え？
ケイ,このバーベルでもあげてもらいましょうか！
アリサ,ええええ？って、そのバーベルは一体どこから・・・
ナオミ,細かいことは気にするなアリサ。ちなみにそのバーベルは30キロある
アリサ,さ、30キロ！？
ケイ,うーん、アリサにはちょっと軽すぎるかもね
ナオミ,まあ、持ってみればいいんじゃないか？
アリサ,そ、そうね・・・。30キロなんて持ち上げられるわけないじゃない！！
ナオミ,ほら
アリサ,う、うん・・・。でも、ナオミもケイ隊長も軽々持ってるし、案外いけるのかも・・・？。い、いきます！。うわああああん！！！手があああああああ！！！！腰がああああああ！！！！！！
ケイ,アリサ！？どうしたの！？
ナオミ,そのバーベル、1ミリも動いてないように見えたんだが・・・
アリサ,うわあああああん！！！
ケイ,アリサ、パワーついてないじゃない！！
ナオミ,はぁ・・・
アリサ,ごごご、ごめんなさい！！バーベル買ったの嘘なんです！！
ケイ,What!?
ナオミ,やっぱりか・・・。変だと思った
アリサ,うぅ・・・
ケイ,嘘ついちゃダメだっていつも言ってるでしょ、アリサ！！
アリサ,すみません、マム・・・
ケイ,全く・・・。それで、本当は何に使ったの、アリサ？
アリサ,・・・
ナオミ,マム、反省会の準備をしてきます
ケイ,そうね、お願いするわ、ナオミ
アリサ,わー！わーわーわー！！言います！言いますから！！
ケイ,よろしい
アリサ,・・・カメラ
ナオミ,え？
アリサ,タカシを見守るためのカメラに使ったのよ！！悪い！？
ケイ,・・・Ooops
ナオミ,・・・アリサ、お前
アリサ,あああ、もう！！こうなったら開き直るわ！！そうよ！アリサのアリサによるタカシのためのカメラよ！！タカシの動きを逐一報告してくれる機能付き、音声応答AI付き、プリンター転送機能、GPS機能、ウィジェット機能に電子マネー、電卓、ものさし、栓抜きまでついた優れものよ！！
ケイ,・・・
ナオミ,・・・
アリサ,あ！そのカメラから通知だわ。ちょっと待っててください、マム！
ケイ,・・・
ナオミ,・・・
アリサ,なんですって・・・？タカシ、今日はうなぎを食べてるのね！なんてかわいいの！？タカシ、わたしも同じもの食べるからね！タカシ！！
ケイ,・・・
ナオミ,・・・
アリサ,マム！うなぎを食べに行きましょう！マムの奢りで！！
ケイ,・・・
ナオミ,・・・
アリサ,？どうしたんですか、マム
ケイ,・・・帰ろっか、ナオミ
ナオミ,・・・そうですね
アリサ,え！？マム！？な、ナオミ！どこ行くのよ！！
ケイ,・・・
ナオミ,・・・
アリサ,も、戻ってきてよ！！戻ってきなさいよ！！F○ck!!ふ○――――――っく！！！わたしをF○ckしなさいよ、タカシぃいいいいいいい！！！！！
ケイ・ナオミ,・・・・・・・・・・・・・
ペパロニ,ドゥーチェー！！！！！！
アンチョビ,ん？どうしたペパロニ、そんなに急いで？
ペパロニ,。大変っす！うちの店、牛肉切らしてるっすよ！！
アンチョビ,お、おう・・・。今のメニューに牛肉は入ってないから、別にいいんじゃないか？
ペパロニ,え？姐さん何言ってんすか！今日牛肉切らしてたらまずいっすよ！！
アンチョビ,なんで？
ペパロニ,姐さんそんなこともしらないんっすか？今日は丑の日っすよ！丑の日は牛が売れるに決まってるじゃないっすか！！
アンチョビ,はああ！？ペパロニ、お前それ本気で言ってるのか・・・？
ペパロニ,え？どういうことっすか、ドゥーチェ
アンチョビ,あのなあ・・・
カルパッチョ,ペパロニ、別に丑の日は牛肉を食べる日じゃないのよ
ペパロニ,え？そうなのか、カルパッチョ？
アンチョビ,丑の日と言ったら、うなぎに決まってるだろうが・・・
カルパッチョ,丑の日にうなぎを食べるっていう文化があるのよ、ペパロニ
ぺパロニ,なーんだ。てっきり牛肉が売れる日かと
アンチョビ,あのなあ！うちの地元の近くでとれるうなぎを日本全国で食べるのが丑の日なんだ！まったく・・・
カルパッチョ,ドゥーチェ、愛知県ですもんね
ペパロニ,へー。愛知県ってところ、うなぎがとれるんすね。てっきり名古屋県でとれるもんだと思ってました
アンチョビ,あのなぁ・・・
ペパロニ,？
アンチョビ,はぁ・・・、まあいい・・・。でもそうか、うなぎか・・・。ふーむ・・・
カルパッチョ,どうしました、ドゥーチェ？
アンチョビ,よーし！！お前ら、今日はわたしの奢りでうなぎを食べに行くぞ！！
ペパロニ,マジっすかドゥーチェ！！
カルパッチョ,でもドゥーチェ、うなぎって高いんじゃあ・・・
アンチョビ,なに、気にするな！お前らは黙って奢られとけばいいんだ！
ペパロニ,さすがウチのドゥーチェは最高っす！！
カルパッチョ,ドゥーチェ、ありがとうございます！
アンチョビ,はっはっはー！ドゥーチェの懐の広さに恐れ入れー！！！
ペパロニ・カルパッチョ,はい、ドゥーチェ！！
アンチョビ,はー・・・、ただいまー。まったく・・・、並のつもりだったのに特上を頼むなんて、あいつら・・・。・・・はぁ、これで来月までまた塩パスタかぁ。・・・。・・・。まあ、ペパロニもカルパッチョも、美味そうだったからそれでいいか。塩パスタでも上手くゆでれば美味しいしな！。よーし・・・。今月も頑張れよ、統帥アンチョビ！！
カチューシャ,うーん・・・、今日も疲れたわね
ノンナ,今日はいっぱい練習しましたからね
クラーラ,カチューシャ様、今日も頑張っておられました。素晴らしいです
カチューシャ,当然よ！それから、かーべーたんの動きもよくなってきたけど、やっぱりまだまだね。ニーナとアリーナにはびしばし仕込んでいかなくっちゃ！
ノンナ,そうですね、カチューシャ
カチューシャ,あぅ・・・
ノンナ,お腹がすきましたね。わたしもですよ、カチューシャ
カチューシャ,う、うるさいわね！ごほん・・・。まあいいわ。今日のご飯はなにかしら？
ノンナ,今日は丑の日ですから、うなぎみたいですね
クラーラ,まあ！日本ではうなぎを食べる日が決まってるんですね！
カチューシャ,うなぎ？うなぎって、あのにょろにょろした蛇みたいなやつよね？
ノンナ,ええ。そうです
カチューシャ,うえ・・・、カチューシャ、あれ食べたくないわ
ノンナ,どうしてですか、同志カチューシャ？
クラーラ,うなぎはロシアでも人気がある日本食ですが・・・
カチューシャ,そうなの？う～・・・。でも、あれってにょろにょろしてるじゃない。なんだかあれを食べるって変な感じ・・・
クラーラ,カチューシャ様はうなぎを食べたことがないのですか？
カチューシャ,そうね。ダージリンのところで出されたことはあるけど、見た目が気持ち悪くて・・・うっぷ
ノンナ,カチューシャ。あれを日本のうなぎと一緒にしないでください
カチューシャ,違うことぐらい知ってるわよ！でも、あれが思い浮かんで食べられないのよ
クラーラ,おいたわしや、カチューシャ様・・・
ノンナ,とりあえず、食堂へ向かいましょうか
カチューシャ,うん。・・・でも、いーい？カチューシャはうなぎは食べないんだから！
ノンナ,・・・
カチューシャ,う～、今日はほんとうにうなぎだけなのね・・・
ノンナ,肝吸いとおつけものもついてますよ
カチューシャ,お味噌汁とつけものだけじゃない！
クラーラ,カチューシャ様、肝吸いとお味噌汁は別物です
カチューシャ,し、知ってたわよそれくらい！。でも、それだけしか今日はカチューシャ食べるものない・・・
ノンナ,・・・
クラーラ,カチューシャ様・・・
ノンナ,カチューシャ、せっかくだから一口だけ食べてみましょう。きっとおいしいですから
カチューシャ,うぅ・・・、どうしても食べなきゃダメ？
ノンナ,はい。一口食べれば、あとは何かわたしが買ってきましょう
カチューシャ,それなら・・・、食べてみる。でもいい？一口だけだから！
ノンナ,はい、わかりました
カチューシャ,う・・・
クラーラ,カチューシャ様、頑張って！
カチューシャ,えい！。むー・・・。・・・！
ノンナ,どうしました、同志カチューシャ
カチューシャ,・・・しぃ
クラーラ,え？
カチューシャ,おいしい・・・！ダージリンの家で見たやつと違って、全然生臭くない！！
クラーラ,あらあら、それはよかったですね
ノンナ,だからそう言ったじゃありませんか
カチューシャ,うん！
ノンナ,ではカチューシャ、一口食べ終わりましたね
カチューシャ,え？
ノンナ,約束ですからもう食べなくてもいいですよ。ノンナが何か買ってきましょう
カチューシャ,・・・！！ダメ！カチューシャが全部食べるんだから！！
ノンナ,ふふ・・・、知ってます
カチューシャ,もう！ノンナのいじわる！！
ノンナ,ТоварищКлара,соглашусь,пожалуйста,успокойтесь.同感ですが同志クラーラ、少し落ち着いてください
カチューシャ,あんたたち、日本語で話しなさいっていつも言ってるでしょ！！
クラーラ,シトー？
カチューシャ,シトーじゃないわよ！！それくらいカチューシャにだってわかるんだから！！
ノンナ,カチューシャ、早く食べないとうなぎが冷めてしまいますよ
カチューシャ,あ、ダメ！食べるの！！。ふぃーふぃ、ふふぁーふぁ。ふぁんふぉふぃふぉんふぉふぇふぁふぁふぃふぁふぁいひょいーい、クラーラ。ちゃんと日本語で話しなさいよ
ノンナ,カチューシャ、お行儀が悪いですよ
クラーラ,努力します、カチューシャ様
カチューシャ,ごくん・・・。あー、おいしい！毎日うなぎだったら嬉しいのに！
ノンナ,Каждыйдень・・・毎日・・・
クラーラ,угорь・・・うなぎ・・・
カチューシャ,そしたらカチューシャ、嬉しくってちゅーってしちゃうかも！なんてね！！
ノンナ・クラーラ,！！！
カチューシャ,はむ・・・。あー、おいしい！
ノンナ・クラーラ,・・・
アリーナ,の、ノンナ副隊長！クラーラさん！この縄ば解いてけろ！！
ノンナ,では、わたしの命令に従うのですね。同志アリーナ
ニーナ,そんなの無理にきまってるじゃ！！うなぎ屋でバイトしで毎日うなぎを持って帰るなんてこたぁ、できっこねえべ！！
クラーラ,うるさいですよ、同志ニーナ
ニーナ,あでで！あででで！！縄ばきつくすんのは勘弁してほしいじゃ！！
ノンナ,さあ、選ぶのです。同志ニーナ、同志クラーラ
クラーラ,わたしたちの命令に従うか・・・
ノンナ,このままシベリアで強制労働365ルーブルか
クラーラ,それとも・・・、それすらできない体になるか
ニーナ・アリーナ,
ノンナ・クラーラ,さあ！！
