理事長,音ノ木坂を廃校にします
穂乃果,全国大会で優勝するため！優勝して、廃校を阻止するためです！
海未,穂乃果…！
ことり,ホノカチャン…！
絵里,即答、ね。……女子高校野球の現在の加盟校はおよそ150校ほど。ここ数年で大幅に増加したとはいえ、確かにまだ少ない
ことり,生徒会長、詳しい…？
絵里,優勝できる可能性、決してゼロではないわね
穂乃果,はい！優勝、してみせます！
海未・ことり,お願いしますっ！
絵里,……ハラショー
穂乃果,え、はら…？
絵里,素晴らしい、と言ったの。私もね、生徒会長として、廃校を食い止めるための手段を色々考えていたわ。だけど、あなたたちのこの案が一番現実的かもしれない
海未,そ、それじゃあ…！
絵里,部員は三人だけ？
ことり,あ、はいっ、今はまだ三人です
絵里,いいわ、私が四人目になります
穂乃果,よに…え、ええっ！？
絵里,入れてもらえるかしら？
穂乃果,入ってくれるんですか？！わあっ、ありがとうございます！絢瀬先輩！！
絵里,絢瀬絵里よ。絢瀬先輩、じゃなんだか堅いし、下の名前でいいわ
穂乃果,はい！よろしくお願いしますっ！絵里先輩！
絵里,うん、よろしくね。ポスターは明日から貼って構わないわ。練習はサブグラウンドに空きスペースがあるからそこを使いましょう……。それと、今から五人目の勧誘に行きましょうか
海未,五人目…心当たりがあるのですか？
絵里,ええ、とびっきりのがいるわよ。素直に参加してくれるかはわからないけど、ね
希,お、来た来た。放課後にここで会うのはなんだか新鮮やね、絵里ち
絵里,希、生徒会をサボってこんな所にいたの？それもご丁寧に、ジャージ姿にバットを持って
希,うん、放課後に絵里ちが会いに来るんはカードが教えてくれとったんよ。後ろの三人と一緒に来ることもね
ことり,えっ、どうして…？
希,不思議？ふふ、ウチはスピリチュアルやからね
海未,雰囲気は穏やかですが…どことなく凄みのようなものを感じさせる方ですね
穂乃果,あの、東條先輩！野球部に入ってもらえませんか？お願いしますっ
希,おっ、いきなり本題？ふふ、穂乃果ちゃんはせっかちさんやね。うん、ウチは野球は大好きよ
穂乃果,わぁ！それじゃあ！
希,でもなぁ、トントン拍子に五人目加入…ってのも、なんだか面白みがないやん？だから、ちょっとしたイベント。一打席勝負。ウチが打者、そっちが投手。誰が投げてもいいよ。ウチを打ち取れたら野球部に入ってあげる
絵里,そう来ると思ったわ。穂乃果、海未、ことり、あなたたちは投手ってできる？
穂乃果,えーっと、ま、まだ練習とかしてないから全然…
ことり,ことりには無理だと思います…
海未,私も、キャッチボールくらいしかした事がないですね
絵里,ふう…そうだとは思ったけど、初心者三人でよく全国優勝を目指すつもりになったわね…。いいわ、私が投げる
ことり,絵里先輩、ピッチャーできるんですか？
絵里,ええ、一時期だけど、野球を齧ってたの。そこの希もね
希,ふふ、やっぱり絵里ちが投げるん？ゆっくり決めていいよ
絵里,捕手は…海未、やってもらってもいいかしら。なんとなく一番投げやすそうだわ
海未,わ、私ですか…？わかりました
穂乃果,海未ちゃん！ファイトだよっ！
ことり,頑張ってねっ！
海未,が、頑張ります
希,ほな、ちょっと近くの広場まで行こっか
絵里,ちょっとだけ肩慣らしさせてもらうわよ？
希,うん、急がんでええよー
絵里,じゃあ海未、何球か投げるわよ。適当に構えててくれればいいわ
海未,わかりました！
絵里,久々に投げるわね…。こう、握って…振りかぶって…放る！
ことり,えっ、すごい！
穂乃果,速っ！絵里先輩のボールすごい速いよ！？
海未,う、手がヒリヒリします！
希,絵里ち、すごいやん。久々なのに球が速くなってるんやない？
絵里,そう、かしら。うん、肩は軽いわね
希,１２０キロ近く出てたんやないかな。やっぱり女子では相当イケてると思うよ
海未,絵里先輩、返球します
絵里,海未、ナイスキャッチよ。よく目を瞑らずに取ったわね。あなたはやっぱり捕手向きかも
穂乃果,海未ちゃんすごいよー！
ことり,海未ちゃん素敵ー！
海未,穂乃果、ことり…あまり褒めないでください、照れてしまいます…
希,さて、そろそろ勝負やね。絵里ち、海未ちゃん、よろしく
海未,よろしくお願いします、東條先輩
希,さぁて、この打席のカードの暗示は…
海未,タロットカード、ですか？
希,力か。じゃあここは…ベブちゃんで行こか？
海未,ベブちゃん、ベブちゃん…？とはなんでしょうか。なんだか見慣れない構えですね…クローズドに構えて…まるで外人選手のような…
絵里,よしっ行くわよ！
海未,あっ、はい！
絵里,ワインドアップからの…受けてみなさい希！渾身のストレートよ！
希,……うん、これくらいなら
絵里,っ！？
穂乃果,ホームラン！？
ことり,わぁ…野球ボールってあんなに飛ぶんだね…
海未,東條先輩のフォーム…現代の選手たちの打撃フォームとは明らかに違います…ベブちゃんとはおそらく、ベーブルース…！かの伝説のメジャーリーガーを模倣してみせたのですか…！
絵里,く、くうっ…希…！
希,ふふ、今日はウチの完勝やね、絵里ち
絵里,そうね…完敗だわ
穂乃果,あのっ、東條先輩…！すごいバッティングでした！お願いします！野球に入ってもらえませんか？
希,希でええよ、穂乃果ちゃん。けどね、今日はもう帰り。まだウチが入る時やないってカードも言ってるんよ
穂乃果,希先輩…
希,でも、そうやね…野球部の名簿に名前は使ってもらっていいよ。そしたらとりあえず部活申請通すための5人にはなるやろ？ふふ、楽しかったよ。また誘ってな
花陽,…………
凛,かーよちんっ！
花陽,わっ、凛ちゃん！
凛,何見てるの？ポスター？
花陽,う、うん…部活動のやつ
凛,凛たちも早く何部に入るか決めないとだよねー
花陽,あれ、凛ちゃんは陸上部に入るんじゃなかったの？
凛,うん…走るのは楽しいよ？楽しいんだけどね…最近、ただ走るだけじゃなくてプラス、他の要素を求めたい自分に気付いてしまったにゃー
花陽,走りにプラス…バスケとか？
凛,うーん、やったら楽しいのかもだけど、バスケ部はほとんどの子が中学からやってるから…
花陽,そうだよねぇ…うーん、私はどうしよう…
凛,かよちんもなんかスポーツやろうよー。そしたら凛もそれに入ろっかなー
花陽,え、ええっ！私こそ高校からいきなりスポーツは無理だよぉ
凛,あ、かよちんの好きな野球部もあるみたいだよ？
花陽,え、野球ッッ！？！？嘘っ、音ノ木坂に野球部はないはず！調べてすごく残念だったんだよぉ！！？
凛,かよちんはお米と野球をこよなく愛してるもんね。きっと最近できたんじゃないかな？
花陽,凛ちゃん！野球やろう！私もマネージャーやる！凛ちゃんをすぐそばで応援するから！！
凛,かよちん、いつになく圧が強いよ！でもかよちんマネージャーと一緒なら野球も楽しそう。見学行ってみよっか！
花陽,うんっ！
海未,ほら穂乃果、ボールから視線を切らない！
穂乃果,う、海未ちゃんの鬼！練習初日から地獄の千本ノックなんて厳しすぎるよ！
海未,仕方ないでしょう、私たちは短期間で仕上げないといけないんです！ほら行きますよ！
穂乃果,休憩しようよぉ！！
ことり,わぁ、二人とも上手だなぁ…
絵里,焦らなくていいわよ、ことりは私とキャッチボールからゆっくり慣れていきましょ？
ことり,はぁい、絵里先輩！
絵里,ふふ、少しずつ指にかかったボールを投げられるようになってきてるわよ
海未,穂乃果ァ！
穂乃果,う、海未ちゃん！これ、穂乃果そろそろ死んじゃうよ！？
絵里,穂乃果はなんだかんだ言いながら打球を後ろに逸らさないわね…肩もまずまず強いみたいだし、三塁手にいいかもね
海未,穂乃果ァッ！！
穂乃果,ねえ聞いてる？！もし死んだら枕元にバット持って化けて出るからね！？あっほら天国見えた！天国見えたよ！？
絵里,えっ、化けて……？ね、ねえ海未、そろそろ少し休憩を入れてもいいんじゃないかしら？
海未,ふむ。絵里先輩がそう言うなら、ここで一息入れましょうか
穂乃果,た、助かったぁ…ありがとう絵里先輩！
絵里,え、ええ。適度な休憩は大切だものね…。だから、化けて出ちゃダメよ？
穂乃果,え？
ことり,穂乃果ちゃん海未ちゃんお疲れ様！はいっ、飲み物とタオルだよ！
海未,ことり、ありがとうございます
穂乃果,うぉぉ…こんなにアクエリを美味しく感じた事はないよ…
ことり,ふふっ、糖分とかを摂りすぎないように、粉末のをかなり薄めに作ったやつなんだけどね
海未,絵里先輩、後で捕球の練習をしたいのですが
絵里,ええ、私も投げ込みたいからちょうどいいわ。休憩の後にやりましょう。なんとかして希を打ち取れるようにならないと…
凛,あのーすいませーん！部活の見学がしたいんですけど
絵里,あら、一年生が来てくれたみたいね
穂乃果,えっ、やった！海未ちゃんことりちゃん！獲物を逃がすな！フォーメーションデルタ！
ことり,ラジャー！
海未,了解です！
絵里,ちょ、ちょっと三人とも…あんまりガツガツ行って引かれないようにね？
穂乃果,へいらっしゃい！ようこそ野球部へ！お客様は二名様ですか！
凛,あっ、はい！一年の星空凛です。あの、凛は今まではずっと陸上部で、野球はやったことないんだけど…大丈夫ですか？
穂乃果,もっちろん！私もまともに野球するのは今日が初めてだよ！
凛,ええっ？今日初めて！？
穂乃果,そう！私、高坂穂乃果！よろしくね！
凛,よ、よろしくお願いします
海未,園田海未です。よろしくお願いしますね。そちらの方も野球は初めてですか？
花陽,……野球力測定
海未,あの…どうしました？
花陽,トサカは5、サイドテールは71、黒髪は107…
ことり,んー、私の顔に何かついてるかな？
花陽,野球力たったの5…ゴミめ
凛,あ、気にしないでください！かよちんは野球の事になるとスカウター眼鏡ちんモードに入っちゃうんです
穂乃果,すかうたー…？
凛,ほらかよちんかよちん、挨拶しなきゃ
花陽,えっ？あっ！ご、ごめんなさい！凛ちゃんと同じ一年の小泉花陽です…えっと、私は野球は大好きだけどやったことはなくて…あ、じゃなくて！私はマネージャー志望なんですけど…
ことり,わぁ！花陽ちゃんはマネージャー志望なの？花陽ちゃんは可愛いね！もう今すぐ即戦力だよぉ！南ことりです、よろしくね！
花陽,わ、私！そんな可愛いだなんて！あの、私野球が大好きで、メガネだし、運動神経は悪いんですけど、傍で見ていたいなぁって思って…だから、マネージャーさせてもらえたら嬉しいですっ…！
穂乃果,もちろん大歓迎だよ！マネージャーかぁ、なんだか野球部らしくなってきたんじゃないかな！
凛,かよちんかよちん、なんだか優しそうな先輩たちだね
花陽,うん！人数はまだ足りてないみたいだけど、すごく楽しそうだね
絵里,星空さんと小泉さんね。絢瀬絵里よ、よろしくね？
花陽,よ、よろしくお願いします
凛,凛はもう部活ここに決めちゃうにゃー。陸上より楽しいかも！
花陽,良かった！えへへ、一緒に…って言っても私は応援とお手伝いだけど、頑張ろうねっ
凛,うんっ！。でも、かよちん、ほんとはマネージャーじゃなくて参加したいんじゃないかなぁ…？
花陽,う、うああっ！もう！最悪だよぉ！！！
絵里,ひっ！す、スマホを見ていたと思ったらいきなり叫んで…。花陽、どうしたの？ちょっとビックリしたじゃない…。ハ、ハラショー…。よ、よくわからないけど、落ち着いて花陽……ね？
ことり,そのサイト、にこにこ速報って読むのかな？なんだか可愛い名前だね～
花陽,うう、クソアフィめ…なんｊでもまとめてればいいのに私のオアシスを侵犯するなんて…ああっ、憤懣遣る方無いです…！
絵里,どうしよう、花陽が怖いわ
穂乃果,ネットで女子高校野球について語ってるとこなんてあるんだねー。やっぱり結構人気出てきてるのかな？。お、おおー…、花陽ちゃんの熱がすごいよ
花陽,穂乃果先輩もルックス可愛いし、たった一週間の練習で野球力もメキメキ伸びて140！どうやらセンスがあるみたいです！もし勝ち上がれれば絶対人気が出るはずですっ！
穂乃果,ほ、褒められてるのは嬉しいけど圧がすごいよ花陽ちゃん…あと野球力って何！？
海未,行きますよ凛！！
凛,ヘイヘーイ海未先輩！このくらい余裕だよ！
海未,いい根性です！次！
凛,バッチコーイにゃ！
希,凛ちゃんは身体のバネが凄いなぁ。遊撃手やってもらったらいいんやないかな？
花陽,希先輩の野球力は、っと…1403！！？？えっ、えっ！全国トップクラスなのぉ！？
絵里,脚も速いのよね、センターもいいんじゃないかしら？
希,うーん…女子の、それもアマチュア野球やからねぇ、外野に大飛球ってパターンは男子よりかは少なめやし、内野を固めた方が堅実なんやない？
花陽,の、希先輩が言うなら…私もそう思いますっ
絵里,そっか、二人が言うならそれがいいのかもね。それじゃあとりあえずショートは凛で決まりかしら
穂乃果,おー、じゃあ穂乃果と凛ちゃんで三遊間だね！
ことり,穂乃果ちゃんと凛ちゃんが内野で並んでたらチームが明るくなりそうでいいね～
希,元気印コンビでいい感じやんなぁ
絵里,ところで希、あなたしれっと混ざってるけど、もしかして参加してくれる気になったのかしら？
希,いやぁ、打ち取られたらってのは変わってないよ。でも一応、ウチも書類上の部員ではあるからね。様子見に来たんよ
絵里,もう…変にこだわってないで一緒にやらない？楽しいわよ？
穂乃果,そうだよ希先輩。穂乃果にあのホームランの打ち方教えてよー
希,うーん、混ざりたい気持ちも山々なんやけどね？今ウチが加わらないのはチームのために必要な事だ…ってカードが告げとるんよ
ことり,スピリチュアルですか？
希,そ、スピリチュアルやんな
絵里,仕方ないわね…また後で勝負しなさい、希。ところで、向こうの方で遠巻きに見てる子…うちに興味あるのかしら？
希,うん？どの子？
絵里,ほら、あの物陰になってるとこ。半身隠してこっちを見てるわ
希,……えっ？
絵里,えっ？
希,…絵里ち、そんな子、、どこにもおらんよ？
絵里,ち、ちょっと希…からかわないでよ。ほら見てことり、私が指差してる方。あの子よあの子
ことり,……んー。……あのね、絵里先輩？誰も、いないよ？
絵里,えっ、ちょっ
希,絵里ちにだけ見えとる…って事？
穂乃果,なになに！怖い話してるの！？
絵里,ひっ！や、やだ…嘘でしょ…！？やめてよ！こ、こっちに向かって歩いてきてるあの子よ！？赤っぽい毛で巻き髪の女の子！！ほら！指で毛先をクルクルって！
希,……聞いた事ない？…音ノ木坂七不思議、夕暮れのグラウンドに現れる少女の亡霊。…スピリチュアルやねぇ！！！
絵里,音ノ木坂七不思議ぃ！？
真姫,ねえちょっと
絵里,ひいいいっ！！亡霊っ！？
真姫,う゛ぇえっ！？だ、誰が亡霊よ！！
ことり,あはは、ごめんね？なんでもないのよなんでも
絵里,えっ…？ちょっと、ことり、あなた普通に会話して…
希,ごめん絵里ち、からかっただけなんよ。いやー思いの外ことりちゃんのノリが良くって
絵里,か、か、勘弁してよねぇ……？
ことり,それで、何か用かな？もしかして見学？
真姫,ん…違うけど。ねえ、そこのノックしてる人
海未,え、私ですか？
真姫,そう。ちょっと右腕出してくれない？
海未,右腕を？
真姫,ハヤクシナサイヨ
海未,は、はい
真姫,……
海未,！？い、痛いですっ！？いきなり肘を捻って…何をするんですか！
真姫,…あのね、ノックのフォームが少しおかしいのよ。右肘の腱に負担がかかってる。故障しないうちに少し休んだ方がいいわ。あなた、小泉さんよね。救急箱ってあるかしら
花陽,あ、う、うん！
真姫,……固定して……これでよし。簡単にだけど、湿布とテーピングをしておいたから。明日ぐらいまではあまり激しく動かさずに安静にしておく事ね
海未,ありがとうございます。あなたは？
真姫,お礼はいいのよ、勝手にした事だし。私は一年の西木野真姫。スイングする時はもう少し引き手を意識して振るのをお勧めするわ。それじゃあね
ことり,行っちゃった…
穂乃果,か、かっこいい
花陽,西木野さん、すごいなぁ…。ごめんなさい海未先輩、怪我しそうになってたのはマネージャーの私が気付かなきゃいけなかったのに…
海未,いえ、気にしないでください花陽。私も少しフォームを見直してみます。それにしても凄いですね…あの西木野さんという方は
凛,西木野さんは凛たちのクラスメイトだよ。家がお医者さんでね、西木野さんはスポーツドクターを目指してるんだって
穂乃果,へえー！欲しい！西木野真姫ちゃん、うちのチームに欲しい！
希,ふふ、必要なピースがまた一枚…やね
花陽,お疲れ様でしたー！
凛,穂乃果先輩たちまた明日にゃー！
穂乃果,ばいばーい！
希,じゃあ帰ろっか、絵里ち
絵里,悔しいわ…また希にホームランを打たれるなんて…
ことり,はぁ～、今日も疲れたねえ
穂乃果,ホントだよ。素振りのせいでまた手にマメができちゃった
ことり,日に日に女の子の手じゃなくなっていくよぉ…
海未,ふふ、いいじゃないですか。努力の証ですよ
穂乃果,熱血だなぁ海未ちゃんは。あ、でも打つのは楽しいよねっ！
海未,そうですね…こう、カッと芯で捉えた時の力感はちょっと癖になりますよね
ことり,穂乃果と海未ちゃんはバッティング得意だよね～！もう絵里先輩の速球についていけるようになったなんですごいよ。ことりはまだまだ…
海未,ふふ、ことりもそのうち慣れますよ。私も変化球への対応に早く慣れなくては…
穂乃果,あ、そういえばあっちの通りにバッティングセンターがあるよ！ちょっとだけ寄ってかない？
海未,いいですね、私は今日は腕を動かせませんが付き合いますよ
ことり,ことりもあとちょっと練習していきたいかも！
穂乃果,わぁ、中はこんな感じなんだねー。なんだかレトロな雰囲気でいい感じだね
海未,屋内で響く打球音はなんだか新鮮に感じますね
ことり,カウンターで専用メダル買ってきたよ。ことりが先に打ってもいいかな？二人にフォームとか見てほしいんだ
海未,はい、いいですよ。あ、右打者用の110キロのケージが空きましたね
ことり,よーし、ヘルメットを被って手袋をして…メダルを入れて…スタート！
穂乃果,ことりちゃん！ファイトだよ！
ことり,きゃあっ！速い！？
海未,ことり、落ち着いてしっかりボールを見ましょう！大丈夫、打てますよ
ことり,う、うん！
にこ,……
ことり,やった、当たった！な、なんだか手が痺れるけど…
穂乃果,バットの根っこだったねー、でもタイミングは良かったよ！ファイトファイト！
にこ,……
ことり,もう一球…よく見て、えいっ！
穂乃果,おー！前に飛んだ！
海未,今の打球なら外野の前に落ちたかもしれません！いいですよことり！
ことり,うふふ、ちょっと楽しいね！
にこ,全ッッ然、駄目ね！！
穂乃果,うぇっ？誰？
にこ,重心が高い！軸がぶれてスイングが泳いでる！腰を落としなさい腰を！脇もキュッと締める！
ことり,えっ、は、はい
にこ,顎を引いてボールをよく見る！インパクトの瞬間まで一瞬たりと目を離さない！
ことり,こ、こうかな？
穂乃果,おお、いい当たり！
海未,一二塁間をライナーで抜ける打球です！
にこ,駄目よ！今のは振り遅れて右に飛んだだけ！自分のタイミングで打ててない！非力でヘッドスピードが遅いのを自覚して、今よりも気持ち早めにバットを出しなさい！
ことり,チュンチュン！
海未,鋭い打球！
穂乃果,クリーンヒットだね！
にこ,それが打撃の基本にして王道！センター返しよ！今の感覚を身体に染み込ませなさい！！
ことり,すごい、なんとなく打てるようになっちゃったかも！ありがとうございます
にこ,ふん、ちょっと熱くなっちゃったわ。アンタらが最近音ノ木坂に野球部を作ったっていう二年生？
穂乃果,うん、そうだよ！あなたも音ノ木坂生？
にこ,にっこにっこにー！あなたのハートににこにっこにー！笑顔届ける矢澤にこにこー！にこにーって覚えてラブにこっ！
穂乃果,えっ
海未,えっ
ことり,にこにこ…？最近どこかで聞いたような…
にこ,……私は矢澤にこ。ここのバッティングセンターでバイトしてんの
穂乃果,そ、そうなんだ！よろしくねにこちゃん！
にこ,ふんっ
穂乃果,にこちゃんは野球に詳しいんだね。教え方もすごく上手だったし、ねえ、良かったら穂乃果たちと一緒に野球やらない？
海未,ええ、あなたが入ってくれたらとても心強いのですが…
にこ,楽しそうだけど、パスよ。ここのバイトがあるし、副業の時間もあるから
穂乃果,ええ～っ、そんな事言わずに一緒にやろうよにこちゃん！楽しいよ！やろう！
ことり,副業ってなんだろ…？
にこ,しつこいわね～。家庭の事情ってもんがあるのよ。あとにこは三年！アンタたちより上級生だから！
穂乃果,えぇ！嘘でしょ！？
にこ,なによ！ムカつく反応ね！底抜けに失礼な奴……ま、でも、にこは野球は好きだから許すわ。応援はしててあげるわよ
ことり,応援、かぁ…
穂乃果,うーん…にこ先輩、どうしても駄目ですか？
にこ,無理よ。はい、メダル1枚サービスしてあげるから、この話はおしまい。仕事に戻らなきゃだから、じゃあね
穂乃果,駄目かぁ…
海未,どうにか参加してもらえないでしょうか…
ことり,アルバイト、副業…お金で困ってるのかな？
穂乃果,うーん……なんとかならないかなー
凛,にゃにゃにゃ…にゃあっ！
絵里,凛、大振りしすぎよ。しっかりボールを見て、まずは当てないと
凛,うう、全然当たんないよ！守備の方が楽しいよー
希,意外やねぇ、運動神経の塊みたいな凛ちゃんがこんなに打撃が苦手だなんて
ことり,なんだかスイングがぎこちないかな？
穂乃果,へへ、ボールが飛んでこないから守備も楽でいいね…ふぁあ…
海未,穂乃果ァ！守備中に打者から視線を切って欠伸だなんてたるんでます！打球が飛んできたら大怪我をしますよ！目覚ましにグラウンドを10周してきなさい！
穂乃果,ひいっ！海未ちゃんの鬼ィ！ま、真面目にやるから！
海未,次に目を切ったら走らせますからね！
絵里,もう一球行くわよー
凛,よーし、今度こそ花火を打ち上げてやるにゃ！
絵里,えいっ！
凛,やあっ！
海未,うーん…空振りですか
凛,うう、海未先輩…凛、センスないのかな…？
海未,いえ、なにかきっかけがあれば…感覚を掴めば凛なら必ず打てるはずです。でもどうすれば…
凛,かよちーん全然打てないよー！
花陽,がんばって！凛ちゃんなら打てるようになるよ！
凛,あっ、ちなみに凛の野球力ってどれくらい？
花陽,えっとね…(ピピピ)。野球力95。うん、全然伸びてないね。一言で言えばフリースインガーの雑魚だよ凛ちゃん。運良く当たったところでポップフライが関の山だね
海未,し、辛辣ですね…
絵里,そこまで言わなくても…
凛,り、凛は慣れてるから…かよちんは昔から野球に関してだけはあんな感じなの。凛はこっちのかよちんも好きだよ？
穂乃果,ねえ花陽ちゃん、野球力ってどれくらいあればすごいの？。へぇ～！プロってやっぱり凄いんだね！
海未,その手の強さの数値化みたいなのって結構好きです。ワクワクしますね
ことり,それを測れる花陽ちゃんの眼鏡って一体どこで売ってるんだろう…
凛,ええ…凛の95ってクソザコだよね…テンション下がるにゃ～
花陽,うーん……あのね凛ちゃん、反対側の打席に立ってみたらどうかな？
凛,えっ、左打席？でも凛は右利きだよ？
花陽,ううん凛ちゃん、野球の打席に利き手は関係ないんだよ。試しにちょっと立ってみて？
凛,うん…ええと、グリップは逆だよね…こう？
花陽,そう、そんな感じだよ凛ちゃん！それでね、何か、さっきまでとの違いに気付かない？
凛,違い、違い？かよちんが背中側になって見えなくなっちゃって寂しいよ
花陽,えへへ、凛ちゃんってば……あ、そうじゃなくってね…一塁を見てみて？
凛,一塁を？……あっ、なんだか、一塁が近い？
花陽,そう！そうなの凛ちゃん！左打者は一塁が数歩ぶん近くなって有利なんだよ！だから上手な人でもわざわざ左打者になる人がいたりするんだよ！
凛,そっか、近くなった…これなら…凛の脚なら…
海未,…！それじゃあ絵里、もう一球お願いします！
絵里,オーケーよ。行くわよ凛！
凛,えっ、あ、まだ準備が
絵里,食らえ！ハラショーストレート！
凛,に、にゃにゃっ！
海未,当たった！
凛,でも三塁線、ボテボテのゴロ…
穂乃果,私が取るよ！
花陽,一塁に走って凛ちゃん！全力で！
凛,う、うんっ
穂乃果,焦らず取って…一塁の希先輩に送球！
凛,全力で駆け抜けるにゃー！
希,穂乃果ちゃん、良い肩してる。鋭い送球やったよ。…けど、これは悠々セーフやね
花陽,やったやった！凛ちゃんすごいよ！内野安打だよ！ヒットだよっ！
凛,うう、でも全然当たり良くなかったよ…？
