千川ちひろ,皆さんあけましておめでとうございます、千川ちひろです
茄子,あらまあ、いつもありがとうございます♪
そら,これであたしたち、今年もはっぴーごーらっきーでいけるね☆
茄子,ふふっ、プレゼントしに来たのに、私までもらっちゃうんですから……。そらちゃん、今年もよろしくお願いします♪
そら,よろしくお願いしますっ☆。それじゃあ、今からそらちんにゅーいやーどりーむらいぶすたーとするから、茄子さん見てってね☆。飛び入り参加ものーぷろぶれむ！
茄子,なるほど、そのセットを組んでたんですね～。よ～し、楽しんじゃいますよ♪
そら,あ、またべるの音がする！
茄子,あら、だいぶ待たせちゃってますね。そろそろ次の人に行かないと。ではでは～♪
そら,行っちゃうの？ばいばーい☆。あっ、そらちんもりんがべる！。去年も茄子さんとはっぴーとらっきーのしぇあしたんだった！。初夢は忘れちゃうのかな？でもこんなすぺしゃるどりーむだったら、きっとりあるのそらちんにもぱわーをくれるよね☆
安部菜々,ああ……年が明けてしまいました
菜々,また数え年がひとつ……。い、いいえっ！ナナは永遠の17歳だから、数え年も関係ないっ！。それよりも、知識の更新をしなければ。今年の干支は……だから、17歳の干支は……生年月日は……。おや、何の音……？
？？,その時、空から不思議な鈴の音が聞こえてきたのです……
菜々,え、ええっ！？。ああっ、あれは誰だーっ！？誰だ、誰なんだーっ！？
茄子,それは……カコでーすっ♪
菜々,か、茄子ちゃん、どうして空から！？足は痛くしてないですかっ！？
茄子,夢の中ですから、何でもアリの問題ナシです♪
菜々,ゆ、夢？はっ、よく見たら、ここ、なんにもない……
茄子,まあまあ、それはさておき、あけましておめでとうございます♪
菜々,あ、はい、あけましておめでとうございます、昨年中は大変お世話になりました、今年もどうぞよろしくお願いします……。えっと、じゃあ、これって初夢っていうことですかね？初夢に茄子ちゃんとは、縁起がいいですねえ
茄子,そう思ってくれたなら、来た甲斐があります。ところで菜々ちゃん、何か悩み事はありませんか？どうせ夢の中ですから、遠慮しないで吐き出しちゃいましょう♪
菜々,な、悩みなんてJKのナナにはありませんよ！？
茄子,う～ん、普通の女子高生なら、悩みのひとつやふたつあるんじゃないでしょうか？
菜々,あーっ！で、ですよね！？ナナも、ストレス社会に生きる現代っ子ですから？悩み、ありますとも！
茄子,たとえば、なんでしょう？
菜々,た、たとえば……な、ナナはいつまでこのままでいられるのか、とか
茄子,このまま、というと……アイドルのことですか？
菜々,…………。う……
茄子,う？
菜々,ウサミン星からやってきた永遠の17歳のアイドルとして、です！。今は受け入れてくれている皆が――特に小さな子が、いずれナナに不審な目を向けてくるのではと思うと、怖くてたまりませんっ。かと言って、焦って路線変更すればもっと多くのファンにそっぽ向かれちゃいそうで、それも恐いんです。でもでも、時間が経てば経つほど、いろいろと無理が出るわけで……
茄子,なるほど、普通の女子高生にはない、大変な悩みですね
菜々,はうっ！
茄子,でも、アイドルとしてファンを裏切りたくないという気持ちはよくわかります。要するに菜々ちゃんは、ずっとウサミン星からやってきた永遠の17歳アイドルでいたいというわけですか？
菜々,す、少なくともプロデューサーさんが黙認する限りは……
茄子,誰も菜々ちゃんの素性を深く追及せず、さらに肉体も衰えなければ、それが叶いますよね～
菜々,ああ……だったらどんなに幸せでしょう！そんな都合の良い永遠があったら、ナナまっしぐらですよう！
茄子,ふむふむ、でしたら気休めかもしれませんが……どうぞ、私の幸運をおすそ分けします♪
菜々,は、はあ。いいんでしょうか、こんな大層なもの
茄子,ぜひもらってください！これで向こう一年間は、菜々ちゃんも安泰ですよ～
菜々,か、茄子ちゃん……ありがとうございます、気を遣っていただいて。そうですね、先のことを恐れてばかりでは今も輝けません。勇気が出ました、今年もナナはナナらしく行きます！ウーサミン！
茄子,ウーサミン♪。今の菜々ちゃん、とってもイキイキしてますよ！これは間違いなく17歳です♪
菜々,はいっ、ナナは誰がなんと言おうとラブリー17歳なんですっ！キャハ☆
茄子,ふふっ、もう大丈夫みたいですね♪
菜々,おや、さっきの鈴の音が？
茄子,私にお迎えが来たんです。それでは菜々ちゃん、今年もありがとうございました
菜々,？そんな言葉、気が早いですよ？
茄子,いえいえ、今言うべきことなんです。それではまた～♪
菜々,ありがとうございます、夢の中の茄子ちゃん。幸運とかよりも、励ましてくれたことが何より嬉しいです。それにしても、なんだか以前にもこんな初夢を見たような気が……。というか、何度も？。な、なーんて？デジャヴってやつですよね、きっと。だって、だとしたらアイドルになって何年も経ってる……なのにその間、誰も歳を取ってないことになっちゃう。そんなの、それこそさっき話した都合の良い永遠、まるでサ○エさん時空だもの。えっ、今勝手にピー音が入った！？。ゆ、夢の中だから？比奈ちゃん達に教えたら喜びそう……
遊佐こずえ,すー…すー…
こずえ,んー…ふわぁ…
ちひろ,あら、こずえちゃん。目が覚めました？
こずえ,うん…おわったみたい…。ふわぁ…ひらけー…さかいめのとびらー…
イヴ・サンタクロース,は～い、到着ですよ～
茄子,ふう、ありがとうございます。ブリッツェンもお疲れ様♪。こずえちゃんにちひろさんも、こんな時間まで待っててくれてありがとうございます
ちひろ,いいえ、皆さんお疲れ様でした。今、お茶を入れますね
こずえ,こずえー…ねてたから…へいきー…。それよりー…あれはー？
茄子,うん、イヴちゃん
イヴ,ちゃんといただいてきましたよ～。はいどうぞ、都合の良い永遠の素です♪
こずえ,んー…じゃあ…いってくるねー…
茄子,あら、もう行っちゃうんですか？
こずえ,はやいほうが…いいからー…
茄子,わかりました、それじゃあ大事なお仕事、お願いしますね
ちひろ,こずえちゃん、あったかい格好しなくて大丈夫ですか？
イヴ,どうぞ、私のコート着ていってください～
こずえ,んー…あったかー…。ひらけー…しんえんのとびらー…。いってくるー…
茄子・イヴ・ちひろ,いってらっしゃ～い
茄子,皆さんには新年早々、ご面倒をおかけしました
ちひろ,必要なことじゃないですか。協力できてうれしいですよ？
イヴ,私も、サンタとしてクリスマス以外にもお役に立てて光栄です♪
茄子,そう言ってもらえるとホッとします。元はと言えば、私のエゴと思いつきで始まったことだから……ここまで来たら、全部巻き込んで心ゆくまでやりきろうって、決意したつもりなんですけど。それでも時々、後ろ盾が欲しくなるんですよね
イヴ,どうぞ、たくさん頼ってください！私達は全部わかった上で茄子さんのお手伝いをしてるんですから～♪。すやすや……
茄子,疲れて眠っちゃったみたいですね
ちひろ,こずえちゃんが使ってたタオルケット、掛けてあげましょう。茄子ちゃんも仮眠取ったほうがいいんじゃないんですか？みんなのカウンセリングみたいなことをしたんですから、大変だったでしょう
茄子,毎年のことですけど、やっぱり疲れますね。今日も生放送ありますし、お言葉に甘えて少し休みます
ちひろ,どうぞ、これ掛けてください。私も少しだけ仮眠を……
茄子,……すみません、私、そんなにたくさんお仕事できないと思うんです。……はい、いっそのことお正月だけのアイドルとか、ダメでしょうか？。なぜって……言ったじゃないですか、私、運が良いんです。いえ、良すぎるんです。だから、実力がなくてもラッキーでお仕事が上手くいって、実感がないまますぐにトップアイドルとして祭り上げられると思います。でも、そんな状態で大舞台に立たされたら、いつか正気を失ってしまいそうで。――あ、あれって昔の私だ。デビューする前の私……歳は変わらないけど、ちょっと垢抜けてないかも？。プロデューサーさん、なかなか納得してくれないからお互い困っちゃって……ふふっ♪
ちひろ,茄子ちゃん、あなたの事情はわかりました。私からもプロデューサーさんを説得してみます
茄子,本当ですか？
ちひろ,でも、あまり表に出なくとも一年は一年、年齢を重ねれば当然アイドルでいるのは難しくなりますよ
茄子,やっぱり、そういうものですか
ちひろ,名前が売れすぎないようにする作戦もいいですが、みんなと一緒のペースでお仕事できるよう環境を整えることも考えたほうがいいんじゃないでしょうか
茄子,つまり、私が実力相応の評価がされるように運を弱める、ということですか？
ちひろ,できます？そんなことって
茄子,う～ん……私、色んな形で周りの人に幸運を分け与えたりしてますけど、それって言い方は悪いですけどウイルスが感染した、みたいなもので。自分の運が切り分けられて減ったというイメージはないんですよね～
ちひろ,なるほど……なにか案を練ってみましょうか
茄子,最初からちひろさんは私の理解者でいてくれた……。そうでなかったら、私は今頃、色んな意味でアイドルを続けていられなかったかもしれない。えっと、ちひろさん？こちらのおふたりは……
ちひろ,あれから私なりに考えました。茄子ちゃんの幸運の弱め方。少なくなるイメージがないと言っていたので、イメージできる状況を作るという方向で考えて――。実際に幸運を目に見える形で受け渡す、という儀式でもって、茄子ちゃんのイメージに働きかけるというのはどうかと思いました。まあ、言ってしまえば思い込み、プラシーボ効果なんですけど。こちらのおふたりは、その儀式をセッティングできそうな子たちです。うちの事務所、なかなか余所ではお目にかかれないスキルを持ったアイドルがいまして
イヴ,はじめまして、イヴ・サンタクロースです～♪サンタをやってます～
こずえ,ゆさこずえー…こずえはねー…じゆうなのー…
茄子,鷹富士茄子です……あの、ふたりは私の事情を？
ちひろ,はい、説明しました。相談した結果、私の考えた案を実現できそうだと判断して、お連れしたんです
茄子,幸運を目に見える形で受け渡すって、いったい、どうやってでしょう？
ちひろ,大雑把に言うと、事務所の皆さんの夢の中に入って、幸運をプレゼントするという形になりますね
茄子,？
ちひろ,せっかく縁起のいいお名前なんですから、初夢を利用しましょう。作戦名は一鷹富士茄子でいかがですか？
茄子,？？
こずえ,こずえー…さかいめのとびらー…あけてあげるぅー…
茄子,？？？
こずえ,そこから…ゆめのなかにはいるのぉー…はいれー…
茄子,？？？？
イヴ,私とトナカイのブリッツェンが、ソリでそれぞれの夢まで運んであげます。そうしたら、皆さんに幸運をプレゼントしてください～♪
茄子,？？？？？。ふふ……私ったら、あんなにきょとんとした顔して……今だったら考えられないかも♪。でも、最初は自分と方向性の違う不思議を前にして、ずいぶん混乱したっけ……。あとでプロデューサーさんに言われたんだよね。君の幸運は確かにすごいが、うちには負けず劣らずすごいのがゴロゴロいるから、運だけでトップになっちゃうなんて杞憂だと思うよって。わ、わっ！？。う～ん、お尻打っちゃいました～
イヴ,お帰りなさい、大丈夫ですか～？
茄子,は、はい、なんとか……。それにしても、安部菜々ちゃんと初めてちゃんとお話しましたけど、何か思い詰めたような……不思議な子ですね
イヴ,それなんですが、茄子さん。おふたりがお話している最中に、私のサンタ袋の中にこんな物が出てきたんです～
茄子,なんでしょう、このモヤモヤしたのは
イヴ,わかりませんけど、多分茄子さんの幸運と同じような、抽象的な何かでしょうね～。実はこの袋って、人が欲しがっている物を作り出すっていう特性がありまして～。つまり、菜々ちゃんの悩みを解消するための何かが、ここに作り出されたのかもしれませんね～
茄子,これは、初めて初夢に潜った時の……。この時は、まだ右も左もわからなくて、幸運をおすそ分けしようとしても怪しまれてなかなかスムーズに行かなかったのよね。人の悩みを聞いてあげて、手助けをしたいっていう流れを作ると受け入れてもらいやすいって気づいたのは、何十人も終わってからだったなあ
こずえ,これはねー…えいえんだよぉ…
茄子,永遠？
こずえ,ちゃんとしたえいえんじゃないから…じかんがねー…ぐるぐるのぼってくのー…
イヴ,はー……よくわかりませんね～
こずえ,あのねぇ…んーと…ふわぁ…
茄子,都合の良い永遠……記憶や経験は蓄積されるのに、肉体年齢は変化しない。簡単に言えば不老の状態にする概念。何年もアイドルではいられないだろうって言われた私にとって、喉から手が出るほど欲しかったもの……。今だから思うけど、あの時袋の中にそれを生み出したのは、もしかしたら菜々ちゃんだけでなく、私の願望も混ざっていたのかも……。せっかくですから、どうにか利用できないでしょうか？
イヴ,これを欲しがっている菜々ちゃんにあげる、とかですか～？
ちひろ,どうです、こずえちゃん？
こずえ,ひとりには…おもたいよぉ？。だからー…みんないっしょに…ぐるぐるしよー…
ちひろ,皆一緒に……不老になるということですか！？
茄子,そんなこともできちゃうの？
こずえ,できるよぉ…せかいのまんなかにねー…うめるのー…
茄子,この世の理を書き換える、なんてとんでもないことを、こずえちゃんはさらっと提案して、さらっとやってのけちゃった。でも、どうやっても一年くらいしか保たないっていうことで――。毎年、初夢に潜るたびに菜々ちゃんから都合の良い永遠を調達することになったんだ。――でも、この状況を皆さんは不審に思わないでしょうか？。特に育ち盛りの子達は、全然成長しないとおかしいんじゃ？
こずえ,そういうの…きにしないよー…。そういうきまりにしたからー…
ちひろ,事情を知っている私達さえ何も言わなければ問題ない、ということですね
イヴ,内緒の約束ですね～♪ブリッツェン、誰にも教えちゃダメですよ～？
茄子,お正月しか表に出ないようなやり方でもアイドルを続けていられたのは、やっぱり私がずっとハタチのままだからっていうのが大きいと思う。それに、何年もこの作戦を続けてきたおかげで、やっと他の時期のお仕事も受けられるようになってきた。それって、本当に私の幸運が弱まったからかもしれないけど、それよりもきっと――。事務所のみんながそれぞれ経験を積んで立派なアイドルになったから、私が目立ちすぎなくなってきたっていうことなのかも。だとしたら、私のわがままがきっかけでも、巡り巡ってみんなのためになっているんだって思える。これって、運がいいだけじゃ決して手に入れられない――。私が幸運に流されず、自分のあり方を考えてもがいたからこそ、初めて得られた幸せなんじゃないかな。…………
ちひろ,ううん……ふああ……
イヴ,皆さん目が覚めましたか？私もついさっき起きたところです～。はいブリッツェン、ミカンあ～ん♪
茄子,また同じ初夢を見ちゃいました
ちひろ,私もです。こずえちゃんがそう仕向けているんでしょうか
イヴ,かもしれませんね～。その証拠に、いつも私達が起きるとすぐ――。あっ、やっぱり扉が出てきましたよ～
こずえ,ただいまー…
ちひろ,おかえりなさい、こずえちゃん
茄子,大丈夫だった？
こずえ,ばっちりー…いぶー…こーとぉ…
イヴ,はい、ばんざいしてくださ～い
こずえ,ばんざーい…。ぷはぁ…ちゃんとー…みんなのはつゆめも…けしてきたよぉー…
ちひろ,ありがとうございます。夢の記憶が残ってると後々困りますからね
茄子,ちょっと後ろめたいですけど、人に言いたくない悩みとかも打ち明けられてますし、仕方ないですよ。これでやっと新たな一年が始まった気がしますね
イヴ,そうですね～、私もこれでサンタのお仕事がひと区切りつきましたから～♪
茄子,このメンバーでの年越しも、もう何度目になるんでしょうか……いつまで続けるかはともかく、無事この時を迎えられて良かったです♪
イヴ,誰が欠けても成り立ちませんからね～
ちひろ,わ、私もですか？何の特殊能力もないですけど
こずえ,ちひろー…いろいろしてるよー？
茄子,この時のために仮眠室を空けてくれたり、仕事がかぶらないようにプロデューサーさんにそれとなく働きかけてくれたり。私達アイドルでは手に負えないことをやってくれていますから。そもそもこのチームが出来たのも、ちひろさんの紹介あってのものですし
イヴ,この作戦に関しては、ちひろさんが私達のプロデューサーですね～♪
こずえ,ちひろー…つぎもてつだってー？てつだえー…
ちひろ,あ、ありがとうございます……。この活動が皆さんを輝かせる助けになると思えば、ぜひ今後ともよろしくお願いしたいです。だいぶ夜が明けてきましたね。そろそろ解散しましょうか
茄子,そうですね。では最後に、あらためて――あけましておめでとうございます！
ちひろ,あけましておめでとうございます
イヴ,おめでとうございます～♪
こずえ,おめでとー…
茄子,今年もよろしくお願いしますね♪
