キャプテン・アメリカ(以下キャップ),う……。……ここは……？
クラピカ,……私はクルタ族という少数民族の末裔で、唯一の生き残りだ。いや、生き残りとなった……
キャップ,(クラピカの話は想像を絶するものだった。彼はコンタクトレンズを外すと、自分の家族、親戚、友人に至るまで激しい拷問の末虐殺されたことを、真っ赤な瞳に怒りを宿し語り続けた)。(虐殺の凄惨さはヒドラの所業を通して痛いほどよく知っている。僕がかつて仲間とともに潜入し解放した収容所では、飢えのあまり仲間の遺体を齧る者すらいる始末だった。あの光景がまぶたの裏に蘇る)。(この世界にヒーローがいない理由がわかった。ここは憎しみだけが連鎖し続けてきた世界なんだ。そして、ゴンのように突発的な善良さが生まれては無垢なままに消えていく。そういう世界。ハンターという職種がそれを示している)。(ここに来るまで考えていたが、ハンターが良いものなのかどうなのか、僕にはわからなかった。だが一つだけ言えることがある)。(この世界にはハンターとは別な正しい行いが必要だ)。(……少なくとも、クラピカには必要だった)。……ありがとう、クラピカ
クラピカ,……ああ、聞いてくれてありがとう、スティーブ。……いや、キャップ
キャップ,君はこれからどうするつもりだい？ハンター試験を合格したら……
クラピカ,前にも言ったが、クライムハンターという職種がある。私が目指しているのはそれだった
キャップ,……君はやはり
クラピカ,話は以上だ。一方的な幕引きですまないが……少し疲れた。休ませてくれ
キャップ,ああ、おやすみ
クラピカ,君は寝ないのか？
キャップ,まあね。ほら、なんてったって僕は超人だから
クラピカ,ふ……
キャップ,……。……幻影旅団……
キルア,……
キャップ,なるほど。……すべきことは……いくつかある
トンパ,ハァーハァー、なんだよここは……虫はいるわ変なうめき声が常に聞こえてくるわ……。！誰だ！？
キャップ,久しぶりだね
トンパ,……！あ、あんたは……
キャップ,プレートと合うナンバーを探してるんだがなかなか見つからなくてね。参ったよ
トンパ,ま、まあな……。お、おれもあんたと同じ腹でよ。余計なプレートかき集めずにたった一人と対戦して終わらそって寸法だ。俺は平和主義者だからよ
キャップ,僕もそうなんだ。だいたい人を殴ったり蹴ったりって好きじゃないからね。ここはお互い穏便に済ませようか。僕はあっちに行くから君はそっちにということで。目的は済ませたろ？余計な手出しはやめてくれよ。じゃあな
トンパ,あ、ああ……わかったぜ。(き、消えた……あいつ、何のために現れたんだ？言ってることも意味がわからねえ……)。(手練れっつっても本当はビビリで大したことねえんじゃねえか？)。(……？そういえば……あいつが現れた時……物音が二つしてたような……？)。……なっ、ない！俺のプレートが！あいつ、いつの間に！？
キャップ,……案外話の通じる相手でよかったよ
ヒソカ,ま、君に免じてプレートだけで見逃したけど♣キミと再戦できるならそれでいいや❤
キャップ,こうして相手しなきゃいけないのも面倒だ。ここでケリをつける
ヒソカ,かっこいいマスクだね♣それどこで売ってんの？
キャップ,スタークインダストリーズのカスタマーセンターに聞け
ヒソカ,狙いズレてない？。今度は当たらない❤。残念♦
キャップ,……ぐっ！
ヒソカ,利き腕は切断寸前♣もうおしまい？。案外つまらなかっ……。……ぐっ(……まさか……いままでの数秒間樹木の間を跳ね返り続けていた！？)。(ボクがこの位置に立つことも……計算尽く……！)。かはっ…！
キャップ,(可能な限りダメージを与えて……！)。(立ち去る！)。逃げろ！ヒソカがくるぞ！！
ヒソカ,……。……もう逃がさない……！！
キャップ,(30秒は稼げると思ったが……10秒ももたなかったな)。(だが十分だ)。(……これで元の世界に戻れればいいんだけど)
ヒソカ,……なるほど……♦。ま、いいか♠。本当に来て良かった……ハンター試験♡
キャップ,ブハアッ。この辺が人間の限界ということか……。ん？こんなところに洞窟が……。さて……と。プレートはもうあるし……あとは待つだけか。ヒソカはお目当てのトンパのプレートを手に入れた。これでもう誰も襲わない……といいんだけど。！？
キルア,もんのすごい潜ってたけど息大丈夫か？
キャップ,ああ、キルアか……さすがに30分が限界みたいだ
キルア,……超人血清ってやつか
キャップ,……聞いてたのか
キルア,まあな。てか、オレ少しでも物音すると気付いちゃうし
キャップ,それはすまない
キルア,いいよ別に、オレもうここで寝てるだけだしさ
キャップ,あまり闇雲にとるのは……
キルア,弱い奴が悪いんだっての。それにゴンのやつが集めてこなかったら困るだろ？レオリオのおっさんなんかいかにもだし
キャップ,プレートの持ち主は殺したのか？
キルア,してないよ
キャップ,……
キルア,……
キャップ,聞きたいか？
キルア,ああ。まあうちの親父には叶わないと思うけどさ。職業柄聞いておきたいんだよ
キャップ,だがダメだ
キルア,はあ？なにそれ。あんたさっきトンパとかいうザコ助けたろ
キャップ,だが彼は誰も殺していない
キルア,……
キャップ,キルアはなんのためだい？。楽しむのが目的なのか？
キルア,当たり前だろ……
キャップ,ならゴンは？
キルア,……
キャップ,ゴンやあの二人といるときの君は楽しそうに見えたんだが。あれは君の目的ではないのか？
キルア,そんなの……あんななまっちょろいの……
キャップ,君がクラピカとは違った意味で凄絶な環境にいたことは察している
キルア,……
キャップ,でも君はまだ子供なんだ。もし楽しみたいなら、ゴンと行け
キルア,……あんたになにがわかる
キャップ,すまない、複雑な言い方だったな。こう聞くべきだった。人殺しと、ゴンと、どっちが好きだい？。……ただ、前者の場合。僕は、人殺しよりも、なによりも、自分の正義を信じるから
キルア,……ハッ
キャップ,まあその前に元の世界に帰っちゃうかもしれないけどね
キルア,……ふん……。……
キャップ,君は……この間久しぶりに再会した僕の友達とよく似ているよ。とても悲しい形の再会だったけど……。彼は強くて、あの頃彼が欲しかったはずの力をもう手に入れてて
キルア,……
キャップ,僕は帰らなきゃいけない。彼を救わなければ
キルア,……寝る。疲れた。長話苦手なんだよ
キャップ,ああ、誰か来ないか見張っておくよ
キルア,……
キャップ,君が仲間を襲う性格には見えないからさ
キルア,……甘ったるいこと言ってんじゃねーっつの。おっさんの仲間なんかいらねーよ
キャップ,これで98歳だからね
キルア,……ふ。……
キャップ,……。(試験は無事合格した。キルアがかき集めたプレートだが結局杞憂に終わり、プレートを手にできなかったポックルという青年の手に渡り、彼も漁夫の利を拾う形で合格した)
キルア,結局レオリオは自力でどうにかしたわけか
レオリオ,なんつー言い草だよ！ったく……にしてもキルアも熱いやつだよな。俺たちにために……泣けるぜ
キルア,きめーよ、おっさんその1
レオリオ,なんでオレがその1なんだよ！？スティーブのがおっさんだろうが！せめてその2にしろ！
クラピカ,やめろレオリオ、おっさん枠の争いは醜いぞ
キルア,ははは、おっさん、おっさんー
ゴン,キルアもやめときなよー、褒められたからって照れすぎだって
キルア,照れてねーっつの！お前こそ顔真っ赤のボコボコじゃねーか！
ゴン,蛇に噛まれた……
クラピカ,しかしゴンの機転で我々も窮地を脱することができた。まさかあの場で火を起こして焼いた土をばらまくとは……
ゴン,やりすぎて森ちょっと燃えちゃったけどね
キャップ,何はともあれ全員最終試験まで到達したんだ。もう一踏ん張りだ
キルア,……へっ。……おっさん
キャップ,？なんだい
キルア,あの……話があるんだけど
キャップ,……いいだろう
ハンゾー,おう、やっぱり残ったのはあんたらだったか
キャップ,スシのときのニンジャか。君も相当の実力者だとは思っていたが
ハンゾー,十人ともなるとスッカスカだなー。次が最終試験だぜ
キャップ,ああ。しかし……残った面子は見事に両極に分かれたものだ
ヒソカ,……♦
ギタラクル,……
キャップ,(中途半端な者はいない。悪人か善人か……最終的に残るのは白か黒)。(この世界における一番のグレーは僕かもしれないな)
ハンゾー,ところで最終試験の内容ってなんだろうな。ここまで結構いろいろやってきたけど
ボドロ,だがまだ試されていないことがある……それは
キャップ,(それはない……んじゃないか？)
ゴン・レオリオ,終わった
キルア,……
ネテロ,十人中七人がルーキーか。豊作豊作♪。全員注目しとる新人はおるかの？
メンチ,あたしは294番(ハンゾー)と371番(スティーブ・ロジャース)ですかねー。スシを知ってたし、体術も能力値も高い。オーラは扱えないみたいだけど
ブハラ,面食い…さすがグルメハンター……いでででで！ゴメンゴメン。おっオレは44番(ヒソカ)かなあ。あいつ去年も参加してたけど相変わらず……
サトツ,私は99番(キルア)ですね。彼の純粋培養された技術と殺気は目を見張るものがあります
ネテロ,なるほど、ゾルディック家の三兄かの。あれは伸びしろがあるわい
リッポー,わたしは……405番(ゴン)と371番(キャップ)ですね
ネテロ,ふむ。ゴン＝フリークス。ジンの息子じゃの。371番のスティーブ・ロジャースに関しては情報がないがの
リッポー,あの二人には共通するものを感じますね。それを持っている人間は必ず伸びます。というより周辺の人物に強い影響を与えます。クライムハンターの私から見ると精神的に危うい受験生もちらほら見受けられますが。彼らにハンターとしての成長を促すのが、スティーブとゴンの二人かと
ネテロ,ふむふむ、クライムハンターらしい分析じゃ。……(スティーブ・ロジャース。経歴不詳、戸籍登録なし、来歴一切不明……)。……(あと)
メンチ,371番さー、あれ絶対彼女いない歴＝年齢だよ。みればわかるもん
ネテロ,(……イケメン、か)
キャップ,……ふう
レオリオ,おっオレもうだめだあ……
キルア,おっさん頑張ってー
クラピカ,医者を目指しているのに情けないな……
レオリオ,うるせえ！だいたいなんでオレがキルアとゴンのためにカンニングペーパー作らなきゃならねーんだ！
キルア,ちょっおまっ声でかいって！
ハンゾー,な！？ずるいぞ見せろ！
レオリオ,るせー！ニンジャはマキモノでも読んでろ！
キルア,ゴンもなんとか言えって……おまえ目が死んでるぞ
ゴン,オレもうダメだよ
キャップ,諦めるな、頑張ればなんとかなる
レオリオ,無責任言ってんじゃねーよ！
ボドロ,……終わった
ハンゾー,問題盗んでくる
レオリオ,もう潔く諦めようぜ
ポックル,オレの幸運もここまでか……
クラピカ,知識の範疇ならばいいのだが
キルア,てかさー、マジペーパーテストなわけねーじゃん？
ゴン,ヒソカ、それダウト
ヒソカ,……×
キャップ,やれやれ、僕からのようだな
ネテロ,まあ緊張せんとそこに座りなされ。最終試験の参考に二、三質問させてもらうぞ
キャップ,よろしく、ハンター協会会長のネテロさん
ネテロ,……。えー、まずお主の経歴についてじゃが……
キャップ,(なるほど。僕にはある意味ペーパーテストであるわけだ)
ネテロ,お主が何者でどこから来たのか、それに関して洗いざらい説明してもらうかの……
キャップ,わかりました
ネテロ,(物怖じせんガキじゃのー)。ふむふむ……なるほど。こことは異なる次元からやってきたと……そういうことかの
キャップ,お分りいただけたなら光栄です
ネテロ,では早速本題に入ろうかの。今残っている受験生の中で特に戦いたいものはいるかの？
キャップ,……いない。戦いは趣味ではないから。逆に言えば誰であれ必要とあらば戦う
ネテロ,なるほどの。では戦いたくない者はいるかの？
キャップ,複数人になってしまうが……99番と403番、404番、そして405番。彼らとは戦いたくない
ネテロ,了解した。ではもう下がって良いぞ
キャップ,では
ネテロ,……あと、これはわし個人の質問じゃが
キャップ,？
ネテロ,“ヒーロー”とはなんじゃ？
キャップ,隣人の善良を信じ、隣人の悪を知る者です
ネテロ,……動じないのう。異世界……。来襲者。異能の力。結束する異なる力。腐敗した組織の崩壊……。ほっほっほ、なるほどのう。確かに面白いガキじゃて。お主らを脅かす者が出てきたかもしれんぞ？
キャップ,(……やはりだ)。(彼らは知っているんだ……次元をも超えうる力を)。(インフィニティ・ストーンにも匹敵するパワーの在り処を……！)。(……調べる必要があるな。そして必要ならば……僕もそれを手に入れる)。(……ヒドラ。バッキー。……ペギー。決着はまだついていない)
レオリオ,なあ、スティーブ
キャップ,なんだい？
レオリオ,あんた人の話聞くのうまいんだってな？なんならついでに俺の話も聞いてくかい
キャップ,……ああ、ぜひ。君はたしか医者になるんだったな……
レオリオ,へへ。オレの友達にピエトロってやつがいてさ……
キャップ,(レオリオの医師への動機を聞いた。彼の話を聞くことで、彼のうちに芽吹いているヒーローの素質に気がついた。彼は確かに善良な人物だが、それだけではなかった。得られぬ理想を求めてあがき、ついには最終試験まで上り詰めた……それができるならば十分だ)。(彼はきっと優秀な医者になる。彼の目を見ているとトニーを思い出す。トニーのような天才性と危うさはないが、根本に流れる情熱は相通じるものがある……)。(トニー・スターク。彼は今どうしているだろう。また新作スーツの開発に凝っているのだろうか。ペッパーとはうまくやっているのかな。偽悪的で皮肉屋だが根はどこまでも純粋な彼に、もう一度会いたいと思った)。……最終試験か。トーナメント制か……それはともかく合格者が一人とは
レオリオ,ここまで一緒だったけどとうとうみんな敵か……
クラピカ,……果たしてそうなのかな？
ハンゾー,おい、筆記じゃねえじゃねーか！
ボドロ,はて、なんの話じゃ？
ネテロ,あー、勘違いしとるようじゃが、諸君らは一勝すれば良い。勝ったものが順に上がり、負けたものは試合を重ねるシステムじゃ。勝ち上がり制というわけじゃな。ルールは簡単、相手に負けを認めさせたら勝ち！。武器はOK、反則ナシ！相手を死に至らしめたら失格。一人不合格が出れば全員が合格じゃ
キャップ,不合格者は一人、か
立ち合い人,371番、405番、前へ！
キャップ,……君とは戦いたくないと言ったんだがな
ゴン,オレはスティーブさんと戦いたかったよ！プレートのときも戦えなかったし
キャップ,……仕方ない。ゴン、ある程度手加減するから本気で来ていい
ゴン,……手加減なんかいらない！
立ち合い人,第一試合……はじめ！！
キャップ,大したものだ
ゴン,！！……ばれてた
キャップ,もちろん。年季が違うさ
ゴン,ふんっ！くっ！ふっ！はぁああっ！！
キャップ,ふんっ！
ゴン,はあああああ！！
キャップ,どうだい？坊や
ゴン,……
キャップ,！。……ぐっ！
ゴン,うわあっ！？。……ぐぐぐ……
キャップ,そろそろ降参か？
ゴン,……いや
キャップ,！(奪ったときに結んでおいたのか！それを足に結ぶ動作を隠すためにわざと釣竿を手放した！)。(このままだとゴンに当たる……)。ぐっ
ゴン,やぁああっ！。もう一度手放したらまたお見舞いする！盾のヨーヨーだ……！
キャップ,……
ゴン,えっ！？。いってーー！！
キャップ,……ゴン、出身は？
ゴン,く、くじら島……
キャップ,……ふっ。ゴン、僕のま……
ゴン,負けた！
キャップ,！
ゴン,……スティーブさん、やっぱ強いや。今のオレじゃ敵わない
キャップ,……ああ、またやろう。(まさかあんな使い方をされるとは……)。(君はもう立派なハンターだ)。……しかし勝ってしまったな
レオリオ,ゴンのやつ……
クラピカ,泣いているのか？レオリオ
キャップ,(ゴンはその後、ハンゾーと戦い、彼に敗北をみとめさせた。彼の根気には凄まじいものがあるが、やはり僕が負けておくべきだった。子供が痛めつけられる様を見ていい気はしない……)。(とはいえ彼は矜持を示した。やはり只者ではない。少しだけ彼の父親がどんな人物か知りたくなった)。(その後、クラピカはポックルに勝利して合格した。キルアとレオリオは相対したがレオリオの不戦勝で終わり、キルアはそのまま上へと勝ち進んだ。我々の中で試験を残すのは彼一人となった。そしてキルアは……あのギタラクルという不気味な男と対峙した)。ギタラクルという針人間とヒソカはヒソカの不戦勝か。腑に落ちないな
