本SS中では,ドイツ人にとって耳掃除とは医療行為であり、病院で医者にしてもらう事という認識
提督,あ、あぁ……そうだった、まだ途中なんだった……頼む……。うおっ……
ビスマルク,これがこっち側の最後の大物ね……
提督,音が凄いな……
ビスマルク,かなり奥まで入っているものね……何があっても絶対に動いちゃ駄目よ
提督,あ、あぁ……
ビスマルク,耳の奥の……広がったところの裏側に貼り付いてる……取り辛いったらないわ
提督,剥がれない……。引っかかっても耳かきが滑って行ってしまう……そんなに硬いのか……。耳垢の周りを、少しずつ削って行ってるのか……？。大きい……耳垢の全周をなぞるように掻いてるからよく分かる……これは、大物だ……
ビスマルク,……ここを……剥がしたら……
提督,……！！
ビスマルク,やっと一部分だけ剥がれたわ……後はここから……
提督,剥がれる……剥がれて行く感じが、分かる……分厚いのが、耳の壁から、剥がれて行くっ……！。と……れた……
ビスマルク,後はこれを引き抜けば……
提督,耳の奥から……段々上がって来る……。おぉっ……！。またさっきの……いや、さっきよりずっと強い、じんじんする感じ……気持ち良い……。今ので、一気にすっきりした……
ビスマルク,うわ……凄いの貯めてたわね……
提督,そんなにだったのか？
ビスマルク,見る？
提督,どれどれ……うわぁ、これは……こんなのが入ってたのか……
ビスマルク,こんなの二度と御免よ。今度から溜め過ぎる前に言いなさいよね
提督,……またやってくれるって事？
ビスマルク,…………
提督,うわ……ふ、不意打ち……。っ……！
ビスマルク,ほら、これでお終いよ
提督,あぁ、ありがとう……。おぉ……！耳の中の変な音もしなくなった！
ビスマルク,そう、良かったわね
提督,ところでさっきの話だけど
ビスマルク,……そうね、考えてあげても良いわ
提督,やったぜ
ビスマルク,でも！こんな面倒なの二度とやりたくないからここまでになったら次は耳鼻科に行きなさいよね！
択捉,海防艦択捉、着任しました！
赤城,着任を認めます。私は提督代理の空母赤城です。提督に代わって、よろしくお願いしますね
択捉,代理……提督はいらっしゃらないのですか？
赤城,提督は現在休暇中でして……私はその間の鎮守府を任されているんです
提督,やっと着いたか……空路が使えないから余計に時間かかったな……
ビスマルク,Admiral？
提督,良いだろう独り言くらい。あー……Ichmöchte,dassSiemirerlauben,mitmirselbstzureden.
ビスマルク,gut！よろしい！
提督,日本語禁止ドイツ旅行か……ドイツに行ったらドイツ語で喋るなんて言うんじゃなかった……。……BittesagenSiemirsoschnellwiemöglichdendeutschenReiseführer.……じゃあ早速観光案内してくれ
ビスマルク,Überlassdasmir！LassunsdiebesteReisemachen！任せなさい！最高の旅行にしてあげるわ！
提督,……まぁ、良いか
扶桑,耳かきを致しましょう
足柄,耳かきしてあげる！
名取,み、耳かきを、します！
天龍,フフフ……耳かきしてやろう
古鷹,耳かきしましょうか？
比叡,気合い！入れて！耳かきします！
雲龍,耳かきしてあげる
間宮,耳かき始めました
天龍,耳かきしてやる
伊勢,耳かきしてあげよっか？
千歳,耳かきはいかが？
ポーラ,耳かきしましょうか～？
