原田美世,おっはよークラリスちゃん！
美世,うん。ウチの一家、みんなドライブが好きで、子供の頃は早い時間から車でどこかに行く事が多かったんだ。朝の高速に乗って、これからどんなところに行くんだろう、どんな楽しい事があるんだろうってすっごくワクワクしてた。だから今でもこうやって高速に乗るとワクワクしてくるんだよね
クラリス,なるほど……温かいご家族との善き思い出があるのですね
美世,クラリスちゃんはそういうのって無い？例えば遠足のバスに乗ってて、それが高速道路に乗る時とかワクワクしなかった？
クラリス,私はあまり記憶にはありませんが……同じような事をプロダクションのレッスンルームから感じますね
美世,レッスンルームから？
クラリス,はい。プロデューサー様にアイドルとして見出して頂いて、最初に美世さんと顔を合わせたのがレッスンルームでしたから
美世,あーそう言われると確かに！
クラリス,今でもたまに思い出しますね……
トレーナー,こちら、一昨日に新しく、君たちの部署のプロデューサーがスカウトしてきたクラリス君だ
クラリス,はい。クラリスと申します。よろしくお願い致します
トレーナー,うむ。それでこちらが、5日前に同じくスカウトしてきた原田美世君だ
美世,あ、はいっ、原田美世っていいます。よろしくお願いします！
トレーナー,うむ。さて、プロデューサーからは２人をデュオユニットとして売り出す話を受けている
美世,え、そうなんですか。初耳です
トレーナー,なんだ、まだ言ってなかったのかプロデューサーは。……まぁ私の口から言ってしまっても別に平気だろう、多分。ユニット名はオート・モナカだったかな？毎回君たちのプロデューサーはまっすぐな名前をユニットに付けるからな、単純明快でいい
美世,ユニット名までもう決まってるんだ……
クラリス,それまで言ってしまってよろしいのでしょうか……
トレーナー,なに、それくらいで怒るような器量の小さい男ではないだろう、プロデューサーも。それで、だ。既に2人の基礎的な部分は見せてもらっている。なので、本日のレッスンはお互いがお互いを知る、という自主レッスンにしたいと思う。特にデュオユニットであれば足並みが揃わなければ良いユニットになれないからな。美世君とクラリス君のプロフィールや基礎のチェック項目は置いておこう。親睦を深めてくれ
美世,あ、はい
クラリス,承りました
トレーナー,うむ。ではその方向で頼む
美世,……トレーナーさん、行っちゃった
クラリス,……ですね
美世,えーっと、それじゃあ……クラリス……さん？
クラリス,お好きなように呼んで頂いて結構ですよ
美世,あ、ありがとうございます。あたしの事も何とでも呼んでくれて大丈夫ですからね！
クラリス,はい。それでは……原田さん……ではよそよそしいでしょうから、美世さん
美世,はい、分かりました！それで、クラリスさんはおいくつなんですか？あ、ちなみにあたしは20歳です
クラリス,私も同じく20歳ですよ
美世,え！？同い年！？
クラリス,……そんなに驚かれるような事でしたか？
美世,あ、いや、なんというか、すごく落ち着いてて綺麗な人だったので……絶対あたしよりも年上だろうなって思ってました
クラリス,そうでしょうか？あまりそう言われた事はないのですが……
美世,うーん、雰囲気が神秘的というか清廉だからじゃないですかね、多分。ちなみにスカウトされる前って何をされてましたか？
クラリス,シスターとして主に仕えておりました
美世,え！？シスターってあの教会にいる！？
クラリス,はい。神に祈りを捧げ、迷える人々を正しく清らかな道へ案内できるよう神父様のお手伝いをしておりました
美世,あー……だからすごく大人っぽく見えるのかな……。でもシスターさんがよくアイドルのスカウトに応じましたね
クラリス,これも主のお導きです。……お恥ずかしい話なのですが、我が教会も厳しい財政状況に置かれていまして……。アイドルとして多くの方を救い、癒す。それが教会の存続にも繋がり、多くの迷える人々の救いとなるのです
美世,わー……すごいなぁクラリスさん……
クラリス,いえ、私などまだまだ未熟な人間です。美世さんはどういった理由でアイドルに？
美世,え、えーと、クラリスさんの後で話すのはちょっとアレなんだけど……あたし、昔から車とかバイクが好きでして。車の整備士やってるところをプロデューサーさんにスカウトされたんですね。それで、ゆくゆくは車に関われるお仕事が出来るなら、アイドルもいいなって……そんな動機……ですね。クラリスさんみたいな立派な気持ちじゃないからちょっと恥ずかしいな……
クラリス,いえ、そんな事はありませんよ
美世,え？
クラリス,人々の何かを目指そうとする気持ちやその動機に貴賤はありません。それらは一人一人にしかない特別で尊いものです。ですから、それらを比べて気を病む必要などまったくないのです。山上の垂訓においても、神は、善なる者にも、悪なる者にも、変わることなく、太陽の恵みを与えてくださるとあります。主は変わらぬ愛を誰にでも与え給うでしょう。それに貴賤は関係ありません。同じように、誰がどういった理由で何を目指すのかという事に上も下もありません。それより、美世さんが自分の意志で目指すものへ向かう事が何よりも尊い行いなのです
美世,……おお
クラリス,……美世さん？
美世,すごい！クラリスさん、なんだかカッコイイ！
クラリス,は、はぁ
美世,正直ね、こんな軽い気持ちでアイドル目指していいのかなって迷う部分もあったんだ。でもクラリスさんに言われて吹っ切れたよ！あたし、やりたいようにアイドルやる！
クラリス,……美世さんの悩みが解決したのであれば、それに勝る幸せはありません。貴方の行く先に多くの幸があらん事を……アーメン
美世,クラリスさんもだよ！
クラリス,え？
美世,これから一緒のユニットで一緒に頑張るんだから、あたしとクラリスさんの行く先にたくさんの幸せがありますようにって祈らなきゃね！
クラリス,美世さん……
美世,あ、あれ……違ったかな……？
クラリス,いいえ、そんな事はありません。美世さんの言う通りです。私たち2人の行く先に多くの幸があらん事を……そして素晴らしき仲間を得られた事を主に感謝致します……アーメン
美世,よーし、これから頑張っていこうね、クラリスさん！
クラリス,……はい！
美世,思えばあれから半年以上経つのかぁ……なんだか懐かしいな
クラリス,ふふ、そうですね
美世,本当にあの時のクラリスちゃんの言葉には救われたなー。心の重しを豪快に吹き飛ばしてもらったって感じがする
クラリス,私としては少しお説教くさくなってしまったのではないかと思いましたが……美世さんが救われたのであれば良かったです
美世,そんな事ないよー。さっすがシスターさんだ！って尊敬しちゃったよー
クラリス,そう言って頂けると嬉しいですね。ですが、美世さんの言葉にも私は救われたと思っていますよ
美世,え、あたし何か変わった事言ったっけ？
クラリス,いいえ、美世さんにとっては普通の事……ですよ。そういう貴方だからこそ、私は挫けそうな時も頑張る事が出来たのです
美世,そうなの？よく分からないけど、クラリスちゃんが救われたならそれでいっか！
クラリス,はい。美世さんはそのままでいいと思います
美世,それにしても……最初はクラリスちゃんの事をさん付けで呼んでたんだっけね、あたし
クラリス,ええ。それに丁寧な言葉遣いでしたね
美世,いやーなんか今思い出してみるとちょっと照れくさいなぁ……あはは
クラリス,ふふ、ですがすぐに今の砕けた口調になったじゃないですか
美世,うん、やっぱり話してるうちに自然とね？やっぱり同年代の女の子なんだなって思ったし
クラリス,私としてはやはりそちらの方が美世さんらしくてとてもいいと思いますよ。あまり丁寧な言葉でいると距離を置かれているような気もしますから
美世,えー、それを言ったらクラリスちゃんなんかずっと丁寧語だよー？あたしと距離を置いてるの～？
クラリス,私のこれは性分ですので
美世,もー、その返事はずるいなー
クラリス,うふふ、申し訳ありません
美世,それにしても最近は本当に忙しかったね
クラリス,そうですね……私たちの初めてのライブもありましたし、それに向けたレッスンに営業と……充実した日々でしたね
美世,ね～。休みもあんまり取れなかったけどすごい充実してたね
クラリス,こうして美世さんと同じ日に休みが取れるという事もありませんでしたね
美世,大体どっちかが休みの時ってどっちかが仕事入ってたもんね。一緒に遊んだ事と言えば……営業終わりにプロデューサーさんと3人で行ったゲームセンターとかかな
クラリス,そんな事もありましたね。私はああいった場所に行くのはそれが初めてでした
美世,クラリスちゃん、すごく珍しいものを見る目をしてたもんね。……でもそんなクラリスちゃんにレースゲームで負けたんだよね……私とプロデューサーさん……
クラリス,いえ、あれは偶然かと思います
美世,でもでも、すごく悔しかったんだよ！あたしもプロデューサーさんも車好きなのにまさかの敗北で……
クラリス,美世さん、なんだかものすごく苦戦していましたね
美世,だってハンドル軽くて全然グリップしてる気しないし、ヒール＆トゥーしても全く意味なかったし、これぶつけたら板金いくらだろ。このスピードだと歴有りは免れないなって思っちゃってゲームなのについスピード緩めちゃうし
クラリス,プロデューサー様も同じような事を仰っていましたね
美世,プロデューサーさんはまずクラッチがない事に違和感マックス、シフトチェンジの時は癖でアクセル離すし……なにより加減速のＧがかからないから頭こんがらがってすごい酔うって言ってたね。あたしもその気持ちは分かるなぁ……実際に運転してる時の癖が出るんだよね。それに本当に酔いやすかった
クラリス,私にはよく分かりませんね……美世さんにおすすめされたようにオートマ？でアクセルを踏みながら走っているだけでした
美世,うん、ゲームだからそれで正しいんだ。だから負けたんだろうなーあたしたち……
クラリス,こう言っては失礼かもしれませんが……お二人の悔しそうな表情を見れてとても楽しく思いました
美世,くそー……次にやる時は絶対負けないからね！
クラリス,私も次の機会を楽しみにしておりますね。……お休みといえば、美世さんはいつも休日はドライブに出かけているんですか？
美世,んー？そうだね、７割方はドライブかツーリングかなー。あとは洗車したり、車かバイクイジったりって感じかな
クラリス,ふふ、ほとんど車かバイクが関係しているんですね
美世,あたしからそれを取ったら何もなくなっちゃうからね！。そういえば、あんまりクラリスちゃんがお休みの日に何してるかって聞いた事なかったね
クラリス,私の休日の過ごし方……ですか？
美世,うん！
クラリス,特に変わった事はしておりませんよ。いつも通り神に祈りを捧げ、聖書を読みます。それから教会へ行ってシスターのお仕事を手伝ったり、ボランティアなどの慈善活動を行う……というような休日です
美世,へー……すっごくクラリスちゃんらしいね！
クラリス,そうでしょうか？
美世,うん！多分みんなが思い浮かべるクラリスちゃんのイメージそのまんまって感じ！。でもレッスンにアイドルのお仕事をしながら、お休みの日までシスターとして頑張っちゃうと大変じゃない？
クラリス,いえいえ、これは私が望んでやっている事ですので。例えになるか分かりませんが……美世さんもお休みの日にまで車の整備をしていて大変じゃないですか、と言われてもそんな事はないと感じるのではないですか？
美世,うん、全然苦じゃないや
クラリス,そういう事ですよ
美世,なるほどね！。勝沼インターに到着！ここで高速を降りて甲府の方に向かうよー
クラリス,もう山梨の中央辺りまで来たんですね
美世,うん。高速使うとホントすぐに着くからね。時間帯によっては鬼のように混んでるんだけど、平日の6時前じゃ大体どこもガラガラだし
クラリス,へぇ……あまり車で遠出をするという経験がないのですが、便利なものなのですね
美世,まぁでもドライブ好きな人の中には早いだけで高速じゃつまらないって人もいるからね。あたしもどっちかといえば下道走る方が好きだし。高速は高速で観光名所みたいになってるＳＡとかもあって、そういう意味では楽しくはあるけど、シフト操作もあんまりしないでアクセルほぼ踏みっぱなしってだけだと運転してる感じしないもん
クラリス,そうなんですか……ドライブにも色々とあるんですね
美世,でもクラリスちゃんと一緒なら高速の運転も楽しいよ！
クラリス,あら、ありがとうございます。私も美世さんと一緒だと楽しいですよ
美世,えへへ～。はい、到着～！
クラリス,随分と坂を上りましたね
美世,ここは露天風呂から甲府盆地を一望できるくらいだからね。天気がいいと富士山も見えるんだ！。駐車場もすごく広い……んだけど、未舗装の砂利道だから車高低い車だとちょっと苦労するかな
クラリス,美世さん、すごくゆっくり走ってましたね、駐車場内
美世,極端なシャコタンにしてるわけじゃないから大丈夫だと思うんだけどね……やっぱり気を遣うよ。ガリってエアロ……えーと、車の下の部分を擦るとすごく負けた気持ちになるし……
クラリス,負けた気持ちに……ですか？
美世,うん。こう、自分の技量的な部分でね？上手くやれば擦らないからさ、擦ったら運転下手くそに思われる！みたいな、誰に対してなのか分からない対抗意識がね、車好きにはあるんだ
クラリス,争いはよくない事ですよ。それに、擦るのが嫌ならば車高を下げなければいいのではないでしょう？
美世,違うんだよクラリスちゃん！車好きにはそういうのを抜きにしてやらなきゃいけない事があるんだ！。これは……言うなれば、女の子がお化粧をするようなもの、アイドルが光り輝くために綺麗な衣装を着るのと同じようなものなの！実用性のないただの見栄かもしれないけど、それでも見た目のカッコよさ、自分が掲げるロマンの為には仕方のない事なんだ！
クラリス,はぁ
美世,最低地上高がどれくらいか、たばこ１箱くらいなのか、指何本入るレベルなのか……突き詰める美学は人それぞれだけど、それぞれに譲れないこだわりがあってね？その為には犠牲にしないといけないものもあって、まずどういった方面を目指して車をイジるのかって話になるんだけど――
クラリス,長くなりそうですね……きっとこれはそれだけ大事なものなんでしょう。私にはあまり理解が及ばない事柄ですが……美世さんが楽しそうなら善き事ですね
美世,はぁ～……やっぱり温泉っていいなぁ……
クラリス,そうですねぇ……生き返る気持ちです……
美世,ごめんね、クラリスちゃん
クラリス,はい？何がですか？
美世,いやほら、さっき駐車場で長々とさ……
クラリス,いえいえ。それだけ美世さんにとって大事な事だったのでしょう
美世,うん……そう言ってくれると助かるけどね……もう11月になるんだし寒かったでしょ？
クラリス,いいえ。楽しそうな美世さんのおかげ心が温かくなりましたよ。肌で感じる寒さはすぐに取り払えますが、心の内の寒さというものはなかなか取り払えるものではありません。そう思えば、返って私は美世さんに温められましたから、素晴らしく善き事だと思いますよ
美世,うう～、クラリスちゃんの優しさが身に染みるよ……ありがとー……
クラリス,はい、どういたしまして
美世,……なんだかレッスン中にもこんなやり取りを何回かした気がするね
クラリス,そうですね……お互い、なかなかレッスンも大変でしたものね
美世,うん……。あたし、車で走るのは慣れてるけど、自分の足で走るってあんまりしなかったからね……体力があんまりなくて……
クラリス,私もですね。歌は聖歌隊で歌っていた事もあって平気でしたけど……ダンスレッスンは特に大変でした
美世,クラリスちゃん、本当に綺麗な声で歌うからすごくびっくりしちゃったよ。初めて一緒にレッスンした時にあれ、あたしクラリスちゃんの足引っ張らないかなって思っちゃった
クラリス,それを言うなら私こそ、美世さんのように感情表現が豊かで笑顔の素敵な方と一緒ではご迷惑になるのでは、と思いましたよ
美世,えー、あたしそんなに素敵な笑顔とかじゃないと思うよ？それに笑顔なんて誰にでも出来るけど、綺麗な歌声はみんなが持ってるものじゃないよ
クラリス,いえいえ、そんな事はありません。歌というのは練習すればするほど上達が見込めるものです。それに比べて、人を惹きつける笑顔や雰囲気というのは天性のもので、その人にしか出来ないものですからね
美世,うーん、そっかぁ。……クラリスちゃんが言うならそうなのかも。でもそうだとしても、クラリスちゃんの歌がすごく素敵だって事は変わらないからね！それにクラリスちゃんの笑顔も優しくてとっても素敵だと思うよ！
クラリス,ありがとうございます、美世さん。そう言って頂けると嬉しいです
美世,うん！……なんだか、いつもこうやってクラリスちゃんに励まして貰ってたね、あたし。何だか貰ってばっかりな気がするよ
クラリス,そうですか？私はいつも美世さんの明るさに引っ張られてばかりでしたよ
美世,そうなの？
クラリス,はい、それはもう。上手くいかない事に悩みや不安を抱えても、いつも美世さんが笑顔で私を引っ張ってくれていました
美世,そっか……良かった。あたしもクラリスちゃんの役に立ててたんだね
クラリス,互いに支え合えるような方とユニットを組めて、私は幸せ者だと常に思っていますよ
美世,うん、あたしもクラリスちゃんとコンビが組めて本当に良かったと思ってるよ！
クラリス,ええ。ありがとうございます、美世さん。……それにしても……ふふ
美世,どうしたの、何かおかしな事でもあった？
クラリス,いえ、美世さんがユニット名の由来を勘違いしていた事を思い出して……
美世,あー、あー……それは……まぁね？。オート・モナカのオートはあたしだなって分かってたんだよ？じゃあモナカってなんだろって考えて……
クラリス,私の好物が最中だと思って差し入れてくれましたね。……ふふふ
美世,も、もーそんなに笑わないでよー！知らなかったんだもん、イタリア語だなんて！
クラリス,プロデューサー様もポカンとしてましたね。美世さんがクラリスちゃんが好きなやつ、お土産に買ってきたよ！って事務所で嬉しそうに仰った時は
美世,あーもーそれは忘れよう！あのあと事務所にいたフレデリカちゃんたちにまでからかわれたんだから！。大体プロデューサーさんもプロデューサーさんだよ！みんなの好きなものとか特徴をユニット名にしてるって言ってたから普通はそうだと思うよ！
クラリス,ふふふ……
美世,もー、クラリスちゃんの意地悪……
クラリス,ああ、ごめんなさい美世さん
美世,……なーんてね。あの勘違いのおかげでクラリスちゃんとももっと仲良くなれたと思うし……忘れたいといえば忘れたいけど、あれもいい思い出だよね
クラリス,……そうですね。思えばユニットを組んでから早かったですね
美世,ね。うちの部署はフレデリカちゃんたちのユニットを一番の売り出しにしてるけど、それでもプロデューサーさん、あたしたちの為に頑張ってくれてたね
クラリス,私たちの初めてのライブ……大成功でしたものね
美世,うーん、あのライブももう１週間前なんだよね……なんだか昨日の事みたいに感じるよ。もうすぐ出番だね……うわー緊張するなぁ……
クラリス,ええ。私も心臓が早鐘を打ってますね
美世,え、でもクラリスちゃん、見た感じいつも通りって感じだけど……
クラリス,そうでしょうか？
美世,うん。なんていうか、いつもの優しそうな笑顔だなーって感じ？
クラリス,自分ではあまり実感がありませんが……美世さんが言うならそうなんでしょうね。それならきっと私はステージでも大丈夫ですね。ふふ、なんだか少し気持ちが楽になりました
美世,えーなんかそれちょっとずるい気がする！あたしはまだすごい緊張してるのに！
クラリス,うーん、私も美世さんの緊張をほぐして差し上げたいのですが……どうすればよろしいのでしょうか。……あ、美世さん
美世,うん？
クラリス,テーブルの上に……最中がありますよ
美世,…………
クラリス,…………
美世,待って、待とうよクラリスちゃん、それは反則だと思うよあたし
クラリス,ごめんなさい……目に付いたらつい言葉に……ふふふ
美世,もー！さっきからクラリスちゃんばっかり笑ってる気がするよ！。あーもうなんだか体が熱くなってきた！なんでも来いやって気持ちになった！半ばやけくそだよ！
クラリス,……ふふ
美世,……くすくす、もーまだ笑ってるし
クラリス,そういう美世さんこそ……うふふ
美世,あはははは！なんか、ライブ前に何やってるんだろうね、あたしたち！
クラリス,でも私たちらしくていいのではないでしょうか
美世,うん、そう思う！よーし、緊張も解けたし、アクセル全開で頑張ろうねっ！
クラリス,はい、共に参りましょう！
美世,うわーうわー！どうしよ、すっごく楽しかった！
クラリス,ええ、本当に、ファンの皆様との一体感……とても素晴らしいものでしたね！
美世,ねー！サイリウムも綺麗だし、曲に合わせて振ってくれるからすごい気分が盛り上がっちゃった！
クラリス,あの高翌揚感……ふふ、なんだか病みつきになってしまいそうですね
美世,ファンのみんなも楽しんでくれたみたいで嬉しいね！
クラリス,皆様のこれからも応援するよという声援は本当に励みになりますね。ファンの方を導くという気持ちでいましたが……救い、導かれていたのは私たちの方だったのかもしれませんね
美世,ううん、きっとどっちもだよ！。あたしたちはファンの人を楽しませて、ファンの人はあたしたちを楽しませてくれたっていう、お互いがお互いを高めあうみたいな感じかな！。そういうのって素敵だと思うな！
クラリス,ええ、きっと美世さんの言う通りですね。このような素晴らしい世界を与えてくれたファンの皆様、裏方のスタッフ様、プロデューサー様……そして美世さんに感謝を捧げます
美世,うん！あたしもみんなに、クラリスちゃんに、ありがとーって気持ちで一杯だよ！。よーし、そしたら今日はプロデューサーさんも加えた３人で打ち上げパーティーだねっ！
クラリス,本日であれば主も大いに食べる事をお許しになるでしょう……楽しみですね！。決して大きいとは言えない会場でしたけど、ファンの皆様が私たちの為に足を運んでくれたというのはとても嬉しいものでしたね……
美世,うん……クラリスちゃんに諭されてから吹っ切れて、あのステージを経験して、本当にアイドルやってみて良かったって思っちゃった。クラリスちゃんと一緒に、もっともっと大きな会場で色んな人を楽しませたいって心から思えるようになったな
クラリス,私も、私の歌声に聞き惚れて頂ける喜びを知ってしまいました。主に身を捧げた者として罪深い事ですね。欲深い事ですが、これからも美世さんと一緒に、たくさんの人を癒し導く存在になりたいと思います
美世,うん！これからも一緒に頑張ろうね！
クラリス,……はい！
美世,あっ……日の出だ
クラリス,……綺麗ですね
美世,……ね
クラリス,…………
美世,…………
クラリス,……美世さんが言った通り、このお風呂の温度は低いかもしれませんね。ですが……素晴らしき友人と夢を語り、こうして美しい朝日を眺められるのであれば……心はとても温かくなりますね
美世,うん……クラリスちゃんの言う通り。心があったまるってすっごく善き事だね。はー、温泉気持ちよかったねー！
クラリス,はい。素晴らしいところへ連れてきて頂き、美世さんには感謝の念が絶えません
美世,もー、それは大げさだよー。さってと、帰りはのんびり下道で帰ろっか！
クラリス,ええ。よろしくお願いします
美世,あ、そうだ。山梨に来たんだし、ついでにほうとうでも食べてから行こうか
クラリス,それは素晴らしい提案ですね。実は私、そろそろお腹が減ってきていて……
美世,あはは、クラリスちゃんは見かけによらず食いしん坊だもんね！
クラリス,食とは神の慈しみなのです。そして体の糧は心の糧です。それに感謝し命をいただくことは大事な儀式なのです
美世,よく分かんないけど分かったよ！
クラリス,全ては神の思し召しです
美世,よーし！それじゃあほうとう屋さんに向かって、しゅっぱーつ！
クラリス,はい！よろしくお願いしますね、美世さん！
デレステの２Ｄライブで美世ちゃんとクラリスさんが手を繋いでいるようにしか見えなくて,あっ、そういう事なんだな。２人はとっても仲良しなんだな
