DOUBLEDECKER!ダグ&キリル,ダブルデッカーダグアンドキリル
クロコ,言わずと知れた藤田和日郎氏の名作だ、連載開始から２０年の時を経てアニメ化となった。懸糸傀儡……いわゆる操り人形での戦いががまずもっての特色だが、人形がパーツごとに空を舞うさまなどは是非アニメで見たいところだ
ハドラー,まあ、確かにな……。藤田氏の漫画は止め絵の迫力もすごいが、バトルの構図もすごい、アニメ映えすることだろう……
バーン,……
クロコ,……？な、何か空気が重いようだが…？
ザボエラ,ひょっひょっ、分からぬか？これだから猪武者というやつは駄目じゃのう
クロコ,むっ、妖魔司教ザボエラ……
ザボエラ,獣王どの、よもや、うしおととらのアニメを忘れたわけではあるまい？
クロコ,む……
ザボエラ,確かにうしとらのアニメも迫力はすごかった、しかしやはり、エピソードカットは辛いものじゃった。ワシの好きな山魚もカットされたしのう、あの正体不明ぶりが好きじゃったのじゃが
ハドラー,それは素直に同情しよう
ザボエラ,しかも今回のアニメ化、うしとらと同じく３クール３６話じゃ、単行本は４３巻も出ておるのにのう。カットがあるということは、終盤の怒涛の伏線回収の面白みも半減ということ、それ以前に、そもそもカット可能な話がいくつあることか……
クロコ,むぐ……。さ、最後までやるとは断言されておるまい、真夜中のサーカスまでで区切りをつけるかも……
ザボエラ,ひょっひょっ、だといいがのう、まあ獣王どのが希望を持つ分には否定はせぬが……
クロコ,うぐ……
ハドラー,ザボエラめ……相変わらず真綿で首を締めるような物言いを
ヒュンケル,待ってもらおうか
クロコ,む、ヒュンケル、か…？
ザボエラ,うぐ、な、なんじゃ横から
ヒュンケル,確かにエピソードカットはあるだろう、それは辛いが。そもそもの話、20年前の長編漫画を、完全な形でアニメ化など、望むほうが無茶というものだ。それよりは、見どころを探すほうが健全というもの
ザボエラ,そ、その見どころとは何じゃ
ヒュンケル,それは、林原めぐみだ
ザボエラ,何じゃとっ！？
ヒュンケル,ヒロインのしろがねは、クールさと熱さが同居しているような、複雑な内面を抱えるキャラクターだ。そして林原めぐみといえば、言わずとしれた大御所、あらゆるキャラを幅広く演じる実力がある。俺のアニメの歴史も、半分ほどは林原めぐみの歴史と言ってもいい、彼女がしろがねを演じる、これを見逃すわけにはいくまい
ハドラー,うむ……なるほどな
ザボエラ,むむ、そ、そんな切り口が……
バーン,ふふ……痛い所を突くものよ。確かに余も林原めぐみとは、ワタル以来……いや、めぞん一刻以来の付き合いか。よかろう…、確かに絶対に見逃せぬアニメ化でもあることだ、視聴するにやぶさかではない。このからくりサーカス、余の視聴リストに加えよう、録画を頼むぞ
クロコ,は、ははーーーっ！。助けられてしまったな、ヒュンケルよ
ヒュンケル,なに、ザボエラにいいように言われるのも癪だっただけよ……
ザボエラ,では、次はワシから推薦いたしましょうぞ
バーン,うむ……ザボエラよ、申してみよ
ザボエラ,はっ、今期は転生したらスライムだった件
バーン,ふむ……
ザボエラ,いわゆるなろう系、異世界転生もの。現代で死亡し、異世界でスライムとなって転生した人物が、あらゆるものを捕食し、能力を吸収するという特性を生かして魔物の国を築く、というような話ですのう。原作版は長大なために一言では語れませぬが、要旨はサクサクと進む冒険活劇。割と基本を押さえたファンタジー描写や、極端になりすぎない無双活劇など、ストレスレスな物語ですぞ
バーン,うむ、しかし、なろう系はもうだいぶ見てきたからな……
ハドラー,少し食傷気味なところもあるが……
ザボエラ,ひょっ、ひょっ、確かにそういう者もおるようですが。個人的に、これは割と本格的なファンタジーの形を残しておりますな。ハーレム要素は抑えめながらも、魔物の村でのアットホームな温かみがある。読者ウケを狙わずに自分の中の世界観を淡々と描写する、というような作者の実直さが感じられますのう
クロコ,うむ……確かに、いわゆるなろう系とはどこか違う。読み終わった後に、何か面白いものを読んだという満足感が残る作品だな
バーン,うむ、確かにな……世間的にもよく売れておることだ、押さえておくべきか……
ハドラー,……うむ。……。小声
バラン,小声
ヒュンケル,小声
クロコ,小声
ミストバーン,小声
ハドラー,いたのかお前
バーン,うむ……では、この転生したらスライムだった件、視聴リストに加えよう、録画を頼むぞ
ザボエラ,ははーーーっ
ハドラー,むう……妖魔司教ザボエラ、抜け目のない男よ……
わ、笑えばいいと思うよ,汗
ハドラー,さて、そうなると残った六大軍団長は、氷炎……
ミスト,……待ってもらおう
ハドラー,なに……まさかお前が…！？
ミスト,バーン様、進言をお許しください……
バーン,ほう…。よかろう、申してみよ
ミスト,今期は、ゴブリンスレイヤー、こちらを進言いたします
バーン,ふむ……
ハドラー,魔影参謀ミストバーン……この沈黙の男が乗り出してくるとは…
ミスト,……これは、ファンタジー世界を舞台に、他のモンスターには目もくれず、ゴブリンを殺すことを専門とする男を描いた物語です。まず申し上げておきたいのは、これはなろう系でも、テンプレでもない、堂々たるハイ・ファンタジーであるということ……。原作者は海外ファンタジーや、古いTRPGなどに影響を受けていることが見て取れ、モンスターや魔法の描写にも古典的な味わいが感じられます。何よりゴブリンという存在を徹底的に掘り下げ、その生態系や対処法を一個の世界観にまで高めている。ファンタジー文学史の中にすら位置づけられそうな、まさに見るべき価値のある作品でしょう
バーン,うむ……なるほどな。しかし……、凄惨な描写や、グロテスクな場面も多いと聞くが…
ミスト,……確かに。これは断っておかねばなりませぬが、性暴力の描写が多い……。それを悪趣味と片付けるのは簡単ですが、かつてはファンタジーとグロは不可分であったもの。この時代、決して褒められる点ではありませぬが…。それもまた古い時代のファンタジーの血脈、と思っていただきたく……
クロコ,むう……あの沈黙の男が、いたく入れ込んだものだ……
ハドラー,しかし……ミストバーンよ、なぜあえてこの作品を…？
ミスト,……それは、人間の強さ
ハドラー,む…？
ミスト,勇者だの、英雄だのと祭り上げられ、我ら魔王軍に挑んでくるものは多い。しかし、本当に恐れるべきは、このゴブリンスレイヤーのような男だ。目的のために何をなすべきかを日々考え、それを冷静に実行できる……。この世界で何をなすべきか、確たる信念として持っている……。そのような強さこそが真に恐れるべき人間の強さであり、憧れるべきものだ……
ハドラー,？よ、よく分からぬが、まあお前の思い入れは伝わった……
バーン,フ……よく分かった、ミストバーンよ。お前がそれほどまでに推す作品だ、余の視聴リストに加えようぞ
ミスト,はっ……畏まりました
バーン,円盤だと規制が取れるであろうし、オンエア版で見るほうが安心だからな……
ハドラー,……そ、そうですな
バーン,……というより、ハドラーよ、お前が見てから余が見ることにしよう…
ハドラー,そ、そのようにしましょう
バーン,では次が最後だ
ハドラー,はっ……では今期は、やがて君になる
バーン,うむ……
ハドラ－,ジャンルとしては百合もの
ハドラー,清楚で優秀ながらも積極的な一面もある先輩と、まだ恋愛というものを解さないながらも、先輩に真摯に向き合おうとする主人公との恋愛劇を描いております。百合ものもいくらか見てまいりましたが、これは生々しさは抑えめで、どことなく文学的な香りもする好ましい作風ですな。恋愛というものに真剣に向き合い、知的なモノローグが展開される様子……。原作を読んでいて、かの名作彼氏彼女の事情
バーン,ほう……
ハドラー,また、原作はコマ割りや構図などで、微妙な時間の流れというものをうまく表現しております。息をのむ気配すらも感じられるような、彼我の間合い、アニメならばそれをより感じられることでしょう
バーン,うむ……この作品、ヴェルザーもよく話しておる
ハドラー,左様でしたか
バーン,あやつは興奮のあまり、窓からイオラを撃ちながら読んだとか
ハドラー,……そ、そうですか
バーン,……。百合もの、か。……ハドラーよ、そういえばお前は城内の即売会であかちなは禁止、ちなあかのみ。どんなカップリングでも描かれる権利はあるのだ…
ハドラー,うぐ……。そ、それは、どうしても存在が耐えられず……
バーン,……ハドラーよ、余は寛大な男だ、失敗も二度までは許そう……
ハドラー,はっ……
バーン,まずお前は……。ヴァルキリードライブを百合アニメだと言って勧めてきた…。余の基準ではあれはもはやセクシー系のアニメなのだ
ハドラー,うう、さ、匙加減が難しく……
バーン,それとお前は、百合なシーンが出た時、キマシタワーと小声でつぶやくのを何度言ってもやめぬ……。義務的に言われるとすごく腹立たしい……
ハドラー,も、もはや癖になっておりまして……
バーン,そして即売会の一件……
ハドラー,ううっ……
バーン,……だがピッ
ハドラー,うっ！
バーン,紅殻のパンドラを百合アニメだと見抜いた功績を余は忘れておらぬ……。よいか、これが最後だハドラーよ、このやがて君になる
ハドラー,はっ……ははーーーっ！間違いありませぬ！やがて君になるは名作間違いなし、そして百合アニメのブーム再来でございます！
バーン,そうか、間違いあるまいな、ではフリップフラッパーズの二期も……
ハドラー,間違いなく二期があります！ついでにユリ熊嵐とcitrusも続編決定でございます！
バラン,ところでフレイザードはどうした？
ヒュンケル,フランスに行ってくるとか言ってた
バラン,ラディアンにハマったか……
ヒュンケル,それと手紙を預かってる。ゴブリンスレイヤーの作者はよく分かってるゼ、エルフは貧乳じゃなくっちゃなア！
バラン,……そういえば昔はそうだったな
