レスキネン,マホ、こんなに遅くまで随分と熱心だね
真帆,いえ、その……私の方こそ思慮が足りませんでした。…………
レス,Oh……ヘーコンでしまったのかな？
真帆,へこ……だから、どこでそういう言い回しを
レス,そうだね。誤解の無いように言っておくけどね、私にとっても昨日の件は想定外だったよ。当然だけど、まだ何の仮説もありはしない
真帆,……教授にも分かりませんか
レス,それはそうだろう。我々が扱っているのは、そういう類の分野なのだからね。今のマホに分からないのであれば、それはつまり、この世界の誰一人として解を得ることはできない、と。これは、そういうお話なのだろうね
真帆,大げさすぎますよ
レス,そうかな？でもどうだい、不思議でとても面白いだろ？
真帆,おも……しろい……
レス,これだから、科学者というものはやめられないね
真帆,そう、ですね。そう……。そう、面白い……か。ううん、どちらかと言えば興味深いという解釈が正しいのかも。ふぅ。アマデウスを起動させるために、初めて記憶データの抽出を行ったのが去年の３月。そして今日までの１０ヶ月の間に、アマデウス・プログラムの二度に渡るバージョンアップと並行して、私のアマデウスも二回、記憶データの更新を行ってきた。そして、次回のバージョンアップに向けて、新たに記憶データの抽出を行ったのが、昨日のこと。つまり……。私の記憶は、インターバルにばらつきこそあるものの、それでもこれまでに計四回のデータ化を行ってきた事になる。その中で、どうして昨日抽出した記憶データの容量だけが、あれほど大規模な肥大化を見せたのか？。…………。何も、データ容量の増加という現象自体が異常だと言うわけではない。現にこれまでだって、抽出した記憶データが数百キロバイト～数メガバイト単位で増加するような現象は確認されている。でもそれは、あくまでも想定された範囲内での増加だったと言えるのよね。一人の人間が数ヶ月という単位の時間を過ごしたならば、まあ有ってもおかしくはないだろうと思える程度の増加量だったと捉えるべきものでしかなかった。だから私と紅莉栖は、これまでの増加データ量の推移から推し量り……。個人差や環境の違いこそあれど、それでも人一人が一月の間に増やす記憶データは、大体３００～４００キロバイト程度なのではないかという推測も立ててもいた。……それなのに。昨日私から抽出した記憶データは、前回のときに比べて１０７メガバイトもの増加量が確認さえた。これまでよりも期間が空いていたとはいえ、それでもざっと六ヶ月程度。六ヶ月。たった六ヶ月の間に１０７メガバイトよ？。想定されていた量の、実に２５０倍以上。とてもではないけど、これは余りにも毛色が違いすぎると言わざるを得ない
レス,……マホ？
真帆,理論上定義した３．２４テラバイトという、人間一人分の記憶容量からすれば、１００メガ程度の数字なんて誤差のようなものなのでしょうけど……。それでも。どういう分けか、この一件が私には気にかかって仕方がない。なぜこれほど気になるのか、正直自分でも判然としていないのが困り物なのだけれどね
レス,マーホー
真帆,何だかんだで、アマデウスのバージョンアップ作業にストップをかけて、肥大していた記憶データを精査する猶予こそ貰いはしたのだけれど……。結局一晩中、抽出実行中のログを見漁ってみても、目に見える範囲に問題のあるプロセスは発見できなかった。発見できないのなら、とりあえず記憶データの抽出プログラム自体は、問題なく以前までの三回とまったく同じプロセスを遂行したのだと考えるべきなのよね。けど、それじゃあ原因は何？どこに注視すれば、取っ掛かりを見つけることができるのかしら？
レス,マーホーさーん
真帆,仮に記憶の抽出およびデータ化自体が正常に行われているのだと仮定した場合、次に考えるべきは……。……私自身の記憶？
レス,やはり、シ・カ・トなのかい？
真帆,うおひあっ！？あ、あ……ああ！？
レス,マホッ！？
真帆,いつつ……
レス,マホ、大丈夫かい？イスごと派手に転がったようだけど
真帆,え、ええ、大事はありません。お騒がせしまして
レス,そうかい？まあ、怪我がなくてなによりだよ。私ももう少し早く手を伸ばせたらよかったのだけど、すまなかったね
真帆,い、いえそんな
レス,さあ、手を貸そう
真帆,あ、どうも。自分の記憶…………何てまさかね。いくら何でも突拍子の
レス,それで、マホの記憶がどうかしたのかい？
真帆,へっ！？
レス,マホがダイブする直前に、そんな言葉を口にしていたように聞こえたのだけどね？
真帆,あ……あー。そういえば、つい声に出してたような気も
レス,どうしたんだい、マホ？
真帆,いえ、何と言えばいいか……。つまり、容量の肥大化はプログラムやプロセスの問題じゃなくて、ひょっとしたら私の記憶にこそ問題が……って、私なに言ってるんだろ。すいません教授、今のは忘れてもらえると助かります
レス,そうなのかい？私は面白そうな考え方だと感じたのだけれどね
真帆,え……いやいやいや、流石にそれは
レス,……ふむ。しかし、マホの記憶自体に異常、か。なるほど、私にその発想はなかったよ
真帆,いや、あはは。言ってみただけなので……忘れてくださいってば、後生ですから
レス,いいじゃないか。この半年の間に、マホの記憶には実に１００メガバイト以上の記憶容量が追加されていた。抽出システムはそれを忠実にデータ化しただけ、と
真帆,だ、だからですね、有り得ませんから
レス,いや実にファンタスティック！嫌いではないよ
真帆,ぐむむ
レス,きっとマホは、自分でも知らない間に数多くの冒険をしてきたのだろうね
真帆,何の話ですか、もう
レス,それはさながら、不思議の国のアリスのような体験だったのかい？夢のような世界の中で、時には空を飛び、時に時間をも飛び越えるマホ。Yaaa！
真帆,しつこいですよ、レスキネン教授。そんなのだから、皆にも子供っぽいってからかわれるんです
レス,Oh、これは手厳しいね。でも、とても楽しそうじゃないか、ワクワクするねロマンだね
真帆,夢物語を追いかけすぎです。科学者としてその姿勢はどうかと思います
レス,でもね。言いだしっぺはマホだということを忘れてはいけないよ
真帆,でーすーかーらー！
レス,Hahahahaha！
真帆,もー！
レス,それでだよ。マホはどうしたいのかな？
真帆,は？
レス,容量増加の件。このままもうしばらく、検証を続けてみるつもりはあるのかな？
真帆,え、ああ……。また急に話題を。………。……。…
レス,どうだい？
真帆,ふぅ、そうですね
レス,…………
真帆,うん。もう……いいかなと思います
レス,もういい？
真帆,あ、すいません。表現が曖昧すぎましたね。ええと、要するにです。今回の件は、ここで終わりにしますという意味です
レス,……ふむ、検証は断念すると。それで良いのかい？
真帆,はい。もともと、どうしてこんなに拘ってたのかもよく分かりませんし、これ以上続けても本来の研究の妨げにしかならないでしょうから
レス,もしかしたら、検証の先で思いもかけない事象に辿り着けるのかもしれないよ？
真帆,ですから、そんな事は有り得ませんってば。それよりも今は、このデータをアマデウスにコンバートして、これまで通りの比較検証に戻るほうが有意義なはずです
レス,私としては、少し残念な気もするのだけれどもね
真帆,夢を見るのなら寝ているときに限りますよ、教授
レス,言われてしまったね。それではマホ、こういうのはどうだろう？
真帆,今度は何ですか？
レス,通常、アマデウス・プログラムにコンバートし終えた記憶データは、抽出用の外部ハードディスク内から削除するようにしている
真帆,そうですね。でもそれが何か？
レス,Hun、つまりだね。今回は特別に、外部ハードディスク内にマホの記憶データを残しておくというのはどうだろう、という提案を私はしてみようと思う
真帆,……はあ
レス,そうすれば、今後も時間のあるときに、自由に原因を検証することもできるだろう。どうかな？
真帆,私は別に構いませんけど……でもどうしてそこまで？
レス,理由なんて、決まっているだろう。ワクワクする状況を切り捨ててしまうのが、何だか勿体無い気がしてしまうからだよ
真帆,勿体無いって、また日本語独得の言い回しを……
レス,もっとも。次にアマデウスの更新が行われる際は、再び真帆の記憶データを抽出しなおすことになるだろうから。そうなれば、いつまでも今回のデータを残しておくわけにはいかないだろうけどね
真帆,まあ、そうですね
レス,期間限定ではあるが、しかし当面は気が向いたときに検証できる。悪くはない提案だろう？
真帆,それで教授の気が済むのでしたら
レス,すばらしい。それでこそ、科学者というものだよ、マホ
真帆,何て物言いですか、本当にもう
レス,では、話はまとまったね
真帆,ええ、そう言うことにしておきます
レス,OK！それでは明日、抽出しておいたマホの記憶データを使用して、アマデウス・プログラムのバージョンを更新する。それで構わないね？
真帆,お願いします
レス,いいだろう。ではそれに伴い、明日の工程についてマホに相談しておきたいことがあるのだけれど、いいかな？
真帆,はあ、何でしょうか？
レス,実はだね。明日の更新の際、君のアマデウスを管理しているサーバーを、新しいものに入れ替えてみようと思うんだ
真帆,サーバーを……入れ替える、ですか？
レス,Yes。実はすでに、必要な機材類も一通り確保しているのだけど、マホはどう思うかな？
真帆,私は別に……どちらでも
レス,Hum。ちなみにだが……。明日の更新では、今のサーバーから新しいサーバーへアマデウスのデータをコピーしたりはしない。当然、ムーブも行わないつもりだ
真帆,コピーもムーブもしない……って、えっと、どういう
レス,つまりだよ。これまでの“上書き更新”という形式ではなく、新サーバー内にはまったくの新規で、マホのアマデウス・システムを構築しなおすつもりでいる
真帆,まったくの新規……。ですがそれだと、私のアマデウスが二機になってしまうのでは？
レス,そうだね
真帆,そうだねって……
レス,そこでだ。新規サーバーの稼動に伴い、現在運用しているサーバー内にあるマホのアマデウスを破棄しようと思う
真帆,！？
レス,あえて誤解のないように言っておくよ。私の言う“破棄”とは現在のサーバーを物理的に破棄するという意味ではない
真帆,…………
レス,現在稼動しているアマデウス・マホを起動させた状態で、システムとしてのデリート・プログラムを実行すると言う意味だ
真帆,……え、え？
レス,当然、“彼女自身”にもデリートする旨を伝えた上でそうしようと思っている
真帆,な！？
レス,そこでだ、マホ。改めて相談させてもらうよ。君の分身でもあるアマデウス・マホをデリートすることに、彼女のオリジナルとして賛成してはくれないかな？
真帆,……それは
レス,hum。難しく考えることはないよ。何も君のアマデウス自体が研究対象から外れるという事ではない。結果だけを見たのなら、君とクリスのアマデウスが一つずつ残る事になるわけだから、これまでと何ら変わらない状況だ。そうだろ？
真帆,………。……。…
レス,どのみち君のアマデウスは、システムのバージョンアップに伴う記憶データの更新で、その都度状態がリセットされているに等しい。それならば──
真帆,そうすることで、教授は何を知りたいのですか？
レス,…………
真帆,…………
レス,気になるかね？
真帆,はい。ただサーバーを取り替えたいだけなら、コピーやムーブを利用して現状を継続させる方が一般的です
レス,まあ、そうだろうね
真帆,それにデリート・プログラムを実行すれば、対象のアマデウスはバックアップすら残さずに完全消去されるはずです。そんな行為を、彼女に伝えた上で実行する……その目的は何なのですか？
レス,目的か。そうだな、しいて言葉にするならば……好奇心を満たしたいと言ったところだろうね
真帆,好奇心？
レス,マホ。君はアマデウスの彼女たちを見てどう思っている？
真帆,と言われますと？
レス,本来であれば彼女たちは、０と１のみで構成されたデジタルな人工物でしかないはずだ。しかし実際はどうだい？。二進数で組み上げられた歪な作り物というには、彼女たちは余りにも生々しすぎるとは思わないかい？
真帆,…………
レス,事実。マホのアマデウスは記憶データを更新して起動する度に、大きく取り乱しているのだろう？
真帆,……はい
レス,それはやはり、自らがアマデウスというデジタルな存在になったという状況に心を乱しての事なのだろうね？
真帆,ええ、はい……そうだと思います
レス,そして、クリスのアマデウスもそうだ。これまで一度も記憶データを更新していないクリスのアマデウスなどは、もはや本当にオリジナルな彼女と同一人物だったのかを疑いたくなるほどに……。変化し、成長し、独自のアイデンティティを構成するに至っている
真帆,それはそうですが
レス,もしもだよ？そんな彼女たちに対して、正面から“デリート”という現実を突きつけたとき、彼女たちはそれをどう捉えるのか？。コピーでもムーブでもなく、更新でも上書きでもない。完全な削除というものに直面したとき、彼女たちの反応は果たして明確な二進数であり続けるのか、それとも
真帆,…………
レス,マホ。君は先ほど私に何を知りたいのか？と問いかけてきたね？
真帆,はい
レス,そうだ、私は知りたいのだよ。私たちが作り上げた物が何なのか？私はそれを、どうしても知りたいのだよ。だから、マホ。どうか私に、協力してはくれないだろうか？
真帆,………。……。…。ふう。分かりました。私のアマデウス、削除しましょう
レス,Oh！分かってくれたかい
真帆,ええ、削除します。削除しますけど、ただし──
レス,段取りは分かっているね、マホ？
真帆,はい、大丈夫です。新サーバーで新規アマデウスの正常起動を確認してから、現行アマデウスの削除に移行すればいいんですよね？
レス,その通り。問題はないはずだけど、それでも万が一ということもあるからね。くれぐれも、先に現行のアマデウスをデリートしてはいけないよ
真帆,分かってます。消しちゃったー、だけど新しいのもなんか動かないーじゃ、洒落になりませんからね。任せてください
レス,当然だけど、いつもの儀式もやってもらわなければならないからね
真帆,ぎ、儀式とか呼ばないでくださいってば！あれはあれで、結構しんどいんですから
レス,Oh……気に障ったかな？
真帆,っていうか、儀式って何よ！？こっちは更新の度に人格侵害の憂き目にあってるっていうのに……人ごとだと思って！。もういいです。とりあえず、まずはアマデウスの新規構築に集中しなくちゃ始まりませんし
レス,そうだね、それがいいだろう。それでどうかな？今のところ、新しく用意したサーバーは順調そうに見えるのだけど？
真帆,ええ、問題なさそうですね。特にこれといってエラーも出ていませんし……ログはどう、紅莉栖？
アマデウス紅莉栖,A紅莉栖
真帆,……そう。新規サーバーに新規アマデウス。ついでに例の107メガバイトの件もあったりしたから、新規アマデウスの起動については、ちょっとだけ心配してたのだけど、杞憂だったかしら
レス,ちなみにだね。マホの“あれ”を儀式と最初に呼び出したのはクリスだからね。私じゃないよ、違うからね
真帆,教授……それはどっちの紅莉栖のことですか？
レス,それは──
真帆,え！？ど、どこ！？。…………。AIが見間違いとか、有り得んでしょうが。プログラムが……嘘をつくとか……テヘってお前
レス,Oh。我々は本当に何を作ってしまったのか……
真帆,教授、笑えません
レス,これは失礼。では先ほどの続きだけど、儀式と最初に──
真帆,ふぅ。そんなに急かさなくてもいいわよ。時間はたっぷりあるんだし
レス,マホ。やっぱり私も立ち会うわけにはいかないのかな？
真帆,ダメです。私一人で作業を行う。それが条件だと言ったはずですよ？
レス,できるなら、デリートのときだけでも
真帆,余計にダメです。詳細は後ほどレポートで提出しますから、それで我慢してください
レス,どうしても？
真帆,どうしてもです
レス,OK、分かったよ。それではおとなしく、退散することにしよう
真帆,そうして下さい
レス,マホ
真帆,はい？
レス,いつもすまないね
真帆,いえ、自分の事なので。？。え？何？。何よ急に……
レス,おっと、コンバートが終了したようだね。これで新規アマデウス真帆の出来上がりだ
真帆,あ、本当だ
レス,では、後は頼むよ、マホ。レポートは出来る限り詳細にね
真帆,ええ、分かっています
レス,それでは後で会おう
真帆,当然のような顔して、何を言っているのよあなたは。ダメに決まっているでしょう？。はあ？……っていうか紅莉栖。あなた今日ちょっと様子がおかしくない？。ひょっとして……。アマデウスが消去されるって知って、AIなりに何か思うところでもあるのかしら？。ねえ紅莉栖。あなたまさか……。…………。いいえ何でもない。さ、グズグズしないで、あなたも退場するのよ、ほら。絶対にお断り！。ほんっとに、困ったものだわ。紅莉栖の方のアマデウスは、定期的な更新を行っていない分、この１０ヶ月で随分とへんてこな感じに変化してるのよね。私の比較検証用途とは違って、自己学習による成長の観測に主点を置いている以上、それは興味深い過程と捕らえるべきなのだろうけど……。はぁ。やっぱり継続観測用に長期運用をし続けると、オリジナルとはかけ離れた成長をしていくものなのかしら？。オリジナルから逸脱する独自のアイデンティティとか、環境の違いって馬鹿にできないものね。独自のアイデンティティ……か。何はともあれ、まずはここをクリアしないとデリート作業に移れないし、出来るならサクッと納得させたいところなんだけど。何だかんだで、毎回手を焼かされるのよね。自分の分身をなだめるとか。これまでに三度こなしているとはいえ、こればっかりはどうにも慣れそうもないわ
アマデウス真帆,A真帆
真帆,起動は成功のようね。さて。ごきげんよう。気分はどうかしら？。やっぱりまずは画面を触るのね、私ってば。とりあえず、落ち着いて聞いて欲しいのだけれど──。あれ？反応が鈍い？というか意外と冷静？。おおう……。そ……そう。いつもよりも冷静に見える。これまでなら、この時点でガタガタブルブルしているのに。？。う……。あ……やばそう。とか言ってる自分を見ている私も恥ずかしいんですけど……。ま、まああれよ。そ、そこを堪えて、ね？。はうあ！？。きつい！辛い！しんどい！やっぱりこれは、絶対に人には見せられない！。あ……えっと……。これはつまり……。うぎゃーーーーーー！？。そ、そ、そおおおお！？。ふぁ！？ふぁぁぁあ！？？？。！？。な、な、なんで……その私は、そんな小細工とやらを？というか、あなたたちはそんなに密に連絡を取り合ってたりするの？。……そう。まさか、そんな事になってるとは。え？。あ……ええ。そ、そうね。そうね。…………。次……。……そうね、そうしましょう。レポートも書かなくてはならないし。なに？。………。……。…。……ごめんなさい。本当にごめんなさい。私から、よろしく言っておくから。そう？。…………。こうして画面に流れていくログの羅列を見ていると、何て言うか……何かなぁ。かといって、デリート中の無表情なアマデウスの顔を見続けているのも、正直言ってしんどいし。それならまだ、ログウィンドウを画面いっぱいに広げてた方が気分もまぎれると言うものね。はぁ。それにしてもよ。思っていたよりも呆気なくて……逆に肩透かしを食らった気分ね。デリートに入る直前まで、紅莉栖のアマデウスや新規な私のアマデウスと対峙していたから、多少は覚悟をしていたのだけれど。私って、あんなに素直だったっけ？。いやいや、あれはただのAI。私とは似て異なる存在。分かってたことじゃない。さてと。さっきの状況、教授にはなんて報告しようかしら。所詮、AIはAI。デジタルな存在に死の概念は存在しない……とでも書いておけばいいかな？。ふぅ。なんだか疲れたな。レポートを書き上げたら、今日はもう休もうかな……。ん？。何？。！？アマデウスが……動いてる？。……！？。ちょ……え、ちょ……何で？。デリート・プログラムは……動いている。どうなっているの？。え、えっと……だ、大丈夫？。わ、私は何を聞いているのよ！？。そうだけど、あなた一体……。あ、えっと……。？。頭……が痛いのかしら？って、いやそんな……馬鹿な。そうだけど、って何よこれ！どうなってるのよ説明して！？。…………。ゴクリ。あ、あなたは、その、私の……比屋定真帆のアマデウスで……。今のあなたは……デリート・プログラムが実行中で……。そ、それは色々とあって……。……どうしたの？。な、なに？何なのよぉ。は？何？へ？何？。怖い！何か凄く怖くなってきたんですけど！？。何を言っているわけ、この子は！？。……はっ！？。ひょっとして、いきなり増えていた107メガの影響で誤動作を……って。それは新しいアマデウスの方であって、こっちは関係なかったーーー！。は、はひっ！。怖い！怖い怖い怖い！。え……ええええ……何それ……。こ、ここは大学だけど……ヴィ、ヴィクトル……コン。ひいっ。え、え？。ひぁっ！？。何なのよ？何だって言うのよ、もう！？。べ、別に生きていますけどっ！？。誰ですか、それは……。意味が分からないーーー！。へ？ええ、へえ？。そ、それならもう──。何よ何よ何なのよこれは！？。はいいい！？。き……消えた？。………。……。…。デリートが終わった……のよね？。ええと、今の……報告……するべきなの？。って、あんな状況をどうやって報告しろっていうのよ！？。もういっそのこと、全て夢ということにしてしまいたいくらいだわ。でも……。……どうしよう。え？紅莉栖？
紅莉栖,あ、先輩！ただいま戻りました！
真帆,戻りましたって……あなた、確か帰国まであと一週間はあったはずじゃ？
紅莉栖,そうだったんですけど、ちょっと用事ができてしまって。それで予定を前倒しすることにしたんです
真帆,そ、そう。それで日本はどうだったの？楽しめた？
紅莉栖,ええ。まあそれなりに……はは
真帆,やっぱり、彼氏に会いに日本へ行っているという噂は本当なのかしら？。もし本当なのだとしたら、それは何と言うか……ぐぬぬ
紅莉栖,あっと、それでですね、先輩。実はお土産があるんです
真帆,へえ、何かしら楽しみね
紅莉栖,では…ｶﾞｻｺﾞｿ
真帆,ありがとう。えっと、これは……。これは一体何だろう？
紅莉栖,…………
真帆,う。何だか紅莉栖に凄く見られてる。なに、どういうこと？
紅莉栖,せ……先輩、どうですかそれ？
真帆,え？え、ええ、と、とても嬉しいわ。どうもありがとう紅莉栖
紅莉栖,んー、それだけですか？
真帆,へ？なに？私なにか期待されてるの？。な、何と言うか、うん。凄くオシャレね。さっそく部屋に飾らせてもらうわ
紅莉栖,うーーーん。反応が微妙すぎて、いまいち分からないわね
真帆,反応が微妙ってなに？ひょっとして私、態度が悪かったりする？
紅莉栖,ちなみにですけど、それが何だか分かりますか、先輩？
真帆,！？。見た目は小さな風車ふうしゃのように見えるけど……ひょっとして風車かざぐるまって奴かしら？。ええとその……これはアレよね。そうアレよ。インテリア的な……
紅莉栖,インテリア？
真帆,そ、そう例えば、この軸のところでバランスを取って……ほらこんな感じでグルグルまわすと結構……結構……
紅莉栖,…………
真帆,……結構
紅莉栖,…………
真帆,ふぅ。ごめんなさい、紅莉栖。素直に聞くわ。これは何？
紅莉栖,まあ、そうですよね、分かりませんよね普通は。やっぱり、アイテムのチョイスを岡部に任せるんじゃなかった
真帆,？
紅莉栖,それはですね、一種のガジェットです
真帆,ガジェット……これが？
紅莉栖,はい。名前はタケコプカメラーと言いまして、良く言えば……そうですね。古い日本の玩具と近代の文明を、ふんわりしたレベルで融合したもの、でしょうか
真帆,ふんわりしたレベルって……どんなレベルよ？。へ、へえそうなの、凄いわね。ちなみに悪く言うとどうなるの？
紅莉栖,空飛ぶガラクタです
真帆,つき返しても良いかしら？
紅莉栖,お断りします
真帆,…………。あれ？私ってば紅莉栖に嫌われてる？
紅莉栖,ふふ、すいません先輩。別にからかおうとか、そういうつもりはなかったんですよ？
真帆,え、え？
紅莉栖,実はこれ。日本の知り合いから、どうしても先輩に渡して欲しいと頼まれた物なんです
真帆,日本の知り合い？
紅莉栖,はい。私が先輩のお世話になってるって話したら、それなら是非に進呈したいとかなんとかで
真帆,そ、そう？なら貰っておくけど。それにしても、空飛ぶガラクタとはね。でもこれ、どうやって飛ばすのかしら、っていうか本当に飛ぶの？ぶん投げるとかじゃなくて？
紅莉栖,ところで先輩、お会いしてそうそうで申し訳ないんですけど……
真帆,どうしたの？
紅莉栖,この前、電話で言ってらした件。もう少し詳しく話しをお聞きしたいんですけど
真帆,！？
紅莉栖,ですので、これから少しお時間をいただけませんか？
真帆,それってまさか……でもそんな、どこからあの時のことを？
紅莉栖,ほら先輩、言ってたじゃないですか？更新用の記憶データを取り直したら、随分と増えていたとかなんとか
真帆,あ、そっちか
紅莉栖,確か１０７メガバイトもの増加が見止められたんでしたっけ？
真帆,そうよね。あのときの……デリート中に遭遇した不気味な一件については、結局まだレスキネン教授にも報告できてないわけだし
紅莉栖,その増加した１０７メガバイトの内容は、どこまで解析できたんですか？
真帆,デリートの際に見た状況は、今のところ私しか知らないはず──
紅莉栖,先輩、聞いてますか？
真帆,っ！？っと、ごめんなさい。ええと、増加したデータの話しだったわね
紅莉栖,はい。それがどんな内容のデータだったのか、もう見当は付いているんですか？
真帆,いいえ。残念ながら、今のところは何も分かっていないわ
紅莉栖,何も……ですか？
真帆,ええ、何も
紅莉栖,……その。それは何だか先輩らしくないですね
真帆,？どういう意味かしら？
紅莉栖,だって、そうじゃないですか。いつもの先輩なら、目の前に分からない事があれば……
真帆,あのね紅莉栖。私だって何も、完全に諦めたっていう分けでもないのよ？ちょっと考察に手間取っているというだけで──
紅莉栖,そうじゃなくてです
真帆,え？
紅莉栖,いつもの先輩なら、不可解な壁に突き当たっている状態で、今みたいにヘラヘラ笑ってなんかいませんよ
真帆,はい？
紅莉栖,目の下にどす黒い隈を作った酷い顔のまま、研究室の中をブツブツ言いながら徘徊し続けて、手当たり次第ににらみを効かせてみたりだとか……
真帆,してないわよ、そんな事！
紅莉栖,いえ、してるじゃないですか、後半は嘘ですけど
真帆,紅莉栖、あなたねぇ……
紅莉栖,何があったんですか？
真帆,……
紅莉栖,帰国の途中で私のアマデウスから聞きました。先輩、新規サーバーのアマデウスと、まだまともにコンタクトを取っていないらしいじゃないですか？
真帆,……う。それは、その。レスキネン教授に提出するレポートやらなんやらで忙しくて
紅莉栖,嘘ですね
真帆,だ……断言したわね
紅莉栖,こういうときの私の勘は、よく当たるんです。アマデウス達から状況を聞いていただけの段階では、まさかと思っていましたけれど、でも。こうして今、先輩を目の前にして確信しました。先輩は今、アマデウスの研究から逃げている……というか、そう。まるで怯えているように見えます。違いますか？
真帆,確信したって前置きした割に、言い直したりするのね
紅莉栖,茶化さないでください！押し付けがましいかもしれませんけど、偉そうな後輩なのかもしれませんけど！。それでも私だって、先輩の事を心配したりもするんです！
真帆,……っ
紅莉栖,先輩。一体、何があったんですか？
真帆,それは……
紅莉栖,先輩の知覚していない記憶。増加した奇妙な１０７メガバイトの正体、私には心当たりがあります
真帆,！？。う……そ。当事者の私ですら、皆目見当もつかないのに……。これが、アマデウスとサリエリとの違いだと？。っていうか、ちょっと待って？
紅莉栖,何ですか？
真帆,あなた今、私が知覚していない記憶って言わなかった？
紅莉栖,はい、言いました
真帆,ええと……それは言葉のままの意味として捉えていいのかしら？
紅莉栖,……はい
真帆,はぁ、何よそれは
紅莉栖,先輩は……世界線という言葉をご存知ですか？
真帆,今度は何？
紅莉栖,断言はできませんが、恐らく……増加した１０７メガバイト分の記憶は、その世界せ──
真帆,待って待って待って。どうしたの紅莉栖。あなた脳化学だけじゃ飽き足らず、オカルト方面にまで手を伸ばすつもり？
紅莉栖,真面目な話なんです
真帆,そうは聞こえない。悪いけど、私は自分の知らないうちに空や時間を飛んだりなんてしていない
紅莉栖,はたして、本当にそうでしょうか？
真帆,もう。あなたまで教授みたいな夢物語を口にするなんて、同じ研究者として反応に困るのだけれど
紅莉栖,……教授って、レスキネン教授のことですか？
真帆,他に居ないでしょう
紅莉栖,………。……。…。先輩、どうでしょう？今から私と一緒に、改めて二人のアマデウス達と向き合ってみませんか？
真帆,え……
紅莉栖,せんぱい
真帆,何よ、その眼は……。……ふう。分かったわ。それであなたの気が済むのならOKよ。私と紅莉栖とで、二人のアマデウスと対峙してみる。それでいいかしら？。正直言えば、あまり気が進まないのだけどね
紅莉栖,はい！それでこそ先輩です！
