・主人公は,有里湊
ゆかり,さすがにそんなゲーム、イヤでしょ。うーん、とても信じられる話じゃないんだけど…キミが言うなら、本当なんだよね
美鶴,よくわかった。つまりP４のダンスゲームが既に先行してリリースされているんだな
明彦,つまり俺たちはその次回作に参加する、ということか
湊,そういうことです、おそらくね
乾,僕たちの次回作の系統のゲームの次回作に僕たちが出るってなんか不思議な感じですね
アイギス,あの、コロマルさんはどうされるのですか？
美鶴,実は、コロマルに関しては特に何も言われていないんだ
明彦,おそらくはシンジも、ということだな
順平,あー、だから荒垣さんがコロマルの散歩に行ってる今この話なのか
ゆかり,で、リリースいつなんですか？それも聞いてないんですか？
美鶴,リリースもなにも、ゲームということ自体私は知らなかったんだが、我々の"ダンス特訓"の期限は今度の5月ということだ
明彦,おい、もう4か月しかないじゃないか！
順平,あれ、真田先輩、やる気っすね
明彦,シャドウが倒せるというのなら、手段は問わないさ。ダンスでもなんでもやってやる！
湊,いや、我々の場合にもダンスがシャドウを倒すものになるのかはわかりませんが…
明彦,構わん！可能性はあるんだろう？
順平,うわー、真田先輩の一直線キャラ、ガッツリ出てるわー
ゆかり,うーん、でもちょっとめんどいよねー風花
風花,えっ、私またナビゲートキャラじゃないのかな？ダンスって私体育の授業でもついていくのやっとだし、自信はないかな
美鶴,そのあたりは何とも、だ
湊,あの、実は主人公会でもう一つ聞いていることがあるですが
美鶴,是非話してくれ
湊,実は、我々の他にも、P5の連中のダンスゲームも同日発売らしい、と
ゆかり,え、何？P4どころかP5ってのがあるの！？
順平,長寿なんすねー、ペルソナシリーズ
美鶴,なるほど。P4が成功作となり、続編はP3とP5で同日発売…我々は比較されるな、間違いない
アイギス,容易に想像がつくであります
順平,あーもう、数字で評価されるのなんて学校のテストだけで充分だっての
ゆかり,あんたのテストの点数はロクな評価にならないでしょ
乾,僕たちはシャドウを倒して、守るべきものを守るために頑張るっていうのに、こんな競争をさせるなんて。大人って、そういうとこが醜いですよね
明彦,なるほど、天田。確かに大人は汚いかもしれない
乾,はい？
明彦,しかし、売られた勝負は買うのが男だとも思わないか？
乾,え、ええ確かに
明彦,そうだろう？あえて勝負に乗ってやろう、そして勝ってやろうじゃないか！
乾,は、はい！
ゆかり,あー真田先輩と真田教の天田くん、スイッチ入っちゃったわこれ。ところでさ、P5の主人公ってどんな人なの？
湊,え、どうして？
ゆかり,いやあ、興味本位というか。ほら、P4の鳴上くんってなかなか格好良かったじゃない？
湊,あー、そういう…そうだね。名前は雨宮蓮だけど、ネット上では屋根裏ゴミとかってよく書かれてるって落ち込んでた
風花,屋根裏ゴミって…かわいそう
美鶴,確かに、あんまりだ。何か、そう呼ばれてしまう理由があるのか？
湊,もともとは前科が、あ、これは実際は冤罪なんですけど、前科があって、引っ越してとある人の厚意で屋根裏に住まわせて貰っているっていうことで、屋根裏のゴミって言われたらしいですね
乾,待ってくださいよ、冤罪なんですよね？それならゴミだなんて誹りはすぐになくなるんじゃないんですか？
湊,いや、えーっと、別の理由もあって
アイギス,そちらの方が大きい理由なのですね？
湊,うん、どっちかというと手当たり次第に女の子に手を出してたり、屋根裏に出張メイドさんを呼びつけたりとかしてるっていうのが、ゴミって言われてる所以なんじゃないか、とは思う
順平,あー、そっちね、そっち系ね。なんか知り合いにもそんなヤツがいるような気もしなくはないけど
ゆかり,ふーん、なるほどね。まあキミも大概なところはあるけど、住まいに連れ込むとかまで行くと、その屋根裏ゴミってのは、完全に女性の敵みたいね
湊,いや、いいヤツなんだよ、それに冤罪のせいで転校とか、苦労してるし
ゆかり,そんなの、私たちだって全員P4の連中より重い不幸背負ってやってるでしょ！
順平,いやー、ゆかりッチ？ちょっとその話は重すぎじゃないかな？ちょーっと落ち着こ、な？
ゆかり,いや、落ち着けない！もう無理。そんなゴミにはボロ勝ちして、吠え面かかせる！女の敵を許すな！
湊,……
美鶴,ああ、処刑だ！
湊,………
風花,わたしも、そういう男の人、ちょっと許せないな！
湊,…………
美鶴,よし！早速今晩から影時間を使ってダンスの特訓だ！
ゆかり風花明彦乾,おーーーー！
湊,………………
順平,おい、顔青いぞ？
湊,ああ…ちょっと頭が痛くなってきた
順平,まあ大丈夫だろ、お前の女グセの悪さも、きっとその屋根裏ゴミとかいうヤツほどじゃないだろ、な？
アイギス,仮にあなたが屋根裏ゴミ以下の人間だとしても、私の一番は、あなたの傍にいること、であります
湊,……もう、どうでもいい
