※天の神,すまんなやきう。改心したからお詫びするンゴ
銀,な、なんだ…やけにおっとりした口調と品のある態度…友奈じゃないみたいだ
友奈,別世界の私ってほんとどんななの！？
彡()(),最近ワイはちょっと可愛いって思ってるけど異常なんやろか…
銀,ああ異常だ！って別世界…ここ私達の世界じゃないの？
彡(ﾟ)(ﾟ),せやで…この友奈ちゃんこと結城さんは…
友奈,友奈でいいよやきう君！
銀,ほんとだ…あっちだとちゃん付けだもんな…
彡(ﾟ)(ﾟ),めっちゃええこやで！こっちの美森ちゃんも友奈ちゃんも！
銀,それなら安心だな！私は三ノ輪銀！勇者部にかかわるのが大嫌いなごく普通の勇者だ！よろしくな～友奈！
友奈,うん！銀ちゃんよろしくね！会えば東郷さんやそのちゃんが絶対喜ぶよ！
銀,あっちの世界じゃ顔も見たくないぞ！
友奈,えぇぇぇ
彡(ﾟ)(ﾟ),会ってみるとええでめっちゃええこやから
風,おっやきうじゃない！元気してた！？心配したのよ急に居なくなっちゃって！
彡(ﾟ)(ﾟ),おお！綺麗な風先輩や！
風,褒めても何もでないぞ～うりうり！
銀,マジだ…こんな綺麗な風先輩みたことないわ…
夏凜,よっ、久しぶりじゃないのよ！相変わらず元気そうね！安心したわよやきう…！
彡(^)(^),夏凜ちゃんはやっぱこっちの世界でもええ子やね…暴走もしないから本当の天使や！
夏凜,ぼ、暴走？なんのこと！？
銀,夏凜の奴はぶれてないな…根はいい奴なんだけどこっちの世界の歪んだ勇者部じゃ時折ガイジの片鱗を…
東郷,やきう君おかえりなさい
彡(^)(^),美森ちゃん…やなくて東郷さんオッスオッスやで！
東郷,あっちの世界だと名前で呼んでくれてるんだ…別に呼びなれてるなら名前でもいいんだよ？
彡()(),いや、うちの世界のと比べるとここの東郷さんに失礼やから分けるわ…
東郷,あ、あはは…
銀,マジで須美に見えないくらい良い子なんだが…
東郷,！？。あ…あなたってまさか…
銀,ひぃ！？もうさなぎ入りぼた餅は要らないからな！
園子,やきう君久しぶり～！って…えぇ！？。ミノさん…？だよね…？？少し生長してるけど…間違いないよね…？
銀,うん。私の世界だとお前にミノムシって呼ばれて毎日のように玩具にされてたけどな
園子,ミノさぁぁぁん！号泣
銀,ちょ！？
東郷,銀っ！！！！号泣。別世界だとしても…もう一度あなたに会えるなんて！
園子,ミノさぁぁん…私ね、私達天の神に勝ったんよ？
銀,お前ら…な、なんていい子なんだ…天の神…あぁ…昨日も悟空さんやビルス様にぼこられてたな…
園子,ビルス様？
彡(ﾟ)(ﾟ),宇宙のバランスを保ってる破壊の神様や。天の神より偉いんやぞ
友奈,そっちの世界って凄い神様が居るんだね…
彡()(),ついでに頭おかしい奴らも…
銀,うん…あの世界じゃ私の唯一無二の親友はこいつと夏凜まともな時
東郷,やきう君…あっちの世界の悪い友奈ちゃんにいじめられて…私がアルファー波で体調を整えてあげるわ…
園子,私も私も～
そのみも,健康健康健康健康
彡()(),さ、サンガツでもやっぱこっちの美森ちゃん達もちょっと変わってるンゴねぇ
彡(ﾟ)(ﾟ),でこっぱち先輩、樹ちゃんはどうしたんや？
風,誰がでこっぱちよっ！
彡(ﾟ)(ﾟ),すまんな間違った風先輩！
風,インフルエンザで療養中よ…熱はだいぶ下がったんだけどね…
東郷,それより銀…良かったら久々にそのっちと三人でイネス行かない？
銀,イネス！？マジか！！行く行く！あっちの世界じゃ学校以外で遊んだ事もないからな！
園子,そうなのか～こっちの世界の私達は誰もがうらやむラブラブ関係だぜぃ？
友奈,やきう君、三人にしてあげていいかな
彡(^)(^),ええで！ワイは何か勇者部の活動手伝うわ
友奈,少しお話しない？
彡(ﾟ)(ﾟ),ええけど昆虫は食わないで？
友奈,こ…昆虫？
彡(ﾟ)(ﾟ),いやなんでもないわ…
夏凜,私も暇だしついてっていい？
風,部長を差し置いて行くなんて許さないぞ～？
夏凜,部長は樹でしょっ
彡()(),ああ、天国や…
東郷,ありがとう、友奈ちゃんにやきう君
彡(ﾟ)(ﾟ),ええで、楽しんできてーや
東郷,明日私もやきう君とお話したいけどいい？
彡(ﾟ)(ﾟ),おう！ええで！
東郷,ありがとう
友奈,イネスって言っても小さなスーパーマーケットなんだ
彡(ﾟ)(ﾟ),こっちの世界だとでかいショッピングモールンゴねぇ…
友奈,こっちの世界でもそうだったの…でもね…私達の世界はもう神樹様の加護がなくなっちゃって…
夏凜,昔みたいなゆたかな生活が出来なくなっちゃったのよ…
風,自分達で自給自足…人間の力だけで生きていかなきゃで世界は今大混乱よ…
彡(ﾟ)(ﾟ),廃墟だらけンゴねぇ…
友奈,ごめんね、たいしたおもてなしも出来なくて…
彡(ﾟ)(ﾟ),えぇんや…気持ちだけで…それにワイ、この世界を救ってみたいンゴ…
友奈,だめだよ…やきう君はやきう君の生活があるんだし…
彡(ﾟ)(ﾟ),ちょっとええ方法を思いついたんや…
友奈,いい方法？
彡(ﾟ)(ﾟ),ガイジやーい
悟空,こらやきう！別世界ぇでもオラの悪口はすべてつつぬけなんだぞ？
彡(ﾟ)(ﾟ),すまんな悟空さん、こう言うときガイジって言えば悟空さんきてくれへんから
悟空,おっ、謝ればいいんだ。それにオラに用事？どうしたんだ？。この荒れた世界と死んでいった人間を再生させてぇ？そんなんデレゲンベェルでかなえればいいじゃねーか。くだらねぇことでオラを呼んでっとぶっ殺すぞ？
友奈,ひどっ！
夏凜,ちょっとあんた！やきうが私らのためを思って動こうとしてるのに！
風,で、このお兄さん誰よ？
悟空,めーったなぁ…それならよ、ビルス様にきいてみっか！
夏凜,ちょっと待ちなさいよ！ビルスってさっき言ってた天の神よりやばいやつでしょ？大丈夫なのそれ
悟空,お？天の神？あんなんオラでも倒せるクソザコナメクジだぞ！
夏凜,
？？？,なんだい？用事って…
勇者部一同,！？
ビルス,何か美味しいものでもあるのか？
悟空,ビルス様～やきうのやつがデレゲンべェルでこの荒れた世界を再生させてぇんだってさ！
ビルス,へぇ。願い玉でねぇ。天の神に好き勝手されたし良いんじゃない？
友奈,軽っ！
悟空,おめーら良かったな！ビルス様からOKでたし瞬間移動であっちの世界からデレゲンベェル借りてくっぞ！
風,なんか目の前で信じられないことが軽はずみに起こり始めてついていけないんですが
彡(ﾟ)(ﾟ),なんやビルス様。ええことだとしても？。おかのした…ありがとやでビルス様…その代わりうどんを奢らせてクレメンス。メッチャ美味いで！
友奈,やきう君！世界が…世界が戻ってる！！！それに神樹様にも新しい芽が！
ビルス,ふん、ボクが居るからには今後好き勝手な事が出来ないと思え、神樹、天の神
天＆神樹,おかのした…人間を犠牲にしたりするのやめます
友奈,ありがとうね…なんてお礼いったらいいか
彡(ﾟ)(ﾟ),ええんやで、こんな優しくして貰ってるんやしこんくらいお安い御用やぞ
友奈,元の世界に戻ってからも私達のこと忘れないでね？
彡(ﾟ)(ﾟ),当たり前やんけ！もしまたこれる機会があったら来るわ
友奈,うん！それと…今日はやきう君東郷さんとお話するんだよね♪
彡(ﾟ)(ﾟ),せやった！昨日は銀ちゃんたちとイネスで楽しんできたみたいやし！お話盛り上がりそうンゴ！友奈ちゃんも一緒に行こうやで
友奈,うん！。あ、丁度東郷さんが来たよ！
東郷,…
友奈,東郷さんおはよー！
東郷,…
彡(ﾟ)(ﾟ),東郷さんどうしたんや？
東郷,何で名前でよばない？
彡(ﾟ)(ﾟ),え…ま、まさか…美森ちゃ
東郷,ぺろぺろぺろぺろぺろぺろ
友奈,
彡()(),
彡(ﾟ)(ﾟ),愛してるの決まってるやろ…一緒に帰ろうやで
東郷,ぐす…やぎうぐうううん！
彡(ﾟ)(ﾟ),せやな…ワイのこの世界での役割は終わりや…
東郷,この世界の勇者部のやつらとセ〇クスはしてないだろうな？
彡(ﾟ)(ﾟ),するわけないやんけ！
東郷,ならたっぷり溜まってるのね、家帰りましょう
彡()(),ヒェ…ってそういや銀ちゃんは…？
東郷,ダンボールにつめて私らの世界の勇者部宛に送ったわ。他の女の話題を出すな私だけみろ
彡(ﾟ)(ﾟ),なあ美森ちゃん、一緒にうどん食べて帰ろうやで！
東郷,え…その…あの
彡(^)(^),お腹すいたやろ？一緒にたべよーや
東郷,うん…！
友奈,みぃーんみんみんみんみんみぃん！
銀,…
夏凜,…
友奈,ほら早く一緒に鳴け！セミごっこの意味ないだろうが！
銀,あの世界がいい…
東郷,今日はやきう君に沢山お礼しなきゃ…ぼた餅も作ったし…。やきう君…どうしちゃったのかしら…
友奈,やきう君あっちの世界の東郷さんに連れて行かれちゃった…
東郷,え…
友奈,やきうは私の物って…私を汚物のように睨んで帰っていったよ…
東郷,友奈ちゃんが汚物だなんて…でも…あっちの世界のやきう君が可哀相…
友奈,うん…
東郷,男の子の友達なんて初めてで嬉しかった…。もっと沢山お話したかったのに…。やきう…くん…。あれは！？
やきう,グエーやっと帰宅ンゴ…家に帰ってやきう見たろ
東郷,…
やきう,お？なんや…別クラスの東郷さんやんけ…
東郷,さわっていい？
やきう,は？
東郷,さわっていい？
やきう,あの…いきなり何を
東郷,脱げ。好きです
やきう,なんやお前頭おかしなるで！
東郷,うるさい人の気もしらないで
やきう,誰か助けてーや
東郷,あぁあっちの世界の私の気持ちがわかってきたわ
やきう,ヒェっ！！！？？？？
友奈,あっちの世界の私は昆虫を食べる…。ありえないありえない…あはは…
セミ,みーん！
友奈,…。おいしいのかな…？
セミ,ヒェ…
友奈,…。ひょいパク…もしゃもしゃ。美味しい…えへへぇ…
東郷,私の許婚を連れてきました
やきう,白目
風,よく入部してくれたわね！まず最初に飯と風呂の支度してこい
樹,インフルエンザ治って食欲出てきたから肉料理多めに作れよ
夏凜,ねえやきうよねあんた…帰りに私とあそんでかえらない…？
友奈,あーセミ美味しい！
園子,ゆーゆ！私も一口欲しいんよ～！
銀,生き返ったは良いんだけどなんだこれ…困惑
ウイス,世界を無理やり改変すると何かしら影響が出ますのでやめましょうね♪
