学園都市を舞台にして平成二期ライダー,本編の都合上鎧武を除く
伊達／仁藤,おいっ！
黄泉川,やかましいじゃん！こっちは打ち止めが風邪ひいて気が気でないないじゃん！
晴人,ふぃ～。それにしても……。この辺りあまりにもファントムが多くないか？まるでこの場所を守っているように……。この先は確か……学園都市……って言ったっけ？。……少し調べてみるか
佐天,ハァ…ハァ…！。まさか本当にあんな怪物が学園都市にいるなんて…！。逃げなくちゃ！人のいるところに……でないと！
？？？,…………
佐天,ヒィッ！？
御坂？,…………
佐天,み、御坂さん！？。ぁ…ぅぁぁ…よかっ、御坂さ…うぇぇぇん！
御坂？,……チッ
佐天,あ゛あ゛あっ！？。み、さか…しゃ…どう、して……？
御坂？,《ミサカ達》をあんなクズと同じに見ないで下さい……と、《ミサカ達》はゴミクズに向かって吐き捨てます
ﾚﾃﾞｨｵﾉｲｽﾞ・ﾄﾞｰﾊﾟﾝﾄ,クラゲとスピーカーの怪人
佐天,あ…イヤ……イヤ……！だりぇか…たすけ……
映司,危ないところだったぁ……
翔太郎,大丈夫か涙子ちゃん？
佐天,しょ、しょーたろーさぁあん！
フィリップ／映司,さすが翔太郎左さん
翔太郎,ちげえ！一回目ニセメダルとドライバーの回収しに来たときにたまたま知り合った娘だよ！てか仲良いなお前ら！
フィリップ,ま、それはさておき少女も軽い火傷で済みそうだ。立てるかい？
佐天,え、あ……っ……な、なんとか
フィリップ,よかった、それじゃあ火野映司
映司,え、はい
フィリップ,彼女と……《僕》を頼む
映司,……！わかりました！
W,フィリップ
フィリップ,行くよ翔太郎
翔太郎,あっちもお待ちかねのようだしな
フィリップ／翔太郎,変身ッ！
|l/O),翔太郎
佐天,…？…？
映司,行くよ！乗って！
佐天,は！はいぃ！！
映司,なんとか、逃げ切れたかな？
佐天,あの、ありがとうございました！
映司,いいよいいよ、むしろごめんね？もっと早く来てあげられればよかったんだけど
佐天,あ、ああ頭上げて下さい！悪いのは私なんですから……
映司,そういえばどうしてあんなところに？
佐天,はい……それが、その…私都市伝説とか調べるのが好きなんです。それであの学区に《怪物を作ってる施設がある》って聞いて……それで……ふぇ……ぅぇぇ
映司,あああ！泣かないで！大丈夫！大丈夫だから！
佐天,しゅみましぇん……うう
映司,そ、それで！本当にその施設はあったの？
佐天,い、いいえ……さっき私がみさ……あの怪物に襲われていたところが、一応ネットで噂されてた場所だったんですけど……
映司,そっか……ッ！
佐天,で、でも！私見たんです！メダルの怪物を！
映司,……わかった。ありがとう話してくれて。それと最後まで一緒にいられなくてごめん。後はこのバイクに乗って逃げて…あ、自動で走るから安心してね
佐天,え……ひっ！。め、メダルの怪物！
映司,ああ、そうそう俺の名前は火野映司。今度また都市伝説の話聞かせてよ
佐天,だ、ダメですよ！火野さんも一緒に！
映司,俺なら大丈夫……俺も仮面ライダーだから
佐天,仮面…ライダー？
映司,うん、だから心配しないで……逃げるんだ！
佐天,ッ！
映司,フィリップさんが落ちないように支えてあげてね～！。さーて、《これ》でどれだけ戦えるかな……体に悪い影響出なきゃいいんだけど！。変身！
御坂？,く…ぁッ……。無駄…です。と……《ミサカ達》は、満身創痍で……立ち上がります。《ミサカ達》は…死にません……例え死んでも、また集まって、欠陥を補って……永遠……に……。
翔太郎,ぐ…ァ…ガ………。お前、たち……ハァ…何者なんだ……ぐぅ…。ッ！ま、待て！。……く、クソ…………
晴人,ん！このドーナツうまいな。さすがちょっと奮発しただけあった
佐天,誰かぁあああっ！！！
晴人,ッ！何だ！？
佐天,止めてぇえええええッ
晴人,何だ……暴走バイクか
佐天,ひぇぇ！？
晴人,よいしょ……おーい大丈夫か？
佐天,はぇ～
フィリップ,
晴人,あらら……ん？
？？？,…………
晴人,あやしいな……
？？？,ッ！。…………
晴人,揺さぶってみるか。ちょっとこれ預かってて
佐天,ふぁーい
晴人,じゃ、また
？？？,…………
晴人,明らかに表通りから外れようとしてる……ますますあやしいな、罠か？。何にせよ仕掛けるなら今か。ちょっとそこの……青い髪の人！
青ピ,はわ！はわわ！ちゃいますちゃいます！
晴人,まだ何も言ってないんだけど……なんつーあやしいヤツ
青ピ,ワザとや、ワザとやないんです！あの娘がぷか～なってスカートひら～なったからたまたまパンツがぁぁ～！ホンマ逮捕だけは勘弁してくださぃぃぃ！！！！
晴人,あーはいはいパンツねパンツ……パンツ！？。……何色だった？
青ピ,へ？あ……薄いピンクのフリフリ
晴人,アウトォオオオッ！！！
青ピ,ア゛ァ゛ア゛ア゛ア゛ア゛ア゛ア゛ア゛ッ！！！
上条,何やってんだお前……？急にいなくなったと思ったら
青ピ,ガミ゛ヤ゛ァ゛ア゛ァ゛ァ゛ア゛ァ゛ア゛ア゛ン゛ン゛ン゛ン゛ッ
土御門,うわぁ……
晴人,えーっと……
弦太朗,オーイ！いたかー！
上条,おー弦太朗、いたいた。なんかラリってるけどな
弦太朗,うわっ……ってこっちの人は？
晴人,……よっ
弦太朗,ああー！あんたこの前の！オッスオッス！
土御門,知り合いかにゃー？イケメンの知り合いは……やっぱりイケメン！かー！世の中どうなってんだぜぃ！
弦太朗,なんであんたが青ピと一緒に？まさかここの学生だったのか！？
晴人,違う違う、この青いのが路上でニヤニヤしてたから不審に思って声掛けただけ
土御門,あー……
上条,なんか……すみません
晴人,こっちこそ、変に勘繰って悪かった
弦太朗,よっしゃ！じゃあ全員集まったし飯食いに行こう！
晴人,は？お、俺も！？
上条,ちょ、弦太朗…いくら知り合いでも迷わ――
晴/弦/上/土,ッ！？
上条,待ってろ！
晴人,弦太朗！
弦太朗,おう！
土御門,はぁ～……さすがといいますか
青ピ,んほぉおおおおっ！
土御門,…………。待ってくれにゃー！こいつと二人でいるのはごめんだぜぃ！
照井,通報があったのはこの辺りだな
後藤,あれじゃないですか。野次馬も集まっているし
照井,よし……警備員アンチスキル
後藤,な……このバイクは！？
照井,フィリップ……どうしてここに……いや、目的は同じか
後藤,だとすれば、これは火野が
照井,おそらく、この少女がドーパントか何者かに襲われていたところを助けるため……と考えるのが妥当だろう
フィリップ,…ッ……照井…竜？
照井,気が付いたか
フィリップ,ッ！そうだ、翔太郎が危ない！
照井,何だと！？
後藤,照井さん、この人は？
照井,探偵だ……信用していい
後藤,……フィリップさん、火野映司という人物を知りませんか？
フィリップ,ああ知っている。場所は――
照井,よし……後藤、黄泉川に連絡すぐこの少女を保護するよう伝えてくれ
後藤,了解！
フィリップ,ここには僕が残るから、君たちは君たちのなすべきことを
照井,ああ、左のことは任せろ
フィリップ,ありがとう照井竜
照井,お前は検索の準備をしておいてくれ、左のことだ……何かしら情報を得ているだろう
少女,か……ァ……
御坂,ァ…！ぅ……
晴人,そこまでだ！。…………
上条,テメエッ！よくも御坂をッ！
大人しそうな男子生徒,グゥアッ！
上条,大丈夫か御坂！
弦太朗,気を失ってるけど、大丈夫だ……だいぶ痛めつけられてるけどな。ひでえことしやがる
晴人,さっきのあの少年の姿……どういうことだ？
上条,御坂！しっかりしろ！
晴人,それにあの弦太朗の友達も……超能力の一種か？
男子生徒,ゥゥ…ちくしょう……どいつもこいつもいつもいつも俺を無視しやがってェぇえエええッ！俺だってここにいるんだ！俺だって生きてんだ！もっと俺を見ろよ！見てくれよ！
上条,テメエ……それが理由かよ
男子生徒,……はぁ？
上条,御坂をこんなにした理由はそれかって聞いてんだ……
男子生徒,ああ……へへ、そうだよ！レベル5をぶっ殺せば俺だって目立てるだろ輝けるだろ？！
上条,ふざけ――
弦太朗,ふざけんなっ！
上条,…………あれ？
弦太朗,目立つ方法ならいくらでもあったろうが！なのになんでこんなバカなまねして一回切りの青春無駄にしてんだよ！
男子生徒,うるさい！お前みたいなヤツにはわかんないんだよ！どうせお前は強くて、自分に自信があって……
弦太朗,そんな時こそダチを頼んだろ！
男子生徒,いねええええええんだよぉおおおお！察しろクソがぁああ！！！
弦太朗,俺がいんだろぉおおおがぁあああああッ！！！
男子生徒,なっ！
弦太朗,俺はお前を知ってんぞ……越谷卓！お前は普段は確かに大人しいけど、美化委員の毎朝の清掃活動……みんなダラダラやってる中でお前だけが一生懸命頑張って掃除してた！！
卓,なんで……
弦太朗,お前の作った作品がコンクールで受賞されて学校に飾ってあることも知ってる！お前にはお前しかねえイイもんいっぱいあるじゃねえか！
卓,なんでお前が知ってる！？
弦太朗,俺と当麻とお前は一緒の学校一緒の学年！クラスは違うが俺はお前と友情の握手を交わしたはずだ！！
上条,え、マジで？
卓,あっ……
弦太朗,たった二日前の話だってのに仕方ねえヤツだ！忘れたならもう一度名乗ってやる！俺は如月弦太朗！学園都市の生徒全員と……お前と友達になる男だッ！
卓,……く…ぁ…
晴人,変わらないな弦太朗は……
卓,ありがとう……でも、もうダメなんだ
弦太朗,卓ッ！
卓,もう俺は戻れない……！！
弦太朗,やめろォおおっ！
晴人,弦太朗の友達！その娘を連れて逃げろ！！
上条,でも！
晴人,その娘をまた危険な目に遭わすつもりか！！
上条,ッ……わかりました。お願いします！
男子生徒,ァああアあぁアァああァッ！！！
晴人,……おいおい、マジかよ
弦太朗,卓……このッ！
晴人,待て弦太朗！
弦太朗,ァッチ！
晴人,逃げたか
弦太朗,クソ……
晴人,弦太朗……
？？？,ジャッジメントですの！
晴人／弦太朗,あん？
？？？,みゃッ！？
伊達,へぇ、じゃあナットウはこの先の頂点突起？学園に用があるわけだな
仁藤,だからナットウじゃなくてニ・ト・ウ！つかなんでおっさんついて来てんだよ
伊達,まあまあ皆まで言うな
仁藤,俺のセリフ盗るなよ！
伊達,リスペクトリスペクト、キャーキャーかっこいい！
仁藤,お、おう！リスペクトなら仕方ねえな！
伊達,んまーバカワイイこと
仁藤,でもおっさんの用事はいいのかよ？偉い医者に会うとか言ってたろ
伊達,あーいーのいーの、どうせ行ったって年甲斐なくお小言をちょうだいするだけだからな
仁藤,なんだそれ？
伊達,色々あんだよこの年になると
仁藤,おっさん臭え……
伊達,え……そんなに臭う？
仁藤,そういう意味じゃねーよ！ったく調子狂うぜ……
伊達,俺としては中々調子付いてきたけどねぇ、ナットウはノリがいい！後藤ちゃんにも分けてあげたいわ！
仁藤,仁藤だって言ってんだろ！いい加減にしろ！
伊達,……それはそうと、人いなさ過ぎじゃない？
仁藤,ここは学生の街だからだろ？平日だし
伊達,にしてもこれは……
黒服サングラス,…………
伊達,な、なな、ナットウちゃん？なんかすっごいお迎え来ましたよ？
仁藤,いやいや！俺こんなの聞いてねえぞ！？
黒服サングラス,…………
ﾏｽｶﾚｰﾄﾞ・ﾄﾞｰﾊﾟﾝﾄ,…………
伊達,ナットウ……下がってろ
仁藤,何言ってんだおっさん、あとは若いもんに任せて退いてろって
伊達,いいからいいから……な？。変身！
仁藤,お、おお～！なんだよ！おっさんも魔法使いだったのか！？。逃げろったって逃げようがねえよっ！っと。危ねえ！？。おっさんてめえ！……まあいいや、あんがとよ
御坂？,…………
仁藤,やべ、大丈夫だったかそこの女の子？
御坂？,……ええ、どうも
仁藤,な……ッ……
御坂？,そうですね、ミサカはもうミサカではないので、名乗るなら……《サンダーバード》
伊達,どうだい？ハンサムだろ。どうも……そいつ絶対殺すなよ。……なるほど。…………クッソォオオオッ！
映司,くっ……いい加減諦めてくれない？。ハァ…ハァ……。～～ッ。後藤さん！？。これバースバスター！よしッ。はい！……ハァッ。わああああああっ！！！
仁藤,ッ…ダァ～ッ！くそぉどこだここ！出せー！牢屋に入れられるようなことしてねえだろぉ！
御坂？,おはようございます
仁藤,あー！お前さっきはよくもやりやがったな！
御坂？,食事を持ってきました
仁藤,ま、まあ、腹が減っては戦はできぬって言うしな……マヨネーズしかねえじゃねえか！
御坂？,好物と記憶していますが……はて？
仁藤,そうだけどそうじゃねえよ！ったく……
御坂？,それでは、食べながらで構いませんのでこちらをご覧ください
仁藤,なんだ？奥の壁が上がって……うまっ
機械に繋がれた少女,…………
仁藤,な！？
御坂？,……ご安心ください。そのガラスは特別製であちらからこちらは見えていないので
仁藤,……これを俺に見せてどういうつもりだ。あの娘にあんなことして何してやがる
御坂？,悪巧みですが？
仁藤,お前……可愛い顔しているからって何でもしていいわけじゃねえぞ
御坂？,ミサカはむしろ不自由を強いられています。本当はミサカだって自由に生きたいんですよ？
仁藤,…………
御坂？,……悪巧みの内容ですが、あなたにはこれを着けてもらいます
仁藤,これはビーストの！？あの時ぶっ壊れたハズじゃ！
御坂？,もちろんこのドライバー自体はレプリカですが、だからといって中身までレプリカではありませんよ
仁藤,キマイラを……つかまえたってのか。けど、そんな明らかな罠に
御坂？,応じますよ。だってあなたは……
機械に繋がれた少女,ああああああああああああーーーーーーッ！！！！！！
仁藤,～～～～～ッ！や、止めろ！
御坂？,仮面ライダーですから
仁藤,……皆まで言うな、いいぜ…上等だ。変～～身ッ！。けど、あんまり魔法使いを舐めるなよ！きっと後悔することになるぜ！
［第七学区-某警備員,アンチスキル
翔太郎,ッ…ここは……？
照井,気付いたか…
翔太郎,照井？……って
フィリップ,………
映司,痛たぁ……
後藤,我慢しろ、どうせすぐ動くんだからキツ目に包帯を巻いておく
翔太郎,こりゃどういうことだ？
黄泉川,んなもんこっちが聞きてぇじゃん
翔太郎,おおぅ…！これは、お見苦しいところをお見せして……どうも、マドモアゼル。俺は左翔太郎……ハードボイルドな探偵さ
黄泉川,あーはいはい。んで、照井、怪人怪物云々に関してはまだ眉唾ものだけど……実際にウチの生徒や他にも実害がある以上、警備員アンチスキル
翔太郎,流された～！
照井,了解した。おい左…始めるぞ
翔太郎,……おう
照井,左が目を覚ました。さっそくだがはじめよう
フィリップ,おはよう翔太郎。無事でよかった
翔太郎,おう、フィリップ……こりゃどういう状況だ？お、涙子ちゃんも無事でなにより
佐天,ど、どうも！
フィリップ,どうもこうも、怪人あるところにライダーあり。もはや僕達の習性だね。では、検索を始めよう……とはいえ若干手詰まっているんだけどね
翔太郎,なんだ情報が足りねえのか？
フィリップ,ああ、残念ながら。佐天涙子の友人《御坂美琴》、使っていたメモリ《レディオノイズ》……これだけでは絞ることができなかった
照井,容姿が酷似していたと聞いた。姉、妹、家族を含んでの結果は？
佐天,御坂さん……
フィリップ,当然名前が浮上してきた以上、御坂美琴についても検索済みだ。しかし、彼女には姉妹はいなかった
翔太郎,まあ、姉妹っていう人数でもなかったしな。ネズミかっていうぐらいぞろぞろと……いや、失言だな
佐天,ぞろぞろ……同じ御坂さん……？。なんかどこかでそんな話をしたような聞いたような……
フィリップ,もしかしたら、御坂美琴という人物とは全く関わりがなかったのかもしれない……というのが現状。だから翔太郎…検索に使えそうな情報はあるかい？Wの変身が解けた後彼女たちと何か話をしたりしたかい？
翔太郎,情報になりそうなことは何も。ただ……あの少女の死体に目をやりながら。《ミサカを解放してくれてありがとう》だとよ
フィリップ,気になる発言ではあるが……それではどうしようもない
佐天,あ、あのぉ……
映司,どうかしたの涙子ちゃん？
佐天,もしかしなくてもバカみたいな話なんですけど……一つだけ
後藤,構わない。どんなことでも今は情報が必要だ
佐天,……レベル5の超能力者の軍事クローンがいるなんて都市伝説が……その……ありまして
フィリップ,――ッ！
佐天,ごめんなさい！ごめんなさい！やっぱり聞かなかったことにして――
フィリップ,ビンゴだ……佐天涙子。君はまるでアキちゃんみたいだね
翔太郎,は？どう見てもアキコより涙子ちゃんの方が可愛い……
照井,ア゛ァ？
翔太郎,ま、まあ、アキコはアキコで可愛いと思うけどな、うん
後藤,何やってるんですか照井さん……それよりフィリップさん、結果は？
フィリップ,ああ、だがその前に佐天涙子……悪いが君は少し席を外してくれないか？聞き耳などは立てないように
佐天,はい……わかりました
映司,ごめんね涙子ちゃん！黄泉川さんお願いします
黄泉川,はいはい、じゃあこっちでジュースでも飲んでろじゃん。持ってたドーナツもあることだし
佐天,……はーい
フィリップ,ただでさえ危険な状況なのに、これ以上彼女を巻き込むわけにはいかないからね
翔太郎,ヤバいのか？
フィリップ,禁忌だよ
照井,禁忌？
後藤,一体それは……
フィリップ,レディオノイズのメモリの所持者、彼女達は……。御坂美琴の《死んだはず》のクローンだ
弦太朗,スッゲー！一瞬で別のところまでキター！
晴人,あ、ドーナツ……。よっと、おお無事回収出来たな
弦太朗,スッゲー！なあなあ、このパソコンスゲーな！あんたが操作してんのか？
初春,うぇひ！？そ、そうですよ
弦太朗,は～まるでKENGOみたいだな。俺はさっぱりだから羨ましいぜ
初春,しょ、しょんにゃことにゃ、ないですよ……覚えてしまえば誰だって
弦太朗,んなことねえって！自信持てよ！
初春,はわ！や、やめてください、お花散っちゃう///
晴人,ん…うま
固法,え？何これ？
晴人,どうも
固法,ど、どうも……
晴人,どうして俺たちがここに連れ去られて来たのか知っているかい？
固法,あ、すみません！乱暴にしてしまって、けれどあんな怪物が近くにいるとなると一般人のあなた達を避難させるためにはああするしか……
晴人,ああ、そういうこと……それなら素直に感謝しておくか、あむ
固法,私からも……質問させていただきます
晴人,どうふぉ……
固法,あなたは何者？怪物を見たのに動じてない……それにさっきそのドーナツどうやって取り出したの
晴人,俺は魔法使い……怪物に動じてないのは、あれを倒すのも俺の役目だからだよ
固法,魔法使い……。初春さん！
初春,ひゃい！？
固法,救急車をお願い！
晴人,うん…まあ、そうなるよな
弦太朗,え？晴人さんどこかケガしたのか！？
晴人,はぁ……お嬢様、お手を拝借
固法,ええ！ちょっといきなり――。な、にを……
晴人,おやすみ…メガネはここにおいておくからな
初春,こ、固法先輩！
晴人,眠ってるだけだ。さて、弦太朗……行くぞ
弦太朗,……オッス
初春,待ってください！危険ですよ！あの怪物は御坂さんでさえ手も足も出なかったんですから
晴人,御坂……襲われていた子か
初春,そ、そうです。御坂美琴、学園都市最強のレベル5……そんな人がどうしようもなかったんです。これ以上被害を出すわけには……
弦太朗,なあ、その御坂ってのは飾利のダチなのか？
晴人,あれ？いつの間に名前……
初春,はい、最近変な人に付きまとわれてるって……御坂さん今日その人と決着つけるって言って…だからハッキングして監視してたんです……そしたら、男の人が……ぅぁ…みしゃかしゃんを……
弦太朗,そうか、なら余計に行かなくちゃならねえ。ダチのダチも俺のダチだからな
晴人,ダチのダチもお前のダチ、そして敵もお前のダチ……ややこしいな
弦太朗,そんなことねえッスよ！ダチが困ってたら手を差し伸べる！ダチが道を踏み外したら引っ張り上げる！ただそれだけッス！
晴人,フッ……お前らしいな
初春,弦太朗さん……
晴人,なあ……初春さん、であってる？まあとにかく、あの怪物のことは俺たちに任せて欲しい。俺も弦太朗も、君の友達よりは頼りなく見えるかもしれない。けど……
弦太朗,俺たちは負けない。誰が相手だろうと絶対に！信じてくれ飾利！ですよね晴人さん！
晴人,そういうこと……俺たちが君の希望になる
初春,めちゃくちゃだ……何の根拠もないのに、今さっき会ったばかりなのに……でも、なんでだろう……。ーーッ！少し待っててください！。信じてみたくなっちゃいました
晴人／弦太朗,…？
初春,あの怪物を居場所を割り出します！本当はこんなことしちゃいけないんですけど……でも、今回は……この街にいるならどこにいても私の眼から逃れることはできません……
晴人,すごいな
弦太朗,早え～
初春,監視カメラなどに映った怪しい影、観測される様々なエネルギーなどのデータ、SNSや掲示板の書き込み……全部チェックする。絞り込む絞り込む絞り込む……見つけた
晴人,どこだ？
初春,第十九学区の…使われていない工場です！
弦太朗,よっしゃ…あとは任せとけ！俺たち仮面ライダーがズバッと解決してやるぜ！
初春,仮面ライダー？
弦太朗,おう！学園の平和を、みんなの希望を守るヒーロー！仮面ライダーだ！覚えとけよ！
晴人,よし、行くぞ。助かったよ初春さん
弦太朗,じゃあ、またな飾利！やっぱお前スゲーよ！
初春,は、はい！……って、行っちゃった……
固法,あふぅ
初春,白井さんへの言い訳考えとかないとなー。弦太朗さんと晴人さんかぁ……かっこよかったなぁ。佐天さんに自慢しとこーっと
後藤,どうもこちらの動きが読まれていたようだな
映司,そうみたいですね……。翔太郎さん達うまくいってればいいんだけど
後藤,この分だとなんともいえないな……だが、俺たちの方にグリードがあてがわれてよかった
映司,餅は餅屋……グリードには俺たちってわけですね
後藤,狙いはコアメダルだ
映司,はい！。ところで……
後藤,なんだ？
映司,武蔵野警察署の超常犯罪捜査課って何やってるんですか？
後藤,…………。鴻上ファウンデーションの尻拭いだ……
映司,うわぁ……
後藤／映司,変身！
照井,このカプセル状の機械に入っているのが被害者のクローン……この街は腐っているな
翔太郎,全くいい趣味してやがるぜ……なんか児童ポルノとかでしょっぴけねえのか？
照井,そうしてやりたいのは山々だが、この街に警察は関与できない。今回は特別なんだ
翔太郎,おわ！？
照井,機械が…！？
御坂？,……おはようございます。と《ミサカ達》はのびをしながらあいさつします
翔太郎,……案外すんなり出てくんだな。とりあえず服を着な、風邪ひくぜ
御坂？,いえいえ、どうせすぐ済みます。と《ミサカ達》は目の前のスケベやろーに向かって言い放ちます
翔太郎,んだと！……いや、んんッ！なあ、お嬢さん……手を引いてくれねえか？そっちだって本当はこんなことしたくねえんだろ
照井,今ならまだ引き返せる
御坂？,何をトンチンカンなことを、確かに《ミサカ》はあの娘を解放してくれたことに対して感謝の意を表しました。あの娘は解放されたがっていたので……しかし、《ミサカ達》の総意は変わりません
照井,復讐…いや、成り代わりか
翔太郎,なんでこうなっちまうのかな……クソ
フィリップ,やはり戦闘になったか……
翔太郎,行くぜ、フィリップ！
照井,変……
フィリップ／翔太郎,変身ッ！
照井,身ッ！
晴人,この辺りか…花冠の女の子が言っていた場所は
弦太朗,卓…絶対助けてやるからな
晴人／弦太朗,ッ！
晴人,仁藤！？
弦太朗,仮面ライダーがなんで…？
晴人,……操り人形なのはお前達の方だろ？
弦太朗,晴人さん、鳥の相手は俺に任せてあんたはダチを正気にもどしてやれ！
晴人／弦太朗,変身ッ
(O\l|,いや…嘘だ……答えなんてとっくに出ている。だが……。ここまでか！これ以上は翔太郎と照井竜の体がもたない！
御坂？,…か……ァ…
|l/O),クソ！クソォッ！これが仮面ライダーのすることだってのか！
御坂？,く…ぁ…め、メモリが……。ミサカ達は…ただ…生きたかっただけなのに……。どうしてそれが許されないの……？
照井,クソ…思った以上にダメージを受けていたようだな。だが……。……ああ、その通りだ。お前達は先に行け。だが黒幕だけはしっかり捕まえて帰れよ
W任せろ,任せてくれ
照井,…………
御坂？,
照井,俺は……俺はッ！！。アアアアッ！！！！
Pバース,手持ちのメダルは……もうあんまり残ってないか。さぁて、どうするかね。やべえ……頭がボーッと……
Pバースそもそも、人間なんてみんなでっかい欲望,バケモノ
御坂？,ミサカは……
伊達,その欲望、解放しな
御坂？,人…間…がいいです……怪物なんて嫌ぁ……
伊達,ったく、子どもがごちゃごちゃ悩まなくてもいーの。どうせ大人になりゃ嫌でも馬鹿みたいに考えなきゃならねえんだからな
御坂？,ぁぅ……ぅぅ…ぁぁぁ！
伊達,はいはい、大丈夫大丈夫。俺はここでリタイアだな。メダルもねえし……あとは任せたぜ若いの
御坂？,ぅぅ……はぅ…
伊達,ハッピー…バースデイ……なんてね
後藤,く…この炎を……操る能力は！
映司,アン…ク……
後藤,ひ、火野ッ……ぐっ！
映司,くっ…が、はっ……。レプリカのタカメダルが！。うああっ！。あれは！？だ、ダメだ！それは！。それはアンクの！。あ、ああ……アンク……。お前ぇ！アンクを返せぇええっ！！！
後藤,馬鹿！寄せ火野ッ！。クソ…バースのベルトが損傷して変身出来ない！
映司,うああああっ。ハァ…ハァ……くっ、このっ離せニセモノ！。な、ん……がはっ
アンク,ほんっとうに……相っ変わらず底抜けの馬鹿だなお前は
映司,いたた……
後藤,なんだと……こんなことが
アンク,オイ、映司！
映司,は、はい！
アンク,お前何メダル盗られてんだ、あ゛あ゛！
映司,うっ…ご、ごめん…で、でもなんでアンクが？
アンク,はっ！お前俺を誰だと思ってやがる……俺は本物のグリードだぞ、あんな出来損ないのクズグリードになんて飲まれてたまるか！というか話をそらすなこのバカ！
映司,痛ッ！もう…本当ごめんって
アンク,フン！
後藤,本当に…あのアンクなのか？
