上原ひまり,ん～みんなまだかな～
つぐみ,巴ちゃん！モカちゃん！はいっ！追加ですっ！。ｚｚｚ…………
モカ,ついにダウンしたねぇ……
巴,こうなるといつもアタシとモカしか起きてないよな。しかし、何度見てもつぐの豹変っぷりはすごいな
モカ,デビルつぐ…………？
巴,あはは！いいなデビルつぐ！
モカ,ほんと久しぶりにこんな楽しんだ気がするなぁ。普段の生活とはまた違って……。やっぱこの五人は特別ってかんじだよねぇ
巴,モカにしてはずいぶん詩的な言い回しだな
モカ,ずっと一緒にいたからいつの間にかうつったのかも～なんて。ん～やっぱりあたしも酔ってるなぁ。少し外の風にあたってくる～
巴,おう、いってらっしゃい
蘭つぐみひまり,ｚｚｚ……
巴,まったく……。ほんとにいつまでも変わらないな。そういや小さい頃もモカとアタシだけは起きてて三人は爆睡してったけ。そうか、もうあれから１０年以上経ったのか。はは、アタシも酔ってるな
ひまり,んん……。ふぁ……
巴,おっ起きたか
ひまり,っ！頭いたっ～。私そんなに飲んでた？
巴,ああ、がっつりな。ほら水。ふっ、ひまりはなんも変わんないな！
ひまり,なにそれどういうこと～！？
巴,とりあえず……。ほら、水飲め
蘭,ん、ありがと
モカ,あれ～？みんな起きた～？
巴,いやつぐはまだ寝ちまってる
ひまり,そろそろでよっか
モカ,もう外明るくなってきてるよ～
巴,そうだな。つぐはおぶっていくか。よっと！
つぐみ,ん……。むにゃ……
モカ,トモちんとつぐの荷物もつよ～
巴,おう、サンキュ。じゃあ、つぐをこのまま家まで連れてくから。ここでお別れだな
モカ,荷物もってるしあたしもトモちんについてくよ～
ひまり,うん！また今度みんなで予定合わせて遊びに行こう！
蘭,気を付けてね
モカ,ふぁ……。さすがのモカちゃんも眠いよ～
巴,そうだな……。……モカ、アタシもこの五人が特別だ。なんていうか、五人で変わらずにいられることが大切なんだ
モカ,……ふふ、そうだね～
つぐみ,…………うん。私もそう思う
巴,つぐ起きてたのか！？
つぐみ,今さっき。もうおろして大丈夫だよ。ありがとう巴ちゃん
巴,そうか？ほいっと
つぐみ,よいしょ……。ってあれ？
モカ,ふっふっふっ～。ならばこのモカちゃんがつぐをおぶってあげよう。トモちん荷物もって～
つぐみ,えっ？あっちょっ！？。危っ、モカちゃん危ないよっ！？
モカ,だいじょーぶ、だいじょーぶ。トモちんおいてっちゃうよ～
つぐみ,モカちゃん！おろして！？
巴,ああ！今行く！
ひまり,蘭はさぁ……
蘭,なに？
ひまり,えーっと、最近どうかなって
蘭,……華道の修行は毎日してる。べつに普通の生活だよ
ひまり,普通の生活……か
蘭,ひまりはさ、あたしが心配？
ひまり,あはは……。わかっちゃう？
蘭,大丈夫だよ、強がりじゃない。この道はみんなと決めた道だから
ひまり,…………そっか
蘭,あのときのみんなの説教は効いたよ
ひまり,それは蘭がまた一人で悩むからいけないんですっ！
蘭,ほんとにみんなには迷惑かけっぱなしだよね
ひまり,だーかーら！迷惑とかそんなの考えるの禁止！リーダー命令っ！。とにかく！なにかあったら私たちを頼りなさい！
蘭,わかったよ、リーダー
ひまり,ん～っ！！！気持ちいい朝だ！
蘭,………そうだね
ひまり,………またね。蘭
蘭,うん。また。ただいま。……ありがとう。
ひまり,よしっ！これでオッケー！。にしても、つぐは相変わらず意外とアグレッシブだよねぇ
蘭,リーダー命令って何かと思えばいきなり作詞しろなんて……
ひまり,ごめんって！
つぐみ,ごめんね……？ムリ言っちゃったかな……？
蘭,いや、久しぶりだったけど書けたし、…………それに楽しかったから
モカ,モカちゃん頑張って作曲したんだから褒めてね～
巴,たしかにいつになく真剣なモカが見れて新鮮だったよな
つぐみ,もう一回みんなで演奏したいと思ってたから……。でも曲作りって難しいね……。蘭ちゃん本当にすごいことやってたんだなって尊敬しちゃった！
ひまり,だいぶ時間かかっちゃたんだよねぇ
巴,で！歌詞はどうなったんだ！？
蘭,うん、これ。えっと、ダメだった……？あたしも久しぶりだからあんまり自信が…………
つぐみ,すごいっ！これすっごくいい歌詞だよっ！
モカ,エモいですな～
巴,ああ、いい歌詞だと思うぜ。それに――
ひまり,――それにこのタイトル、すごく私たちらしいじゃん！うん！スタジオ行こう！はやく演奏しようよ！
蘭,いや、気が早すぎるでしょ……。それにそんな急にスタジオ取れないし
ひまり,私にまかせなさい！
蘭,ほんとに借りれた……
巴,………久しぶりだなこの感覚
つぐみ,うん、久しぶり
モカ,モカちゃん準備オッケー
蘭,じゃあひまり、いつものよろしく
ひまり,えっ！？。みんないくよ！えい、えい、お～！
ひまり以外,……
ひまり,やっぱりね！！！！
巴,うっし！いつも通りだな
つぐみ,いつも通り！
モカ,いつも通り～
ひまり,いつも通りだ！
蘭,……いくよ――――――
