氷川紗夜,はぁ……
紗夜,……質問が悪かったわね。どうしてあなたはジャージで登校しているのかしら？
はぐみ,１時間目が体育だし、どうせ着替えるなら家から着ていった方が早いかな～って思ったんだ！
紗夜,気持ちは分かりますが、登下校の際は制服を着用するようにと校則で決まっています。……これは何度か言いましたよね
はぐみ,うっ……確かに言われたよーな気が……
紗夜,はぁ……。悪気のなさそうな反応にため息を吐きながら思う。どうにも彼女が少し苦手だ。……いや、苦手というのは語弊があるわね。北沢さんの、良くも悪くも純真で人懐っこいあどけなさが……幼いころの日菜と少し重なって見えてしまう。そうなるとどうにも強く注意が出来なくなってしまうのだ。日菜に対して未だに何かの負い目を感じている、という訳ではないと思う。ただ思い出はいつでも美しく見えるものだ。北沢さんの笑顔を見ると、小さなころの妹の屈託のない笑顔が脳裏をかすめる。すると私のものさしは幾分か甘い方向に狂ってしまうようだった。本来ならば再三の指摘に応じないとなると生徒指導室に呼び出すことになるのだが、私は何度か同じことをしている彼女を見逃してしまっている。与えられた職務に対して責任を全うしていないことに後ろめたさを感じるが、それでも私は次から気を付けるようにという言葉を出してしまうのだ。しかしいい加減にこんな贔屓じみたことをするのはやめなくてはいけないだろう
はぐみ,ごめんなさい、紗夜先輩……
紗夜,…………。しゅんと落ち込んだような表情を見て、次から気を付けるように。生徒指ど……いえ……。しかし用意しておいた生徒指導室へ来るように。中途半端なところで区切ってしまった言葉の続きをどうするべきか悩む。……お昼休みに話があります。昼食を食べ終わったら、中庭まで来てくれませんか？出来れば松原さんも一緒に
はぐみ,はーい……
花音,えっ、わ、私も……！？
紗夜,そして最終的に出された言葉は、贔屓どころかただの私用にすぎないものだった。……いい天気ね。私は中庭にあるベンチに座り、誰に聞かせるでもなく独り呟く。自分の勝手な都合で北沢さんと松原さんを呼び出しておいて遅刻する訳にはいかなかった。だから私はお昼休みになってすぐに中庭までやってきた。ここで昼食を済ませてしまえば彼女たちを待たせるようなこともないだろう。その目論見通り、中庭にはまだ２人の姿は見えなかった。大きな桜の木と、その周りで友人同士とお弁当を広げる生徒たちを眺めつつ、私も自分の膝の上に自作のお弁当を広げる。羽沢珈琲店でのお菓子教室以降、たまに自分でも簡単な料理を作ってみたりしている。腕の方はまだまだ未熟であるが、自身で食べる分には問題ないくらいのものは作れるようになった。いただきます。小さく声に出してお弁当を食べ始める。時おり吹き抜ける風が桜の花びらを舞わせる。今年も気付けば春になっていて、いつの間にか桜も半分ほどは舞い落ちてしまっていた。もう今年の桜は散る一方だろう。ただ、私は今くらいの桜がそれなりに好きだった。ありふれたノスタルジーに浸れる寂しげな雰囲気が妙に心地いい。花は桜木、人は武士……とはよく言ったものだ
花音,あ、さ、紗夜ちゃーんっ
紗夜,お弁当を食べ終わってぼんやり桜を眺めていると、右手側から松原さんの声が聞こえた。そちらへ顔を向けると、彼女がこちらへ走ってくる姿が見える
花音,ご、ごめんなさい、遅くなっちゃって……
紗夜,いいえ、いいんですよ。私が早く来すぎただけですから
花音,う、うん……
紗夜,私の返事に頷くものの、何故か松原さんは直立不動になっていた。……どうしてそんなに畏まっているんですか？
花音,え、えっと……私、なにか気付かないうちに校則違反でもしてたのかなって……
紗夜,ああ……なるほど……。どうやら松原さんは、私から呼び出されたのは何かをしでかしてしまったからだと思っているようだった。すみません、松原さん。言葉足らずでした
花音,え？
紗夜,あなたと北沢さんをこちらに呼んだのは風紀委員としてではありません。その、非常に申し訳ないのですが、個人的なお願いがあってのことだったんです
花音,そ、そうだったんだ……よかったぁ……
紗夜,松原さんはそう言って大きく息を吐き出した。その反応を見るに、私の配慮が足りなかったせいでいらぬ気苦労を負わせてしまっていたようだ。本当にごめんなさい。本来ならお願いする立場の私があなたたちの元へ出向くのが道理だったんですが……あの場でもっと説明するべきでした
花音,あ、ううん、全然大丈夫だよっ。それで、私とはぐみちゃんにどんな用事があったの？
紗夜,それはですね――
はぐみ,こんにちは～っ！紗夜先輩、かのちゃん先輩！
紗夜,言いかけた言葉が大きな声に遮られる。声のした方へ視線を動かすと、元気いっぱいな笑顔で駆け寄ってくる北沢さんの姿が見えた
花音,こんにちは、はぐみちゃん
紗夜,こんにちは
はぐみ,お待たせしちゃってごめんね。ちょっと迷子になってる新入生の子がいたから、職員室まで案内してあげてたんだ
紗夜,いえ、いいんですよ。私の都合でここに来てもらったんですから。それよりも、下級生に親切にするのは素晴らしいことだと思いますよ
はぐみ,えへへ、困ってる人がいたら助けろってとーちゃんにもよく言われてるからね！当然の行いだよ！。それに道案内ならかのちゃん先輩で慣れてるしね！
花音,うぅ……いつもごめんね、はぐみちゃん
はぐみ,んーん、全然ダイジョーブだよ！それで、紗夜先輩の用事って？あっ、もしかして……ジャージで登校してたから、罰として中庭の草むしりをやれとか！？
紗夜,いいえ、違いますよ。ジャージの件は今後気を付けてくれれば結構です。今日ここに来てもらったのは、私の個人的なお願いがあるんです
はぐみ,個人的なお願い？
紗夜,ええ。２人とも、もし今後予定が空いているようなら……しばらく私とバンドを組んでくれませんか？
花音,バンドって……
はぐみ,はぐみたちがいつもやってる、あのバンド？
紗夜,はい、そのバンドです。あ、もちろんあなたたちのバンドを抜けて、とかそういった話じゃありませんよ。私もロゼリアを脱退する訳ではありませんから
花音,そ、そうだよね、よかった……。でも、どうして？
紗夜,……恥ずかしい話なのですが、最近、自分のギターに何かが足りないと悩むことが多くなっていまして……。それを湊さんに相談したら、ロゼリア以外の人たちと１度演奏をしてみればいいとアドバイスを貰ったんです。ですから、これは完全に私の身勝手なお願いです。都合が悪いようなら断ってもらって平気な――
はぐみ,はぐみはいーよ！
紗夜,言い切る前に、北沢さんから元気な声が発せられる。それに少し呆気に取られてしまった。……お願いしている立場で言うのもなんですが……そんなにあっさり了承してしまっていいんですか？
はぐみ,え？どうして？
紗夜,どうしてって……北沢さんにも松原さんにも個人的な事情や、ハローハッピーワールドの活動があるでしょう？
はぐみ,それならヘーキだよ！はぐみ、ソフトボールも今はそんなに忙しくないし！
紗夜,だとしても、バンドの方は……
はぐみ,はぐみたちは世界を笑顔にするバンドだもん！紗夜先輩が困って笑顔じゃないなら、紗夜先輩を助けて笑顔にするのもハロハピの活動だよ！
紗夜,北沢さん……
花音,そうだね、はぐみちゃん。私も大丈夫だよ、紗夜ちゃん
紗夜,松原さんも……。……すみませ――いや、ありがとうございます、２人とも。２人の厚意に感謝の気持ちと少しの申し訳なさが胸中に沸き起こる。本当に、この１年で私は素晴らしい人間関係に恵まれたのだと思う。短い間ですが、よろしくお願いします
はぐみ,うん！よろしくね！
花音,よろしくお願いします
紗夜,お昼休みに北沢さんと松原さんにバンドの件を快諾してもらい、それから残りのメンバーをどうするかという話になった。残りはボーカルとキーボード。ちょうどハローハッピーワールドのメンバーがギターの瀬田さん以外全員花咲川に通っているので、そこに私が入るのはどうか、という案もあった。しかし、せっかくならいつもとほとんど違うメンバーで演奏をしてみたい。それからかーくんとかに一緒にやらないか聞いてみるね！。誘ったメンバーとは、放課後に、昼休みの時と同じく中庭で顔合わせをすることになっていた。そしてそれが今である
戸山香澄,紗夜先輩っ、よろしくお願いしますね！
若宮イヴ,よろしくお願いしますっ！
紗夜,戸山さん、若宮さん、私のわがままに付き合ってくれてありがとうございます
香澄,いえいえ！ガルパの時もみんなで演奏してすっごく楽しかったですし、むしろはぐに誘ってもらえて嬉しいですよ～！
イヴ,義を見てせざるは勇なきなり、です！困っている人を助けるのはブシドーの心得ですから、どうぞお気になさらないでください！
紗夜,そう言ってもらえると助かります。２人とも、よろしくお願いしますね。北沢さんもありがとうございます。私だけではこんなにスムーズにメンバーを集められませんでした
はぐみ,どういたしまして！えへへ、きっとこの５人なら楽しいね！
花音,そうだね、はぐみちゃん
紗夜,…………。メンバーを集めてもらったことはとてもありがたいことだ。それにこんなわがままにも笑顔を付き合ってくれる良い人ばかりなのも感謝してもし足りないくらいだ。それはもちろん分かっている。ただ……
香澄,こうやってポピパ以外の人と演奏するの久しぶりだなぁ。えへへ～、なんだかすっごくドキドキする！
イヴ,私もです！こうしてまた一歩、ブシドーを極められますね！
はぐみ,どんな曲やろっか？はぐみはしゃらら～ってしてシューン！ってする感じの曲とかがいいな！
紗夜,……先行きに若干の不安じみたものを感じるのはどうしてだろうか……
香澄,んー、しゃらら～ってしてシューン！とする感じの曲か～、どんなのがあるかなぁ～。紗夜先輩はどういう曲がやりたいっていうの、ありますか？
紗夜,私は……そうですね……
香澄,あっ、ちなみに私はありますっ！やってみたいな～って思ってた曲があるんですよねっ！でもそれはポピパでっていうのとはちょっと違うかなって思ってたんで、それがやってみたいです！
紗夜,そ、そうですか。であれば、私はそれでも――
はぐみ,あー、かーくんずるい！はぐみもやってみたいなって曲あるよ～！
イヴ,私はみなさんにおまかせです！
花音,わ、私も、おまかせで……
紗夜,……では、戸山さんか北沢さんのどちらかの希望の曲にしましょうか
香澄,ぃよーし、それじゃあはぐ！正々堂々、じゃんけんで決めよう！
はぐみ,負けないよー、かーくん！
紗夜,そう言って、２人は真面目な顔をして向き合う。ロゼリアであればじゃんけんで演奏をする曲を決めるなど見られない光景だ。仮定の話だけど、実際にそんなことで曲を決めるとしたらどんな時だろうか。……精々、ライブの最後のアンコールで演奏する曲を決める時とか、そのくらいだろう
香澄,やったーっ、勝ったぁ～！
はぐみ,うぅ～……負けちゃった……
紗夜,そんなどうでもいいことを考えていると勝負がついたようだ
香澄,えへへ、それじゃあ曲は私のやりたいやつでお願いします！
紗夜,はい、分かりました。……北沢さん、残念でしたね
はぐみ,うーん、残念だけど負けちゃったものはしょうがないもんね。よーし、それじゃあかーくんの曲で頑張るぞ～！
紗夜,しょぼんと落ち込んだ様子から一転して、北沢さんはすぐに笑顔になって右こぶしを空へ突き上げる。その変わり身の早さ……というか、後腐れのしないさっぱりとした明るさに思わず笑みが零れた
香澄,うん、一緒に頑張ろーっ！
イヴ,カチドキですね！えい、えい、おーっ！
花音,が、頑張ろうね、紗夜ちゃん
紗夜,……ええ、そうですね。松原さんの言葉に頷く。改めて顔ぶれを見ると、所属もバラバラのちぐはぐなバンドだ。どんな音楽が生まれるのか想像も出来ない。でも、心の中に明るい感情が生じているような気がしていた。臨時のバンドを組むことになってから１週間が過ぎた。私に付き合ってくれるみなさんには自身の予定を最優先してもらって、その合間に演奏する曲を練習して欲しいと言ってある。当然私もロゼリアでの練習が最優先であり、戸山さんの希望する曲を練習するのは主に１日の終わり、床につく前のこの時間だった。フレットに手を滑らせ、弦を押さえる。そしてピックでそれをはじく。普段ロゼリアでは演奏をしないような調子の曲だった。エレキギターに繋いだヘッドフォンアンプからは私の音が聞こえる。いつも通りの音だ。でも、その音がいつもと少し違って聞こえるような気がしないでもなかった。それは普段演奏しない曲調のものだからか、それとも春の夜の温い空気が私を感傷的にさせているからか。新鮮さと懐かしさ、そんな矛盾している感情の波音が胸中で穏やかにさざめき合う。言葉にすると理解が追い付かないが、そんな気分だった。……？メッセージが来てるわね。視界の隅でスマートフォンのランプが点滅しているのに気付く。ヘッドフォンを外してディスプレイを覗き込むと、戸山さんからのメッセージだった。…………。きっとこれは何でもないメッセージだろう。分からないところがあるから教えてほしい、というありきたりなやり取りだ。それがやけに新鮮に感じられる。ロゼリアではギターは私１人だ。だから全体的な音楽の方向性でメンバーにアドバイスをすることはあっても、ギターだけに限ったアドバイスをすることはなかった。……あの頃はどんな気持ちだったかしら。ポッピンパーティーに誘われて、ガールズバンドパーティーに参加したことを思い出す。その時も戸山さんにギターの指導を行ったが、あの時の私は技術が全てだと言っていた記憶があった。それは確かに間違いじゃなく、今までも１番確かな、誰の耳にでも分かる演奏技術に重きを置いてギターを奏でてきた。……であれば、これは遠回りじゃないか。迷っても、変わり映えしないと感じても、ひたむきに練習を重ねること。それが氷川紗夜のギターだった。人にアドバイスをしている暇などなくて、足を引っ張るメンバーは切り捨てて、ただ高みを目指す。それが私の理想。……の、はずだった。戸山さんに返信をしてから、自嘲に似たため息が口から漏れる。こんな音楽も悪くはないんじゃないか……と。そう思う私を昔の私が見たらどんな反応をするのだろうか。きっとそんな甘えた考えで音楽をやるだなんて、ふざけないでと言うだろう。その自分の姿が易々と想像できて、それが少しおかしかった。戸山さんにアドバイスを送った夜が明けた今日、臨時バンドの初の音合わせとなっていた。放課後に校門で待ち合わせて、５人揃ってＣｉＲＣＬＥを目指して歩いた。当然と言えば当然のことだった。しかし私はそれに対して、またもどこか新鮮さを感じていた。……ただ、あまりにも元気すぎる年下３人組に少し呆れはしたけれど
香澄,ふんふんふーん♪いつも有咲の蔵で練習してるから、こうやってスタジオに入るのってなんか新鮮だなーっ
紗夜,戸山さんたちはあまりスタジオには来ないんですか？
香澄,はい！有咲の家に蔵があって、いつもそこでポピパは練習してるんですよっ
紗夜,へぇ……
はぐみ,はぐみたちもスタジオにあんまり来ないかなぁ～。こころんのお家で練習することが多いと思う
花音,そうだね。私のドラムセットもこころちゃんのお家に置かせてもらってるし
紗夜,……確かに弦巻さんのお宅であれば大抵のものは揃いそうね
イヴ,パスパレもあまり、ですね。事務所にそういった設備がありますから
紗夜,みなさん、恵まれた環境にいるんですね。改めて思い起こしてみると、確かにスタジオでよく顔を合わせるのはアフターグロウのメンバーだった。毎度毎度スタジオを借りる必要がないのであれば、金銭的にもずいぶんと助かるだろう。そういえば昔に日菜が言っていたわね。音楽関係の出費はパステルパレットの経費で落とせると。……あの時も私は日菜に対してキツく当たってしまっていたな、などという思い出も一緒に蘇り、少しだけ胸の内に苦いものが広がる
はぐみ,あれ？紗夜先輩、ちょっと辛そうな顔してない？どこか調子とか悪い？
紗夜,いいえ、なんでもありませんよ。自分としてはそういう気持ちを顔に出したつもりはなかった。しかし北沢さんにそれを見透かされたように、心配の言葉を投げられたことに少し驚く。彼女はいつも明るくまっすぐで……失礼な話だが、感情の機微に関しては疎そうだと勝手な印象を抱いてしまっていた
はぐみ,そう？ならよかった！
紗夜,……心配してくれてありがとうございます。優しいのですね、北沢さんは
はぐみ,えへへ、はぐみ、ソフトボールでもキャプテンだからね！みんなに優しくするのは当然のことだよ！
紗夜,謙遜するでもなく照れるでもなく、褒められたことが誇らしいというように北沢さんは胸を張る。その微笑ましい反応を見てフッと笑みが漏れる。それと一緒に胸中の苦みも出ていってしまったようだ。それでもありがとうございます
はぐみ,うんっ、どういたしまして！
紗夜,では、準備をして早速始めていきましょうか。まずは１度、通しで合わせてみましょう。普段は違うバンドで演奏しているメンバーだからある程度のちぐはぐな部分はどうしても出てくるだろう。ただ、ベースの北沢さんとドラムの松原さんは同じハローハッピーワールドのメンバーだ。リズム隊が慣れた人同士ならばそんなに崩れた音楽にはならないはずだ。……なんて思っていた私は甘かったのかもしれない
香澄,イェーイ！
イヴ,ブシドー！
はぐみ,あははは！
花音,ふえぇ……
紗夜,…………。テンションが上がった戸山さんのギターが走る。とにかく走る。歌声も走る。若宮さんはそういう走る音に慣れているのか、戸山さんに合わせて実に楽しそうに鍵盤を叩いている。北沢さんも同じく、笑いながら戸山さんに追いつけ追い越せと言わんばかりに弦を弾いている。その中で松原さんだけが迷走しているリズムを留めようとしていたが、結局３人に引きずられている。そしてそんな先走り続ける４人に私も合わせるしかなく、演奏はどんどん駆け足になっていくのだった
香澄,ふぅ～！やっぱりポピパ以外の人と演奏すると新鮮だなぁ～！
イヴ,はい！私もなんだかとても楽しかったです！
はぐみ,だねだね！いつものもいいけど、こういうのもすっごく楽しいね！
紗夜,最後のフレーズを弾き終わると、戸山さんは大きく息を吐き出して満足そうに声を上げ、それに若宮さんと北沢さんが同調していた。…………。仲良くじゃれ合う３人を眺めつつ、私は今の感情をどう表現するべきかを考えていた
花音,あ、あの、紗夜ちゃん……？
紗夜,……どうかしましたか、松原さん
花音,えっと、気持ちは分かるけど……あんまり香澄ちゃんを怒るのは……その……
紗夜,大丈夫です、松原さん。いま頭の中を整理していますが、怒るとかそういう気持ちはないですから
花音,そ、そう？
紗夜,はい。……それにしても、松原さんはすごいですね
花音,え？
紗夜,力強く芯のある音をずっと出していました。３人のリズムに引きずられても大元のリズムは崩れそうにありませんでしたし……とても頼りになるドラムです
花音,あ、うん……。でも、ハロハピだとリズムがあっちこっちに行っちゃうのはよくあるから……そういうのに慣れちゃっただけかもしれないけど……
紗夜,そうだとしても頼りになることは間違いありませんから。あなたを誘って本当に良かったと思っていますよ
花音,そ、そうかな？えへへ……ありがと、紗夜ちゃん
紗夜,はい。ふにゃりとはにかむ松原さんを見ながら、自分の中にあった感情が大体整理できた気がする。……ちぐはぐで、元のリズムなんかを無視した、おおよそロゼリアではしないような演奏。それを私は少し楽しいと感じていた。もちろん正確なリズムを刻まなくては、という気持ちも胸中にはあった。しかし北沢さんと戸山さんと若宮さんがとても楽しそうな表情で演奏しているのを見ると、そんな音楽もいいか、と肩の力が抜けるのだ。力の抜き加減がどうこうと今まで考えていたけれど、それを考えること自体が少し違っていたのかもしれなかった。余裕。自分の目指す音以外を許容して、ありのままに音楽を奏でること。走る音の中にいればそれに合わせ、きっちり決める音の中にいれば自分の目指す音を奏でる。私に１番足りなかったものは、ギターを弾くことを楽しみ、色々な音楽を受け入れられる余裕だったのかもしれない
香澄,紗夜さんはどうでしたか、今の演奏？
紗夜,……そうね。このメンバーらしい演奏だったと思います。戸山さんから声をかけられて、私は思考の海から意識を現実に戻す
香澄,えへへ、やっぱりそう思います？
紗夜,はい。……ただ、戸山さん。気持ちは分かりますが走り過ぎです
香澄,うっ……
紗夜,北沢さんと若宮さんもです。戸山さんに釣られすぎですね
イヴ,楽しくってつい……
はぐみ,ごめんなさーい……
紗夜,謝る必要はありませんよ。それがみなさんの持ち味なんですから。ただ、少しだけ松原さんのドラムを意識して弾いてみてください
花音,ふぇ！？わ、私の音を……！？
紗夜,はい。松原さんのドラムは力強いですからね。迷子になりそうなリズムも少しは抑えられるはずです
香澄,あ、確かに！花音先輩のドラムってすっごくいい音しますよね！
イヴ,はい！まるでお城の石垣のようにどっしりとしています！
花音,そ、そうかな……
はぐみ,そりゃあそうだよ！だってしょっちゅうドラムのスティック折るくらいだもん！。意外と力持ちだよね、かのちゃん先輩！
花音,それ……褒められてるのかな……
紗夜,ふふ……。和気あいあいと話をする４人を眺めながら、口元には自然と笑みが浮かんだ
香澄,それじゃあ紗夜先輩のアドバイス通り、次は花音先輩のドラムを意識してみますね！
紗夜,ええ。ただ、あまり意識しすぎなくても平気ですよ。いざ走ったとなれば、私と松原さんがそれに合わせますから。北沢さんと若宮さんも同じくです
香澄,はい！ありがとうございますっ！
はぐみ,よーし、それじゃもう１回合わせてみようよ！
イヴ,そうですね！サヨさんのアドバイスを生かしましょう！
花音,その、役に立てるか分からないけど……頑張るね
紗夜,はい。頑張りましょう。北沢さんたちとの初めての音合わせを行った次の日、今度はロゼリアでのスタジオ練習があった。いつも通りに早めにＣｉＲＣＬＥまでやってくると、春の陽気を浴びながらカフェの一席でコーヒーを飲んでいる湊さんを見つけた。私はそれに声をかける。こんにちは、湊さん
友希那,ええ。こんにちは、紗夜
紗夜,対面の席、よろしいですか？
友希那,どうぞ
紗夜,失礼します
友希那,……どう？いつもと違うバンドの中で演奏した感想は？
紗夜,湊さんの言った通り、とてもいい刺激を受けていますよ
友希那,ふふ、やっぱりね。最近はとてもいい顔をしているもの
紗夜,そう見えますか？
友希那,ええ。明るい表情になっているわ
紗夜,……ありがとうございます、湊さん
友希那,お礼を言われることなんてしていないわ。私はただきっかけを提案しただけだもの
紗夜,そのきっかけがとても重要だったんです。なので、お礼は言わせてください
友希那,そう？それなら素直に受け取っておくわね。どういたしまして
紗夜,はい
友希那,ところで、紗夜
紗夜,なんでしょうか？
友希那,花咲川で組んだバンドなんだけど……これからのこととかって何か考えてる？
紗夜,これからのことですか？いいえ、特には……。もちろん１度あのメンバーでステージに立ってみたいという気持ちはありますけど、みなさんの都合もありますからね。そう何曲も練習に付き合ってもらう訳にはいきませんし
友希那,そう。ならよかった
紗夜,……はい？何がよかったんですか？
友希那,ふふふ……紗夜ならそう言うと思って、私の方でも色々と準備を進めていたのよ
紗夜,準備ですか？一体何の？
友希那,対戦的な意味での対バンよ
紗夜,……はい？
友希那,紗夜が花咲川でバンドメンバーを集めたように、私も羽丘の生徒でバンドメンバーを集めたのよ
紗夜,えっ……
友希那,紗夜の率いる花咲川バンド対私の率いる羽丘バンドね。大丈夫、もうまりなさんに話は通してＣｉＲＣＬＥも押さえてあるわ
紗夜,……随分と準備がいいんですね
友希那,あなたならきっとすぐにバンドメンバーを集めて、その子たちとステージに立ってみたいと言うと思っていたからよ。日付は来週の月曜日か、もしくはあなたたちの都合のいい日。お互いに１曲ずつ演奏をして、お客さんの受けが良かった方がもう１曲を演奏する……というルールで行いましょうか
紗夜,そこまで言うと、湊さんはとても挑発的な目で私を見つめる
友希那,私からの挑戦、受けてくれるかしら？
紗夜,……そこまでお膳立てされて逃げる訳にはいきません。受けて立ちます。日付の方はみなさんに確認をとってからになりますが
友希那,紗夜ならそう言うと思っていたわ。それじゃあ、楽しみにしているわね
紗夜,湊さんはそう言って小さく微笑む。つい勢いで決めてしまったけれど、みなさんはなんと言うだろうか。……恐らく、乗り気で付き合ってくれるだろう。相手は湊さんがボーカルで、羽丘のバンドならば日菜がギターかもしれない。とても強大な相手だ。でも、その相手に真っ向から音楽でぶつかるんだと思うと……私の胸中には楽しみだという感情が沸き起こるのだった。……という訳で、湊さんの率いる羽丘の混合バンドと対バンをすることになったんですが、みなさんは――
香澄,わっかりましたー！
はぐみ,了解だよ！
紗夜,湊さんから対バンの話を持ち掛けられた翌日。中庭に集まってもらった花咲川バンドのメンバーにそのことを話すと、予想通りの返事が戸山さんと北沢さんから返ってきた
イヴ,対バン……つまりユキナさんたちとの一騎打ち、ですね！ブシドーを志すものとして、逃げる訳にはいきません！
紗夜,では、若宮さんも問題ありませんか？
イヴ,はい！腕が鳴りますね！
紗夜,ありがとうございます。松原さんは……
花音,う、うん。私も大丈夫だよ、紗夜ちゃん
紗夜,ありがとうございます。それで、湊さんからの提案ですとちょうど１週間後の月曜日という話になっているんですが、みなさんの予定はどうでしょうか？
香澄,えーっと……はい！その日ならＯＫですよ！
はぐみ,はぐみもへーきだよ！
イヴ,私もその日であれば、パスパレの活動も部活もないので大丈夫です！
花音,私も平気だよ
紗夜,分かりました。では、湊さんには来週の月曜日で、と話をしておきます。それから……負けるつもりは一切ありませんし、演奏する曲をもう１つ増やさないといけないのですが……この１週間で今の曲と新しくもう１曲を仕上げられますか？
香澄,はい！
はぐみ,うん！
イヴ,任せてください！
花音,が、頑張りますっ
紗夜,頼もしい返事ですね。ありがとうございます。少し無茶なお願いだったとは思うけれど、それでも私に付き合ってくれる４人は力強く返事をくれる。それを見ると、私ももっと精進しなければとやる気が湧いてくるのが実感できた
イヴ,もう１つの新しい曲はどうしましょうか？
紗夜,それは北沢さんがやりたいと言っていた曲でどうでしょうか
はぐみ,え、いーの？
紗夜,はい。若宮さんと松原さんはおまかせでと言っていましたし、私もそれと同じ気持ちですから
花音,そうだね。私もはぐみちゃんがやりたいって言ってた曲でいいと思うな
イヴ,はい！私も異論はありません！
香澄,私はもうやりたい曲やってるもんねっ。それにはぐにちょっと申し訳ないな～って思ってたし、それがいいな！
紗夜,……という訳で、北沢さんの曲で決まりですね
はぐみ,わーい！ありがと、紗夜先輩っ！
紗夜,きゃっ……。北沢さんは自分のやりたい曲を選んで貰えたのが嬉しかったのか、飛ぶような勢いで私に抱きついてくる。それを少し戸惑いながら受け止める。……いきなり抱きついてくると危ないですよ、北沢さん
はぐみ,えへへ、だって嬉しかったんだもん！
紗夜,まったく、仕方ないわね……。言いつつ、自然と右手が彼女の頭に伸びて、そのショートカットの髪を撫でていた。思っていたよりずっとふわふわしている髪質が手に心地いい。……あっ、ごめんなさい。実に無意識にその行動をとっていた。我に返って北沢さんの髪から手をどけるのに少しの時間がかかってしまう
はぐみ,え？なにが？
紗夜,いえ、急に髪を撫でたりなんかしたので……
はぐみ,んん……？
