池袋晶葉,……ふぅ
晶葉,ああ、それも決めようと思ってたんだ。はい
菜々,へ？これは……ダーツの矢？
晶葉,向こうの日本地図に向けて投げてくれ
菜々,い、いやいや！出身地はもう決まってるんですよね？
晶葉,そう言ったじゃないか。今は苗字の話だろう？
菜々,じ、じゃあなんでダーツを？
晶葉,苗字なんてなんでもいいだろう？だから、ダーツが刺さった市町村を苗字にする
菜々,ざ、雑ぅ……！。えっと……、もし"おしゃまんべ"とかに刺さっても？
晶葉,長万部杏……悪くないんじゃないか？
菜々,変ですよぅ……
晶葉,じゃあ、良い感じの市町村に投げてくれ。私だって"近江八幡杏"なんて長い名前はイヤだからな？
菜々,なんですかそのプレッシャーは……。え、えいっ！！！。ええと、東北の南の方……
晶葉,福島のあたりか？
菜々,そうですね。福島県の……
晶葉,では、全ての準備が整った。これよりインストールに入る！
菜々,おおー！
晶葉,成功できたらそのまま起動する予定だ
菜々,ど、ドキドキしますね！
晶葉,私はワクワクの方が大きいけれどな
菜々,仲良くなれますかね……？
晶葉,大丈夫だ。敵対心はなるべく抱かないようになっている。学習して成長するにしても、犯罪など起こされてはたまったもんじゃない
菜々,ならいいんですけど……
晶葉,では、インストールを開始するぞ！
菜々,はい！
晶葉,インストール……スタート！
菜々,……
晶葉,……
菜々,……あれ？
晶葉,ん？
菜々,これ、始まってるんですか？
晶葉,ああ、特にエラーも出ていない。正常に開始しているとも
菜々,もっと……こう……"バチバチバチィ！！"みたいな感じかと……
晶葉,菜々のスマホはアプリをインストールするたびに火花が散るのか？
菜々,ナナ、ガラケーです
晶葉,……すまん
菜々,どれくらいで終わるんですか？
晶葉,うーむ……いかんせん、初の試みだからな……。以前、関係ない外部メモリへ出力してみた時は、そこまで時間はかからなかったが
菜々,どうしてですか？
晶葉,あー、まあ、技術的なことだから気にしないでくれ。これ以上菜々の睡眠時間を増やすのもな？
菜々,くぅ……ちょっとバカにされた気がします……
晶葉,はは、気を悪くしたなら謝ろう
菜々,大丈夫ですけ……あれ？
晶葉,ん？どうかしたのか？
菜々,いえ、何かそこに落ちてますよ？
晶葉,え？
菜々,これは……なんでしょう？肌色で、なんか輪っかみたいな？
晶葉,……輪っか
菜々,なんだかセロハンテープの芯とか、そういうのに似てますね
晶葉,……菜々、それの直径は、20センチもないくらいか？
菜々,へ？そうですけど……って晶葉ちゃん、見ればいいじゃないですか
晶葉,勇気がないんだ
菜々,はい？
晶葉,その内側に番号が刻印されているか？
菜々,えーっと……2って書いてありますね
晶葉,2か……！くそっ！道理で首の組み立ての時に違和感があったんだ……！頭と接着する1とか胴体側の5なら気づいたのに……！
菜々,あ、晶葉ちゃん？
晶葉,中止は……いや、できない。ここでのロールバックは危険だ……
菜々,晶葉ちゃん！説明してくださいよぅ！
晶葉,……首だ
菜々,く、クビ！？ナナ。もうちょっとアイドル続けたいんですけど！
晶葉,違う！そのパーツ！首の部分のパーツなんだ！
菜々,へ？
晶葉,このアンドロイドは、頭と胴体をつなぐ首の部分が5つのパーツになっているんだ
菜々,は、はい
晶葉,そのうちの1つを……付け忘れた……
菜々,ええ！？
晶葉,し、仕方がないだろう！？鬼門である頭が完成して、ちょっと舞い上がっていたというか……
菜々,で、でも、それでも完成しているってことは、首がちょっと短くなるだけなんですよね……？
晶葉,140cmの予定だったから、そのパーツの分、背は低くなる。恐らく139cmになるだろうな
菜々,そ、それだけなら……
晶葉,さっきの話、覚えてるか？
菜々,え？さ、さっきの？
晶葉,外部出力にあまり時間がかからないという話だ
菜々,は、はい
晶葉,詳しくは省くが、全てのデータを今送っているわけではないんだ
菜々,そ、そうなんですか？
晶葉,ああ、人間1人分の思考回路ともなればその量は膨大。だから、あらかじめ体の方にいくつかメモリを仕込んで、起動プログラムを流し込むだけで大丈夫な状態にしておいたんだ。イメージとしては、脳がいくつもの場所に分かれているような感じとでも言おうか
菜々,えっと、送るデータが大きいとダメなんですか？
晶葉,ダメじゃない。ダメじゃないんだが、リスクがある。インストールが長い時間に及べば、例えば熱が溜まって壊れるかもしれない。そのような不測の事態で、インストールが半端な状態で止まれば、ともすれば理性の欠落した兵器や、思考のできないガラクタのような、そんなモノが生まれてしまうかもしれない
菜々,ひぃ……。ええっと……、じゃあ、このパーツにも何かメモリが……？
晶葉,……ああ、首のパーツ、2のメモリが司っていたのは……
菜々,！
双葉杏,……まあいっか？おやすみ……
晶葉,"労働意欲"だ
P,……！お疲れ様です
菜々,は、はい……
P,……表情が暗いですね、菜々さん
菜々,……
P,晶葉が一緒じゃないということは……失敗……ですか……
菜々,い、いえ！ええと……
P,？
菜々,失敗……ではないんですが……
P,それは……どういう？。ああ、ウワサをすれば、晶葉と……今の声は？
晶葉,……や、やあ
杏,……ああ、この人は、そうだ、プロデューサーだっけ
P,……！
晶葉,ええと、か、完成だ！アイドルアンドロイド、名前は……
杏,へ？名乗るの？双葉杏でーす。これでいい？
晶葉,……だ！
P,そう……ですか、成功したんですね……！"フタバアンズ"……いい名前です
晶葉,まあ、成功……ではあるな
P,先ほどから歯切れが悪いのはどういう……
杏,お！ソファー発見！おやすみ～
P,……
晶葉,……
P,……アンドロイドって睡眠、必要なんですか？。なるほど、組み込みできていないパーツがあったんですか
晶葉,すまない……その……いや、言い訳はしない。私の責任だ
菜々,な、ナナがもう少し早く気づいていれば……！
P,……
晶葉,その……怒ってる……よな？
P,怒る？どうしてですか？
晶葉,だって、完璧なアイドルを創るはずだったのに……
P,晶葉がいなかったら、そもそもこの話は始まってすらいません。それに、ちゃんと立って、歩いて、喋ってるじゃないですか。どう見ても人間です。大成功ですよ
晶葉,だが、致命的にめんどくさがりというか……
P,私は、ずっと考えてたんです
晶葉,え？
P,晶葉はきっと完璧なアンドロイドを創ってくれる。じゃあ、自分はその完璧なアイドルを、どうやってプロデュースすればいいんだろう？って
菜々,プロデューサーさん……
P,きっと、完璧なアイドルは仕事を選ばない。どんな仕事も完璧にこなして、あらゆるジャンルを席巻できます。でも、それではダメです。私は、アイドルという市場を荒らしたいわけじゃない
晶葉,……
P,素敵な個性をもらったと、考えましょう？面倒くさがりで、アイドルなんてイヤイヤやってて、でも、何でもできる。きっと、仕事を選り好みます。きっと、逃げ出したりします。そもそも仕事にも来ないかもしれない。でも、そこをなんとかするのがプロデューサーの仕事ですから
杏,……
晶葉,……ありがとう
P,いえいえ、お礼を言うのはこちらですよ。ありがとう、晶葉
菜々,アイドル部門、また復活できるでしょうか……？
P,……わかりません。でも、菜々さんも、晶葉も、軌道に乗ってきています。彼女を……杏さんを加えれば、きっと。……さて！暗い話は終わりです。もうすぐレッスンの時間でしょう？私も杏さんの実力を見てみたいですし
晶葉,……そうだな！うん、考えてもしょうがない！ほら、起きろ杏！
杏,今、レッスンとか聞こえたんだけど……
菜々,そうですよぅ！アイドルになるためにはレッスンが必要なんです！行きましょう！
杏,元気だねえ……
P,頑張ってくださいね。私も見学させていただきますから
杏,んー、ま、それなりにね？……じゃ、はい
P,え？
杏,おんぶ！
P,……ええと
菜々,してあげればいいじゃないですか？
P,いや……ですが
晶葉,大丈夫、重さは30キロに抑えてある。君の体型はお世辞にも大きいほうではないが、それでもおんぶくらいなら可能だろう
P,……大した技術ですね。……どうぞ
杏,さんきゅー
晶葉,念のための確認だが、杏がアンドロイドだと知っているのは、この3人だけでいいんだよな？
P,ええ、大丈夫です。他の方には、私がスカウトをして正式に入ったということにしておきましょう
菜々,トレーナーさんには、新しいアイドルのことを言ってあるんですか？
P,今日から参加すると言ってあります
晶葉,なら大丈夫だな
P,あの……
晶葉,ん？
P,先ほども言ったのですが、アンドロイドは睡眠が必要なんですか？
晶葉,いや、不要だ。私のラボでの充電以外に、エネルギーを回復する手段はない
P,睡眠という機能自体は
晶葉,存在しないな
P,自らの意志で聴覚をカットするなどは？
晶葉,……ああ、なるほど。……それもできない
菜々,？
P,了解しました
杏,……致命的にめんどくさがりで悪かったね
P,いえ、言葉を選ぶべきでした
晶葉,すまない
杏,大丈夫。杏は鉄のハートだからね
P,ユーモアセンスも優秀ですね
晶葉,この3人にしか通じないけどな
P,アンドロイドという自覚はあるんですよね？
杏,もちろんあるよ。創られた理由もね
晶葉,私たち3人の顔と基本情報も入っているはずだ
P,ああ、だから私がプロデューサーだとわかったんですね
菜々,あの……基本情報って……ナナの年齢とかは……
晶葉,他にも、知り得るあらゆる知識が入っている
菜々,無視しないでくださいよぅ！
P,"知り得る"というのは、調べることができる範囲であらゆる、という解釈で？
晶葉,問題ない。いき過ぎた個人情報や、国家機密など、知ることが不可能な知識はない。逆に、今日までに世に出版された本の内容や、誰でも調べて知ることができる内容は全て頭に入っている
P,東京スパロウズの昨日のラストバッターと打ち取られた球種は？
杏,ラストバッターは畠中で、横浜スターズのクローザー山橋の初球外角低めストレートを引っ掛けてショートゴロ。蔵音が捌いてゲームセット
P,なるほど
晶葉,あと、重要な点だが、"一般の17歳女子が知り得ること"というラインの知識も入れてある
P,大切ですね。知りすぎているのは不自然ですから
菜々,……ソウデスネ
晶葉,クイズ番組などでも、そりゃあ無双しようと思えばできるが、なんとか不自然じゃないレベルで要所を抑えて、いい成績を取れるだろう
P,選択問題なら"ラッキー"で通りますしね。なんにせよ、期待していますよ
杏,あー、まあ、適当にね
晶葉,……
P,どうかしましたか？
晶葉,……いや、その……辛いだろう？
杏,……へ？杏？
晶葉,創られた目的は、大げさに言えばアイドル部門を救うためだ。その手段はアイドルとして活躍すること。そのための技術だって、知識だってある。でも……
杏,……
晶葉,意欲がない。目的も、手段も、能力もあるのに、それをやるための活力がどうしても出ない。もちろん私の責任だ。実装していないんだから
杏,……いやいや、そんなこと言うけどさ、晶葉がいなかったら杏はこうして喋れてないんでしょ？十分だよ
菜々,杏ちゃん……
杏,それに、この背中、なかなか乗り心地も悪くないよ？
P,いつもこれだと困りますけどね
晶葉,……優しいな
杏,そんな子に育てた覚えはない？
P,これから育てるんですよ
杏,ボケただけなのに
菜々,でも、レッスンは大丈夫でしょうか……？トレーナーさん、やる気ないと怒っちゃうかも
晶葉,あー、これは私の推測だが、大丈夫だと思うぞ
菜々,へ？
P,それは、どういう……
晶葉,ないのは意欲だけだ。責任感も、能力もちゃんと入っている
菜々,？
晶葉,行くまでが勝負であって、その後は……ああ、着いたな、じゃあレッスンだ
杏,……
菜々,？？？
ベテトレ,おお、プロデューサー、お疲れ様。そんなに新人が気になるか？
P,お疲れ様です。ええ、期待の新人ですからね
ベテトレ,それは楽しみだ
P,今、着替えてるところですから、すぐに到着しますよ
ベテトレ,心なしか、言葉が弾んでいるぞ？
P,単純な性格なんです
菜々,よろしくお願いしますっ！
晶葉,よろしくお願いします
ベテトレ,ああ、安部、池袋。よろしく。……で、そちらが
杏,双葉杏ですっ！せいいっぱい頑張るので、よろしくお願いします！
菜々,……！？
P,……！？
ベテトレ,こちらこそよろしく。トレーナーを務める青木だ。……安部はともかく、プロデューサーのそのような顔はなかなか見ないな。何か問題が？
P,……いえ、大丈夫です。レッスン、よろしくお願いします
ベテトレ,任せておけ
P,なるほど、晶葉が言ってたのはそういう……。これなら、別にぐうたらキャラで売る必要もないでしょうか……
ベテトレ,はい、ストレッチはそこまで。まずは前回のステップの復習から。双葉はそこで見ていてくれ
杏,はいっ！
ベテトレ,1.2.3.4.5.6.7.8
菜々,よっ、はっ
晶葉,ほっ
杏,おおー
ベテトレ,ふむ、悪くないな。では双葉
杏,はい！やってみます！
ベテトレ,え？いや、まずはゆっくりやるから、それを手本に
杏,よっ！ほっ！はっ！せいっ！
ベテトレ,！
P,……おお
杏,どうですか！
ベテトレ,……いや、完璧だ
杏,ありがとうございます！
ベテトレ,ああ、お疲れ。各自ダウンをしっかりな。双葉にはもっと難しいメニューでもよさそうだ。それじゃあ
杏,はぁぁ～……、疲れた～！
P,お疲れ様で……疲労感は実装されているのですか？
晶葉,ああ、例えばスポーツ系の番組で走った後に全く疲れていなければおかしいだろう？運動後は一時的に運動機能が下がるようになっている。まあ、充電の残量とは関係ないけどな
P,すぐに回復するんですか？
晶葉,わりと早めに。ちなみにだが、充電が100％でも10％でも、パフォーマンス自体は変わらない
菜々,ニセモノの疲れってことですね……！ナナの疲れは本物ですけど……うう……
晶葉,本当は充電残量と比例してパフォーマンスも下げようと思っていたんだが……
P,？
晶葉,わざわざそうするのはなんだか……可哀想で
P,なるほど
杏,杏が疲れたって言ったら疲れたの！そういうこと目の前で言わなくていいからさ？
P,……失礼しました
杏,帰りもおんぶしてくれるなら許すよ
P,……安いものですね。改めて、初レッスンお疲れ様でした。感想は？
杏,ふつーかな。強いて言うなら、手を抜いておけばよかったよ。なんか難しいメニュー持ってこられちゃいそう
P,手を抜いてもトレーナーさんは見抜きますよ。その上で、杏さんのポテンシャルだって見抜くでしょう
杏,凄い人なんだねえ
P,杏さんほどじゃありませんが
杏,まったく光栄だなあ
P,もうこの後は、予定はないですよね？
菜々,ナナはないですよ
晶葉,私もだ
杏,え？杏に聞く？あるわけないじゃん。生後4時間だよ？
P,じゃあ、みんなで食事にでも……、ああ、質問ばかりで申し訳ない、食事や排泄は？
晶葉,先に言わせてもらうと、排泄は不要で不可能だ。だからといって全く花を摘みに行かない女子はおかしいだろうから、それとなくトイレには行ってくれ。中でシャドーボクシングでもしていればいい
杏,充電の無駄でしょ
晶葉,食事も不要だが、こちらは可能だ。口から摂取したものは、一時的に腹部に格納される。何日かに1度、その部分を取り替えればいい。例えるなら……ああ、掃除機が近いかな
P,味覚は？
晶葉,もちろんある
P,なら食レポのお仕事もできますね
杏,味覚が自分で切れるなら、ゲテモノでも何でも食べれたんだけどねえ。そういう機能はないみたいだよ。残念無念♪
菜々,思ってもいないような……
P,そのあたりを実装しなかったのは？
晶葉,……可哀想で
P,なるほど、十分です。では、出発しましょうか。……とはいえ、いつものファミレスですが
菜々,はい！
杏,いってらっしゃーい
菜々,？
晶葉,何を言ってるんだ？
杏,へ？
菜々,杏ちゃんも行くんですよ？
杏,いやいや、今の話、聞いてなかったの？杏に食事はいらないんだよ？お金の無駄じゃん
P,でも、味覚はあるんでしょう？
杏,いや、そうだけど
晶葉,ご飯を食べて"美味しい"と言う。それだけで楽しくなるものだ。人数が多ければなおさらな
菜々,そうですよ！ほら！立ってください！
杏,……ふーん
P,ああ、でも、5個目のから揚げを賭けたじゃんけんには参加しないでくださいね
杏,キツいオーダーだね
晶葉,厳しいプロデューサーだよ
P,何とでも
菜々,杏ちゃん！どれ食べますか？
杏,え……いや、なんでもいいよ。みんな先決めてよ
菜々,カレーもいいけどラーメンもいいですねぇ！
杏,菜々さん、テンション高いね
晶葉,"家に帰っても1人で寂しいから、みんなと食事に行くとテンションが上がる"という知識は入れといたんだがな。……カルボナーラで
P,気を遣ってくれたんでしょうね。ええと、デミグラスハンバーグのAセットで
菜々,ナナを傷つけながら注文するのやめてください！オムライス！
杏,……ふふっ
晶葉,お、笑ったな
菜々,笑われてるのナナなんですけど……
杏,じゃ、杏はナポリタンで
P,あ、あとから揚げ1つ
杏,覚えてたんだね
P,侮れない味ですよ
杏,2個目食べたくなったらごめんね
P,その時はその時です。……さて、では本題に移りましょうか
晶葉,あまりオープンな場でする話でもないけれどな
P,まあ、このお店もあまり賑わっているわけはないですから
菜々,ええと、本題って……？
P,もちろん、今後の杏さんの方針についてです
杏,……面倒くさいなあ
P,まず、前提として、ソロ活動です
晶葉,……ふむ
P,3人でのユニットも考えましたが、やはり昨今、ユニット単位の仕事を持ってくるのは難しいと言わざるを得ません。売れさえすれば仕事は舞い込んできますが、それまでが長い。ソロの方が仕事を取りやすいですし、それに
晶葉,もちろんそれらだって立派な理由だ。でも、私たちに気を遣う必要はないぞ？
菜々,そうですよ？流石にナナだってわかります
杏,え？
P,……はい、完璧な杏さんとユニットを組むには、2人は、弱いと。そう思います
晶葉,まあ、釣り合うはずもないな。なにせ完璧だ
菜々,そうですよねえ。こーんなにカワイイんですから！
杏,……話の流れ的に、杏を撫でるのはおかしくない？
晶葉,期待してるんだよ。杏が売れてくれれば、バーターとしてでも出演の機会があるさ
杏,……まあ、やれっていわれたらやるけど
P,まずは来週のオーディションに向けてレッスンです。深夜番組ですが、多くの業界が目を光らせていると聞きます
杏,こわいねぇ
P,杏さんのパフォーマンスなら楽勝でしょう。そこからなるべく短期間で名前を売って、一気にCDデビューまで持っていきます
晶葉,なるほどな
P,勝負は最初の1ヶ月です。頑張りましょう
杏,……それなりに頑張るよ
晶葉,私たちの全力よりも凄いんだろうな。その"それなり"ってのは
P,晶葉と菜々さんも、手を抜いてはいけませんよ？
菜々,もちろんです！ナナはナナの力で大活躍してみせますよ！
晶葉,当然。個々人のレベルが必要だなんて百も承知だ
P,頼もしい限りです
菜々,あ、キャラはどうするんですか？
P,そうでした。そこも伝えなきゃですね
晶葉,やる気のないぐうたらキャラで売るのか？
P,最初はそう考えていましたが、レッスンを見るに王道のアイドルキャラで大丈夫かと
杏,ええ～
菜々,確かに、ビックリしちゃいましたよ！
晶葉,私は推測してたけどな
P,3人の前ならいくらでも怠けていただいて構いませんが、外では仮面をつけてほしいと思っています
杏,……もともとそのはずだったんでしょ。いいよ。やったげる。
P,ありがとうございます
杏,その代わり、事務所では怠けさせてね
P,もちろんです。……ああ、食事が来たようです。閑話休題ですね
杏,それ、誤用だよ。脇道に逸れた話をやめて、本筋に戻す時に使うのが正しい使い方
P,……お見事です。77ナナポイントをプレゼントしましょう
杏,初耳すぎるよそのシステム
菜々,ナナも初耳なんですけど
杏,ふわぁ……
P,おはようございます。杏さん。そろそろラボに起こしに行こうと思っていたところです
杏,なあんだ。じゃあ待っておけばよかった
P,例の番組、昨日放映してたんですが、見ましたか？
杏,うん、見たよ。充電中はすることがないからね。テレビを置いてもらったんだ
P,そうですか、それはよかった。出色の出来でしたよ
杏,杏もそう思った。……自惚れとかじゃなくてね
P,早速、仕事の依頼が来ています
杏,面倒だなあ……
P,これから、まずは私がミーティングに行って、話をまとめてきます。現場レベルでの話し合いはその後ですね
杏,今日はヒマしてていいの？
P,午前のボーカルトレーニングだけでしたよね？それが終わってしまえば大丈夫です。私は午後、晶葉の仕事に着いていくので恐らく戻りませんが
杏,おっけ。じゃあトレーニング終わったらボーっとして
菜々,話は聞かせてもらいました杏ちゃん！
杏,うわっ！
P,菜々さん、おはようございます。本日はオフでは？
菜々,そうなんですが、事務所に行けば杏ちゃんには会えますからね！昨日の番組、見ましたよ～！……おかげでちょっと寝不足ですけど
杏,あ、ありがと
菜々,午後、時間あるんですよね？ナナと一緒にお出かけしませんか？
杏,ええ～……
菜々,うっ！予想していた返事とはいえなかなか心に来ますね……！でも、ナナは挫けませんよ！
杏,別に断ったわけじゃないんだけど……
菜々,杏ちゃん、お洋服を買いに行きましょう！そしてご飯を食べて、CDショップとか行っちゃって！
杏,あー、はいはい、杏、レッスン行ってくるね
菜々,あ、あの杏ちゃんが自分から……！
P,レッスンより菜々さんの方が面倒だと判断されたんですね
菜々,言わなくていいですから！。でも、ちゃんと一緒に来てくれるんですね♪
杏,根負けだよ根負け……。うう、暑いなあ……
菜々,暑さは感じるんですね？
杏,感じるだけだけどね、全然動きに制限とかかからないし
菜々,でも口には出すんですか？
杏,そりゃあ涼しい方が快適ではあるもん
菜々,難しいですね……
杏,あわよくばサボったりできないかなーとか考えちゃうんだよね。まあ無理だろうけど
菜々,……あ！ちょうど喫茶店がありますよ！入りましょうか！
杏,え、そ、そんな引っ張んなくても……あー……
菜々,アイスコーヒーで！
杏,じゃあ杏もそれで
菜々,いやー、涼しいですね！
杏,……
菜々,？
杏,あのさ
菜々,はい？
杏,杏がいくら暑いとか寒いとか言っても、無視して大丈夫なんだよ？機能に制限が出るわけでもないし
菜々,でも、暑いのはイヤなんですよね？
杏,そりゃあイヤだけどさ。みんなはそれで体力が削られたり、肌が焼けるのがイヤなんでしょ？杏はそんなことないし、ただ気温が高いから"暑い"って言ってるだけで。別に気にしないでも
菜々,あっ！このパフェ美味しそうです！半分こしませんか？
杏,いや、だから食べ物だってお金のムダだし……
菜々,杏ちゃん
杏,へ？
菜々,後輩はおとなしく、先輩に甘えなきゃダメですよ！
杏,……は、はい？
菜々,あっ先輩とは言ってもアイドルとしての先輩って意味であって年齢自体は同い年っていうかいやでも杏ちゃんは生後まだ2週間とかなのでナナが例え17歳であっても先輩ですねっていうか例えじゃなくてナナはホンモノの17歳なんですけど
杏,……ぷっ
菜々,あー！また笑いましたね！
杏,怒るなら、杏に笑う機能を実装した晶葉を怒ってほしいけどね？
菜々,怒れませんよぅ……！
杏,……じゃ、次はどこへ行くの？
菜々,え？
杏,"え？"じゃないよ。決めてるんでしょ？
菜々,め、面倒くさくないんですか？
杏,めんどくさいに決まってるじゃん。でも……
菜々,でも……？
杏,……いや、なんでもない
菜々,そ、そこで止めるのはズルですよ！？
杏,はいはい、ごめんごめん
菜々,もー！
杏,働く意欲はないけど……こういうのなら……別に
菜々,次はお洋服を買いましょう！
杏,Tシャツでいいんだけどなー……
菜々,しゅっぱーつ！
杏,だから引っ張らないでってば……
晶葉,戻ったぞ
菜々,あ、おかえりなさい！
杏,おかえり～
P,戻りました。お疲れ様です
杏,あれ、プロデューサーは直帰かと思ってたけど
P,ええ、そのつもりでしたが……
杏,？
晶葉,帰りの車内で聞かせてもらったが、素晴らしかったぞ
杏,へ？杏？レッスンの風景でも撮ってたの？
晶葉,杏の曲ではないが、杏の曲になる歌だ
杏,……！
P,完成したと、先ほど報告がありまして。晶葉の仕事終わりに受け取ってきたんです
杏,いやいや、早すぎない？だってこの前が初めてのオーディションと収録で、世に出たのは昨日だよ？
P,もちろんです。この曲は、杏さんの完成よりも前から制作依頼を出していましたからね
杏,あー……、そりゃそうか。1か月でって計画だもんね。杏が完成してからじゃ間に合わないか
P,正統派なキュートソングをお願いしていましたから、開発段階の情報から晶葉が大きくイメージを変更しない限り平気だと踏んでいました
晶葉,……ちょっと危なかったが、結局世に出るキャラクターは正統派アイドルそのものなんだから、まあ大丈夫だろう
P,ウチの事務所と昔から組んでくれている作詞家と作曲家です。腕は確かなはずですよ
杏,聴いていい？
P,もちろんです。今から流しますね
菜々,な、ナナも聴いていいですかっ！
晶葉,むしろこの状況で菜々だけ追い出したら外道もいいとこだぞ
杏,ふーん、いい歌だね
菜々,カワイイですねっ
杏,曲名は？
P,パステルピンクな恋です
杏,おっけ、歌は覚えた
菜々,ええっ！？あ、そ、そうですよね……
杏,振り付けは？
P,明日からレッスンが入ります。歌とダンスを杏さんの中で噛み合わせて、今週中には披露できる状態に持っていってもらえれば。……来週には、告知、発表、発売まで
杏,目が回りそうなスピード感だねえ
晶葉,私たちなら失踪するだろうな
杏,無理ですって言えたらどんなに楽なことかな
P,ウソつきなアイドルはダメですよ
菜々,……
杏,わかってるよ。面倒くさいけど、出来ちゃうのが杏だからさ
晶葉,我ながら、頼もしいな
P,では、お仕事の話は終わりにして、食事にでも行きましょう
杏,杏も？
P,当然です
杏,聞いてみただけだよ
P,もう夜ですから、外も少し冷えます。あまり軽い服装では行かないでくださいね
杏,ああ、確かに、ちょっと室温も下がってきて……くちゅん！
菜々,わわっ、大丈夫ですか？
P,……そういえば、今朝、ラボから部屋に来た杏さんは欠伸をしていました。今のくしゃみもですが
晶葉,ああ、くしゃみや咳などの生理現象は一定確率で起こるようになっているが、欠伸の場合は充電装置を外してから10分間、発生確率が上がるようになっているんだ
P,よく考えられていますね
晶葉,気温が下がるとくしゃみが出やすくなるし、空気中の塵が多ければ咳が多く出るぞ
杏,ガチャのピックアップみたいだね
P,この知識、入れる必要ありましたか？
晶葉,何を言う。ヒトの射幸心を煽って利益を上げるビジネススタイルは現代社会において最重要だ
P,そういうものですか……
晶葉,プロデューサーだって、から揚げを注文したら20％の確率で増量！とか言われたら頼みたくなるだろう？
P,食べ物で遊ばないでください
晶葉,……なんで怒られたんだ
P,ありがとうございました
杏,ありがとうございましたっ！
スタッフ,こちらこそ、ありがとうございました。すっかり引っ張りだこですね
P,有難いことです
スタッフ,CDデビュー、2日後でしたっけ？
杏,はいっ！
P,ミュージック・ステージの生放送で披露する予定となっています
スタッフ,他局だけど見ちゃうなあ。どんな歌なのかもその時まで秘密ですもんね？
P,そうですね、ぜひ、楽しみにしていただければ
スタッフ,しっかし、こんな逸材、よくスカウトしましたね……！みんな驚いてますよ。少し失礼な話ではありますが、"もうそちらのプロダクションは落ち目だと思ってた"なんて人もいて
