冷泉麻子,そんなことの相談に、わざわざ来たのか
華,アリサさん。重ね重ね申し訳ありませんが、やはりわたくし達ではお役に立てそうもありません
アリサ,仕方ない。わかったわ。じゃあ……
？,お待ちなさい！！！
ダージリン,こんな逸話をご存じかしら。イギリスの子供が母親に聞きましたお母さん、アメリカって遠いの？すると母親は答えました黙って泳ぎなさいって
オレンジペコ,お言葉ですがダージリン様、それは逸話ではなくて小話です
華,あら、ダージリンさん。お久しぶりです
沙織,ペコリンもひっさしぶりー
オレンジペコ,ぺ、ペコリン……
優花里,もしかして、みなさんもわざわざ来て下さったんですか！
麻子,金沢から戦車でか
ローズヒップ,スピードならまかせていただけまして？
みほ,え？本当に戦車で来たんですか？
ダージリン,いえ。北陸新幹線で
優花里,ですよねー
ローズヒップ,時速２６０キロメートルですのよ！
麻子,自分で運転してるわけじゃないだろう
沙織,それで？やっぱり私たちの為に来てくれたの？
ダージリン,ええ。それも今回は、アリサさんの為だと伺っているわ
アリサ,あんた達……なんかその……ありがと……ただ
ダージリン,？なにかしら
アリサ,もう私もそろそろ念のために前もって確認させてもらうけど、確かあなた達の学校名は……
ダージリン,聖グロリアーナ女学院ですわ
アリサ,やっぱりかあああ！！！ヨシャパテエエエ！！！
ダージリン,まあまあアリサさん、こんな格言をご存知かしら
アリサ,なによ
ダージリン,２度あることは３度ある
アリサ,その通り過ぎて言い返せないいいーーー！！！ファーーーック！！！
オレンジペコ,ダージリン様、お戯れはほどほどになさってください
ダージリン,わかっているわ。アリサさん、確かに聖グロリアーナは女子校よ。でもね、それでも貴女の為にできることはあると思うの
アリサ,え？
ダージリン,ついてきて下さいます？
沙織,え！？なにこれ！？校庭に……
華,どういうことですか！？
麻子,いつの間に
優花里,これは……テレビのセットですか？
みほ,どうして……？
メガネ,あー君達
沙織,あー！
華,確かあなたは……
麻子,文科省の
優花里,そうですよ！私たちの学校を廃校にしようとしていた、あの人ですよ！
沙織,もしかしてまた、ウチを廃校に！？
華,まあ！
麻子,そうはさせない
メガネ,早く中に入りなさい
みほ,……え？
メガネ,君からきちんと説明しておくように
角谷杏,……
みほ,会長さん？
沙織,どういうことなんですか？
華,いったい何が……
麻子,まさかまた廃校か？
優花里,そんなあー！
ダージリン,２度あることは３度……
オレンジペコ,ダージリン様、洒落になっていません
杏,いやあー……それがさあ。この間の大学選抜との廃校を賭けた試合、結構話題になっちゃってさあ
みほ,え？
杏,陸の上では私たち、かなり有名人になっちゃってるらしいんだよねえ
沙織,ホントに！？
杏,まあ、名前だけで実際の顔とかはあんまり知られてないんだけどね
沙織,しゅーん……
華,それはまあ試合中も、主にテレビに映るのは戦車ですものね
麻子,確かに
優花里,無理もありませんよね
杏,でも逆にそれが世間の興味を惹いちゃって、テレビがぜひこの間の高校生達を出演させたいって言ってきてるんだよね
沙織,テレビ！私が！？
麻子,沙織だけじゃないがな
杏,文科省も、私たちの実力はこないだの件でわかったし、それなら潰そうとするよりも利用した方がいいって思ったらしいんだなー
優花里,そういえば、プロリーグの設立とか世界大会の誘致とかもあるんでしたよね
杏,そうそう。私たちとしても、後々文科省がまたなんかゴチャゴチャ言ってくるよりも、過去は水に流した方がいいと思ってさ
みほ,あの……それでいったいなにがどうなってるんですか？
ダージリン,大洗の会長さんと相談しまして、アリサさんを助けるべくテレビ局に売り込みをしましたの
優花里,え？それじゃあもしかして
杏,ふっふっふ……テレビに出るぞ！
沙織,やったーーー！！！
華,それはいいんですけど……
アリサ,それと私とどう関係が……
麻子,そうだった
優花里,ダージリンさん？
ダージリン,今回のテレビ番組、ジャンルはクイズ番組なのよ
みほ,クイズですか？
アリサ,はあ？だからそれと私の……その……告白……とどういう関係が……
オレンジペコ,クイズ内容はすべて、高校生女子の恋愛観や女子力に関するものです
アリサ,！
ダージリン,データ主義者のアッサムが集めたものですのよ
杏,すなわーち！世間は噂の戦車道女子が観られて、文科省は戦車道の存在をアピールできて、私たちは文科省を味方に出来て、アリサちゃんは楽しく恋愛を学べるという、一石で四鳥ぐらいという干し芋なみのオイシい話なんだな、これが
麻子,おー！
沙織,テレビだ！テレビー！
優花里,さすが会長さん、有能であります！
華,アリサさん、どうなさいます？
アリサ,……やるわ。できることなら、なんでもやるわよ。この際
ダージリン,結構ですわ。今回の番組は、チーム対抗戦よ
みほ,チーム対抗？
オレンジペコ,５人体５人のチーム戦です
優花里,５人……それって……
杏,まずは我々、大洗女学園のあんこうチームの５人
ダージリン,そして対するは……
カチューシャ,カチューシャが来たからには、勝利は約束されたようなものよ！
西絹代,知波単学園より西、只今到着いたしました！
まほ,私もこちらに加わることとなった
みほ,お姉ちゃん！
優花里,すごい！相手チームは、各校の隊長連合でありますよ！
華,あら？でもこちらは５人なのに、相手チームは４人しかいませんわよ
麻子,そう言えば
沙織,あ、そっか。サンダース高が来てないんだ。ケイさんいないのかな？
ケイ,私ならここにいるわよ！
アリサ,隊長！
ケイ,私ならここにいるわよ！
アリサ,隊長！
ケイ,ただねー。私ちょっと今日は体調がくないの。だからー……
アリサ,？
ケイ,アリサが隊長代理ね。頼んだわよ
アリサ,え！？
ケイ,しっかりがんばってきなさい。ね
アリサ,あ……はい。イエス、マム！
華,ケイさん、やっぱり優しいんですね
優花里,ええ。こちらも本気でかかりましょう
麻子,おうよ
沙織,あ、始まるみたいだよ
オレンジペコ,ナレーション
みほ,あ、こ、こんにちは
沙織,やっぽー♪よろぴくねー♪
華,よろしくお願いいたします
優花里,し、試合より緊張するであります
麻子,はやく帰って眠りたい……
オレンジペコ,続いては、戦車道全国高校生大会に参加した各校隊長連合チーム！
カチューシャ,戦車は自由の象徴よ！このカチューシャの自由をご覧なさい！
アンチョビ,とりあえずパスタだ！それからニョッキだ！マカロニだ！
西絹代,可能なら突撃する。不可能でも突撃する。それが私の戦車道です！
まほ,西住流が戦車道にあるのではない、戦車道そのものが西住流なのだ
アリサ,え……ええと……が、がんばりまふ！
ナオミ,かんだ
ケイ,かんだわね……
オレンジペコ,司会はこの人、ダージリン様
ダージリン,ごきげんよう。ではさっそく、クイズを始めますわ。両チーム、代表者前へ
華,どうします？代表者ですって
優花里,やっぱりここは、隊長である西住殿が！
みほ,む、無理だよ私……
麻子,隊長はこういうの向いてない
沙織,あ、じゃあこういう目立っちゃう場面では、この私が……
みほ,華さん、お願いできます？華さんはいざという場面で強いですから
華,わかりました
沙織,……まあいっかー。がんばってね
アンチョビ,こっちはどうする？
絹代,ここは今年準優勝の、西住まほさんはてかがですか？
カチューシャ,待ちなさいよ！去年はカチューシャ達がその黒森峰に勝ったのよ！
まほ,……
カチューシャ,……ま、まあ今年は譲ってあげてもいいけど……
アリサ,じゃあ黒森峰の隊長、おねがいするわ
まほ,任せておけ
ダージリン,では両チームの代表による早押しクイズよ。問題……日本全国の彼氏持ち女子高生１００人に聞きました、答えは４つ。彼氏に作ってあげて褒められた料理と言えば……。はい。隊長連合チーム
まほ,レーション
ダージリン,は？
まほ,レーションだ。栄養面、保存性、携行の利便などこれ以上はない
アリサ,なるほど
アンチョビ,我がアンツィオならパスタも茹でる設備も必ず持って行くが、どこもそうとはいかないだろうからな！
絹代,うむ。レーションはいい。レーションはいいぞ
カチューシャ,ま、まあ悪くない回答よね
麻子,レーションは、非常食じゃないのか？
沙織,というかレーションって作ったうちに入るの？
華,みほさんのお姉さんって、少しその……
みほ,あはは……
麻子,というか向こうは全員少しズレてるな
優花里,レーションは美味しいですよね！
麻子,……こっちにも１人いた
ダージリン,ではレーション……ありますかしら
まほ・アンチョビ・アリサ・絹代・カチューシャ,ある！ある！ある！ある！ある！ある！ある！
まほ,なんだとお！？
ダージリン,残念ながら、レーションは少数意見になっておりますわ。レーションと答えたのは１００人中１人
まほ,馬鹿な！納得できん！！
優花里,まったくであります！！！
沙織,むしろレーションって答えた人が、いたことが驚きよね
麻子,どこの誰だ
みほ,まあ日本も広いし……
アリサ,そうよね。日本中に１人はいるぐらいだから、タカシだって……////
ダージリン,では大洗チーム、回答を
華,そうですね……では、カレー
優花里,おお、さすが五十鈴殿
沙織,うんうん。無難なトコだよねー
麻子,これはあるだろう
みほ,華さんすごい
華,とラーメンとライスで
みほ,え？
華,カレーとラーメンとライスです。わたくしもそうですが、殿方はそのぐらいの量がなければ満足はされないと思うのです
沙織,……前言撤回
みほ,あはは……
麻子,甘味ならいくらでも食べるが……
ダージリン,ではカレーとラーメンとライス……ありますかしら
華,ええっ！？
ダージリン,３ついっぺんは、少数意見にもないわ。よってチーム回答は隊長連合チーム
華,申し訳ありません……
みほ,ううん。華さんらしくて、ちょっと面白かったよ
優花里,そうでありますね
麻子,なんだかお腹空いた
沙織,うーテレビに映るチャンスがー……
ダージリン,では次の回答を
絹代,男子の喜ぶ料理といえば、やはり肉料理。そこから考えられる料理と言えば……そう、ジンギスカンだ！
沙織,肉料理はいいとして、なんでジンギスカンなの？
優花里,知波単の西さんがおっしゃられると、何かこう……
麻子,意味深だな
みほ,あ、あはは……
まほ,ジンギスカンとは、知波単もわかっているようだな
カチューシャ,ま、まあ悪くない判断よ。認めてあげても……いいわよ////
アンチョビ,羊肉は、イタリア料理では定番だからな！
アリサ,肉料理……メモしとかなきゃ……いつもはジャンクな肉ばっかりだけど、ジンギスカンね……
華,こちらのチームとあちらのチーム、随分と温度差がありますわね
沙織,ねえ、戦車道って女子の嗜みで、やってると女子力がどんどん上がるんじゃなかったっけ……
麻子,今はそれを考えるな
みほ,く、クイズに集中しよう。ね
ダージリン,ではジンギスカン……ありますかしら
まほ・アンチョビ・アリサ・絹代・カチューシャ,ある！ある！ある！ある！ある！ある！ある！
絹代,えええええっ！？
ダージリン,やはり、ジンガスカンも少数意見ですわ。ジンギスカンと答えたのは１００人中１人
優花里,向こうのチーム、正解ではないですけど少数意見にはきっちり入ってますね
沙織,そういう人がいるなら私も、ジンギスカン料理に挑戦してみようかな
麻子,食べる方なら手伝うぞ
華,わたくしも
ダージリン,では次の回答をどうぞ
アンチョビ,ここは手堅く攻めるぞ
カチューシャ,いいけどあなた、恋愛もノリと勢いだけじゃないでしょうね
アンチョビ,ふっふっふっ。このアンチョビ、趣味はなんだか知っているのか？
まほ,ほう。なんだ？
アンチョビ,聞いて驚け。このアンチョビ様、趣味は恋愛小説を読むことだ！
絹代,なんと！
カチューシャ,そんな……同じ実戦経験のない者同士だと思っていたのに、あなた仮装戦略を繰り返してきたというの！？
まほ,侮れない
アリサ,机上とはいえ、その経験を聞かせて欲しいの！
アンチョビ,これからは私を、ドゥーチェ姐御
絹代・カチューシャ・まほ・ありさ,はい、ドゥーチェ！！！
アンチョビ,よおし、いいことを教えてやる。恋愛に必要なものそれは……ノリと勢いだ！
絹代・カチューシャ・まほ・ありさ,なるほど！！！
沙織,恋愛小説ぐらい、私もけっこう読んでるけど
華,沙織さん。それあちらのチームに聞かれたら、あなたもドゥーチェって呼ばれますよ
麻子,ドゥーチェ
沙織,や、やめてよ
みほ,でも、実践の前に色々と調べておくのは大事かも知れないよね
優花里,西住殿は、恋愛に対しても真面目そうでありますなあ
ダージリン,それで？いいかげん回答をよろしくて？
アンチョビ,恋愛小説に似合ってて、度々出てくる食べ物……それは、パスタだ！。な、なんだ！？
ダージリン,パスタ、では回答が幅広過ぎますわ。パスタ料理は多いのですから、もっと絞っていただけまして？
アンチョビ,な、なるほど。じゃ、じゃあ……
華,ちなみにみなさん、なんだと思います？
沙織,うーん。男の子って、ナポリタンとか好きだよね
優花里,そういえばアンツィオに偵察に行った時に食べた鉄板ナポリタン、美味しかったですよ！
みほ,私はミートソースが好きかなあ
麻子,ペペロンチーノもいい
ダージリン,さあ、回答は？
アンチョビ,恋とは甘酸っぱいもの。となれば……パスタはパスタでも、イチゴパスタだ！
ダージリン,は？
アンチョビ,イチゴパスタだ、イチゴパスタ！茹であげたパスタを冷まして生クリームとイチゴをのっけたあれだ！
まほ,そうきたか
カチューシャ,料理に甘みは大事ですもんね
絹代,最近は甘味を愛好する男子も増えていると聞いております！
アリサ,チョコレートのフライも美味しいわよね！
ダージリン,ではイチゴパスタ……ありますかしら
まほ・アンチョビ・アリサ・絹代・カチューシャ,ある！ある！ある！ある！ある！ある！ある！
アンチョビ,はあああああああ！？
ダージリン,イチゴパスタは少数意見ですわ。答えたのは１００人中２人
みほ,いるんだ。イチゴパスタ
麻子,というか、少数意見とはいえ増えてる
華,沙織さん、作ってみていただけます？
沙織,そうだよね……うん
優花里,楽しみであります！
ダージリン,では３度回答に失敗されたので、回答権が相手チームに移ります。大洗女学園チーム回答を
沙織,あ、じゃあ……定番だけど肉じゃがで
華,それは前に、都市伝説という話になりませんでしたっけ？
みほ,でもそれを確かめる意味でも、肉じゃがどうかな
優花里,武部殿の肉じゃが、美味しかったですしね
麻子,よし、じゃあ肉じゃがで決まりだ
ダージリン,よろしいわね。では肉じゃが……ありますかしら
みほ・沙織・麻子・優花里・華,ある！ある！ある！ある！ある！ある！ある！
沙織,やったあ！
ダージリン,肉じゃがは１位。５８人の方が回答されたようですわね
麻子,おー
華,都市伝説じゃなかったんですね
アリサ,肉じゃが……作り方覚えないと……！
ダージリン,続いては？いかがかしら？
みほ,あ、じゃあ……トンカツで
優花里,これも武部殿が作ってくれましたね！
みほ,うん。きっとあるよ
華,ここは沙織さんの女子力に賭けてみましょうか
麻子,そうしよう
ダージリン,よろしいようですね。ではトンカツ……ありますかしら
みほ・沙織・麻子・優花里・華,ある！ある！ある！ある！ある！ある！ある！
みほ,良かった。良かった
ダージリン,トンカツ、２位で２２人の方が回答をくださいました。それでは続いて回答をどうぞ
優花里,え、ええと……じゃあさっきの五十鈴殿は惜しかったと思いますので、私は単品のカレーで
華,カレーだけでは少なくないでしょうか……
麻子,その意見は、先程否定されたばかりだ
みほ,でもカレーは定番だと思うよ
沙織,いってみよー！
ダージリン,では屋根裏のオレンジペコ、カレーは……ありますかしら
みほ・沙織・麻子・優花里・華,ある！ある！ある！ある！ある！ある！ある！
優花里,秋山優花里、やりました！
みほ,華さんも正解したようなものだよね
華,そ、そうですか？
沙織,うんうん。みんなの勝利
ダージリン,カレーは３位で１２人の方から回答がありました。では続けてどうぞ
麻子,オムライス
みほ,ああ。なるほど
華,確かに美味しいですし、割と手がこんでいてアピールにもなりますよね！
沙織,ケチャップでハートとか書いちゃったりね。麻子、意外に女子力高いじゃん
麻子,今食べたいものを考えたらこうなった
ダージリン,よろしいわね。ではオムライス……ありますかしら
みほ・沙織・麻子・優花里・華,ある！ある！ある！ある！ある！ある！ある！
麻子,食べたい。オムライスが食べたい
沙織,後で作ってあげるから、麻子
麻子,頼む
ダージリン,はいオムライスは４位で４人から回答をいただきました。大洗女学園チームは全て正解してので、トラベルチャーンス！
みほ,え？
ダージリン,全国の彼氏持ち女子高生１００人に聞きました。答えは８つ。彼氏と行きたいデートスポットといえば？ちなみにこの問題、正解した回答を選んでいた女子高生の人数に応じて、その場所へご招待いたしますわ
みほ,で、デートスポット？
華,男の方と……行きたい場所……
沙織,やっぱりネズミーランドとか？
優花里,陸上自衛隊武器学校に、戦車を見に行きたいです！
麻子,ケーキバイキング
ダージリン,さあ、隊長のみほさん。答えは？
みほ,行きたい場所……行きたい場所……そうだ！
ダージリン,決まりましたか？
みほ,ボコランド！
華,え？
沙織,あそこ？
優花里,男の人と……ですか？
麻子,ううむ……
ダージリン,ではボコランド……ありますかしら
みほ・沙織・麻子・優花里・華,ある！ある！ある！ある！ある！ある！ある！
みほ,やっぱり！
ダージリン,ボコランド……８位に入っていましたわ。回答者は２人
華,先程は２人は少数意見でしたから、これはラッキーですね
沙織,というかボコランドもそこそこ人気あるんだ
麻子,意外
優花里,さすが、西住どのですね！
ダージリン,それではボコランドの招待券２名分を、差し上げますわ
みほ,うん……でもこれは、今回のこの機会を作ってくれたアリサさんに……
アリサ,え？
みほ,２人分ありますから……その……がんばってその人と行ってください
アリサ,え、ちょ、でも……まだその……
ケイ,バッカモーン！みんながここまでやってくれてんのよ。ここで行かなくてどうすんの
アリサ,あ、そ、そう……ですね
沙織,そうと決まったら、ほらほら
華,健闘を祈ってますわ
優花里,ばんざーい！ばんざーい！
麻子,結果報告には来い。待ってる
アリサ,わ、わかった……行ってくるわ！ありがとう！
みほ,がんばってください、アリサさん。パンツァー……
一同,フォーーー！！！
みほ,それで、どうだったんですか？
アリサ,ま、まあその……とりあえずフレンドからということで……ボコランドもふ、２人で行ったわ……
華,一歩前進ですね
沙織,戦車道仲間として嬉しいような、寂しいような
優花里,まあまあ武部殿、当分は戦車が恋人でいいじゃないですか
麻子,１年生も言ってただろう
沙織,私もはやく、彼氏が欲しいーーー！！！
