高森藍子,え、えええっと……。か、加蓮ちゃん？
加蓮,藍子？藍子ちゃん？藍子さん？気の所為かなー、閉じた瞼の向こうからすんごい視線を感じるんだけどなー？
藍子,……、…………、！コラム、うん、コラムっ
加蓮,……
藍子,このメモは……もう書いた後のっ。こっちのは、違う場所のメモですね。違う場所にしまっておこうっ
加蓮,……、うーん
藍子,ええと……
加蓮,どうしたものかなー
藍子,うん、ありましたっ。ええっと、"おすすめのメニューはズバリ――"
加蓮,この前はこう、藍子が完璧に復活した！ってことで頭がいっぱいだったけどさ
藍子,～～～～♪～～～～～♪
加蓮,それにこの子、普段から鬱陶しいくらい私のことを好き好きってうるさいし
藍子,～～～♪～～♪～～～～～♪
加蓮,でも、あの時のあれは――
藍子,う～ん……。サイフォンの写真、あったかなぁ……
加蓮,……
藍子,あった！……これなら、大丈夫かな。それなら、これを載せてもらいましょう。"みなさんなら、このサイフォンをどうデコレーションしますか？そのカフェではなんと――"
加蓮,……サイフォンのデコ？サイフォンって確か、コーヒーを淹れるあのビーカーみたいな……。デコ？デコ！？
藍子,～～♪
加蓮,ふ、不思議なカフェもあるんだね……
藍子,～～～～♪
加蓮,……
藍子,～～～～～～♪
加蓮,……ま、結局、藍子はいつも通り。アイドルしてて、カフェ巡ってて、ここにいて。……だから、考え過ぎなんだよね。色々と
藍子,～～～～♪～～～～♪
加蓮,今日だって、レッスンでトレーナーさんに久しぶりに褒められた話とか、学校で聞いたどうでもいいこととか、お父さんにもらった煎餅が美味しかったとか
藍子,～～♪～～～～……ここはこれでいいのかな……。あとでモバＰ以下［Ｐ
加蓮,あとまぁ、ほら、フツーにＰさんと仲良さそうにしてるし？恋する乙女の眼だったし？
藍子,～～♪～～～～～♪
加蓮,考え過ぎなんだろうけどね――
藍子,う～ん……。そういえば……コラム……。うふふっ♪
加蓮,お、どしたの？
藍子,この前、……ふふっ、嬉しかったなぁ。コラム、読んでますって直接言われた時……すっごくぽかぽかして……。それに、あの子も一緒にカフェに行く友だちができていて……。なんだか強気な子だったなぁ。でも、加蓮ちゃんと私のサインをもらった時、すごい、って言ってくれたっけ。あんなに喜んでもらえて……。ちょっと、大げさすぎるかな？って思ったけれど、でも……でも……。アイドル、ちゃんと続けてよかったなぁ……。……加蓮ちゃん……
加蓮,こらこら。……手、止まってるわよ。なーに蕩けてんのよ
藍子,わ、加蓮ちゃん！？……起きていたんですか？
加蓮,まあね
藍子,あはは……。もしかして、鼻歌で起きちゃったとか？それとも、物音で？
加蓮,別に気にしなくていいわよ。どうしても寝たかったって程じゃないんだし
藍子,それなら、よかった。……でも加蓮ちゃん、まだなんだか眠そう？
加蓮,そう？
藍子,なんだか、眠たくなったけれどまだ寝ていない時のような……
加蓮,……あ、あはははー
藍子,もうちょっと眠っていても、大丈夫ですよ～。今日はすごく暖かいですもんね。テラス席でも、膝枕ができるようになればいいけれど――
加蓮,下手なこと言うと店員がホントにやっちゃうよ？
藍子,あっ。……でも、それもそれでいいかもしれませんねっ
加蓮,あはは……。藍子さ、なんか図太くなった？
藍子,そうですか？
加蓮,そうです。でも、日向ぼっこしながら藍子の膝の上でお昼寝かぁ……。……。……そのまま天国に逝きかねないからそれは駄目
藍子,そ、それは確かにダメですね。じゃあ、その時は私が加蓮ちゃんに膝枕をしてもらいますっ
加蓮,なんでそうなるの……
藍子,……えへへ
加蓮,ん、交代する？
藍子,ううん、今はいいです。まだ、コラムを書いている途中ですし、それに……。……もうちょっと、こうしていたいな、って。ここに、加蓮ちゃんにいてほしいな、なんて……。だ、ダメですか？
加蓮,はいはい。ずっとこのままにして足が痺れても知らないからね？
藍子,その時は……ここで加蓮ちゃんとお泊り、ってことになっちゃうんでしょうか
加蓮,えー
藍子,それなら、パジャマと、お泊りグッズと、お布団も用意しなければいけませんね。あっ、それと明日の着替えもいるのかな？
加蓮,いや、なんで具体的に話進めてんの……？
藍子,ふふ♪暖かくなってきましたけれど、油断しちゃダメですよ？加蓮ちゃんっ
加蓮,…………
藍子,視線が冷たいっ。加蓮ちゃんも、春の風みたいにぽかぽかしましょうよ～
加蓮,ハァ……。何？お泊まり会でもしたいの？
藍子,さすが加蓮ちゃん、お見通しなんですね
加蓮,アンタねー……。最近何回うちに来てんのよ……。そうそう、ちょっと聞いてよ。お母さん、この前フツーに４人分のご飯用意しててさ。私とお母さんとお父さんと、それからアンタの分
藍子,それって、ちょっと前の……私が、お母さんに今日はちゃんと帰ってきなさいって言われた時の？
加蓮,そうそう、いや知らないけど。ってか、家にちゃんと帰る方が珍しいってどういうことなの……
藍子,そ、それは～……気のせいじゃないでしょうか～？
加蓮,このっ、家出娘めー！
藍子,家出！？
加蓮,家出ばっかりして、夜遅くまでフラフラしてっ。いつの間にそんな悪い子になったのよっ
藍子,そんなつもりはなかったんです！ごめんなさい、お母さん～！
加蓮,誰がお母さんよ！
藍子,きゃっ。じゃあ……ごめんなさい、おばあちゃん？
加蓮,……
藍子,痛ぁ！思いっきり蹴らないで～っ。そういえば、４人分用意してしまったご飯は誰が……
加蓮,ん？あー、"次に藍子ちゃんが来た時に食べてもらう"って言って冷蔵庫にね
藍子,あ～……
加蓮,だから今日うちに来ても、何日か前に作った味の落ちたご飯しかないよ。損だよ
藍子,でも、加蓮ちゃんのお母さんのご飯、美味しいですよ？味付けは、私のお母さんのご飯と全然違うけれど、加蓮ちゃんの家の味って感じがしますっ。……あっ。確かに、できたてじゃないのはちょっぴり損かも
加蓮,でしょ？ほら、来ても面白くないよね。じゃあ今日は、
藍子,それなら、私と加蓮ちゃんと、加蓮ちゃんのお母さんで作り直しちゃいましょうっ
加蓮,そっちに持ってくの！？お母さんと一緒に台所立つとか絶対嫌なんだけど！？
藍子,？
加蓮,なんでって……。なんか嫌じゃん。そういうの
藍子,む～……。加蓮ちゃんがそう言うなら……
加蓮,……
藍子,……
加蓮,……ま、うちに来るのも居座るのも別に勝手にしていいけどさ
藍子,いいけれど？
加蓮,……、別に。ほら、とりあえずコラムでも片付けちゃいなさい
藍子,あっ、そうでしたね。あともうちょっとで終わるので、待っていてくださいね、加蓮ちゃん
加蓮,はいはい。よいしょ、っと――
藍子,！
加蓮,った
藍子,あ
加蓮,……
藍子,……
加蓮,…………いくらなんでも、おでこ叩くことってなくない？
藍子,つ、つい。ごめんなさいっ。……ほら、さっきの仕返しってことでっ
加蓮,あーそう来る。これは言い返せないなぁ
藍子,ふふ。丸め込んじゃいましたっ
加蓮,そう言われるとムカつくー
藍子,コーヒー、ありがとうございます。店員さん
加蓮,ありがとね。……っと
藍子,あ……
加蓮,店員が生温かい目をしてたねー。もう慣れたけどー
藍子,……
加蓮,……何。名残惜しそうな顔して。別にいいでしょ。私だってコーヒー飲みたいし
藍子,そうですよね。……でも、なんだかちょっぴり寂しくなった感じがします
加蓮,じゃあそんな藍子ちゃんのために、今日は特別に加蓮ちゃんが隣にいてあげよう
藍子,ありがとうございます♪
加蓮,いただきます
藍子,いただきますっ
加蓮,……、
藍子,……、
加蓮,ふーっ
藍子,ふうっ
加蓮,……なんだかさ
藍子,？
加蓮,慣れちゃった。ここ
藍子,ここ、って……。ここ？
加蓮,んー、まぁそこもなんだけど。ここ
藍子,ここ
加蓮,藍子の隣
藍子,……あぁ、そういえば加蓮ちゃん、いつも慣れないって言って、向こう側に行っちゃいますよね
加蓮,向かい合う方が好きだし、私。そしたら藍子の顔を見れるもん
藍子,う～ん。私は、こうして隣にいてくれるのも好きですよ。側にいる、って感じがして
加蓮,分かるけどね。あとほら、膝に乗っけてもらってる時は別にそうでもないんだけどさ。藍子のすぐ隣で座ってると、そわそわしちゃって
藍子,私には、落ち着いているように見えますけれど……。あっ、でも、靴のつま先、ちょっとだけ跳ねちゃってる
加蓮,藍子ー
藍子,はいっ
加蓮,そういうのは、気付いても言わないの
藍子,それ、前にも言われちゃいましたね
加蓮,なんで嬉しそうにするのよっ
藍子,いたいっ
加蓮,それにさ。これはアレだよ。そわそわしてるとかじゃなくて。私はアイドルだから、つい歌のテンポを刻んじゃうんだよ
藍子,ここはカフェなのに？
加蓮,カフェだからって気を抜いていい理由にはならないでしょ。いつステージに上がらされるか分からないのよ？
藍子,それは加蓮ちゃんがやったことじゃないですか～
加蓮,いやいや。今度は藍子ちゃんが仕返しだって言って店員とグルになって、ここで撮影会とか握手会とか初めてもおかしくない。いつ来てもいいように準備しとかなきゃ！
藍子,……だからそういうの、言うなら本当にやりますよ？
加蓮,その時は藍子を巻き込む
藍子,私はカメラ役ですから、巻き込まれることはありませんね
加蓮,いやいや。ほら、よくあるじゃん。ドッキリ仕掛けてる側だと思ったら落とし穴に落とされるヤツ
藍子,落とし穴……！？
加蓮,大丈夫。怪我しないようにちゃんと工夫してあげるから
藍子,問題はそこじゃないですっ。落とさないでください！
加蓮,藍子みたいな子を落とすのが楽しいんでしょ！……ま、カフェに落とし穴は私じゃ掘れないから無理だけどさ
藍子,ドッキリなら……。一緒に撮影してもらう、とか？
加蓮,そんなとこかなー
藍子,急に言われたら、慌てちゃいますね……。でも、加蓮ちゃんと一緒なら、できそうな気がしますっ
加蓮,…………
藍子,？
加蓮,いや……。なんか急にたくましくなったね。ホント
藍子,加蓮ちゃんのおかげですね～
加蓮,撮影会、したいの？ならＰさんに話してみるけど？
藍子,う～ん……。やっぱり、オフの時はゆっくりしましょ？
加蓮,だよねー
藍子,……、
加蓮,……、
藍子,……ふうっ
加蓮,……ふー
藍子,……
加蓮,……
藍子,撮影会より……やるなら、LIVEの方がいいかも……
加蓮,……、。ホント、急にスイッチが入ったね。そんなに加蓮ちゃんのカフェマジックは効果てきめんだったの？
藍子,それもあるけれど……。ううん、撮影するのも、撮ってもらうのも好きですよ。握手会も、ファンのみなさんと会えて、お話できて、楽しいです。取材も、ロケも、他にも――。でも……。今は、もっといっぱい、加蓮ちゃんと歌いたいな、って
加蓮,……たはは
藍子,も～。笑うなんてひどいっ
加蓮,いや……あははっ。だって笑うでしょ。アンタ、ちょっと前まで一緒にステージに立つのあんだけ嫌がってたんだよ？ちょっと踏み込んだらすぐ逃げたりしてさ
藍子,う……
加蓮,もう忘れちゃった？
藍子,そ、それはもう終わったことです
加蓮,ふふっ
藍子,カフェのステージも、それから――お花見の、LIVEも。とても……とてもとても、とっても楽しくて。だから、もっと加蓮ちゃんといっぱい歌いたくてっ。……でも、ここでゆっくりしながら、加蓮ちゃんに膝枕をしてあげる時間も、好きで好きでしょうがないんです。あはは……なんだかワガママですよね、私。でも……楽しかったなぁ、LIVE。また歌いたいな……♪
加蓮,……、。……言っとくけど、今回のは手加減してあげただけだからね？藍子は復活直後だったし
藍子,へ？
加蓮,あんなのんびりまったりしただけのLIVE、普通ならやらないんだからね。アンタ達に合わせてあげただけだっていうの、忘れないようにしてよ？
藍子,……む。自然の色を出していこうって提案したの、加蓮ちゃんの方だったじゃないですか。加蓮ちゃんだって、すっごく自然体で――
加蓮,だからそれがアンタ達に合わせてあげただけなんだっての。アンタは病み上がり、黒幕ちゃんは自然体を装う緊張ガチガチ。私が突っ走ってもしょうがないでしょ？。お蔭で２人ともリラックスできてたし、LIVEは大成功。これは私のお陰だねー
藍子,病み上がりじゃないですっ。それに黒幕ちゃん……黒幕ちゃん！？
加蓮,黒幕ちゃん
藍子,……響子ちゃんのことですよね？それいつのお話ですか……
加蓮,いや、ごめん。あの子の演技ちょっと強烈すぎてさ、まだ忘れられないっていうかあれが初対面だったのが悪いっていうか……。学園の七不思議の時も、幽霊公演の時とかも……
藍子,……き、気持ちは分かりますけれど
加蓮,あ、そうだ。響子が最初なんか緊張してたのってさー
藍子,はい
加蓮,あれ多分、即興のユニットに藍子がいたからじゃないの？私は前に響子と歌ったことあるし
藍子,私！？なんでですかっ
加蓮,あの藍子ちゃんだよ？ゆるふわ空間の持ち主だよ
藍子,どうしてゆるふわな雰囲気で、緊張することになるんですか……
加蓮,なんかこう、そういう空気
藍子,言い訳するならもうちょっとしっかりしましょう！何か緊張する原因があるなら、どう考えても加蓮ちゃんの方ですよね！？
加蓮,ほー。私のせいと。何？真の黒幕は私とでも言いたいの？
藍子,……、響子ちゃんと加蓮ちゃんなら、響子ちゃんが黒幕で、加蓮ちゃんがその裏にいる真の黒幕って感じが――
加蓮,よしメッセージ飛ばしてやろ。響子ー？藍子が響子のこと腹黒って言ってたよー、っと
藍子,わ～～～～～～～！？。そういう意味じゃないですよ！あくまで役というかハマっているってことで、褒めているつもりで……。もういいです、じゃあ加蓮ちゃんだけが黒幕でいいです！
加蓮,どうせなら藍子もなれば？黒幕
藍子,黒幕ってそうやってなるものでしたっけ！？
加蓮,黒幕ー藍子ー黒幕真
藍子,なんのオセロなんですか！
加蓮,何が白銀の歌姫様よ。漆黒に染まりなさいよ。１６歳なんでしょ？
藍子,１６歳ってどう関係あるんですか……
加蓮,闇子
藍子,藍子ですっ
加蓮,でもさ、マジな話になるけど……
藍子,……！
加蓮,……そこまで身構える必要ないよ？。いや、ただ楽しかったなって。２人と歌うと、こんな感じになるんだなぁって。私って藍子とLIVEでバトることはあっても、一緒に歌うことって少ないし
藍子,……そうですね。向かい合いになることはあっても、隣に並ぶことはあんまり――
加蓮,でしょ？でさ。この前のカフェの時と、それからお花見LIVEの時。そうそう。それと、もうちょっと前の話になるけど、クリスマスのステージで響子と歌った時もかな。響子と歌った時。藍子と歌った時。藍子と響子と歌った時。あぁそっか、２人と歌う私ってこうなるんだ、って……。なんだか、他人事みたいだけどね
藍子,……、
加蓮,いいとか悪いとかじゃなくて？ただの感想かな。あと発見。あ、そっか、そういう感じなんだー、って。……でも、なんだろ。まだ私の中にもっと別の――。別の、じゃないのかも。私の知らない私？が、いたりするのかな。それだったら、もっと藍子と一緒に歌いたいっていうのも……。ふふっ。そこは藍子と同じなのかもね、私
藍子,……、。それなら、私は……そこは、加蓮ちゃんと同じなのかも
加蓮,？だからそう言って、
藍子,ううん。色んな加蓮ちゃんが――あなたもまだ知らない加蓮ちゃんが、あなたの中にいるのだとしたら。きっとそれは、私が隣にいない時に、表に出てくるでしょうから。私は、そんな加蓮ちゃんが……。自分の知らない自分を見つけた時に、加蓮ちゃんが戸惑ったり、不安にならないように、正面で、向かい合って見ていたいです。だから、加蓮ちゃんと同じっ
加蓮,……そか
藍子,あ、だからといって、私はもう加蓮ちゃんから離れませんからね。それだけは、絶対ですっ
加蓮,ったく、アンタは一体どこにいたいのよ……。……藍子
藍子,はい
加蓮,その、さ。隣にいる、って、言ってくれた時の……
藍子,……？
加蓮,……、。……じゃーいいわよ。隣にいたいんだーとかなんとか言っていざとなったらさっさと消えちゃう藍子なんて知らないわよ。響子と浮気してやるもん。藍子のことなんてもう知らない
藍子,ええええっ！？
加蓮,うわ！？……至近距離で叫ぶのやめてよ、耳が痛いでしょっ
藍子,あ、ごめんなさい。でもっ……えっ、ええ！？加蓮ちゃんと、響子ちゃんが――！？
加蓮,分かった。アンタなんか訳分かんない誤解してるから。うん。冗談言った私が悪かった。ごめん
藍子,ほっ……。冗談だったんですね。びっくりしたぁ
加蓮,と見せかけて？
藍子,そういうのやめて～～～～っ！
加蓮,あはははっ！。まぁ……また歌う機会があればいいね。いつもライバルで、バトルとかばっかりしてるけど。たまにはこういうのも悪くないかも、ね
藍子,はいっ
加蓮,っと。コーヒーごちそうさまでした
藍子,私も。コーヒー、ごちそうさまでした
加蓮,さてどうしよっか。もう帰る？それとも時間も半端だし事務所にでも行ってみる？今誰かいるのかな。そうだ、響子でも探してこの前の反省会とかでも――
藍子,加蓮ちゃんっ
加蓮,？
藍子,はい♪
加蓮,えっ
藍子,はい、どうぞっ♪
加蓮,…………逃さない？
藍子,はい。逃しませんっ
加蓮,えー……。これ解散する流れじゃなかったの？
藍子,♪
加蓮,……はいはい。っと
藍子,……♪
加蓮,……
藍子,……ふふ♪
加蓮,……
藍子,ね、加蓮ちゃん
加蓮,何。藍子
藍子,……ううん。なんでもないっ
加蓮,そ
藍子,加蓮ちゃんが、ここにいるな、って……思っただけです。ふふっ
加蓮,……うん
藍子,……♪
加蓮,……♪。……考え過ぎか、そうじゃないか。変わったか、変わってないか。ここ最近、いろんなことがあったけど。そうだよね。藍子が、ここにいるんだよね。ここにいてくれてる。……うん。……うんっ
