ありす(22),なんですかその言い方はっ！
ありす,どの口がほざきますか。嫌ってた？オフの日にはしょっちゅう家に遊びに行ってたような娘が。オフどころか仕事が終わった後も家に送ってもらうところを強引にプロデューサーのお家に上がりこんでましたよね。そのままお泊りしたことなんて何度ありましたっけ？へぇ～、嫌ってる相手に？そうですかそうですか
晴,橘ってオレに盗聴器か何かつけてんのかよ！怖ぇよ！オレまゆよりお前が怖ぇよ！
ありす,事務所の中でも休憩中に一緒にゲームしたりそのまま眠くなってプロデューサーのお膝で寝たり…。プロデューサーに言われればどんな衣装も着ましたし。何ですか？拓海さんホジションでも狙ってたんですか？
晴,違ぇよ！Ｐが折角取って来た仕事だし邪険にするのもなぁ…って思ってただけで…
ありす,言っておきますけどね！チョロさでは私は誰にも負ける気がしませんからねっ！
晴,ああそうだなお前には誰も勝てねぇよ！
ありす,３４６プロのちょろ娘四天王は伊達じゃありませんからねっ
晴,んなの初耳だぞ。誰だよ残りの３人
ありす,凛さん、みくさん、幸子さんに決まってるじゃないですか。何を当たり前のことを
晴,何がどう決まって……ああ、言われてみれば当たり前の人選だな
ありす,納得していただけましたか。すいませーん、注文お願いしまーす
晴,おい、まだ飲むのかよ
ありす,飲くなきゃやってられませんよ。晴さんも飲んだらいいじゃないですか
晴,オレはいいっての。酒好きじゃねえし
ありす,ノリが悪いですねぇ…輝子さんや幸子さんはいつも付き合ってくれますよ？
晴,その面子で飲んでんのかよ…凄ぇ光景になりそうだな
ありす,そんなことないですよ。普通です普通。ただちょっと輝子さんがヒャッハーして幸子さんがメソメソするだけですから
晴,知ってっか？そういうの世間では阿鼻叫喚って言うんだ
ありす,現役アイドル達の飲み会を何て表現するんですか
晴,現役アイドルって自覚が残ってるのな、ちょっと安心だわ。んで、いつもどんな話してんだ？その３人で
ありす,まぁ、大体仕事の話ですね。最近はどんな調子だとか、今はどんな仕事をしているかとか…。あとは…
晴,あとは？
ありす,……プロデューサーの事、とか……。すいませーん！イチゴサワー追加で！ジョッキで下さいジョッキで！
晴,スンマセン。普通のグラスでいいです。コレの言うことは無視でいいんで
ありす,どうして待ってくれなかったんですかぁーー！
晴,また戻っちまったよ…おーい、グラスでテーブル叩くなっての。あ、コラ枝豆皮ごといくな！
ありす,うじゅぅぅぅ…！
晴,情念強すぎだろ橘…。他の人たち見習えよ。流石にもう何年も経ってるからみんな落ち着いてるだろ？
ありす,そうですね…凛さんだってまゆさんだって、今ではすっかりおとなしくなりましたもんね…
晴,だろ？
ありす,ハッ、そんなの表面上だけですよ。晴さんと同じです
晴,オレは関係ねえだろ
ありす,事務所にいるとき未だに目で追いかけてるクセに。この思春期２２歳
晴,んな事してねぇって！
ありす,いいんですよ、もう。そういうの。面倒臭いんで、はい。証拠映像
晴,ちょっ！
ありす,以上、視線に気づいたプロデューサーに声かけられて慌てて何でもない
晴,
ありす,さて、何か反論は？
晴,何でこんなモン撮ってんだよｫ…
ありす,そんなの、晴さんがけしから可愛かったからです
晴,お前ホントにオレの事嫌いか？
ありす,友人としては好きですけど
晴,オレもうお前と飲みに行かねぇ…
ありす,それは困ります。こうしてゆっくりお酒の席に付き合ってくれるのは晴さんぐらいしかいないんですから
晴,ヒャッハーと号泣カワイイの飲み会だもんなぁ
ありす,もちろん他にもご一緒する人はいるんですけどね
晴,例えば？
ありす,そうですね…先月は響子さん、ゆかりさん、智絵里さんと…あ、後からまゆさんも合流しましたね。その前は和久井さんと三船さん、服部さんにご一緒しましたし
晴,…ちなみに、そういうメンツでどんな話すんだよ
ありす,うーん…それが毎回よく覚えてないんですよね…。盛り上がって結構量を飲んでしまうせいか。翌日には何も覚えていないんです。はぁ…、どうしたらいいんでしょう
晴,諦めろって。相手はもう既婚者だろ？
ありす,それはそうなんですけど…でも、最近気がついてしまったんですよ
晴,聞きたくない気もするけど一応聞くわ。何をだよ
ありす,プロデューサーが結婚したのは確かに物凄いショックだったんですけど。プロデューサーが結婚…他人のものになってしまった。そう考えるとちょっとゾクゾクする自分がいるってことに
晴,戻って来い橘！何変な性癖に目覚めかけてんだよ！
ありす,何なんでしょうね、この感情は…物凄く悔しくて辛いはずなのに…
晴,えっと、清良さんの番号、番号…
ありす,失礼な、人をまるで病気みたいに
晴,自覚症状が無いだけだろ！。なぁ、そろそろ帰らねぇか？お前はオフでもオレは仕事なんだよ。あんまり遅くなると明日がキツいんだっての
ありす,若いのに何をそんな情け無い事を…私なんて二日酔い押して仕事したことだってありますよ
晴,だから最近友紀２号。流石に付き合いきれねぇし、オレ先に帰るぞ？
ありす,むぅ～…、親友を置いて一人だけ帰るんですかぁ？
晴,親友だと思ってくれてるならオレの事も配慮してくれよ
ありす,何ですか、そんな大事なお仕事なんですかぁ？仕事と私と、どっちが大事なんですかぁ！
晴,お前はオレの彼女かっての！
ありす,私はプロデューサーの彼女になりたかったですよー！
晴,あーもう！スイッチ緩過ぎだろこの泣き上戸！。明日は久しぶりにＰとの地方ロケなんだから早めに寝て準備しておきたいんだってのに…
ありす,……。…はい？
晴,あ
ありす,…おやおや、今聞き捨てなら無い台詞が聞こえてきたような気がしますねえ…
晴,き、気のせいじゃないか…？。あ、じゃあオレそろそろ本気で帰るわ。んじゃ飲みすぎんなよ橘
ありす,逃がすと思いますか？
晴,
ありす,さ、何か注文しましょうか。ゆっくり、お話聞かせてもらいましょうか。ねぇ…？はるさん
晴,ｵｳﾁｶｴﾘﾀｲ
ありす,お疲れ様でした。ほら晴さん、乾杯しましょう乾杯
晴,チクショウ…結局強引にロケについてきやがって…
ありす,プロデューサーと二人だけで地方の温泉ロケなんて許されると思いました？。プロデューサーはもう既婚者なんですよ？年頃の娘さんと二人きりになんてさせられませんよ
晴,はい、本音
ありす,そんな羨ましすぎる状況にさせてたまるか
晴,オレ、お前のそういうハッキリしてるところは割りと好きだわ
Ｐ,おー、もう始めてるのか二人とも
ありす,あ、プロデューサー。お疲れ様です
晴,おーっす。先にやってるぜー
Ｐ,晴も橘さんもお疲れ様。いきなり橘さんが押しかけてきた時はどうなることかと思ったけどな
ありす,ありすです。未だにあなたに名前で呼んでもらえないありすです
晴,ホテルの支配人さんがありすのファンだったなんて都合良かったなぁ
Ｐ,ま、結果オーライってヤツだな
ありす,あ、ビールお注ぎしますよ
Ｐ,悪いな。…晴は相変わらずコーラか
晴,うっせ。Ｐだってコップ１杯ぐらいが限界の癖に
Ｐ,いいんだよ。俺まで酔ったら収拾つかなくなっちまうメンツが多すぎるからな、ウチは
ありす,そうですよねぇ
Ｐ,…あ、そうだ。会社にはもう報告してあるし近々バレるだろうから二人には先に報告しておくな？
ありす,なんですか、改まって
晴,クビにでもなったか？
Ｐ,違うわ！えーっと…なんだ、改まって言うとちょっと気恥ずかしいな…
ありす,離婚しましたか？
Ｐ,してません。良い笑顔でなんて不吉な事を言うんだ苺娘
晴,じゃあ何だよ。もったいぶらずに早く言えよー
Ｐ,あー、うん。んじゃあ…。子供が出来た
ありす,
晴,
Ｐ,いやぁ、ようやく俺も父親だよ。あ、もちろん仕事は今までどおり続けるから安心してくれな
ありす,
晴,
Ｐ,橘さん？晴？
ありす,……。……ぅ
晴,うわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁん！！
Ｐありす,！？
橘さんと呼ばれてさり気なく,ありすです
