ミリP,以下、P
Ｐ,…………！
エレナ,ンー……
田中琴葉,以下、琴葉
琴葉,……？。……えっ？
Ｐ,……あっ
エレナ,モー、なんで目を逸らしちゃうノー！？
Ｐ,え、エレナ……それどころじゃ
琴葉,えっ？……えっ？
エレナ,……？。あっ、コトハ！
琴葉,……どういう事？
Ｐ,琴葉の目からハイライトが消えた……っ！
エレナ,エヘヘ……今日のプロデューサーはネー？
琴葉,プロデューサーは？
エレナ,ワタシの……ダーリン、なんだヨー♪
Ｐ,ハハハ
琴葉,…………
Ｐ,……琴葉？
琴葉,…………
Ｐ,琴葉ぁっ！？
琴葉,小鳥さん、お願いがあります
小鳥,琴葉ちゃんからお願いなんて……何かしら？
琴葉,……どうすれば、プロデューサーの布団に潜りこめますか
小鳥,あらぁ……？
琴葉,あれから、警戒が強くなっちゃって……
小鳥,？あれからって？
琴葉,……この前、エレナと一緒に寝てたんです
小鳥,詳しく聞かせてちょうだい。またなのね……またなのね
琴葉,だから……私も、頑張ろうと思って
小鳥,……ふふっ、分かったわ
琴葉,小鳥さん……！
小鳥,女の子の恋心だもの……邪魔なんてできないわよ。さて、それで方法の方だけど……
琴葉,…………
小鳥,……ここまで来たら、もう家に乗り込むしかないわ
琴葉,！？そ、それは……
小鳥,まさか、プロデューサーさんも家の前まで来たアイドルを追い返しはしないはず
琴葉,で、でも……迷惑になるんじゃ
小鳥,それは……否定しきれないわね
琴葉,うぅ……迷惑をかけるのは、ちょっと
小鳥,琴葉ちゃんは優しいわね……。でもね、それじゃ多分布団に潜りこむのは難しいと思うわ
琴葉,う……それは、そうですけど
小鳥,他の子に盗られちゃうかもしれないわよ？。私がこんな助言してる場合なのかって話だけど。琴葉ちゃんはどうしたい？
琴葉,……私、プロデューサーを盗られるのはイヤです。ワガママ、なのかな……
小鳥,女の子なんてそんなものよ？。それじゃ、まずは変装して――
P,ふぅ……今日もお疲れ様でしたー
小鳥,お疲れ様でした！
P,ふぅ……企画書もまとまったし、これで明日からバリバリ動けますね
小鳥,今日は随分と熱心にやってましたね？
P,企画の内容、忘れたくなくて……
小鳥,ふふっ、楽しみにしてますね！。今日はそのまま帰るんですか？
P,ええ、まぁ……？。今日は飲みに誘わないんですね？
小鳥,えっ？い、いやその……今日は、帰ってやりたい事があるので！
P,？まぁ、それならそれで良いですけど……。それじゃ、お先に失礼しますね
小鳥,……ひょっとして、今日は飲みに誘ったら来てくれたのかしら。琴葉ちゃん、今プロデューサーさんが事務所から出たわ。……頑張ってね！
P,…………
琴葉,…………
P,さっきから……誰かにつけられてる気がするな。ミラーで確認してみるか……
琴葉,…………
P,動きを合わせてきてる……素人か？。帽子で顔が分からない……誰か分からないな。……そういう事なら、こっちにも考えがある
琴葉,！
P,次の角で曲がって……
琴葉,ダメ……見失っちゃう！。何処に……ってきゃあ！
P,捕まえたぞ、さっきからなんで尾行し、て……
琴葉,あ、あぅ……
P,……こ、琴葉？
琴葉,ご、強引に壁に押し付けられて……。きゅぅ
P,琴葉！？しっかり！
琴葉,ん……
P,琴葉、目は覚めたか？
琴葉,部屋の中……ここは？
P,ん？俺んち
琴葉,……へっ！？。ぷ、プロデューサーの家……
P,あのまま道端に置いていくわけにもいかなかったからな……
琴葉,ご、ごめんなさい……
P,いや、それ自体は構わないんだけどさ。……どうして、俺の事つけてきたんだ？
琴葉,そ、それは……その。……う、羨ましかったんです
P,だからって限度があるだろう……
琴葉,だって、未来ちゃんや志保ちゃんだって一緒に寝てもらったのに……
P,……言い方をもうちょっと考えてだな
琴葉,……ともかく、ズルいじゃないですか
P,ズルいって……だからって、家にまで来ることなかったんじゃないか？
琴葉,でも、そうでもしないとやってくれないですよね？
P,まぁ、それはそうだが……。……もしかして、今日は泊まる気なのか？
琴葉,……や、やっぱりダメですか？
P,もうここまで来たら仕方ないけどさ……。ちなみに、断ったらどうするつもりだった？
琴葉,考えてたのだと……みんなにバラす、とか
P,断らなくて正解だったな……
琴葉,ごめんなさい……やっぱり、迷惑ですよね
P,……まったく、ここまで来て迷惑って心配するあたり琴葉らしいな
琴葉,うぅ……ご、ごめんなさい
P,もうこんな無茶はやめてくれよ？。悪徳さんに見つかったらシャレにならないからな
琴葉,はい！
P,分かってくれればいいよ……。……っと、腹が減ったな。さて、何か食べるものを……
琴葉,あっ、私何か作りますよ！。ここで少しでもアピールを……
P,琴葉の料理が食べたいのは山々だけど……でも、冷蔵庫何にもないぞ？
琴葉,えっ？それじゃ、今から何食べる予定だったんですか？
P,昨日買ってきたカップ麺
琴葉,…………
P,あぁ、でもカップ焼きそばも捨てがたいな……
琴葉,プロデューサー
P,ん？
琴葉,今日は私が作りますから、食材買いに行きましょう
P,え？でも……
琴葉,いつもそんなんじゃ、身体壊しちゃうかもしれないじゃないですか！。ただでさえお仕事が大変なのに……
P,わ、悪かった……
琴葉,分かれば良いんです
P,それじゃ、近くのスーパー行くか……
琴葉,はい！
P,琴葉はなんでこんな嬉しそうなんだ……？。というわけで、買い物に来たわけだが
琴葉,さ、行きましょうプロデューサー！
P,琴葉、変装してるとはいえ声はもう少し小さくだな……
琴葉,え？でも、この格好ならバレませんよね？
P,それはそうかもしれないが……プロデューサーって呼んでたら、誰かが勘づくかもしれないだろ？
琴葉,そうですか？それなら……。そういえば、エレナはダーリンって呼んでたよね……
P,琴葉？
琴葉,そ、それじゃ……アナタ、とか
P,！？
琴葉,きょ、今日の晩御飯は何にしましょうか……あ、アナタ
P,そ、その呼び方はやめないか？
琴葉,だ、ダメでしょうか……
P,流石に恥ずかしいからさ……
琴葉,そうですか……
P,な、何故か罪悪感が……
所恵美,以下、恵美
恵美,早く帰らないとなー……？。ん？アレってもしかしてプロデューサーかな？。まさかプロデューサーと会えるなんて……アタシ、今日はツイてるかも！。おーい、プロ……
琴葉,プロデューサー！お願いがあるんですけど……
P,うん？どうかしたのか
琴葉,その……あ、アイス買っても良いですか？
P,構わないよ……折角だし、俺も買おうかな
琴葉,プロデューサーはどのアイスが好きですか？
P,俺か？そうだなぁ……普段食べるのはモナカとかだけど
琴葉,それなら、分け合いっこしませんか？。カップアイスなので、分けやすいかなって……
P,カップアイス美味しそうじゃないか、そうするか
琴葉,はい！
恵美,……え？。琴葉とプロデューサー……だよね？。二人で……なに、してるの？
P,――――
琴葉,――――
恵美,……そ、そっか……そう、なんだ。……い、いやー！アタシってば鈍感だなぁ！アハハ！。…………。し、幸せそうな二人を邪魔するわけにはいかないもんね……。……さよなら
P,ただいまー
琴葉,た、ただいま……
P,なんでそこまで緊張してるんだ？。琴葉、食材は足りそうか？
琴葉,はい……これだけ買えば大丈夫そうです
P,それなら良かった……今日は何を作るんだ？
琴葉,はい……今日は、肉じゃがにしてみようかなと思うんですけど
P,肉じゃがか……
琴葉,も、もしかして苦手でしたか？
P,いや、大好物！
琴葉,そ、そうですか！良かった……。それじゃ、プロデューサーはリビングで寛いでてください！
P,え？そういう訳にもいかないだろ
琴葉,……え？
P,家主とはいえ、流石に何もしないで待ってるってのはな……。野菜切るくらいならできるからさ、手伝うよ
琴葉,い、良いんですか？
P,勿論……あ、難しいのはできないから勘弁してくれよ？
琴葉,そ、それじゃ……お願いしますね
P,琴葉―、ジャガイモどのくらいの大きさで切ればいい？
琴葉,えっと……一口サイズくらいで切ってもらっても良いですか？
P,おう……このくらいか？
琴葉,はい、バッチリです！
P,よっし……
琴葉,なんか……本当に、新婚さんみたい。ふふっ……。はい、どうぞ！召し上がれ！
P,うおっ……これは、また豪勢な。それじゃ、頂きます！
琴葉,ど、どうでしょうか？
P,……うぅ
琴葉,ぷ、プロデューサー！？
P,美味い……家に帰ってきて、こんな美味いもん食えるなんて。涙出てきた……温かいご飯って、こんなに美味いんだな
琴葉,ああっ！はい、ハンカチどうぞ！
P,す、すまん……涙もろくなったかなぁ
琴葉,練習してた甲斐があったわ……よし
P,ふぅ……ご馳走様でした
琴葉,お粗末様でした……。プロデューサー、次はどうしますか？
P,ああ……そうだな、風呂でも入るか
琴葉,お、おおおお風呂ですか！？
P,？琴葉、風呂好きだろ？
琴葉,そ、それはそうですけど……
P,野菜切り終わった後にお湯張っておいたからさ、良い具合だと思うよ
琴葉,あ、ありがとうございます……
P,それじゃ、先に行っておいで
琴葉,えっ？
P,？どうかしたか？
琴葉,え、えっと……その。……一緒に入らないのかな、って
P,！？
琴葉,や、やっぱりダメですよね！お風呂頂いてきます！
P,…………。琴葉……俺の家に来て、異様に積極的になってないか？。と、とりあえず着替えを用意しておくか……
琴葉,わ、私何を言って……！。もう、私が私じゃないみたい……。……そういえば、ここ。いつもプロデューサーが浸かってるんだよね。…………っ。は、恥ずかしくなってきちゃった……。お先に頂きました……
P,おっ、ちゃんと温まれたか？。引き戸越しにだけど、上機嫌そうな声が聞こえるな
琴葉,はい、良いお湯でした！
P,それなら良かった……。……それじゃ、湯冷めしないうちに着替えてくれるか？
琴葉,……これ、ちょっと大きいかもしれないです
P,新しいのを出してきたんだが……やっぱりサイズが合わないか。うーん、他に着れるのなんて……
琴葉,こ、ここでグイグイいくべきなのかな……。……そうだ、アレを着ても良いですか？。アレなら、少し丈も長いし……着れると思うんですけど
P,アレ？まぁ着れるなら、それで良いけど
琴葉,はい、それじゃぁ……。お、お待たせしました
P,あ……ぁ？
琴葉,Yシャツ一枚。に、似合いませんか……？
P,…………。は、ハンガーにかかってたYシャツか……！
琴葉,な、何とか言ってください……
P,あ、ああ……とっても、似合ってると思うが
琴葉,そ、そうですか！
P,……な、なんか犯罪チックな感じが
琴葉,……そ、そんなにジっと見られると照れちゃいます
P,わ、悪い！つい……。お、俺も風呂入ってくる！
琴葉,い、行ってらっしゃい……。プロデューサー……可愛いって思ってくれたのかな？。もし、そうなら……嬉しいな。プロデューサー！このカップアイス、とっても美味しいです！。柔らかすぎないのにとろける感じがして……
P,そこまでか……それは美味しそうだな
琴葉,はい、プロデューサーもどうぞ！
P,良いのか？
琴葉,勿論です！はい、どうぞ
P,それじゃ……んむ。本当だ、凄く美味しいな
琴葉,選んで正解でした……
P,そら、こっちもお裾分け
琴葉,モナカ……さっき、オーブン入れてましたよね？
P,ああ、程よく焼くと美味しくなるんだ
琴葉,そうなんですか……初めて知りました
P,まぁ、物は試しだな。さ、どうぞ
琴葉,いただきます……。！美味しい……！
P,そうだろ？このちょっとした工夫で美味しくなるのが最近マイブームでさ……
琴葉,あ、あの！もう一つ頂いても良いですか！？
P,いいよ……はい
琴葉,あむ……おいひぃでふ
P,それから、食べ終わるまでずっと食べさせ合いっこしてた。琴葉は本当にアイスが好きなんだな……。さて、そろそろ寝ようと思う訳だが……
琴葉,…………
P,……あっさりと潜り込んだな
琴葉,そ、それはその……この為に来ましたから
P,それもそうだった……
琴葉,ふ、不束者ですがよろしくお願いします
P,……何故か、別の意味に聞こえる
琴葉,……う、うぅ
P,家まで来た割には、やけに距離を取られてるんだが。あ、あの琴葉？無理はしなくて良いからな？
琴葉,……いえ、平気です
P,そ、そうは言ってもだな
琴葉,大丈夫、大丈夫……。……えいっ
P,い、一気に距離を詰めてきたな
琴葉,そ、それじゃあ……お願いします
P,じゃ、じゃあ……優しくするから
琴葉,い、いえ……力強く、やってもらっても良いですか？
P,？でも、苦しいかもしれないし……
琴葉,…………
P,……分かった
琴葉,……ぁっ
P,やっぱり強すぎたか？
琴葉,良いです……このままで。プロデューサーに必要にされてる様な……そんな感じがして
P,そ、そうか……？
琴葉,はい……いつも、こういう事してくれないから……。クセになっちゃいそうです……♪
P,そ、そうか……。ダメだ、可愛い……
琴葉,ぷろでゅーさぁ……
P,そ、そう見上げられると……その。目が潤んで……なんというか、色っぽいんだが
琴葉,……あの、良いですか？
P,？何の話だ？
琴葉,そ、それは……その。……き、キスとか
P,！？ま、待て落ち着こう、な？
琴葉,だ、だって……エレナとも、キス、したんですよね？
P,してない！してないから！
琴葉,ほ、本当……ですか？。あ……でも、それなら
P,？
琴葉,……これが、アイドルとするファーストキスって事ですよね
P,！？
琴葉,……そ、それじゃあ
P,こ、琴葉！とりあえず今日は寝よう、な！？
琴葉,で、でも……
P,ほら……そういうのはまた今度って事で
琴葉,むぅ……分かりました
P,話が早くて良かった……それじゃ、寝るか
琴葉,はい……。それじゃ……また今度、楽しみにしてますね？。……忘れてちゃイヤですよ？
P,はは……分かったよ。それじゃ、そろそろお休み
琴葉,はい……。……きです、プロデューサー。ん……。あれ……早めに起きちゃったかな。プロデューサーは……。ふふっ……こうしてみると、まるで子供みたい。…………。……はっ！？わ、私ったら……。でも、このままじゃ勿体ないような……そうだ。えっと、フラッシュの設定を切って……っと。……よし、撮れた。壁紙にしちゃおっと……。……それじゃ、もう少しだけ寝ちゃおうかな。今日くらい……ちょっと悪い子になっても良いですよね？
P,……ん
琴葉,…………♪
P,おはようございまーす
小鳥,ゆうべはおたのしみでしたね！
P,な、何を知っているというのか……！
小鳥,ん？なんでそんなに不安そうな表情を……。ま、まさか……そんなに、人には言えない事してたんですかっ！？
P,そ、そんな訳ないでしょう
小鳥,そういえば……まさか、琴葉ちゃんと何かあったんじゃ
P,アレ、音無さんの差し金だったんですか！？勘弁してくださいよ！
小鳥,アレ、とは？
P,え？琴葉に手料理振舞ってもらったりとか……
小鳥,私、そこまで羨ましい事アドバイスしてません……！
P,えっ
小鳥,ずるいずるい！私も二人きりでお泊まりしたいですよぉ！
P,いや、音無さんなら普通に帰れるでしょ……タクシー呼んでくださいよ
小鳥,家まで辿り着けさえすればこっちのもんですよ……ふふ
P,尾行を撒く為の技術を磨かないといけないな……
琴葉,おはようございます
P,ああ、おはよう琴葉
琴葉,プロデューサー、おはようございます！
小鳥,おはよう琴葉ちゃん……早速なんだけど、聞いても良い？
琴葉,はい？
小鳥,昨日、プロデューサーさんと何があったの？
琴葉,えっ！？な、何って……その
P,…………
琴葉,……な、何もないですよ♪
小鳥,羨ましいわ……
P,琴葉、今日は三人でのダンスレッスンだよな？
琴葉,はい！恵美やエレナと一緒に！
P,やっぱり嬉しいか？
琴葉,勿論です！その後、お出かけできないのは残念ですけど……
P,悪いな、雑誌のインタビューをどうしても、って頼まれちゃってさ
琴葉,そ、そんなプロデューサーが謝る事なんて……
P,また今度時間は合わせるよ
琴葉,……はい！
小鳥,それじゃ、そろそろ出た方が良いんじゃないですか？
琴葉,そうですね……それじゃ、行ってきます
P,ああ、力入れすぎて怪我しないようにな
琴葉,どうでしょうか……エレナ、とってもダンスが上手だから
P,……ホントに、頼むぞ？レッスン終わったら連絡してくれ
琴葉,任せて下さい！
エレナ,コトハ、遅いねぇ……
恵美,プロデューサーと話してるんじゃない？
エレナ,ナルホド！コトハ、プロデューサーと仲良しだもんネー♪
恵美,……そ、だね。仲良しだもんね
エレナ,？どうかしたノ恵美？
恵美,えっ？んにゃ、なんでもないって！
エレナ,……具合悪いなら、休んでもいいんだヨ？
恵美,心配しなくても大丈夫だって！
エレナ,ホント？
恵美,ほ、ホントだって！
エレナ,ムゥ……それじゃ、信じるヨ？
琴葉,ゴメン、遅れちゃった！
恵美,あっ、琴葉！おはよ！
エレナ,モー、遅いヨ、コトハ！
琴葉,ゴメンってばー
トレーナー,それじゃ、田中さんも揃ったので……
琴葉,はい、よろしくお願いします！
トレーナー,じゃ、ここで十分休憩！
恵美,いやー！エレナのダンスは相変わらず凄いねー！
エレナ,エヘ、まだまだこれからだヨー？
琴葉,はぁ……私も、もう少し運動した方が良いのかな
エレナ,あっ、それじゃ一緒にサンバとかしちゃう？
琴葉,そ、それはちょっと……
エレナ,エー、楽しいのにー
琴葉,サンバはちょっと……。あっ、ゴメン……プロデューサーから、連絡がきたみたい
エレナ,プロデューサー、なんて言ってたノ？
琴葉,そ、そんなに大切な連絡じゃないから……
恵美,えー？良いじゃん、アタシにも見せてよ！。――えっ？
琴葉,も、もう恵美！見ないでってば！
恵美,ご、ゴメン……
エレナ,ネー、プロデューサーなんて？
琴葉,えっと――
恵美,…………。今の、プロデューサーの寝顔だった……。もしかして……昨日の？。…………っ
トレーナー,はい、そろそろ再開するわよー
琴葉,はい、今行きます！
エレナ,さ、後半戦も張り切っていっちゃうヨー！
恵美,…………
小鳥,教えてくださいよ、ケチー！
P,まったく……なにがそんなに気になるんですか
小鳥,だって、あんな甘々オーラ出されてたんですよ！？。これは何かあったと思うのが普通じゃないんですか！
P,甘々って……大したことはしてないですよ
小鳥,うぅ、信用できない……
P,なんで今日はそんなにしつこく絡んでくるんですか……。……ん、電話か
小鳥,誰からですか？
P,えっと……琴葉から、ですね
小鳥,琴葉ちゃん？何かあったんでしょうか
P,なんでしょう……とりあえず、聞いてみない事には。もしもし、琴葉？レッスン中じゃないのか？。切り上げた？
トレーナー,所さん、集中して！
恵美,――っ！
トレーナー,――はい、ストップ！。所さん、どうかしたの？
エレナ,メグミ、やっぱり具合悪いノ？
恵美,へ、平気だってば！ごめんなさい！
トレーナー,そ、それなら良いけど……
琴葉,…………
恵美,ほ、ホラ！まだ最後の振付やってないでしょ？
エレナ,それは……そうだケド
トレーナー,……それじゃあ
琴葉,恵美
恵美,こ、琴葉？
琴葉,……今日はやめておこう？また、今度頑張れば良いでしょ？
恵美,で、でも……
琴葉,プロデューサーなら、きっとそう言うと思うから
エレナ,コトハ……
恵美,……そう言われたら、断り切れないじゃん。ゴメンね……
P,なるほど、そんな事が。気にするな、むしろよくやってくれたよ。怪我でもしたら、その方が問題だからな。それで？恵美はどうした？。分かった、ありがとう。とりあえず、琴葉は取材の場所に向かってくれ。……さて
小鳥,どちらに？
P,ちょっと、楽屋の方まで
小鳥,ふふっ……行ってらっしゃい
P,……はい、行ってきます
小鳥,…………。あーあ、私の事も迎えに来てくれないかなー
P,さて、楽屋の方に……
エレナ,アレ、プロデューサー？
P,エレナ？レッスン早めに終わったんだろ？
エレナ,まだまだ踊り足りなくて……外で一踊りしてきたノ！
P,はは、元気いっぱいだな
エレナ,ウン！まだまだ、踊れるヨー？
P,それは頼もしいな……空いてるレッスンルーム、使って良いからな
エレナ,ホント！？ヤッター！
P,……ところでエレナ、今日恵美が調子悪かった理由分かるか？
エレナ,ンー……
P,どんな事でも良い、ひょっとしたら大事な事かもしれないからさ
エレナ,ホントにどんな事でも良いノ？
P,ああ
エレナ,エーット……確か、今日は朝から変な感じだったと思うヨ？
P,朝から？
エレナ,ウン！でも、休憩までは普通にできてたし……
P,休憩……か。それはいつくらい？
エレナ,一時間くらい後だったと思うケド……
P,一時間か……俺が琴葉に連絡したあたりか？
エレナ,プロデューサーがコトハに連絡したから、羨ましくなっちゃったんじゃナイ？
P,ま、まさか……ははは。でも、ありがとな。教えてくれて
エレナ,……ねぇ、プロデューサー
P,どうした？
エレナ,メグミ、またキット一人で悩んじゃってると思うケド……。メグミの話、聞いてあげてネ？。ワタシ達には話してくれないと思うから……
P,……エレナ達に話してくれないのに、俺に話してくれると思えないんだが
エレナ,話してくれると思うヨ？
P,…………？
エレナ,だって、メグミはプロデューサーの事ダイスキだからネ！
P,流石に、それは考え過ぎだと思うぞ？
エレナ,ホントなのにナ……
P,まぁ、お世辞でもそう言って貰えて少し元気が出たよ
エレナ,ムゥ……オセジじゃないのにー
P,ゴメンって
エレナ,……エヘヘ♪。……今度、また一緒にベッドで寝てくれる？
P,……考えとくよ
恵美,ふぅ……。楽屋の掃除しても、あんまり紛れなかった……。琴葉と、プロデューサーが……。……アタシ、ホント何やってんだろ。昨日、見た時に割り切ったはずなのに……
P,恵美！
恵美,……へっ？プロデューサー？
P,探したぞ……楽屋探してもいないから、もう帰っちゃったのかと
恵美,…………
P,今日、レッスンの調子悪かったんだって？
恵美,ご、ゴメン……どうしても、上手くいかなくて
P,ケガしなかったんだから、それだけで十分だよ。……なぁ、なにか理由があるのか？
恵美,た、大した理由じゃないって！もー、大げさだなー。そんな事より、ほら！琴葉の方ついて行ってあげてよ！。琴葉、きっと喜ぶからさ！ね？
P,……俺になら話してくれるかもしれない、か。大した理由じゃなくても良い、話してくれないか？
恵美,で、でも……
P,どうしても話したくないって事なら、話さなくても良いけどさ……。俺で力になれるかもしれないなら、話してみてくれないか？
恵美,……迷惑、でしょ？
P,迷惑なんて、恵美がそんな事考えなくても良いんだよ。悩みがあるなら、一緒に考えればいいだけだしな！
恵美,一緒に……か
P,そういうのがその……プロデューサーとアイドルの二人三脚というか
恵美,……ぷ、アッハハ！
P,い、今良い事言ったのに……
恵美,ゴメンゴメン！ちょっとおかしくなっちゃって。そっか……そうだよね
P,……まぁ、分かってくれたなら良かった
恵美,それじゃ……一つだけお願い、してもいい？
P,ああ、どんとこい！。なんで？
恵美,や、やっぱりダメだった！？
P,い、いや……もっとなんか、深刻なお願いかと思ったからさ。まさか、いきなりベッドに一緒に潜る事になるとは思わないだろ……。これが恵美の言ってたお願いなのか？
恵美,……うん
P,……これくらいなら、普通にお願いされたらするぞ？。多少のリスクはあるけど……それでも、アイドルの調子には代えられないからな
恵美,そ、そんなのダメだって！
P,？
恵美,だって……琴葉に、悪いからさ
P,？なんで、そこで琴葉の名前が出てくるんだ？
恵美,隠さなくても良いよ、アタシ知ってるから。琴葉と……付き合ってる、んだよね？
P,……えっ？
恵美,昨日、スーパーで一緒に買い物してるの見たんだ
P,昨日の……見てたのか、恵美
恵美,そ……今日も、寝顔壁紙にしてるの見ちゃったしさ
P,……まさか、とんでもない勘違いの連鎖をしているのでは？。恵美、あのな……
恵美,分かってるよ、こんな風にされたら……迷惑、だもんね。でもさ、もうこういう風に甘えられないかもしれないから……。最後だけ……一緒に寝てみたかったの
P,…………
恵美,えへへ……なんか、アタシらしくないよね
P,……恵美、一つ良いか？
恵美,？
P,大変、言いづらい事なんだが――
恵美,――って、事は
P,ああ、勘違いだな
恵美,…………っ！！。う、嘘っ！？
P,琴葉は俺の家に押し掛けてきただけだし、俺と付き合ってるわけでもないよ。……後で、寝顔の件は問い詰めるけど
恵美,…………
P,待て、なんで遠ざかる。傷つくぞ
恵美,い、いや……その、さ。結局勘違いだったんだし……お願い、聞いてもらえないよねって
P,…………
恵美,ご、ゴメン……それじゃ。ぷ、プロデューサー……？
P,言ったろ、このくらいのお願いなら聞いてやるって
恵美,……もう、優しすぎるって。そんなんじゃ、いつか誰かから刺されちゃうかもよ？
P,ぐ……否定はしないけどさ
恵美,にゃはは、ジョーダンだって！
P,冗談に聞こえない……
恵美,……あったかいね、プロデューサー
P,そ、そうか？
恵美,うん……なんか、安心するっていうか
P,それは、良かったな。俺は、ドキドキしっぱなしなんだけどな……
恵美,ズルいなぁ……琴葉や、志保達はこういうの体験してたんだ
P,そんなにズルい事でもないと思うが……
恵美,ズルいよ、こうやってしてるだけで……。アタシ、なんでも出来ちゃいそうな気がするからさ。にゃはは、皆にちょっと悪いかも
P,悪いって、何がだ？
恵美,だって、アタシだけが今はこんな風に甘えられてる訳でしょ？。……他にも、いっぱい甘えたい子はいると思うんだ
P,……恵美、一つ良いか？
恵美,？
P,そういうのを考えられる恵美は優しい、けどな……。恵美だって俺のアイドルだ、俺に甘えたって何の問題もないだろ？
恵美,……もう、すぐそういう事ばっかり。そんなんじゃ、もっと縋りたくなっちゃうじゃん……
P,おう、もっと頼れ！
恵美,……もー、後悔しないでよ？
P,っと……？
恵美,えへへ……♪
P,急に積極的になったな？
恵美,プロデューサーが良いって言ったんじゃん♪
P,……喜んでもらえて何より
恵美,……プロデューサーは、嬉しくないの？
P,ぐっ……その言い方は卑怯だぞ
恵美,…………
P,……まぁ、嬉しいけどさ
恵美,そ、そっか！
P,……自分で言ったのに恥ずかしがるなよ
恵美,ほ、ホントに言ってくれるとは思わなかったから……。も、もうちょっとだけ甘えても良いかな？。あ、あのさ！寝る前に……もう一つだけ、してもらってもいい？
P,俺にできる事なら良――。待て、昨日を思い出せ……！。――キスとか以外なら良いぞ
恵美,ふぇっ！？き、キス！？
P,違ったならそれで良かった……。何度もやられたら、流石に理性がもたないからな……
恵美,……もしかして、琴葉にはしたの？
P,してないから！
恵美,むぅ……怪しいなぁ
P,そ、そんな事よりして欲しい事ってなんだ？
恵美,……その、さ。ギュっとしてしてもらいながら撫でてもらいたいんだけど……ダメ、かな？
P,そのくらいなら、いくらでもするけど……？
恵美,えへへ……やった♪
P,…………
恵美,これからも、沢山甘えさせてよね……
P,……勿論
恵美,…………♪
琴葉,今度は、しっかりやらなくちゃ……
最上静香,以下、静香
琴葉,静香ちゃん……いや、大した事じゃないんだけど
静香,そうなんですか？それにしては、妙に気合が入ってたような……
琴葉,そ、それはその……
静香,？
琴葉,……さ、作戦を立ててただけだから気にしないで。……そういえば、静香ちゃんも一緒に寝てたよね？
静香,ね、寝てたって……え？何で知ってるんですか？
琴葉,この前、ちょっとね。ファーストキス、かぁ……どうすれば良いんだろう
静香,えっ？
琴葉,？静香ちゃん、どうかしたの？
静香,い、いえ！なんでもないですよ！？
琴葉,…………
静香,…………
小鳥,…………
P,視線が痛いんですけど……
小鳥,別にー？羨ましいなんて思ってませんけどー？
P,羨ましがってどうするんですか……
小鳥,私だって、男の人にギュってされて寝たいですよぅ……
P,そんなにですか？
小鳥,そんなにですよ！。ここは、私のコンディションの為に……！
P,音無さん、俺がプロデュースしてるアイドルじゃないし……
小鳥,今だけアイドルになれませんかね……
