白菊ほたる,……はぁ
ほたる,ちひろさんは笑顔でうんうんと頷いていますが、プロデューサーさんは先ほどから黙ったままです。もしかして私、何かやってしまったのでしょうか。考えられるとしたら、昨日の名刺はスカウトでもなんでもなかったという事くらいしか……
ちひろ,呼び方は……ほたるちゃんでいいですか？
ほたる,はっ、はい、大丈夫です
ちひろ,はい、それじゃあほたるちゃん。早速でこんな事を聞くのも変なんだけど……昨日、ウチのプロデューサーさんにおかしな事とか言われませんでした？
ほたる,おかしな事……ですか。いえ、そんな事はなかった……です。どちらかというと背中を押してくれるような言葉をもらいました
ちひろ,そう、それなら良かった……。何となく分かるとは思いますけど、ウチのプロデューサーさん、朴念仁……というよりもうコミュ障の域にいる人間なんですよね
ほたる,は、はぁ……
ちひろ,スカウトとかまず向かない人間で、今まで何度か警察まで身元引受に行ったこともあるんですよ
Ｐ,…………
ほたる,プロデューサーさんは無言のまま顔を明後日の方向へ逸らしました
ちひろ,まぁしばらく一緒に働いていれば何を言いたいかが分かるようにもなるんですけど、流石に初対面の人間にあの子のスカートになりたい
Ｐ,……過ぎた憂鬱は悲劇ではなく喜劇的であると主張したい
ほたる,あ、今日はじめて喋った……
ちひろ,まぁ、こんな感じにですね……。ちょっと取っつき辛いですけど、根は悪い人じゃないんです。ただコミュ障なだけで
Ｐ,刃渡り15センチのそれで最終的な自己帰結を試みたい
ちひろ,はいはい、死なないで下さいね。せっかく初めてウチの部署にアイドルが来てくれたんですから
Ｐ,…………
ほたる,初めてって……私以外のアイドルはいないんですか？
ちひろ,そうなんですよ。ほら、こんなプロデューサーさんですから。だから今までこの第8アイドル事業部は窓際事業部ってずっと言われてたんですよ。人員も私とプロデューサーさんの二人だけですから。だから今までやる事と言えば他の事業部の庶務手伝いばっかりで……本当に役に立たないショ〇ニ状態だったんですよね
ほたる,シ〇ムニ……？
ちひろ,あ、ごめんなさい、世代じゃないですよね。気にしないで下さい。とにかく、今までお荷物扱いされていて、プロデューサーさんはともかく私は悔し涙を流していたんです
Ｐ,……裏通りのどぶ川みたいな色の涙です
ちひろ,何か言いましたかプロデューサーさん？
Ｐ,…………
ちひろ,まったく、誰のせいでこうなってるんだと思ってるんですか……
Ｐ,北風に僕は答えを探す
ちひろ,また訳の分からないことを……。とにかく、これからよろしくお願いしますね、ほたるちゃん。頼りないかもしれないけど、私は精いっぱいサポートしますからね！
ほたる,は、はい
ちひろ,プロデューサーさんもちゃんと話をして下さいね、ほたるちゃんや営業先の人と！
Ｐ,変わらないものを変えるのは難しい
ちひろ,もうその口調はとっくに諦めてるので誰とでもそうやって話せるようになって下さい
ほたる,あ、あの！ちょっと……いいですか……？
Ｐ,？
ちひろ,はい、どうしました？
ほたる,あの、その……私をスカウトして頂いたことはすごく、嬉しいです。嬉しいんですけど……私には不幸体質があるんです
ちひろ,不幸体質？
ほたる,……はい。私は、○○プロダクションと××プロダクションに所属していたことがありました
ちひろ,え、そのプロダクションって……
ほたる,……社長の不祥事とアイドルの不正労働が原因で、私が在籍中に倒産したプロダクションです
Ｐ,…………
ちひろ,それとほたるちゃんに関係があるんですか？
ほたる,私……小さな頃からそうなんです……。私自身が不幸になるのもそうなんですけど、近くにいる人まで不幸にしてしまうんです……
ちひろ,それはただの偶然なんじゃ……
ほたる,偶然なんかじゃない……きっと必然、です……。実は昨日、□□プロダクションからも解雇されたんです
ちひろ,あのプロダクションって、今日の朝……重役が経営資金の持ち逃げをしたってニュースが……
Ｐ,…………
ちひろ,…………
ほたる,きっと、私……プロデューサーさんにも千川さんにも……このプロダクションにも迷惑をかけてしまうと思うんです……そういう運命なんだと……思います。だから……だから私……
Ｐ,……運命なんて他に選択肢が無かったってだけ
ほたる,え……？
Ｐ,必然なんてなんとなくなるようになったってだけ
ちひろ,いっつもよく分からない事ばっかり言いますけど、今日だけはプロデューサーさんの言葉に賛同しますよ。大丈夫ですよ、ほたるちゃん。もし仮にこれから不幸が私たちの身にかかるとしても、所属アイドルの一人もいないお荷物事業部としているよりはずっと幸せですから
ほたる,でも……
Ｐ,時には大げさな看板を背負わされて、時には不名誉を着せられて。君のこれまでを一片に語る事が出来る名前なんてそうそうないよな
ほたる,…………
Ｐ,だからどんな風に呼ばれようと好きにやるべきだと思うよ。君を語る名前が何であろうと、君の行動一つ程には雄弁じゃない
ちひろ,ほたるちゃんは、アイドルになりたくないですか？
ほたる,……なりたい……です。不幸な私でも……色んな人を笑顔に出来るんだって……幸せに出来るんだって……そんなアイドルに……なりたいです……。本当に……こんな私でも……疫病神みたいな私でも……アイドルになっていいんですか……？
Ｐ,君が君で居られる理由が、失くしちゃいけない唯一存在意義なんだ。ここに讃えよ、愚かなジュブナイル。最後の最後に笑えたらそれでいいんだよ
ちひろ,ちょっとズレている気がしないでもないですがそういう事です。今日からよろしくお願いしますね、ほたるちゃん
Ｐ,物語は始まったばかりだ
ほたる,は、はい……！
ちひろ,それにしても今日のプロデューサーさんはよく喋りますね
Ｐ,…………
ほたる,え……いつもはもっと寡黙なんですか、千川さん
ちひろ,ちひろでいいですよ
ほたる,あ、はい、ちひろさん
ちひろ,はい。で、プロデューサーさんなんですけど、普段は必要最低限の事すら口にしないで変な事しか喋らないんですよ。だからほたるちゃんがスカウトされてきてすごく驚きました。どんな風にスカウトされたんですか？
ほたる,えっと……
Ｐ,…………
ほたる,その、雨の公園でプロデューサーさんが弾き語りしてて……それに拍手したら名刺を渡されました
ちひろ,ああ……アレが役に立ったんですね
ほたる,アレ……ですか？
ちひろ,はい。プロデューサーさん、路上弾き語りが趣味なんですけど、絶対に雨の日にしかやらないんですよ。理由は雨なら誰も近くに来ないからとかそんな感じのものだったと思いますけど、だったら外で弾き語りするなと私は何度も言ってるんですけどね。そしたら濡れても大丈夫な安いギターだから平気とかバカな事を抜かしてましたが
Ｐ,……千川通りで轢かれていたカラスの遺体みたい
ちひろ,それは私に対する悪口ですね？そんな事を言うのはこの口ですか？んん？
Ｐ,痛い、痛い
ほたる,仲がいいん……ですね、お二人は
ちひろ,ただの腐れ縁の同期ですよ。研修会でプロデューサーさんの隣の席になったのが運の尽きでした。なんだかんだ色々あってこの第８アイドル事業部の立ち上げにプロデューサーさんと私が抜擢されて、そのままかれこれ1年ちょっとくらいですかね。それだけ一緒に働いていると、なんとなくプロデューサーさんの言いたい事とかも分かるようになってしまったんです
ほたる,そうなんですね……
ちひろ,ほたるちゃんも普段はあんまり真面目に取り合わなくていいですからね、プロデューサーさんの話
Ｐ,…………
ほたる,で、でも……昨日すごくいい事を言われましたっ……
ちひろ,そうなんですか？
ほたる,は、はい。自嘲気味に踏み出すその一歩は今日も迷ってばかり。それでもここに留まるよりはいくらかましだと信じてるって……私は……その言葉に少し背中を押して……もらえました
Ｐ,…………
ちひろ,あ、この反応知ってる。ほたるちゃんに話したんじゃなくて、何を喋っていいか分からなくて自分に言い聞かせてたやつだ
Ｐ,…………
ちひろ,はいはい、分かってますよ、私は何も言いませんから。ほたるちゃんが優しい良い子でよかったですね
Ｐ,…………
ほたる,そんな……優しい良い子なんかじゃないです……私は……
Ｐ,…………
ちひろ,こういう時こそ何か言葉で伝えてあげて下さいよ……
Ｐ,……僕が死のうと思ったのは、まだあなたに出会ってなかったから。あなたのような人が生まれた世界を少し好きになったよ
ほたる,ええっ？
ちひろ,それは大仰すぎますね
Ｐ,…………
ちひろ,まぁ、まだるっこしいですけど最初はメールでのやり取りから始めたらどうです？
ほたる,メール……ですか？
ちひろ,ええ。トークアプリは苦手らしいので、メールで。メールなら比較的まともな会話が出来ますから、それからだんだんと慣れていくのが一番ですね
ほたる,分かりました……これからよろしくお願いします、プロデューサーさん
Ｐ,…………
ほたる,ちひろさんも、これから迷惑をかけてしまうかもしれませんけど……よろしくお願いします
ちひろ,ええ。よろしくお願いしますね、ほたるちゃん
ほたる,ここがレッスンルーム……すごい綺麗
Ｐ,…………
ほたる,プロデューサーさんとちひろさんに顔を合わせ、正式にＣＧプロダクション所属となった翌日、まずは私の基礎を見るということでプロデューサーさんにレッスンルームへ案内されました
トレーナー,おはよう。君が新しく第８アイドル事業部所属になったアイドルだね？
ほたる,あ、おはようございます。……はい、昨日からこちらのプロダクションに所属する事になりました、白菊ほたると申します。これからよろしくお願いします
トレーナー,ああ、よろしく。……それにしてもダイハチのプロデューサーが本当にアイドルをスカウトしてくるとは驚いたな
ほたる,サバサバした口調でトレーナーさんはそう言ってマジマジとプロデューサーさんを見つめます。ＣＧプロにはアイドル事業部が多く、略称として頭の第〇だけを言う事が多い……と昨日ちひろさんに教えてもらいました。会う人会う人にまさかダイハチのプロデューサーが……なんて言われるので、もう違和感がなくなってきています
トレーナー,やはりなかなかガッツがあるみたいだな。どうだ、ほたる君と一緒に君もレッスンを受けてみないか？
Ｐ,…………
ほたる,プロデューサーさんは今まで見た事がない勢いで首を横に振りました
トレーナー,そうか。気が変わったらいつでも言ってくれたまえ。アイドルのレッスンを身を持って知る事もきっと大事な事だぞ
ほたる,あの……
トレーナー,ああすまない、プロデューサーと話し込んでしまったな。ではほたる君。簡単に君のプロフィールを見せてもらったが、前にもいくつかのプロダクションに所属していたようだね
ほたる,……はい。ただ、あまりレッスンなどはさせて貰えなくて……簡単なお仕事――とも呼べるかも分からないものを少しくらいしかやった事がありません
トレーナー,ふむ、分かった。それじゃあ今日は、まず君の基礎体力を見せてもらおう。それから君の体力に合わせたメニューを組む。何事も敵を知り己を知る事から始まるからな。限界の一歩手前くらいまで頑張ってみてくれ
ほたる,は、はいっ、よろしくお願いします……！。それからしばらく、プロデューサーさんとトレーナーさんの前で、何種類かの体力テスト、それと発声とダンスと表情のレッスンを行いました。トレーナーさんの出してくれるそれらは最初こそきついと感じました。でも、今までのプロダクションではこんなレッスンすらさせてくれませんでした。アイドルとしての基礎力を積んでいる、という事実を意識できると、なんだかとても嬉しい気持ちになりました。それと同時に、もっと上手に体を動かしたい、もっと上手に声が出したいと、自分の力量不足にもどかしい気持ちも生まれました
トレーナー,よし、そこまでだ
ほたる,はぁ、はぁ……ありがとうございました……
Ｐ,…………
トレーナー,ほたる君、正直に言おう
ほたる,……はい
トレーナー,今の君ではアイドルとしてステージで輝く事は到底無理だろう
ほたる,っ……。分かってはいました。今の自分の動きや発声なんかを見せられたって、拙すぎてきっと誰も拍手をくれないでしょう。それが悔しい、歯がゆい。やっぱり私なんかがアイドルになんてなれない……、そう思って諦めてしまうのが今までの事でした。でも今は、私の胸の内は悔しさでいっぱいでした
Ｐ,…………
トレーナー,だが、それは今のままだったらの話だ
ほたる,…………
トレーナー,君のレッスン中の嬉しいという表情、そしてアイドルとして輝けないとバッサリ切られた今の悔しいという表情……両方ともとてもいい目をしている。根性とガッツのある素晴らしい目だ。私はとても気に入った。そういう人間は絶対に腐らない。今は無理だとしても、いつの日か、君なら必ずステージの上で光り輝ける
ほたる,トレーナーさんはそう言うと、優しく微笑んで私にタオルを差し出してくれました。……こんな風に評価してもらった事なんて、人生で一度もありませんでした。体の奥から熱いものが生まれて、それが全身に巡っていくような気がしました
トレーナー,君の体力や能力に合わせたレッスンメニューを今日中に用意しよう。明日からはそれに沿ったレッスンをこなしてもらう
ほたる,……はいっ、ありがとうございますっ
トレーナー,こちらこそ。君のような熱心な人間を看る事が出来るのはトレーナー冥利に尽きる。では、今日はこれまでだ。君の胸の内に燻る思いは承知しているが、オーバーワークは厳禁だ。休む事もレッスンの一つだと心得るように
ほたる,トレーナーさんはそう言うと、颯爽とした立ち居振る舞いでレッスンルームを出ていきました。その姿が女性の方なのにとてもカッコよく見えました
Ｐ,…………
ほたる,プロデューサーさんは、トレーナーさんが苦手……なんですか？。汗をシャワーで流し、第8事業部へ戻ってきた私とプロデューサーさん。私は先ほどから少し気になっていた事をプロデューサーさんに聞いてみました
Ｐ,…………
ちひろ,苦手も苦手、天敵みたいなものですよ
ほたる,その質問から逃れるように顔を逸らしたプロデューサーさんに代わって、ちひろさんが答えてくれました
ちひろ,トレーナーさんたち、みんな体育会系ですからね。根性と気合と闘志があれば何でも出来るって公言する人たちですもの。それに引き換えウチのプロデューサーさんなんて晴れの日もわざわざ日陰を選んで歩くような人ですから
ほたる,そうなんですね……カッコよくて良い人なのに
ちひろ,そうですよねぇ。本当、1回根性叩き直して貰えばいいのに
Ｐ,……僕は僕を諦めたぜ、生まれてすぐさま諦めたぜ
ちひろ,そう言うところ叩き直して欲しいんですけどね。今度トレーナーさんにレッスンしてくれって頼んでみようかしら
Ｐ,校庭の隅っこで体育座りしてぼんやりと見てる
ちひろ,いやレッスンするのはあなたですからね
Ｐ,凡庸な僕、才能不在
ちひろ,捻じ曲がった性根を叩き直して貰うだけなんで才能は特に必要ありませんよ？
Ｐ,…………
ほたる,ちひろさんに言い負けて黙り込んでしまうプロデューサーさん。……アイドルとしてのレッスンも頑張りますけど、ちひろさんみたいにプロデューサーさんと意思疎通出来るようにも頑張りますっ
ちひろ,ほたるちゃんはトレーナーさんが組んだメニューでしっかりみっちりレッスン。最初こそは疲れた顔を見せていましたけど、1週間もするとしっかりした顔つきでここに戻ってくるようになりました。最近は自分で自分の欠点を克服するための課題まで考えるようになり、順調に成長しているのが見て取れます。なにより楽しそうな顔をしている事が多くなりました。ここへ来た当初の暗く儚げな、今にも消えてしまいそうな顔をしている事が少し減りました。何かとネガティブだった考え方にも最近は改善の傾向が見えてきて、ちょっとだけ前向きになってきてくれています
Ｐ,…………
ちひろ,……で、プロデューサーさん。その間あなたは何をやっているんです？
Ｐ,…………
ちひろ,はい、ほたるちゃんを売り込むための企画書ですね
Ｐ,…………
ちひろ,はい、いずれ必要になるほたるちゃんのデビュー曲などを作詞作曲した楽譜ですね。それはあなたの仕事ではないと思いますけど
Ｐ,…………
ちひろ,はい、ほたるちゃんの長所をまとめてどの方面に売り出すか、世間の流行と合わせて分類分析した書類ですね
Ｐ,…………
ちひろ,…………
Ｐ,…………
ちひろ,プロデューサーさん、私が何を言いたいか……もちろん分かってますよね？
Ｐ,…………。…………
ちひろ,だったらさっさと営業に行ってほたるちゃんの仕事を取って来てください！。もうあなたの企画書やら楽譜やら分析書やらが置き場に困る量、デスクに積まれてるんですよ！。あと何でギターが三本も事務所に置いてあるんですか！！いつの間に持ってきてたんですか！！。これも置き場所に困るので二本は持って帰って下さい！！
Ｐ,…………。…………
ちひろ,やっっっと重い腰を上げてくれましたか。コミュ障ここに極まれりですね
Ｐ,……ていうか二日酔いでもう吐きそうだ
ちひろ,お酒飲めないでしょ。それに立ち上がっただけじゃないですか。早すぎます
Ｐ,生きる意味とはなんだ、寝起き一杯のコーヒーくらいのもんか
ちひろ,コーヒーも飲めないでしょ。意味が欲しいならほたるちゃんの為に生きて下さい
Ｐ,……なんとか報いたいと思う、密かに心に明かり灯る
ちひろ,はい、いってらっしゃい。頑張って下さいね
Ｐ,…………
ちひろ,…………。どうにか奮い立たせたけど……大丈夫かなぁ……。途中で死にそうな気がしてちょっと不安……
Ｐ,東京、東京、どうか僕だけを選んでくれないか。……必然、必然。なるべくしてなる未来だ。それ故、足掻け。……結局、人間ってのは一つや二つの欠落はある。何かが足りないと思うか、何かが必要と思うか。孤独になっても夢があれば。夢破れても元気があれば。元気がなくても、生きていれば。……生きていなくてもとかあいつらそろそろ言い出すぞ。掴み取るその理想の重さ、僕らの悔し涙と等価。もうやめた、諦めた、で終わる一日に募る焦りは……。……いってらっしゃい、生返事とあくびで答える君の笑顔には、なんとか報いたいと思う。綺麗事だ、理想論だって理想も語れなきゃ終わりだ。テレビの向こうの犠牲者には祈るのに、この電車を止めた自殺者には舌打ちか。…………。…………
ちひろ,あ、プロデューサーさん、お帰りなさい
Ｐ,……なぁ、ひろ
ちひろ,これまで何回も言ってますけどちひろですからね、私の名前
Ｐ,僕は今日も失敗しちゃってさ
ちひろ,顔見れば分かりますよそんな事くらい
Ｐ,……すいません、すいません
ちひろ,私も流石に口下手のプロデューサーさんに無名の新人アイドルの飛び込み営業をしてもらったのは間違いだったと思ってます
Ｐ,人は喪失を許容出来る生き物だ、だが逃げ出した僕はその限りではない……
ちひろ,はいはい、そんなに落ち込まないでくださいって。私の方でも色々考えてみたんですけど、最初はメールでの営業をすればいいんじゃないでしょうか。書く方ならそれなりに出来るでしょう、プロデューサーさんも。あなたが作ったほたるちゃんの売り込み分析書を見て、雑誌の写真モデル募集をしているところをいくつかピックアップしましたから、まずはここから売り込んでみてはどうです？
Ｐ,……！。ありがとう、ありがとう……
ちひろ,いいんですよ、これくらい。コミュ障で朴念仁で気の利かないプロデューサーさんに全てを託した私がバカでしたから
Ｐ,……大嫌いだよ、美しき思い出
ちひろ,感謝するのか煽るのかどっちかにして下さい
ほたる,戻りましたぁ……
ちひろ,あ、レッスンお疲れ様でした、ほたるちゃん。お茶用意するわね
ほたる,そ、そんな……ちひろさんにお茶を入れてもらうなんて……
ちひろ,気にしなくていいんですよ、これも事務員の仕事ですから
ほたる,そ……それじゃあ……ありがとうございます
ちひろ,いいえ。……プロデューサーさんもほたるちゃんくらい素直なら可愛げがある――いやないですね、素直なプロデューサーさんって違和感半端じゃないし鳥肌立ちそう
ほたる,あ、そういえばプロデューサーさんは……？
ちひろ,ああ、いつまでも燻ってるから、背中蹴飛ばして営業させてますよ。今は売り込むためのメールを応接室で考えてます
ほたる,そうなんですね……
ちひろ,プロデューサーさんに何か用事でしたか？
ほたる,あ、いえ、そうじゃないんです。その、私もちひろさんみたいに……プロデューサーさんと仲良く話せるようになりたいなって……
ちひろ,まぁ、なんていじらしいのかしら、ほたるちゃん……。でも別段仲が良い訳じゃないんですよ、私とプロデューサーさん。前も言いましたけど、ただ単に腐れ縁の同期なだけですから
ほたる,そう……なんですか？
ちひろ,ええ
ほたる,でもトレーナーさんの妹さん……慶さんがちひろさんは典型的なダメンズに引っかかるキャリアウーマンですね！ダイハチのプロデューサーさんにお熱ですよきっと！って言ってましたよ……？
ちひろ,えぇ……どんな評価ですかそれ……
ほたる,それから、他の人もちひろさんみたいな優秀な人間がなんでダイハチにいるのか分からないってよく言ってますし……や、やっぱりちひろさんって……
ちひろ,それは根も葉もないただの噂に邪推してるだけですよ、ほたるちゃん。確かにあのコミュ障男は放っておくとその辺で野垂れ死んでそうで目が離せませんが、別にそれはラブとかそういうんじゃないですから。それに外野にはとやかく言われてますけど、あれでも良いところはあるんですよ
ほたる,は、はい、確かにプロデューサーさん……口下手ですけど優しいところがありますよね
ちひろ,いや、あれは優しいっていうかただの優柔不断ですからね、ほたるちゃん。プロデューサーさん唯一の本当に良いところは、人をしっかり見れるところなんですよ。ほら、あの人のデスクを見てください
ほたる,書類が山のよう……ですね
ちひろ,あれ、8割くらいがほたるちゃんの良いところを書いた資料なんですよ
ほたる,えっ？
ちひろ,ほたるちゃんの内面から外見の特徴、どういう角度から見ると一番映えて、こういうシチュエーションだとこんな表情をするとか、それはもうどんだけ見てるんだストーカーなんですかって言いたくなるくらいのことがたくさん書いてあるんです。それをそのまま売り込めばほたるちゃんの仕事なんて取れて当たり前なんですけどね、あのコミュ障は出来ない。コミュ障ゆえに。だから周りの人から無能って思われちゃうんですけど、それがちょっと歯がゆいんですよね。あの人だってやれば出来るんだって私は知ってますから。それで、私がプロデューサーさんをどうにか動かして、いつかこのダイハチでアイドル事業部の下克上をしてやるっていうのが私の密かな野望なんです
ほたる,そう、なんですね……
ちひろ,だからほたるちゃん、この弱小窓際事業部に来てくれてありがとうございます。これで私の野望もどうにか成就の目処が立って、プロデューサーさんの評価も改められそうです
ほたる,いえ、私なんてまだまだ全然です……まだ、全然お役に立てそうもないです
ちひろ,そんな事ないですよ。ほたるちゃんは目に見えるくらいメキメキ成長してますから、もっと自信を持っていいんですよ
ほたる,は、はい……ありがとうございます
ちひろ,でも無理だけはしないでくださいね？
ほたる,はい……それはもう……トレーナーさんからも休める時にしっかり休むのはレッスンの一つであるってずっと言われてますから
ちひろ,はい、それなら良かったです
ほたる,そう言って私に微笑んでくれるちひろさんの顔はとても優しいです。母性に満ちた顔をしています。……やっぱり慶さんの言う通り、母性本能をくすぐられてプロデューサーさんの事を好きになってるんじゃ……
ちひろ,ほたるちゃん、今なにか変な事を考えてませんか？
ほたる,ぃ、いいえ、考えてませんっ
ちひろ,そう、ならいいんですけどね
ほたる,そう言って浮かべる笑顔にとても怖いものを感じて、私は絶対にちひろさんを敵にするような事はしてはいけないと思いました
ちひろ,とうとうほたるちゃんの初仕事が取れましたね
Ｐ,…………
ほたる,ちひろさんがプロデューサーさんを営業に専念させてから3日後、遂に私の初めての仕事が取れたみたいです。レッスン終わりに事務所へ戻ってくると、ちひろさんが嬉しそうな顔をして教えてくれました。私も当然嬉しいんですが、その反面、迷惑をかけてしまわないか、期待を裏切ってしまわないかと恐れる気持ちもあります。どんな仕事なんですか？
ちひろ,えーっと……
Ｐ,…………
ちひろ,あ、詳細の書類ですね。ありがとうございます、プロデューサーさん
ほたる,ありがとうございます。プロデューサーさんから私とちひろさんに渡された書類へ目をやると、どうやら中高生向けのゴシックファッション雑誌のモデルの仕事みたいでした
ちひろ,うん、ほたるちゃんなら暗めのゴシックファッションが似合いますし、適材適所ですね
ほたる,そう……でしょうか。あんまりヒラヒラした服は着た事がないので、ちゃんと着こなせるか不安です……
ちひろ,大丈夫ですよ。このコミュ障プロデューサーの売り込みで取れたんですから、それだけほたるちゃんに魅かれるものがあったって事です
Ｐ,…………
ほたる,あ、ありがとうございます。ちひろさんの言葉に少し何か言いたげなプロデューサーさんでしたが、今回の営業でかなりちひろさんに助けられていたみたいなので無言で頷いています。……多分、そういうところがちひろさんは――
ちひろ,ほたるちゃん
ほたる,か、考えてませんっ、何もっ
ちひろ,ならいいんですけどね
ほたる,この件は今後考えるのをやめようと決心しました
Ｐ,？
ほたる,プロデューサーさんは何の話をしているか分からないようで首を傾げていました
ちひろ,撮影は……3日後ですか。それじゃあトレーナーさんに言って、明日明後日はビジュアル面のレッスンを重点的にやってもらいましょうか
Ｐ,…………
ちひろ,え？
ほたる,あ、それはもうプロデューサーさんから伝わってるみたい……です。今日のレッスン終わりに、トレーナーさんから明日と明後日は表現力のレッスンに重きを置くって言われましたので……
ちひろ,そうだったんですね。しっかりしてきたじゃないですか、プロデューサーさんも
Ｐ,世界を恨む時代は終わった
ちひろ,たまーに、ごく稀にですけどね
Ｐ,……貸しは返すつもりだが、その期に及んで競い合うつもりか
ほたる,え、えっと……
ちひろ,それじゃあほたるちゃん、初めてのお仕事、頑張って下さいね
ほたる,は、はい、頑張ります
カメラマン,君が白菊ほたるちゃんだね？今日はよろしく
ほたる,は、はい、よろしくお願いします
カメラマン,うん、儚い空気が似合いそうな子だね。そちらのプロデューサーさんの売り込み通りだ
ほたる,あ、ありがとうございます
Ｐ,…………
カメラマン,寡黙な人だねぇ。それじゃあ早速撮っていこうか
ほたる,はい、お願いします
カメラマン,うーん、表情が硬いなー
ほたる,撮影が始まってから20分、カメラマンさんからそんな一言が出ました。確かに私も実感しています。緊張して上手く顔が動いてくれなくて、それが分かるから焦燥感に掻き立てられて、余計に力が入っていると
カメラマン,ちょっと緊張しすぎかなぁ。5分くらい間を置いてみようか
ほたる,はい……ごめんなさい
カメラマン,こちらも撮るからには、どんなものでも妥協はしたくないからね。ちょっと気持ちをリセットさせてみて
Ｐ,…………
