【地方,ローカル
いろは,先輩酷いです！！でもまあ、私も先輩に対してラブはありませんから、お相子ですね
結衣,……なーんか仲良いよね二人
八幡,んなことねーよ
いろは,えー？仲良いじゃないですか。どう見ても先輩と私、ラブラブじゃないですか！あ……やっぱり今の無しで
結衣,酷い！？
八幡,……一色、お前流川市って知ってる？
いろは,知ってますよ？って……も～馬鹿にしないでくださいよ、先輩
八幡,いや馬鹿にはしてないんだが……
いろは,ゆるふわビッチとか普段馬鹿にしてるじゃないですか！！
結衣,そうだよヒッキー！女の子にビッチとか、あたしじゃなかったら許されないんだかんね！？
雪乃,女の敵ね？反省なさい、セクハラ谷くん
八幡,……流川市知ってるかどうかで、なんでお前ら俺のライフ全力で削りにきてんの？
いろは,雰囲気ですかね？
八幡,お前のがひでーよ
いろは,それで先輩、流川市がどうかしましたか？
八幡,今度の連休に流川市にいかないか？……俺と
いろは,それって……デートのお誘いですか？
雪乃,え？
結衣,んん？
平塚,ほぉ
いろは,あの……先輩が誘ってくれるのは素直に嬉しいというか……迷惑ではないんですけど……ごめんなさい！そこまで先輩を好きなわけじゃないです！
八幡,はぁ？
雪乃,振られたわね
結衣,誤解で振られるとか……ヒッキーかわいそすぎだよ……
平塚,まあ、そう落ち込むな比企谷！
八幡,は？なんで勝手に勘違いされて振られてんの俺？泣いちゃうよ？……帰っていいですか……
雪乃,待ちなさい、比企谷くん
いろは,あれ？
八幡,…………
雪乃,一色さん。今度の連休に、私たちは流川市で奉仕部活動をする予定なのよ
いろは,はい。薄々気づいてました
八幡,…………
いろは,やだなーも～！なんて顔してるんですか先輩！先輩は確かに屑で捻くれてて嫌われ者で最低ですけど！私は先輩のこと嫌ったりしてませんからね！？
八幡,……慰めはいい
いろは,だから嫌いじゃないんですってば！むしろ好きです！……ラブ的な意味じゃないですが
八幡,……なら行ってくれるか？流川市
いろは,しょうがないですね、先輩は。いいでしょう。この私が付き合ってあげますよ！
八幡,よし、荷物持ちが一人増えたぞ
雪乃,……凄いわね、あなた
いろは,え？
結衣,ヒッキー最低だ？！
八幡,ばっかお前、俺なんか慣れっこだっての。むしろ挨拶したら振られるまである
雪乃,トラウマとは怖いものね……
いろは,……あれ？
平塚,諦めろ一色。お前も参加決定だな
結衣,いろはちゃんのほうが可哀想になってきた……
平塚,でだ、君たちには架空の街……流山市からやってきた謎のアイドル集団の役をやってもらう
雪乃,少し頭痛が……。申し訳ないのですけど、聞き間違いをしてしまったようなので、平塚先生、もう一度お願いしてもよろしいでしょうか？
平塚,ああ。君たちには、正体不明の三人組ろこどるとして流川市のろこどると対決してもらう
結衣,ろこどるってなんですか？
平塚,ローカルアイドルのことだ
雪乃,……つまり平塚先生は、私たちにアイドルの物真似をしろと……そう仰っているのでしょうか？
平塚,その通りだよ雪ノ下
雪乃,はぁ……
いろは,あの、私帰りますね？生徒会忙しいんで
八幡,待て
いろは,絶対……嫌ですからね？
八幡,平塚先生。一色が帰ったらどうなりますか？
平塚,当初の予定通り比企谷、お前に女装してアイドルをしてもらうだけだ
八幡,一色、頼む。お前じゃなきゃダメなんだ……
いろは,先輩……。ってそんなに簡単に騙されませんからね？
八幡,チッ
平塚,私が出てもいいのだがね。先方が現役女子校生または女子高生でなければならないと言うんだ
八幡,それ俺も当てはまらねーだろ
平塚,そのための女装だ、比企谷
八幡,帰ります
結衣,女子高生と女子高生って何で二回言ったんだろ？
雪乃,私も今回は比企谷くんに同意します
結衣,でもでも、やってみたら面白いかもしれないよ？ゆきのんはヒッキーの女装姿見たくない？
雪乃,見たいはずがないでしょう。気持ち悪い
八幡,そうだそうだ。それに女装するなら戸塚しかいないだろ
雪乃,そもそも、小町さんを連れてくればいいだけの話ではないかしら？
いろは,奉仕部ってなかなかカオスなんですね……
平塚,……今回は給金が出ると言ったら？
八幡,いえ別にそこまで金に困ってませんので……
雪乃,平塚先生、課外活動で報酬が出るのは問題ではないでしょうか？
平塚,バレなきゃ一向に構わん
八幡,出た灰色の大人
平塚,ひぃ～きぃ～がやぁ～
八幡,ひぃぃ
いろは,もういいです。先輩が可哀想ですから私が出ますよ……先輩、これは貸しですから
八幡,一色ちゃん愛してる～
いろは,……先輩気持ち悪いです
結衣,あたしも参加する！アイドルって興味あったんだ～
八幡,由比ヶ浜、お前ビッチっぽいしな
結衣,ビッチじゃないやい！うわぁん、ゆきのん！
雪乃,……由比ヶ浜さんが参加して、部長の私が逃げるわけにはいかないものね……。不本意ながら、参加すればいいのでしょう？平塚先生
平塚,お～全員参加してくれるか！助かるよ！
八幡,話はまとまったようなので、俺は帰ります
雪乃,比企谷くん？
八幡,……さて、行こうかみんな
いろは,……先輩、日和りましたね
八幡,俺も灰色だからな……
平塚,ステージ衣装は川崎に頼んで用意した。雪ノ下と由比ヶ浜とそれに一色の分だ
八幡,今回俺いらなくね？
平塚,そう言うな、比企谷。お前には重大な役目がある
雪乃,重大な役目？この男に重責は酷ではないのかしら？
八幡,言ってろ
雪乃,ふふっ
いろは,……先輩と雪ノ下先輩って、なんだか夫婦みたいですよね？
結衣,…………
平塚,二人とも離れすぎだ！もっとこっちに来い
いろは,わかりました
結衣,…………
平塚,比企谷、君はゆるキャラを知っているな？
八幡,それはまあ……
平塚,比企谷には、魚心くんに対抗する流山市のゆるキャラ、熊心くんに扮してもらう
八幡,熊心くん？
平塚,川と山の対決だからな
八幡,熊圧勝じゃないですか
平塚,絶体絶命の魚心くんが、どう熊心くんに立ち向かうのか？がコンセプトだな
八幡,適当だなおい
平塚,まあそう言うな。気軽に楽しめればいい
八幡,そっすね
平塚,ちなみに、これが流川ガールズと魚心くんの極秘資料だ
八幡,魚心くんの中身なんてどうせオッサ……なにこの女神？うわ……結婚したい
結衣,けっ！？え？！
八幡,これマジで極秘資料じゃないっすか
平塚,それほど我々を信頼してくれているということだ、比企谷。だから、な？期待を裏切るような真似だけはするなよ？
八幡,三ヶ月みこぜ
いろは,うわぁ……
雪乃,口リガヤくん……あまり近寄らないでもらえるかしら？
結衣,ヒッキーマジキモい！
いろは,……どん引きですよ、先輩
八幡,いやだって、……天使に触れたよ？
平塚,だめだこいつ……はやくなんとかしないと
いろは,そういうのいいですから
平塚,……
雪乃,？
平塚,……当日は三ヶ月くんが魚心くんをやることになっている。比企谷、怪我だけはさせるなよ
八幡,当たり前じゃないすか。可愛い幼女に優しくするのは男の義務ですよ？
平塚,あーなんだ。三ヶ月くんは君より年上だ……ほら
八幡,マジかよ……
いろは,気持ち悪すぎて擁護不可能ですよ先輩……
八幡,だがな、合法口リは犯罪ではないっ
雪乃,由比ヶ浜さん、警察に通報を
結衣,だよねー！
八幡,おいマジ呼ぶな。冗談だっての
結衣,ヒッキーのは冗談に聞こえないんだよ……
平塚,三ヶ月くんは声優志望でな。高校を卒業したばかりだが、養成所に通う資金を稼ぐために魚心くんを続けているらしい……いや、そういえばその問題は解決したんだったか
八幡,健気だなぁ……
雪乃,あなた、本当に口リコンではないのよね？あなたが口リコンだと言うのなら、奉仕部部長として責任を持って矯正しなくてはならないのだけれど？
結衣,ヒッキーが口リコンだったら、あたしはどうしたらいいの？
いろは,そこは普通避けるでしょう。何なんですか、この口リコンでもいいみたいな流れ……
八幡,あん？三ヶ月ちゃんが口リなら、彼女より年下のお前ら全員口リじゃねえか
いろは,もーグダグダじゃないですかー！
結衣,その手があったし！
雪乃,なるほど、比企谷くんの言うことにも一理あるわね
いろは,ありませんよ！
結衣,なーんにもない街だね
雪乃,そうね
いろは,観光する必要もありませんでした
八幡,千葉民もびっくりの地味さだな……。おいこの自販機マッ缶売ってねーぞ
いろは,それが普通だと思いますけど
結衣,平塚先生寝ちゃったし。これからどうしよっか？ヒッキーなんか案出して
八幡,ここで解散して寝る
いろは,平塚先生が布団二人分牛耳ってるんですよ
八幡,なに、お前ら布団なの？統一感ねえな……旅館かよ……。俺んとこベッドだし
雪乃,比企谷くん、ベッドはいくつあるのかしら？
八幡,二つだけど？
雪乃,私と由比ヶ浜さん、一色さん。いけそうね
八幡,おい、お前ら俺の部屋奪う気かよ？
いろは,先輩は女子部屋泊まっていいですよ。平塚先生しかいませんから
八幡,やめろ。いやほんとやめてくださいお願いします
雪乃,だ、そうだけど、由比ヶ浜さん、一色さん。この男と同じ部屋でもいいかしら？
結衣,ヒッキーならいいかな。変なことしなそうだし
いろは,逆に襲われてみたいですよね。このヘタレ先輩に
八幡,言いたい放題言いやがって……***すっぞマジで
雪乃,やってみなさい。できるのならね
八幡,……ソファーで寝ます。で、朝起きたら隣に一色が寝ていた。つかなんで女子部屋で寝てんの……
一色,せんぱぁい……
八幡,おい抱き着くな一色
平塚,おい比企谷、覚悟はできてるんだろうな？
八幡,ひゃあ……
雪乃,…………比企谷くん
結衣,…………ヒッキー
八幡,待て……俺は無実だ……
一色,激しすぎですよぉ……せんぱい……
八幡,紛らわしい寝言やめろっ。お前起きてんだろ
いろは,先輩からかうと面白いですね
結衣,ヒッキーのバカ！
雪乃,比企谷くんは性犯罪だけはしないと信じていたのだけれど、……どうやら過大評価だったようね
八幡,二人の目が怖ぇよ……トラウマ生まれちゃったレベル
平塚,抹殺のぉ～
八幡,いきなりラストブリッドですかそうですか
平塚,今日から奉仕部の活動が始まる
雪乃,恥ずかしいのですけど……
結衣,これ露出多くないですか？
平塚,アイドルだからな
いろは,……恨みますからね先輩
八幡,悪かった、無理矢理誘って
いろは,……今度生徒会手伝ってくれたらチャラにします
八幡,ああ
結衣,ヒッキー！どうかなこの衣装
八幡,まあ、……可愛くないこともない
平塚,相変わらずだな比企谷は
結衣,そっかっ！そっかそっか、えへへ
雪乃,あなたの捻デレは治りそうもないものね
八幡,…………
雪乃,なにかしら？……そんなに黙って見つめられるとその……恥ずかしいのだけれど
八幡,綺麗だ、雪ノ下
雪乃,
結衣,
いろは,デレた！？
八幡,……見た目はな
雪乃,なぜかしら、殺意が……
ゆかり,ななちゃん、あまり緊張しないで
奈々子,緊張くらいしますよぉ～。奉仕部？でしたっけ
太田,奈々子、突然だが大きなイベントをやることになった
奈々子,イベント？
太田,そうだ。他の街からろこどるがやってくる。確かユニット名は奉仕部、だったか？
奈々子,へぇ。変わった名前だね、叔父さん
太田,粒揃いの美少女軍団と聞いている。そこでだ、奈々子。お前たちにその奉仕部の皆さんと対決してもらいたいんだ。イベントの一環でな
奈々子,うえええ！？対決って、ろこどるフェスタやサミットみたいなやつだよね！？
太田,違うぞ奈々子。３対３のガチバトルだ！
奈々子,なんで！？
太田,市的に面白いからだ！
奈々子,意味わかんないよ！
ゆかり,まあまあななちゃん、落ち着こうか
奈々子,落ち着いてなんかいられませんよ！３対３って魚心くん入ってますよね！？
太田,安心しろ奈々子。向こうも最強のゆるキャラを用意しているそうだぞ
奈々子,最強って、全然安心できないよ！もう！叔父さんはすぐ勝手に決めちゃうんだから！
沙織,そうです、奈々子さんの言う通りです。……と言いたいところですが、今回のお話、実は課長の判断ではなく、元市長からの推薦なので……
奈々子,ゆかりさんのお爺さんの？
ゆかり,そうなの。ごめんなさいね、ななちゃん
太田,なんでも奉仕部のリーダーである雪ノ下雪乃さんは、元市長の親戚にあたる方らしい
奈々子,ってことは、ゆかりさんの親戚ってこと！？
ゆかり,そうね
奈々子,それ、いつもより緊張しますよぉ……
ゆかり,大丈夫だから！普段通り、普段通りにね？ななちゃん
奈々子,うーっ
太田,まあそれで奉仕部の存在を知って、安上がりだと思ったから実現しただなんて、奈々子には言わないでおこうか
ゆい,緊張するっスね……
奈々子,最強のゆるキャラだもんね
ゆい,ななこさんだって相手、超美少女軍団じゃないっスか
奈々子,言わないでくださいよぉ
ゆかり,あのね、いつも通りで大丈夫だから。ななちゃんも超美少女だから！
奈々子,ゆかりさーん
ゆかり,よしよし
みらい,ゆい先輩、あの……私応援してますから……！
ゆい,ありがとうっス、なっちゃん。心強いっスよ
みらい,いえ……あの、皆さん頑張ってください
奈々子,みらいちゃんもだよ？
みらい,えっ？
奈々子,私たちは４人揃って流川ガールズと魚心くんなんだから
みらい,ななこさん……
ゆい,なっちゃんが控えてくれているから、自分も心おきなく頑張れるんスから
ゆかり,そうね。みらいちゃんあっての私たちよ？
みらい,ありがとう……ございます
ゆい,こんなことで泣いちゃだめっス。笑顔笑顔！なっちゃんは笑顔が似合うんスから
みらい,あ…いえ、別に泣いてませんけど
奈々子,行こう、みんな！
ゆい,よーし！自分、頑張るっスよぉ！
ゆかり,ななちゃんファイト！
奈々子,ゆかりさんも！
沙織,頑張ってください。皆さん
熊心くん,八幡
いろは,ぷふっ……くくく……
雪乃,笑っては失礼よ、一色さん……ふふっ
結衣,ヒッキー……もうあたしダメかも……プフッ……
熊心,……帰っていいっすか
平塚,ダメに決まっているだろう。なんだ比企谷、結構似合っているじゃないか
いろは,ふてぶてしい目がそっくりですよ……ふふっ……先輩
結衣,なんかヒッキーって感じ……プッ
雪乃,そうね、比企谷くんの歪んだ特徴がよく再現されているわ……ふぅ
熊心,公開リンチやめてもらえますかね？
雪乃,リンチではないわ。全て事実だもの
平塚,おい、私は引率だからな。ちょっと市役所の人間と話してくる
雪乃,お疲れ様です
いろは,行っちゃいましたね……
奈々子,あのー
雪乃,あなたは？
奈々子,今日お世話になる流川ガールズですけど、入ってもいいですか？
雪乃,どうぞ？
奈々子,どうも、はじめまして！！流川ガールズの宇佐美なにゃ……奈々子です……
ゆかり,同じく流川ガールズの小日向ゆかりです。本日はよろしくお願いしますね
雪乃,ええ。私は奉仕部の部長、雪ノ下雪乃です。こちらがメンバーの由比ヶ浜結衣に、生徒会長の一色いろはです
結衣,由比ヶ浜結衣です！今日はよろしくね？
いろは,一色いろはです。本日はお世話になります
雪乃,で、こちらが……奉仕部のゆるキャラ、熊心くん……よね？
熊心,なんで俺だけ疑問系なんだ……
奈々子,！？
ゆかり,まあ？
魚心,
熊心,……どもっす
魚心,ななこさん！自分アレに勝てる気がしないっスよ！？
奈々子,あー熊だもんねぇ
ゆかり,こちらは流川市のゆるキャラ、魚心くんです
魚心,ども！魚心くんっス！
熊心,餌か……
魚心,自分食われるっスか！？
ゆかり,あら？そういえば３対３と聞いていたのだけど
奈々子,あっ！そうだよ！どうしよう、ゆかりさん！４人いるよ！？
雪乃,そちらの方は？
みらい,あの……私は、魚心くん担当で……
魚心,魚心くんは自分、三ヶ月ゆいとなっちゃんの二人でやってるんスよ
みらい,……名都借みらいです
いろは,あ、でも、名都借さん可愛いんですから、そのままステージ上がればいいんじゃないですか？
結衣,うん、だよねー。名都借さん…ならそのままでもいけると思う
みらい,えとえと……私人見知りで……人が苦手で……魚心くんがないと無理です……
熊心,わかる。目立ちたくないよな
みらい,あ、えと……はい
魚心,魚心くんはこのヘッドを閉じると声が聞こえ辛いっスよ。だから中に入ってないほうが魚心くんの声を担当して、少しでも負担を軽減したりするっス
雪乃,そう
いろは,そういうことなら、私が名都借さんと裏方に回りますよ
結衣,いろはちゃんずるいし
雪乃,でも由比ヶ浜さん。一色さんを熊心くんの中に入れるわけにもいかないのだもの。正式には奉仕部は私と由比ヶ浜さん……と、そこの男の３人なのだから
熊心,オマケみたいに言うんじゃねえよ……
雪乃,ごめんなさい。私と由比ヶ浜さん、それと比企谷くんの３人で奉仕部だものね
熊心,お、おう
いろは,よろしくね、名都借さん
みらい,はい……一色さん
スタッフ,開演２時間前です。打ち合わせよろしくお願いします
雪乃,まずは私と
ゆかり,私がお相手します
雪乃,小日向さんといったかしら。母の親戚と聞いているわ
ゆかり,私もお爺様から伺っています。雪ノ下さんとは一度お会いしてみたかったので、今日はいい機会に恵まれました
雪乃,私は会いたいとは思わなかったのだけれど……あなた、母の親戚とは思えない人柄の良さね
ゆかり,え？
雪乃,……今日は会えてよかったと云わざるを得ないようね
ゆかり,そうですか
奈々子,二番手は私と……
結衣,はいはーい！あたしだねっ
奈々子,結衣さん、お手柔らかに頼みます
結衣,奈々子ちゃんもね？
魚心,三番手は自分っスか
熊心,よろしく頼む
魚心,食べちゃだめっスよ？
熊心,食わねーよ
いろは,プログラムは……よし。オープニングは流川ガールズの皆さんにお願いします
ゆかり,ええ。わかったわ
みらい,流川ガールズのお二人のトークが終わったら、ステージに仕掛けた火薬が爆発します。奉仕部のお二人は、それを合図に舞台上へお願いします
結衣,任せて！
いろは,せんぱ……熊心くんと魚心くんは４人の挨拶が終わったらステージ上へ上がってください
魚心,了解っス
熊心,了解だ
ゆかり,あらあら、息ぴったりね。やっぱり相性がいいのかしら？
魚心,相性最悪っスよ！自分餌にされそうでビクビクっス！
熊心,マジ熊じゃねーから
奈々子,あはは……
みらい,テーマ対決が終わったら、魚心くんソングをゆい先輩と比企谷さんで歌ってもらう予定です
熊心,え…歌うの俺
結衣,ヒッキー頑張って！
魚心,緊張しなくていいっス！自分と同じ動きをしてくれれば問題ないっス
熊心,ぐぬぬ
いろは,最後に奉仕部二人と流川ガールズにそれぞれ一曲歌って頂きます
結衣,うぇぇ！！？
雪乃,想定の範囲内ね
奈々子,逆になんで歌わないと思ったのか聞きたいよ
ゆかり,本来アイドルのお仕事は歌うことだもの
奈々子,流川ガールズは何でも屋みたいになってますけど……
みらい,閉会の挨拶は奉仕部の皆さんにお願いします
雪乃,わかったわ
みらい,ゆい先輩の疲労に合わせて、私は魚心くんの声を担当します
いろは,私は皆さんのサポートしますよ
奈々子,それじゃ打ち合わせ通りにリハーサルいってみよう！
魚心,熊さんにはさっそく魚心ソングと振り付けを覚えてもらうっス
熊心,おい、あと一時間半くらいしかないんですけどマジすか……？
魚心,マジっス
奈々子,みなさん、こんにちは！。流川市の宣伝本部長、宇佐美なにゃ……奈々子です！
ゆかり,流川を応援し隊隊長の小日向縁です。私たち流川市の公式アイドル、流川ガールズです！
奈々子,私たちは流川市をアピールするためのマスコット的存在で現役女子校生です
ゆかり,流川市のために一生懸命頑張ってます！
奈々子,そして今日は！なんと流川ガールズ最大の危機なんです！皆さん！
ゆかり,あら、一体どうしたというの？ななちゃん
奈々子,私たち挑まれたんですよぉ！ゆかりさん！
ゆかり,えっ？誰に？
奈々子,私たちの宿命のライバルです！
雪乃,流川ガールズ！今日であなたたちに引導を渡してあげるわ！
八幡以下熊心,ノリノリだな、雪ノ下
結衣,あたしたち奉仕部が！あなたたちに挑戦しますっ！
ゆかり,な……なんですって！？
熊心,小日向さんもスゲー熱演だよおい
雪乃,私の名は雪ノ下雪乃！流川ガールズを打ち倒す者よ
熊心,お前ならほんとに討ちそうで怖ぇよ
結衣,あたしは由比ヶ浜結衣！覚悟なさい！流川ガールズ！
奈々子,ゆかりさん！
ゆかり,ええ！ななちゃん！
奈々子,流川市のみなさーん！私たちの危機を救ってくださーい！
ゆかり,せーの！でお姉さんたちと一緒に魚心くんを呼んでね！
奈々子,せーの！
会場,魚心くーん
魚心,声・みらい
熊心,ククク……甘い、甘いぜ！今日が貴様の命日だ！魚心ォ！
いろは,うはー、先輩見たことないくらいテンション高いですー
魚心,声・ゆい
子供たち,食べちゃだめー！
熊心,ぐぅ……卑怯な。これでは貴様を食えんではないか。がおー
結衣,ヒッキー活き活きしてるね
雪乃,目が腐ってないと思ったら着ぐるみだったわね
いろは,録画して由比ヶ浜先輩にあげよう
奈々子,いけない！魚心くんを助けなきゃ！
雪乃,待ちなさい。まずは私が相手よ
ゆかり,ななちゃん下がって！ここは私が
ナレーション,おーっと！ついに、ろこどる対決の始まりだ！
ナレ,最初の対決テーマを決めて頂きましょう！。この特大サイコロに書かれたテーマで対決して頂きます
ゆかり,私が振りますね
ナレ,なにが出るかななにが出るかな
熊心,パクりかよ
ナレ,出ました！最初から過激にいきますね！コイバナ！コイバナです！アイドルには絶対タブーの恋愛話対決だーっ！
ゆかり,
雪乃,
沙織,子供たちの前でコイバナとか市的に大丈夫なのですか？
太田,なーに、子供たちが見てるんだ。おかしなことにはならないさ。彼女たちも一端のアイドルなんだ
沙織,なら、いいのですが……
太田,なに、ゆかりお嬢さんなら大丈夫だろう
ナレ,ではさっそく、小日向選手からどうぞ！
ゆかり,え……っと、恋愛は未経験なのでわかりません……？
会場男,うおおおおお
熊心,ナイステーマ
ゆかり,あの！好きな人ならいます！
会場男,……え？
太田,……え？
ゆかり,その人はずっと私を支えてくれて、……その人がいたから、私はここまで来られたと言いますか……一緒にやってきた大切な仲間なんです
奈々子,叔父さんかな？
ナレ,てぇ～ことはぁ～今ここに彼がいるのー？
ゆかり,……彼？あ、いえ彼女……です
会場男,えっ？
熊心,は？
ゆかり,いつもありがとー。大好きだよ、ななちゃん！！
奈々子,わたしー！？
ナレ,なーんと！ただの感謝の言葉だったーっ！？これぞアイドルの鑑！
奈々子,私も大好きですよ！ゆかりさん！
ゆかり,これって……両想いなのかしら？きゃっ、ななちゃんったらかわいー
ナレ,強いぞ小日向選手！自然な流れでパートナー想いをアピール！彼女にとって恋愛はやっぱり御法度だったーっ！
雪乃,なら私は由比ヶ浜さん……いえ、同じ手は使えないわね
ナレ,続いて雪ノ下選手！
雪乃,そうね……なら……奉仕部にはもう一人……もう一人？。……ひ、比企谷くん
熊心,お、俺！？
結衣,ゆきのん！？
雪乃,い、いつも厳しいことをあなたには言っているのだけれど……そうね、私はあなたが好きよ。大切な奉仕部のメンバーとして。……感謝しています
ナレ,おーっと雪ノ下選手！ガチ告白！ガチ告白だーっ！これは告白対決じゃないぞー！
雪乃,……え？
熊心,…………
ナレ,では比企谷さん……って熊心くんだーっ！比企谷さんって誰だぁー！
熊心,ボクのあだ名だクマー……
ナレ,テンション低っ
会場子供,えーっ、お姉ちゃんあの熊さんが好きなの？
ナレ,子供の目もあるし
雪乃,もしかして…………私今…………
いろは,コイバナっていうか告白大会じゃないですか……
結衣,……二人ともコイバナを理解してないよね。ゆきのん……
熊心,小日向さんのケースを考えろ。あの直後だ。雪ノ下が珍しく感謝の言葉を口にしたと考えるべきだろう。そうに違いない
ナレ,熊心くーん！お返事をどうぞ
熊心,ならここは……俺が言うべき言葉は……。……すまん雪ノ下。少し考えさせてくれないか？。ありがとう……そう口にすべきだった。俺も感謝してると
雪乃,
熊心,どうして俺は……。この熱気……テンションにあてられたのかもな……。もし、雪ノ下が俺を好きだと言ってくれたら……俺は
ナレ,ちょっおま……ガチで返事きちゃいましたー！熊心くんは照れ屋だなぁ……！ははは
雪乃,さっきのってもしかして……私、比企谷くんに告白した！？。……死にたい
いろは,あらら、ノリと勢いでうっかり告白しちゃったみたいですね
結衣,ゆきのん……
雪乃,……ごめんなさい。由比ヶ浜さん
結衣,……！？
ナレ,さあ！勝利の女神はどちらに輝くのか！
結衣,待ってください！！あたしも伝えたいんです！今ここで！
ナレ,は？えっ、ちょっと困ります！
結衣,お願いします！
奈々子,じゃあ、私も参加すれば問題ないよね？
ナレ,……問題しかありませんけど
奈々子,いいじゃないですか。結衣さんだって女の子なんですよ？
ナレ,……えーと、まあ、いいでしょう！もう知らん
いろは,うわぁ……ナレーションさんテンション低い……
ナレ,では由比ヶ浜選手どうぞ！
いろは,選手って完全にアイドル扱いじゃないですね
結衣,ヒッキー！ううん違うね、比企谷くん！
魚心,熊心くんモテモテっスね
結衣,あたしは比企谷くんが好きです！ゆきのんには取られたくない！だから言うね！
ゆかり,若いっていいわよねー
奈々子,ゆかりさんも若いですって
結衣,あたしと付き合ってください！
熊心,……ありがとう。二人ともこんな俺を好きになってくれて……
沙織,リア充爆発しろ
熊心,でも……すまん！雪ノ下にも言ったが少し考えさせてほしい。俺は……二人の好意は信じたい……二人を信じたい……と思っている
結衣,ヒッキー……
熊心,……嬉しいはずなのに……俺はなぜか恐怖してる。……わかってるさ。ぼっちは敏感だ。由比ヶ浜の好意くらい……くそっ。でも怖いんだよ。……逃げてばかりでごめん
結衣,ううん、いいよ。今はその答えだけで。だってあたしの思った通りだから……
熊心,由比ヶ浜……
結衣,ゆきのんが自爆して、あたしだけ伝えないのはなんか嫌だった
雪乃,由比ヶ浜さん……そうね。私も軽率だった
熊心,だが約束する。俺はお前たちからだけは多分逃げない。絶対、必ず答え出すから……
雪乃,比企谷くんの精一杯の誠意、見せてもらったので……許します
結衣,ヒッキー大好きだよ
ナレ,ど……どう反応すればいいんだー。拍手？
奈々子,あの！私たちには雪ノ下さんたちの事情はわかりません！でも、大事なことだったっていうのはわかります！
ゆかり,そうね。流川ガールズが、そんな三人を幸せに導けたら幸いだわ
会場,うおおおおお
ナレ,ノリと勢いで会場のテンションが復活！まさかの三角関係に拍手！
みらい,そこは拍手してはダメなのでは……
いろは,…………
ナレ,奈々子選手は告白なさいますか？
奈々子,私はまだ恋愛はできそうにありません。だから、ゆかりさん、ゆい先輩、みらいちゃんに一言。みんなー大好きだよー！
会場,ワアアアアア
