魔王,ぐぅ……。ぎゃあああ……
衛生兵,あなたは魔王に勝った。この国を再建して、再び穏やかな日常を取り戻せるんスよ
勇者,いーや……戻れねぇよ
女兵士M,こ、ここに入ります？私達……
勇者,ここが一番魔族いそうじゃねぇかよ
衛生兵,なんか凄いドラゴンが住みついたって噂があるッスよ
勇者,ラストバトルで魔界へのゲートが一瞬開いたからな。とんでもないドラゴンかもな……。裏ボスってわけだ。ハハッー行くぜっ！
衛生兵,ひぃぃっ……
女兵士M,……………死ぬ……私死ぬぅ
隊長,いやいやいやいやいや……ぃゃ……
勇者,な、なんだと？！？！
隊長,え、あ、はい……前回の作戦では討伐数トップは別の部隊でした……
女兵士M,まあ、ドラゴンと戦ってましたから、仕方ないですよ
勇者,く、くそぉぉ！哀れんじゃねぇ！おめーらがもっとしっかりしてりゃーよっ！
衛生兵,そんな悔しがらなくても……別に給料変わらないッス
隊長,前回トップの部隊は討伐数50、なんでも凄い新人が入ったとか
勇者,ふん、面白くなってきたじゃねぇか。おい、ウスノロ女。おせーよ、ちゃんと付いて来い
女兵士M,あ、はいっ……あぅ～
隊長,な、なんだあれ？
衛生兵,これは……魔族の村？？
勇者,まだ魔族の集落があったのか
衛生兵,魔王亡き今……ヒトに見つからぬよう、ひっそりと暮らしていたんスね
勇者,ふん……。焼き払うぞ、これで討伐数が稼げる。ラッキーだぜ
衛生兵,え？！正気ッスか？！ただの村人しかいないッスよ？
勇者,あ？
隊長,魔族といえど……女子供を殺すのはちょっと……
勇者,何綺麗事言ってだよ、俺ら人間が魔族を滅ぼしたんだぞ？弱肉強食だ、モンスターの巣を焼き払うのと同じだ
衛生兵,……たしかにそうかもしれないッスけど
隊長,……
衛生兵,……
女兵士M,……
勇者,ふぅ……ひさびさに全力の魔法だ…………はぁぁ……
王,おかえり勇者君、俺っちの期待通りの働きだ
勇者,当然だ、今回の作戦は俺様トップだろ？
王,トップといえばトップだけど、偶然にも討伐数同数で同率一位だね
勇者,な、なんだと？！俺ら以外にも100越えが？！例の新人か……
王,うにゃ、キミの良く知る人物だよ
勇者,あ？
王,戦争中キミと旅をし、生き残った数少ない仲間だ
勇者,誰だ？俺様について来れなくて、パーティ何人も入れ替わったからな
王,いつも仲間の少ない“勇者”だったもんね
勇者,足手まといはいらねーって誰だって思うだろ
王,ふむふむ……だからこそ、その強さがある訳だ。その普通の“勇者”を反転したような考え好きだよ
勇者,次の討伐作戦はいつだ？
王,それがね……あらかた探索したから、しばらく無いよ
勇者,……
王,闇雲に魔族探してもね……見つからないし、また情報入ったら教えるよ
勇者,またやることなくなっちまった……
女兵士M,勇者様ー！
勇者,あ？なんだウスノロ女か。なんだよ？用がねぇなら行くぞ
女兵士M,あ、あの……一緒に買い物行きませんか？
勇者,なんで俺様がお前と一緒に行かなきゃならん
女兵士M,あ、う……
勇者,あ、俺様に装備選んでほしいのか。たしかに前から思ってたんだよ、ウスノロのくせに重装備過ぎるんだよ
女兵士M,え、じゃあ……
勇者,防具屋行くぞ。痛ッ……頭痛……酒飲んでねぇんだけどな。くそ……最近は何もしなくても頭痛ぇ
女兵士M,勇者様ーどっかお出かけしましょーよ
勇者,うるせーっ！てめーの声は頭に響くんだよ、どっかいけ！。くそぉ、頭痛くてベットから起き上がれねぇ。病院行っても原因不明だしよ……
衛生兵,大丈夫ッスか？勇者様。なんか体調悪いらしいじゃないッスか
勇者,な、なんでもねぇよ。それより、討伐作戦はまだねぇのか？
衛生兵,はい……
勇者,んだよ……。おえぇぇ……。きちぃ……吐き気に頭痛。おまけに手足が痺れてる。なんなんだ？！呪いにかかった形跡もない……
隊長,勇者様？討伐作戦の指令が出たんですが……無理そうですかね？
勇者,なに？！そうか……いや行くよ……。ずっと部屋にいるのがいけねぇのかも……
魔族兵,ぎゃああああ！
魔族術師,おわぁ……
勇者,逃がすかっ
魔族術師,た、たすけて……。ああああぁぁ……
衛生兵,よかった……全然元気ッスね
勇者,……。急に体調よくなった……やはり引きこもってたのが良くなかったか？
女兵士M,さっすが勇者様ぁー
隊長,あれ？他の部隊がこっちに来ます
勇者,おおっ！戦士じゃねぇかっ！
戦士,…………勇者。久しぶりだ
勇者,ハハッー。相変わらず無愛想だな。ってことは、討伐数荒稼ぎしてる新人って……
戦士,貴方とまた戦えるのは嬉しい
勇者,ハハッー！おめーだったか！納得だぜ
戦士,……貴方も相変わらずの強さだ
勇者,今はライバルだ。今作戦は負けねぇ、おめーも全力だせよ
戦士,承知した
勇者,おっしゃ、行くぜっ。作戦から帰ってくると体調悪くなるな……
女兵士M,わぁー！勇者様見て見て、サーカスだよ～
勇者,気晴らしに外に出てみたが、良くならねぇな。くっ
女兵士M,ゆ、勇者様……また体調が？
勇者,なんでもねぇよっ！
女兵士M,？
勇者,なんだ騒がしいな
街人,大変だっ！！サーカスから魔物が逃げて暴れてるぞっ！。に、にげろー！
魔物,グオオオオオォォッ
女兵士M,ふぇぇぇ
勇者,どけ、ウスノロ女
魔物,ギャオオオオォォッ
勇者,ふん
女兵士M,キャ☆さっすが勇者様ぁー
街人,おぉー勇者様だ。ありがとー
勇者,？……頭痛が少し引いてる……。色々試したが戦ってると頭痛が和らぐ。戦争が終わって、戦いが無くなったらこのザマかよ。平和、戦いの無い世界を望んで戦ったのに、戦いがねぇとダメな人間か……。どうすりゃいいんだ……。くそ……頭が割れそうだ……。街の外へ……魔物を狩りに行くか……。くそぉ……魔物と戦うくらいじゃ満たされなくなってきた。王よ……魔族討伐はまだか？
王,おおー勇者くん。ちょうどキミを呼びに行かせてたんだ
勇者,お、作戦開始か？！
王,うにゃ……けど、今回はちょっといつもと違う
勇者,あ？
王,とある要塞の兵士達が全員殺された。魔族の生き残りの仕業だと考えられる。調査に送った部隊も連絡が途絶えた。おそらく罠を張って待っているようだ
勇者,なるほど、おもしれーじゃねぇか
王,その要塞に行って、調査と奪還が今回の作戦だ、専用にパーティメンバーも揃えたよ
勇者,俺様一人で十分だが
王,そういわないでよー、みんな入って
戦士,……
衛生兵,どもッス……
女魔法使い,や、勇者。久しぶりだね
勇者,お、女魔法使い？！
女魔法使い,最終決戦以来か、相変わらず目つき悪いね
勇者,へっ、相変わらずデカイ胸だな。そういや揉ませてもらってねぇぞ
女魔法使い,しね
王,今作戦は、戦時中キミがパーティを組んだことのある者を選んだ。昔一緒に旅した仲だ、これ以上強いメンバーはいないっしょ
勇者,あちぃぃ……
戦士,……旅を思い出す
勇者,前にもこの砂漠で魔族狩りしたな
女魔法使い,二度とゴメンだと思ったのに、またあんたとパーティ組む日がくるとわね
勇者,ラストバトル後……何してたんだ？
女魔法使い,何も……戦争は終わったけど、あまりに犠牲が大き過ぎて
勇者,……
女魔法使い,引きこもってた。あんたみたいにすぐ立ち直れないわ
衛生兵,みんな少しづつ新しい道に進むしかないんスよね
女魔法使い,平和な世界を……生きる生き方を探さないとね
勇者,生き方なんて、そうそう変えられねぇよ
衛生兵,そんなことないッス！僕はいつか……戦いの記憶を本にして出版するんだ！
戦士,……お前の夢なんて誰も聞いてない
勇者,そういや、最終決戦の王都報告書見たか？
女魔法使い,ああ……“彼女”の存在が抹消されてた。あれじゃラストバトルで何が起こったのかわからない
勇者,空白のラストバトル……ってか？
戦士,報告書を改ざんしたのは……王様か
勇者,あの王のヤローは何考えているのかわからねぇ。この作戦も何か裏があるかもな
衛生兵,どうしてそう思うんスか？
勇者,平和な世界で兵力はいらねーと言っておきながら、俺様には強いままでいてほしいだとよ
衛生兵,……。ついたっ！ここが入り口ッス
勇者,乗り込むぜっ！
女魔法使い,ちょ、ちょっと待って。正面から行く気？
勇者,ああ……なんか問題？
女魔法使い,罠があるって言ってたじゃん……
勇者,だから？俺様は魔王倒した“勇者”だぞ？罠にかかってやるくらいのハンデがなきゃ楽しめねぇだろ？
女魔法使い,うわ、でたよ……だからあんたとパーティ組みたくないんだよ
勇者,戦士、どっちが多く魔族仕留められるか勝負な！
戦士,承知した
衛生兵,うぇぇ……チームで戦う気ゼロじゃないッスか。僕は罠に入りたくないッス……
勇者,あそ、じゃあここで待ってろよ
衛生兵,はい、どうせ役に立てないし……。ハッ……こんなとこで一人で待つとか……確実に死亡フラグ？！？！ま、待ってくださいッス～やっぱり行くッス～
勇者,死体だ、首を一突き
衛生兵,この要塞の兵士は全員殺されたんスね…4、50人？
女魔法使い,ん？ナイフが落ちてる……
戦士,そ、それは
勇者,……なんか見覚えあるナイフだな
戦士,これはあいつの……
勇者,あー！あのピエロ魔族か！ハハッー面白くなってきた
女魔法使い,なに？
勇者,前に殺し損ねた魔族の武器だ、薄汚ねえ高笑いが聞こえてきそうだ。お出ましか
衛生兵,うわぁ
魔族道化師,うひゃひゃひゃひゃー！
勇者,おめー……一人？しかも罠ってこれだけ？
魔族道化師,うひゃー勇者じゃん。オイラついてるなぁ
勇者,こんなんで俺様に勝てると思ってんのか？爆弾でも仕掛けとけっての
魔族道化師,うひゃひゃひゃ。直接殺さないとオイラ満たされないんだよっ！
女魔法使い,遊んでないで仕留めてよっ！
戦士,くぅ
女魔法使い,キャ
衛生兵,うわぁ眼が
勇者,ありゃ……視界が
魔族道化師,うひゃひゃひゃ……うひゃひゃひゃひゃ～これで何も見えないだろ～
女魔法使い,衛生兵っ！リカバリーをっ！。衛生兵？！く、何も見えない……
魔族道化師,うひー、見えてないのに避けられた。うひゃハズレー見えないからって、闇雲に攻撃すると仲間にあたっちゃうぞー
勇者,へっ……じゃぁ……。この部屋ごと吹飛ばすまでだっ！！！。痛、つつ……
女魔法使い,ケホケホッ……もう！だからあんたと組みたくないんだよ
戦士,……視界が戻った
女魔法使い,よかった……衛生兵はまだ生きてる
勇者,ピエロヤローは何処だ？
戦士,……ここだ
魔族道化師,いででで……殺し合い楽しーでもオイラピンチ！
勇者,じゃ死んでもらうぞ
魔族道化師,うひゃひゃひゃひゃー待って待って……オイラ見逃してくれよー他の魔族の隠れ里の場所教えるからさー
勇者,どこだ？
魔族道化師,うひゃ、言ったら殺す気だろ～
勇者,な？！
女魔法使い,……。情報を持ってるかも、生け捕りだ
勇者,チッ……また殺し損ねた。俺様に魔族道化師の拷問させろよ
王,いや、拷問で口を割るような奴ではないよ
勇者,狂ってるからな……
王,典型的な殺人鬼だよ、まともな会話は出来そうにない
勇者,…………
王,魔族道化師を北大陸の“修道院”に護送してくれ
勇者,北大陸の修道院？
王,極秘だか、そこで色々な研究をしていてね。そこなら情報を引き出すことができるかもしれない。ふふん
勇者,やっぱ、何考えてるかわかんねぇな。何企んでやがる……。護送なんてつまんねーな
王,うにゃ、そうだろうけど王都騎士団は魔王との最終決戦の時に壊滅しちゃったから、今再編成中なんだ。上位魔族に対応できそうな者が他にいない
勇者,えー
王,たのむよ～
勇者,わあったよ
王,飛空船を出す。行って帰ってくるだけだ、頼んだよ
勇者,わりと体調いいな……
魔族道化師,うひゃひゃひゃひゃ、お前もいい眼になってきたな
勇者,……？
魔族道化師,うひゃ、受け入れろ。楽になれるぞ……ひゃひゃひゃ
勇者,うるせー……女魔法使い、また石化させろよ
女魔法使い,相手にするなよ。長旅なんだから
衛生兵,いざってときの為に魔力は残しておいた方がいいッスよ
勇者,なんも起きねーよ。たかが魔族一匹護送に大袈裟なんだよ……なぁ戦士
戦士,……ん？なんだ？すまん、聞いてなかった
勇者,てめー無愛想にもほどがあるぞ
女魔法使い,砂漠のあとは北大陸か。寒いんだよね
勇者,昔、二人で旅したな
女魔法使い,思い出したくもない
勇者,おわっ！ウスノロ女？！なんでいんだ？！
女兵士M,見ての通り、飛空船を操縦してるんです！それより、なんなんですか？！その女！
勇者,あ？
女魔法使い,……
勇者,別に関係ねぇだろ。前見て操縦しろ！
衛生兵,うわぁ
勇者,て、てめぇ、ちゃんと操縦しろ！
司祭,勇者殿。ようこそ、修道院へ
勇者,おぅ、随分仰々しい建物だな、まるで監獄じゃねぇか
司祭,この地域は平気で何週間も雪が止まない。しっかりした建物でないと積雪で潰れてしまうのじゃ
女魔法使い,ここへ近づいたら、急に天候が悪くなったわ
女兵士M,雪っていうよりはブリザード……とても飛空船を出せないです
司祭,お越しいただくタイミングが悪かったですな、待てば天候は回復します。部屋を用意しています、ゆっくりしていってくだされ
衛生兵,魔族道化師は……どうすれば？
司祭,中央大陸の王様より、連絡は受けておりまする。私達で地下の牢へ運びます。お前達頼んだぞ
修道士1,……
修道士2,……
修道士3,……
勇者,気味が悪りぃ連中だ
司祭,護送ご苦労様であった。あとは我々が引き継ぎまする
女魔法使い,不気味な施設ね
勇者,まー関係ねぇよ、俺らの仕事は終わりだ
衛生兵,でも、天候がどんどん悪くなってるッス……凄い吹雪……
女兵士M,帰りたくても帰れない……あぅ～
戦士,……
勇者,ぜっぜん雪止まねぇな
女魔法使い,退屈……。衛生兵、何してるんだい？
衛生兵,今までの戦いを文章にしてるッス。これからの平和世界では、戦いなんて書物の中だけになるッスよ
女魔法使い,へぇ、出版できるといいね
勇者,くだらね……。く、頭痛始まっちまったか。ここんとこ、調子良かったんだが……
衛生兵,吹雪やまない……
女兵士M,ゆうしゃさまー！修道院の中、探検しましょーよ
勇者,あーうるせーウスノロ女、甲高い声出すな！
女魔法使い,ん？なんだよ？
勇者,なんでもねぇよ、行くぞウスノロ女
女兵士M,あっちが礼拝堂ですね
勇者,こっちは回廊か
女兵士M,この部屋は食堂ぉ
勇者,この中は図書室
女兵士M,こっちは修道士達の居住室ですね
勇者,……娯楽室はないよなぁ。全然面白くねぇな……あとは地下だな
女兵士M,な、なんか怖い……
勇者,おい、ウスノロ女。くっつくな
女兵士M,だ、だって～
勇者,てめぇ仮にも王都の兵士だろっ。びびってんじゃねーよ……。ここはなんだ？。開かねぇな
司祭,ならん！
女兵士M,わぁっ……びっくりした……
司祭,その先は禁域。“神”に身を捧げた者しか入ることは許されん
勇者,あ？……何聖職者ぶってんだよ。聞いたよ、色んな研究してんだろ？
司祭,たしかに研究はしている。しかし、全ては神への信仰の為じゃ
勇者,神への信仰ねぇ……
司祭,神は全てを反転させてくる。悪、不幸、闇、苦、破壊、死。この世のすべてじゃ
女兵士M,……
勇者,信仰とか興味ねぇわ。そういや魔族道化師はどうなった？
司祭,地下牢にて拘束しておる。魔族とは人間を生物的に反転させた存在、あやつは我々の研究の被験体となる
勇者,反転の研究ねぇ、意味わからん
女魔法使い,雪が止まない！！！ああ～！こんなトコにこなきゃよかった～
衛生兵,退屈で発狂しそうっスね……
女兵士M,勇者様と一緒に居られるなら何日でも大丈夫です☆ね、勇者様？
勇者,あ？。くっそ……頭痛をどうにかしねぇと。おい！そこのジジイ
修道士,は、はい？
勇者,近くに魔物がいるところはねぇか？
修道士,い、いえ……この修道院は湖の真ん中にありますので……安全です
勇者,くそっ魔物狩りもできねぇ、痛ぇ……
女魔法使い,外へ出る気？この吹雪じゃすぐ凍死するわ
勇者,く、戦士
戦士,……なんだ？
勇者,ちょっと俺様と剣技の試合しねぇか？身体を動かしてぇ
戦士,……構わないが、俺では貴方の相手にならない
勇者,何言ってんだ戦士、おめーは俺様が認めた相棒だろうが。十分強ぇよ。おしゃ、いくぜぇ
女魔法使い,ちょ、ここでやんの？？
女兵士M,勇者様がんばれ～
勇者,はあああっ！。く……そ……頭に電撃魔法くらってるみてぇだ。手も震えが止まらね
女兵士M,ゆ、勇者様大丈夫ですか？
勇者,く……か……
女兵士M,あ、あ、起きないで。そのままベットで寝ててください。今お医者さん呼びましたから
女学士,医者ではおまへんけど
勇者,だ、だれだ？
女学士,この施設で研究員してる女学士っちゅーもんや
勇者,……
女学士,どないした？
勇者,頭痛……吐き気、悪寒、痺れ……なんの症状だ？
女学士,なるほど。お嬢はん、ちょいと部屋の外へ出てほしいんやけど？
女兵士M,あ、はい……変なことしないで下さいね
女学士,ほな、勇者はん
勇者,あ？
女学士,禁断症状や、そないなるまで我慢するなんて、ごっつう根性あるな
勇者,禁断症状？
女学士,依存症や。何我慢しとるんや？ドラッグか？酒か？快楽魔法か？
勇者,ちげぇよ、どれもやってねぇし……頭痛薬とかねぇのか？
女学士,症状を抑える薬は作れるかもしれへん。調合するから、2、3日待っとくれや
勇者,原因不明って……どうすりゃ。くそ……痛ぇ……。……耳鳴り、く、意識が……
衛生兵,勇者様っ！大変ッス！起きてくださいッ
勇者,ZZzz……うあ？
衛生兵,起きてくださいっ！魔族道化師が逃げたッス！
勇者,なんだと？！……痛っ……
司祭,申し訳ない、腕の立つ修道士に見張らせていたのじゃが……
勇者,ゆっくり斬り刻まれて殺されてる……
司祭,どうやって拘束を解いて、牢屋から逃げたのか……
勇者,逃げたっつっても、外は猛吹雪じゃねぇか。まだこの修道院の何処かにいるってことか
女魔法使い,魔族は人間より寒さに強いとはいえ、さすがにこの吹雪じゃ外には出れないでしょ
衛生兵,僕らで探しましょ、あいつは危険過ぎるッス
司祭,かたじけない……禁域すべての出入りを許可しよう
衛生兵,何処にもいないッスね……あとは地下だけッスか
女魔法使い,鍵がかかってる？いや、扉に何か書いてある。仕掛けを解かないと開かない仕組みか
勇者,なになに……天と地の間の龍が彷徨う空。その劔に光を…………あーうぜー。余計に頭痛くなる
衛生兵,僕に任せてくださいっス！天とは天上のこと……地とは床のこと……龍とは……えーと……
女魔法使い,……司祭さんに開けてもらえば？
勇者,……あー頭痛ぇ
衛生兵,あ、そうか！……あ、いや、ちがうか。つまりアレは……
勇者,オラァァァッ！！
衛生兵,えええええー？！？！
勇者,ほれ、開いたぞ
女魔法使い,あんた怒られるよー
勇者,うっせ。旅してるときもあったんだけどよ、鍵のかかった宝箱とか仕掛け付きの扉とかは、いつもぶっ壊すことにしてんだ俺様
衛生兵,……
女魔法使い,ま、司祭さんに何処でも入っていいって言われたしね
勇者,いこーぜ。何研究してんだ？
女魔法使い,いろんな資料があるね、アンデット、聖剣、魔族……
勇者,誰だ？！
女学士,ここにもおらへんよ、ウチはずっとここにおったんやから
女魔法使い,女学士さん……
勇者,なんなんだ？この修道院は？
衛生兵,……
勇者,ん？これは……騎士団長のエンブレム？沢山あんぞ
女学士,それは試作品や。死を生に反転させるアイテム
女魔法使い,蘇生ってこと？そんなのあったら何も怖くないね
勇者,反転の研究って、そーゆーことか
女学士,ふふふ。逆も然り、生を死に反転させる魔法とかな
衛生兵,即死魔法……恐ろしいッス……
勇者,頭痛ってぇが、若干和らいでいる気がする。なんでだ？
衛生兵,あれ？行き止まりッス
女魔法使い,地下水路だ。でも……カッチカチ凍ってる
勇者,意味ねぇ水路だな。司祭さんよー全部調べたが何処にもいねぇよ
司祭,……どういうことじゃろう？
衛生兵,普通に考えれば、外へ逃げたと思うしかないッス
女魔法使い,この猛吹雪の中？自殺行為だわ
戦士,……転移魔法使えたんじゃ？
司祭,我々の調べでは使えそうになかったのじゃがな。仮に転移アイテムを隠し持っていたとしても、この建物には結界があり効果はないはずじゃ
衛生兵,となると………魔族道化師は何らかの方法で、拘束を解き牢屋から出て、隠し持っていた転移魔法アイテムを外で使い逃げたってことッスね
女魔法使い,……
戦士,……
司祭,……
勇者,そんなことありえるか？
衛生兵,でも他に考えられないッス……
勇者,なんにしても、この修道院にヤツがいないのは確かだ
女兵士M,あ、勇者様。お帰りなさい
勇者,てめーなんで俺様のベットに寝てんだ、どけ……痛っつ……
女兵士M,やっぱり体調良くなってないんですね……
勇者,今日は割といいほうだ……つうか、いつになったら帰れるんだ
女兵士M,天候は悪化するばかりです……
勇者,ウスノロ女……悪りぃけど女魔法使い呼んできてくれるか？
女兵士M,えええ？！な、何でですか？
勇者,いいから
女兵士M,うえーん……なんかあったら私……
勇者,ウスノロ、早くしろ
女魔法使い,なんだい？
勇者,状態回復魔法かけてくれ
女魔法使い,え？！そんなに体調悪いの？？ま、いいけど
勇者,チッ……お前の魔力ならっと思ったんだがな
女魔法使い,毒や呪いなら治す自信あるんだけど……病気とか精神的なものはね……
女兵士M,帰れたらすぐ原因調べましょっ！
勇者,……訛り女が薬作ってくれてるからよ……
女魔法使い,？……ああ、女学士さんのことか。あんた、いっつも女をバカにしたような呼び方するよね。そーゆーとこ昔から嫌い
勇者,うっせ
女兵士M,昔からなんですか……私は嬉しいですけどね！
勇者,ドM女に改名した方がいいか……
女兵士M,あれ？でも、女魔法使いさんの呼び名は……“女魔法使い”なんですね……
勇者,……
女魔法使い,……
勇者,うるせーーっ！頭に響くっ二人とも出てけっ！。くっそ、痛え。また耳鳴り……。つぅ……おはよっさん。まだ雪止んでねぇか
女兵士M,勇者様っ……女学士さんが……
勇者,あ？
衛生兵,殺されたらしいッス……
勇者,なんだと？！？！
司祭,研究室で……刃物で斬り刻まれておった。見張りの修道士と同じ殺され方じゃ
勇者,なんでた？！あのピエロヤローは何処にもいなかったぞ？！
衛生兵,また転移魔法で戻ってきた？
勇者,そんな訳あるか！奴を捕まえた俺様がいるところに戻る訳ねぇ。まだどっかいんだ
女魔法使い,何処か……見落としてたのかも
戦士,……やはり外ではないのか？魔族は寒さに強い
司祭,この吹雪じゃ10分で凍えてしまうじゃろう
衛生兵,逆に言えばっスよ？10分は外にいられるってことッスよね？。……10分で行ける隣の建物とか無いッスか？
司祭,……む
勇者,あんのか？
司祭,この修道院は湖に浮かぶ島に建っておる。隣の島に宝物庫がある
女兵士M,湖？あぅ……さすがに泳いでいけない気が……
司祭,この季節、湖は凍っていて歩いて隣の島までいける。10分では行けそうにないのじゃが……
衛生兵,うーん。じゃ違うッスね
勇者,この吹雪じゃいくら厚着しても無駄だわな
女魔法使い,そうか……火炎魔法を身に纏えばいいんだ。そうすれば外のブリザードを相殺できる
勇者,それだ！よし、もう一度修道院内を捜索していなかったら宝物庫に乗り込むぜ！
女兵士M,本当に一人で行くんですか？
勇者,ああ、やはり修道院内にはいなかった。宝物庫にいるはずだ
戦士,……火炎魔法を身に纏えるのは勇者と女魔法使いだけか
司祭,吹雪でほぼ視界はないじゃろう……外へ出たら北西に真っ直ぐ200mほどで宝物庫に着けるはずじゃ
勇者,ぐあ……寒みぃなんてもんじゃねぇ……氷冷魔法くらってるみてぇだ。行くぜ……。マジで1m先も見えねぇ。このまま宝物庫にたどり着けなかったら、俺様は死ぬのか。はは、死が間近にあると頭痛が和らぐ……我ながらイかれてる……。くそったれ、なんて吹雪だ。くっ。くそ、進めねぇ……もう少し強めに火炎魔法身に纏うか。な？！？足元が！湖の氷にヒビ……。強く魔法使うと割れて、湖におっこちまう……。くそ、この案ダメじゃねぇか。でも今更戻れねぇ。はぁ……はぁ……。まぶたや、口の中が氷ついてる。凍えちまう……。まだか？もう200mくらい歩いた気がするぞ。前も後ろも何も見えねぇ、方向感覚を失ったら死ぬ……。真っ直ぐ歩くんだ……。？。幻覚？。聖剣士……てめーは魔界へ行ってゲートを閉じた。帰れねーお前は今でも戦ってんだろ。どう考えても俺様の役目じゃねぇか……心を取り戻すだと？ふざけんな……。負ける？俺様が？そんなことありえねぇ。くそ、耳鳴りが……ここで倒れるわけにはいかねぇ。うらああああああっ！！。さみぃ……身体の感覚がねぇ……。ふぅ……。ここに魔族道化師がいるわけねぇな。こんなの行き来できねぇ。じゃぁ、何処にいんだ？。くそ……頭痛が戻ってきやがった。はぁはぁ……くそっ！。ぐああああぁ……。く……。はぁ……はぁ……。少し頭痛が収まった……気がおかしくなりそうだ。いや、俺様はずっと前から狂ってるか……。ハハッー……はは……。……。ここは宝物庫か……財宝や金なんて興味ねぇな……。ん？肖像画？。神って“アイツ”にそっくりじゃねぇか……。どうなってんだ……？。う……ううん
女兵士M,あ、勇者様！みんな勇者様起きたよ
戦士,ふぅ
衛生兵,心配したんスよ！
女魔法使い,ほっ……
勇者,あ、あれ？修道院か？ここ。誰か運んでくれたのか？
衛生兵,何言ってるんスか。自分で戻ってきたじゃないッスか
勇者,は？
女魔法使い,すごい衰弱した状態で戻ってきたんだよ、覚えてない？
勇者,途中から記憶がねぇ……
女兵士M,無事で良かった……
勇者,だが魔族道化師はいなかった
戦士,……こっちに現れたよ、修道士達が何人もやられた
勇者,なに？！！捕まえられたか？？
衛生兵,いや、今朝司祭さんが修道士達の死体を見つけただけッス
