ずいずい：赤城さんありがとー！,もう一つの変なコメは無視しておこう
秋月,あの、私、最近気がついたんですけど
利根,うむ
秋月,プリンツさんって、私と声似てませんかね？
利根,･･･そう言われてみればそんな気はするが･･･まあ、他人の空耳という奴じゃろう。艦隊ではよくあることじゃ
秋月,うーん。そうなんですかねえ。なんかその、繋がりを感じてしまうんですよねえ
利根,気のせいかが
秋月,･･･えっ？
利根,気のせいふふ怖
秋月,いやふふ怖言うてますやん！！
利根,あーマジ。もう、超マジ。カタパルト不調～
大鳳,出たギャル利根wwwwwwwwww
龍驤,おいこれ身内ネタやんけwwwwww
加賀,･･････ふふ
赤城,おお！か、加賀さんまで笑いがww。では続きまして～。珍しいコンビです！陸奥＆不知火さんどうぞ～
陸奥,こんばんわぁ、陸奥です
不知火,不知火です
陸奥,ショートコントスターバストクレセイダーズ
不知火,ほう……この不知火に落ち度があると……？
陸奥,……ええ。そんな目つきと貫禄を持っていながら駆逐艦とは……ねえ。バストの大きさも普通の駆逐艦だしぃ……
不知火,……貴様……！この不知火とラッシュの速さ比べをしたいようだな
陸奥,……お生憎様。こちらもラッシュの速さだけは自信があるのよお……？
不知火,出ろッッ！！ザ・ヌイールド！！
陸奥,スター・ムツチナ
不知火,ぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬいぬい！！！
陸奥,あらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあらあら
瑞鶴,ダメwwwwwwwwww
飛龍,あらあらあらwwwwwww
大鳳,腹筋がwwwwww
翔鶴,陸奥さんこれは卑怯wwwwww
陸奥,えー、じゃあ、続きましてぇ
不知火,ショートコントMNB48
陸奥,あらあら。提督はまた大型建造をするつもりなのぉ？
不知火,司令。そろそろ資源がなくなっています。不知火は大型建造をすることは断固拒否致します
陸奥,でもまぁ。私の４７人目ができるのも……イ・イ・ケ・ド☆
不知火,……
陸奥,……。ワン！ツー！ワンツースリーフォッ！！
不知火,ダダッﾀﾞﾀﾞﾀﾞｯダダダッダッダッダダッダダッダッダダッ
陸奥,あいうぉんちゅー♪。あいにーじゅー♪。あいらーびゅー♪。まーた陸ー奥ーキーター♪。よん・じゅう・いちセンチ砲外して～♪。ヘビイ・解体の・ローテーション♪
翔鶴,自虐ネタじゃないですかwwwwwwwwww
龍驤,おいこれ笑ってええんかwwww
加賀,･･･ぶっ･･･ふっ･･･！
大鳳,加賀さん耐えてるwwwww
陸奥,えー、続きましてぇ。ショートコント二人で那珂ちゃん
不知火,艦隊のアイドル、ぬいぬいことぬいちゃんだ。よっろしくう
陸奥,あら。あらあら。どっかーん☆
不知火,顔はやめてくれぬい
陸奥,第三砲塔……？一番の見せ場です！
不知火,不知火……現場……出る……！！
陸奥,おっそーい
不知火,ちょっと待ってそれ島風
陸奥,あら。あらあら
不知火,陸奥さんのことは嫌いになっても。ぬいぬいのことは嫌いにならないでください
陸奥,おうっ
不知火,だからそれ島風
陸奥,あら。あらあら
不知火,……おあとがよろしいようで……
蒼龍,全然よろしくねえだろwwwwwww
瑞鶴,シュール過ぎるwwwwwww
赤城,二人共そんなこと絶対言わないもんねwwww
加賀,ぶばっ！
大鳳,加賀さんwwwwwww
赤城,あー、笑った笑ったwww。はい、ではお疲れ様でしたー。秋月さん、利根さん、陸奥さん、不知火さん。ありがとうございます～
秋月,は……恥ずかしかったぁ
利根,うむ。秋月。なかなか良かったぞ！吾輩は満足じゃ。筑摩ー、部屋に帰るぞー
陸奥,うふふ。どお？大鳳ちゃん。元気出た？
大鳳,あはは……はい。それはもう
不知火,……
瑞鶴,不知火、あんたやるじゃーん。めっちゃ面白かったよ
蒼龍,普段クールだから特にねw
不知火,よ、喜んでくれたなら……良かった
飛龍,さーて、そいじゃあ大鳳ちゃん。飲め飲めー
大鳳,あ、ありがとうございます
翔鶴,先輩、私もヘネシー頂いても良いですか？
加賀,～～～ーーーーーーッッッ……！
翔鶴,まだ笑ってたんですねwww
