このスレは,とある魔術の禁書目録
上条,食蜂操折か......可愛かったな。中学生とは思えないスタイルだし。同じ超能力者でも御坂とはえらい違いだな。連絡先交換したから、また会えるかね？
禁書,とうま。ご飯まだー？
上条,もうちょい待ってくれ
禁書,了解なんだよ
上条,さて、今日の特売品は卵。なんとしても貴重なタンパク源を確保せねばならんのだ！。早く行かないと、どんな不幸が来るか分かったもんじゃないからな。急ごう
美琴,チェイサー！
上条,
美琴,お！今回もヤシの実サイダーねラッキー
上条,......君子危うきに近寄らず。または触らぬ神に祟りなしとも言う
美琴,それ、前も言ってたわね
上条,ギクゥ！やぁ御坂さん。会ったばかりで悪いんだけど、上条さんはこれから用事がありまして
美琴,だからことあるごとに会話を切り上げようとするんじゃないわよ！ｿﾚﾆﾋｻﾋﾞｻﾆｱﾝﾀﾆｱｴﾀﾝﾀﾞｶﾗ......
上条,ん？後半何言ってるかわからないけど。すまんが本当に急いでるんだ！また今度な
美琴,ちょっと待ちなさいよ！......はぁ、行っちゃった。少しぐらい一緒に居てくれてもいいじゃない......馬鹿
上条,ビリビリには悪いが、上条さんには重大な任務を遂行しなきゃならんからな。特売品をGETしないと、インデックスに噛みtうわぁ！。痛たたた...こんな時に空き缶につまづくとは...不幸だ
食蜂,大丈夫ですかぁ？上条さん
上条,食蜂か。いや～こうゆうのは慣れてるから大丈夫だけどさ
食蜂,噂には聞いたけど、不幸力は本物なのねぇ。立てます？
上条,ああ、悪いn......oh///
食蜂,どうしました？
上条,い、いや、なんでもありません事よ！(ピンクか)
食蜂,......変な上条さぁん。所で上条さんはこれから帰宅？
上条,いや、これからスーパーに行って特売品を買って行くんだよ
食蜂,特売品？
上条,卵が10個入りで99円。お一人様一パック限り、上条さんはこれを手に入れなきゃならないんですよ
食蜂,なるほどねぇ。だったら私も付いて行ってもいいかしらぁ?
上条,え?
食蜂,私も行けば、その卵が2パック買えるじゃなぁい？
上条,それって、手伝ってくれるんでせうか？
食蜂,勿論だゾ☆
上条,マジか！ありがとうございます。神様。食蜂様
食蜂,フフフ、様はいらないわよぉ(お礼言われちゃった。嬉しい)
上条,じゃあ早速行こうぜ
食蜂,はぁーい
上条,サンキュー食蜂。おかげで上条さんの幸福力が少しだけ上がりました
食蜂,それって私の真似かしらぁ？
上条,ダメでした？
食蜂,うんうん別にかまわないわよぉ
上条,そうだ。買い物に付き合ってもらったから、何かお礼するよ
食蜂,ふぇ？別にお礼目的で付き合った訳じゃないからいいわよぉ(お礼だと?)
上条,遠慮すんなって。上条さんが良いって言ってるんだから
食蜂,......じゃあ、上条さんの部屋に行きたいなぁ☆
上条,え?上条さんの部屋ですか？さすがにそれはちょっと......
食蜂,でもお礼してくれるんですよねぇ？ちなみに、それ以外の選択肢はないんだゾ☆
上条,だからと言って男の寮に常盤台のお嬢様を招くには......
食蜂,上条さぁん。私は知ってるんですよぉ。さっき私のアレを見たのを
上条,え～と何でしょうか？アレとは？
食蜂,決まってるじゃなぁい。私のし・た・ぎ☆
上条,......す、すすすすすすいませんでしたァァァァアアアア！！けして見た訳ではなくたまたま視界に入ったというか......
食蜂,別にいいわよぉ。減るもんじゃないしぃ、それに上条さんになら見られても構わないから
上条,ちょ！食蜂さん？
食蜂,まぁ、そのお詫びだと思って連れてってくれればいいなぁ☆
上条,(......仕方ねぇか。自分が言いだしたんだし)。分かったよ。喜んで連れて行ってあげますよ
食蜂,やったぁ☆
上条,(ああ、どうしようかなインデックスを)
食蜂,へぇ～ここに住んでるのねぇ
上条,(インデックスがいないことを祈りたい)
食蜂,どうしたのぉ？
上条,いや、なんでもない！今開けるから。(もうこうなったらヤケだ)
禁書,お帰りとうま！
上条,終わった......上条さんの人生が
禁書,あーまたとうまは女の人を連れてきちゃって！！誰なのこの人は？説明して欲しいかも！
スフィンクス,にゃん
食蜂,誰？このシスター
上条,不幸だぁ......
食蜂,さ～て上条さぁん。このシスターはなんなのかしらぁ
上条,話します。話しますんでリモコンで上条さんの頬をグイグイしないでぇー。ｶｸｶｸｼｶｼﾞｶという訳だ
食蜂,なるほど居候ね.....別に恋人とかじゃないわよねぇ？
上条,おいおい、冗談はよしてくれ。どう見たら俺とインデックスが付き合ってるように見えるんだ？
禁書,
食蜂,そうか。ﾅﾗﾖｶｯﾀ
上条,？
食蜂,(でも本当にこのシスターはただの居候なのかなぁ？)。(どうも怪しい...ここは能力で彼女の頭の中を覗いて見るか)。......。(...やめておこう。なんか開けてはならないパンドラの箱を開けようとするみたいだしぃ)。上条さんが居候って言うんだから、ちゃんと信じなきゃ)
禁書,？
食蜂,ねぇシスターちゃん。あなたの名前は？
禁書,インデックスて言うんだよ
食蜂,私は食蜂操折。宜しくねインデックスちゃん
禁書,宜しくなんだよ、みさき
上条,(ふぅ、なんとか修羅場的なイベントは回避出来たな)
禁書,ねぇ、みさきが着てるのって短髪と同じ制服なんだよね？
食蜂,短髪って？
上条,ああ、御坂の事を言ってるんだよ
食蜂,へぇ～御坂さんに会ったことがあるのねぇ(御坂さんを短髪呼ばわりって......)
禁書,短髪は見るからに品がないんだよ。すぐに怒るし、短髪の短は短気の短でもあるんだよ！
食蜂,(かなり御坂さんを毛嫌いしてるのねぇ)
禁書,まぁ、短髪の事はぶっちゃけどうでもいいんだよ。それよりとうまご飯作って
上条,はいはい。今作りますよ。食蜂も食っていくか？
食蜂,それって、上条さんが作ってくれるの？(上条さんの手料理だと?)
上条,そうだけど
食蜂,なら当然頂くんだゾ☆
上条,フンフンフン♪
禁書,そのエクレールていうのはおいしいの？
食蜂,そりゃあ勿論。とびっきりの甘さが売りなんだゾ☆
禁書,それはなんと！！是非食べてみたいんだよ！
食蜂,なら今度一緒に行きましょ
禁書,やった！約束なんだよ。みさき
上条,(もう仲良くなってるな......さっきまでの不安はなんだったのでせうかね？)
食蜂,。(上条さぁんの手料理かぁ、料理力は間違いなくあるわねぇ)。(将来はきっといい専業主夫になれるしぃ、そしてその奥さんは勿論私☆結婚して上条操折...う～ん食蜂当麻もいいわねぇ。それで子供が出来たら名前は当麻の麻と操折の折で麻折ちゃんがいいわねぇ)。ﾃﾞｨﾌﾌﾌ
禁書,ちょ?みさき！鼻血が出てるんだよ！！ティッシュティッシュ
食蜂,いや～ごめんなさいね。私とした事が
禁書,ビックリしたんだよ。チョコレートかなんかの食べ過ぎかな？
食蜂,そうゆう訳ではないんだけどね...
上条,出来たぞ。上条さん特製のオムライスだ！
禁書,待ちくたびれたんだよ
食蜂,お！予想通り美味しいそう
上条,今日はコーンスープ付きだぜ
食蜂,あれ？なんかインデックスちゃんのオムライスが大きいけどぉ、食べれるの？
上条,まぁ、見てればわかるよ
禁書,ご馳走様なんだよ
食蜂,...見た目とは考えれない食欲力ねぇ
禁書,私の胃袋は宇宙なんだよ
上条,これのせいで上条さんの家計はいつも火の車なんですよ
食蜂,上条さんが特売品を狙ってる理由がわかったわ
禁書,とうま？
上条,いや、なんでもありません事よ。それより食蜂はどうだった？お嬢様に合うかどうかわからないけど
食蜂,文句なしにおいしかったわよぉ
上条,そりゃあよかった
食蜂,いつも上条さんが作ってるの？
上条,ああ。インデックスがくる前から自炊してたしな。それにインデックスにやらせる訳にはいかないし
禁書,私は食べる専門なんだよ
上条,いばって言うな！つーかたまにはなんか手伝えよ
食蜂,インデックスちゃんは何もしてないの？
上条,そうなんです......
禁書,全部とうまがやってくれるからね
食蜂,そうは言ってもねインデックスちゃん。せっかく居候してもらってるんだから何か手伝った方がいいわよぉ。今のインデックスちゃんには女子力がないわよぉ
禁書,うっ...
食蜂,あまり上条さんに負担かけちゃダメなんだゾ☆
禁書,......わかったんだよ。とうま。今までごめんなさい
上条,謝るなって。これからは、少しずつでいいから手伝ってくれると上条さんは大助かりですよ
禁書,うん！
上条,所で食蜂。門限とか大丈夫なのか？
食蜂,遅れても私の能力なら怒られなくて済むけどぉ、友達が心配するから帰るとするわぁ
上条,じゃあ送っていくよ
食蜂,それはいいわ。超能力者だからそういうは心配ないしぃ
上条,それもそっか
禁書,みさき！また遊びに来てくれる？
食蜂,上条さんが良ければいくらでも行くわよぉ
禁書,とうま。いいよね？
上条,...まぁ、たまにだったらな
禁書,なら来てほしんだよ
食蜂,ありがとう。ではまたね～☆
上条,気をつけて帰れよ
禁書,次くる日が楽しみなんだよ！
上条,よほど食蜂が気にいったみたいだな
禁書,みさきはひょうかとありさと同じくらい友達として好きなんだよ
上条,そっか
禁書,それに約束もしたからね。はぁー早くエクレールが食べたいんだよ
上条,それ目当てでもあるのね...
青ピ,やっぱ僕はさらちゃんがいいわ。立夏ちゃんも捨てがたいが
土御門,何を言ってるにゃー。幼なじみ系の姫乃が1番に決まってるぜよ。兄妹でもないのに兄さんと呼ぶなんてなんて良い子だにゃー
上条,お前らな........
青ピ,そういうカミやんは誰がいいんや？
上条,そんなの決まってるじゃないか。年上で巨*のルル姉だろう！
土御門,キメェ...シャルルをルル姉って言ってる辺りがキモイにゃー
吹寄,何を話してるの？この三バカは
姫神,最近。アニメにもなった。ギャルゲーの話
吹寄,はぁ...この馬鹿共は...
土御門,やっぱ妹が1番...ん？
青ピ,どうしたん？つっちー.....お！
食蜂,.....
青ピ,うっひょおー校門前にかわいい女の子がおるでー、しかも制服が常盤台のお嬢様や。そんでもってパツキンの巨*やで！
吹寄,本当だわ......あれ？あの子どっかで見たような？
土御門,(おいおい...あの子はまさか)
青ピ,でもなんで常盤台の子がウチの学校に......いや、こうゆうイベントは大抵...
上条,えっと、何故みなさんは一斉に上条さんの方を？
吹寄,上条ォーまた貴様は
姫神,またか。この野郎
上条,ハハハ......何を言ってるでせうか？駄フラグボーイの上条さんを待っているわけあっ！いたいた。上条さぁん
食蜂,上条さぁん。こっちこっち
青ピ,カミやん
生徒A,上条くン。ちょっと聞きてェことがあるンだが？
生徒B,上条。テメェは相変わらず常識が通用しねぇな
生徒C,上条君。ちょろ～と聞きたいんだけど？
生徒D,これはオ・シ・オ・キ・カ・ク・テ・イ・ネ
生徒E,根性がなっとらんな
上条,あの～皆様方。ここは一旦落ちついてだな...
生徒達,問答無用?
上条,ぎゃああああああ
食蜂,
上条,ん？あれ？
青ピ,なっ?
吹寄,体が
姫神,動かない。なんで。急に？
生徒A,何故だ？
食蜂,ちょっとみなさぁん、上条さんになんてことをしてるのかしらぁ？
土御門,それがお前さんの能力か？常盤台の超能力者。第五位の心理掌握
食蜂,ご名答。昨日は義妹の手料理食べれて幸せでしたねぇ、土御門元春さん
土御門,ちっ、能力で覗きやがったな
青ピ,え？この可愛い子が
吹寄,超能力者
姫神,第五位.....
土御門,おい！どうゆうつもりなんだ？カミやんになんの用だ？
食蜂,安心して土御門さん。あなたが考えてるようなシリアス的な事はないわ。ただ上条さんと一緒に下校しに来たんだゾ☆
土御門,へ？
上条,え？そうなのか？
食蜂,そう。だから一緒に帰りましょう
上条,だったらメールしてくれればいいのに...
食蜂,そ・れ・は、上条さんを驚かせたかったからゾ☆
上条,そうでございますか...つかそろそろ能力解いてやってくれよ
食蜂,はーい
青ピ,お！動けるでぇ
土御門,やっかいな能力だったぜよ
食蜂,さぁ上条さぁん。行きましょう
上条,ああ
食蜂,その前に
上条,ん？
食蜂,初めまして。わたくし常盤台中学の食蜂操折と申します
青ピ,よろしゅうな
食蜂,先程は大変失礼致しました。ですが...。もし、また上条さんに何かしようとするならば。まずはそのふざけた精神を掌握してやるんだゾ☆
生徒達,はい！もうしません
食蜂,これからは上条さんの幸福力をあげてやって下さいねぇ。それでは失礼致します
上条,じゃあな、みんな
生徒達,。恐るべし......カミジョー属性
上条,初めて見たけど、あれがお前の能力か
食蜂,そう言えば上条さんには披露してなかったわねぇ。私の能力は記憶の読心・人格の洗脳・離れた相手と念話・想いの消去・意思の増幅・思考の再現・感情の移植など多種の能力を一手に引き受けて使いこなすことが可能なんだゾ☆
上条,ヘぇ～なんつか...チートだな
食蜂,その超能力者の能力が効かない上条さんの能力の方がよほどチートよぉ
上条,ハハハ......。(うん？待てよ。よくよく考えたら、食蜂の能力だったら俺の記憶を取り戻せられるんじゃあ......)。(まぁ、でもこの幻想殺しがある限りそれは叶わぬな)
食蜂,どうしたのぉ
上条,いんや、なんでもない
食蜂,所で上条さぁん。これからお茶して行かなぁい？
上条,う～ん今日は特売はないから、いいぜ！
食蜂,じゃあ決まりねぇ。前々から行きたい店がありますので、そこに行きましょう
上条,ちょ?食蜂さん。何故に上条さんの手に抱きついてるでせうか？///
食蜂,いいじゃなぁい。嫌ですか？
上条,べ、別に嫌ではないんだけど///(その中学生とは思えない豊満な胸が...)
食蜂,フフフ、当ててるんですよぉ☆
上条,(なんですと?)
食蜂,どうですかぁ私の胸は？同年代より結構ボリュームがあるんですよぉ。上条さんはこの大きさが好きかしらぁ？
上条,(勿論好き。好きだけど...破壊力ありすぎ)
食蜂,(フフフ、こうゆう事をするのは上条さぁんだけの特別。私の色気力で上条さぁんをデレさせてあげるわぁ☆)
上条,(全く......つか、こうしてみるとデートみたいだな)。(まぁそれを口には出せまい。そもそも食蜂がこういう事は微塵も思ってもいないだろうしな)
ファミレス,Joseph's
上条,ここで間違いないんだよな？
食蜂,そうよ。一度は行ってみたかったのぉ
上条,今まで行った事がないのか？
食蜂,行こうしたんだけどぉ、友達がこういう所は庶民がいく場所ですので、おやめになって下さいまし。女王といつも止められるのよぉ
上条,まぁお嬢様が行くようなイメージじゃないもんな
食蜂,でも御坂さんはいつも行ってるらしいわよぉ
上条,ああ、なんか言ってたね。白井達と一緒にダベってたとか、てかビリビリは全然お嬢様とイメージがないんだけどな
食蜂,それは言えてるわぁ。気品力がないもの
美琴,クシュン
黒子,おや、お姉様？風邪ですの？
美琴,いや、誰かが私の噂をしてるんじゃない？
店員,お待たせしました。抹茶パフェでございます
食蜂,やっときたわねぇ
上条,やっぱ女の子はスイーツが好きだね
食蜂,上条さぁんは何も頼まなくてもいいのぉ？
上条,俺はいいよ。ドリンクバーで充分だし
食蜂,そう
上条,
食蜂,
上条,
食蜂,。食べる？
上条,いいよ
食蜂,遠慮しないでいいわよぉ。本当は食べたいんじゃなぁい？
上条,......はいちょっとだけ
食蜂,最初からそう言えば言いのに、素直じゃないのねぇ
上条,うるせぇ///
食蜂,(可愛い☆)。じゃあ、お口開けて下さぁーい
上条,え？それは俗に言うアーンってやつ？いやいや自分で食べるんで
食蜂,アーン
上条,......仕方ない。えい
食蜂,美味しい？
上条,かなりの甘さがあって美味しいのでございます
客達,(見てる俺らが甘いわ！！このリア充が！)
食蜂,ただいまー
縦ロール,お帰りなさいませ、女王！
取り巻き達,お帰りなさいませ、女王！
食蜂,あら？今日は皆様総ででどうしたのぉ？
取り巻きA,聞きましたわ！女王
食蜂,え？
取り巻きB,女王がお慕いする殿方が出来たそうで
食蜂,ふぇ？何故それを？
口囃子,縦ロールさんからお聞きしましたわ
食蜂,縦ロールちゃん
縦ロール,申し訳ありません。つい口が滑ってしまいまして...
食蜂,別にいいわぁ。いずれは報告するんだしぃ
取り巻きA,その殿方は縦ロールさんから依頼されて、わたくしが撮ったあのツンツン頭の殿方ですわね？
取り巻きB,その殿方が私達の王子になるんですのね
食蜂,はぁ？なんであなた達の王子なのよぉ？私だけの王子よ
口囃子,いいじゃあありませんの。いずれ女王の殿方になるんでしたら、私達もそう呼ばせてもらいますわ
取り巻きA,我らが王子！
取り巻き達,王子！王子！王子！王子！王子！王子！
食蜂,
取り巻き達,王子！王子！王子！王子！王子！王子！
食蜂,アンタ達ぃーちょっとお仕置きが必要かしらぁ☆
取り巻き達,すいませんでしたぁぁぁぁああああ
食蜂,待ちなさぁーい
縦ロール,賑やかですわね。少なくとも、あの頃と比べれば...。変わりましたわね。女王
上条,ただいま
禁書,お帰りとうま
食蜂,お帰りなさぁい
上条,おお！食蜂、来てたのか
食蜂,お邪魔してるわぁ
禁書,とうまとうま。みさきがケーキを持ってきたんだよ
上条,そうか。なんか悪いな
禁書,早く食べたいんだよ！
食蜂,慌てなくても、ケーキは逃げはしないわよぉ
上条,じゃあ紅茶入れてくるわ
禁書,美味しかったんだよ！みさき
食蜂,それは良かったわ
禁書,イチゴの甘さが濃厚でクリームも完璧。もう癖になりそうかも
上条,確かに美味かったな。てかこれってすごく高かったんじゃね？お嬢様が買ってくるんだから
食蜂,別にどってことはないわよぉ。超能力者なんだから経済力があって当然なんだゾ☆
上条,羨ましい...
禁書,とうまは甲斐性なしだもんね
上条,うるせー
禁書,じゃあ、とうま行って来るんだよ
上条,は？どこ行くんだよ？もう夜だぞ
禁書,言い忘れたけど、これからこもえの家で焼肉パーティーするんだよ。それでそのまま泊まっていくから
上条,そうかい。小萌先生に迷惑かけるなよ
禁書,余計なお世話かも。では行って来るんだよ
上条,気をつけてな。今日は久々に俺とスフィンクスだけか
スフィンクス,にゃん
食蜂,(インデックスちゃんがいなくった今。この部屋はふたりっきり)。(これはチャーンス?)
上条,食蜂はどうするんだ？そろそろ門限だし帰らないといけないんじゃあ
食蜂,決めた！
上条,ん？
食蜂,私ここで泊まって行くわぁ！
上条,。いやいや?ちょっと待って下さい食蜂さん？それはマズイって...
食蜂,なんでぇ？
上条,なんでって、そりゃあ年頃の女の子が男の部屋に泊まるなんてさすがに...
食蜂,上条さぁんは私が泊まるのが嫌なの？
上条,嫌じゃあないんですけど...
食蜂,なら泊まってもいいじゃなぁい☆
上条,しかし...
食蜂,ダメ？
上条,(ぐはぁダメだ。ここで折れるわけには...)
食蜂,お願い
上条,......分かったよ。泊まってけ
食蜂,やったぁ！
上条,(不幸だぁ...)。風呂湧いたから、先どうぞ
食蜂,私は後でいいから上条さん先にどうぞ
上条,いや、お客さんを後にする訳には...
食蜂,私が良いって言ってるんだからぁ、ほら先入った入った
上条,...じゃあ...お言葉に甘えて
食蜂,
上条,今夜は食蜂と一緒に過ごすのか...。間違いを起こさなきゃいいんだけど。上条さんの理性が持つかどうか。ましてや相手は常盤台の超能力者のお嬢様。この事がバレたら、上条さんの人生ここで終了だな...
食蜂,湯加減はいかかですかぁ？
上条,おう！バッチリ.....え？
食蜂,やっほー☆
上条,。な、なななななな何で来ちゃってるの？
食蜂,お背中流しに来たんだゾ☆
上条,来たんだゾじゃなくて、せめてタオルぐらい着けてくれ！
食蜂,却下。温泉リポートじゃないんだからぁ
上条,じゃあ上条さんはもう出ますんで、後はごゆっくりと
食蜂,はいダメー
上条,ちょっと？
食蜂,さぁ上条さぁん。観念して下さぁい☆
上条,(どうする？上条当麻！ここはおとなしくご好意に甘えるべきか？)。......やっぱ無理です。失礼しましたぁ?
食蜂,あっ！待ってぇ～。......行っちゃった...上条さんのヘタレ
上条,まったく食蜂は...よく男の前で無防備なカッコウ出来るな...。ひょっとして、俺の事を男として見てないのかな？。それにしても、食蜂の裸綺麗だったな
食蜂,もぉー上条さんたら、人の好意力を無駄にしちゃダメじゃない☆
上条,そう言われても、あれはマズイって......なっ！
食蜂,うん？どうしたのぉ？
上条,何故に上条さんのワイシャツを着てるでせうか？
食蜂,だって着替え持って来てないだもん。ダメだったぁ？
上条,別にいいけど、キツくないか？
食蜂,大丈夫よ。上条さんと身長同じだからサイズはピッタリだしぃ、まぁ胸の辺りがちょっとキツイだけよぉ
上条,でも、それじゃあ寒いだろう？ジャージかなんか出しとくよ
食蜂,ううん。これで充分よぉ
上条,そうかい
食蜂,んっ！上条さんの匂いがするわぁ
上条,(さっきから下の方からチラチラと青いのが見えるんですけど?)。さて、そろそろ寝ますか
食蜂,私はどこで寝ればいいのぉ？
上条,そこのベッド使っていいぜ
食蜂,あれ？それだと上条さんはどこで寝るのぉ？
上条,風呂場
食蜂,お風呂場ねぇ......はい？
上条,うん？
食蜂,いや、ちょっと待ちましょうか。なんでお風呂場なのぉ？
上条,インデックスが居候してからはずっとそうしてましたんでね。...さすがに女の子と同じ部屋で寝るなんて上条さんには無理ゲーですよ
食蜂,......よくそうゆう所で寝れるわねぇ...
上条,案外慣れると寝つきがいいもんですよ
食蜂,でも、家主がそんな所で寝かす訳には行かないので、上条さんもベッドで寝てもらいますぅ☆
上条,......それって...まさか？
食蜂,一緒に寝るんだゾ☆
上条,
食蜂,えへへ
上条,(こんな状態で果たして寝れるのか？)。(振り向けば...)
食蜂,上条さぁーん。えへへ
上条,(近い近い///)
食蜂,それ☆
上条,うおっ！ちょ、食蜂さん？抱きつかないでくれよ///
食蜂,いいじゃなぁい。本当は嬉しいくせに
上条,(嬉しいよ。それは勿論嬉しいですよ。でも上条の理性にヒビが入ってしまうんですよ)
食蜂,ねぇーなんで私がこんな事してるか分かるぅ？
上条,そ、それは......上条さんをからかってるから？
食蜂,......鈍感
上条,ん？なんだ？
食蜂,なんでもない！
上条,あのー怒ってらっしゃいます？
食蜂,別に
上条,某女優みたいな台詞を言われても...
食蜂,ふーんだ
上条,うーんよくわからないけど謝るよ。ごめん！
食蜂,......じゃあこれで許してあげる
上条,...え？///
食蜂,おやすみさきぃ☆
上条,ふわぁ～眠い。そういや昨日は食蜂が泊まって一緒に寝たっけな。しかしまぁ、よく上条さんの理性が持ったもんだ。...つか食蜂はどこ行った？......ん？テーブルに紙が置いてあるな。えーとなになに。まぁ...上条さんも食蜂と一緒に一夜過ごせて楽しかったぜ。今回はお金飲み込まれることなく無事に飲み物が買えましたと。いい天気だな
美琴,あれ、アンタこんな所で何してるの？
上条,散歩の休憩中だ
美琴,ふーん
上条,そうゆう御坂は何してるんだ？
美琴,ふぇ？わ、私はそ、その......(アンタを探してたなんて言えない)
上条,...はは～ん。さてはデートだな？なになに、御坂さんはいつの間にか彼氏が出来ちゃった訳だ
美琴,はぁああああああ?アンタ何言ってるのよ?
上条,うぉっ！
美琴,ばっかじゃないの？なんで私に彼氏が出来なきゃならないのよ?
上条,冗談だって......でも意外だな
美琴,何が意外なのよ？
上条,だってお前は超能力者で常盤台のお嬢様だろう？かなりモテるし、既に彼氏が出来てもおかしくないと上条さんはそう思うんですよ
美琴,別にモテても嬉しくないわよ。それに私は...///
上条,？
美琴,(まったくコイツは人の気持ちも知りも知ないで)。そうゆうアンタはどうなの？
上条,どうって？
美琴,彼女がいるのか聞いてんのよ！
上条,居ねーよ
美琴,そう。じゃあさ、好きな人とかいるの？
上条,好きな人は今んとこ...。(え?なんで食蜂が出てくるんだ？)
美琴,どうなのよ？
上条,い、いないよ。うん！いるわけがない
美琴,
上条,(何故...何故食蜂が出て来たんだせうかね？)
食蜂,ただいまー
縦ロール,じょ、女王！昨日からどこに行ってたんですか？心配したんですのよ！
食蜂,いやーごめんごめん。ただ上条さんの部屋に泊まっただけよぉ
縦ロール,と、ととと泊まっただと...
食蜂,うん
縦ロール,女王！いくら女王が上条様をお慕いしてることはいえ、あなたは超能力者なんですよ。我々生徒達から模範にならないといけませんわ
食蜂,もー縦ロールちゃんはいつもいつも文句ばっか言っちゃって...君は私の母なのぉ？
縦ロール,そうゆうことではありません。もう少し常盤台の女王としての自覚をですね...
食蜂,(あーこりゃあ長くなりそうだから、能力で強制終了させよう)
縦ロール,させませんわ！
食蜂,あっ！返してよぉ
縦ロール,今日こそは言わせていただきますわ！
食蜂,不幸だわぁ...
縦ロール,今日はこれくらいにしときますので、次からは気をつけて下さい
食蜂,はぁーい
縦ロール,どうせ女王のことですから、また上条様と外泊なさるつもりでしょう。次からは私に一言連絡して下さいですわ
食蜂,あれ？ダメじゃなかったのぉ？
縦ロール,そこの所はおおめに見ときますわ
食蜂,あらぁ、縦ロールちゃんたらやっさしい☆
縦ロール,女王？何故抱きついてくるんですか？わたくしにはそういった趣味はございませんわ///
食蜂,何を言ってるのぉ。ただのスキンシップよぉ☆
上条,今日は珍しく補習がなかったぜ。でも課題は出されたけど...
