双葉杏,お疲れ～、あーづーい～……
杏,いや知らないけど……。なんか夜に船を光らせて集めるんじゃなかったっけ？
松永漁,船を燃やす……！？！？！？
杏,言ってないだろ！？いちいち漁の度に船1隻を犠牲にするのか！？
松永漁,誰か、船を燃やすのが上手そうなアイドルはいないもんかな……
杏,燃やす方向で進めないでよ！そんなやついるわけないだろ！
白坂孔明,火計なら……おまかせ……
杏,なんかめっちゃ船を燃やすのが上手そうな人来た！！！！！
松永漁,おお！小梅！じゃ、協力してくれ！
白坂孔明,……
杏,……？
松永漁,……小梅？
白坂孔明,……あと2回
杏,三顧の礼！？
松永漁,あ、ああ。お願いだ小梅！
白坂孔明,……あと1回
松永漁,頼む！力を貸してくれ小梅！
白坂孔明,しかたないなぁ……
松永漁,小梅！
杏,なんだこの茶番は！。あれをりょううめって言い張る？。ホント休ませてくれないよね
大ツキ唯,杏ちゃーん！聞いて聞いて！ゆいね！今日チョーついてるの！！
杏,運勢を名前で操るな
大ツキ唯,自販機で飲み物買ったら当たって～、信号で1回も止まんなくて～、撮影のカメラマンさん超いい人で～、もちろん占いは全部1位！
杏,やりたい放題だね……
大ツキ唯,あ、そういえば宝くじも1等当たったよ
杏,すげぇ！！！それ最初に自慢しなよ！！！自販機とかどうでもいいよ！！！
大ツキ唯,そんなに～？
杏,そんなにだよ！？
大ツキ唯,なにに使おっかな～？ちなったんに何かプレゼントしよっかな！
杏,あんまり使いすぎないほうがいいと思うけどね？
詐欺沢文香,……そんな唯さんに良いお話があるのです
杏,なんか危なそうな人来ちゃったんだけど！？
大ツキ唯,わ！なになにー？
杏,ゆ、唯！どんな良い話に聞こえてもたぶん詐欺だから！
詐欺沢文香,私にお金をくだされば100倍にして返します
杏,下手！！！美味い話にすら聞こえない！！！
大ツキ唯,ひ、ひゃくばい！！！
杏,そんなわけないだろ！！！
詐欺沢文香,私を信じていただけますか……？
杏,名前でもうオチがついてるんだって
詐欺沢文香,お金の稼ぎ方が書いてある本を見つけたのです……
杏,胡散臭さが増していく
大ツキ唯,うーん……
杏,悩むとこじゃないよ？
大ツキ唯,じゃ！こうしよう！次にこの部屋に来た人に決めてもらおっと！
杏,ええ！？い、いいの！？
大ツキ唯,だいじょーぶ！今日のゆいはついてるんだもん！きっと良い結果になるって！
杏,本人がいいならいいけど……
大ツキ唯,きたー☆
橘アリす,文香さんを信じるべきです！アリです！
瀬ナシ織,さすがに怪しいんじゃないかしら……？ナシ、と言わせてもらいましょう
杏,また増えた！！！
大ツキ唯,あれ！？2人同時に来ちゃった！？
杏,だから他人に意見を聞くまでもないって！
大ツキ唯,うーん……ま、そうだね！ごめん文香ちゃん！今回はナシで！
詐欺沢文香,本当に……？
杏,食い下がるな
詐欺沢文香,いいんですね……？
杏,見苦しい
再答洋子,もう一回答えてもいいんだよ！
杏,お前いつ来た！？
五十嵐強固,いえ！自分の意志を曲げちゃダメです！！！
杏,ああもう次から次へと！！！！！。ねぇこれ何の話？？？。もう勘弁して……
緒方智絵理,こんにちはっ
杏,ああ、智絵里ちゃ……違う！！
智絵理,例えば発表する直前に、ちょっと漢字を調べてみる……。これって、そんなに手間なのかなぁ……？
杏,い、いきなりどうしたの！？あ、杏にそんなこと言われても
智絵理,ねえ、そう思うよね？
杏,へ？
智絵利,うんうん……
知枝里,少しの時間なのにね……
千絵李,ね……？
杏,わぁぁぁ！？
智枝理,どうしたの？
知江里,どうしたの？
杏,ち、智絵里ちゃんがいっぱい！！！
智得里,うれしい……
血獲裏,杏ちゃんは、わたしの漢字を覚えてくれてるんだね……！
杏,さすがにその誤植は見たことないぞ！？
智絵利,でも、杏ちゃんはずるいなぁ……
杏,え……？
知枝里,誤植なんて起きないないもんね……
千絵李,そうだ！杏ちゃんも、漢字を変えればいいんじゃないかなっ
杏,え、ええ！？
智枝理,いつもみんなのことを考えてるから、"案ず"ちゃんとか！
知江里,いつもお仕事の前は暗ーい顔してるから、"暗ず"ちゃんとか！
智得里,いつも安心させてくれるから、"安ず"ちゃんとか！
智絵理,ねえ。どれがいい？
ちえりーず,あんずちゃん……？
ふたばあんず,うわああああああああああああああ！！！！！！
杏,うわああああああああああああああ！！！！！！
智絵里,きゃっ！あ、杏ちゃん、うなされてたけど大丈夫……？
杏,うわっ！ち、智絵里ちゃん……、ひ、ひとり？
智絵里,う、うん、1人だけど……？
杏,ってことは……。夢オチ……かよ……
智絵里,杏ちゃん？
杏,へ？
智絵里,心配しないで大丈夫だよ？。"覚えてくれている人"には。何もしないからっ
杏,……え？
