・作中に原作には無い設定が出てきますが、御容赦ください,例、携帯電話など
南雲,ええ、第二小隊の後藤喜一隊長よ
不破,初めまして、陸上自衛隊、空挺レイバー隊所属、不破環生二尉です
後藤,どうも、後藤です、しのぶさんには、いつもお世話になっております
不破,は、はぁ……
後藤,とりあえず、ビールでいいですか？
不破,は、はい、何でも結構です
後藤,ま、この場はオフレコって事で、砕けて行きましょうや
不破,それで、私に聞きたい事とは、何ですか？。はい、それに対する艦娘も、相当小さい様です……又聞きですが、人間大だとか……
南雲,人間大？
不破,……これは絶対オフレコにしてね？
後藤,約束します
不破,……生体兵器……らしいわ、それ以上の事はトップシークレットよ
南雲,生体兵器ですって！？
後藤,……。……次は、海軍の成り立ちについて聞かせてもらってもよろしいですか？
不破,ええ……ご存知のように、今、この国には海自と海軍が並立しています。はい、海軍は深海棲艦が出現し始めた１０年前に再び設立されました。そうね、でも深海棲艦の脅威は国際問題だったし、米国の強力な後押しもあったわ
後藤,……
南雲,海自が艦娘を管理するのじゃいけなかったの？
不破,それが……どうも艦娘自体が軍制を希望したみたいなのよ
南雲,艦娘が……？ちょ、ちょっと待って、艦娘は自由意志をもっているの！？
不破,又聞きだけどね
後藤,やれやれ……俺はどうやら厄介なモンに首を突っ込まされるみたいだな……
不破,それでは、私は明日も任務なのでこれで失礼します
後藤,いやぁ、お忙しい所お時間を取らせてしまって、大変申し訳ありませんでした
不破,いえ、それじゃ、しのぶ、また飲みに行きましょうね
南雲,ええ、帰り道、気を付けてね
後藤,しのぶさん、念の為に、これ持っててくれる？
南雲,これ……あなたの友人の番号？
後藤,万が一の為にね、連絡は密にしておいた方がいいと思うワケよ
南雲,分かったわ……それにしても、上はどこまで関わってるのかしら？
後藤,さあねえ……
南雲,来週、赴任するのよね？ホントに大丈夫？
後藤,鬼が出るか蛇が出るか……ま、行けば分かるでしょ。は～るばる～来たぜ、鹿児島～♪ときたもんだ。それにしても暑いね～、さすが南国。大きくもなく、小さくもない、標準的な地方都市ってトコロかな……。ヘイ、タクシー！
運転手,どうぞ、お客さん、どちらまで？
後藤,鹿屋基地まで頼むよ
運転手,基地っていうと、海自の方？それとも海軍？
後藤,海軍の方
運転手,ああ、艦娘さん達のいる方ね、了解
後藤,ん……？。地元民が艦娘の存在を知っている……？どういうことだ？機密じゃないのか？。ねえ、運ちゃん、地元の人は艦娘の事良く知ってるの？
運転手,あ、いけねっ！秘密なんだっけ？
後藤,いや、俺、今度艦娘の指揮を執ることになってさ、色々事前に知っておきたいワケよ
運転手,う～ん……そう言われてもなぁ……
後藤,色々聞けたら俺の財布の紐も緩くなっちゃうかもね～
運転手,へへっ、そうかい？
後藤,へぇ～……怖くないの？一応、兵器なんでしょ？。へぇ……小さい子もいるの？
運転手,俺の娘っ子みたいなちっちゃい子もたくさんいるよ
後藤,ほぉ……運ちゃんの話は面白いね、もっと聞かせてよ
運転手,え～っと、他にはねー……。着いたよ、お客さん
後藤,ん、あんがと、釣りはいらないから、これで旨いモンでも食べてよ
運転手,こんなに！？なんだかかえって悪いねぇ
後藤,興味深い話を聞けたからね、ま、気にしないでよ
運転手,はいよ、また利用してね～
後藤,さて、と……
？？,待て、ここは一般人は立ち入り禁止だぞ
後藤,これが艦娘……か
長門,おい、聞いているのか？ここは関係者以外立ち入り禁止だ
後藤,ああ、すまないね、俺も一応関係者なんだよ
長門,む？
？？,長門さーん！その人はいいんだお！
長門,准尉？どういう事だ？
後藤,お？
やる夫,あ、これは口癖のような物で……気にしないでくださいお
長門,中佐だと……？准尉、まさかこの人が……？
やる夫,長門さん！
長門,私は自主訓練があるので失礼する
後藤,行っちゃったねぇ……嫌われたかな？。……何があったのか聞いても構わないかな？
やる夫,は、はぁ……。事の起こりは、大型建造が開放されたせいですお
後藤,大型建造？
やる夫,おいおい説明しますお、それで、開放されたとたん、前任者が……
？？,戦艦っていったら大艦巨砲主義だろｊｋ
やる夫,とか言って、資材も潤沢でないのに大和型を狙ったんですお
後藤,大和型、ねぇ……
やる夫,その結果出てきたのが長門さんだったもんですから、前任者が……
？？,チッ、ハズレかよ
後藤,世界のビッグ７か……まるで本物の戦艦みたいな事を言うんだねぇ
やる夫,……いえ、やる夫は彼女達の事を本物の戦艦だと思っていますお
後藤,ん？どういう事？
やる夫,あ、呼びにくいでしょうし、やる夫の事は呼び捨てで構いませんお。ハッ！それでは執務室に御案内いたしますお！。ここが提督が執務をされる部屋ですお
後藤,へぇ……立派なモンだ、前居たトコとはえらい違いだねぇ
やる夫,仕事について説明しますかお？
後藤,頼むよ、俺、あんまり頭が良くないから、簡潔にね
やる夫,……とまあ、簡単に言うと、こんな感じですお
後藤,……なるほどね、一つ、質問いいかな？
やる夫,何ですお？
後藤,……工廠についてだけど……。鋼材や燃料でねぇ……そんなんで艦娘が出来るの？。何やらこの青年にも思う所はありそうだな……ちょいとカマかけてみるか。いや～、それにしても海軍の技術は凄いね～
やる夫,そ、そうですか？
後藤,彼女達、まるで本物の人間にしか見えないもの
やる夫,それはそうですお、彼女達はもともと普通の人間ですから
後藤,……やはりか
やる夫,あっ……！。い、今のは忘れてくださいお！
後藤,そうはいかないな～、君の持ってる情報次第では口外しないって約束するけど？
やる夫,カンベンしてくださいお……やる夫は命が惜しいですお……
後藤,そう警戒するなよ……もう俺達仲間じゃない？
やる夫,……
後藤,君を正義感に溢れる青年と見込んで頼んでるんだけど？
やる夫,……絶対に口外しないって約束しますかお？
後藤,するする、もー、俺ってば口が固いので有名なんだから
やる夫,彼女達は、適性がある事を理由に孤児院や海自、海軍から集められて来るんですお
後藤,ふむふむ。生まれ変わる？。軍艦として、か……
やる夫,その代わり、艦名になった艦の記憶を受け継ぐんですお
後藤,さっきの長門さんみたいにか……
やる夫,はい……これ以上の事は、やる夫の様な末端には知らされておりませんお。そ、それは……
？？,准尉、ちょっといいかしら？今日の分の建造についてだけど……あら、お客さん？
やる夫,助かったお！
千歳,新しい提督さん？大変！みんなに知らせないと……！
後藤,あ～……悪いけど、その提督っていうの、止めてくれないかな
千歳,え？。隊長……ですか？ふふっ、何だか変ですね？
後藤,他の子達にもそう伝えといてよ……え～と、千歳さん。はいよ、了解
千歳,では、私はこれで失礼しますね
後藤,彼女も艦娘？
やる夫,はい、軽空母の千歳さんですお
後藤,何というか……色っぽいね～、胸も大きいし
やる夫,……一つ言っておきますが、艦娘に手を出したら一発でクビですお
後藤,あったりまえでしょーが
やる夫,……では、次は酒保を案内しますお、何かと厄介になるでしょうから
明石,いらっしゃい、准尉！そちらが噂の隊長さん？
やる夫,そうですお、後藤隊長ですお
後藤,いや～……色々揃ってるんんだね～、みんな、ここで買い物を？
明石,はい、男性用の日用品も取り揃えていますから、ご心配なく
後藤,マイセン売ってる？。頼むよ……ん？
暁,初めまして！あなたが新しい提督さん？
響,暁、提督じゃなくて隊長だよ
電,あうあう……よろしくなのです
雷,よろしくね！いつでも私達を頼っていいのよ？
後藤,初めまして……やる夫君、この子達も艦娘……？
やる夫,はい、第六駆逐隊の面々ですお
後藤,ちょうど酒保もあるし、お菓子でも奢ってあげようか？
暁,お、お菓子なんかで懐柔されないわ！私は一人前のレディーですもの！
後藤,これはこれは失礼……今後ともよろしく
暁,わ、分かればいいのよ！。う、うるさいわね！
響,……Слишкомхорошоもったいない
電,あうあう……
やる夫,すみませんお、隊長、無駄な出費をさせてしまって……
後藤,……あんな幼い子供まで戦線に立たせるのか……
やる夫,隊長？
後藤,こんな事は絶対間違っている……
やる夫,……きっと義憤に駆られてるんだお……やる夫もそうだったから……。……とまあ、ざっと案内しましたが、どうでしたかお？
後藤,ん～……設備が充実してて羨ましく思ったよ
やる夫,艦娘の印象はどうでしたか？
後藤,いや～……いろんな子がいるもんだね～……会っていきなり俺が怖いか？
やる夫,ハハ……慣れればこの賑やかさが癖になりますお
後藤,……本当に若い娘達しかいなかった……彼女達を戦わせるのか……。んで？まず俺は何をすればいいワケ？
やる夫,まずは彼女の話を聞いてくださいお
大淀,初めまして、大淀です、主に任務の受理や整理をしております
後藤,どうも……任務を受ける時は彼女に言えばいいのかい？。ふ～ん……ちょっと任務表を見せてくれるかな？
大淀,はい、こちらになります
後藤,……どれどれ……ん？
やる夫,何か気になる事でもありましたかお？
後藤,この、近代化改修とか解体ってどういうことだい？。……吸収されたり、引退した子達はどうなるのかな？。……へぇ……それは確かな情報かい？。……ふーん……。ともかく、改修や解体をすれば普通の生活に戻れる子が増えるって事だね？
やる夫,……隊長はオカルトを信じますかお？
後藤,……念ねぇ……
やる夫,実際、軽空母の艦娘の中には、式神を使って艦載機を飛ばす娘もいますお
後藤,式神、ねぇ……ホントにオカルトだね～
やる夫,そう捉えてくださって構いませんお
後藤,際限なく強くなるワケ？
大淀,いえ、艦によって改修によって上がる能力の上限値は決まっております
後藤,ふーん……大体分かった、それで、どの任務から手を付ければいいのかな？
大淀,あ、任務に取りかかる前に、まずは秘書艦を決めてくださいませんか？
後藤,秘書艦？
大淀,はい、隊長の実務を補佐する艦です
後藤,よく分からないけど、それって大淀さんややる夫君じゃ駄目なの？
やる夫,どうしますかお？何なら、艦娘の事が良く分かるまで時間を置いても……
後藤,出撃時の秘書艦は長門、雑務をこなしてる時の秘書艦は千歳にしよう
やる夫,……
後藤,……いや、下心は無いよ？
やる夫,……そうですかお？。ハッ！
千歳,千歳、入ります
長門,長門、入る……さっそくだが、秘書艦が２名とはどういう事だ？
後藤,書類仕事、得意かい？
長門,うっ……ま、まあ、得意ではないが……
千歳,私は、お手伝い程度ならなんとか……
後藤,そゆこと、戦闘では頼りにしてるよ？
長門,……言われるまでもない、ビッグ７の力、見せてやろう
千歳,それは……
長門,最悪、の一言だ
後藤,ほう
長門,主に前任者のせいだがな
後藤,詳しく教えてくれるかな？前任者の轍は踏みたくないんでね
千歳,……そうですね、まずは、資材の乱費です
長門,大型建造や、戦艦や空母を狙った建造の乱発、大型砲を狙った開発の繰り返し……
千歳,おかげで、出撃にまで影響が出るようになってしまいました……
後藤,うわぁ……
長門,おまけに、セクハラまでする始末だ
後藤,やれやれ……頭が痛いね……。ちなみに、主にセクハラされてた艦娘って誰だか分かる？
長門,金剛と榛名が主に被害を受けていたようだ
千歳,金剛さんは、そのせいで軽い人間不信に陥って、部屋に閉じこもっています……
後藤,なるほど……ここでの話が終わったら、フォローしに行くか……
千歳,是非そうしてあげてください
後藤,ちなみに、その問題の前任者の名前は？
やる夫,美府出やらない夫元少佐ですお
後藤,その元少佐は、今何してんの？
長門,フン……今ごろマグロ漁船でこき使われているだろうな
後藤,なるほどねー……
長門,……今攻略しているのは、南西諸島海域の沖ノ島海域だ
やる夫,ここを攻め落とせば、北方海域、西方海域への出撃許可が下りますお
後藤,ん？そこんトコロをもう少し詳しく。へぇ……。んで、その沖ノ島海域には何回ぐらい出撃したの？
長門,……３０回を越えてからは数えていない……
後藤,ありゃま
千歳,長門さん、落ち着いて……
後藤,こりゃちょっと危ういな……
長門,同じ編成？そこは新隊長の腕の見せ所ではないのか？。ふむ、なるほど……
後藤,それで、編成はどんな感じだったの？
長門,私、金剛、榛名、伊勢、赤城、千歳の６名だ
後藤,６名？もっと多くの艦で行けないのかい？。ほう……
千歳,隊長？どうかなさいましたか？
金剛,……
榛名,姉様……今日はお外がいい天気ですよ？ちょっと外に出てみませんか？
金剛,……いいデース……
榛名,姉様……
金剛,ワタシが馬鹿だったネー……あんな男に僅かでも気を許したセイで……。……榛名は強いネー……
榛名,榛名は大丈夫です……でも姉様がそんなんじゃ……
金剛,……
後藤,あ～……金剛さん？新隊長の後藤です、入ってもいいかな？
金剛,！……ワ、ワタシはイマセーン！
後藤,千歳も一緒だから安心してくれ、何かあったら撃っても構わんから……
金剛,……
榛名,姉様……
金剛,……少しでも変な事したらブチ殺しますヨー！？
後藤,了解……それじゃ失礼します……
金剛,……。！……
榛名,そんな……て、いや、隊長がそんな簡単に頭を下げちゃダメです！
金剛,これからの……タイチョー……？。……。……
後藤,……カラ元気も元気という言葉がある……それじゃ、失礼した
榛名,姉様……。は、ハイ！榛名は隊長が冴えないオッサンでもイケる口なので
金剛,……何か邪念があったような気がしマスが……それにしても……フフッ
榛名,姉様？
金剛,……カラ元気でも元気……いい言葉ネー……
榛名,……ハイッ！
後藤,おお～……立派な艦だね～
やる夫,はい、隊長はこの海自から供与された輸送艦おおすみ
後藤,ここから指揮を執ればいいんだね？。今回は艦娘達に任せるけど、気をつけなきゃいかん事とかってある？
やる夫,あ……一つ重要な事を言うのを忘れてましたお！
後藤,？
やる夫,大破した状態での進軍は絶対に避けてくださいお！
後藤,そりゃまたなんで？。轟沈っていうと……
やる夫,その名のとおりですお、失った艦娘は二度と戻りませんお……
後藤,それでは、第一艦隊、出撃！
金剛,久し振りに本気出すネー！！
榛名,榛名、出撃します！！
伊勢,新任の隊長にいいトコ見せなきゃね、行くよ！！
赤城,一航戦、赤城、出ます！！
千歳,絶対に生きて帰るんだから！千歳、出ます！！
長門,……今度こそ……今度こそビッグ７の誇りを見せてやる！長門、出撃する！！
後藤,おお～……海上をスケーティングしていく……
やる夫,驚いたでしょう？
後藤,まあね～、長生きはしてみるもんだ。さて……深海棲艦……艦娘……俺は、どう動けばいいかな？ま、なるようになるか
やる夫,沖ノ島海域に到着！これより深海棲艦掃討作戦を開始しますお！
後藤,くれぐれも、無理はしないようにな。おお……？矢が小さな戦闘機に変化した……？
やる夫,驚かれましたかお？
後藤,なるほどねー……こりゃたしかにオカルトだ……
榛名,伊勢さんが少しダメージを受けましたが、我々の勝利です！
伊勢,こんなのダメージの内に入らないさ、小破にも届いてないよ！
後藤,ん……？皆、北東に針路を変えたな……。そうか……で、このルートはどうなの？
やる夫,何事も無ければ、敵主力部隊の居る位置まで辿りつけるはずですお
後藤,ふーむ……
伊勢,くっ！
榛名,きゃあっ！！
赤城,い、一航戦の誇り……！
長門,おのれ……！くらえ！！４６センチ砲の威力を！！
後藤,あー……まだやれるかい？赤城。……。無茶しちゃいかんよ、一つしかない命なんだから。……それでは、進軍せよ。……マイクを外して
やる夫,……変な目で見てはいけませんお？
後藤,ハラハラし通しでそんな余裕無いよ……胃に悪いねぇ……
長門,くっ……！海流に……流される……！
金剛,長門、マズイネー！このままだと……！
千歳,来ます！敵フラグシップ級空母です！
後藤,人型……！？あれも深海棲艦なのか……？
赤城,く……せめて開幕爆撃で……！
深海棲艦,…………
長門,ひるむなぁっ！！ヤツの攻撃まで時間がある！攻撃を集中して沈めるぞ！！
金剛,あ、当たらないネー！？
伊勢,く……せめて随伴艦だけでも！！
榛名,キャアアッ！！
千歳,あ……！敵空母攻撃、来ます！！
長門,くああああっ！！。く……くそっ！！。ま、まだだ……。ここを過ぎれば敵主力に届く！！そうすれば海域突破も……！。う……？。な……！？……くっ……！。何故撤退命令を出したッ！！
後藤,……。ﾌｰｯ……名誉ねぇ……
長門,な、何を……！？
榛名,……怖っ！
後藤,お前さん、自分の仕事を勘違いしてやしないかい？
長門,な……何……？
後藤,長門、お前の仕事は何だ、言ってみろ
長門,それは……深海棲艦を殲滅する事……
後藤,入速出准尉、我々の任務は何か、簡潔に述べよ
やる夫,ハッ！深海棲艦の脅威から国民の生命、財産を守る事でありますお！
長門,……！。……。くっ……！
伊勢,隊長、女を泣かせちゃいけないよ……
後藤,そうだな……お詫びにちょっといい話をしよう
長門,……？
後藤,俺は警察出身だが、警察と自衛隊と軍隊には共通点がある
千歳,……？何ですか、それは？
後藤,俺達の仕事は、基本的に、負け戦なんだよ
やる夫,負け戦……ですかお？
長門,……
後藤,同じ負け戦なら、せいぜい生きあがこうじゃないか
金剛,タイチョー……
後藤,長門、分かったか？
長門,……納得は出来ない……だが、理解はしたつもりだ……
後藤,今はそれでいい……さ、分かったら順番に入渠してこい、目の毒だ
榛名,了解です……さ、長門さん、行きましょう？
長門,ああ……
千歳,隊長、きっと長門さんは分かってくれますよ……
後藤,だといいね～
やる夫,それで隊長、初出撃の感想はいかがでしたお？
後藤,そうだな……何も分からんという事が分かった
やる夫,ちょっ……！
後藤,な～に、分からん時は分かるヤツに聞けばいいのさ
千歳,？
後藤,一つ聞きたいんだが、この周辺で日帰りできる他の基地って何処？。その中で、一番古い基地って何処かな？
やる夫,佐世保鎮守府ですお
後藤,そこの提督さんの人となりとか、分かる？
やる夫,人となりですかお？海自出身の老提督だ、ぐらいしか分かりませんお……
千歳,相当のお酒好きとか聞いたことありますけど……
後藤,それだけわかれば、じゅーぶん、じゅーぶん♪
やる夫,な、なんか……
千歳,悪い顔してるなぁ……
後藤,ええ、勝手が違う物で、どうにも二進も三進もいかなくって
老提督,フン……
後藤,これは、お近づきのしるしに……
老提督,袖の下は受けんぞ
後藤,まあまあ、そう言わず……お好きでしょう？
老提督,ム……？。こ、これは……！森伊蔵、魔王、村尾！薩摩が誇る３Ｍではないか！？
後藤,いやー、手に入れるのに苦労しました。ええ、まあ……前の職場でも、何だかんだで飲む機会が多かったですから
老提督,どうじゃな？親睦を兼ねて、カラスミをつまみにして……
後藤,いいですなぁ……お～い、やる夫君！
やる夫,何ですお？。は、はあ……了解しましたお
老提督,お、そう言ってる間に演習が終わったようじゃの。あれくらいの練度ならば、十分沖ノ島攻略も可能じゃろう……装備が悪いのかの？
後藤,へぇ……
長門,隊長は今日も佐鎮の老人と飲み会かっ！！どうなっているのだ！准尉！！
やる夫,そんなこと言われても……やる夫にどうしろって言うんですお……？
長門,コロコロをいじるな！うっとうしい！。むぅ……
青葉,エヘヘ……青葉、調べちゃいました！
長門,青葉？
青葉,なんでも、あの隊長さん、警視庁時代はカミソリ後藤
千歳,カミソリ？
天龍,とてもそうは見えねーけどなー……どう見ても冴えねーオッサンだぜ？
長門,ﾑｯ……
天龍,えっ……？何で長門の姐さんがこっち睨んでんの……？
やる夫,黒いレイバー……ああ、あの
長門,何か知っているのか？准尉
やる夫,一時期、大きな話題になりましたから……もしそれが本当なら……
千歳,本当なら？
やる夫,我々の隊長は相当な修羅場をくぐってきた、という事になりますお
長門,……
後藤,う～い、ただいま～っとくら～
伊勢,隊長、おかえり
後藤,おお、伊勢、夜の見回り？ご苦労様～
伊勢,飲み会で親睦を深めるのもいいけどさー、こう連日だと、皆呆れてるよ？
後藤,だいじょぶ、だいじょぶ、今日で終わりだから
伊勢,あ、なんか落としたよ、えーと……佐鎮虎の巻……！？
後藤,あ、やべ、それ返して、お願い
伊勢,隊長、これどういう事？
後藤,いや～……経験っていいよね～、こうして人に伝える事が出来るんだから
伊勢,……
後藤,明日から沖ノ島攻略の為の体制に移るから、皆にもそう伝えておいてね～
伊勢,……良い隊長……なのかな？
後藤,ふー……少し酔い覚まししないといかんな……。ん？ケータイ……あ、しのぶさんからだ。もしもし、しのぶさん？。まあね～、ちょっと付き合いでね～。んで、そっちの具合はどうよ？。ハハ……熊耳はどんな感じ？。どんどん俺の居場所が無くなっちゃうなー。出来ればそうしてるよー……。そういえば、課長の調査はどうなってんの？あんまし期待してないけど。上ってーと……総監クラス？。ふーん……。これは俺の勘なんだけどね？どうも私怨臭いねー……。あり過ぎて困るねー……ん？。盗聴されている？。しのぶさんも気付いたな……。そうそう、俺の友達によろしく言っといてよ、こっちに来たら歓迎するってね。それと……。ん？誰か来たみたい、ちょっと待っててね。はいはーい、どなたー？。あ、鳳翔さん、これはすいませんなぁ……ありがたくいただきますよ
鳳翔,フフ……お酒もほどほどにしてくださいね？
後藤,気をつけます……それじゃ、おやすみなさい。しのぶさん、お待たせ、それでね……。しのぶさん？誤解だってば……まいったな……
長門,隊長！どういう事だ！私を秘書艦から外すとは！！
赤城,あ、長門さん
後藤,怒鳴らないでよ……二日酔いで頭が痛いんだからさー……
長門,自業自得だろう！それより、新しい秘書艦とは、赤城、お前か！？
赤城,私も、今お話を伺ったばかりで……
後藤,開発の間だけだよ
長門,開発？。な、なんだ……そういう事か……
赤城,それで、どんな艦載機を作るのですか？
後藤,烈風ってのを狙おうと思っている
赤城,烈風……？知らない子ですね……？
後藤,なんでも、佐世保の老人の話だと、制空値に優れた艦載機らしい
長門,制空……
赤城,了解しました
後藤,このレシピで回してね～
長門,便利だな、その佐鎮の虎の巻とやらは
後藤,まあね～
電,は、はい
叢雲,頑張るわ、まあ、せいぜい見てなさい
後藤,第二艦隊の旗艦は那珂
那珂,はーい、那珂ちゃん、巡業も頑張るよーっ！
後藤,はいはい……第三艦隊の旗艦は夕立
夕立,夕立、がんばるっぽい！
赤城,何とか、２機の烈風が出来ました！
後藤,よしよし……
赤城,あと、何だか特殊な偵察機の様ですが、彩雲も１機出ました
後藤,上出来、上出来
赤城,これ以上の開発は出撃に影響が出るので無理ですが……
後藤,優秀な艦攻や艦爆も揃ったんだろ？
赤城,はい、十分すぎる程
後藤,なら良し、３日間、秘書艦、お疲れ、後は長門に代わってくれ
赤城,了解
後藤,明日、沖ノ島海域へ出撃するから、今晩、大会議室に全員を集めてくれや
赤城,は、はい！
後藤,あー……静粛に、これより、沖ノ島攻略の為の編成、及び作戦内容などを伝える。まずは編成、長門、金剛、榛名、赤城、千歳、北上
長門,しかし、雷巡の北上では火力不足では？
後藤,そうでもない……北上、甲標的を装備していくように
北上,甲標的？あ～……千歳さんが前に装備してたヤツ？。マジ？アタシってば、実はスゴかったんだね～
榛名,弾着観測射撃？
伊勢,そういえば、偵察機を装備してた時、初戦辺りでそんなのが出来た気が……
金剛,アレって狙って出せる物だったのデスネー？
後藤,こちらが航空優勢以上の場合に限るがな
長門,その為に烈風を開発したのか……なるほど
まずは偵察機,彩雲
神通,Ｔ字不利排除！？
羽黒,そ、そんな事が出来るのですか……！？
長門,静粛に！……では隊長、訓示をお願いします
榛名,な、何だかいけそうな気がしてきました……
赤城,慢心は禁物……気を引き締めていきましょう！
千歳,了解……敵艦隊、来ます！
榛名,勝手は！榛名が！許しません！！
長門,大勝だ！
金剛,スゴイネー！こんなスムーズに勝てたの初めてかもしれマセーン！
赤城,了解です！
後藤,ん……また北東に流れたな……
やる夫,これで、大破さえしなければ敵主力の所まで行けますお！
後藤,冷静にな……装甲の薄い北上が加わってるんだから、油断しないように
やる夫,あれで的が確実に一つ減りますからね……
後藤,何度も言うが、油断しないように
千歳,榛名さんが小破しましたが、他は無事です！
榛名,はい、榛名は大丈夫です！
長門,了解！
金剛,くっ……また北に流されるネー！！
長門,恐れるな！大破さえしなければ大丈夫だ！
赤城,敵フラグシップ級空母、来ます！。開幕爆撃、行きます！
深海棲艦,…………！
北上,まー、アタシは基本、雷撃だから……これもついでに持って行きなって！！
長門,よし！これでヤツは無力化した！後は無理せず、随伴艦を狙え！！
金剛,了解ネー！全砲門、Fire！
長門,千歳が中破だ……あとは、細かいダメージをそれぞれ負っているな
千歳,大丈夫です！開幕爆撃には参加できます！
長門,無論だ！
赤城,開幕爆撃、行きます！！
北上,こいつもついでに持って行っちゃってーっ！！
深海棲艦,…………
北上,げっ……！カスダメージ！？
長門,りょうか……！！。フ……！。長門型の装甲は伊達では無い！全主砲、斉射、てぇーーーーっ！！。ハア……ハア……や、やったぞ！。どうする、隊長？夜戦に持ち込めば敵旗艦も倒せるかもしれんぞ？。そうか……まあ、これで良しとしようか……
金剛,何言ってるネー！？長門、大勝利ネー！！
赤城,敵戦艦、撤退していきます……
長門,了解！
隼鷹,ヒャッハー！隊長、もっと飲みなってー！
後藤,アルハラはいかんよ、アルハラは……
千歳,ふふ……私にもお酌させてくださいね、た・い・ちょ・う？
後藤,……千歳、もしかしてかなり酔ってる？
千歳,え～、酔ってまへんよ～……
後藤,……だめだこりゃ……
足柄,いちばーん！足柄！モノマネしまーす！妙高姉さんの中破ポーズ！！
妙高,……
長門,フッ……。……
金剛,長門、いい風ネー……
長門,金剛か……そうだな……
金剛,……今度の隊長さんは優しくて、とてもいい人ネー
長門,ふ……惚れたか？
金剛,カモネー？
長門,……
金剛,そういう長門は、どうネー？
長門,……私か？私は色恋沙汰などには、無縁だよ……
金剛,長門も、素直じゃないネー……
長門,……ふん……
後藤,ドロップ艦？……何それ？
やる夫,……大丈夫ですかお？
後藤,さすがに飲み過ぎたな……んで、ドロップ艦って何？。あ、そうなの、んで、今回送られてきた艦娘さんは？
やる夫,入ってきてくださいお
後藤,どうも……アレ？でも扶桑も山城も、もう居るよね？
やる夫,ダブりましたね……
後藤,……んじゃ、装備取って近代化改修要員って事で
山城,不幸だわ……
大淀,失礼します……隊長、軍部から北方海域と西方海域への出撃許可が下りました
後藤,あ、そう、報告ご苦労さん
やる夫,それで、どちらから手を付けますかお？
後藤,……北方海域を先に片付けてしまおうか
長門,了解、それではモーレイ海攻略の準備に取りかかる
千歳,あ、あの……その事なんだけど……
後藤,ん？どしたの？
千歳,資材が枯渇していて……連続出撃は無理そうです
後藤,そんなにひどいの？。１回勝ったぐらいで信用を取り戻せるワケないでしょーが……焦っちゃいかんよ
長門,むぅ……
後藤,ま、俺への嫌がらせも兼ねてるんだろうが……それを言うと士気に関わるしな。それでもいいが……ここは一つ、見方を変えてみようか
千歳,見方を？
後藤,貧者には貧者の戦い方があるってね……ま、なんとかなるだろ
長門,？。また私を秘書艦から外すとはどういうことだ！隊長！！
