アベンジャーズ,というよりキャプテン・アメリカ
スティーブ,はは……。七十年後のニューヨーク、か……。……まるで別世界のようだな。あの日、あの時……。鳴り響く警報……吹きすさぶ寒風……徐々に近づいてくる氷原……。……約束があった。彼女との大切な約束が。戦争が終わった後、全てが終わった後、共にダンスをしようと……。だが……約束は果たせなかった。僕が目を覚ました時、世界は既に変わってしまっていた。七十年の時が過ぎた世界……僕は何もかもに取り残された古い人間だった。知識も、力も……今の者達には遠く及ばない……。フューリーから聞かされたアベンジャーズ計画……。超人と呼ばれる存在は僕だけじゃなくなっていて……僕を遥かに越える、本物の超人が何人も存在していた。鋼鉄の機械を身に纏ったハワードの息子……超人血清を再開発する中で事故的に生まれた緑色の暴れ者……雷のハンマーを操る神話の男……。……果たして、僕なんかが参加しても良いのだろうか。七十年前の骨董品のような兵士がいても、足を引っ張るだけじゃないのか……。僕は……どうすれば、いいのか……
花陽,うぅ……スティーブさん、黙り込んじゃったよぅ……。しかも、すごく深刻そうな顔をしてる……。わ、私がオドオドしてばかりだから、きっと気まずいんだ……！ううう、な、何か話さないと……！。あ、あの！
スティーブ,な、なんだい？。っと、考え込んでしまっていたな。いけない、いけない
花陽,うう、緊張して大声になっちゃった……スティーブさん、びっくりしてるよぉ……。そ、その……スティーブさん、一つ聞いてもいいですか？
スティーブ,ああ、いいよ
花陽,って、何話そうか考えてないよぉ……。ええと、ええと……。あ、あの……。さっき今のニューヨークに慣れてないって言ってましたけど、昔ニューヨークに住んでたんですか？
スティーブ,……そんなこと言ってたかな？
花陽,は、はい。確か……
スティーブ,そう、だな。遠い昔に暮らしていたんだ。本当に……本当に遠い昔に
花陽,……そう答えた時、スティーブさんの表情は今までと全然違っていた。それまではきりっとしていて、常に頼もしい雰囲気が溢れ出ている感じだったけど。その時だけは、痛みを堪えるような、痛みを耐えるような、。とても……とても、辛そうな表情をしていた……。スティーブ……さん？
スティーブ,っと、すまない。何でもないんだ。それよりも申し訳ないな。案内役を買って出たのに頼りにならなくて。だが、安心してくれ。必ず君を仲間たちの元まで送り届けるよ
花陽,………
スティーブ,さて、多分こっちであってると思うが……
花陽,あ、あの……
スティーブ,ああ、どうやらあの建物だな。あそこが君達の宿泊しているホテルだろう。大分遠回りになってしまったな。すまない
花陽,あの！
スティーブ,？どうした、ハナヨ
花陽,す、少し、そこのカフェでお茶でもしませんか？助けていただいたお礼もしたいですし
スティーブ,いや、礼なんてそんな気を使わなくても良いさ。それに仲間たちも心配してるだろう？早く会ってあげると―――
花陽,お茶を！しましょう！
スティーブ,あ、ああ、そうだな。そうするか
花陽,……私は、スティーブさんが困惑するのを押し切って、おしゃれなカフェへと入っていった。何でか、彼を放ってはおけなかったのだ。とても辛そうな顔をしたスティーブさんを……その辛そうな表情を、直ぐに押し隠したスティーブさんを……。……何故だか、放ってはおけなかった
スティーブ,なし崩しにカフェに来てしまったが……うぅむ、現代の若い子は何を考えているか分からないな。現代の話題も分からないし、さて……
花陽,うぅ、勢い込んでカフェに入ったのは良いですけど……。ど、どう話を切り出したらいいのか……
スティーブ,ん、あれは？
花陽,あ……。あれ、昨日のライブだ。ま、まさかテレビで放送されてるなんて
スティーブ,あれ、ハナヨじゃないか？
花陽,へ？あ、そ、そうなんです！私、スクールアイドルをしてまして……
スティーブ,スクールアイドル？
花陽,は、はい！学生が結成したアイドルグループで―――
スティーブ,へえ、今はそういうものもあるのか。しかも、その日本チャンプなんだろう？凄いな
花陽,い、いえ、凄いのは私じゃなくて皆というか
スティーブ,謙遜する事はないさ。素人目に見ても分かる。ハナヨだってメンバーの誰にも劣っていない。それにあのパフォーマンスだ。相当に努力を積んで来たんだろう。誇って良い。凄いさ
花陽,あ、ありがとうございます……。そんな正面切って褒められると、少し恥ずかしいです……///
スティーブ,……僕も、昔はあるチームに所属していたんだ
花陽,そうなんですか？
スティーブ,ああ、仕事上のね。……だが、そのチームも今や解散してしまった。仲間も……遠い所へ行ってしまった。再び集まる事はないだろう
花陽,そう、ですか……。少し寂しいですね
スティーブ,ああ、本当に……
花陽,……そういうスティーブさんは、やっぱり遠い目をしていて……。……何だか、とても儚げで……。あ、あの……。スティーブさん、何か悩んだり……してませんか？
スティーブ,……そう、思うかい？
花陽,えっと……はい……。時々、すごく悲しそうな顔をしてます……
スティーブ,……そうか
花陽,あの、私で良ければ話を聞きますよ……？
スティーブ,……そういう彼女は、とても悲しそうな瞳をしていた。何故、彼女が悲しんでいるのか……少し考えて、分かった。僕が悲しんでいる事に、悲しんでいるのだ。他人の悲しさを、己の事のように思い、受け止めている。……優しい少女だ。とても、とても。そう、だな。……これも何かの縁、なんだろう。少し……話を聞いて貰おうかな。だから、だろうか？気付けば、僕も語り出していた。かつて居た場所から、とても遠い所に来てしまった事。仲間を失い、そして今はまた別のチームに誘われている事。……力不足の自分が、果たしてそのチームに入って役に立てるのか悩んでいる事。言葉を濁して、彼女に伝えた
花陽,………
スティーブ,彼女はただ黙って聞いていてくれた。温かな瞳で、時折涙すら浮かべて。僕の話を、まるで自分の事のように受け止めて、聞き入れてくれた。……これが、僕の悩みさ。笑えるだろう？大の大人が、こんな事でうじうじと悩んで
花陽,そんな事、ないです……とっても、とっても辛らそうで……
スティーブ,……君は、優しい子だな
花陽,……そんな事……ただ話を聞くしかできなくて……
スティーブ,いや、幾らか気分が晴れたよ。此処には僕の話をゆっくり聞いてくれる人もいなかったからね。それに、君のような子がいる世界だと分かれば、僕も全力で戦えると思う。……気付けば、決意は固まっていた。世界との戦いではなく、世界を守る為の戦い。力の有無は関係ない。……ああ、そうだ。もやし小僧だった頃の自分だって、そうだったじゃないか。貧弱な身体であろうと、戦うための力が無かろうと、関係ない。守るべき何かの為に戦うと―――。世界が変わろうと、僕の心は変わらない
花陽,あの……一つだけ、良いですか？
スティーブ,？何だい？
花陽,友達を亡くした事も……生活環境が一変したような事も……私なくて……。でも！一つだけ、今のスティーブさんの気持ちで分かる事があります！。私も……そうだったんです。スクールアイドルに憧れていて……でも、運動も出来なくて、どんくさくて、取り柄もなくて……。穂乃果ちゃん達から誘われた時もずっと悩んでいて……大好きな親友達に背中を押されて、やっと決意ができて……。やりたいのなら、やった方が良いって、言ってくれて……。だから、私思うんです……。力が足りてなくたって……うまく出来なくたって……それでも……。チームの脚を引っ張ってしまうと考えちゃっても……。スティーブさんがやりたいと思うなら―――絶対に、やった方が良いです
スティーブ,そう言った一瞬―――それまで俯きがちに話していた彼女が、頭を上げた。力強い瞳で、迷いのない瞳で、真っ直ぐにこちらを見詰めてくる。陰りのない、光の灯った瞳。その瞬間……そのほんの一言の間だけ。何故だか、ハナヨがペギーと被って見えた。似ても似つかない二人なのに、その信念の灯った瞳だけが瓜二つの見えたんだ。……そうか。ああ、そうだな。分かったよ、ハナヨ。やってみるさ。自分の出来る限りの事を、そのチームでやってみせるさ
花陽,スティーブさん……！
スティーブ,ありがとう、ハナヨ。本当に勇気づけられた。そうだな。事態が落ち着いたら、チームの皆を君に紹介するよ
花陽,な、なら、私も皆を紹介します！私を支えてくれた仲間の皆を！
スティーブ,それは楽しみだな
花陽,はい、私も楽しみにしてます！
スティーブ,っ、どうやらチームからの呼び出しのようだ
花陽,そうですか……。あの、頑張って下さい、スティーブさん
スティーブ,ああ、やってみせるさ。―――と、最後に一ついいかな。君のスクールアイドルグループの名前を教えてくれないか
花陽,あはは、そういえば紹介してませんでしたね。μ’ｓ―――です
スティーブ,μ’ｓ……音楽の女神か。良い名前だ。ハナヨ、君との出会いは忘れない
花陽,そう言って、右手を差し出すスティーブさん。私もその手を握り返して、にっこりと笑う。はい、私も忘れません。スティーブさん
スティーブ,―――また何時か
花陽,はい―――また何時か。……そうして私とスティーブさんは別れました。皆と合流した後はてんやわんやでした。凛ちゃんと真姫ちゃんに泣き付かれ、海未ちゃんとにこちゃんには怒られて、ことりちゃんと希ちゃんは励ましてくれて。穂乃果ちゃんは優しく見守ってくれて―――。そして、帰国の日になって。帰国してからも沢山大変な事があって……。ニューヨークのライブを経て爆発的に人気が上昇したμ’ｓ。人々の期待を受ける中、再びの解散問題が突付けられて……。それでも、私達は終わりを選択して……。最後に、スクールアイドルの輝きを皆に知って貰いたくて……。秋葉原での全スクールアイドル合同でのライブを行う事を決めて……。……その準備の最中に、私は知りました―――
穂乃果,知ってる！？ニューヨークが宇宙人に襲われたんだって！？
海未,何を笑えない冗談を……
穂乃果,本当だって！ほら、ニュースでもやってるもん！
ことり,ほ、本当だ
花陽,そんな……
真姫,何よ、これ……
凛,ひどい……
希,……そ、それでニューヨークは？
絵里,そうよ。これは少し前の映像なんでしょう？今は……
にこ,だ、大丈夫でしょう？アメリカだって凄い軍隊を持ってるんだから……
海未,で、ですが、こんな怪物を相手には……
穂乃果,とにー・すたーく？
海未,確かアメリカの大会社の社長だったかと思います
穂乃果,へぇえ。でも、良かったね。宇宙人を倒しちゃったって―――って、すごい！ロボットだよ、ロボット！
希,最近は、確かアイアンマンとかいう名前でヒーロー活動してるって聞いたけど……これがそうなんかな
絵里,宇宙人を倒しちゃうなんて、すごいわね
凛,わ、すごいよ！緑の巨人さんに雷を出すおじさんにゃ！
ことり,緑の巨人さん、可愛いね～
にこ,あ、あれが可愛い……？
真姫,……これ本当にあった事なの？何だか現実離れし過ぎて、映画のワンシーンみたいだけど……
海未,本当ですね……
花陽,皆がアベンジャーズの活躍に息を呑んでいる中、私はＴＶが映し出すあるワンシーンにずっと目を奪われていました。破壊された街並みに立ち尽くす、一人の男の人。青色のスーツはボロボロに汚れていて、その人も傷だらけの身体で、それでも自らを気に掛ける様子は一切なくて。ただ沈痛な表情で、破壊された街並みを見詰めている―――
穂乃果,この人は、えーっとキャプテン・アメリカっていうみたいだね
海未,第二次世界大戦で秘密裏に活躍したヒーローとの事ですが
絵里,南極の氷河から発見され、ここ最近目を覚ましたようよ……ファンタジーね
花陽,被っていたマスクが地面に転がる……。その表情が、画面に映し出される。忘れる訳がない。あの人が―――。―――あの人が、キャプテン・アメリカ―――
スティーブ,衛生兵を呼ぶか？
サム,ハハ、肺を交換してくれよ。あんた２０キロを３０分で走ってたな
スティーブ,そうか？遅すぎるな
サム,ハハ、マジか。俺はサム・ウィルソン
スティーブ,スティーブ・ロジャースだ
サム,だと思った。……大変だろう、何十年もたって目覚めたんじゃ
スティーブ,そうだな。色々慣れなくて
サム,昔が懐かしいか？
スティーブ,まぁ、今も悪くない。食べ物が美味い。ポリオもなくなったし、ネットも便利だ
サム,……トラブルマンってサントラ。あんたがいない間の事が、あれに詰まってる
スティーブ,リストに書いとくよ。……そうだな、僕からも一つお返しだ―――。―――μ’ｓのAngelicAngel。スクールアイドルの素晴らしさが、これに詰まっている
花陽,……そしてスティーブさんとの出会いから、数年の時が流れました。μ’ｓも解散して、私達のスクールアイドル活動も終わりを迎えて……。アベンジャーズも、沢山の大変な事があったみたいで……。ソコヴィアであったウルトロン事件……そして、ソコヴィア協定を引き金としたアベンジャーズの分裂……。……結局、スティーブさんが落ち着く事はなく、あの時の約束は果たせずにいます。こうして少し大人になって、思い出す。あの人は、今どうしているんだろう。……でも、あの人ならと、私は思います。例えどんな逆境にあっても、信じた道を突き進んでくれるのだと、私は信じられます。そう―――世界が、こんな風になっても
絵里,……まさか、こんな形で集まる事になるなんてね
にこ,こんな事がなければ有り得なかったわよ
穂乃果,こうしてみると、皆老けたねえ
にこ,はぁ！？現役の伝説アイドルにこにーに、面と向かってそんな事いう！？
絵里,最近はバラエティとかで、体張って企画ばかりしてたじゃない
にこ,お仕事はお仕事よ！あれも若い頃の下積みがあったから、映えて見えるのよ！
花陽,２０台半ばでこの衣裳を着るとは思いませんでした……
絵里,普段から気にしてる私やにこはまだしも、穂乃果と花陽は体型戻すの大変だったものね……
花陽,本当です！お米抜きの生活なんて……！
穂乃果,でも、これで―――μ’ｓ再結集、だね。ここにいない皆の分まで……頑張ろう
絵里,……ええ
にこ,……そうね
花陽,……頑張りましょう
穂乃果,行くよ――――
花陽,―――突然起こった、謎の現象……。周りの人達がいきなり塵となって消えてしまって……世界中で同じ現象が起こっていて……。世界の半分の人口が消滅してしまったと、ニュースで言っていました……。μ’ｓの皆も、半分が消えてしまって……。凛ちゃん、真姫ちゃん、ことりちゃん、海未ちゃん、希ちゃん……。もう、どうしようもないという絶望の中で、連絡がありました。それは、穂乃果ちゃんからでした。久し振りに皆で集まって、ライブをしないかという内容で。私は心の底からびっくりしてしまいました。こんな状況だからこそ何かをしなくちゃと、穂乃果ちゃんは言いました。自分も海未ちゃんやことりちゃんを失っていて……最初はあんなに泣いて、ずっとずっと泣いていて、普通の生活すら出来ないくらいに落ち込んでいたのに……。それでも、穂乃果ちゃんは立ち上がって―――あの時のように道を示してくれた。もうμ’ｓを知る人が少なくても、もう世界の皆が絶望していたとしても。もうスクールアイドルなんていう年齢じゃなくても、μ’ｓが半分しか残っていなくても。私達に出来る事を―――やりたいと思う事を、やる。それが少しでも、人々の心を支える事に繋がるのなら―――やるんだ。……スティーブさんだって、きっとそうだ。七十年後の世界で目覚めて、それでも世界の為に戦う事を選択したあの人。彼だって、生きていれば絶対に現状に抗っている筈だ。だから、私達も―――
穂乃果,１！
花陽,２！
にこ,３！
絵里,４！
花陽,続く言葉はない―――それでも
全員,―――μ’ｓ、ミュージック、スタート！！！！
花陽,―――私達は、諦めない
スティーブ,……それは、サノスとの敗北から数週間の日にちが経った頃だった。失ったヒーローも判明し、今だ自分達も立ち直れぬ中で耳に届いたニュースだった。途切れ途切れのＴＶから聞こえてくる声……それは―――。……それは、彼女達の歌だった。大人になった彼女が、不明瞭な画面の中で歌っている。こんな世界だというのに―――笑顔で。あの時、別れ際に見せた時と同じような、誰かを励ますような笑顔で。彼女は、彼女達は、唄い、踊っている。ああ、そうだ……。諦める訳にはいかない。全てを事実を受け入れる訳にはいかない。彼女達が諦めなかったように―――。―――アベンジャーズは、諦めない
―――――最強の逆襲,アベンジ
