鬼瓦慎吾……呉羽ＦＣ,ファンクラブ
山田,……。いつまでうちにいる気だ？そろそろお前の家に帰れ。おばさんが夕飯作って待ってるぞ
夕子,あ、そうだった！いっけない！
山田,やっと解放される……
夕子,お母さーん！
母,あ、夕子。何してるのー？早く帰ってらっしゃーい！お皿片付かないでしょー！
夕子,ごめーん！せっかく作ってもらって悪いんだけど、ラップかけて明日の朝にでも食べてー！今日からあたし、ここに住むことにしたからー！
山田,？！
母,？！……へえ？///
山田,な、何言ってんだこの馬鹿！違うんですおばさん！今すぐこいつ帰しますんで！
母,……ケンちゃん
山田,は、はい？
母,いざって時は、電気消してあげてね♡
山田,いやちょっとおばさん？おばさん？！
夕子,んもう……お母さんったら///
山田,んもう……じゃない！これ以上事態がややこしくなる前にさっさと帰れ！
夕子,なんで帰らなきゃなんないんだ？夫婦が一緒に暮らすのは普通のことだろ？
山田,俺たちは結婚してないだろうが。結婚してないんだから夫婦であるはずがない。よって、お前は自分の家に帰るべきなんだ
夕子,まだ結婚してないけどあたしはケンちゃんの嫁。これは揺るがない事実！
山田,くそう……！オビディエンスの効力が強すぎて理が通らん！頼む！とにかく帰ってくれ！いきなりお前と同棲なんてできない！
夕子,……！そ、そうだよな……。ゴメンな？いきなり住むとか言って……
山田,いや、謝ることはない。原因はまたしても俺なんだからな。だが、分かってくれて俺は嬉しいぞ
夕子,じゃあ……またな
山田,ああ、また明日
夕子,歯ブラシと着替え持ってきた。そりゃ準備もせずにいきなり同棲なんかできないよな///
山田,だああ！違う！そういう意味じゃない！
夕子,それに食材もいくつか貰ってきた。足りない分は明日学校の帰りに一緒にスーパーに寄ってだな……
山田,帰れ
夕子,嫌だ
山田,帰れ！
夕子,嫌だ！
山田,さっさと帰れ！
夕子,嫌だって言ってんのがわかんねえのか
山田,帰らなくていいから包丁を下ろせ
夕子,……それよりお腹空いただろ？今から美味しいの作ってやるから、先に風呂にでも入って来い
山田,やめろ。昔お前が作ったカレーで俺が２週間入院したのを忘れたのか
夕子,覚えててくれたんだ……///
山田,なんだその良い思い出みたいな反応は。忘れられるわけないだろう
夕子,ったく、いつの話をしてんだよ。あれからあたしだって調理実習でサンマ捌いたりとかして経験を積んできたんだぞ
山田,ずっとお前と同じクラスだったが、調理実習でサンマの課題が出たことなかったぞ。なんで勝手に捌いたりしたんだ
夕子,普通のスパゲティじゃつまんないだろ？ほら、さっさと入って来い。それとも何か？あたしと入りたくて待ってんのか？///
山田,ふん、俺はケモナーだから人間の裸なんか元々興味はない。それに加えてお前みたいなまな板
夕子,いくら夫婦でも、言って良いことと悪いことがあるんだぞ
山田,お前の体は魅力的だから包丁を下ろせ。……風呂に入ってくる
夕子,どうだ？美味いか？///
山田,どう思う？俺の顔は真っ青なんだが
夕子,喜んでくれたようでなによりだ///
山田,……
夕子,……どうした？思いつめたような表情をして。せっかくの同棲初日なんだからもっと嬉しそうにしろよ
山田,……こんなことになってしまって、本当にすまないと思っている
夕子,何が？
山田,お前だってこの状況が普通でないことくらい気づいているだろう。昨日まで毛嫌いしていた変態マッドサイエンティストと同棲してるこの異常性に
夕子,不思議だよな。何で今までケンちゃんの名前を死ねノートに書いたりしてたんだろ？
山田,そんなの書いてたのか
夕子,でもやっと目が覚めた///
山田,早く目を覚ましてくれ……
夕子,目は覚めてるってのに
山田,……今のお前は、俺の発明品によって洗脳されている。手違いでお前は俺の嫁だと思い込まされているんだ
夕子,まーたケンちゃんの発明の仕業か。……でも今回は許す。やっと自分に正直になれたからな///
山田,それを洗脳というんだ。……俺は幼馴染であり、唯一の友であるお前をこんな形で傷つけることはしたくないんだ
夕子,傷つかないぞ？あたしはホントにケンちゃんのことが好きなんだし。もし洗脳が解けた後のことを心配しているなら、解かなければいい
山田,……
夕子,……それともあたしに好かれると困るのか？
山田,……別に俺もお前のことを嫌っているわけではない。大事な友だと思っている。しかし夫婦にはなれない
夕子,なぜだ？
山田,俺の腹の音を聞いてくれ。お前の作ってくれたリゾットを食べた結果がこれだ
夕子,いい音色///
山田,そうだな。まるでVHSを早送りしてるみたいないい音色だな。お前と夫婦になるということは、つまりこういうことなんだ
夕子,も、もし口に合わないようなら、これから一生懸命練習する！それでもダメなのか？！
山田,……もう一つ夫婦になれない理由がある
夕子,なんだ？！あたしに問題があるなら直すから、なんでも言ってくれ！
山田,……例えばこうやって俺がPCを開くとするだろ？
夕子,うん
山田,そしてケモナー向けのアダルトサイトを開くとするだろ？
夕子,……
山田,そうするとほら、包丁を首元に突きつけられることになるんだ。これじゃ命がいくつあっても足らん
夕子,それはてめえの問題だろうが……。見なけりゃいいだけの話じゃねえのか……？
山田,ケモナーではないお前に言っても分からんと思うが、それは一般人が今後一切女の裸は見るな、豚の写真で我慢しろと言われているようなものなんだ
夕子,あたしのことを豚に例えてんのか？
山田,ぎああああああああああああ！夫の首を本気で絞める妻がどこにいる！
夕子,そもそも夫婦になれるとかなれないとかは問題じゃねえ。あたしらは既に夫婦なんだからな……。浮気したらマジで殺すぞ……
山田,じ、地獄だ……
夕子,ふー、いいお湯だった。あ、もうこんな時間か……
山田,ゲストルームはたくさんあるから、どれでも好きなのを使え。俺はもう寝る
夕子,うん
山田,じゃあおやすみ
夕子,おやすみ
山田,……
夕子,うわっ！急に止まるな！
山田,……夕子、ゲストルームはあっちだ。どれでも好きなのを使え
夕子,うん
山田,俺は自分の寝室で寝るからな
夕子,うん
山田,じゃあおやすみ
夕子,おやすみ
山田,……
夕子,わぷっ！
山田,……なんでついてくるんだ？
夕子,一緒に寝たいからだ
山田,
夕子,……？！ち、違うぞ？！別に変な意味で言ってんじゃないぞ？！ただあたしはいつも親と寝てるから、独りじゃ眠れないだけだ！///
山田,なら家に帰って親と寝ろ
夕子,そ、それは嫌だ。あたしはここで暮すと決めたんだ///
山田,１週間もすれば俺とお前の関係は元通りになれるんだぞ。ここで一線を越えてしまえば、俺はもうお前に合わせる顔がない
夕子,うわーやーらしー！一緒に寝るだけなのに一線を越えるとか！///
山田,……俺にはその気は全くない。なんせケモナーだからな。ただ洗脳されたお前が何をするか分からんから言っているだけだ
夕子,あ、あたしだってそんな気はさらさらないっつーの！ホントは自分がすけべなのを他人のせいにする気だろ！///
山田,……なら気のすむようにしろ
夕子,やった！
山田,お前はベッドを使え。俺はソファーで寝る
夕子,え？せっかく大きいベッドなんだから一緒に寝たらいいじゃん
山田,……
夕子,い、いや！やっぱ別々の方がいいわな！広く使えるし！///
山田,変なことするなよ
夕子,こっちのセリフだ！こ、こういうのはいくら夫婦と言えども、合意がなくちゃダメなんだ！近寄って来たらグーでいくからな！///
担任,皆席に着いたかー？
生徒,先生、呉羽さんがいませーん
担任,大丈夫だ。いや、まぁ全然大丈夫じゃないんだが。今日のＨＲを前倒しでやってんのは呉羽についてお前らに説明しとかなきゃならんからだ
鬼瓦,なんかこんな展開、前にもあったな……
鮫島,ま、まさか……また山田の発明のせいで僕らの呉羽さんが……！
担任,そのまさかだ。山田のせいで今度は呉羽の頭がおかしくなった
不動,山田……やはりてめえか……！
鬼瓦,今度は何しやがった……！場合によっちゃぶち殺すからなてめえ……！
はるか,で、でも先生……夕子の頭が悪いのなんて昔からなのでは……？
りつこ,この前の期末やってぶっちぎりのドベやったし……
担任,勉強面じゃない。むしろあたしは英語が得意だと豪語しているくらいだ。ホントかどうかは知らんが
生徒,じゃ、じゃあ一体どう頭がおかしくなったと……？
担任,まぁこういったことに教師が首を突っ込むのもおかしいとは思うが……いかんせん呉羽にはファンクラブがあったりと影響力がでかいからな。とりあえず入って来い
夕子,……はい
鬼瓦,？
鮫島,何も変わってないように見えるが……
不動,相変わらず今日もかわいい……///
鬼瓦,そして実にいい香りだ……///
担任,呉羽……事情を説明してやれ
夕子,先生、その前に一つ訂正させてください
担任,ん？
夕子,昨日付で……呉羽から山田に変わりました……///
鬼瓦,
鮫島,
不動,
はるか,
りつこ,
担任,……だそうだ。今日から呉羽のことは山田と呼ぶように
鬼瓦,……。……そうか、呉羽さんのご両親が離婚されたんだな
鮫島,……きっとお母さんの旧姓が山田だったんだ。そうに決まってる
不動,……かわいそうにな。よりにもよってあそこのクソ虫と同じ苗字になるなんてな
夕子,昨日、山田賢太郎くんと夫婦になって……山田夕子になりました///
鬼瓦,
鮫島,
不動,
はるか,
りつこ,
担任,……おい、座ってる方の山田。やっぱりお前の方から説明してやれ
山田,はい。皆安心してくれ。こうなってるのは呉羽夕子の頭がおかしくなってるからだ。実際には結婚なんかしていない
夕子,同棲はしてるけど……///
鬼瓦,
鮫島,
不動,
はるか,
りつこ,
山田,夕子、頼むから今は何も言わないでくれ。本当に殺される……
夕子,ケンちゃんがそう言うなら……///
山田,……簡単に説明すると、昨日俺と彼女は新しく発明した洗脳マシーンのテストをしていたんだ
生徒,ま、またオメーはとんでもないもん作りやがって……
山田,しかし英語のテキストを読めと洗脳したところ、嫁と勘違いしたらしい。おまけに洗脳マシーンが壊れてしまい、今の彼女を元に戻すのに１週間ほど要するというわけだ。説明は以上です先生
担任,皆理解できたな。とりあえずHRはここまでだ
日直,きりーつ。れーい
全員,ありがとうございましたー
鬼瓦,
鮫島,
不動,
呉羽FC,。
発明家,な、なんだお前ら。やめろ！離せ！
鬼瓦,……ちょっとトイレ行こうぜ山田
鮫島,どうしても我慢できなくてよお……
はるか,……で、今は山田君にお熱ってわけね
りつこ,昨日なんか山田君の隣になったからってうちに３千円で座席交換を持ち掛けてきたくらいやのに……
夕子,で、できれば座席を元に戻してほしいんだけど……///
りつこ,５千円で考えたる
夕子,鬼！
はるか,それよりさっきの同棲発言ってホントなの？事と次第によっちゃ、夕子のファンクラブが揃って首吊るじゃないの
夕子,う、うん……それはホント……///
山田,ううう……あいつら他人の尻の穴を何だと思ってやがる……
夕子,あ、戻って来た……。だ、大丈夫か？！何されたんだ？！ズタボロじゃないか！
山田,お前にはまだ早い……
鬼瓦,呉羽……いや山田さん！同棲してるって聞きましたけど、この蛆に何かされてませんか？！
鮫島,山田さんにもしものことがあったら……僕は……僕は……！
夕子,べ、別に何もされてないよ……///
不動,よ、よかった……！
夕子,夫婦だけど、まだ手をつないだりはしてないし……///
鬼瓦,それを聞いて安心しました……
夕子,キスもまだだし……///
鮫島,神よ……感謝します……！
夕子,一緒にお風呂に入ったりもしてない……///
不動,入ってたら今頃俺ら、首吊ってますよ
夕子,したことと言えば、ご飯食べて、一緒に寝たくらいかな……///
鬼瓦,
鮫島,
不動,
はるか,
りつこ,……ひゅう
山田,……誤解だ。本当に寝ただけだ。それだけだ……
鬼瓦,……なんかまた催してきちまったようだな
鮫島,……最近はトイレが近くなっていかん
不動,……すまんがもう一度付き合ってくれ
山田,うわあああああああ！離せええええええ！もう便所は嫌だあああああああああ！
３限・体育,柔道
山田,女子はダンスだからな……。やっとあいつから離れられた……。授業中もいちいち話しかけてきやがって……。周りから殺意を向けられるこっちの身にもなれ……
体育教師,よーし、乱取り開始！
鬼瓦,行くぞ山田……
鮫島,覚悟しろ山田……
不動,死ね山田……
呉羽FC,……。……。……。……。……。……。……。……
山田,お、お前らもういいだろ！どんだけ俺を痛めつける気だ！
鬼瓦,これは他のクラスとの合同授業だからな。まだお前に制裁を加えていない呉羽FCはごまんといるんだ……
鮫島,安心しろ……あくまでも乱取りをするだけだ……
山田,これは立派ないじめだぞ！せ、先生！助けてください！
体育教師,お、おいお前ら！集団で個をなぶるのは恥ずかしいことだぞ！
不動,一人ずつなら問題ないってことですよね……。よし、まずは俺からだ……
体育教師,不動！お前は有段者だろうが！山田みたいな初心者よりも他の奴とやれ！
不動,……
体育教師,ぐはっ？！
不動,だめですよ先生。強い人と練習しなきゃ一向に上手くはならないんですから。僕は山田くんを鍛えてあげたい一心で……
体育教師,い、一体なにがあったんだ不動……。昨日まで率先して俺の手伝いをしてくれるほど優しかったお前が……
不動,さあて山田……乱取りはあと４分ある。最高の４分間にしようじゃないか
山田,ひ、ひい……
不動,……ふんっ！
山田,ぐはっ？！
不動,ほら立てよ山田……。立ってくれなきゃ投げらんねえだろ？
山田,も、もう勘弁してくれ……！
不動,投げられるのが嫌か……？ならもっと苦しい絞め技を……
夕子,おらあああああああああああ！
生徒,あ、山田さん……。稽古場の重い扉を蹴っ飛ばしたぞ……
山田,ゆ、夕子！助けてくれ！
夕子,……てめえら、あたしの旦那に何をした……？
不動,や、やだなあ……俺たちはただ山田と乱取りしようと……
夕子,嘘をつくな……てめえら複数人でケンちゃんを囲んでいじめてただろうが……
生徒,見てたのかよ山田さん……。授業はどうしたんだよ山田さん……
不動,……確かに山田に制裁を加えようとしたのは事実です。しかしこれは全て山田さん……いえ、呉羽夕子さんを洗脳マシーンで強引に妻にするような山田に非が……
夕子,なにいじめを正当化しようとしてんだ
不動,
鬼瓦,？！
鮫島,い、一撃で柔道４段の不動を沈めたぞ……
呉羽FC,……。……。……。……。……。……。……。……
夕子,扉の隙間から見てたから誰がいじめてんのかはよく見えなかったが……今震えてんのは全員黒だな……
呉羽FC,俺は違います。俺も違います。犯人はこいつです。いや、こいつが犯人です。俺には老いた両親がいるんです。こいつの両親より俺の両親の方が老いてます。殺さないでください。どうか俺だけは見逃してください
夕子,Shutup！
呉羽FC,
山田,な、なんて嫌な音のする金的なんだ……。それからいつの間にか英語の発音が良くなったなお前……
鬼瓦,う、うわあああああああ！
鮫島,殺される！
夕子,逃げんなって
鬼瓦,
鮫島,
生徒,……
夕子,キンタマ潰されたくなかったら、お前ら全員一列に並べ……。動かれたらうまく力を調節できん……
呉羽FC,……。……。……。……。……。……。……
夕子,それからいじめに加担しなくても見て見ぬふり決め込んでた男子共……。お前らは後であたしが３０分間乱取りしてやるから覚悟しとけ……
生徒,ひい？！俺らもすか？！。あれ止めるなんて無理っすよ！だって呉羽FC、みんなガタイがいいっすもん！
夕子,……
生徒,……
夕子,ふう……乱取り終了
山田,２クラス分の男子を全員足腰立たなくするとは……
夕子,さっきトイレ連れてかれたときもいじめられてたんだろ？何されたんだ？今からこいつらに同じことしてやるぞ？
山田,いや、しなくていい……。もう充分だ……
夕子,そうか……。まぁそれはそうとして、ケンちゃんにもせめてあたしを守れるくらい強くなってほしいなぁ///
山田,そうだな。いつか筋肉増強剤でも作ってみる
夕子,そんなことしなくても、授業時間はまだ１５分ほどあるぞ。ケンちゃんも相手がいないと練習にならないだろ？
山田,俺は一人でトレーニングしてるからいい。お前は早くダンスの授業に戻れ
夕子,何言ってんだ。あたしが今から寝技を教えてやる///
山田,いいってのに！
夕子,ったく、なんであたしが職員室に呼ばれなきゃなんないんだ。いじめ問題の解決に尽力しただけだろうが
山田,授業をサボり、稽古場の扉を蹴り壊し、いじめに関わった男子１１名の睾丸を蹴り飛ばし、関係のない男子全員に巴投げをかまし、いじめの被害者に寝技と称したセクハラ攻撃をしたからだろうな
夕子,ち、違うぞ！あれはセクハラなんかじゃないからな！///
山田,ほお。なら柔道着を脱がされてトランクス１枚で逃げ回る相手を血眼で追いかけ回すこともセクハラではないと？
はるか,お、なんだい、さっそく夫婦喧嘩かい？
りつこ,聞いたで夕子。あんた男子更衣室の扉蹴っ飛ばして、男子全員の服をひっぺがし、血眼で追っかけ回して睾丸採集に勤しんだらしいな
夕子,どういう風に伝わったらそうなんのよ……
はるか,それにしても、山田君以外の男子全員が保健室に行ってるとこの教室も広く感じるなぁ。いつも夕子の周りは男子が固めてるから、こんなに伸び伸びと昼食とるのは久しぶりだわ
りつこ,ん？なんや山田君、今日は珍しくお弁当かいな
山田,欲しけりゃやるぞ
りつこ,要らんわ、そんなきったない色したマズそうなお弁当。どうせあれやろ？夕子の愛妻弁当やろ？
夕子,み、見た目はちょっと悪くても味はいいのよ！……どうしたケンちゃん？まだ一口も食べていないようだが……？
はるか,食べちゃダメだよ山田君。あたしらは中学ん時、調理実習で夕子と同じ班だったがために地獄を見たから……
りつこ,なまじ一つの班の人数が多かったうえに、職員室中の先生にまで試食させたからの……。便所が椅子取りゲーム状態になったんはあれが最初で最後や
山田,二人で仲よく排泄した強者もいたそうだな
夕子,弁当広げてんのにウンコの話なんかすんじゃねえ！ほら、アーンしろ！アーン！
りつこ,ほれ山田君、特別に卵焼きをやろう
山田,ありがたい
夕子,
りつこ,どや？うちのお母んの作る卵焼きは美味いやろ
山田,本当に美味い……。昨日からろくなもの食べてなかったから涙が出てきた……
夕子,
はるか,ちょ、ちょっとりつこ……やめなって……
りつこ,なはは！冗談やんか夕子！ただのじょ……
夕子,
山田,美味い……美味すぎる……
りつこ,……す、すまんかったの、山田君。……仲良うせえよ
山田,なぜ謝るんだ？お礼を言いたいくらいなのに……
夕子,。別に無理して美味しいと言ってもらわなくてもいいんだ……。ただ、せっかく早起きして作ったお弁当を食べてほしかっただけなんだ……
山田,痛だだだだだだだ！逆エビはやめろ！下手すりゃ死ぬ！
夕子,それをてめえは……妻のアーンを断って……あまつさえ妻の友人には応じやがって……！
山田,夕子！お前は何か勘違いしている！食事の用意をすることが必ずしも妻の仕事とは限らないだろ？！だから苦手なことを無理にすることはないんじゃないか？！
夕子,なに論点すり替えようとしてんだ！あたしは今、人の好意を踏みにじったことを咎めてんだ！
山田,木下の卵焼きに手を出したことは謝ろう！だが、それだけ俺の胃袋は追い詰められていたということだ！お前は好意の押し売りをしていたんだぞ！
夕子,……！
山田,……夫婦の形はそれぞれだ。お前のご両親こそがお前の中での夫婦のスタンダードなのかもしれんが、おじさんやおばさんとお前は違う。夫婦として、お互いが納得できる関わり方ができればそれでいいんだ
夕子,……そうだな。すまん
山田,だから別に食事を夫が作ろうが、夫がアダルトサイト見てようが、別にいいんだ
夕子,いいわけあるか。食事の件はそれで納得するとして、アダルトサイトは許さん。発覚したと同時に制裁を加える
山田,それ、今日お前がぶちのめした奴らとどう違うというんだ……
夕子,まぁ実際、あたしは妻としてはまだまだだと思う。家事はまるっきりダメだし、数学ができないから家計簿もつけられない。でも今のケンちゃんの言葉を聞いて少し気持ちが楽になった
山田,そうか……良かったな……
夕子,だから自信をもってご飯を出せるようになるまではしばらく料理を封印する。もちろんお母さんと一緒に練習はするけどな
山田,俺もそれがいいと思うぞ
夕子,ところで……あたしの料理をまずいまずいと言うくらいなんだから、あんたはさぞ美味しいのを作ってくれるんだろうな？
山田,馬鹿かお前は。何年独り暮らししてると思ってんだ。料理ぐらい５分で作ってやる
夕子,まーた大きく出やがって。ま、そう言ってくれるなら風呂掃除しながら楽しみに待ってるよ
山田,いや、風呂はもう洗ったからテレビでも見てろ。すぐに出来る
夕子,ならお言葉に甘えさせてもらおうかな
山田,出来たぞ夕子。カップうどんとサプリメントだ
夕子,
山田,どん兵衛と赤いきつねの２種類あるから、どれでも好きな方を食べていいぞ
夕子,こんな晩飯があるかああああああっ！
山田,ああっ！なんてことを！
夕子,あれだけ食材がありながらカップうどんだと……？まさかあんた、毎日こんなもん食ってたんじゃないだろうな……
山田,え、栄養のことなら問題ないぞ！ちゃんと俺の作ったサプリメントが必要最低限は補ってくれるのだ！
夕子,こんな食事ばっかしてっからそんな情けない体なんだろうが！もういい！やっぱりあたしが作る！
山田,やめろ！食材への冒涜だソレは！
夕子,なんだとこの野郎！
山田,やはり店屋物に限るな
夕子,……なんでもない日に出前頼むなんて、もったいないことしやがって
山田,俺が発明品売って稼いでる金なんだから別にいいだろ
夕子,いーや、１度贅沢を覚えたらもう元には戻れないんだ。今後はあたしが財布を預かる
山田,家計簿つけられないやつが何言ってやがる……
夕子,……ところで今度の土曜日暇だろ？あたしも部活が休みだから一緒に映画でも観に行かないか？
山田,すまんがその日は俺が楽しみにしている児童向けアニメしましまシマウマしまざぶろうの放送日だ
夕子,だから何だ。録画しとけそんなもん
山田,分かってないなお前は。見終わった直後の最高に熱い状態でケモナー仲間と語り合う、これがまたおつなんだろうが
夕子,今やってる映画はだな……
山田,聞く耳持たずかお前
夕子,あ、これなんか面白そうだな。その人を崇めよだと
山田,どこが面白そうなんだ。宗教色全開じゃないか
夕子,ネットの情報だと全国でも３か所でしか上映してないぞ！その内の１つが近所だなんて！これは観るしかないだろ！
山田,絶対ハズレだそんなもん！お？！しまざぶろうTHEMOVIEがまだやってるだと？！これは観るしかない！
夕子,あんたソレ、もう１０回は観に行ったって言ってたろ！今度の土曜はその人を崇めよで決まりだ
山田,じゃあ俺はしまざぶろうでお前はその人を崇めよを観る。それでいいな？
夕子,ダメだ。同じの観なきゃ一緒に行く意味ないだろうが
山田,じゃあお前１人で行け。俺は明日の放課後にでも観てくる
夕子,それもダメだ！今度の土曜は映画デートだ！もしすっぽかしたらギタギタにしてやる！
山田,ジャイアンリサイタルかお前！
担任,出欠をとるぞー。相沢ー
生徒,はーい
担任,石山ー
生徒,はい
担任,鬼瓦ー。……ん、鬼瓦はいないのかー？
山田,……。珍しいな、あの鬼瓦が休むなんて……
生徒,先生、鬼瓦くんはしばらく学校を休むって昨日学級のラインで言ってました
山田,……ちょっと待て、そんなグループがあるのを俺は知らんぞ？
生徒,山田さんに嫌われちゃったからもう生きていけないとも……
担任,珍しく愛されてんな山田
山田,俺じゃなくて呉羽のことでしょう。俺は元々死ぬほど嫌われてます
夕子,いじめは許せなかったけど、別にみんなのこと嫌いになったわけじゃないのに……
はるか,それに鮫島君や不動君、その他呉羽FCの人も来てないっぽいですね
担任,好きな子にキンタマ蹴られた位で情けない奴らめ……。それに引き換え、他の男子はあれだけ理不尽な暴力受けときながらよく来れたもんだ
生徒,いや、なんかあんな風にかわいい女の子に掴みかかられたの初めてで……///。痛みも今となっちゃほどよく心地よいというか……///。今呉羽FCへの加入を検討してるとこです……///
りつこ,あんたら今、最高に気持ち悪いで……
夕子,ごめーん、待ったー？///
山田,１０分の遅刻だぞ。同じ家で暮してるのに待ち合わせをする必要がどこにある
夕子,ったくロマンが無えなケンちゃんは。そこは気にするな。俺も今来たとこだくらい言えよ
山田,早くしないとしまざぶろうが始まってしまうだろうが。ほら、もうチケットは買っといてやったぞ
夕子,大丈夫だ、その人を崇めよが始まるまでにまだ３０分はあんだから
山田,あああああああ！何でチケットを２枚とも破くんだ！
夕子,あんたが不純な動機で児童向けの映画を観ようとしているからだ。……それよりも少し腹が減らないか？おにぎり作って来たから、入る前に一緒に食べよう///
山田,結構だ。やや！あんなところに美味そうなホットドッグが売ってるぞ！
夕子,何がホットドッグだ。日本人ならおにぎりだろ？
山田,やめろ！離せ！この前料理は封印するって言ったばかりだろうが！
夕子,もう４日前の話だろ！あれから毎日、部活終わりに実家に通ってお母さんと練習したんだぞ！しかもおにぎりだけを！
山田,知るか！お前の作った殺人おにぎりなんか食えるか！
夕子,殺人おにぎりかどうかは食ってから言え！
山田,食ってからじゃ遅いだろ！
夕子,どうしても食わないと言うのか！
山田,絶対に御免だ！
夕子,……そうか
山田,うわっ！
夕子,……。頑張ったのにな……
山田,お、おい……おにぎりくらいで泣くな……。女の涙は卑怯だぞ……
夕子,ううう……うえええええええええん……
山田,や、やめろ……人が見てるだろ……
通行人,お、何だ何だ？超絶かわいい子が泣いてるぞ？。あの男が泣かしたのか？
筋肉達磨,とりあえずあの男をぶちのめせばいいのか？
夕子,ひいいいいいいん……
山田,わ、分かった分かった！食べる食べる！食べればいいんだろ！
夕子,ホントだな？！
山田,うわ……嘘泣きしやがったこいつ……
夕子,な？今日のはちゃんと美味しかったろ？
山田,ほとんど奇跡に近いな……。これ絶対おばさんが作っただろ……
夕子,あたしだっての。……それにしても、同棲を始めて今日で６日目かぁ。早いもんだなぁ……
山田,もう少しすればやっと解放されるんだな……
夕子,誰が解放なんかするもんか。例え洗脳が解けたとしても、ケンちゃんの家に居座り続けてやる
山田,どうせお前の方から俺をぶん殴って離れてくだろうな
夕子,絶対にそんなことしないぞ！あたしら夫婦の愛は永遠だ！
山田,こんなのが永遠に続いてたら身が持たん。……まぁこの一週間は呉羽FCの奴らも学校に来なかったから、そこまで苦しいものでもなかったけどな
夕子,結局あれから皆学校に来なくなっちゃったな……。もうとっくに許してるってのに……
山田,気にするな。どうせ呉羽禁断症状を引き起こして学校に来るようになるだろ
夕子,……。優しいな、ケンちゃんは///
山田,そ、そんなんじゃない……。お、そろそろ映画が始まるぞ。もう座っておくか///
夕子,ふふふ、なーに照れてんだコイツめ！///
山田,ううう……結局映画が始まってすぐにトイレに駆け込むことになったとは……。味は普通でも、毒物はやはり毒物だったか……。一体何を触ってから握ったらあんなことになるんだ……。ち〇ち〇でも掻いてたのか……？。まぁ案の定クソつまらなさそうな映画だったが……ほとんど見てないからきっと夕子の奴は怒ってるぞ……。ああ……やだやだ……
劇場,
山田,……？誰もいない……？。おーい！誰かいないのか？！
映画,崇めよ……！その人を崇めよ……！
山田,映画はまだ続いている……。しかし夕子を含めて１０人はいたはずなのに……いつの間にかいなくなっているぞ……
映画,崇めよ……！その人のもとに集え……！
山田,あまりのつまらなさに皆帰ったのか……？
