コナンドイル,苦労して書いた歴史小説がちっとも売れへん・・・
出版社,本当ですか！ぜひ見せてください！。……。あの、先生
ドイル,ん、なんや？
出版社,そんなもんよりホームズの続編お願いします。
ドイル,・・・ホームズはもうええやろ。それより、この歴史小説の方がホームズの１００倍は面白いがな
出版社,その歴史小説よりホームズの方が１０００倍売れますって！。でも英国中の読者はホームズを求めてるんですよ！見てください、このファンレターの山を！。いいファンですねえ。嬉しいでしょう先生。
ワイの歴史小説,マイカ・クラーク
出版社,すみません、私も知りませんでした。
ドイル,殺すぞ！！！。どや、これがワイ渾身の歴史大河ロマン文学や！
読者,うん・・・まあ・・・。そこそこ面白い・・・かな・・・。で、ホームズの続編は？
ドイル,・・・どいつもこいつもホームズホームズか・・・
出版社,ほら～世間はやっぱりホームズを求めてるんですよ～。
読者,ホームズ読みたい！ホームズ読みたい！
出版社,ね～先生～歴史小説よりホームズ書いてくださいよ～ホームズ～
ドイル,あかんてゆーとるやろ。ラノベ書いてたら本業の歴史小説書く暇がなくなるんや。
出版社,そこをなんとか！お願いしますよ！何でもしますから！
ドイル,ほんましつこいわこいつ・・・こうなったら無理難題吹っかけて追い払ったろ。じゃあ、原稿料１０００ポンドよこせや。そしたらまた１年ホームズ連載したる。
出版社,１０００ポンド・・・？
ドイル,払えんか？ならお断・・・
出版社,払いましゅ～～～～～！！！
ドイル,！！！？？。ホンマに１０００ポンド振り込んできおった・・・。冗談で言ったのに、これでまた１年ラノベ書かんとあかんのか・・・。けど、ぶっちゃけもうトリックのネタがないわ・・・どないしよ・・・。しゃーない、トリックなしで適当に書くか・・・。まあミステリがいつの間にかファンタジーになるんはラノベじゃよくあることや。あとは回想とかでお茶を濁して・・・で、お約束のさすホム！
信者,ふああああ～～～ホームズしゅごい～～さすほむーーー！！！
ドイル,ほんまこの国の文学は終わっとるな・・・。さて、２度目の連載も来月で最後や。今度こそ、この煽情的で低俗なジュブナイルともおさらば出来る。けどストランドマガジンはどうせまた続き書けと言って来るやろ。平民どももホームズ３期を当然のように全裸待機しとる。・・・・・・そこでこのDoyleは考える・・・。続きを書きたくないのなら、書けなくしてしまえばいいのだ、と・・・。ホームズ殺すわ。君にはこの世から退場してもらうことが決定しました。で、最後の事件やが、まあチート主人公を殺すためにはチート悪役を出さんとな。犯罪界のナポレオン・・・なんと、ロンドンで発生した犯罪の半分はこの男が黒幕だったのだ・・・。暗黒街の帝王・・・その名はモリアーティ・・・・・・。ホームズ並に書いてて恥ずかしくなるな・・・なんやこの厨二全開なキャラ設定は・・・。まあええ、これで最後やし。で、二人はライヘンバッハの滝に落ちて死にましたっと・・・。厨房の黒歴史ノート並に突っ込みどころだらけになったが、もうどーでもええわ。これでホームズものはめでたく終了。ワイはもうキモオタに粘着されることなく平穏が戻ってくるんや。ほい、これが最後の事件な
信者,うぎゃあああああああああああああああああああああああああああああああああああああああああああくぁwせdrftgyふじこ！！！！？？
この間,今、時代はホームズだ!
……泣いてやるぅ･ﾟ･(ﾉД`)･ﾟ･私はあのおそろしく鋭い彼が,たとえド変人でもさ!ヘン!
ロンドンでは皇帝、四天王、１０傑,俺含む
キモオタD,世界が壊れてしまったので死にます。さようなら
ドイル,たかが小説のキャラ一人殺しただけで誹謗中傷の嵐や・・・。キモオタから逃げたくてホームズ殺したのに逆に粘着が１００倍になったわ・・・。ストランドマガジンは雑誌の売り上げが１０分の１に激減したとかで発狂しとるし・・・。抗議と復活要望の手紙で毎日ポストがあふれかえっとる・・・。貴様に与えられた選択は二つ、ホームズの生か、貴様の死だ・・・こんな怪文書ばっかりや・・・。こないだなんかワイの家の前でホームズの葬式やりおったバカがいたし・・・。あかん・・・このままイギリスにおったらキチガイに殺される・・・スイスに移住するで・・・。売れへん・・・。なんでどいつもこいつもワイの歴史小説の面白さがわからんのや！!。世間じゃ、大衆に媚びへつらった中身スッカスカの娯楽小説ばっかりもてはやされとる・・・。低能ゆとりだらけの20世紀じゃ本物は評価されへんのか・・・・・・。おっ、この評論家はなかなか分っとるやんけ。せやせや
書評,そもそも、最近の若い作家は本物の文学を知らず、くだらぬ娯楽小説しか読んだことがない
ドイル,その通りや！ほんま最近の若いもんは！
書評,ところが愚かな大衆はこの手の連中が書き散らかしたカートゥーンまがいのペーパーバックを有難がり、挙って褒めちぎる。
ドイル,全く同感！
書評,最近の若手作家諸君、諸君らにはせめて１冊でも本物の小説というものに触れてから執筆活動を行ってもらいたいものだ。
ドイル,うむ！
書評,そう、たとえば・・・
ドイル,たとえば・・・？
書評,コナン・ドイル氏のシャーロックホームズ譚のような本物の小説に！
ドイル,なんでやねん！
出版社,先生、ホームズの単行本にまた増刷がかかりました！いまや翻訳されて世界中に輸出されていますよ！
ドイル,ああ・・・ワイの黒歴史ノートが世界中に拡散されていくんか・・・
出版社,１０年経ってもホームズ人気は衰えず、もはや伝説的な存在です。推理小説マニアにとってドイル先生はもはや神です！
ドイル,やめろ・・・お前らキモオタの旗印にワイを担ぎ出すのはやめろ・・・
出版社,ま、それはそうと、次回作のことなんですが。そんなことよりホームズだ！
ドイル,何億回言ったら分かるねん！ホームズは死んだんじゃ！
出版社,復活させてくださいよ！ホームズ！ほーむじゅ！ほーむじゅ！
ドイル,４０歳超えてまた黒歴史ノート公開なんてやれるか！絶対書かんからな！
信者,ホームズたんの活躍読みたい～～～！ホームズ生き返って～～～！
出版社,ほらほら～世界中のファンもこう言ってますよ～～～ね～ね～てんて～。はっきり言って先生が本気で書いたものはつまらないんですよ。
ドイル,くぁｗせｄｆｒｔｇｙふじこｌ。とにかく、ワイはもう金輪際ホームズは書かん！キモオタ相手の商売からは足を洗ったんや！
出版社Ｂ,まあまあドイルサンそう言わずにー。話だけでも聞いてくだサーイ。
ドイル,なんやお前は
出版社Ｂ,アメリカのコリアーズ社デース。ホームズの原稿依頼に来ましたー。
ドイル,わざわざ海を渡ってご苦労なやっちゃな。けどワイはもうホームズ書かへんから。
出版社Ｂ,ワタシタチお金持ちのアメリカ人デース！ライミーなんかよりずっといい条件だしマース。
ドイル,金の問題やない、ワイの文学士としての誇りが・・・
出版社Ｂ,４０００ドル出しマース。
ドイル,・・・は？
出版社Ｂ,ホームズの短編１本につき４０００ドル出しマース。
ドイル,・・・書きます
出版社A,え？
出版社Ｂ,オウ・・・
ドイル,ホームズ復活します！
全世界,ほむほむきたあああああああああああああああああ！！！！！！！！！！！！！
信者Ａ,ぎゃあああああああああああああああ！！！！うれぴいいいいいいいいいいいいいい！！！！
信者Ｂ,ふにゃあああああああ！！！！復活くりゅ～～～～！！！！らめえええええいっちゃうううう！！！
ドイル,あと１年だけや・・・これでホームズは今度こそ最後や・・・。ワイには世界一の作家になって英国文学史に名を刻むという大望があるんや・・・寄り道はこれっきりや・・・
アガサ・クリスティ,どいつもこいつもポアロ！ポアロ！
クリスティ,私はもうあんないけ好かないベルギー人の糞ジジイなんて書きたくないのよ！
読者,ポアロおじ様をもっと出して～～～クリスティてんて～～
クリスティ,ファンレターの８割はこの内容よ・・・・・・
出版社,先生、今度の新作も素晴らしいですね！
クリスティ,ああ、そうでしょ？このトリックには結構自信があってね・・・
出版社,で、ひとつ相談なんですが・・・
クリスティ,なに？
出版社,主人公をポアロに変更できませんか？
クリスティ,くぁwせrtgyふじこ
