ミリＰ(以下Ｐ),シアター組総勢37名大型ライヴ！皆お疲れ様！
Ｐ,ん？結婚線。ほら、一本しかないってことは再婚しないってこと。よかったなエミリー
エミリー,そ、そういうことでしたか.....アハハ...
Ｐ,でもエミリーはどんな人と結婚するのかなぁ
エミリー,そ、それは///
Ｐ,エミリーと結婚する奴は幸せ者だろうなぁ....だってこんな可愛くて性格のいい嫁さんだ。羨ましい
エミリー,う、羨ましいだなんて///
佐竹美奈子,.....
ジュリア,いってぇ！？ツネつな！
Ｐ,でも逆に結婚線があって安心したよ。一生独身だったらどうしようかと。まぁ決まったわけじゃないけどな。ゆっくり運命の人を見つけていこう
エミリー,......仕掛人様、私もう運命の人を見つけています
Ｐ,嘘！？
エミリー,...しかし、私も立場をわきまえているのでその先には行きませんが、私の使命が終われば、その人に伝えるつもりです
Ｐ,そうか........俺もエミリーを応援するよ。そいつがエミリーを任せられるかどうか見てみたいしな！
エミリー,はいっ...♪
小鳥,終わりでーす
Ｐ,エミリーの夫かぁ......やばいヘコむわ.....
小鳥,さぁプロデューサーさん。落ち込んでないで次に行きますよ
Ｐ,はい....二回も当たるなんて引き運すごくないですか？
小鳥,嫌でしたか？
Ｐ,とても良かったです
小鳥,ですよね。次に行きます！
Ｐ,どゆこと....？
小鳥,星梨花ちゃんが犬のモノマネをして、プロデューサーさんに甘えます
星梨花,わたしが犬の真似をするんですか？
小鳥,はい。プロデューサーさん、いっぱい可愛がってあげてくださいね
星梨花,犬の....ではジュニオールの真似をすればいいんですね？
Ｐ,そうかな....？まぁでも演技と言えど、動物は難しいから
星梨花,わんわん！くぅ～ん♪
Ｐ,
星梨花,わん！わんっ！
Ｐ,かぁぁぁぁぁぁぁわいぃぃぃぃぃぃ！！
星梨花,わふっ！わんわん！
紗代子,破壊的な可愛さ...！
野々原茜,かまいませんわぁ
Ｐ,あぁ！....あぁ！可愛い！
星梨花,はむはむ
Ｐ,甘噛みぃぃぃぃうぃぃぃぃぃひぃやぁぁぁ↑↑↑。星梨花ぁぁぁぁ！いっぱい可愛がってあげるからなぁぁぁ！
星梨花,くぅ～ん///
Ｐ,お手！
星梨花,わん♪
Ｐ,おかわり！
星梨花,わふっ
Ｐ,おすわり！
星梨花,ふっ
Ｐ,ふせ！
星梨花,わん！
Ｐ,チンチ
福田のり子,無拍子！！
Ｐ,おぎゃぉ！？
海美,のりさんナイス！
ジュリア,あ、危なかったー...
星梨花,？
Ｐ,やだやだ！星梨花飼う！
小鳥,駄目です
Ｐ,お世話するから！散歩もいく！
小鳥,そういって全部お母さんに任せるんでしょ！？
Ｐ,やーだー！星梨花欲しいー！
小鳥,まったく.....じゃあちゃんと世話するの？
Ｐ,うん！。星梨花ぁ！今日から俺の犬に
のり子,ラリアットォォォォ！！
Ｐ,おごっ！？
海美,のりさんナイス
志保,星梨花は純粋なんです。ああいうことは教えちゃダメです
Ｐ,いやでも変な意味じゃないから
志保,その単語自体がアウトなんです
Ｐ,何がアウトなのかな？
志保,なっ....！？///
Ｐ,何でもないです
志保,と、とにかく、星梨花の扱いには十分に気を付けてください
Ｐ,申し訳ありませんでした
星梨花,あのプロデューサーさん、さっきのチン...？とはなんでしょうか？
Ｐ,それはだな
のり子,シャイニングウィザードォォォ！
Ｐ,
小鳥,お次はこの方
Ｐ,もう連続で俺とか引き運パない
のり子,やったー！プロレスだー！
Ｐ,お前さっき散々やったろ！？
小鳥,プロデューサーさんにはのり子ちゃんの練習台になってもらいます
Ｐ,マジかよ....
のり子,大丈夫、プロデューサー。手加減するから！
Ｐ,手加減無用！さっきの技の恩、全部返してやるからなぁ！。待って
のり子,コブラツイスト！
Ｐ,あががががが！？！？
のり子,ほらプロデューサーも返してこなきゃ！
Ｐ,痛い当たってる！気持ちいい！気持ちいい！
のり子,キャッ！？
Ｐ,当たってた
のり子,～～！///。四の字固め！
Ｐ,うぉぉ！？いだいいだい！あぁ嬉しい！
のり子,なんで嬉しがるの！？
Ｐ,可愛い子と密着嬉しい！
のり子,そういうこと言わないでよー！////
Ｐ,あばぁぁぁぁぁぁー！。や....やられてばっかじゃ....っ....いられ...るか！
のり子,へっ！？
Ｐ,あっ
のり子,.....
小鳥,押し倒した...
Ｐ,.........！。のり子....俺がプレゼントしたイヤリング、付けてくれたんだな...素直に嬉しい
のり子,押し倒されちゃった....プロデューサー、真剣な眼...。あの...プロデューサー...
Ｐ,ん？
のり子,皆がいるし.....それに心の準備とかその...まだ、だから...。.......待ってて？///
Ｐ,..........
のり子,....プロデューサー？
小鳥,気絶してる....
のり子,起きてプロデューサー！
Ｐ,......いたたたたたた！痛い痛い！
のり子,プロデューサー！死んじゃったかと思った
Ｐ,結構死に際までいったぞ
小鳥,タイムロスですからねー、早く次やりますよー。次はドン！
真壁瑞希,来ましたっ
小鳥,瑞希ちゃんは～白雪姫ごっこです！
全員,白雪姫ごっこ....？
美奈子,まさか！？
海美,どうしたの？
まつり,どうしたのです？
美奈子,皆....！白雪姫の内容を思い出してみて！
エミリー,えっと、お姫様が寝ててそれを小人達が心配して....あっ
志保,二人は幸せなキスをして終了
静香,かはっ......！あががっ....！
恵美,うぎぎっ...！
島原エレナ,でも、プロデューサーはキスなんてしないヨ
星梨花,しませんよね
瑞希,キス....出来るのでしょうか
Ｐ,さて、これは
小鳥,プロデューサーさんとです
Ｐ,やっぱり.....それでこれは話通りにやるんですか？
小鳥,はい、プロデューサーさんがお姫様です
Ｐ,えっ
瑞希,えっ
望月杏奈,ある意味、お姫様みたい...なもんだし...
二階堂千鶴,これは.....マズイですわ
海美,どうしたの？
まつり,どうしたのです？
千鶴,キスで目覚める白雪姫、誰もがプロデューサーを王子だと思った...でも安心した、それはキスする側のプロデューサーが立場上絶対にキスをしないと思ったから。しかしキスする側が瑞希なら！どうするかは瑞希の意志！
エミリー,それは何としてでも死守を！
まつり,姫は姫が希望するのです―――！！
小鳥,駄目です
まつり,ほっほぉぉぉぉぉぉ！！
朋花,でも瑞希ちゃんにそんな度胸は...
瑞希,ﾌﾝｽ！ﾌﾝｽ！
全員,やる気満々やんけぇ....
Ｐ,よし、なら始めようか。俺は寝てればいいんですね。まぁ瑞希ならキスなんてしないだろう
瑞希,ぱからっぱからっ、おぉ....あそこには姫が寝ているではないかー
Ｐ,あれ、瑞希演技が大根だな。普段は上手いのに。やっぱり急な演技は難しいかな
瑞希,姫がっ......姫が寝ておる.....おる...
ジュリア,顔が真っ赤だ...
瑞希,なにっ、眠りの呪い
小鳥,はい、それを解くにはキスしかないと
環,ことりが小人役なんだな
瑞希,で、ではキスを...
Ｐ,...........。ほっぺにキス...くらいだろうな...しかし緊張してきた。瑞希だから大丈夫.......。........来る....！。...........
全員,.........
Ｐ,........あれ？。瑞希は...？
小鳥,顔を隠しながら逃げちゃいました...恐らく相当恥ずかしかったんじゃないかと...
Ｐ,.......可愛い
小鳥,さぁルーレットを回します！
Ｐ,おっ、早いな
小鳥,天空橋朋花ちゃんと！
朋花,！
小鳥,プロデューサーさんが！
Ｐ,またか...
小鳥,お互いの好きなところを言いあう～！
Ｐ,これは簡単そうだな。助かった
朋花,お相手宜しくお願いしますね～♪
Ｐ,あぁ。まずは俺から。えーっとそうだな、何にでも冷静な所かな
朋花,その物足りなさそうな瞳が好きですよ～♪
Ｐ,結構面倒見のいい所！
朋花,私に怯えてるところとかたまりませんねぇ～
Ｐ,...えと、本当は優しいとか？
朋花,どうして疑問形なんですか～？優柔不断でノロマなとことか～♪
Ｐ,.........
莉緒,...プロデューサー君、完全に遊ばれちゃってるわ....
海美,朋花様には敵わないかぁ...
Ｐ,あ、あと髪型とか目とか！
朋花,そうやって逃げようとしてるのがバレバレな所とかぁ～♪
Ｐ,.........
小鳥,終わったわ.....
Ｐ,........負けてたまるか。あー、あれだ。おいていきますから～とか言いながら、ずっと俺のこと待ってるの好きだわ
朋花,！？。あっえっ....私の番ですね～。私は
Ｐ,仕事が上手くいった時に褒めたら当然です～とか言ってるクセに実はメッチャニヤけてたり
朋花,！？///そっあの....
Ｐ,俺といると本当の自分を忘れそうになるってどういう意味なの？
朋花,そ、それは...っ///
Ｐ,そういう謎めいて食えないところ......。本当に好き
朋花,
エミリー,あれ？朋花さんはどちらへ？
このみ,朋花ちゃんなら端っこで昴ちゃんのほっぺをイジってるわよ。ほら
朋花,別に私はプロデューサーさんの事が好きという訳ではなくて何というか信頼関係の延長のようなもので
昴,な、なんれおれのほっぺらつねるんらよぉ～(泣)
莉緒,相当恥ずかしかったみたいね....
静香,ですね...
未来,私が休んでる間に何があったの...
環,みーんな顔真っ赤だぞ
奈緒,倒れるわ逃げるわ....
昴,おっ、次もう始まったみたいだぜ
小鳥,百合子ちゃんには～、プロデューサーさんによる読み聞かせです！
百合子,読み聞かせってなんですか....？
小鳥,その名の通り、プロデューサーさんが百合子ちゃんに本を読み聞かせするのよ
百合子,そ、そうですか....。どうせなら....皆みたいにプロデューサーさんと近づけるものが良かったな....
小鳥,もちろん、プロデューサーさんが後ろから抱きます！
百合子,うぇ！？///
Ｐ,え！？
百合子,あっ....あっ....///
Ｐ,えっと百合子、とにかくやるしかないみたいだから、本を選んでくれるか？
百合子,はっはひ！。じゃ、これで！！
Ｐ,広辞苑！？
全員,それはズルい！！
Ｐ,と、とりあえず出来るところまで読んでみようか....
百合子,い、今私はプロデューサーさんに後ろから抱かれてまして！そしてそして手を前に回されまして！もう心臓が～～～～！！///
Ｐ,百合子スッゲェいい匂いする
百合子,へ！？///
Ｐ,あっ！？口に出てたか！？キモかったなゴメン。えっと....あ[音節]、母音の一。口を開き、舌を低く下げ、その先端を下歯の....
百合子,うぅ～....///
Ｐ,あっそうだ百合子
百合子,ひゃすっ！？
Ｐ,さっき新刊のプレゼントだけど、百合子が持ってることを想定して予めプレゼントを二つ用意してたんだ
百合子,へ....？
Ｐ,さっき席外した時、控室に取りに行ったんだ。あの時二つ渡すと皆にズルいズルい言われちゃうから。こっそり今渡しとくね。これ、本のしおり
百合子,あっ.....あっ......
Ｐ,よし、続き始めっか。あ
小鳥,はい終了ー
Ｐ,え、まだ始まったばかりなんですが
小鳥,百合子ちゃんが続行不可なので
百合子,ぷろでゅーさーしゃーん....うぇしし.....///
Ｐ,プレゼントに喜んでくれたか。良かった良かった
小鳥,続いては昴ちゃんとプロデューサーさんによるお見合いごっこです
昴,お見合いごっこ！？
Ｐ,難しそう....てかまた俺か。お見合いやったことないからわからない...
全員,未経験か....ﾎｯ
昴,あくまでごっこだし、適当に済まそうぜ。ほら、ご趣味は？とかさ
Ｐ,趣味......アイドルのプロデュースをすることです
昴,ぷふっ！それ趣味だったのかよ！
Ｐ,そうだぞ！いいじゃないか趣味が仕事で！えっと....そちらは？
昴,オレは
Ｐ,野球、だったな
昴,ん？あぁ、さすが。よくわかってるな！
Ｐ,趣味はプロデュースだぞ？当然さ！。それと、最近じゃ“女の子”になるための勉強だな
昴,ま、まぁそれは....照れるな
Ｐ,知ってるぞ？女の子の定義を皆に聞きまわってたりとか
昴,や、やめろって....恥ずかしいだろ
Ｐ,女の子になりたいって気持ちは、きっと昴を女の子にさせる。毎日頑張ってるんだろ？
昴,....なんていうか、全部お見通しだな
Ｐ,全部わかるよ。だって...。お前のプロデューサーだもん
昴,...。よ、よしっ！これでもう終わりだ！
Ｐ,待って昴
昴,な、なに？
Ｐ,さっきのプレゼント、ここで開けてみて
昴,ん？.....あぁ、別にいいけど。えっ....？
Ｐ,どんなのが好きそうか研究した結果だ
昴,こ、これって.....
Ｐ,パーティドレス。これから色々な所に出向くかもしれないんだ。これくらい必要かなって。それに俺の思ってた通り、今日も普通の服で来るだろうって
昴,ぷ、プロデューサー.....
Ｐ,今、着てもいいよ
昴,....うん！じゃ待ってて！
まつり,昴ちゃん、すっごく嬉しそうな顔だったのです...
麗花,服かぁ....いいなぁ
ロコ,ロコはリボンだったので、一緒のようなものですね！
恵美,わぁ.......すっごい綺麗....
まつり,びゅーてぃほー.....なのです....
昴,ど、どうかな...？似合ってる...？///
Ｐ,うん、似合ってる。お前は確かに男らしい。しかしそれは欠点じゃなくまたひとつの魅力だ。本質は誰よりも劣らない女の子で、だからこそ輝くものがある。これからは自分に自信をもって
昴,うん.....ありがと...やっぱプロデューサーがプロデューサーで良かったぁ.....ｸﾞｽｯ...
Ｐ,俺も昴のプロデューサーで良かった。これからもよろしくね
昴,うんっ....！
小鳥,昴ちゃん、とっても似合ってるわよ！
昴,ありがとう小鳥さん！
小鳥,プロデューサーさんがまさか服を買うとは...
Ｐ,正直超高かったとは言いにくい
小鳥,さぁ、次に行きましょうか！続いては～
Ｐ,これも俺なんですか？
小鳥,システムの故障でプロデューサーさんしか出ない可能性大です
Ｐ,何てことだ...
静香,私が...！
Ｐ,普通に髪をブラッシングすればいいんですね
小鳥,静香ちゃんは椅子に座って待っててね～
静香,は、はい！
Ｐ,妙に潔いいな？静香～、もしかして俺にブラッシングしてほしかったとか？
静香,......駄目、なんですか？
Ｐ,ぐぅ！？。い、いや、全然イイんだけど...急にデレるなよ...ドキっとしたわ
このみ,マズイわね....
周防桃子,何が？
松田亜利沙,いわゆるツンデレです！普段ツンツンしてる子が急にデレると男性がドキドキするという！
桃子,ふーん.....バッカみたい
Ｐ,えっと、クシで...
静香,...
Ｐ,あのー静香さん、動かれるとやりにくいのですが
静香,あっごっごめんなさい...
Ｐ,～♪。前々から思ってたけど、静香の髪は綺麗だなぁ
静香,えっ.....べ、別にそんな....///
Ｐ,とっても綺麗だぞ～。うどんの様に滑らかな髪...
静香,それ、褒めてるんですか？
Ｐ,褒めてる褒めてる。こう嗅ぎたくなるような
静香,さ、さすがにそれは気持ち悪いです！///
Ｐ,ごめんなさい
静香,もうっ....どうして普通に出来ないんですかっ
Ｐ,こう静香が真面目だと、少しからかいたくなるんだよ
静香,どうしてですかっ...
Ｐ,ほら、子供は好きな相手にちょっかいだしたり、からかいたくなるって
静香,えっ.....そ、それって...？///
Ｐ,好きの裏返しってやつかな。熱ゥい！？髪から熱が伝わるゥ！？。風邪か！？静香風邪なのか！？
静香,ち、ちがっ！///
Ｐ,計らせてもらうぞ！
静香,ぅいっ！？///
Ｐ,熱い熱い！！
莉緒,あれはイケメンにのみ許される行為！
未来,静香ちゃん....ゆでダコだよぉ...
Ｐ,静香は大丈夫でしたか？
小鳥,なんとか一命は取りとめました
Ｐ,そ、そんなに危険な風邪だったんですか！？
小鳥,恋の病という名の
Ｐ,コイノ...ヤマイナー......？？？
小鳥,もういいです
Ｐ,えぇ.....
ジュリア,ありゃ素だな
まつり,まつり達が苦労する理由が再確認できたのです......
このみ,本当にね...
小鳥,はーい、次です。今度は誰でしょうか～
亜利沙,！
小鳥,プロデューサーさんの好きなタイプをこっそり聞く！
亜利沙,おぉ！
Ｐ,好きなタイプかぁ...
ロコ,こっそり.....！？じゃあロコ達には教えてくれないということですか！？
小鳥,はい。他アイドル達は壁に沿っていてください
桃子,えっ
美奈子,えっ
未来,そ、そんなぁ...
歩,マジかよ....
亜利沙,それでは！ありさがプロデューサーさんの好きなタイプをいっぱい聞いちゃいますよ！
Ｐ,好きなタイプか......改めて聞かれると難しいもんだな。よし
亜利沙,さぁメモとボイスレコーダーの準備は出来てます！どうぞ！。まずは髪型から聞いてみましょう！
Ｐ,えーっとそうだな、髪は長い方がいいかな？
亜利沙,ほうほう！
Ｐ,短いのも好きだけど、どっちかっていうと女性らしさがあるから.....髪色はあんまり奇抜じゃない方がいい
亜利沙,というと？
Ｐ,黒とか茶とか、無難な色が好き
亜利沙,なるほど！
このみ,......ねぇ、会話聞こえる？
瑞希,聞こえません
このみ,わっ、瑞希ちゃん帰ってきたのね
瑞希,はい、手こずりました。とても
杏奈,.....聞きたい
亜利沙,では身長など！
Ｐ,自分より低い子の方がいいかな。なんか俺より高いと頼っちまいそうだし
亜利沙,頼られる方がいいんですか？
Ｐ,まぁ今の仕事がそんな感じだからね
亜利沙,では年下がお好き？
Ｐ,実際上でも下でもどっちでもいい
亜利沙,なるほどなるほど～！。段々プロデューサーさんの好みがわかってきました！
Ｐ,恥ずかしいなぁ
亜利沙,性格はどうですか？明るいとか暗いとか
Ｐ,どちらかというと、明るい子がいいかな！
亜利沙,ふむふむ！
Ｐ,あっ！そう考えたら俺、結構亜利沙がタイプだわ！
亜利沙,ヴぇい！？！？！？///。あっ...え！？///
Ｐ,なんか俺の好みにピッタリだったわ
亜利沙,はっっ.....。
Ｐ,亜利沙ァ―――――ッ！
全員,何ごと！？
小鳥,亜利沙ちゃんは医務室に運びました。ただの気絶です
Ｐ,う～ん...亜利沙がタイプだとかキモイこと言っちゃったからですかね...
小鳥,....せやろか
エレナ,後でアリサに聞きに行コー！
千鶴,でもタダでは教えてくれないと思いますわよ
エレナ,問題ないヨ。フウカの着替え写真あげれば教えてくれるハズ！
豊川風花,な！？なんでそんな物持ってるの～！///
木下ひなた,そろそろ来てもいいと思うべなぁ
小鳥,というわけで次はひなたちゃんであ～んです！
Ｐ,無難なのが来ましたね。相手は
小鳥,もちろん
Ｐ,俺ですか....
ひなた,プロデューサー、よろしくねぇ
Ｐ,恋人まがいな事だけど、今日は許してね
ひなた,かまわんよぉ
Ｐ,よし、それじゃあこのパフェをひなたに食べさせればいいんですね？よし、ひなた、あ～ん
ひなた,あ～ん
Ｐ,美味しい？
ひなた,ふわっ....結構甘いんだねぇ。でも美味しいよぉ。もう一口いいかい？
Ｐ,おう、どんどん食わしてやるからな。あ～ん
ひなた,ん～っ！
Ｐ,美味しそうにたべるなぁひなたは
ひなた,プロデューサーが食べさせてくれるから余計に美味しいんだわぁ
Ｐ,そ、そうか？
ロコ,最初の方は親子に見えましたが、今は恋人同士に見えるのです
麗花,私もあ～んされたいなぁ
全員,全然羨ましくなんかないし....
Ｐ,ひなたは田舎育ちだからこういうの苦手そうだけど、ケーキは好きだもんな
ひなた,うん、プロデューサーが誕生日にくれたチョコレートのケーキ、甘くて美味しかったわぁ。また食べたいねぇ
Ｐ,いくらでも買ってきてやるからな。あ～ん
ひなた,あ～ん......美味しいなぁ
Ｐ,ひなた、今度グルメリポートの仕事もやってみようか？
ひなた,グルメ？あたしに務まるかなぁ
Ｐ,問題ない。ひなたは美味しそうに食べるから視聴者の食欲をそそると思う。実際俺も見てたら腹減ってきたし
ひなた,じゃあ食べるかい？あーん
Ｐ,気を使わせちゃって悪いな。あーん。うん！美味い美味い
ひなた,.......プロデューサー
Ｐ,ん？
ひなた,間接キス、だねぇ...？///
Ｐ,ﾌﾞﾌｫ！。ごめんひなた！何も考えてなくて！
