湊友希那,今日の練習はこんなものかしらね
麻弥,ジブンも日菜さんには振り回さっぱなしです。あの三人は気が合うかもしれませんね
紗夜,日菜がいつもお世話になってます……
モカ,そういえば紗夜さん、つぐが今度遊びに行きたいって言ってたんで誘ってあげてくださーい
紗夜,そうですね。たまには私からも誘わなければ……。必ず連絡しますね
モカ,お願いしますー
麻弥,いやーなんだかんだ楽しいですね！
有咲,こんなに落ち着いて話せるのも久しぶりな気がします！
モカ,……あれ？
紗夜,どうしたんですか青葉さん
モカ,なんか忘れてるようなー
松原花音,わ、私CANNONというものですが……
紗夜有咲モカ麻弥,
花音,
日菜,リサちー
リサ,なに？
日菜,帰ろっか
リサ,そうだね
【おまけ,廃課金兵花音
花音,すごい偶然だったね……。びっくりしたよ……
有咲,まさかこんなことになるとは思はないですもんね
モカ,てゆーか一つだけ花音先輩に聞きたいことがあるんですけどー
花音,え、えっとなにかなモカちゃん
モカ,花音先輩そうとう課金してますよねー？
麻弥,聞きにくいけど一番聞きたかったことを……！
紗夜,さすがね……！
花音,そそそそそそそんなことないよ！？
有咲,侍はかなり上位のジョブですからね……
紗夜,条件は最上級難度といってもいいでしょうし……
麻弥,動揺しすぎですよ花音さん……
モカ,いやいや責めてるわけではなくてこういうのにハマるの意外だなーって思ったんでー
麻弥,まあたしかに普段は虫も殺さないような性格ですもんね
花音,そ、その…………
紗夜,やはりなにか理由があるんですね
花音,自分と敵のレベル差があると何もできずに敵が沈むのが快感で……
有咲モカ麻弥,
有咲,もしかして……
モカ,花音先輩って……
麻弥,潜在的ドSかもしれない……
紗夜,す、少し、わかるかもしれないです……
有咲モカ麻弥,！？！？！？？！？？！？
