愛野渚,ハッピークリスマス、プロデューサーッ！
唯,言質は取ったんだから、やっぱなしはダメだよ？聖夜の街へ、レッツゴー☆
Ｐ,ただいま帰りまし――な、なんだこれ？。……大きな、靴下？しかも、なにか入ってる
イブ・サンタクロース,メリークリスマス、プロデューサー！
Ｐ,ぎゃ、なにをしてるんだ、イブ！？
イブ,プロデューサーに、サプライズですよ～
Ｐ,いや、確かに驚いたが
イブ,うふふ、準備したかいがありました～☆
Ｐ,というか、サンタの仕事はいいのか
イブ,ブリッツェンに任せちゃいました～。心配ないですよ
Ｐ,心配しかないんだけど
イブ,あ、プロデューサーにプレゼントもあるんですぅ。受け取ってくれますか～
Ｐ,お、それは素直に嬉しいな！ありがとう、もちろん貰うよ
イブ,はい、どうぞ～！
Ｐ,ん？
イブ,クリスマスプレゼントは、靴下に入ってるものですから……私自身がプレゼントです～。受け取ってくれますよね、プロデューサー？
赤城みりあ,クリスマス、クリスマス、プロデューサーとのクリスマスっ♪
Ｐ,まあ、仕事なんだけどな
みりあ,お仕事でも、みりあはプロデューサーと一緒だから、嬉しいの！
Ｐ,はっはっは、俺もみりあと一緒で、嬉しいぞ
みりあ,それにね、ママがＰさんと一緒なら、ちょっとだけ遅くに帰っても良いって！
Ｐ,そうなのか！それじゃあ、お仕事が終わったら、プレゼントでも買うか
みりあ,本当に！？えへへ、楽しみだなっー♪
Ｐ,みりあは良い子だからな。それくらいは当然だ
みりあ,みりあは良い子……なら、プロデューサーになでなでしてほしいなーって
Ｐ,ああ、お安い御用だ
みりあ,やった！クリスマスって良い日だね、プロデューサー！えへっ♪
市原仁奈,Ｐ、Ｐ！見やがってください！
Ｐ,どうした、仁奈――いや、トナカイ
仁奈,そうでごぜーます。今、仁奈はトナカイの気持ちになってるです！
Ｐ,そこはサンタじゃないのか
仁奈,仁奈は、サンタさんをサポートしてやるですよ
Ｐ,うむ、仁奈は偉いな
仁奈,それで、サンタさんに良い子だとアピールするです
Ｐ,意外と打算的だな……
仁奈,だから、Ｐ、サンタさんのところへ連れて行ってほしーですよ
Ｐ,そうか、それじゃあ電話してみるか
仁奈,Ｐはサンタさんの電話番号を、知っていやがりますか！
Ｐ,当然だ。大人だからな。ちょっと待っててくれ。あ、市原さんの……ええ、はい――仁奈、ちょっと待っていれば、事務所に来てくれるぞ
仁奈,おお、本当でごぜーますか！
Ｐ,ああ、サンタさんが、すぐに行くってさ
仁奈,楽しいクリスマスに、なりそうでやがりますね！
Ｐ,そうだな。それまでは、こたつにいるサンタと遊んでいようか
仁奈,イブお姉ちゃんは、サンタさんなのに、事務所にいるですか……
衛藤美紗希,手帳にはお仕事の予定……でもぉ、これってある種のデートですよね♪
Ｐ,いや、仕事だ
美紗希,えー、男女で二人っきりなんですよぉ？しかも、クリスマス！
Ｐ,それはそうだけど
美紗希,クリスマスに二人で、なんてぇ、携帯小説じゃ定番ですしぃ♪
Ｐ,二人で仕事に行くのに、定番もなにもないだろう
美紗希,もぉー、さっきから、水差してばかりじゃないですかぁ
Ｐ,仕事に行くのに、デート気分でいられちゃ、困る
美紗希,なら、お仕事が終わったら、デート気分でも良いですよねぇ？
Ｐ,ん、まあ、それなら……
美紗希,それじゃあ、手帳に予定を入れときます～♪
Ｐ,……飯を食べに行くだけだぞ
美紗希,お店に行くまでにぃ、イルミネーションとかにも寄っちゃうかも？
Ｐ,――あー、もう、分かった。デートしようじゃないか！ただ、仕事にも気合を入れてくれよ？
美紗希,もちろん！お仕事大好きですもん♪
海老原菜帆,ケーキ、とっても美味しいですね～。Ｐさん
Ｐ,ああ、甘くて美味いな。それにしても、悪いな。わざわざ差し入れで
菜帆,Ｐさんと私の仲じゃないですか。気にしないでください～
Ｐ,そのお礼というわけでもないが、これ、クリスマスプレゼントだ
菜帆,わ、ありがとうございます～。開けて良いですか
Ｐ,ああ、いいぞ
菜帆,――甘そうな和菓子……嬉しいです、Ｐさん
Ｐ,そうか、よかった。喜んでくれて、なによりだ
菜帆,でも、私はＰさんにプレゼントを用意してなくて～
Ｐ,それこそ、気にしないでくれ。俺だって、明日渡す予定だったし
菜帆,ダメですよ～。クリスマスは今日なんですから
Ｐ,……菜帆、なんで距離を詰めてくるんだ？
菜帆,ねえ、Ｐさん。欲しいものはありませんか～。今、ここで、私が用意できるようなもので
Ｐ,お、おい？
菜帆,例えば、とっても柔らかくて、プニプニして、ふわふわしてるような～。ね、Ｐさん？欲しいって、言ってくれますよね～？
及川雫,アイドルになる前のクリスマスは、牛さんと一緒だったんですよー
Ｐ,農家ってのは、クリスマスまで大変なんだなぁ
雫,大変ですけど、牛さんと過ごせるのは、とっても幸せですから
Ｐ,はっはっは、なら、牛の代役を務めれるよう、頑張るよ
雫,本当ですかー。……あ、それなら、お願いが一つあるんですけど
Ｐ,おう、なんでも言ってみろ。クリスマスだし、何でもやるぞ
雫,Ｐさんが、牛さんの格好をしてるのを、見たいですー
Ｐ,え
雫,前に私が着た衣装で、牛さんとおそろいになれる物がありましたよね？
Ｐ,雫、仕事が終わったら、一緒に飯でも食べようか
雫,わ、本当ですかー。行きましょ、行きましょー！
Ｐ,クリスマスだし、俺もちょっと奮発しちゃおうかなぁ
雫,楽しみですねー。ご飯も、その後の牛さんもー
Ｐ,……そうだな
片桐早苗,クリスマスを祝って、乾杯っ！
Ｐ,乾杯！……クリスマスなのに、事務所で飲むんですか
早苗,クリスマスって、めでたいでしょ。めでたいなら、飲むしかないじゃない♪
Ｐ,めでたくなくても、飲んでるような
早苗,なによ、Ｐ君はセクシーなお姉さんのお酌より、若い子とイチャコラしたいわけ？
Ｐ,めっそうもないですよ。早苗さんとクリスマスを過ごせるなんて、俺は幸せ者だ！
早苗,なんか釈然としないけど、今日くらいは許してあげるっ♪
Ｐ,いつも許してほしいです
早苗,そしたら、Ｐ君、調子に乗るじゃない。……今だって、指摘しないのをいいことに、私の際どい部分を舐めるように
Ｐ,見てません！
早苗,もう、冗談だってばぁ――あ、もしかして、本当に見てたとか
Ｐ,み、見てないですよ。もう酔ってるんじゃないですか
早苗,確かに酔ってきたかも。体もポカポカするし、ちょっと一枚脱いじゃったり……
Ｐ,ああ、もう、からかわないでくださいよっ
早苗,初々しいわねー。オトナの時間は、まだまだこれからよ？うふっ♪
北川真尋,Ｐさん、おっはー！差し入れ持ってきたよ
Ｐ,真尋か。ありがとう――ん、なんだそれ
真尋,なにって、見たら分かるでしょ。フライドチキン！
Ｐ,それは分かる。問題は量だ、量！
真尋,ありゃ、やっぱり買い過ぎだった？
Ｐ,俺とお前で食べるとしても、両手に提げるほどは無理だろう
真尋,まあ、いいじゃん。あ、シャンメリーもあるよ？乾杯しよ、乾杯！
Ｐ,用意周到だな。というか、こんなに飲み食いしたら、太るぞ
真尋,どうせ走って消費するし、大丈夫だよー！ほらほら、グラス持って
Ｐ,はいはい
真尋,テンション低いなぁ。クリスマスなんだから、上げてかなきゃ！
Ｐ,……それもそうだな。それじゃあ、クリスマスを祝って
真尋,乾杯！
Ｐ,乾杯！
真尋,よーし、あとはチキンノルマを消化するだけだね！
Ｐ,やっぱりテンション下がってきたわ
喜多日菜子,むふふ、クリスマスの夜、Ｐさんと日菜子は事務所で二人っきり……これは何かが
Ｐ,起こらない
日菜子,分かりませんよぉ。日菜子の妄想では、我慢の利かなくなったＰさん、いや、王子様が
Ｐ,こんな雰囲気のない状況で、なにを我慢しろと言うんだ
日菜子,なんでしょうねぇ？Ｐさんはなにを妄想したんでしょうか～
Ｐ,……よし、日菜子。外に出るぞ
日菜子,クリスマスデートですか～。むふふ、とうとうＰさんも、その気になってくれましたねぇ
Ｐ,ここにいたら、お前が妄想を吐き散らかすからだ！ほら、さっさと行くぞ
日菜子,むふふ、イルミネーション……モミの木の下……二人は……
Ｐ,いつまでそうやってるつもりだ！
日菜子,Ｐさんがその気になってくれるまで、ですね～
Ｐ,妄想をやめたら、その気になれるだろうさ
日菜子,それじゃあ、今日だけは、日菜子の王子様になってくれますか
Ｐ,……ひ、日菜子？
日菜子,――むふふ、行きましょうかぁ～
Ｐ,むぐぐ、ああ、行くぞ！その気になんて、なってたまるかぁ！
日菜子,いけずですねぇ、Ｐさんは。むふふ……
喜多見柚,出会ったときと同じだねー
Ｐ,クリスマスのことか
柚,そうそう。運命の聖夜の奇跡とも言う！
Ｐ,語呂が悪いし、大げさじゃないか
柚,それなら、Ｐサンはアタシと出会ったの、運命じゃないって？
Ｐ,それは、あー……運命と思いたいな
柚,なら運命なんだよ♪
Ｐ,ノリの軽い運命だなぁ
柚,ノリは軽くても、私には重要なんだよ？大事な人と出会えたんだもん！
Ｐ,はっはっは、嬉しいねぇ。俺も、柚は大事だぞ
柚,両思いだねー。……今年の聖夜は、どんな運命が待ってるんだろう？
Ｐ,また奇跡が起きるのか
柚,Ｐサンと会えたこと以上の奇跡なんて、そうは起きないと思うけどね。へへっ！
木村夏樹,クリスマスなのに、わざわざ来てくれてありがとな。Ｐさん！
Ｐ,どうせ暇だったし、構わないよ。しかし、意外だな。てっきり夏樹は、李衣菜と過ごすものだとばっかり
夏樹,そう思ってたんだけど、だりーが突然予定が出来たらしくてさ
Ｐ,李衣菜にねぇ
夏樹,色々準備してたから、無駄にしたくなかったんだ。ごめんな、Ｐさん。代わりみたいに……
Ｐ,そうだな、ならお詫びに、一曲聞かせてもらえるか
夏樹,一曲……ああ、分かったぜ！最高に熱い曲を聴かせてみせるよ
Ｐ,クリスマスに、夏樹のミニライブを独占できるんだ。李衣菜に礼を言わなきゃな
夏樹,ははっ、そうだな。李衣菜も来ればよかったのにな
小関麗奈,Ｐ、今日はクリスマスねッ！
Ｐ,そうだな。……すまんな、クリスマスに仕事を入れたりして
麗奈,べ、別に責めてるわけじゃないわよ――じゃなくて、これ、プレゼントよ
Ｐ,おお、あのレイナサマからのプレゼントとは
麗奈,それも、レイナサマ手作りのプレゼントよ。感謝しなさい！
Ｐ,手作り！ありがとな、麗奈
麗奈,礼なら開けてから言いなさいよ。……ふっふっふ
Ｐ,それもそうだな。それじゃあ――
麗奈,アーッハッハッハ！引っかか
Ｐ,すごいな！ホールケーキじゃないか！
麗奈,え
Ｐ,美味しそうだなぁ！仕事が終わったら、一緒に食べような
麗奈,そ、そうね。アタシが作ったんだもの。アタシも食べるに決まってるわッ！。――おかしいわね……最初にびっくり箱を渡してから、ケーキを渡すはずだったのに
Ｐ,そんな計画を立ててたのか……
小松伊吹,良い映画だったね、Ｐ
Ｐ,クリスマスにぴったりの、恋愛映画だったな。ちょっとこそばゆいが
伊吹,あんな風になれたら良いなー。楽しそうだし、幸せそうだしっ
Ｐ,そのうち、できるんじゃないか
伊吹,ふーん……い、一緒に？
Ｐ,なに？
伊吹,あ、いや、なんでもないよっ！それよりさ、クリスマスなのに、Ｐも暇だよね
Ｐ,それを言うなら、伊吹もだろう。友達とも遊ばずに……
伊吹,だって、みんな予定があるんだもん。嫌になっちゃうよ！
Ｐ,お、俺だって、みんな予定があるって言うから
伊吹,へー、そうなんだー
Ｐ,……見栄を張りました
伊吹,だよねっ♪そんなかわいそうなＰとは、アタシが一緒にいてあげる！
Ｐ,はいはい、ありがたいよ
伊吹,それじゃ、次はダンスクラブにでも行こっか！聖夜を明かすような、情熱的なダンス、見せてあげるねっ！
冴島清美,はいはーい、注目！
Ｐ,なんの騒ぎだ、清美
清美,よくぞ聞いてくれました！プロデューサー、今日はクリスマスです
Ｐ,そうだな。俺たちは仕事だが
清美,そう、その仕事が、なくなってしまうかもしれません！
Ｐ,な、なに！？
清美,クリスマスという行事は、アイドルたちの風紀を大きく乱す行事！今日、なにかあれば、すぐにでも仕事がなくなるでしょう
Ｐ,まあ、確かにそうかもしれないな
清美,そうならないためにも、私たち風紀委員が、見回りを強化しなければならないんです
Ｐ,……そうだな。みんなにも、あまりハメを外さないよう、言っておくか
清美,それだけでは足りませんよ！
Ｐ,そ、そうか。それじゃあ、なにをするんだ？
清美,仕事が終わり次第、ふ、二人で街を見回りに行きましょう！
Ｐ,なあ、清美。それ
清美,ショッピングモールや、レストランなんかが怪しいですよね！ルートに入れておきます
Ｐ,あー、うん、そうだな。そうと決まれば、早くお仕事を済ませなきゃな
清美,そうです、お仕事が済んだら、超☆デートですよ！
Ｐ,……今、デートって
清美,い、言ってません！
沢田麻里菜,クリスマスの海って、どんなものかしら
Ｐ,はい？
麻里菜,Ｐくんは気にならない？クリスマスの海
Ｐ,見たことはないですけど、いつもと変わらないんじゃないですか
麻里菜,もう、情緒がないわね！お姉さんがそう言ってるんだから、見に行きましょうか、くらいは言わないと
Ｐ,え、ああ、誘ってくれてたんですか
麻里菜,そうよ。せっかく会いにきたのに、Ｐくんったら、ずっとお仕事してるんだもの
Ｐ,だって、仕事ですし
麻里菜,なら、終わったら、行きましょうか
Ｐ,ぜひとも。クリスマスに一人は、ずいぶんと寂しいので
麻里菜,決まりね。うふっ、海だけじゃ済まないかもね！
Ｐ,……手はだしませんからね
麻里菜,どうかしら。クリスマスは、異性が魅力的に映る日だから
Ｐ,クリスマスじゃなくても、麻里菜さんは魅力的ですよ
麻里菜,あら、口説かれちゃった！仕事終わり、楽しみにしてるからね♪
首藤葵,プロデューサー、鍋の具合はどうかなー？
Ｐ,悪くないんじゃないか
葵,沸騰しとるかどうかを、聞いとるの！
Ｐ,あ、そうなの。少し泡だってきたな
葵,それじゃあ、弱火にしてから蓋を閉めて欲しいっちゃ
Ｐ,分かった。……なあ、もっと簡単なもので良いんだぞ？カップラーメンとか
葵,クリスマスに、なにを言っちょるとね。今日くらい、ご馳走させんさい！
Ｐ,けど、葵の帰りも遅くなるし
葵,プロデューサーが送ってくれれば、問題ないっちゃ
Ｐ,それはそうだけど
葵,それに、あたしだって今日くらいは、だ、大事な人といたいし……
Ｐ,はっはっは、葵はおませさんだなぁ
葵,ませとるだけかは、今日分かるっちゃ
Ｐ,え
葵,いっぱいおもてなしするから、覚悟しといてね、プロデューサー？
城ヶ崎美嘉,さっぱり進まないねー
Ｐ,先方に連絡はしてあるが、こうも渋滞が酷いとはなぁ
美嘉,ま、仕方ないよ。二人きりのクリスマスを、満喫しちゃおっか♪
Ｐ,狭い車内で、なにを満喫できるんだか
美嘉,色々あるっしょー★……あ、プロデューサーが考えてるような、エロいことじゃないよ？
Ｐ,考えてないやい！――おっと、少し進んだな
美嘉,この分だと、まだまだ時間がかかりそうだね
Ｐ,せっかくのクリスマスなのに、なんかすまんな
美嘉,お互い様でしょっ！それに、ドライブデートみたいで、悪くないし★
Ｐ,それにしては、雰囲気が足りないけど
美嘉,うん、出して良いのー？
Ｐ,出せるのか
美嘉,……プロデューサーしだい、かな
Ｐ,じゃあいいや
美嘉,なにそれ、ノリが悪い！
Ｐ,ノリで出されてたまるか！
城ヶ崎莉嘉,今年はブリッチャンもいないんだねー
Ｐ,あいつなら、イブと一緒にコタツのとりこになってるぞ
莉嘉,Ｐくんとクリスマスデートにも行けないし！
Ｐ,Ｐくんならコタツで
莉嘉,ここにいるでしょっ！もう、適当な返事ばっかりするんだから
Ｐ,そうへそを曲げるんじゃない。仕事が終わったら、少しくらいは付き合ってやるから
莉嘉,本当！？やったー！Ｐくんとクリスマスデートだー☆
Ｐ,門限があるから、本当に少しだけどな
莉嘉,えー、クリスマスだよ？ちょっとくらい大丈夫だってば
Ｐ,クリスマスだから、余計にダメだっての
莉嘉,ちぇっ、Ｐくんのイジワル！――あ、でも、プレゼントはあるんだよね？
Ｐ,……も、もちろんだ
莉嘉,だよねっ☆えへへ、楽しみだなー♪
Ｐ,そ、そんなに良いものじゃないかもよ？
莉嘉,とか言って、Ｐくんのことだから、とっておきを用意してるんでしょ！
Ｐ,え、いや
莉嘉,よーっし、そうと分かれば、今日のお仕事はバリバリやっちゃうよっ☆
Ｐ,……どうしよ
杉坂海,おはようございますっ！Ｐさん、いるー？
Ｐ,おう、いるぞ。どうした、海
海,どうしたって、クリスマスなんだから、Ｐさんにプレゼントをあげにきたのさ
Ｐ,本当か！わざわざありがとうな
海,包み方が分からなかったから、そのままだけど……はいっ
Ｐ,おお、マフラーか。それも手編みの
海,男の人が欲しいものとか、思いつかなかったんだ。えっと、どうかな？
Ｐ,嬉しいぞ、すごく嬉しい！
海,そっか、良かった！……まだ、仕事なの？
Ｐ,いや、ちょうど終わったところなんだ。――海、これから暇か
海,悲しいことに、暇なんだよね。実家だったら、家族で過ごすんだけど
Ｐ,それなら、一緒に飯でも食べないか
海,……ウチも一応女だし、クリスマスに誘われたら、期待するよ？
Ｐ,アホ、飯を食べるだけだ
海,もしかしたら、熱い夜になっちゃうかも？へへっ！
Ｐ,なってたまるかっ！
仙崎恵磨,うおぉー、スゲー！イルミネーションがキラッキラしてるよ！
Ｐ,凄いだろ、凄いだろ？いやぁ、良い場所を探したかいがあるよ
恵磨,サンキュー、プロデューサー！クリスマスに、こんなに女の子っぽいところ、来れるとは思わなかった！
Ｐ,俺も、恵磨とここに来れるとは、思ってなかったなぁ
恵磨,休みが被ってて、良かったね！
Ｐ,まったくだ！……そうだ、近くに商店街があるんだ。ついでだし、そこでプレゼントも買ってやるよ
恵磨,マジで！？っしゃー！プロデューサーとショッピング、テンション上がってきたぁー！
Ｐ,こ、これ以上に上がるんだな
恵磨,もちろん！……もしかして、声が大き過ぎた？でも、嬉しくてさっ！
Ｐ,まあ、いいだろう。クリスマスくらい、みんな大目に見てくれるさ。ただ、ファンに見つからないようにな
恵磨,うん、気をつける！――あ、プロデューサー、ほら、あそこ！あそこ行こうよ！
Ｐ,……ほ、本当に気をつけてるのか
相馬夏美,サンタの衣装とか、着てみたいわね
Ｐ,ちひろさんみたいな？
夏美,そうそう、そういう感じ！Ｐさんが思わず見ちゃうような、セクシーなのをね♪
Ｐ,まるで俺が、スケベのように
夏美,違うの？Ｐさんにだったら、私は気にしないのになー
Ｐ,否定はしません
夏美,うふふ、正直者には、クリスマスデートをプレゼント！
Ｐ,サンタ衣装で？
夏美,してほしいの？
Ｐ,……まさか！でも、仕事を早くに終わらす、理由ができましたよ
夏美,サンタ衣装が、そんなに好きなの！
Ｐ,違います。夏美さんとの――あー、いや、言わせないでくださいよ
夏美,言ってもいいのよ？そしたら、サンタ以外の衣装だって、ね♪
ナターリア,プロデューサー、大丈夫カ。疲れてるなら、今度でも良いヨ？
Ｐ,心配ないさ。ちょっと事務で時間がかかっただけだからな
ナターリア,そっか……でも、良かった。今年のクリスマスも、プロデューサーといたいと思ってたからナ！
Ｐ,ああ、俺も思ってたぞ！
ナターリア,ん？プロデューサーもプロデューサーといたいと思ってたノカ
Ｐ,いやいや、ナターリアといたいんだよ
ナターリア,そっか、そっかー♪
Ｐ,それじゃあ、寿司でも食べに行くか
ナターリア,おお、スシ！高いヤツ、食べていいノ？
Ｐ,もちろんだ！……回る寿司だけどな
ナターリア,ナターリア、気にしないヨ！プロデューサーと食べれるなら、それでイイヤ♪
並木芽衣子,クリスマスに旅行って、素敵だよねっ！
Ｐ,フィンランドにでも行くのか
芽衣子,イブちゃんなら、案内してくれるかも？
Ｐ,どうだろうな、日本で追い剥ぎに遭う奴だし……
芽衣子,そ、そんなにスリリングなのは、怖いかな
Ｐ,というわけで、外国はやめて、近場で済ませようじゃないか
芽衣子,近場かー……、クリスマスに巡るとしたら、やっぱりイルミネーションとかかな♪
Ｐ,ふむ、イルミネーションか。他には？
芽衣子,他？そうだねー、ショッピングとか！旅行って感じじゃないけどねっ
Ｐ,……それじゃあ、仕事が終わったら、そこら辺を回ってみるか
芽衣子,え、二人で？
Ｐ,あ、いや、嫌なら別に
芽衣子,嫌じゃないよ！今からワクワクしてきちゃう♪
南条光,次で最後のお仕事だねっ
Ｐ,そうだな、光。……なあ、クリスマスなのに、こんなに仕事を入れて、良かったのか
光,もちろん。クリスマスにも、アタシの活躍を求めてる人は、たくさんいるから！
Ｐ,それはそうだけど、家族と一緒に過ごしたりとか
光,家族とは、仕事が終わってからでも、過ごせるよ。でも、ファンはアタシと過ごせないんだ
Ｐ,……光は、ヒーローだもんな
光,そう、アタシはアイドルでヒーローなんだ。求めてくれる人には、手を差し伸べなきゃね！。――それに、アタシはＰとだって一緒にいたいしさっ
Ｐ,そっか、そっか。それじゃあ、気合を入れて、お仕事をするか！
光,ああ、クリスマスを明るく照らす、アイドルヒーローの登場だね！
難波笑美,Ｐはん、Ｐはん！このままやとまずいで！
Ｐ,なんだ、なにがまずいんだ？
笑美,笑いがとれへんくなってしまうの
Ｐ,えっと、クリスマスパーティーのことか
笑美,せやせや。ちらっと敵情視察をしてきたんやけど、敵は恐ろしいもんを用意しとったんや！
Ｐ,……ちなみに、敵って？
笑美,鈴帆っちにきまっとるやないの。なにを今さら言うとんのよ
Ｐ,決まってるのか
笑美,ともかく、このままやと、みんなの笑い収めが、鈴帆っちに持ってかれてしまうんや！
Ｐ,そうか、残念だったな
笑美,なにを諦めてんねん！
Ｐ,いや、俺にどうしろって言うんだよ
笑美,よくぞ訊いてくれましたー！ウチ一人だと、鈴帆っちに負けてまう。けど、二人なら？
Ｐ,心中できる
笑美,スベる前提で話すなや！二人なら、爆笑間違いなしやねん！
Ｐ,もしかして、その二人に俺が入ってるの？
笑美,よく分かってるやないの。もう時間も惜しいし、はよネタ合わせしよ？
Ｐ,どんなネタなんだ？
笑美,まず、Ｐはんが食い倒れ人形の衣装を着て
Ｐ,どうも、ありがとうございましたー
笑美,オチてへん、オチてへんよ！？あ、こら、ほんまにどっか行くな！待ってー！
浜川愛結奈,街中がキラキラして、すごくキレイね……
Ｐ,そうだな。クリスマスは、街が着飾る日だから
愛結奈,なら、その街と比べて、ワタシはどうかしら？
Ｐ,もちろん、引けをとらないぞ。愛結奈もキレイだ
愛結奈,……街よりも、とは言ってくれないのね
Ｐ,度合いが違うんだよ。街のそれは、つい目が惹かれるキレイさで、愛結奈のはじっと見ていたいキレイさだ
愛結奈,ふふっ、なにそれ？でも、見ていたいなら、見てていいのよ
Ｐ,ありがたい許可だな
愛結奈,許可したからには、見てくれなきゃ、嫌だからね？
Ｐ,ああ、今日は目をそらせないな
愛結奈,それじゃあ、いつも以上にオトナなワタシを、見せつけてあげる！
浜口あやめ,Ｐ殿、大変です。空が雪模様となってまいりました！
Ｐ,天気予報みたいな話し方だな
あやめ,あやめはいつも通りですよ！？
Ｐ,あー、それで、雪が降ってきたって？
あやめ,はい。傘なしでは、外に出ることもままならないほどで
Ｐ,ううむ、困ったな。今日は傘を持ってきてないぞ
あやめ,安心してください、Ｐ殿。あやめは正宗を持っております！
Ｐ,お、本当か！
あやめ,ええ、正宗の下で、一緒に帰りましょう
Ｐ,それなら、ついでだしどこかに寄るか。今日はクリスマスだしな！
あやめ,それは良い考えですね！行きましょう、行きましょう！。――それでは、正宗を……あれ？
Ｐ,……タクシー、呼ぶか
あやめ,……そうですね
日野茜,どこもかしこも、人でいっぱいですね！プロデューサー！
Ｐ,クリスマスだからなぁ
茜,誰もかれも幸せそうで、とっても良い光景だと思います！
Ｐ,俺も、茜といれて幸せだな
茜,はい！私もプロデューサーと一緒で、幸せです！ところで、お腹が減ってきましたね！
Ｐ,そうか、そうか。それじゃあ、早く食べに行こうか
茜,私、ご飯が良いです！――あ、ご飯が食べれる場所が良いですっ！
Ｐ,たぶん、どこでも食べれると思うけど
茜,それなら、あっちに行きましょう！なんだか、みんなあっちに行ってますし！
Ｐ,え、向こうはラブ……いや、カップルが行く場所だぞ
茜,か、カップル……？あ、そっか、今日はクリスマスで……！。クリスマスに、私とプロデューサーが二人で！……ぷ、プロデューサー！ちょっと走ってきますね！？
Ｐ,な、なに？あ、こら、待て、茜！
姫川友紀,野球中継もないし、特番ばっかりで暇だなー
Ｐ,だからって、事務所で管を巻くんじゃない
友紀,家にいても暇だし、外に出ても寒いし……でも、事務所にはプロデューサーがいるっ！
Ｐ,仕事の邪魔だ
友紀,酷くない！？それが担当アイドルにかける言葉なのー？
Ｐ,……分かったよ。ちょうど切りも良いし、どっか飲みにでも行くか
友紀,さっすがプロデューサー！緩急のつけ方が良いねっ
Ｐ,ピンとこない褒め方だな……。それで、どこで飲む？
友紀,プロデューサーの家
Ｐ,クリスマスに、男の家に行く意味を考えなさい
友紀,私なりのサインだってば
Ｐ,分かった、近くの居酒屋にでも行くぞ
友紀,えー、そんなの暴投も良いとこだよっ！
Ｐ,いいから、行くぞ。置いてくぞ
友紀,待って、待って！行く、行くから置いてかないでぇー
堀裕子,さあ、プロデューサー、見てください！
Ｐ,なんだ、なんだ
裕子,今日は知っての通り、クリスマスです。けれども、雪が降っていませんっ
Ｐ,そうだなぁ。ホワイトクリスマスには、ならなかったな
裕子,そこで、サイキックアイドルとして、私は雪を降らせようと思います
Ｐ,おとなしく、スプーンで遊んでなさい
裕子,遊びじゃないです。超能力鍛錬ですよ！
