四次元ポケット,ひのきのぼうならいくらでもはいる
剣士,あ、あいつら…来てる！！
賢者,そう…
剣士,くそ！！俺があいつらを！！
賢者,まちなさい
剣士,！？
賢者,いま出ていって、仮にあなた一人で制圧できるとしても。その間に相当の被害がでるわ…何人死ぬか…
剣士,ぐっ…
賢者,今はとりあえず様子を見ましょう…。結局はギャング同士の争いよ…シロアリが来ればギャング同士の被害だけにとどまるはずよ
剣士,師匠！！
勇者,zzZ
賢者,せめて勇者が起きてればね…
勇者,へへへ…zzZ
剣士,師匠幸せそうだ…
賢者,いいのか、それで
クロアリ親分,くそ、どうやらシロアリの一味はいねぇな。おい、お前シロアリのアジトを知っているんじゃないのか？
町娘,…
クロアリ親分,なー？しってるんだろー？
町娘,臭い口を向こうに向けて
クロアリ親分,ほう、なるほど。まてまて、俺は優しいからな。こいつは許そう…
町娘,…
クロアリ親分,その代わりに他の町人に責任を取ってもらおう…
町娘,なっ！！。他の人は関係ないでしょ！！！
クロアリ親分,やれ
町人,はわわ…！。ぎゃあッッ
町娘,このぉぉぉぉ！！。きゃっ！！
剣士,く、やはり俺が…
賢者,まちなさい……こんなに集まった場所で奴等が銃を使ったら
町人,ぎゃああッッッ
剣士,やはり見過ごせッッ
ギャング,な、なんだ！？
町人,ザワザワ
剣士,あ、あいつは！
賢者,？
カウボーイ,はーっはっはっは！！！
クロアリ親分,な！てめぇどうやって逃げやがった！！
カウボーイ,妖精に助けてもらったのさ！！
ギャング,なぁぁにぃぃ？
カウボーイ,クロアリごときじゃ俺を止めるには役不足だったな？
クロアリ親分,きさまぁぁぁぁ！！
カウボーイ,カモン！！
剣士,よし！人が減った！！今のうちに！！
賢者,まだまだ…もう少し…
剣士,…！！
カウボーイ,…。…
クロアリ親分,くはは！！そりゃあそうだよなぁ！！。夜通し拷問を受けて立ってられるだけでも奇跡ってもんだ！
カウボーイ,……
クロアリ親分,それも、乗馬なんて意識が飛ぶに決まってるだろ！。くくく、さて。ちょうど来てくれた事だし、使いたくは無かったがシロアリの人質として使わせて貰おうか
ギャング,へい！！
カウボーイ,へへ…カウボーイは倒れない…。覚えておきな…。…細かいやつらだ
クロアリ親分,ふん、やっちまえ！！
カウボーイ,神よ…
ギャング,おらぁ！！
カウボーイ,。
クロアリ親分,ど、どう言うことだ！？
ギャング,あいつは三流で鉄砲もからっきしのはずなのに！！
カウボーイ,…スゥッ。ジャスティスフィストッッッッ！！。ふん、昔からステゴロは得意なんだよ！
ギャング,な、なにぃ！！カウボーイの癖に殴りあい特化かよ！！
クロアリ親分,なーに、だとしても死に損ないだ。数をかけて潰せ…殺すなよ。やれぇ！！！
カウボーイ,まずいな…。もう力は…ほぼ…。ッッッッ！！。はっはっはっ！！。忘れていたよ…カウボーイソウルを…。カウボーイとは…人を…助ける性分にあり…。ただ見境無しに罪人を殺すにあらず。己の目で見極め…己の正義を貫き…。愛するものを守るためには…自己犠牲をもいとわず…。己の正義を貫くッッッッそれがカウボーイだ！！。こい！！まとめてやってやる！！
剣士,し、師匠…
賢者,もう、叩き起こしたらいいんじゃないの？
剣士,きさまぁ…
賢者,なに、まじで怒ってんのよ、気持ち悪い
ギャング,おいそこ！なに話してやがる！！
賢者,…
ギャング,てめぇら、余所者だな？へんな格好しやがって
剣士,変わらんだろ
ギャング,ん？お前、かわいい顔してんな？
賢者,…？
ギャング,げひひ
賢者,さ、触らないで！！汚い！！
ギャング,な！！てめぇ！！よくも言ったな！。よぉし！！大衆の前で辱しめてやるぜ！！。お前ら！！
賢者,くっ…
剣士,こ、この
ギャング,ん？なんか踏んだ？
勇者,うう…。そうだな。人が気持ちよく寝てるのに…。俺の枕元で何をし始めるんだ？
ギャング,な、なんだお前？状況わかってんのか？！
勇者,わかるかハゲぇぇぇぇぇぇぇぇッッッッ！！！
ギャング,てめぇ！！何やったかわかってんのか？！
勇者,それはわかってるぜ
ギャング,じゃあ、どうなるかもわかってるな！！
勇者,あぁ、わかるぜ。勇者様の殺戮ショーだよ…
町人,ヒェッ……
賢者,結局こうなるのね…
ギャング,バカが、棒で何ができる？
勇者,新技いくぜ！！。オラァァァァ！！。ヒノスラッシュ！！！
ギャング,ぐはぁ！！
剣士,さ、さすが師匠！！町人は座ってるからベストオブスキル！！
ギャング,こ、こいつ妖術つかいか！？
賢者,私だと殺しちゃうし、二次災害が出るから
剣士,わかってる！！。こっちだ！！
ギャング,て、てめぇも死にてぇのか！？
剣士,捕らえきれるかな…？。一兎…両断…
ギャング,グハッッッ
剣士,大丈夫…峰打ちだ…
勇者,お前の剣両刃じゃねぇか…
剣士,はっ！？
ギャング,み、みんな一瞬でやられちまった！？。せ、せめて町人くらい道ずれに！！
町人,ひぃぃぃぃ！！
ギャング,はぅ…
賢者,これでおしまいね
剣士,どっからそれ出した？
町人,うぉぉぉぉぉぉぉぉぉぉぉぉぉぉ！！
カウボーイ,はぁ…はぁ…
クロアリ親分,ど、どうなってやがる…？。死に損ないじゃねぇのか！！！
カウボーイ,この町は…唯一俺を…受け入れてくれた…。だからこそ…守るんだ…かならず…。ぐ…
クロアリ親分,くそ、生け捕りにしろっていったのに刃物なんざ使いやがって…。まぁいい、ここまで来たらもう生け捕りとはいわん…。俺らのメンツもある…。お前には…。死んでもらうぜ
カウボーイ,こいよ…ありんこが…！
クロアリ親分,ふ、強がるな。すでにお前には腕を振るちからもねぇ…
カウボーイ,…
クロアリ親分,そして、俺はピストルを使う。お前の…敗けだ…
カウボーイ,まだだ…。俺もまだ…引き金くらい…。ひけるさ…
クロアリ親分,ぐわーっはっはっ！！。そんな震えた手で当たるのかい！？。だからお前は三流なんだ！！。デカイ口ばかり叩くが、結局なにも守れない…。ギャングとしても中途半端、カウボーイとしても中途半端…！！。そんなお前の銃で…。いったい何が守れるんだ！？
カウボーイ,ただの信念さ…
クロアリ親分,ぬかせ！！
カウボーイ,…ッッッ。照準があわねぇ…
クロアリ親分,ぬう！！
カウボーイ,ぐっ！！。狙いが…つかねぇなら…！！。近づけばいいッッッ
クロアリ親分,バカが！！
カウボーイ,…
クロアリ親分,終わりだな…
カウボーイ,…
クロアリ親分,何でだ！？なぜ倒れないんだ！！
カウボーイ,倒れれない理由か…？。まだまだ三流だからさ…
クロアリ親分,くそぉ！！。弾が！！
カウボーイ,てめぇの死に言葉はいらねぇ…。これで…クロアリの親玉は…しんだ…。ようやく……平和になるなぁ…くく…。……シロアリ…。親父……遅かった…な…。今回は…俺が…町を守ったんだ…。俺の…やり方で…
シロアリ親分,おう、わりいな
マスター,いえいえ、守ってもらってますから…
シロアリ親分,何かあったら言ってくれ…
マスター,はい…！
シロアリ親分,じゃあな…
男の子,うぉぉぉぉぉぉぉぉぉぉぉぉぉぉ！！
シロアリ親分,？
男の子,ジャスティスキーック！！
シロアリ親分,…効かねぇな
男の子,親父！！
シロアリ親分,なんだ、チビスケ
男の子,お、俺はチビじゃない！！。親父は町を守ってるんだよな！？
シロアリ親分,あぁ
男の子,じゃあなんで町の人から金をとるんだよ！！
シロアリ親分,いろいろあるんだよ…
男の子,そんなのはヒーローじゃない！！正義とは見返りを求めない物だろ！！
シロアリ親分,くくく、そうか…。それで正義が成り立つのなら、ぜひ見せて欲しいものだな…
男の子,…ぐ。絶対に見せてやるよ…俺の正義…！
シロアリ親分,あと言っておくが…俺達は決してヒーローなんかじゃねぇのさ…
シロアリギャング,シロアリアニキ！！こんなところに！！
シロアリ親分,おう
シロアリギャング,シロアリアニキは自分の立場を…！
シロアリ親分,お前は小姑か！！。町に出たいときに出るさ、俺はそういう町を作ってるんだからな
シロアリギャング,へ、へい？
男の子,あんなぞろぞろ悪そうな仲間を連れて…！！。俺は認めねぇぞ！！親父！！
シロアリ親分,
青年,俺はシロアリを抜ける…
シロアリ親分,あ？
青年,俺は賞金稼ぎになるんだ！！
シロアリ親分,なにぃ！？賞金稼ぎだと！？
青年,そうさ、俺のソウルはここにある！！きっとそうだ！！。いいや、俺は決めた…！賞金稼ぎのカウボーイとして…。親父とは…別の正義を貫く！！
ギャング,別の正義ったってなぁ…
青年,決めたんだッッッッッッッッ
ギャング,うるせぇ！！耳元でバカデカイ声出すんじゃねぇ！！！
シロアリ親分,ふん、どこにでもいっちまえ。その代わり俺らからの支援は一切なしだ
ギャング,あ、アニキ…
シロアリ親分,別荘と、手付金の2000万ゴールドやるからとっとと出ていけ！！
ギャング,甘いよアニキ！！
青年,出ていってやるよ！！ギャングなんて！！
ギャング,よかったんですか？
シロアリ親分,…
マスター,ガキに出す酒はないぜ？
青年,ガキ？おれはさすらいのカウボーイだ…。賞金首はいるか？
マスター,シロアリの子がアリクイになりたいのか…皮肉だな…。なら、仕事の話をしようか
青年,ちくしょうッッ…また逃げられた……。もう少しだったのに！！
町娘,ふふふ、頑張ってますね？
青年,俺を知ってるのかい？
町娘,ある意味有名ですよ
青年,そうか…名が売れてきたか…
町娘,え、えぇ…
青年,ならば答えねばならんな…！皆の願いに！！
町娘,カウボーイさんなのに馬はいないんですか？
青年,…いまはな
町娘,良ければこの子を差し上げましょうか？
馬,ヒヒーンッッッッ！！
青年,本当か！！
町娘,このこの名前は…ジュリアです
青年,いくぞ！！レイニーストロガノフ！！！
町娘,…ふふ、あの荒れ馬をすぐにのりこなすなんて…
カウボーイ,俺は死ねないッッッッ！！
勇者,お、おう
カウボーイ,貴様！！宿敵の賞金首！！
勇者,何も合ってねぇじゃねぇか！！命の恩人だぞ！！
賢者,私の魔法ではあなたの頭の病気までは直せませんよ
カウボーイ,俺は頭に病気を！？？
勇者,なんだこいつ…。でもすげーなお前、これだけの敵を倒すなんて？
カウボーイ,残党がまだ残っていたのか？誰が…？
剣士,この地面のメッセージは？
カウボーイ,！！。…ふ、なんでもないさ！！。さぁ！！決闘だ賞金首！！！
勇者,ふざけろ！！賢者！！こいつの怪我もどせ！！
賢者,さすがにむりよ！！
マスター,今日は俺の奢りだ！たんと飲め！！
勇者,飲むぞぉぉぉぉ！！
剣士,さすが師匠！！！！
賢者,やれやれ
町娘,ありがとう…勇者
勇者,え？あぁ、いいってことよ！！
町娘,結局平和が戻ったわ
勇者,まぁ、あんまり何もしてないけどな！。それより報酬を払えよ
町娘,いや、クロアリ親分倒したのカウボーイでしょ！！
勇者,はぁ！？報酬もらえねーの！？
町娘,あたりまえでしょ！！
勇者,
剣士,ししょー！！
賢者,それより聞いてもいいかしら？
町娘,？
賢者,あのお告げとかなんとかは何だったの？？
町娘,あぁ、なんか深いフードを被った人が神のお告げだって
賢者,それでクロアリの襲撃を知ったのね
町娘,いま考えたらなんで信じたのかも分からないくらい突拍子な話よね
賢者,フードを被った人ね…
剣士,それより、なんか忘れてる気がする
盗賊,だれかぁぁぁぁぁぁ！！！。だれかいませんかぁぁぁぁぁぁぁ！！！
民族,パパヤ！！
盗賊,は！人！？たすかった！！
民族,パパラカヤラカ！！。サミルルミナルカ！！
盗賊,へ？
民族,アナタ…カミ！！。ワタシタチ、ムカエイレル！！。イッショニ！！イコウ！！
盗賊,イヤァァァァァァァァァァァァ！！！
フードの男,ええ…今回も勇者一行は生き残りました…。やはりギャングごときではだめでしたね…。いちど魔王城に戻ります…
