今井リサ,左手でクラッチレバーを握る。左足でシフトペダルを踏み込む
リサ,…………
紗夜,食事は摂ってますか？
リサ,……これから買いに行くとこ
紗夜,そう。食欲はあるのね
リサ,紗夜はホッと息を吐き出す。かなり心配されているみたいだ。そんなに酷い顔を……ああ、してるだろうな、きっと今のアタシは
紗夜,では、一緒に食べに行きましょう
リサ,え……
紗夜,私はこのあと予定がないし、ちょうど今はお昼時よ
リサ,いや、でも
紗夜,文句は受け付けません。さあ、行くわよ
リサ,そう言って、紗夜はアタシの隣に並ぶ。そして有無を言わさずにアタシの身体を支えるように腰に手を回す
紗夜,歩けますね？とりあえず……ファミレスでいいかしら？
リサ,……うん。その優しさに抗えるだけの気力を今のアタシは持ち合わせてなかった。２人並んでファミレスに……ロゼリアの反省会をよく行っていたファミレスに辿り着き、かなり遅い朝食を摂り終えた。人間というのは本当に現金なもので、世界の終わりだと気分が酷く沈み込んだ時でも、何かを食べると少しだけ元気が出るらしい。月見うどんを食べ終えたアタシの顔色が少しはマシになったのだろう。紗夜は安心したように一つ息を吐いてからアタシに言葉を投げかけてくる
紗夜,それで、何があったんですか。今井さんがそんな酷い顔色をしているところなんて見たことありませんが……
リサ,…………
紗夜,体調が悪いだけ、ということではないわよね。言えないことならいいけれど、話を聞くくらいなら私でも出来るわよ
リサ,……友希那。アタシはなんて言うべきか、何を言うべきかかなり迷ってから口を開く。友希那を……見つけたんだ
紗夜,湊さんを？どこでですか？
リサ,ん……ツーリング先の公園
紗夜,……そう
リサ,紗夜も紗夜で、アタシの言葉を聞いてなんとも言えない表情になって口をつぐんでしまった。紗夜が一番、ロゼリアに対して責任を感じていたからだろう。私の軽はずみな言葉のせいで……という謝罪の言葉を一時期耳にタコができるくらい聞いたし、今でもソロでギターは弾けど、バンドとしてギターを弾かないのは、きっとアタシたちに対しての負い目みたいなものがあるから。……そんなの、紗夜は気にしなくても大丈夫なのに。一番悪いのはアタシなんだから。アタシだけが必要なかったんだから。そう思いながら、言葉を吐き出す。元気そうだったよ
紗夜,それは良かった……けれど、それならどうして今井さんがそんなに落ち込んでいるんですか？
リサ,…………
紗夜,……今井さん？
リサ,ね、紗夜
紗夜,はい？
リサ,アタシさ……やっぱ、お節介だよね
紗夜,……はい？
リサ,俯いてポツリと呟いた言葉。それを皮切りに、次から次へと言葉が頭の中に浮かぶ。その言葉は感情の奔流となって胸をいっぱいにする。それでも言葉は次々に浮かんできてしまうから、これ以上は入りきれないそれらがどんどん口から零れてしまう。アタシさ、今まで友希那のために、友希那のためにって、ずっとお節介焼いてたんだ
紗夜,…………
リサ,紗夜は何も言わない。無言で肯定しているのか、ただアタシの言葉を真摯に聞いてくれているのか。正直、どっちでもよかった。ただ黙って話に耳を傾けてくれるだけでよかった。ロゼリアの時もそうだったし、もっと前……それこそ、出会った時からずっと、ずっと
紗夜,…………
リサ,でも、でもさ。気付いたんだ。気付いちゃったんだ。友希那が幸せそうで、元気そうで……遠い街で、ひとりだってやっていけるんだって姿見てさ。アタシが本当にしたかったことって、友希那のためじゃないんだ。アタシはただ、アタシが友希那に認められたくて、必要とされたくて、ずっと、ずっと、アタシを押し付けてただけなんだって
紗夜,…………
リサ,そう、気付いちゃったからさ、じゃあ、アタシってなんなのって。今までずっと自分のためだけにお節介焼いてきてさ、友希那のことだって考えた振りをして、本当は自分のことばっか考えてたのにさ
紗夜,…………
リサ,声が震えている。それをまるで他人事みたいに感じていた。紗夜はそれでも何も言わない。じぶっ、自分勝手な善意を押し付けて……友希那を傷付けて、ロゼリアだって台無しにしちゃって……。アタシなんて最初から、っ、いない方が良かったんじゃないかって……っ。アタシさえいなきゃ、ロゼリアだってきっと無くならなくって、友希那だって紗夜だって燐子だってあこだって、今も笑い合ってさ……っ
紗夜,今井さん
リサ,黙ったままだった紗夜が言葉を発する。俯かせていた顔を起こして、雫が溜まった瞳を紗夜に向ける。滲んだ視界からだと紗夜がどんな表情をしているかよく見えなかった
紗夜,先に謝ります。ごめんなさい
リサ,え……？
紗夜,……っ！
リサ,要領を得ない謝罪のあと、紗夜の手がスッと伸びてきた。何をするんだろう、と思った後に、頬に熱い衝撃があった。パン、と小気味のいい音がファミレスの喧騒に小さく溶けていく。……ちょっとしてから、紗夜に顔をはたかれたんだと分かった
紗夜,私は今、怒っています。何故だか分かりますか？
リサ,……アタシが――
紗夜,悪い、いなければよかった。そう言ったらもう一回はたくわよ。次は謝罪も手加減もしないわ
リサ,…………
紗夜,あまり私も人のことは言えない。それは分かっているけれど、言わせていただきます。あなたはバカなの？
リサ,ばっ……！？
紗夜,口答えは結構よ。バカに決まっているわ。ええ、バカ以外の何物でもない
リサ,な、なんで……
紗夜,考えすぎです
リサ,先ほどと打って変わって、アタシの言葉に聞く耳をもたずに紗夜は言葉を続ける
紗夜,つまり今井さんは、今井さんだけのせいでロゼリアもなくなったし湊さんも傷付いたし私や白金さんや宇田川さんにも迷惑をかけたと、全部自分が悪いから最初から今井さん自身がいなければ良かったなんていうバカで傲慢な主張をしたいのよね？
リサ,そっ
紗夜,ええ、それならやっぱり今井さんはバカね。それも救いようのない類のバカよ
リサ,ば、バカってそんな
紗夜,冷静になりなさい。頭を冷やして考えなさい
リサ,……何を
紗夜,あなたの言うそれは、私たちが今も大切にしているロゼリアという場所を否定する言葉よ。それだけじゃない。湊さんも白金さんも宇田川さんも私も、全員を否定してコケにするような言葉にもなるわ
リサ,…………
紗夜,少なくとも、私は今井さんがいなければロゼリアというバンドは存在しなかったと思っているわ。仮に存在していたとしても取るに足らない下らないバンドという認識のまま、すぐに辞めていたわ
リサ,そんなの
紗夜,分からない、とでも言いたいのかしら？分からないならどうしてあなたは決めつけるの。今井リサがいないロゼリアは今よりももっと素晴らしいものだった、なんて
リサ,…………
紗夜,あなたが勝手に決めつけるなら私も勝手に決めつけるわ。今井さんのいないロゼリアなんて存在する意味もない下らないバンドだったと。納得がいきませんか？それなら白金さんと宇田川さんにも聞くわよ。彼女たちも絶対に私と同意見だから、多数決なら３対１であなたの負けです
リサ,でも……
紗夜,……湊さんだってきっと同じことを言うわよ
リサ,…………
紗夜,今井さんと湊さんの付き合いの深さと長さは、私たちでは到底及ばない。だからあなたたちの間でしか分からない気持ちというものもあるのかもしれない。でも、僅かな時間であったかもしれないけれど、私や白金さんや宇田川さんだって、あなたたちと大切な日々を一緒に過ごしたのは紛れもない事実よ。だから湊さんだって同じ気持ちでいると私は信じています。それと……あの日に選択を誤ってしまったのも事実。その結果ロゼリアというバンドがなくなってしまったのも事実。その責任がきっと私たち全員に、それぞれ何かしらの形であったということも事実。誰が悪いとか、そういう話じゃない。１人で責任を感じていた私にそう言ってくれたのは今井さんたちです。……今度は私からその言葉を贈るわ。今井さんだけのせいじゃない。１人で全部を抱え込むなんてバカな真似と……今井さんがいなければ、なんて、そんな悲しい話は二度としないで。今だって私は……あなたをかけがえのない大切な友人の１人だと思っているんだから
リサ,……うん。ごめん、紗夜。瞳に浮かんでいたものがやっと乾いてくれて、視界がクリアになる。紗夜の目も少し赤くなっていることにそこで気付いて、申し訳なさと一緒に大きな嬉しさが胸の中いっぱいに広がる。それからちょっと大きく息を吸って吐いて、先ほどまでの自分を振り返ってみる。……ああ、やっぱり過ぎた憂鬱は悲劇じゃなくて喜劇的だ。もうセピア色に染まりかけた記憶。いつかにアタシが急なバイトで行けなくなったスタジオ練習のことを思い出す。あの時、紗夜も、あこも、燐子も、そして友希那も……アタシはロゼリアに必要だって言ってくれていた。その大切な思い出すら忘れてしまっていた。紗夜の言う通りだ。アタシって……本当にバカだ。ごめんっていうか、ありがとね
紗夜,いえ。こちらこそ頬を張ってしまってすいませんでした
リサ,ううん、おかげで目が覚めた……と思う
紗夜,そう。それは重畳ね
リサ,うん。頷いて、テーブルナプキンで目元を拭う。紗夜はフイと顔を背け、しばらく天井の一角を睨みつける。それから大きく息を吸って、少しだけ震えた息を吐き出した。それからまたアタシに、いつもの凛とした顔を向ける
紗夜,それで……今井さんはこれからどうするのかしら
リサ,どうする、っていうと……
紗夜,湊さんを見つけて、バカみたいに塞ぎ込んで……それでおしまいなんですか
リサ,…………。紗夜はジッとアタシを見つめる。その瞳を真正面から受けて考える。アタシはこれからどうするのか。千載一遇、砂漠で落としたコンタクトレンズを見つけたような、友希那との偶然の再会。もちろんまたロゼリアがあった時のように話がしたいし、あの日に間違えた選択肢を少しでも間違いじゃなかったって思えるようにしたい。けど……正直に言えば怖い。紗夜はああ言ってくれたけど、やっぱりまだ怖い。もしも友希那に拒絶されたら、と考えてしまうと足が竦む思いだ
紗夜,もしも今日があの日の続きなら
リサ,え？。意気地なく逡巡していると、紗夜がポツリと言葉を紡ぎだす
紗夜,もしも今日があの日の続きなら……今度は今井さんが思うようにやってみればいいのではないか、と思うわ
