モバP(以下、P),ただいま戻りました～
店員,かしこまりました♪では少々お待ち下さい
凛,ふふっ、楽しみだね
P,凛ちょっと
凛,何？。だって安くなるし。帽子と眼鏡かけて変装してるから大丈夫だよ。それに・・・
P,？
P・凛,・・・
凛,みんな自分達の世界に夢中で周りなんて見てないよ
P,だからってなぁ・・・
凛,食べる間だけなら大丈夫だって
P,・・・
凛,プロデューサー？
P,・・・あまり目立つような事はしないようにな？
凛,そんな事しないよ
店員,お待たせいたしました！こちらチョコレートパフェとイチゴパフェになります
凛,あ、来たね
P,おぉ美味そう！じゃあ早速食べるか！
凛,うん
P・凛,いただきｍ・・・店員では、最後にカップルチャレンジをして頂きます。え？
凛,カップルチャレンジ？
店員,はい。この五枚のカードの中から一枚を引いてもらい、そこに書かれたお題にチャレンジして頂きます。見事成功されますと半額割引が適用されます
凛,へ、へぇ・・・
P,あの・・・ちなみにお題ってどんなものですか？
店員,まずは定番のキスですね！
P・凛,！？
店員,続いてほっぺにチュー、愛の言葉を囁く、お姫様抱っこ、頼んだ料理を一口食べさせてあげる・・・この五つになります♪
P・凛,・・・
P,。
凛,ちょっ！？ど、どうしたの？。え、何？
P,あのさ、その・・・・・・・今財布とか持ってる？もしくは500円くらいでもいいんだけど
凛,へ？お金・・・？。・・・持ってきてないよ？レッスン終りだったから洋服以外全部ロッカーの中
P,いや、それは・・・
店員,あのー・・・お客様？
P,・・・。・・・・・・・や、やります
凛,！？。ほ、本当にやるつもりなの・・・？
P,こうなったらもうやるしかないだろ！凛には申し訳ないが、この埋め合わせはするから！
凛,・・・
店員,彼氏さんの挑戦ですね！ではこちらの中から一枚だけ引いてください
P,はい。これだぁぁぁ！
凛・店員,！
P,ッしゃぁぁぁ！
凛,・・・。そんなに喜ばなくてもいいじゃん・・・
店員,では彼氏さん、お願いします
P,それじゃあ口開けてくれ
凛,・・・
P,ん？どうかしたか？
凛,別に。・・・うん、美味しいです
店員,はい、チャレンジ成功です！
P,やったな！
凛,・・・そうだね
P,ふぅ・・・これでようやくパフェにありつけｒ―――店員次は彼女さんの挑戦です。え？。いや、え？今成功しましたよね？
凛,・・・
店員,はい！今のチャレンジで彼氏さんの分が半額になりましたので、次は彼女さんの挑戦になります
P,えぇ！？
凛,じゃあやります
P,おいっ！？
凛,プロデューサーだって引き受けたじゃん。意味わかんない。やる。やだ、やる。絶対にやる
店員,では、選んでください
凛,はい。ほっぺにチューだって
P,
店員,では彼女さん、どうぞ！
凛,
P,お、おい・・・本当にする気なのか？
凛,往生際が悪いよ。ここまで来たらもう覚悟決めて
P,～～～～！・・・・・や、やっぱ待っｔ―――
P・凛,・・・
P,帰るか
凛,うん
P・凛,
凛,
P,ん、どうした？
凛,今日の事怒らないの？
P,・・・。別にいいよ。元はと言えば財布の中を確認しなかった俺のせいだし
凛,でも私周りの雰囲気に当てられてつい調子に乗ちゃって・・・プロデューサーに迷惑かけたと思うから
P,・・・。そうかもな
凛,！
P,凛はもう少しアイドルとしての自覚を持って行動しなさい
凛,あっ・・・。そう、だよね。ごめんなさい・・・。・・・
P,でも・・・
凛,？
P,プロデューサーじゃなくて、俺個人としては・・・まぁ何というか悪い気はしなかったというか・・・普通に楽しかったとけどな
凛,え？
P,何でもない！ほら、さっさと帰るぞ！
凛,・・・。うん！
P,ただいま戻りましたー
凛,ただいま
ちひろ,あ、お二人ともお帰りなさい
P,すみません、勝手に出かけちゃって
ちひろ,いえいえ、代わりに未央ちゃんがお留守番してくれていたので大丈夫ですよ
凛,あれ、未央は？
ちひろ,私が戻ったので先ほど帰りましたよ
P,そうでしたか
ちひろ,ところでプロデューサーさん。冷蔵庫のチョコまだ食べてなかったんですね
凛,チョコ・・・？あっ
P,！
凛,そうだ私も冷蔵庫に・・・あった
P,り、凛・・・その事なんだが
凛,はい、これ
P,え？。俺に・・・？
凛,うん、プロデューサーには日頃お世話になってるから。感謝の気持ちだよ
ちひろ,あらあら♪
凛,ちひろさんにも、はい
ちひろ,え、私にも！？ありがとうございます♪
P,な、なんだ・・・そうだったのか
凛,え、どうしたの？
P,実はテレビ局からの貰い物と間違えてこれを食べちゃったんだ・・・それで凛のだって未央から聞いて
凛,だから二人とも様子がおかしかったんだね
P,でも、良かった・・・！あのトリュフチョコは俺のだったんだな！
凛,トリュフチョコ・・・？
P,え？
凛,それ洋酒チョコなんだけど
P,え？
洋酒チョコ(未開封),プロデューサー
P,
ちひろ,さて、お仕事お仕事・・・
凛,
トリュフチョコ(開封済み),渋谷凛
凛,！？。・・・ふーん、これ食べちゃったんだ？
P,あ、いや・・・その・・・凛さん？
凛,プロデューサー！
P,ごめんなさーい！
未央,で、許して貰えたの？
P,パフェ食べに行った後で機嫌が良かったからか案外普通に許して貰えたよ。未央は俺を裏切って先に帰ったもんな・・・
未央,いやいや！どちらかと言えば私も被害者側だからね！？。・・・まぁ、許して貰えたなら良かったね
P,そうなんだけどさ。代わりにまたカフェに連れてってくれって言うんだよ
未央,別に良くない？
P,それは別に良いんだけどさ～。またカップルばかりの場所だったら嫌だなって・・・ここに行ってみたいらしいんだけど
未央,ん～？あぁ、ここね。ここのお店は多分大丈夫だと思うよ？そういう割引もやってなかったと思うし
P,・・・そう？ならいいか
未央,うん。・・・
