モバP,以下P
美優,……。……いつ出発なんですか？
P,1ヶ月後だ
美優,あと1ヶ月だけ……
P,気を使ってくれたのかこの1ヶ月は休みが多い。だから出来るだけ一緒にいよう
美優,はい！もちろんです
P,それじゃあ行ってくるよ
美優,本当に行ってしまうんですね……
P,ごめん……
美優,私、待ってます、絶対帰ってきてくださいね
P,おう、じゃ行ってくる
美優,いってらっしゃいPさん。気を付けて
海外P,今日はここまでです。あとは各自自由時間になります
P,自由時間か……。結婚してから暇かあれば美優と一緒にいたからすることないな。明日も忙しいだろうしさっさと飯食って寝るか……。何故か最近体の調子がいい。することなくて早く寝てるからかな……。美優さんといると昼間寂しかった分、夜ベッタリだからなかなか寝られなかったんだよなぁ。美優さんといない方が楽かも……。って何考えてるんだ俺！。早く寝よ……。ただいまー
美優,Pさん！
P,そんな抱きつかなくても。時々電話やメールしてたし
美優,Pさんにとっては1年でも私にとっては10年なんです……！。私、寂しかった……
P,そっか……そうだよな。ごめんな
美優,許しません
P,どうしたら許してくれる？
美優,今日1日このままギューといてくれたら許します
P,美優は可愛いなぁ
ちひろ,最近忙しいですねー
P,アイドルのみんなも軌道に乗り出してどんどん売れてきているからですね
ちひろ,お仕事が忙しいのはいい事なんですがねぇ
P,新しく事務員でも雇いますか？
ちひろ,うーん、そうですねぇ。それはまだ大丈夫ですかね
P,それはどうして？
ちひろ,私、今の事務所の雰囲気が大好きなんですよね。もし新人の人が絡みにくい人だったら嫌じゃないですか？
P,確かにそうですね
ちひろ,まぁ、どうにもならなかったら雇うしかないですけど。Pさんは大丈夫ですか？顔色悪いですよ？
P,俺は大丈夫ですよ。よっし、仕事終わり。じゃあ俺は帰りますね
ちひろ,はい、お疲れ様です、プロデューサーさん
さらに半年後,結婚してから2年後
P,おっと
ちひろ,ちょ、Pさん本当に大丈夫ですか？
P,大丈夫ですよ、ちょっと寝不足なだけですよ。こうは行ったけど実際きつい。もう無理か……。もう離婚しよう
美優,え……
P,もう疲れたんだ
美優,私の……私のどこがダメだったんですか？
P,毎日夜遅くまで一緒にいるだろ？。それのせいで寝不足で体調が悪いんだよ
美優,だったら寂しいですけど我慢します！
P,いや帰りがちょっと遅いだけでもダメなんだ、そうしても美優はきっと我慢出来ないだろう
美優,出来ます！私、どんなに寂しくても我慢しますから別れるのだけは……
P,美優も大事だが仕事も大事なんだ
美優,そんな……
P,ごめん……慰謝料はたくさん払うから……
美優,慰謝料なんていらないです！私にはPさんだけいれば！
P,ごめん、それじゃ
美優,そんな……待ってくださいPさん！。そんな！嫌……どうして……こんな……
ちひろ,Pさんは大丈夫ですか？
P,正直寝不足でちょっときついです。仕事もそうなんですが、美優さんと夜遅くまで一緒にいるからなかなか寝られないんですよ
ちひろ,惚気ですか？
P,ちがいますって。実は……
ちひろ,そうだったんですか……
P,それで昼間寂しかった分夜一緒にいるんですよ
ちひろ,でもそのせいで調子悪いんですよね？
P,そうなんですよ……
ちひろ,そういうことはお二人でしっかり話し合うべきだと思いますよ
P,確かにそうですよね。よっし、家に帰ったら話してみます
ちひろ,是非そうしてください
P,丁度俺の仕事終わったんで帰りますね
ちひろ,はい、お疲れ様でした
P,ちょっと話があるんだけどいい？
美優,何ですか？。もしかしたまた出張とか……
P,ちがうって。俺と美優って結構夜遅くまで一緒にいるだろ？
美優,はい、そうですね
P,それで最近俺の体の調子がよくないんだ
美優,私のせいで……ごめんなさい
P,別にいいって夫婦なんだし。それでもうちょっと早めに寝るようにしないか？
美優,Pさんのためですもんね、わかりました
P,ありがとな
美優,私、寂しいですけどしっかり耐えますね
P,こうは言ってるけど実際寂しいだろうしどうしたものか……。そうだ！
美優,どうしたんですか？
P,美優、また事務所にこないか？
美優,え……でも私アイドルは引退して……
P,事務員だよ！。美優は元OLだから事務作業できるだろうし最近人手不足で大変だったんだ。事務員になれば俺と一緒にいられる時間も増えるし人手が足り不足も解消できて一石二鳥だ！
美優,そうですね！。私、事務員頑張ります！
P,明日ちひろさんに聞いてみるよ。ちひろさん、ちょっといいですか？
ちひろ,どうしました？
P,新しい事務員のことなんですけど
ちひろ,昨日絡みにくい人だったら嫌だなって言ったじゃないですか
P,絶対大丈夫な人を見つけました！
ちひろ,本当ですか？
P,はい！絶対大丈夫です
ちひろ,じゃあ明日その人にここに来てもらうことは出来ますか？
P,多分大丈夫です
ちひろ,それでその人はどんな人なんですか？
P,やべっ、もうこんな時間だ。打ち合わせ行って来ますね！
ちひろ,もう……あの人は……
P,ちひろさんつれて来ました！
ちひろ,はじめまして、千川ちひ……って美優さんじゃないですか！。美優さんどうしたんですか？
美優,えっと……私が新しい事務員です
ちひろ,え！！
P,あれ、俺言ってませんでしたっけ
ちひろ,聞いてませんよ！あの後いろいろあって聞くタイミングなかったんです！
P,そういえばそうだった。それで大丈夫ですか？
ちひろ,美優さんなら仕事もできるだろうし大歓迎ですよ！
美優,ちひろさん、これからまたよろしくお願いします
ちひろ,こちらこそよろしくお願いします。今日は時間大丈夫ですか？
美優,はい、大丈夫ですよ
ちひろ,それじゃさっそく仕事教えますね
P,俺も営業いってきます
ちひろ,はい
美優,いってらっしゃいPさん
P,おう、いってくるよ、美優
ちひろ,何かこれからいちゃいちゃしそう…
P,戻りましたー
美優,おかえりなさい、Pさん
P,事務所に帰ってきたら美優さんに会えるとか最高だな
美優,もうっ、Pさんたら
ちひろ,砂糖吐きそう。っとPさん！
P,どうしたんですか？
ちひろ,どうしたんですか？じゃないですよ！。美優さんめちゃくちゃ仕事出来ますね！
美優,いえ、そんな……
P,俺の嫁ですからね
ちひろ,あ、そういうのいいです
美優,もう///
ちひろ,この人もこの人ですね……
P,美優さんって人の10倍早く動けるじゃないですか？。だからだと思いますよ
ちひろ,ああそういえば
美優,いつもは周りに合わせて動いてるんですけど事務仕事はパパっと終わらせた方がいいと思ったんです
ちひろ,美優さん凄いですね！
美優,いえいえちょっと動きが速いだけで仕事はそんなに出来ませんよ
ちひろ,いやいや美優さんがいるだけで私達の仕事だいぶ楽になりますよ
P,美優、これからも一緒に頑張ろうな
美優,はい！
ちひろ,あれ私は……？
