スレタイの果とは、果物,くだもの
黒潮,ウチ、オレンジが好きやったわ
親潮,私はイチゴですね
黒潮,イチゴもええよなー
親潮,両方作っちゃいましょうか
黒潮,ええなー、作ろ作ろ。牛乳どんくらいやったかな？適当でえっか
親潮,駄目ですよ、ちゃんと計りましょう
黒潮,あー、これこれ、懐かしいなー。大好きやったわ
親潮,大人になると食べなくなりますよね
黒潮,うわ、もう固まった！すごいなー、不思議やなー
親潮,本当に簡単ですね
黒潮,うわ、美味し！メッチャいけるやん
時津風,何か食べてるー
黒潮,おっ、ええとこ来たなー
親潮,フルーチェですよ
雪風,フルーチェって何ですか
黒潮,何や雪風、フルーチェ知らんの
時津風,何それ美味しいの
親潮,えっ、時津風もですか
時津風,知らなーい
黒潮,よっし、そんならもう一回作ろか。袋を開けて……と
雪風,何これー？
時津風,変なのー
黒潮,まあまあ待ちや、まだ途中やて。今からな、牛乳混ぜるんや。よー見とき。ほら！
雪風,固まった！
時津風,すごーい！魔法みたい！
黒潮,どやどやー！
雪風,どうやったの、どうやったの
黒潮,魔法やで
時津風,ホントに魔法なの！？
黒潮,実はな、ウチ魔法使いやねん
雪風,ほわっ！？魔法使い！？
時津風,プリキュアなの？
黒潮,キュアブラックやねん
雪風,すごーい！
時津風,ホワイトは？ホワイトは誰
黒潮,ホワイトは白雪や
時津風,白雪なの！
黒潮,悪い奴やっつけんねん
雪風,すごーい！
時津風,変身して！
黒潮,ダメダメ。内緒やからな
雪風,内緒なの
黒潮,せや、みんなには秘密やで
時津風,えー
黒潮,それよりほら、完成やで。これムッチャ美味しいから。みんなで食べよな
雪風,わーい！
時津風,美味しーい！甘ーい
黒潮,せやろ。よーさんあるから、じゃんじゃん食べよな
陽炎,黒潮
不知火,黒潮
黒潮,ちゃうねん
不知火,また甘いものを食べていますね
黒潮,これはな、ちゃうねんて
陽炎,アンタさっきも雪見だいふく食べてたじゃない！
黒潮,くっ……ここは一時撤退や！
不知火,あっ、逃げた！
陽炎,こら！待ちなさーい！
時津風,フルーチェ食べたーい
親潮,あら？もう食べたのですか
時津風,黒潮はー？
親潮,ええっと、どこかに行っちゃいましたね
時津風,えー
雪風,もっと食べたいです
親潮,じゃあ特別に……。はい、どうぞ
時津風,！
雪風,！
時津風,親潮も作れるの！？
雪風,親潮もプリキュアなの！？
親潮,うふふ。みんなには内緒ですよ
野分,初風、クイズをしませんか
初風,クイズ？
野分,はい。さっき長門さんに教えてもらいました
初風,へえ
野分,頭の体操です
初風,いいわよ、クイズは得意だもの
野分,じゃあ、まずは簡単なのから。第一問。お父さんが嫌いな果物は何でしょう
初風,はあ？簡単過ぎ、パパイヤでしょ
野分,お、流石にやりますね
初風,もっとガンガン来なさいよ
野分,それでは、第二問。お母さんが笑顔になると出てくる果物は何でしょう
初風,む
野分,制限時間は10秒です
初風,ちょっ、ちょっと待ちなさいよ
野分,ヒント要りますか
初風,要らないわよ、そんなの。考えるからちょっと待ちなさい
野分,はいはい
舞風,初風！初風！
初風,！？
舞風,お父さんが嫌いな果物ってなーんだ？
初風,な、何よいきなり
舞風,なぞなぞだよ、えっへっへ～♪難しいでしょー。舞風は分かったよ！。ヒントはね～、お父さんは外国人なんだよ～
初風,あー、うん。ちょっと待ちなさい
時津風,初風ー！初風ー！。えっとね、えっとね、パパイヤはパパが嫌いなんだよ、何ででしょー
初風,知らないわよ
時津風,えっ？嘘？パパイヤ知らないの
初風,知ってるわよ
時津風,もぉーっ！どっちなのさぁ！
初風,いいから少し落ち着きなさい
雪風,初風！初風！初風ぇー！。大変です初風！パパイヤはお父さんです！
初風,それは大変ね
雪風,鈴木さんです！
初風,誰なのよ、それ
雪風,どうして嫌いなのですか！
初風,知らないわよ
雪風,じゃあ第二問です！
初風,アンタちょっと自由過ぎない！？
雪風,しれぇ！りんごです！
司令,リンゴだね
雪風,シャリシャリです！
司令,シャリシャリだね
雪風,りんごおいしいです！
司令,美味しいね
雪風,しれぇ！おすしです！
司令,お寿司だね
雪風,シャリです！
司令,おっ、よく知ってるね
雪風,えへへ。玉子おいしいです！
司令,美味しいね
雪風,しれぇ！おすしです！
司令,二つ持ってきたね
雪風,シャリシャリです！
司令,シャリシャリだね
雪風,にてます！
司令,似てるね
雪風,おんなじです！
司令,同じかなぁ
雪風,玉子おいしいです！
司令,玉子以外も食べたいなぁ
天津風,さくらんぼなんて珍しいわね
雪風,甘酸っぱくて美味しいです
時津風,さくらんぼ大好き
足柄,さくらんぼと言えば。アンタ達、これ出来る？
天津風,？
足柄,こうやって……。ほら
天津風,！
時津風,すごーい！
足柄,手を使わずに茎を結ぶの
時津風,そんなの簡単だよー
雪風,やってみますー
天津風,……。……！。～～！？。出来ない……！
雪風,難しいです
時津風,うう～、こんなの無理だよ
足柄,やっぱりお子ちゃまには難しいかしら
天津風,む。何よこんなの、いきなり出来る訳ないじゃない
不知火,……。出来ました
天津風,えっ
春雨,出来ちゃいました
天津風,は？
漣,デキタコレ！
天津風,えええぇ～？
足柄,あら、すごいじゃない
天津風,何よそれ、どうして出来るのよ
不知火,どうしてと言われても…
春雨,身体が勝手に
漣,自然に出来る感じ？
天津風,はああぁぁ？
足柄,う～ん、才能というか素質かしらね
漣,やはり天才？
天津風,むうぅ～
不知火,さて……と
天津風,どこ行くの
不知火,司令の所へ。報告に
天津風,報告って
不知火,不知火はデキる女です、と
天津風,ちょっと待ちなさいよ。こんなの出来たって何も意味ないわよ
不知火,そうなのですか
足柄,いや多分、男の人はすっごく喜ぶわよ
天津風,はあっ？何でよ
足柄,何でですかね～
天津風,こ、こんなの練習すればすぐなんだから
足柄,あーダメダメ、そんな強くやっちゃ。こうやって優しくね。ほら、ちょうちょ結び
天津風,ッ！？。な、何なのよそれ！
足柄,これくらいで驚いてちゃダメよ。隼鷹なんてもっとすごいわよ
天津風,何でこんなのが出来るのよ！
足柄,何でかしらね～
巻雲,出来ましたぁー！
天津風,巻雲までー！？
雪風,りんご？
時津風,リンゴだー！
卯月,やったぴょーん！
大淀,あらあら
司令,随分喜んでるな
時津風,陸奥さんアレやって！
陸奥,はいはい、アレね。はい、ウサギさん
卯月,すごーい！うさぴょん、うさぴょん！
陸奥,文月ちゃんはお花ね、はい
文月,ふ、フミィ……///
司令,飾り切りか
大淀,さすが陸奥さんですね
時津風,長門さんアレやって！
長門,む、アレか
時津風,早く早く！
長門,まあ待て、慌てるな
司令,お？長門も出来るのか
長門,フン！
司令,
長門,次はお前がこうなる番だ
雪風,キャー！
時津風,カッコいい！
文月,ふえぇ～
司令,何だよこれ……
大淀,片手で握り潰しましたね
卯月,もう一回！もう一回！
長門,む、仕方ないな……よし、今度はダブルでいくぞ。ヌンッ！。死にたい奴から前に出ろ
司令,この女子力の差
大淀,でも、長門さんの方が人気ありますよ
司令,そうなの？
大淀,気は優しくて力持ち。昔からみんなの憧れです
司令,いや、それ力士の誉め言葉だからね
浦風,今日は姉を連れてきたんよ
黒潮,黒潮や、よろしゅうな
親潮,親潮です。お招き頂きありがとうございます
金剛,ようこそデース
霧島,さあさあ、こちらにどうぞ
比叡,楽しんでいってくださいね！
黒潮,ウチ、お茶会なんて初めて
親潮,私もです。緊張しますね
榛名,ふふ、リラックスして下さいね
霧島,今日はアールグレイにしてみました
親潮,いい香り
黒潮,こらまた上品やわ
浦風,霧島姉さんの紅茶は最高なんじゃけぇ
親潮,器もとても素敵ですね
黒潮,高そうなカップやなー
金剛,これは提督に買ってもらいマシタ
浦風,提督に？
金剛,改二のお祝いデース！
黒潮,何や司令はん、ええとこあるやん
比叡,比叡はカレー皿と銀のスプーンでした
親潮,わあ、これも素敵ですね
黒潮,へえ、それぞれ違う物なんや
浦風,提督って意外にセンスええんじゃねぇ
金剛,提督とても優しいデース///
浦風,でも、ええの？
金剛,ハイ？
浦風,こんな高価なの使って
金剛,ティーカップは使うものデース。棚に飾っていても意味がありまセン
親潮,けれど、うっかり割ってしまったら……
金剛,物には神様が宿りマス
黒潮,神様？
金剛,ハイ。神様デス。長く使ったり大切に扱った物には、神様が宿りマス。ツクモガーミ、デース
浦風,つくもがみ？
黒潮,……突く最上！？
霧島,それは違う妖怪です
親潮,神様……付喪神ですね
金剛,美味しい紅茶を淹れて貰えれば、きっとポットも嬉しいデース。みんなに喜んで貰えたなら、カップだって幸せデース。箱に閉じ込めて仕舞っていれば、神様も悲しみマス。耳を傾けてみてくだサイ
浦風,……聞こえた
金剛,さあさあ、もっと飲んでくだサイ。ポットにもカップにも、もっと働いてもらいまショウ！
黒潮,ええ話やわー
浦風,ん？。あっちのお皿も何か呟いとるね
親潮,比叡さんのカレー皿ですね。聞いてみましょう
浦風,
黒潮,
親潮,
浦風,……えーっと
黒潮,ウチ、よぉ聞こえへん
親潮,奇遇ですね、私もです
霧島,浦風はこういうの持ってないの
浦風,うーん、ウチらまだ改二になってないし
金剛,何でもいいんデスよ、高価じゃなくても
比叡,長く使ってたり、思い入れのある道具とかでも
黒潮,あっ、それならウチ持ってる。一家に一台、たこ焼き器
浦風,あー、アレかぁ
黒潮,着任した時からずっと使ってるんや
親潮,年季入ってますよね
榛名,たこ焼き器なら私も持ってますよ
黒潮,へ？榛名さんも
榛名,デザートに使います
黒潮,デザートに？
榛名,今日も作ってみたんですよ。黒潮さん達がいらっしゃると聞いていたので。少し変わった物をと思いまして。はいどうぞ、フルーツたこ焼きです
黒潮,うわー、メッチャおしゃれやわ
榛名,タコの代わりに果物が入ってます。ソースもフルーツでジャムを色々
親潮,素敵ですね、宝石みたいです
黒潮,うわ、これ美味しい
浦風,こんな使い方があるんじゃねぇ
黒潮,ウチも帰って作ってみよ
親潮,雪風達も喜びそうですね
霧島,さあ、紅茶のおかわりをどうぞ
比叡,紅茶もお菓子も沢山ありますよ！
金剛,パーティーはまだまだこれからデース！
黒潮,雪風ー、時津風ー、おいでー
雪風,何々、おやつ？
黒潮,今日はすごいで、フルーツたこ焼きやで
時津風,フルーツたこ焼き！？
雪風,果物なの
黒潮,せやでー、榛名さんに教えてもらったんや
時津風,すごーい！
雪風,美味しいー！甘ーい！
黒潮,ようさんあるからな、みんなで沢山食べよな
陽炎,黒潮
不知火,黒潮
黒潮,ちゃうねん
陽炎,アンタいい加減にしなさいよ！
不知火,甘いものは控える約束です
黒潮,これはちゃうんや、神様やねん
陽炎,はあ？神様
黒潮,そうや、付喪神やねん
不知火,突く最上！？
陽炎,つ、突くってアンタ、何言ってんのよ///
不知火,最上さんを突くのですか、それともやはり最上さんの方が……！
浦風,付喪神じゃけえね
響,ハラショー
阿武隈,こら！ダメでしょ！
響,ん、阿武隈かい
阿武隈,子供なのにお酒なんて飲んじゃダメ
響,ロシアでは水代わりさ
阿武隈,ここは日本！
響,不死鳥の名は伊達ではないよ
阿武隈,とにかくダメダメ！
響,むうぅ～。やれやれ、阿武隈にも参ったものだよ。何かいい方法はないかな……。ん……？
浦風,ウチはレモン味！
谷風,谷風さんはイチゴな！
秋雲,秋雲さんは氷あずきで！
浜風,磯風は何味のシロップにしますか
磯風,む、そうだな……。私は何もかけなくていい
浜風,えっ
谷風,甘くないじゃん
磯風,バルジが気になるしな
浜風,少しくらいいいじゃないですか
磯風,暑いしあんまり甘ったるいのは欲しくないんだ
秋雲,え～
谷風,それじゃあ、ただの氷じゃん
親潮,氷本来の味が味わえるから、年配の方は時々されますね
陽炎,食通っぽいわね
磯風,そんな立派なものじゃないさ
黒潮,あ、でも甲子園やと割と見かけるな
浜風,味のない氷をですか？
黒潮,かち割り言うてな、結構売れてるみたい
浜風,そうなんですか
黒潮,あ、間宮さん、ウチのは練乳たっぷりで！
陽炎,アンタはちょっと自重しなさい
響,……これだ！
雷,私、イチゴー！
暁,暁はブルーハワイよ！
電,はわわ、おしゃれなのです
暁,レディなんだから
電,響ちゃんは何にするのですか
響,私は氷だけで
雷,はあ？何よそれ
暁,そんなの甘くないじゃない
響,甘くないのもいいものだよ
暁,えー？
響,この冷たい水をかけて食べるんだ。うん、さっぱりして美味しい
雷,何だか大人ね
電,大人なのです
暁,むううっ～
雷,あ、隼鷹さんとポーラさんだわ
電,お酒に釣られて寄ってきたのです
暁,でも変ね、ここにお酒なんて無いわよ
雷,不思議ね
響,不思議だね
電,不思議なのです
浜風,渋柿ですか
鳳翔,はい、今年もたくさん頂きました
浜風,干すんですよね？手伝います
鳳翔,ありがとうございます
雪風,渋柿って何ですか
浜風,名の通り、渋い柿です
時津風,渋いって？
浜風,あー…食べてみますか
雪風,食べていいの？
時津風,食べる食べるー！
雪風,うぇ！何これ！
時津風,変な味！美味しくない
浜風,これが渋味です
雪風,あうあう～
時津風,こんなの食べられないよ～
浜風,はい、このままでは無理です。そこで魔法をかけます
雪風,魔法？
浜風,皮を剥いて吊して干します
時津風,それだけ？
雪風,干すだけでいいの？
浜風,はい
時津風,えぇ～？
雪風,しわしわ～
時津風,変な色～
浜風,完成です
雪風,えぇ～、こんなの美味しくないよ
時津風,絶対マズいよ
浜風,大丈夫ですよ、はい
雪風,！
時津風,！
雪風,甘ーい！
時津風,何で？美味しい！
浜風,魔法です
雪風,すごーい！魔法ー！
ローマ,……何これ
リットリオ,軒下にピーマンが吊してありますね
アクィラ,こっちにはセロリがたくさん～
ローマ,何なの、嫌がらせ？
リットリオ,虫除けとかじゃないかしら？
リベッチオ,あ、それ雪風のだよ。触ったらダメだよー
ローマ,何なのよこれは
リベッチオ,う～ん、リベもよく知らないんだけど
ザラ,魔法とか言ってたわね
ローマ,魔法？
リットリオ,何かの儀式かしら
ローマ,こんなの絶対に黒魔術よ
アクィラ,日本には不思議がたくさんですね～
谷風,パスタ屋に行くんだって？谷風も連れてっておくれよぅ
那智,お前のソウルフードは、パスタではなくてお菓子だろう。別に構わんが、退屈だぞ
谷風,がってんだー！
大阪生まれ広島育ちの谷風は、大きく,うん！
武蔵,フッ、随分待たせたようだな
那智,いや、時間通りだ
清霜,それじゃあ、しゅっぱーつ！
武蔵,ふむ、イタリア料理とは珍しいな
那智,いい雰囲気だろう。重巡の集まりで時々使うんだ
武蔵,ほう
那智,味も本格的でな、ザラやポーラのお墨付きだ
武蔵,それは楽しみだな
那智,種類も豊富だぞ。パスタだけでも何十種類もある
谷風,うおー！
清霜,すごーい！
那智,お前達はパスタとか分からないだろう。店のオススメでも頼んでみるか
谷風,てやんでぇ、べらんめぇ！谷風さんは自分で決めるぜ。こう見えてパスタにはうるさいんだ。通に任しておくれよ
那智,ほう
清霜,わたしも自分で選びたいです！。毎日リベと遊んでいるからイタリアには詳しいです！清霜は国際派です
武蔵,ふむ
那智,よし、それなら各々好きなのを注文しろ
清霜,やったー！わたしナポリターン！
谷風,よっしゃーっ！谷風さんもナポリターン！
那智,通だなぁ……
武蔵,国際派だなぁ……
店主,お待たせしました
清霜,すごーい、何これー！
谷風,真っ黒じゃねーか
那智,イカスミのパスタだ
清霜,こんなの食べたら、口が真っ黒になっちゃうよ
武蔵,はっはっは
那智,そう言うが、昔は歯が黒い方がモテてたんだぞ
清霜,えー？
那智,お歯黒と言ってな、わざわざ黒く塗っていたんだ。まあ、美人の代名詞だな
谷風,へー
清霜,そういえば羽黒さんって綺麗だよね
谷風,うんうん、優しいしな
那智,それは羽黒
武蔵,お歯黒関係ない
谷風,でも那智の方が美人だけどな！
那智,む
清霜,いや、武蔵さんの方が美人だよ！
武蔵,ん
谷風,何言ってんだよ！那智の方がモテるに決まってるだろ
清霜,違うよ！武蔵さんの方がモテモテなんだから！
那智,おいおい、お前ら
武蔵,こらこら、喧嘩するな
谷風,あぁ？言っとくけどウチの鎮守府で那智が一番綺麗だからな！
清霜,ちーがーいーまーすー！一番美人なのは絶対絶対武蔵さんだからね！
那智,お前らケーキでも食うか
武蔵,ジュースも飲んでいいぞ。寝たか
那智,ああ
武蔵,しかし随分派手に汚したな
那智,ナポリタンだからな、仕方ない
武蔵,これはシミ抜きが大変だぞ
那智,まあ、予想通りさ。さて、静かになったしもう少し飲もうか
武蔵,赤にするか白にするか、ロゼというのもあるな
那智,ローマに聞いたんだが、赤ワインは身体にいいらしい
武蔵,ほう
那智,ポリ……なんとかが効くそうだ。美容にもいいそうだ
武蔵,そんな事を聞いたら飲まなくてはならないじゃないか
那智,うむ。仕方ないな
武蔵,仕方ない、仕方ない
那智,あー、仕方ない。さて、最後はデザートだが……
武蔵,こいつらは一度寝たら起きないぞ
那智,むう、しかし来る前から楽しみにしていたからなぁ
武蔵,そういえばジェラートがどうのと言ってたな
那智,桃と洋梨がオススメらしい
武蔵,お土産にしてはどうだ
那智,テイクアウトか、だが持ち帰ると他の姉妹とで喧嘩にならないかな
武蔵,全員分買ってやればいいじゃないか
那智,全員分か、うーん……
武蔵,何人いるんだ
那智,二十人くらいいるな
武蔵,
那智,いや、もっとか
武蔵,そんなにいるのか
那智,どちらも大所帯だからな
武蔵,それはつまり、駆逐艦寮ではこの二十倍騒がしいって事か
那智,まあ、そうなるな
武蔵,はー……
那智,想像もつかんな
野分,ぶどう感……ですか？
那珂,うん、武道館。知ってるかな？
野分,いや、ちょっとよく分からないですね
那珂,そっかぁ、まだ知らないか
野分,那珂ちゃんは知ってるんですね
那珂,もちろんだよ！だって憧れだもん
野分,憧れ、ですか
那珂,そうだよー。感動したり興奮したり、言葉では言い表せないよ
野分,そんなにすごい感覚なのですか
那珂,心を……ううん、魂を揺さぶる感じだよ
野分,それはつまり、快感や多幸感といった意味でしょうか
那珂,うんうん、それに近いというか、全部合わせたような感じ。だって頂点だもん
野分,頂点……絶頂……ですか
那珂,あ～思い出すなぁ、初めて行った時の事
野分,イッた！？初めて？
那珂,あれは那珂ちゃんが今ののわっちぐらいの頃だったかなぁ
野分,そ、そんなに早く？
那珂,早くないよ、普通だよ。ああ、でも那珂ちゃん都会っ子だったからね。田舎の子よりは早かったかも
野分,やっぱりそういうものですか
那珂,馬鹿にする訳じゃないけど、田舎だとやっぱり大変だよ
野分,そ、それでどんな感じだったんですか
那珂,ん？武道館
野分,はい。その、初めてイッた時のぶどう感というのは
那珂,そりゃもうすごかったよ！那珂ちゃん泣いちゃったもん
野分,やっぱり痛かったんですか
那珂,ううん、気持ちよくて
野分,気持ちよくて泣くのですか！？
那珂,感涙って言うのかなぁ……一生忘れられないなぁ
野分,。だ、誰と……
那珂,え？
野分,初めてイッた時のお相手は誰だったんですか
那珂,川内ちゃんだよ
野分,川内さんっっ！？
那珂,あと神通ちゃんも
野分,神通さんまでっっ！？。い、いきなり三人ですか！三人でイッたのですか
那珂,そうだよ。みんな一緒だよ
野分,し、姉妹ですよね？普通は男の人とじゃないんですか
那珂,まあデートとかでね、男の人と一緒に行く人もいるよね
野分,ですよね、普通はそうですよね
那珂,でも那珂ちゃんは、川内ちゃんと神通ちゃんが良かったんだ。最初は三人で行こうねって、決めてたんだ。だって……大好きだから
野分,で、でもやっぱり普通は……
那珂,実を言うとね、神通ちゃんは最初あまり乗り気じゃなかったんだよ
野分,ですよね！そう思います！神通さんは絶対そうです
那珂,でも照明が消えて本番が始まると変わったんだ
野分,嘘ですよね
那珂,髪を振り乱し大きな声をあげて大興奮だよ。本番が終わった後は、もうみんな汗だくでグッタリだったよ
野分,
那珂,どう？少しは興味でたかな
野分,の、野分にはまだ早いです……
那珂,そんな事ないよ！さっきも言ったけど那珂ちゃんだって最初はのわっちぐらいの時だったよ
野分,でも……野分はそういうの何も知らなくて
那珂,大丈夫だよ！那珂ちゃんが全部教えてあげる！
野分,ぶどう感の事も？
那珂,武道館の事も！
野分,どうやってイクかも？
那珂,いろんな行き方を教えてあげる！
野分,あ、あの……野分は、野分は……
那珂,優しくしてあげるから……ね？
野分,……///
あらし,りんご大好き
はぎぃ,ぶどう大好き
磯風,さあ、ご飯だぞ二人とも
あらし,……
はぎぃ,……
比叡,美味しいカレーが出来ましたよ！
あらし,……
はぎぃ,……
あらし,うわあーん！
はぎぃ,髪の毛がー！
陽炎,……というお話だったのよ
雪風,……！？
時津風,……！？
雪風,か、髪の毛が……あ、赤色に？
時津風,ふ、不良なの、チンピラなの
陽炎,そうよ。好き嫌いばかりしてると、アンタ達もそうなるわよ
雪風,ふ、ふえぇ……
時津風,怖いよ怖いよ
雪風,ど、どうすれば……
陽炎,ちゃんと言う事を聞いて、いい子にしていれば大丈夫よ
雪風,雪風いい子になります！
時津風,時津風もなるよ！好き嫌いしないよ！
陽炎,よしよし、偉いわね二人とも
黒潮,いや～、すごい効き目やわ
不知火,どうしたんですか、この絵本
陽炎,秋雲に頼んだの
不知火,なるほど、さすが秋雲ですね
陽炎,これで好き嫌いもなくなるわ
黒潮,いい子にもなるし、万々歳やな
陽炎,うんうん、万々歳よ
嵐,陽炎
萩風,陽炎
陽炎,さっ、遠征行ってこなきゃ
嵐,陽炎
萩風,陽炎
陽炎,あー、忙しい忙しい
萩風,ただいまー
嵐,あー、疲れたー
野分,嵐、萩風、お帰りなさい
萩風,わぁ、部屋は暖かいね
野分,さ、コタツにどうぞ。すぐお茶を淹れますね
嵐,あ、手伝うよ
野分,大丈夫ですよ、ゆっくりして下さい
嵐,あぁ～コタツ幸せー
萩風,外、寒かったもんね
野分,ミカンもありますよ
嵐,おっ、ミカンいいねぇ
萩風,あれ、舞風寝ちゃってるね
野分,頑張って待っていたんですけどね。ついさっき、力尽きました
嵐,おコタ気持ちいいもんな
萩風,布団で寝ないと風邪ひくよ
嵐,まあ少しくらい大丈夫さ
萩風,ミカン美味しいね
嵐,すごく甘いな
野分,暇だったんで、たくさん揉んどきました
嵐,えっ、ミカンって揉むと甘くなるの
野分,あれ？聞いた事ありませんか
嵐,えー、初耳
野分,食べ比べしてみますか
嵐,するするー
野分,こっちが普通のミカンで。こっちが揉んだやつです
嵐,どれどれ……。……あ！。すごい！全然違う！
野分,鳳翔さんが教えてくれました
萩風,どういう仕組みなんだろうね
野分,不思議ですね
嵐,のわっちって、結構几帳面だよな
野分,え、そうですか
嵐,ミカンの房の白いやつとかさ
萩風,ああ、野分は全部剥く派だね
野分,嵐は剥かないんですか
嵐,俺は皮だけだなー、面倒だし
萩風,この白い筋はすごく栄養があるんだよ
野分,そうなのですか
萩風,ビタミンとか食物繊維とか
嵐,はぎぃは詳しいなぁ
萩風,筋を綺麗に取って。つるつるになったミカンの房をね。こうやってふたつ重ねるとさ、ほら唇みたいでしょ。感触もね、本物そっくりなんだよ
嵐,おー、ちょっと厚めの唇だね
萩風,唇の厚い女の人はエッチなんだって
嵐,えー、何それ///。じゃあ、のわっちとか厚々じゃん
野分,な、何でですか！野分はエッチではありません！
萩風,あはは
嵐,あ、はぎぃそれ貸して
萩風,え？ミカン
嵐,そうそう、その重ねたやつ
萩風,はい
野分,？
嵐,ほらほら舞風～。エッチな野分ですよ～
萩風,ふふ、何やってるの
嵐,いや眠り姫にさ、王子様のキッス
舞風,う、う～ん……野分？
嵐,おっ、反応した。朝ですよ～、起きてくださ～い
舞風,もう……さっきたくさんしたでしょ～
嵐,！？
萩風,！？
野分,！？
舞風,続きはお風呂に入ってからね～……
嵐,！？///
萩風,！？///
野分,！？///
