【尸魂界,ソウルソサエティ
ばいきんまん,そしてオレさまは弱ったアンパンマンとついでにあの変な奴をやっつける！完璧だ！ハッヒフッヘホー！
ドキンちゃん,ばいきんまーーーーーーーーん！！！！！
ばいきんまん,ハヒッ！？
藍染,ジャムおじさんの言った通り、街は随分と賑わっているようだ
てんどんまん,てんてん、どんどん、てんどんど～ん！おいしい天丼はいかがザンスか～？
カツドンマン,くろぶたお肉をパン粉に包み～！
かまめしどん,かまかま、どんどん、かまどんどん～！
藍染,一部浮浪者もいるようだが、それでも街の治安は流魂街の比にならないほど良好だ
ミミ先生,ソウスケ先生～！どこですか～！
藍染,……
ミミ先生,あっ、いましたいました！よかった見つかって、もう授業が始まっちゃいますよ
藍染,もしや私に言っているのかい。悪いが人違いではないかな
ミミ先生,いいえ、写真でみた方と同じですもの。あなたがソウスケ先生だわ。子どもたちもあなたの授業をとても楽しみにしているんですよ。さあ、行きましょう
藍染,……。成程、世界に干渉するほどの力。これは私を導いたあの男の仕業というわけか
ミミ先生,それではソウスケ先生、授業のほうをよろしくお願いします。困ったことがあったらいつでも私に言ってください
藍染,心配することは無いよ。これでもかつては霊術院で教鞭を執った身だ
カバオ,せんせー、早く授業をはじめてくれよー
藍染,待たせてすまない。では講義を始める前にまずはみんな大きな声であいさつをしようか。おはようございまーーーす！！！
生徒たち,おはようございまーーーーーす！！！！
藍染,ありがとう、それでは始めさせてもらうよ
うさ子,そうすけ先生―！今日はなにするの？
藍染,死神と虚の戦いの歴史を学んでもらおうと思う。君たちも多少なり私の住まう世界に興味があるだろう
カバオ,えー、なんかメンドくさそうだなあ、あんまり難しいと憶えられないぜ
藍染,先人の見聞を識るというのは、自身の視野を広げるのにも役立つものだよカバオくん。なに、死神も虚も超越した私が振るう教鞭だ。君たちにも容易に理解できる教育を施すことを約束しよう
ミミ先生,みなさーん、お勉強を教えてくれたソウスケ先生にお礼をいいましょう
生徒たち,そうすけせんせー！きょうは楽しいおはなしをありがとうー！
藍染,礼には及ばないさ。私も君たちに喜んでもらえて嬉しく思うよ。そうだ、最後に一つ、とっておきの手品を見せてあげよう
カバオ,そうすけせんせー手品もできるのかよ！すげー！
藍染,さあ、私の刀を見るといい。この鏡花水月――――。！！
カバオ,うわあ！なんだよぉ今の音！？
ロールパンナ,白服の男！ここにいるのは分かっている！出てこい！。出てこないのならば次はこの建物ごと破壊する！
藍染,パン工場に続き、またも襲撃か
ミミ先生,しゅ、襲撃……！？いったいなにが起こって……
藍染,あのばいきんまんという男が私を討伐するために何者かを差し向けたとみて間違いないだろう。先程からわずか数刻。存外、敵対する者への排除意識が高い男のようだ
ミミ先生,みなさん落ち着きましょう！今から裏庭に避難します！
藍染,その必要はないよ
ミミ先生,え…？
藍染,襲撃者の目的は私だ。私が外に出て話をつけよう
うさ子,そんな、危ないよそうすけ先生！
カバオ,そうだよ、ぼくたちでアンパンマンを呼ぼうよ！
藍染,アンパンマン――
ちびぞうくん,そう！アンパンマンはとっても優しくて強いんだ！
ネコミ,いつも困ってるわたしたちを助けてくれるんだよ！
うさ子,きゃっ！
藍染,どうやら、そう悠長なことを言っている場合でもないようだ
カバオ,せ、せんせい
藍染,案ずることはない。君たちは騒ぎ立てず、ただそこに座していればいい
ミミ先生,ソウスケ先生！
藍染,待たせたね
ロールパンナ,……
藍染,どうした、私を呼んだのは君だろう？用件を言うといい
ロールパンナ,おまえ、強そうだな
藍染,さあ、どうかな
ロールパンナ,白服の男、わたしと戦え！
藍染,私の問いにも答えず、ただ戦いを遂行することだけに執着するとは。随分と血気盛んな子のようだね。君には幾つか訊きたいことがあったが、まずはご所望通り私が君の相手をしてあげよう。私もこの世界の住人の“戦い”というものを一度見ておきたかったところだ
ロールパンナ,いくぞ！。ローーールぁぁぁぁッ！！！！
藍染,銀条反を加工した武具か。型に嵌らない太刀筋は相手の虚を付き隙を生じさせる。だが届かない。縛道の八十一断空
ロールパンナ,そんなもので私の一撃を防げると思うな！！
藍染,――！私の断空に罅ひび。彼女からは霊圧を感じない。単なる膂力だけで私の鬼道を打ち破ったとでもいうのか。縛道の二十一赤煙遁せきえんとん
ロールパンナ,目眩ましか！。こんな小細工すぐにでも吹き飛ばして……！
藍染,――光弾・八身・九条・天経・疾宝・大輪・灰色の砲塔、弓引く彼方、皎皎として消ゆ。破道の九十一千手皎天汰炮せんじゅこうてんたいほう。完全詠唱の千手皎天汰炮だ。君ごときの力ではどうすることもできないよ
ロールパンナ,避けきれない――！
藍染,私の勝ちだ
ロールパンナ,うああああああっ！！！！！。はぁっ…！はぁっ…！
藍染,完全詠唱の私の鬼道を受けて未だ原型を留めているとは、大したものだ。とどめを刺す前に、君と、君を差し向けた男の素性について訊いておこうか
ロールパンナ,私は、アンパンマンを、アンパンマンを、アンパンマンを。倒す、ために――
藍染,！
ブラックロール,アンパンマンを、倒すために、生まれたんだ！！
藍染,何だこれは。彼女の肉体が黒く変質していく――
ブラックロール,お前には！負けないっ！！！
藍染,“負けない”か。私は、君のように勝機のない相手に対して蛮勇を振るい討ち伏せられる者を幾度となく目にしてきた
ブラックロール,はああああああっ！！！！！！
藍染,叫んでも何も変わらないよ。だがその愚かな勇気に敬意を称し私もこの“斬魄刀”を抜いて戦うとしよう
ブラックロール,なにっ！？
藍染,自身の全力の一撃がたかが刀一本に防がれるなどあるはずがない。この程度なら力で押し切れた筈だ。そう言いたげだね。しかし、恐らく君と私とでは元来“力”という言葉の認識そのものを異にしているのだ
ブラックロール,っ！うるさい！！
藍染,教えよう、力というのは――
アンパンマン,やめるんだ！そうすけくん！ロールパンナちゃん！
藍染,アンパンマンか
ブラックロール,アンパンマン……！？アンパンマンは私が倒す！！
アンパンマン,やめるんだロールパンナちゃん！ぼくはきみと戦いたくない！
藍染,縛道の六十一六杖光牢りくじょうこうろう
ブラックロール,ぐうっ！？
アンパンマン,そうすけくん！？なんてことを……！
藍染,六杖光牢は対象の動きを封じるための鬼道だ。彼女の肉体に損傷はないよ。しかし、激昂した相手に対して反撃の意思も見せず言葉で説得を試みるとは、随分と甘い男なのだな君は
アンパンマン,え…？
藍染,それとも、民衆の希望を背負って戦う立場から“そう振舞わなければならない”のかな。いや、徒口が過ぎたな。私はこの辺りで失礼するよ
ブラックロール,アンパンマン！こいつをほどけっ！！
アンパンマン,落ちついてロールパンナちゃん、きみはばいきんまんに操られているんだ
ブラックロール,デタラメを！私はお前を倒すために！
アンパンマン,だいじょうぶ、思いだして、ロールパンナちゃんの中にもあるはずだよ。みんなと同じ、優しい心が。メロンパンナちゃんもきみに会いたがっているんだ。ロールパンナちゃんと一緒にいると、こころがぽかぽかするって
ブラックロール,メロンパンナ……？。う……
アンパンマン,さあ、ぼくと一緒にメロンパンナちゃんに会いに行こうよ。……。そうすけくん、きみは一体……
ミミ先生,待ってくださいソウスケ先生！
藍染,まだ私に何か用かい
ミミ先生,あの、本当にありがとうございます。子どもたちを守ってくれて……
藍染,君たちを護った憶えはないよ
ネコミ,そうすけ先生！さっきは私たちを助けてくれてありがとう！
うさ子,またいつでも私たちの学校に遊びに来てね！待ってるから！
カバオ,そうすけせんせー、結局手品は見せてくれないのかよー
藍染,……。そうだね、最後に君たちに見せておこうか。私の鏡花水月を。私は貴方のほうから姿を見せに来るものだと思っていたが。どれもこれも初見の理論や概説ばかりが記してある。研究の素材としても非常に興味深いものばかりだ。だが、今はそんなことはどうでもいい。私は貴方の言ったこの世界と尸魂界に訪れる“大いなる危機”についての話が聴きたい。……。私にその強敵とやらを打ち倒せというわけか。それが叶わなかった場合は時どうするつもりだ。……。困ったものだよ。私には貴方のような老人をどう扱えばよいか判断しかねる。仙人か。尸魂界には馴染みのない存在だよ。！
窓から見えたものは？,>>↓3までで最も多かったもの
＜グリンガ,メタルグリンガ
カレーパンマン,やめろーっ！それ以上まちを壊すんじゃねー！
メタルグリンガ,グリンガーッ！
カレーパンマン,うわっ！？
しょくぱんまん,どうして町の中にグリンガの“成体”が！？
ばいきんまん,ハ～ヒフ～ヘホー！カレーパンマン、しょくぱんまん！まずは邪魔なお前たちからやっつけてやる！
カレーパンマン,やっぱりお前の仕業か！ばいきんまん！
ばいきんまん,いまさら気付いてもおっそ～い！それに、もうすぐメタルグリンガの群れがここに到着するのだ！
しょくぱんまん,なんだって！？
ばいきんまん,さあさあどうした！アンパンマンは来ないのか！来ないんだったら俺様好き勝手やっちゃうもんねー！
アンパンマン,やめるんだ！ばいきんまん！
ばいきんまん,ムッ、来たなアンパンマン！
しょくぱんまん,アンパンマン！グリンガが暴れています！気を付けてください！
ばいきんまん,しょくぱんまんめ余計なことを、いけメタルグリンガ！アンパンマンをやっつけろ！
メタルグリンガ,グリンガーッ！
アンパンマン,アーンパーーンチ！！！！。か、硬い……！アンパンチが効かないなんて……
ばいきんまん,忘れたかアンパンマン！メタルグリンガは全身がカッチンコッチンの巨大昆虫！お前ひとりじゃ勝ち目はないぞ！
アンパンマン,くうっ……
メタルグリンガ,群れ
藍染,あれが“大いなる危機か”。あの速度と質量を持つ一群が市街地で暴れ回れば、立ちどころに街としての機能は崩壊するだろう。しかし、この私があんなものを止めるために駆り出されたとは、この世界の危機意識も程度が知れる。貴方は戦わないのかい。口述を述べるだけ述べて自らは戦線離脱とは、勝手な老人だ。さて、まずは彼らの注意を私に引き付けるとしよう。破道の六十三雷吼炮らいこうほう
メタルグリンガ,群れ
メタルグリンガA,グリンガッ！
メタルグリンガB,グリンガーーッ！！
メタルグリンガC,グリンガ～ッ！！
藍染,見たところ、この一群の総数は計八体。面倒だ、一纏めに消し飛ばしてしまおうか。破道の九十黒棺くろひつぎ
メタルグリンガA,グリンガ！？
メタルグリンガC,グリンガーッ！
メタルグリンガD,グリーッ！！
藍染,詠唱破棄とはいえ私の黒棺の直撃を受けて傷一つつかないとは、その巨大な体躯は見掛け倒しではないらしい
メタルグリンガE,ぐりんが～～ッ！
藍染,！！。速いな。そして私の斬魄刀での迎撃を持ってしても斬るに至らない外殻の硬度、明らかに破面のそれらを大きく上回っている
メタルグリンガE,ぐり～っ……
メタルグリンガA,グリンガーッ！
藍染,縛道の八十一断空
メタルグリンガA,グリッ！
藍染,――！ただの突進で断空を破壊するとは、大した推進力だ
メタルグリンガE,グリーーッ！！
藍染,見えているぞ
メタルグリンガC,グリーッ！！
メタルグリンガH,グリンガッ！！
藍染,！！
ロールパンナ,藍染そうすけ！伏せていろっ！ローリングハリケーンっ！！
メタルグリンガA～H,グリンガ～～ッ！？
ロールパンナ,間に合った……！
藍染,君は、あの時の子か。私を敵視していたのではなかったのかい
ロールパンナ,事情が変わった。お前とアンパンマンのおかげで私は妹ともう一度会うことができたんだ、ありがとう。礼の代わりと言っては何だが、この戦い、私も助太刀させてもらう
藍染,断わるよ。私は弱者の習性に染まる気はない。君はそこで黙って見ているといい。この戦いの行く末を
メタルグリンガB,グリンガーッ！
藍染,縛道の七十五五柱鉄貫ごちゅうてっかん
メタルグリンガB,ぐり～っ……！
藍染,崩玉と融合し不死の存在へと進化を遂げたこの私の肉体に、この鬼道はお誂え向きだ。破道の九十六一刀火葬いっとうかそう
メタルグリンガB,グリンガ～～ッ！？
藍染,焼き焦がした我が身を媒介にして発動する犠牲破道だ。鋼の身体を持つ君に、この炎はよく効くだろう
メタルグリンガA,グリンガーーーッ！！！
メタルグリンガC,ぐりっ！
メタルグリンガD,ぐりりっ！
藍染,先程の突進攻撃とは軌道が違う、単なる突進から別の攻撃手段に切り替えたということか。縛道の――
ロールパンナ,ダメだっ！本気になったメタルグリンガの翼は触れるもの全てを切り裂く鋼の翼！防御は無駄だ！
メタルグリンガC、D,グリ～～ッ！！！
藍染,縛道の九十九禁きん
メタルグリンガC、D,グリンガッ！？
藍染,君たちの速度で飛び回られると少々厄介だ、大人しくしていてもらおう
メタルグリンガF,グリッ！
メタルグリンガG,グリリッ！
メタルグリンガH,グリンガ～ッ！！
ロールパンナ,気をつけろっ！メタルグリンガの光線は当たった相手をイモムシに変えてしまう！喰らえば終わりだ！！
藍染,成程、ならばその力、とくと見せてもらおう
ロールパンナ,！？
メタルグリンガA,グリンガッ！！
ロールパンナ,くそっ！何故避けようとしない！。くうっ！
藍染,君の言葉通り、対象の肉体を組成ごと変質させる能力のようだ。私とてまともに受ければどうなるか分かったものではないな
ロールパンナ,まさか、私が庇うことを見越してわざと攻撃を避けなかったのか！？なんて悪辣なッ……！
藍染,言ったはずだよ、君はそこで黙って見ていろと
メタルグリンガA,グリンガーーッ！！
藍染,残念だが、君たちの底は既に知れた。炎熱系の鬼道で一体ずつ葬り去るのも一興だが、それも時間の無駄だ。一息に、鬼道で圧し潰してあげよう。滲み出す混濁の紋章、不遜なる狂気の器――。湧きあがり・否定し、痺れ・瞬き、眠りを妨げる――。爬行する鉄の王女、絶えず自壊する泥の人形――。結合せよ、反発せよ、地に満ち己の無力を知れ――
メタルグリンガG,グリッ、グリンガッ！
メタルグリンガH,ぐりんが～っ！！
藍染,破道の九十黒棺
カレーパンマン,はあっ、はあっ…やったぜ…俺たち三人でメタルグリンガを倒したんだっ！
メタルグリンガ,ぐりんが～っ……！
しょくぱんまん,ぼくたちの勝ちです。もう諦めてください、ばいきんまん
ばいきんまん,うぐぐ、仕方ない…なーんて言うとでも思ったか！そろそろメタルグリンガの群れが到着する時間だもんねーっ！。さあ、出てこいっ！！。ありゃ？ありゃりゃっ？おかしいな
アンパンマン,グリンガたちのところにはロールパンナちゃんが向かったよ。だからもうここには来ない
ばいきんまん,なに～っ、うるさいうるさーい！ロールパンナ一人で何ができるってんだ！
アンパンマン,一人じゃないよ。きっと、そうすけくんも力を貸してくれる
ばいきんまん,えーいゴチャゴチャと！こうなったら俺様が相手だっ！覚悟しろアンパンマン！！
アンパンマン,アーンパーンチ！！！
ばいきんまん,バイバイキーーーーーーーン！！！
カレーパンマン,よっしゃーっ！見たかばいきんまん！
しょくぱんまん,一時はどうなることかと思いましたが、町に大きな被害が出なくてよかったです
カレーパンマン,はーっ、これだけ動くとお腹ペコペコだぜ
てんどんまん,てんてん、どんどん、てんどんど～ん！
カツドンマン,ミーのカツ丼はいかがでショ～！
かまめしどん,かまめしもあるベ！
カレーパンマン,おっ、てんどんまん達じゃねえか！たまにはカレーライスじゃないごはんも食べたいと思ってたんだ！。お～い！待ってくれーっ！！
しょくぱんまん,それにしても、さすがロールパンナさんですね
アンパンマン,えっ
しょくぱんまん,ここにメタルグリンガが現れなかったということは、本当に彼女一人だけで何とかしてしまったということでしょう？
アンパンマン,うん…。あっ、そうだ、ロールパンナちゃんを迎えに行かなきゃ。グリンガと戦って疲れてると思うから。それに、そうすけくんにも、ありがとうって言わないと
ロールパンナ,今の力はいったい……メタルグリンガたちはどこに……？
藍染,虚も死神も超越した私の放つ完全詠唱の黒棺だ。時空が歪むほどの重力の奔流に飲み込まれたのだ、もはや生きてはいまい
ロールパンナ,そうか、終わったのか……
藍染,差し当たっての役割は終えた、私はもう行くよ
ロールパンナ,待ってくれ、アンパンマンたちには会っていかないのか？皆きっとあなたに感謝の言葉を伝えたいはずだ
藍染,必要ないよ、その類のものは私の思想にそぐわない
ロールパンナ,それならせめて私から礼を言わせてほしい。本当に、ありがとう
藍染,……
ロールパンナ,このことは私からアンパンマンたちに伝えておくよ。藍染そうすけという男が、メタルグリンガの群れを倒してくれたと。あと、さっきの戦いで私を敵の攻撃の囮に使ったことも忘れないぞ
藍染,まったく、執念深い子だ。縛道の二十六曲光きょっこう
ロールパンナ,姿が消えた……！？。……。ありがとう藍染そうすけ、私たちを助けてくれて。この恩は、いつか必ず返させてもらう
藍染,これで“大いなる危機”とやらも去った筈だ。私も尸魂界に戻らせてもらうよ。……。口下手な老人だ。私がそんな児戯のような挑発に乗るとでも？。だが、存外この世界での“戦い”も悪くはない。銀条反の娘や先程の甲虫、この世界の住人と刃を交えるたび、自らの霊力と霊圧が増幅していく感覚を憶えた。もう少しだけ、貴方の我儘に付き合うことにするよ。ばいきん仙人とやら
①,砂嵐
②,猛吹雪
③,巨大な影
藍染,大した膂力だ。先日の君とは見違えるようだよ、ばいきんまん
ばいきん黒騎士,ふんっっ！！！
藍染,槍の一振りで地形が変わる。それが今の君の力か
ばいきん黒騎士,攻撃はどうした！避けてばかりでは何も始まらないぞ！。次は完全詠唱の黒棺で来い！それすらもオレさまが打ち破ってやる！！
藍染,いいだろう。滲み出す混濁の紋章、不遜なる狂気の器、湧きあがり・否定し、痺れ・瞬き、眠りを妨げる――――
ばいきん黒騎士,行くぞっ！！！！
黒雪姫,何だいお前。まだ生きていたのかい
藍染,不覚だったよ。まさかこの私が君ごときの力に遅れを取るとは。だが、あれが私の最後の隙だ
黒雪姫,ふん、何とでも言うがいいさ。いまさらノコノコ出てきたところでお前に止められるのかい！この星を覆う黒雪の嵐を！
藍染,確かに君の力は賞賛に値するものだ。尸魂界にすらこれほど強大な天候支配能力を持つ者はいないだろう。そして君を“倒す”手段が存在しないのもまた事実。たが“倒す”だけが君を葬り去る手段ではない
黒雪姫,まどろっこしいことを言うガキだね！私を封じる唯一の手段だった“手鏡”は既に砕け散った！お前もその目で視たはずだよ！。もうお前たちに出来ることは何もないのさ！さあ、お前ももう一度凍りつかせてやろう！。呪われた風よ、呪われた雪よ！この世の全てを覆いつくせ！黒い氷で覆いつくせ！
藍染,力無き者たちの意思をひたすらに背負い、責任感のみで拳を振るって得た勝利の先に何が残る。戦いで傷付き疲弊していくのは自らの肉体だけだよ。君は力無き者たちへの失望は一切なく自らの正義を全うできると、心からそう言い切れるのかい。君は、何のために戦うんだい
アンパンマン,そうすけくん。ぼくはね、困っている人を助けた時に、こころがあたたかくなって、そのとき分かったんだ。ぼくが何のために生まれてきたのか、何をして生きていくか、何がぼくの幸せかって……。泣いている人、困っている人、お腹がすいた人、みんなぼくの顔を食べると、ニコッと笑顔になるんだ。その笑顔を見るとね、嬉しくてぼくも自然に笑顔になる。そしてね、むねがとってもあたたかくなるんだ。みんながぼくに勇気を、優しさをくれる。だからみんなはぼくが守る、守るために戦うんだ
藍染,私を背負えアンパンマン
アンパンマン,え？
藍染,両腕を砕かれた今の私に、あの巨星を撃ち落とせるだけの力はない。だが、奴の雷撃を逸らすための鬼道を放つ程度の霊圧はまだ残っている。よもやこの私が君の思想にあてられ、団結などという弱者の習性に縋ることになるとは――。さあ、飛ぶんだアンパンマン。私に諦めない心を説いたのは君だろう。君はこの世界の“勇気”だろう
アンパンマン,――うん、行こう、そうすけくん！みんなを護るために！
藍染,霊力の枯渇による霊体の崩壊が始まっている。どうやら私もここまでのようだ
アンパンマン,そうすけくん！
ロールパンナ,藍染そうすけ！
ばいきんまん,待てそうすけ！まだオレさまとの決着はついてないぞ！
藍染,……。……。さようなら。私にとって君たちは――――。――実に許し難い存在だったよ
