はじめに、これは続き物です。よろしければタイトル検索などで、前作を見て頂きたいです。,見てなくてもまぁまぁ見れます
勇者,そんなのどうでもいいんだよ。この森を出たいから道案内しろ
山賊,へ……だれがそんなもん…
盗賊,おい！！アニキ何するかわかんねぇんだから早く吐けって！！
山賊,はっ！！ちょっとやそっとの拷問なんざ声も上げないぜ？
勇者,そうかなあ？
山賊,な、なんなんだその得体の知らない棒は！？
勇者,ただのひのきのぼうピンク仕様。ちゃんとした用途で使うのは初めてだけどなぁ～
山賊,なにをするつもりだ！！
勇者,尻に突っ込んで人間…いや、男としての尊厳を失わせてやるぜ！！
山賊,ひっ！
剣士,さすが師匠…プライドが高い相手の扱いもお手のものだ…！
盗賊,あんたのメモとんでもねぇラインナップになってんな
山賊,や、やめろ！！あっ！あぁっ！？
勇者,イメージはドジョウと雷魚のハーフだせぇ！？
山賊,うぅ…ひどい…
勇者,自分の意思で動かせるひのきのぼうって万能だよなぁ…？
賢者,使用済みって最悪だけど……
勇者,たしかにあんま触りたくはないな…。盗賊、洗っとけ
盗賊,ファッ！？
勇者,おい、山賊？
山賊,ナニヨ！！
賢者,ナニヨ？
勇者,もうワンセットいくか？
山賊,
勇者,じゃあ、言われたことに答えろ
山賊,はい！
賢者,よかった、じゃあ森の出口を…
勇者,お前らの山賊の羽振りはいいのか？
賢者,何の話！？！
盗賊,ぼ、ぼちぼちっす
勇者,お前のアジトを教えろ…
賢者,根こそぎか！！！！
盗賊,そ！それは酷すぎるっす！！
勇者,は？貰えるもんは貰おうぜ？
賢者,それが勇者の言うことか！！
勇者,えー？だめか？
盗賊,無駄な争いはしない方が懸命っす！怨みも買いたくないっすし…
勇者,それなら大丈夫だ。おい、山賊…これを見てみろ？
山賊,へ？
勇者,賢者の魔法でな。被写体を寸分たがわず模写できる魔法。フォトビジョンだ
山賊,あんた鬼か！！！
勇者,へっへへ…これをばらまかれたくないなら誰にも言うなよ？。あと、毎週十万ゴールド持ってこい…
山賊,わかった…なんでも言ってくれ…
勇者,初めからそういえばいいんだよ
山賊,はぁっはぁっはぁっ！！
盗賊,いやぁ！リアカーって快適っすね！！
剣士,乗る方も…なかなかです…
山賊,な、なんて奴等だ…！
勇者,な？気持ちいいだろ？。人間に牽かせるのがたまんねぇんだよ。馬車じゃ味わえない優越感さ！
賢者,あんた、仲間に対してどんな感情抱いてんのよ
勇者,絶対的支配感さ！あっはっは！
盗賊,アニキってやっぱ糞野郎だわ
賢者,それ、ほぼ魔王の発言じゃない…
剣士,なるほど…やはり人の上に立つ者の考え方だ！
盗賊,そのメモは絶対いらないでしょ！！！
賢者,そうね…！
山賊,ひ、人に荷車牽かせておいて楽しそうに会話なんかしやがってぇぇぇ！！！。ぶっ殺してやるッッッ！！
勇者,ん？なんか…
賢者,様子がおかしいわね
盗賊,おい、ホントにこっちであってんのか？
山賊,………
剣士,どうしたんですかね？？
勇者,おい、明らかに深い森にきてんだろ？殺すぞ？
盗賊,ひどい
山賊,ふはは…もうおしまいさ…。あんたらも！！俺も！！
勇者,はぁ？
賢者,なんなの？
山賊,ここはなぁ！！。魔王の一番のペット！！トロルコングの住みかさ！！！。知能は低いが、あの魔王四天王の一角だぜぇ！？
勇者,てんめぇ！！引き返せ！
盗賊,そんな…！！
山賊,あはははは！！ここに来たが最後！！！。誰も生きちゃ帰れねぇよ！！。ここはもう縄張りの中なんだからなぁ！！
剣士,こいつ！！！
勇者,まぁ、大丈夫だろ。トロルコングってたしかゴッツイゴリラ程度で…。あれぇ？
剣士,さすが四天王…！！！
盗賊,で、でけぇぇぇぇぇぇぇぇぇ！！！！
トロルコング,ゴァァァァァ！！
賢者,来るわよ！！
勇者,やっべ！！
剣士,っく！！
盗賊,うわぁぁぁぁぁ！！
賢者,くっ！！
山賊,…！！。あ、あんたなんで俺を助けた！？
勇者,……
山賊,なんでだまってんだよ！！
勇者,お前がいないと森の外に出られねぇだろこのボォケが！！。走れお前ら！！！
山賊,くそっ！くそっ！くそっ！！。なんでこいつに助けられなきゃいかんのだ！！。俺はこいつもろとも死ぬつもりだったのに！！。そうすれば！！アジトのガキ共にも金が入るって言うのによぉ！！
賢者,どうする！？勇者！！
勇者,見ろ、あいつリアカーの食料の匂いを嗅いでやがる！！。食べてるうちに身を隠そう！！
トロルコング,ウグッ！！
勇者,な！！？。くっそ！！あれだけの食料で時間も稼げねぇのかよ！！！
盗賊,どうするっすか！？
賢者,私が時間を稼ぐわ！！
勇者,はぁ！？
賢者,あのデカさにひのきのぼうや剣が届くと思ってるの！！
勇者,！！
剣士,お、置いては行けん！！師匠、私も！！
賢者,話聞いてた！？
勇者,行くぞ！！
山賊,わ、わりいな！！
盗賊,剣士！！ここはとりあえず逃げよう！！！。俺たちじゃ太刀打ち出来ないし…。賢者の魔法は強力だ！！隙を見て逃げるさ！！
賢者,言ってくれるわね、でもその通りよ…
剣士,し、しかし…
賢者,早く！！！
剣士,死ぬなよ！！
盗賊,ひぃぃぃぃ！！
賢者,はぁ…はぁ……。私が何のために…旅してると思ってるの…。更なる高みを目指す為よ！！！。アイシクルスパイク！！！。……そんな！！。考えろ…詠唱時間はない…もう…。逃げる…！？隠れる…！！だめっ！！。詠唱時間がないならもう一度いや…。そうだ！！。アイシクルスパイク！！！
トロルコング,ウガァッッッ
賢者,やはり人型…！弱点は一緒ね！。勇者の戦い方を見てなきゃ思い付かなかった…！。アイシクルスパイク！！。もう一発！！アイシクルスパイク！！。次は両目を奪う！！！
トロルコング,！！！
賢者,知能が低いんじゃないの！？こいつ学習してる！！。なら…ファイヤーウェーブ！！！
トロルコング,！？
賢者,やっぱり、獣ね！！火に怯える！！。……遥かなる大地…精霊の宴…
トロルコング,ゴァァァァァァァァァァァァ！！！
賢者,もう慣れたか…くそ…だけど！！。……天変地異…神の裁き…ロックメテオ！！
トロルコング,ゴガァァァァッッ！！？。ゴ……ゴガガ……！
賢者,はぁ…はぁ…はぁ…。やった…やった！！！。倒した！！！。あ……あぁ…。そん…な………？。もう、距離は５０メートルもない…！！。ぐぅッッッ！！。……し、しんで…ない……
トロルコング,あが…が……？
賢者,なるほど…さっきの一撃でさすがに脳震盪を起こしたみたいね…。やはり、弱点は人と一緒…！。魔法を……。！？。だ、だめ……動けない…
トロルコング,。ゴァァ…
賢者,初めから…分かってたけど…。やっぱり…勝てないわよね…自分より強い相手に…なんて…。勇者について行けば…なんとなく変われるなんて思ってた…。けど…やっぱり私は私のまま…ここで…終わり
トロルコング,？
盗賊,はぁ…はぁ…！！
勇者,はぁっはぁっ！！ちきしょう！！
山賊,もぅダメだ…諦めろ…あの女は死に…俺達も…
勇者,うるせぇ！！！
山賊,あいつは鼻が利く…自分の縄張りに入ったやつを逃がすことはねぇんだ…
勇者,うるせぇっつってんだろ！！。あいつは盗賊に迎えに行かせた！。これがどういう事か分かるかぁッッッッ！！
山賊,囮だろ？
勇者,ちげぇ！！！。一発逆転の作戦を俺が生み出すって事だ！！！。今からな！！！
山賊,一発逆転つったって…どうにもなんねぇ物もある！！分かってるだろ！！あのデカさ！！パワー！！スピード！！そして嗅覚！！。人間じゃあどうしようも無いことだってあるんだ！！
勇者,俺は…ただの人間じゃねえ…。勇者だ……！！
剣士,師匠！！早く走りましょう…！！
勇者,まて…これ以上離れると…あいつらが…
山賊,ふ…まるで助けれるって顔だな？
勇者,当たり前だ…！
山賊,それは無理だろうな…
剣士,お前なぁ！！師匠に助けて貰っておいて！！
勇者,まて！！
剣士,師匠なぜ！？
勇者,いいか山賊のおっさんよぉ？。必死に死ぬ理由を探すくらいならよ…。必死に生きる方法を見つけろよ……
山賊,…ぐ
勇者,なんでもいいんだ…この森の構造…地質…地形…。野草の種類や…天候……。全ては生きるために！
山賊,地形…か…
勇者,なんかあるのか！？
山賊,ここから先に進めばデカイ湖…そこは背の高い海草だらけだ…多分あの化け物なら足がついちまうがな……。それに、大きな奈落の大穴…深さ200メートルくらいはあるが…いくらトロルコングが低知能といえ落とせるとは思えん…。後は急勾配な崖…。崖の上の大岩は丸く転がしやすい…当てれば少しはダメージになるかもな…
勇者,……よし行こう
山賊,そのうちのどこにいくんだい？
勇者,湖だ…！
トロルコング,ゴァァァァァァァァッッッ
盗賊,あぶねぇ！！。くそっ！くそっ！！！。ひっ！！。今のはヤバかった！！
トロルコング,ゴァァァァァァァァァァァァァ！！
盗賊,し、死ぬかな！？。こいつ…右目を失ってる！？。なら！！。今だ！！
トロルコング,ゴァァ！？！
盗賊,盲点ってしってるかデカブツ野郎！！。よし！！賢者を回収だ！！
賢者,と…盗賊？なぜ……
盗賊,アニキの命令っすよ……！
賢者,ふん…無謀ね…
盗賊,さぁ、背中に！！
賢者,…
盗賊,早く！！！
トロルコング,ゴァァ？
盗賊,くそ！！とにかく走るッッッ！！
トロルコング,ゴァァァァァァァァァァァァァァァッッッッ
盗賊,き、気づいたぁぁ！！。はぁっ！はぁっ！はぁっ！。魔法は撃てるっすか！？
賢者,奴には効かないわよ
盗賊,それでも撃つんすよぉぉぉ！！
賢者,アイシクル…スパイクッッ！！
盗賊,なんとか…行けるかも！！。あ、あの煙は！！！。よかった、アニキの合図だ！！。もうひと踏ん張りといくっすよぉぉぉぉぉぉ！！！。はぁ、はぁ、はぁ！
勇者,おーい！！こっちだ！！
盗賊,アニキ！！
剣士,よく無事だったな、さすがだ
盗賊,そ、そこまでトロルコングが！！
勇者,あぁ、分かってる
盗賊,あの遠くに見える崖の岩石…落として当てればダメージになりそうっすね！！
勇者,そうだな
盗賊,じゃあ、もうひとっ走りしましょう！！
勇者,まて
盗賊,え？
勇者,ここでカタをつける
盗賊,はぁ！？カタってなにもない拓けた土地じゃないっすか！？アニキらしくないっすよ！？
賢者,秘策…あるんでしょうね？
勇者,もちろんだ…
剣士,来ます！！！
盗賊,あ、アニキィィィィィィィッッッッ！！。巨大な…！！落とし穴……！？
賢者,こんな大きな穴にどうやって蓋を……！？！
勇者,簡単さ、長い海草と大量のひのきのぼうで支柱を作って被せただけだ。後はその上に草と落ち葉を被せた、森だから隠すための材料は多いな
賢者,そんな、これだけの大蓋をこんな短時間で！？
勇者,罠にも詳しく、手先の器用なおっさんがいてね
山賊,…ふん
勇者,あとは、お前らが乗ったときに壊れないかヒヤヒヤしたけどよ、まぁ死ぬときは死ぬだろ？
盗賊,ちょっ！！頼みますよアニキィ！！
勇者,結果オーライだろ！あっはっは！！
盗賊,な！！下まで落ちてない！！！
勇者,まぁ、これも予想してたが…
盗賊,どうするんすか！！
勇者,最後は彼女に…任せましょう…！
賢者,……天変地異…神の裁き…！！
盗賊,！！！
賢者,ロックメテオぉぉぉぉぉぉッッッ！！。ふん、毛玉の分際で手こずらせて……
勇者,さて、一件落着って事だな！
剣士,さすが師匠！！今日も冴え渡ってましたね！！
勇者,そうだろそうだろ！！あっはっは！！
盗賊,はぁぁぁ…死んだぁ…
剣士,それを言うなら死にそうだった、だろ？
盗賊,いいや、今回ばかりは…何回か死んだよ…本当に…
勇者,まぁ、生きてて良かったな…
盗賊,あ、アニキ！！
勇者,馬車牽き君！！
盗賊,アニギィィィィィィィィ！！
山賊,元々あの大穴の場所は俺らの小さな集落…故郷があった場所なんだ
盗賊,それであの辺りに詳しかったんすね
山賊,あぁ、ある日突然集落を消し飛ばされて、トロルコングを放たれた俺たちは絶望の淵に叩き落とされたよ…。そんな時だった、ある男が来て言ったんだ。あんたらを殺せば魔王軍から大金を貰えるって…
剣士,へぇ…魔王軍もついに本気になったみたいですね？
勇者,正直余裕だ
山賊,本当か！？はっはっは！。でも、あんたが言うとおり…どんなに辛くても…魔王がいてもよ…。生きるための方法を探してみるよ…！
勇者,え？俺そんな事言った？
山賊,…
勇者,それよりさ、あんたのせいで仲間が大ケガしたんだよね
山賊,…！？
勇者,慰謝料と治療費はたんまり貰うぜ？。あんたが首を吊るくらいなぁぁぁぁぁ！？！
山賊,ッッッッ！？！？！？
勇者,じゃあ、世話になったな！俺たちはこの地図通り森の外を目指すぜ！！。またなぁ！
山賊,あいつらぁ…マジで根こそぎ金とりやがった！！。盗んだ高級リアカーまで持っていきやがって！！！
山賊嫁,まぁ、いいじゃないか？。勇者のお陰でこの森も平和になったんだからさ！
山賊,ぐぬぬ…認めたくはないが…そうだな…。お前も山賊だろ。なんだ？みんな揃って…？。というか、よく俺を置いて逃げてくれたな？。そうか…わかった…。ッッッッ！？！？。イヤァァァァァァァァァァァァァァァァァ！！！
異種格闘戦、剣士VS野生のトマト,無農薬
