本田未央,プロデューサー……今、あなたは何をしていますか？相変わらず馬鹿なことやって、はしゃいでいるのでしょうか？それとも、偶にみせる実直さで何かに向き合ってるのでしょうか？それでも……いつもと変わないあの笑顔で過ごしているのでしょうか？私は、あなたに会えない寂しさで笑えそうにありません……。ねぇ……笑えないよ……どこに居るの？プロデューサー。会いたい、会いたいよ……
友紀,……あ、あの？まゆちゃん？
まゆ,……うふふ
友紀,だ、大丈夫？
まゆ,ふ、ふふ……ふ……ふわああああん！うわあああああん！！
友紀,あぁ！泣いちゃった！！
まゆ,あああっ！凛ちゃんとぉ、加蓮ちゃんがぁ！！まゆのこと、縛るからぁああ！あ゛あ゛あ゛っ！
友紀,幼児泣きにシフトしたっ！
まゆ,あ゛あ゛あ゛っっ！！……ひゅぅ～…………う゛あ゛あ゛あ゛あ゛あ゛あ゛～！！
友紀,よ～しよし！そうだねそうだねっ！！まゆちゃんだったら止めれたもんね？守護神だもんね？セーブ王だもんね？
まゆ,んくっ……ん……
友紀,お？
まゆ,う゛あ゛あ゛あ゛っ！！
友紀,だよね！だよね！！
モバＰ,…………な？
凛,何がっ！？もうぐちゃぐちゃだよっ！
モバＰ,知ってるか？今ここには、ちひろさんと楓さんもいるんだぜ？
ちひろ,巻き込まないでくださいよ！折角気配消してたのに！ねぇ、楓さん！？……楓さん？
楓,大丈夫？加蓮ちゃん。ここは片づけてるから、ソファで横になったほうがいいわ
加蓮,うん……ゴメンナサイ。ありがとう
モバＰ,ちひろさん……
ちひろ,いや……私をそんな目で見ないで……か、加蓮ちゃん！ホットはちみつミルク飲む？作ってくるからっ
モバＰ,逃げおった……それで、奏
奏,何？
モバＰ,人の価値観にあれこれ言いたくは無いけど、アイドルである以上は挨拶のつもりでもキスは厳禁だ。ましてや、唇になんて以ての外だ
奏,……分かったわ。でも、一応は初めてのキスになる訳だから……もう少し、その……
モバＰ,ん、まぁ……光栄だよ
奏,ふふ、良かった
凛,甘くない！？もうちょっと説教するとこじゃないの！？私達には抱きしめただけで小言言うのにっ！
モバＰ,だってお前達いつも戯れてるじゃん。そら言うよ。いつ外でボロが出るかわからんし
凛,もうもうもうっ！！レベルが違うじゃん！キスとハグ！キスとハグの差っ！！ていうか、奏が戯れてるっ！こっちは真剣っ！！
奏,戯れながらキスして小言だけなら
凛,許される訳ないでしょっ！
奏,なら、真剣にするわ。あら、凛達は真剣にやって小言で済んでるみたいだから、真剣にしても同じなのね
凛,あ゛あ゛っ！！キスとハグの差って言ってるでしょ！！プロデューサー！！この子戯れてるっ！！
モバＰ,いやまあ……取り敢えず落ち着こう。クールな凛ちゃんが遥か彼方にぶっ飛んでる
凛,だって、だってぇ！！！
奏,この感じだと、事務所内なら許されそうね……ふふ
凛,あっ！プロデューサー！この子、不穏なこと呟いた！事務所存続の危機だよ！！
奏,ふふっ
凛,笑った！！危険っ！
モバＰ,凛、ほんと落ち着こう？な？もう、訳わからんから
凛,奏の味方なの！？私を捨てるの！？
モバＰ,駄目だこりゃ。仕方ない……芳乃～？よしの～ん！
依田芳乃,呼びましてー？
奏,！？
モバＰ,ちょっと凛が混乱してるんだ。落ち着かせてくれないか？
芳乃,そなたの頼みならばー。もしー？
凛,何！？誰っ！？……幼女？
芳乃,むー……わたくし依田は芳乃でしてー。ちなみにー、わたくしのほうがお姉さんでしてー
凛,ごめんね、今それどころじゃないのっ！
奏,Ｐさんと旅行してた子って、この子だよ？言い忘れてたけど、ちひろさん情報ね
凛,！？
モバＰ,……おのれ、ちひろ
芳乃,つまり、めおとのようなものでありー
凛,！？！！？
フレデリカ,すごい煽ってる☆争え……もっと争え……みたいな♪
モバＰ,やけに静かだったな？キャラ的にもっと掻き乱しそうなのに
フレデリカ,ひどーい！でも、あってるかも♪ちょっと、ホットはちみつミルク飲んできただけだよ……じゃなくて、ちひろさんの手伝いしてたっ！
モバＰ,清々しいほどの嘘吐きっぷりだな。っと、そんな事言ってる間に、はいっ！
凛,ごめんね。ちょっと取り乱した……もう大丈夫。これからよろしくね、芳乃
芳乃,こちらこそー、よろしくお願いしますー。みなで手を取り幸せになりましょー
フレデリカ,おー！あの間で手懐けてる！
奏,手懐けるって……それにしても、相変わらず凄い子ね
モバＰ,謎のよしのんパワーですわ
奏,謎すぎるよ……
先輩Ｐ,お疲れ様です。凛、奈緒、加蓮、まゆ居るか？そろそろ時間だぞー？
ちひろ,凛ちゃん、奈緒ちゃんは加蓮ちゃんの着替えに付き添ってますよ。まゆちゃんはお化粧直しに。もうすぐ戻って来ると思います
先輩Ｐ,着替え？化粧直し？なんでまた……ん？ぁ……Ｐ……か？
モバＰ,パイ……セン？
先輩Ｐ,おまえ……いつ帰って……まあいい！よしっ来い！抱きしめてやるっ！
モバＰ,そんな恐れ多い……
先輩Ｐ,久しぶりにかわいい後輩と再会したんだ。私が抱きしめたいんだよ。遠慮すんな
モバＰ,ほんとに恐れが多いんですよ！なんスか！その範馬勇次郎の構えっ！
先輩Ｐ,いいから！ほら、乳好きだろ？あててんのよって言ってやるから！
モバＰ,俺には異常に発達した大胸筋にしか見えねぇんスよ！
先輩Ｐ,てめぇ！最後の時くらいは快楽と共に逝かせてやろうとしたのに！なんだその言い草はっ！！
モバＰ,やっぱ殺る気じゃねぇか！
先輩Ｐ,当たり前だろぉがっ！クソ忙しい時にバックレやがって！！待てやっコラぁ！！
モバＰ,なんて口の悪いっ！って、何机持ち上げてるんスか！？え？え！？投げんの！？ラージャンかてめぇ！！
先輩Ｐ,ラージャン？
モバＰ,ポケモンでいうピカチュウ、妖怪ウォッチでいうジバニャンみたいな愛されキャラクターですね
ちひろ,間髪容れずスラっと言いましたね
先輩Ｐ,ちひろさん
ちひろ,ひゃ、ひゃい
先輩Ｐ,ちょっとパソコン借りますね
モバＰ,っ！
先輩Ｐ,ゴリラじゃねぇかっ！！
モバＰ,うわぁ！飛んだぁ！！へぶっ！！
ちひろ,……ほんとに飛鳥文化アタックするのかと思っちゃった。あ……
加蓮,なに……してるの？
先輩Ｐ,おお、来たか。これは、ＳＴＦ。ステップオーバー・トゥホールド・ウィズ・フェイスロックだな
モバＰ,ん゛ん゛う゛う゛ふ……ん゛ん゛う゛う゛ふ……
加蓮,そんなくんずほぐれつ、イチャイチャ……うっ！
凛,先輩Ｐ！今の加蓮、不安定だから！そういうの駄目っ！
先輩Ｐ,は？
奈緒,大丈夫大丈夫。アレただの処刑だから。な？
加蓮,ふぅ～ふぅ～
まゆ,Ｐ……さん？
凛,まゆ！見ちゃダメっ！！
先輩Ｐ,なんなんだよ？
モバＰ,あんたが……なんなんだよ……ていうか……はやく、しごと……いけ……よぉ……かふっ。うぅ……酷い目にあった……
フレデリカ,お疲れお疲れ！いや～楽しいねっ♪素晴らしいお弁当タイムになったよ
モバＰ,あんな中で飯食ってたのか……
未央,さて、そろそろ私も仕事の準備しないとね
ちひろ,あ、ごめんなさい。さっきまでのカオスっぷりに言うの忘れてました。未央ちゃんと卯月ちゃんの撮影、先方の事情で延期になりました
未央,ええ～？む～、暇になっちゃったなぁ……かえ姉さまはまだ仕事じゃないの？
モバＰ,この人今日完全オフなんだよ。飲みに行く約束してたんだけど、朝から来てたみたいね。世界は驚きに満ち溢れているよ
楓,ここにいたら退屈しませんから。それに早くプロデューサーのお顔見たかったから……で、どうでしょう？
モバＰ,上々ですね。ただ、奢りになるほどでは無いかと
楓,ぶ～
ちひろ,ぶ～
モバＰ,意外と飲む人多いから、仕方ないね。特に黄緑の悪魔！
ちひろ,はて？誰の事でしょうか？
モバＰ,あそこに鏡がありますよ？
ちひろ,ふふ
モバＰ,はは
未央,……二人なんか気安い関係だよね。要注意だよ……ていうか、先輩Ｐは？ハブ？
ちひろ,私から一応誘ったんですけどねぇ……海外公演以来、他の子もそうですけど、特にNGとTPの仕事が爆発的に増えましたからね。それに加えて美嘉ちゃんの件でてんやわんやみたいだから
友紀,そうだっ！その美嘉ちゃんの件ってなに？そんなプロジェクトがあるってのは聞いてたけど
モバＰ,そうだな……もうすぐ本人が来るだろうから、その時にでも
芳乃,ほー。噂をすればー、影といいますがー
友紀,え？誰か来たの？
奏,また謎パワーかしら……
島村卯月,おはようございます！今日もお仕事頑張りますっ！
フレデリカ,残念！卯月ちゃんでしたっ！
卯月,いきなり残念呼ばわり！？そんな事言っても頑張りますからっ！絶対頑張りますっ！誰が何と言おうとも頑張りますっ！ええ、ええ、頑張りますとも！私を頑張らなくしたら、大したもんですよ！ふんっふんっ！
モバＰ,そういう意味じゃないから、落ち着こうな？あと、卯月の今日の仕事無くなったから
卯月,……プロデューサーさんは大したもんです……ん？プロデューサーさん？
モバＰ,おう、お久っ！
卯月,わぁ～！プロデューサーさんだっ！はむっ
モバＰ,うひっ
奏,……耳を甘噛みするのはアリなの？
城ヶ崎美嘉,無しだよ……ほら、卯月。ブレイクっ！
城ヶ崎莉嘉,あー！Ｐくん浮気してるっ！ひどいひどいっ！
卯月,ん？美嘉ちゃん、莉嘉ちゃんもひと噛みいく？
美嘉,……え？
莉嘉,いいの？
モバＰ,駄目に決まってるだろ！卯月もいい加減にしなさい！
卯月,は～い
モバＰ,ってことで、何となく察したと思うけど、美嘉の妹の
莉嘉,やっほー☆莉嘉だよ!お姉ちゃんと一緒にアイドルすることになったんだ～！よろしくね☆あと、Ｐくんの彼女だよ！へへへっ照れるな♪
楓,……プロデューサー？ふふ
モバＰ,ここにいるのが、騒がない人達で良かったですよ。仕事の説明と契約について城ヶ崎家に行った時に懐かれちゃいまして
莉嘉,Ｐくんがアタシの魅力にメロメロになったんでしょ～！
美嘉,莉嘉。プロデューサーを困らせないの
モバＰ,美嘉、大丈夫。……ん～、フレデリカなら……
美嘉,？
モバＰ,さて、莉嘉。俺を莉嘉の彼氏にしてくれるという魅力的な事についてだが
莉嘉,へへっ、自慢していいんだよ？
モバＰ,うん。でも残念ながら、もう彼女……いるんだ
莉嘉,え！？嘘っ！誰！？
モバＰ,フレデリカだ
フレデリカ,そう、彼女です
未央,迷いなく瞬時にノリおった……
莉嘉,ぐぬぬっ凄い美人さんだっ
卯月,かく言う私も彼女でね
莉嘉,んなっ！？
モバＰ,ﾝﾌ……んん゛！そういう訳だから、ごめんな？
莉嘉,む～……でも二人も彼女がいるなら、莉嘉も彼女でいいよね？
モバＰ,二人目は、完全に島村奇想天外だったんだけど……どうしよ
莉嘉,え？
モバＰ,いや、何でもない。ん～……あれだ。実は二人とはもう別れないといけないんだ
莉嘉,じゃあ！
モバＰ,事務所が346プロになって規約が変わってな？プロデューサーはアイドルと付き合ってはいけないことになったんだ
美嘉,結局そういう理由にするんだ……
フレデリカ,手切れ金は最高級おみたまプリンでいいよ～
卯月,実質一万円だね。あ、二セットだから二万円だね
モバＰ,おまえら……
莉嘉,……バレなきゃ、いいんじゃないかな～？
モバＰ,バレたら二度と会えなくなるぞ？
莉嘉,う～
モバＰ,俺は彼氏彼女にならなくても、大好きな莉嘉と一緒にこの事務所で頑張っていきたいなぁ
莉嘉,大好き？ほんと？
モバＰ,おう！
莉嘉,じゃあ、それでいい。でも！いつかアイドル卒業したときはっ！
モバＰ,そうだな。けど今はトップアイドル目指して一緒に歩んで行こうな？
莉嘉,うんっ！
奏,……悪い人ね
未央,しぶりん達に報告しとこ
楓,今日の飲み会での話の肴が出来ましたね
美嘉,莉嘉を泣かしたら許さないからね。あと、アタシだって卒業したときは……わかってるよね？
フレデリカ,プリン楽しみだなー♪
卯月,メロンでもいいですよ？生ハムを忘れずに！
芳乃,そなたー？……………………………………………………………………………………そなたー？
モバＰ,……よしのんが一番怖いんですが
友紀,よく分からないけど、一件落着したんだよね？美嘉ちゃんと莉嘉ちゃんのユニット楽しみだねっ！！
モバＰ,ユッキだけが癒しですよ……。んは～、ねむぅ～
先輩Ｐ,おう、早いな
モバＰ,うおっ！びっくりした。先輩こそ早いッスね。誰も来てないと思ったのに
先輩Ｐ,やることいっぱいなんだよ。誰かさんが休んでたから
モバＰ,引っ張りますね……一応言い訳させてもらうなら、本当に休めるとは思ってなかったんですよ？そして実際休みって感じではなかったんですから
先輩Ｐ,休みの終わりに、ちょっと美嘉の家に説明に行ったぐらいで何を言ってんだか
モバＰ,その前にですね……部長が言うわけですよ。旅行ついでに、女子寮出来たから、それについて親御さんに直接話してこいって。近況も顔合わせて聞いたほうが安心するだろうって
先輩Ｐ,そんぐらい普通じゃねぇか。芳乃だっけ？そいつの実家に挨拶するって建前だったんだろ？
モバＰ,建前って……まぁ、そうですね。でも、そこがスタートです
先輩Ｐ,え？もしかして、全員の実家？
モバＰ,南は鹿児島から北は北海道まで。全国行脚です
先輩Ｐ,ぶははははっ！有給使っての日本一周羨ましいですっ！んはははっ
モバＰ,これ完全に仕事ですよね……有給なんスかね？
先輩Ｐ,だってお前が申請したんだろ？ふひひ
モバＰ,えぇ……京都に拠った時も、和菓子屋の娘に絡まれて結局温泉にも入れてないのに……休日らしいこと一つもしてねぇ……
先輩Ｐ,部長の良心に期待しとくんだな。ふははは
友紀,おはよーございまーすっ！
モバＰ,おぉ、おはよう。朝から元気ね
先輩Ｐ,おはよう。友紀も早いんだな
友紀,プロデューサーにこの時間に集合って言われたからね！昨日はビール我慢したんだよっ！褒めてもいいんじゃないかなっ
モバＰ,えらいえらい。……そういや友紀って二十歳だったんだよな。最初の印象は巴くらいだと思ってたんだけど……こう見ると意外と背丈あんのな
友紀,そうだよ～……って！そういえば、この前の飲み会！大人組みんな誘ってたんじゃん！あたし誘われてないっ！ちひろさんと楓さんだけと思って遠慮してたのにっ！
モバＰ,それについてはゴメンとしか……完全に中学生の認識だった！てへっ☆
友紀,今度はちゃんと誘ってよ！勿論おごりねっ
モバＰ,しゃーないな。任せとけ
先輩Ｐ,ゴチでーす
モバＰ,またこの人は……
輿水幸子,おはようございます……ふあぁ
モバＰ,お、来たか。それじゃ、二人とも行くぞ
幸子,こんな朝っぱらから呼びつけて、どこに行くんですか？寝不足はカワイイボクのお肌に
モバＰ,デビューに向けての特訓だ！
幸子,……人の話は最後ま
モバＰ,前言ってた事、本当にやるぞ！幸子っ！！
幸子,だから、被せ
モバＰ,友紀も頑張ろうな！
幸子,っ！！
モバＰ,いてっ
友紀,……で、どこ行くの？
モバＰ,あ、その前にこれにサイン頼む。幸子はこっちだな
幸子,免責同意書？パパのサインがありますね……スカイダイビングですか…………え！？
モバＰ,幸子の実家に行った時にちゃんと説明してるからな？納得してもらった上でのサインだから、そこんとこヨロシク！
幸子,ボクが納得してないんですが！？
モバＰ,はっはっはっ！はい、ボールペン
幸子,っ！！
モバＰ,いてっ
友紀,そもそもデビューになんの関係が……
モバＰ,幸子が一人でスカイダイビング出来るって言うから。デビューイベントは野外で、空から登場しようって……
友紀,幸子ちゃ～ん……えぇ……
幸子,この人が勝手に言ってるだけです！ボクはただ、その位の度胸はあるって言っただけで
モバＰ,流石さっちゃんだぜっ！
幸子,っ！！
モバＰ,いてっ
友紀,一人は無理だよぉ……
モバＰ,いや、流石にタンデムインストラクターと一緒だぞ。一人で飛ぶにはライセンスいるし
友紀,それなら……
幸子,え！？
友紀,でもなんであたし達だけ？フレデリカちゃんと奏ちゃんは？あ、芳乃ちゃんもデビューまだだっけ
モバＰ,奏はそんなバラエティー向きじゃないかなっと
幸子,ボク達はバラエティー向きだと言いたいんですか！？だったら、フレデリカさんは！？
モバＰ,あいつは仕掛け人っぽいじゃん？寝起きバズーカぶっ放すタイプ？
友紀,じゃあ、芳乃ちゃんは？
モバＰ,芳乃は……ダイブのタイミングでこの背負い袋はー置いておきましてーとか言って、ふわっと飛びそうじゃん。落ちるんじゃなくて、ふわっと。それを見たとき、どんな顔すればいいかわかんない
幸子,……なぜか、否定出来ないですね
モバＰ,ね？そんな感じで二人に決まりました！ぶっちゃけ、友紀は巻き込まれた感じなんだけどねっ！元々、幸子単独の企画だったし！菜々さんもデビュー決まってなかったら……おしい！
友紀,幸子ちゃ～ん……
幸子,断言しますけど、ボクは何一つ悪くないですからっ！！
モバＰ,まあまあ、芳乃にも相談したけど、万に一つもー事故はないのでー大丈夫だとーって言ってたから
幸子,それを聞いて安心してしまうのが、なんとも……
モバＰ,目に浮かぶようだよ。カワイイ二人がステージに舞い降りた瞬間、ファンの心を
友紀,鷲掴みっ！
モバＰ,はい正解
幸子,うるさいですよ……うぅ、仕方ないですね。確かにインパクトはありますし……
モバＰ,よっしゃ！じゃあ、ここにちょちょっとサインをば。……なんスか、先輩。その目は
先輩Ｐ,いや……お前、ぶっ飛んでんな。よくそんな企画通したよ……
モバＰ,俺としてはよく通ったな……ですけど。でも、実際最高のアピールになると思いますよ
先輩Ｐ,そうだな。しかし、これ特訓だから何回か飛ばんといけん事、こいつら気づいてんのか？
モバＰ,シッ！
友紀,どうしたの？これ書いたよ
幸子,なんか詐欺にあった気分ですね……
先輩Ｐ,あながち間違ってない
モバＰ,そこ！要らんこと言わない！よし、それじゃ行くか。ちょっと時間押してるな……
前川みく,おはようにゃ。あ！Ｐチャン！早起きして良かったにゃ！あのねあのね
モバＰ,おお！おはよう！すまん、ちょっと急いでるんだ！二人共、行くぞっ！
幸子,ちょっと！待ってくださいよ！
友紀,それじゃ、行ってきま～す！
みく,ぁ……
先輩Ｐ,……はぁ。あの馬鹿……みく、こいこい
みく,……うん
先輩Ｐ,あいつ、マジで時間無かっただけだから気にすんな
みく,うん……え、なにこれソファ？
先輩Ｐ,おうセクハラすんなや
みく,ふふ……ねぇ、ちょっと借りたいものがあるにゃ
先輩Ｐ,？
モバＰ,なんで俺も飛んでんだぁぁぁあああああ！！おわぁああああああ！！あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛！
幸子,プロデューサーぁぁとぉ！アイドルはぁあああ！一蓮托生ぉぉぉおおおおおお！ほあぁあぁぁああああ！！！
友紀,うわあ！あははははは！すごいすごいぃぃ！！んはぁ！ははははは！！ふははっあはははははははははははは
モバＰ,最近事あるごとにダイブしてるけど、経費大丈夫なんですかね？やっぱり三人分はきついですよね？
ちひろ,大丈夫ですよ。新しく出来たアイドル部門のプロジェクトですもの。予算は潤沢です。プロデューサーさんのダイブ費用もバッチシ！
モバＰ,最悪にいい笑顔ですね……
みく,Ｐチャン発見！確保にゃぁ！！
モバＰ,みく？ドアはもう少し静かに……
赤城みりあ,わあ～かくほ～！
莉嘉,Ｐくん、しんみょーにしろ～
モバＰ,甘い！よっ、はっ
みりあ,わあ！かくほされた！あははっ
莉嘉,おぉ、Ｐくん力もちだぁ。ハァ……カッコイイなぁ……
みく,二人とも！これは遊びじゃないにゃ！莉嘉チャンなにトキメイているにゃ！確保にゃぁ！！
みりあ,そっか！プロデューサー大人しくしろー！やあ！たあ！
莉嘉,そうだった！Ｐくんっ！痛くしないから、莉嘉に身を委ねてよぉ！んっ！はっ！！
モバＰ,ちょっ！危ないから、暴れるなって！
みりあ,ひゃはは！くすぐったい～！
莉嘉,あはぁ……
みく,莉嘉チャン！さっきから如何わしいにゃ！Ｐチャンは空気を読むにゃ！！
モバＰ,わかったわかった。ほら、降ろすぞ
みりあ,っと……かくほっ！
莉嘉,Ｐくん……
モバＰ,うーわー。なんだー俺がなにしたって言うんだー。はなせー。……莉嘉は正気になろうなー
みく,最近のＰチャンはアイドル差別が激しいにゃ！アイドル労働基準監督官から是正勧告が出されたにゃ！
モバＰ,なんだそりゃ。差別なんてしてないって
みく,口を慎むにゃ！アイドル労働基準監督官……先輩Ｐのお墨付きにゃ！
モバＰ,なにしてんだあの人……
みく,担当アイドルばかり気に掛けて、他のアイドルは蔑ろっ！その行為、目に余るにゃ！
モバＰ,そりゃ担当アイドルは気に掛けるわい。それに蔑ろになんてしとらんよ
みく,白を切っても無駄にゃ！これを見るにゃ！
モバＰ,ハンディカム？
みく,先輩Ｐから借りたこのカメラで、ここ数日間のＰチャンを……鬼畜を撮っていたのにゃ！
モバＰ,ちひろさん、盗撮されてたみたいですよ？
ちひろ,プロデューサーさん、少女二人をはべらせる。一人はすでにメスの顔っと
モバＰ,待って待って！冗談ですって！！
ちひろ,みくちゃん、この画像を脅しの……交渉の道具にするといいですよ
みく,あ、ありがとうにゃ
モバＰ,やっぱ鬼畜じゃんか……
みく,と、とにかく！これを見て大いに反省するにゃ！
モバＰ,えぇ？飯食いに行こうかと思ってたんだけど
みく,事務所で謎のチェーンメールが流行しそうにゃ。恐怖の口リコンプロデューサーってタイトルで
モバＰ,なにしてる。はよ見るぞ
ちひろ,ふふ……お昼行ってきまーす
モバＰ,くそう……悪魔め……
みりあ,あ！お菓子あるから一緒に食べながら見ようね？
モバＰ,うんうん。みりあは天使だなぁ
みりあ,ひゃあ！やめてぇ！あはは
莉嘉,Ｐ……くん
モバＰ,こりゃあかん……ん～…………あ！カブトムシっ！
莉嘉,え！？どこ！？
モバＰ,嘘っ！
莉嘉,もうっ！
みく,……なんでもいいけど、準備を手伝うのにゃ。それじゃ、再生するにゃ！ポチっとにゃ！
モバＰ,テロップまで入れてんのか
みく,わかりやすい様ににゃ。これ以上は教育上良くないから、ここでカットしたにゃ
莉嘉,ええ～！もっと見たかったぁ！
みりあ,みりあもねぶっていい？
みく,駄目にゃ！そこは触れなくていいのにゃ！Ｐチャン、客観的に見てわかったでしょ！？
モバＰ,……確かに調子に乗りすぎてたな
みく,んにゃぁ！少しはなんで卯月チャンが妖怪耳舐りになったのか考えるのにゃ！そしてこのビデオを見ることになった切っ掛けをっ！
モバＰ,あぁ……なるほど。でも、卯月にもちゃんとカワイイって
みく,シャラーップにゃ！あんだけあからさまに差をつけられたら、誰だって傷つくにゃ！卯月チャンだからあの程度で済んだのにゃ！
モバＰ,だって拓海のセーラーとか意外過ぎて……
みく,言い訳はいらないにゃ！Ｐチャンが差をつけた事！これがリアルにゃ！！
モバＰ,そうだな……これについては、言う通りだ。すまん。卯月にもよく謝っとくよ。でも、蔑ろにしとる訳では……
みく,ビークワイエットにゃ！まだまだ裏づけ映像があるにゃ！……見るにゃ？
モバＰ,見ないにゃ
みく,二発目、スタートにゃ！
モバＰ,……。これの何が問題なんだ？
みく,他の子の料理を優先したにゃ！
モバＰ,先約なんだから……ありすを断ってまゆの弁当を食べるのほうが問題だろ
