本田未央,そんな、私だって……忘れない……忘れられるわけないよ、うぅ……ぐすん
美嘉,そんな今生の別れじゃないんだから……もう、仕方ないからアタシの担当になっちゃいなよ★凛も新しい子にモヤモヤするらしいし、パイセンもTPとNGさらにソロのアタシだなんて大変だろうし
加蓮,ちょっ！？ズルイ、駄目！！
奈緒,そ、そうだ！駄目だぞぉ……あ
先輩Ｐ,美嘉……今、なんと？
美嘉,……ッス。先輩Ｐ大好きッス。プロデュース感謝してるッス
先輩Ｐ,はぁ、まあいい。おい、モバＰ。……ちょっとこっち来い
モバＰ,ん？なんですか？そんな隅で……え？もしかして殴られる？泣かされる？いや、鳴かされる！？
先輩Ｐ,ふざけんな。マジな話だよ
モバＰ,あ、すいません。……で、話とは？
先輩Ｐ,前々から言ってきたが、未央、卯月、美嘉……この三人はお友達感覚だからまだいい。まぁ、すこし怪しい感じはあるが
モバＰ,はぁ、またそれですか。TPの三人も似たようなもんですよ
先輩Ｐ,いや、危ういよ。あきらかに変だったのお前でもわかっただろ？
モバＰ,はい、まぁ……
先輩Ｐ,大体、あの年頃の娘なんてちょっとしたことで意識するんだよ。同じクラス、隣の席……もしかして運命！？みたいなチョロさを発揮するからな
モバＰ,そんな、思春期の男子中学生じゃないんだから。大袈裟ですよ
先輩Ｐ,男子も女子も似たようなもんだよ
モバＰ,パイセンに女の子のこと言われても説得力が……ぷふっ
先輩Ｐ,あぁ！？
モバＰ,……ッス。説得力抜群ッス
先輩Ｐ,とにかく、そんな女子達をおまえは映画や漫画のように、乙女のピンチから助けた……助けてしまった！……いや、助けてくれたことは心からありがとう！
モバＰ,まぁ……あいつらにとっちゃ貞操の危機だった訳ですから、言いたいことはわからんでもないですよ？でも、所詮俺ですからね。先輩が心配してることは、所謂つり橋効果ってやつですよ
先輩Ｐ,その卑屈さがホントむかつくな。惚れてるのは間違いないんだ……だから例のことやるぞ。お前とアイドル達の恋愛沙汰は事務所の存続に関わる。先方には了承を得た
モバＰ,え～？考え過ぎだと思うけどなぁ。と言うかよくオッケーしてくれましたね
先輩Ｐ,……まあ、事務所全体に関わることだからな。ついでにスタドリの在庫がうんぬん言われて、よろしくと
モバＰ,……あ～
凛,ねぇ、二人でなにコソコソ話してるの？
モバＰ,っひゅ！？り、りんちゃん……気配消して近づくのはね？びっくりするからね？
凛,ちゃん付けで呼ばれるのも、うん。なかなかいいね……で？
先輩Ｐ,威嚇すんなよ、別にお前が心配することじゃねぇよ
凛,むぅ……
美嘉,あ～あ、荷物持ちいなくるのかぁ
未央,だよね～
加蓮,頼りにしてたんだけどなぁ
モバＰ,おうコラ、そこだけか
美嘉,へへへ、冗談だよ★でも研修って私達から見たらただの付き人みたいだったよ？それが勉強って奴？
モバＰ,まぁ、そうだな。他にもお前たちがいないとこでいろいろあったけどな。マーケティングから予想されるなんたらとか、スポンサーとのなんたらとか。正直俺自身、想像してたプロデューサー像と違ったな
奈緒,へぇ、ちなみにどんなプロデューサー像だったんだ？
モバＰ,作曲したり、詩も書いたり、時には振り付けとかボイトレなんかも指導したりとか
先輩Ｐ,そういった人もいるが、うちはマネージャー業務の割合が大半だからな
モバＰ,そうなんですよねぇ。せっかく一通りはできるように、学生のころ通信講座でマスターしたのになぁ
凛,通信講座でマスターって……
モバＰ,いやいや、馬鹿にすんなよ。そうだな……じゃあ、通信講座によって鍛えられた音域と肺活量を披露してやろう
卯月,わぁ！お願いします！
モバＰ,おう！わかりやすく高音な。んんっ、あーあー。あーあーあーあーあー。よし……スゥ。ファ―――――――――――――――――――――――――――――
凛,うわっすごい
未央,なんたる美声
卯月,ファ？
モバＰ,ファ―――――――――――――――――――――――――――――
加蓮,ぶれない、きれい
奈緒,すごいな、途切れない
卯月,ファ？？
モバＰ,ファ―――――――――――――――――――――――――――――
美嘉,すごいんだけど……ふふ……どうしよう、これ面白いかも……でも笑うのは……みんなは……
凛,……
未央,……
加蓮,……
奈緒,……
卯月,ファ？？？
美嘉,こらえてる……の……かな？……ふ、ふふ
モバＰ,ファ―――――――――――――――――――――――――――――
奈緒,なんだ！？なんで笑ってはいけないみたいになってんだ！？て言うかＰさん長いよ！
凛,……
未央,……
加蓮,……
美嘉,……
卯月,んー？
モバＰ,ファ―――――――――――――――――――――――――――――
先輩Ｐ,……ラミエルかな？
奈緒,ぶふぉ！くふふふ、ち、ちがくて……んふふふ
モバＰ,ででーん。奈緒アウトー
卯月,はっ！なるほど！えいっ！
奈緒,あいたっ！なんで！？卯月っなんで！？なんで、尻ビンタ！？
卯月,え？笑ったから？
奈緒,み、みんなは！？
凛,ふぅ……奈緒、プロデューサーは真剣にやってくれたんだから笑っちゃだめだよ
奈緒,ででーんって言った！ででーんって！！真剣と違う！
加蓮,奈緒……笑ったらそれはやっぱり叩かれるべきだと思うの……ﾌﾌ
奈緒,わーらってるじゃーん！加蓮だってわーらってるじゃーん！！
未央,……ﾝﾌ
美嘉,……ﾌﾋｭﾝ
モバＰ,ででーん。未央､美嘉アウトー
未央､美嘉,！？
卯月,ホイきた！
未央,痛いってより恥ずかしい……
美嘉,うん……お母さんだよ、これ
卯月,お母さんと違うよ！！
先輩Ｐ,……楽しそうなお前ら。……ああ、そろそろ時間だ
モバＰ,おっそうですね。自分だけの担当アイドルかぁ……よしっ！応接間に行けばいいんでしたっけ？
先輩Ｐ,うん、そうだ。2,30分面談して来い。終わったらちひろさんともう一回こっちに来い
モバＰ,うす。ちなみにどんな子達なんですか？一ヶ月前には決まってたんですよね？ずっと教えてくれなかったですけど
先輩Ｐ,え？あ～、お前初めてのプロデュースだから、言い方悪いかもしれんが、癖がなくて前向きで……その……やる気のある子達で、えっと……すごいかわいいな
モバＰ,へぇ！そうですか！ありがとうございます。それだったら早く言ってくれてもいいのに
先輩Ｐ,いやまあ、昨日スカウトしてきたから
モバＰ,……
先輩Ｐ,……
モバＰ,……
先輩Ｐ,……ほら、早く
モバＰ,……ッス
ちひろ,あ、プロデューサーさん。就任おめでとうございます！女の子達もう来てますよ
モバＰ,ありがとうございます！やっぱり少し緊張しますね
ちひろ,ふふ、どうです？景気づけに一本
モバＰ,はい！パイセンにツケといてください！
ちひろ,毎度あり～
モバＰ,ぷはっ。うし、行きますか。入るよ～。始めまして！今日から君たちをプロデュースさせてもらうモバＰです。よろしく！
双葉杏,さっそくですけど、杏、週休8日を希望しま～す
森久保乃々,静かに暮らしたいんですけど……
大沼くるみ,お、おとこのひと……ふぇぇ
モバＰ,……ふぇぇ。パイセン！パイセン！パイセ～ン！！
先輩Ｐ,……ｯｼ!!
モバＰ,コッ！！
奈緒,あぁ！Ｐさんがemethのeを削られたゴーレムのようにっ！！
先輩Ｐ,パイセンと呼ぶんじゃねぇ。アゴぶち抜くぞ
モバＰ,ほ、ほのひほ、めひゃひゅひゃひゃ……オオウ、オウ
卯月,……すごい、フルフルしながら立った。フルフル
モバＰ,あ～あ～、ぅうん。ふぅ、卯月は冷静だなぁ。じゃなくて！先輩言ってること全然違うじゃないですか！
先輩Ｐ,え？何が？
モバＰ,担当アイドルの子達ですよ！自己紹介でいきなり週休8日を希望されましたよ！？
先輩Ｐ,はっはっは、お前は馬鹿だなー。一週間は7日だぞー
モバＰ,そういうことじゃなくっ！静かに暮らしたいって引退コメントみたいなこと言われたり！
先輩Ｐ,ぷふぅ～、まだデビューもしてないのにねー。未央、ねー？
未央,ね、ねー
モバＰ,んぐあぁ！もう！あと、泣き虫で胸でかい！
先輩Ｐ,最高だろ？
モバＰ,最高です！……あれ！？
凛,最低だよ
加蓮,サイテー
モバＰ,じゃなくて、なんで嘘ついたんですか！て言うかよくスカウトできましたね！
先輩Ｐ,いや、お前アイドル達に懐かれてて、ムカつくじゃん？それにまったくの嘘じゃないだろ？……めちゃくちゃかわいいだろうが！！
モバＰ,アイドルですからね！そりゃかわいいですよ！キレて誤魔化そうとしてるけど嘘ついた理由、わりと器がちっちゃいからね。おちょこ並！
先輩Ｐ,んだと、こらぁ！ももに膝いれてホロホロさせんぞ！
モバＰ,あ！俺がやり返さないと思って、そうやって！
先輩Ｐ,え？やりかえすの？
モバＰ,……いや、無理ですけど。理不尽暴力系ヒロインは嫌われますよ！
先輩Ｐ,気持ちの悪いこと言ってんじゃねぇ！
モバＰ,んぐぉぉ……ぉぉ……
卯月,ねぇ、美嘉ちゃん。ホロホロしてるね。ホロホロ
美嘉,うん……卯月、冷静だね
ちひろ,面談が終わったと思ったら急に走りだして……また、二人して遊んでるんですか？
未央,あ、ちひろさん。お疲れさまでっす！
凛,見ての通りだよ。それで何かあったの？
ちひろ,プロデューサーさんに呼ばれてたんだけど……
先輩Ｐ,あ！ちひろさん来ましたね！それじゃさっそくですけどっ
モバＰ,あってめぇ！このタイミングは完全に私怨のそれだろ！
先輩Ｐ,誰に向かってそんな口聞いてんだ！完全に事務所の為だねっ！
ちひろ,あ、あの……何を……
先輩Ｐ,みんな聞いてくれ！お前達にいらん気を使わせたくなくて黙っていたんだが、もういいだろう！この二人付き合ってるから！彼氏と彼女だから！！
アイドル達,
ちひろ,へあ！？……あぁ！
卯月,ぷぷ、ぷろでゅ、ぷろでゅーさー、つ、つき、つき！？
モバＰ,お、お、落ち着け。ど、どどど動揺してるぞっ、つ、つき、うづき
凛,プロデューサー卯月で遊ばない。卯月も落ち着いて。ちひろさんもびっくりしてたでしょ。たちの悪い冗談だから
ちひろ,……ごめん、凛ちゃん。ずっと内緒でいようって話だったから急な展開でびっくりしちゃって……
凛,……え？
先輩Ｐ,すいません、ちひろさん。ちょっとこいつらモバＰと仲良すぎる感じがしたんで、二人の仲を知ってる者としては些か心苦しく……勝手だとは思ったのですが、もう公にしたほうがいいかと
モバＰ,うわ～よく言うよ。この人の演技力、営業でかなり有利だよなぁ
ちひろ,いえ、気を遣ってもらってかえって恐縮です。プロデューサーさん公認になっちゃいましたね？ふふ
モバＰ,は、はい。さんきゅーちっひ！
ちひろ,なんですかそれ？ふふ、面白い人
モバＰ,あ、俺駄目だ。ちひろさんも若干おかしいぞ。なんか変に大人ぶってる……はっは～ん、さてはまだおぼこだな？……って、んな訳ないか
凛,……
加蓮,……
奈緒,……
未央,……
モバＰ,うわっ空気わるっ！
卯月,え？え？
美嘉,……なんかちひろさん、アタシと似たような感じがする
ちひろ,えっと、似てる……かな？タイプ的には……
加蓮,……ちひろさん。Ｐさんとはどこまでいったの？ううん、ヤったの？
ちひろ,ヤ、ヤった！？そ、それはもう大人ですから？あ、あの……最後まで？
凛,……ふ～ん
未央,……確かに美嘉ねーだ
美嘉,……ね？
モバＰ,ちひろさんマジか！？美嘉はそれでいいのか！？
奈緒,……まぁ、だからって訳じゃないけど、引かないから
凛,そうだね。引く理由はないよね
加蓮,最終的には私の隣にいればいいけど、それはあくまで最終的にはだから。やっぱり全力だよね
未央,おおぅ……制圧前進……
卯月,拳王と聖帝のいいとこどりだねっ
美嘉,……アタシ、なんか自爆した？ううん、アタシはカリスマギャル！キャラは守れてる！あはっ★
先輩Ｐ,う～ん、やっぱTPの三人は手強いな。おい、モバＰ一応言っとけ
モバＰ,はいはい、まさか本当にこんな感じになるとは。という訳で、俺とちひろさんは付き合ってます。知られたからには好きな人には嫌な思いをさせたくないので、過度な接触は禁止。もちろん俺からも日常に起こりえる最小限に留めます
ちひろ,例え嘘でも好きな人って言われるのはうれしいですね。やん、恥ずかしい
未央,え～？抱きつくのはいいでしょ？
モバＰ,いいわけないだろ。そもそも恋人がどうとか以前に、アイドルとプロデューサーなんだから当たり前のことなの
卯月,頭撫でてもらったりは……
モバＰ,うっ……まぁ、しない方向で。ファンの方が見て不快に感じるようなことはしないようにするよ
美嘉,事務所内だったらいーじゃん
モバＰ,ちひろさんがいるだろ
凛,……
加蓮,……
奈緒,……
ちひろ,ひぅ！
モバＰ,あのな……
凛,うん、ごめんわかってる。ちひろさんは悪くないし、私ちひろさん大好きだよ。ただね……
加蓮,やっぱり割り切れないのもあるしね。いろいろあきらめてないし
奈緒,それだけのことＰさんはしたんだってこと自覚しろよ。馬鹿
先輩Ｐ,あんまり効果なかったか？……牽制にはなっただろうが、う～ん……あっ！やばっ今日レッスンの時間……
モバＰ,なんども言うけどつり橋効果で一時的な……もういいか。変にあの事を掘り起こしてもな。そうだな後は特にないか。んじゃ、俺担当アイドル達の仕事につきますので……先輩？
先輩Ｐ,……え？あ、うん。まぁ初めての担当だ。わからないなりにぶつかって行け。そうすれば自ずと道は開けるさ
モバＰ,適当に言ってくれるなぁ。あの子達の強烈な個性についてはうやむやにしてるし
先輩Ｐ,この業界個性は宝だぞ。……よし、お前ら今日昼からレッスンだったよな。実は開始時間変わって……うん。10分ほど過ぎています。えー、そして手の中で携帯が振るえあげています。画面にはマストレとの文字が
アイドル達,！？
モバＰ,うわぁ……先輩すげぇ脂汗……
先輩Ｐ,怖いのであえて出ません。今日は付き添わないので、すいませんが後よろしくお願いします
アイドル達,よろしくできるかぁ！早く車出せぇ！！
モバＰ,ただいま帰りましたー。お疲れ様でーす
くるみ,お、おつかれさまですぅ……
乃々,あうぅ……帰りたいんですけど……
杏,……杏も､もう帰りたい
モバＰ,乃々と杏、あいさつはちゃんとしろよー。くるみは偉いぞ
くるみ,ぷろでゅーしゃーがほめてくれた……やった
先輩Ｐ,おぉ、お疲れ。無事あいさつ回り終わったみたいだな。んじゃ、これから初レッスンか
乃々,え……聞いてないんですけど……
杏,……騙したなっ杏を騙したな！事務所に戻ったら終わりって言ったのに！
モバＰ,あいさつ回りがな。ほら、帰るまでが遠足的な？
杏,きたないぞっ！そんなことばっかり言ってると杏だって考え
モバＰ,はい、あ～ん
杏,考え……考えが……ん～、おいしい……この飴に免じて許してあげるよ
モバＰ,ありがたき幸せ。かわいいかわいいお嬢様
乃々,……ｧｰ
先輩Ｐ,上手く手懐けてるようだな
モバＰ,手懐けるってのは、なんか違う気がするんですが。まぁ、仲良くやってますよ
乃々,もりくぼスルーなんですけど。いぢめですか……
モバＰ,ごめんごめん。ほら、くるみも。モバＰ特製どんぐり飴だ
乃々,もりくぼは飴で懐柔されないんですけど……ん～
くるみ,くるみ、ぷろでゅーしゃーの飴大好きだよぅ。ありがとぅ、おいひ～
先輩Ｐ,なんで自作してんだよ……引くわ
モバＰ,いや、杏が飴飴うるさいし、そういえば関東ってどんぐり飴ないなぁって思ったらつい。それが無駄に上手くなっちゃいまして、好評に……
先輩Ｐ,なんだそりゃ。あ、トレーナーさんには連絡しといたから。……ベテランさんだから安心だよ？
モバＰ,なんですかその言い方……気持ち悪いですよ。まあ、ありがとうございます
先輩Ｐ,そろそろあいつら帰ってくるから、うるさくなる前にはよ行っとけ
モバＰ,そうですね。よし、それじゃ皆行くぞ！
くるみ,が、が、がんばりゅ……あう
乃々,あの……えっと……その……むーりぃー
杏,返事がない。ただの杏のようだ
モバＰ,……うんっ！最高のチームワークだぜ！
ルキトレ,あ、あのっ今日からここで働くことになったあなた様方の担当です！えっとえと！至らぬ点が多くあるとは思いますが、末永くよろしくお願いしますっ！
モバＰ,……ぃよし！大丈夫落ち着いて。こっちも初めてのレッスンだからここから共に成長して行こうじゃないか。俺も多少手伝えることもあるだろうし、一緒に頑張ろう！
ルキトレ,は、はい！ありがとうございます！
モバＰ,う～ん元気だ～、イイネ！……それでいきなりで悪いんだけど、俺ちょっと席外すね。どうしても面と向かって一言ぶつけたいんで。すぐ戻ってくるから
ルキトレ,え、ええ……？？
モバＰ,それじゃ、お前らルキトレさんの言うことよく聞いて……特に準備運動は念入りにな。怪我だけはするなよ
くるみ,う、うん！
乃々,怪我はしたくないですから……
杏,わかったよ、終わったら飴三個は貰うからね……ってもういないし
モバＰ,パイセン！パイセンっあんたまたっ！
先輩Ｐ,……ｯｼ!!
モバＰ,コッ！！
奈緒,あぁ！Ｐさんがｋ１時代の元横綱のようにっ！！
先輩Ｐ,パイセンと呼ぶんじゃねぇって言ってるだろ。アゴぶち抜くぞ
モバＰ,りふゅふぃんふゃ……オオウ、オウ
卯月,理不尽だ、かな？すごい、またフルフルしながら立った。フルフル
モバＰ,んんっ！あ～、ふぅ……卯月正解！じゃなくてっ先輩なんでまた嘘ついたんですか！？
先輩Ｐ,え？何が？
モバＰ,ベテランのトレーナーさんだって言ったじゃないですか！今日が初めての子でしたよ！
先輩Ｐ,かわいかったろ？正直めっちゃタイプだろ？わざわざマストレさんに頼んでやったんだぞ
モバＰ,はいっ！ありがとうごぜーまっす！……じゃなくて、嘘つくその性根が腹立たしいんですよっ
先輩Ｐ,だって、新人の子達までお前に懐いてるのがムカつくじゃん？
モバＰ,だから、器ちっちゃ過ぎるんですよ！おちょこの裏！
先輩Ｐ,んだと、コラァ！最近マジでちひろさんとイチャイチャしだして調子乗ってんな、てめぇ！
モバＰ,あれは、あんたがやらせっ……くっ！もうしないっすよ！あの時の凛達のプレッシャー、獣の槍並でしたからねっ。天敵を前にしたバイソンでもいいですよ
先輩Ｐ,お前妖怪なのかよ。とにかく、むしろ感謝して欲しいね。あの子かわいい上にちょっと無防備なところがあるからな。大きめのシャツ着てたりしたら……最高だろ？
モバＰ,最高です！……いや、だからそういうフリ本気でやめて下さいって。ほら、ものすごい圧がっ！
先輩Ｐ,ははっバイソンでもいるんじゃね……ぇ……の……
凛,……
加蓮,……
奈緒,……
未央,ぶ～
美嘉,む～
先輩Ｐ,うわ～ほんとだ～圧すげぇ……
卯月,あ、ちょうちょだ！……蛾でした
モバＰ,なぁ、蛾だなぁ……卯月、追いかけてみよう
卯月,蛾を？
モバＰ,蛾を
卯月,……がをがを～
モバＰ,がをがを～、わ～
卯月,わ～
先輩Ｐ,逃げんな逃げんな。悪かったから、ちょっとした茶目っ気のつもりだったんだよ
モバＰ,まったく……もうこんなしょうもない嘘やめてくださいよ。心構えってもんがあるんですから。それじゃ、俺戻りますね。レッスンのサポートするんで
先輩Ｐ,え、嘘……いやいや、もうちょっとここの空気暖めてから、なっ？なっ！？
モバＰ,知りませんよ。それじゃ！
卯月,いってらっしゃ～い！
凛,……
加蓮,……
奈緒,……
未央,ふ～
美嘉,は～
先輩Ｐ,……ﾋｭｩ
くるみ,ふ～ふ～あっ、はなみずが……あぅ
乃々,こひゅ～こひゅ～
杏,はぁはぁはぁはぁ……
モバＰ,こ、これは……
ルキトレ,あの……準備運動しただけなんですけど……ごく一般的な
モバＰ,うそん……
ルキトレ,いやっ！でも頑張ってましたよ！
モバＰ,……うん、ありがとう。トレーニングメニュー、もう一回考えてくれる？微力ながら手伝うから。ほんと、ごめんね……
ルキトレ,いえ、謝らないでください。大体の基礎体力はわかりましたし、デビューまでのプロセスに問題はないですよ。ちょっとハードになりますけど
くるみ,ふ～ふ～、それでかわいくなれる？
ルキトレ,もちろん！くるみちゃん今でもかわいいけど、もっとっもっとかわいくなれるよ！頑張れる？
くるみ,うんっがんばるっ！ぷろでゅーしゃー、応援してね？
モバＰ,当然だ！いつでも応援してるぞっ！もちろん、乃々と杏もな！
乃々,む～、かひゅ～かひゅ～、り～、かひゅ～
杏,んはぁはぁはぁはぁ……ん、ん！はぁはぁ、つ、つばが、はぁはぁ飲みこめ、はぁはぁはぁはぁ
ルキトレ,……えっと、焦らず一歩ずつ着実にステップアップしていきましょう
モバＰ,……おうえんしてるぞー
マストレ,よしっ今日はここまでお疲れ！
トライアド、美嘉,お疲れ様でした！
マストレ,なんだ、騒がしいな。またプロデューサー殿のとこか？
凛,だね。乃々また逃げたんだ
加蓮,もうちょっとした名物だよ
美嘉,ルキトレさんも大変だ★
奈緒,なぁ、マストレさん。せっかくだしちょっと見学して行ってもいいかな？
マストレ,そうだな。今日付き添いもいないみたいだし、ついでに送ってもらえ
加蓮,さすが、マストレさん。いいこと言う～
マストレ,風邪引かないように、ちゃんとシャワー浴びてからだぞ
凛,こんな汗だくで会いに行けないよ。乙女として当然
マストレ,会いにって……見学じゃないのか？まったく、邪魔はするなよ
トライアド、美嘉,はーい
モバＰ,ぼののさんよぅ、あんた最近逃げすぎじゃぁないかい？
乃々,無理矢理捕まえてくるのは、良くないと思うんですけど
モバＰ,逃げたらそりゃ捕まえるでしょーよ。と言うか、お前最近逃げるの楽しんでないか？
乃々,……そんなことないんですけど？
モバＰ,目を合わせようなぁ。あっ、凛達じゃん
凛,なんで
加蓮,手を
奈緒,繋いでるんだ
美嘉,の～のちゃん？
乃々,ひぃ！？
モバＰ,唯の捕獲だよ。お前ら息ぴったりだな。でも乃々を怖がらせて遊ぶのはいただけないぞ
凛,ごめんごめん。でも過度の接触はしないんでしょ？ここからは私達が護送するよ
モバＰ,過度ってほどでもないだろうに……
加蓮,ファンの方達が不快になるような～
美嘉,デビューしてないとはいえ～
モバＰ,オッケー、悪かった。確かに傍から見れば駄目だな
乃々,あっ……もりくぼはプロデューサーさんに見捨てられました。先輩方のいぢめの標的に……
奈緒,こらこら、人聞きの悪い事言うなって。ほら、手繋ぐぞ
モバＰ,あと、見捨てることなんて絶対しないから。冗談でもそんな悲しい事言うなよ。最後の時まで傍にいるからな。……ストーカーじゃないよ？
乃々,……言い訳が余計なんですけど。ふふ
凛,もぅ、ずるいなぁ。くやしいから変わりに乃々に抱きついちゃお
乃々,え、あの……ちょっ、え……あ、あの
加蓮,アタシもっ！よいしょっ
乃々,ひゃぁ……えっとえっと
奈緒,あたしもだ、それっ！
美嘉,前後左右、全方位抱きつきっ★
乃々,あ、あのっもりくぼは、みこしじゃないんですけど……神輿じゃないんですけど！
モバＰ,お前達、力あるなぁ……
くるみ,あ、ぷろでゅーしゃー乃々しゃんは……あ、先輩方お疲れさまですぅ
凛,くるみちゃん、お疲れ様。おいでおいで
くるみ,は、はい……な、なんですか、ひゃぁ！
凛,抱き心地最高だよ、くるみちゃん。いい匂いもするよ、ん～
加蓮,あ、アタシも。ふかふかだぁ
美嘉,……
くるみ,ふぇぇ……ぷろでゅーしゃーたすけてぇ
モバＰ,二人共、若干カリスマギャルのキモチワルイモードみたいになってるから、やめとけ
凛,ん、残念。ごめんね、くるみちゃん
加蓮,キモチワルイモードは駄目だよね。ごめんね？
美嘉,そうくると思ったよっ！そんなモードは都市伝説だから！！
モバＰ,ふひひ★
美嘉,むっかつく～！ば～かば～かっ
モバＰ,ふはは、すまんすまん。くるみ、大丈夫か？
くるみ,だ、大丈夫ですぅ。ちょっと泣いちゃってごめんなさいぃ
モバＰ,よし、乃々も戻ってきたしレッスン再開するか
奈緒,あれ？杏は？
モバＰ,あいつサボりやがった。家からも逃亡しててな、まぁ親御さんが発見してるからいいんだけど、ここも時間に限りがあるから、今日は休み
奈緒,杏もそんな行動力はあるんだな……
モバＰ,このままでは終わらせんけどな、ふっふっふ。ともあれ、ルキトレさんお待たせ。ごめんね？
ルキトレ,いえっ！では、さっそく続きからやりましょう！
くるみ,は、はい！
乃々,ほんの少しだけ……頑張ってみます……
未央,おはよーございまーす。プロデューサーは……あ、いた
モバＰ,おう、未央おはよう。どうしたこんな時間に
未央,今日学校早く終わって暇だったから、事務所に行ってさ。そしたらレッスン場にプロデューサーがいるって聞いて、私もレッスンあるしちょうどいいやって
モバＰ,そっか……う～ん、なかなか上手く撮れないな。よっ、ん、こうか？
未央,何してんの？ゲーム？あ、なんか工ッチな奴だ！い～けないんだ、いけないんだ～し～ぶりんに言ってやろ！
モバＰ,おう、別にいいぞ。これ、杏のだし……お、可愛く撮れた。う～ん、点数低いな……
未央,ちゃんと相手してよ～。もぅっ、私にも見せて！……恋愛ゲーム？
モバＰ,ああ、どの娘を攻略しようか迷ってるんだけどな。そうだな……未央っぽい気がせんでもない、このソフトボールっ娘にするか
未央,おっ！それはこの未央ちゃんを口説きたいと！やだなぁ、そんな遠まわしに言わなくても、えへえへ
モバＰ,パンツ見えてるな、これ
未央,聞いてよ！
杏,はあはあ……て言うか、なんでゲームしてるんだっ！んはっ、はあはあ……杏は休日返上で、ふ～ふ～、頑張ってんのにっ、一人で！
モバＰ,この前サボったツケだよ。二人は学校だし、杏のとこが休校日で良かったよ
杏,お～ぼ～だ～。人権無視だ～
モバＰ,あのな、今日俺もルキトレさんもオフなんだぞ？おまえだけじゃないんだ、ほら頑張れ！
ルキトレ,そうですよ！もう一息頑張りましょう！
杏,メ、メリハリが大事だよ！休憩しないとっ、ちょっ！わぁ、た、たすけれ～
モバＰ,……未央、ツケって怖いな
未央,うん……さすがマストレさんの妹だね
モバ未央,新見……さん
モバＰ,おかしい……俺は確かにののかを攻略してたはず……
未央,気がついたら新見さんエンド
モバＰ,恐ろしいものの片鱗を味わったな……
モバ未央,新見……さん
ルキトレ,新見さん？何かあったんですかね？
杏,全盛期の新見…さん伝説で調べるといいよ。それよりも、杏はもう動かないぞっ、うんしょ
モバＰ,おまっ！何ナチュラルに膝の上に座ってきて……くせぇ！
杏,美少女の香りとかご褒美だよ。ていうか、ゲームで遊んでた罰
モバＰ,なんかねちょつくっ！お前のシャツ粘性がっ！
杏,すっごい汗かいたうえに、マストレさん特製のドリンク噴出しちゃった結果だね
ルキトレ,お姉ちゃんのドリンク疲労にいいからちょっと強引に……えへっ
杏,今日のルキトレさんテンション高くてまいったよ……
モバＰ,なんでもいいから、シャワー浴びて来い。ていうか、降りろ！くさいっ！
杏,乙女に対して言ってはいけない最たるものを、軽々しく言うなんて鬼畜だよ。はぁ、やだやだ
モバＰ,くつろぐな！ほんとむ～り～！
杏,あははっ乃々そっくり。だが、杏は動かない
モバＰ,未央っ、そんな冷めた目で見てないで助けて！これすごいのっすっごいの！！
未央,はぁ……わかったよ。仕方ないなぁ
