乃木若葉は勇者であるの内容も含むためそこまで把握されている方は多くないかもしれませんが、お付き合いいだけましたら幸いに思います,ゆゆゆいでもOKです
千景,あの八話以降、高嶋さんは私と共にゆゆゆを視聴するようになった。そして、先日最終回を見届け、予約していた前日譚である鷲尾須美は勇者であるの小説がコノザマをくらいながらも先ほど届いたのだった
友奈,ええと、ちょっと大きいダンボールだね？テープをはがして開けて、っと──あ、小学生の時の東郷さんが表紙なんだね！……あれ？なんで手甲が入っているんだろう？ぐんちゃん、一緒に頼んだ？
千景,それは日本式のグローブという例えが正しいのだろうか、ゲームに出てくるような手甲が小ぶりな姿でダンボールの中に収まっていた。……いえ、手甲なんて注文していないわ。コノザマに続きまさかの誤配かしら？
友奈,あ、そうなんだ。じゃあ、ちゃんと返品しないといけないね。……でも、この手甲カッコ良いかも。って、あれ……？
千景,高嶋さん！？。高嶋さんが手甲に触れた瞬間、彼女の身体が揺らいだように見えた。いえ！気のせいなんかじゃない！？いけない！高嶋さんが消えてしまう！！──そう、根拠もなく私は思いながら咄嗟に高嶋さんへと手を伸ばした。そして──
？？,お姉ちゃん、大変だよ！。どうしたの？そんなに慌てて？。あ、あそこに──。えぇ！？この時代にまさかの行き倒れー！……なんて冗談を言っている場合じゃないみたいね。ええと、こういう時は──
千景,……う……うぅ……。──あいつらが追ってくる。どこまでも私を追ってくる。……やめて、もうやめて……。……どうして私は、あいつらの元に生まれてきてしまったの……？……近所の人にもそんな目で見られて……口撃されて……もう、私は──
？？,だ、大丈夫ですか！？
千景,たか、しま……さん……？
？？,意識が戻った……いえ、まだ虚ろのようね。早く救急車を呼ばないと！。分かってる。今呼ぶから
千景,救急車……？──おぼろげだった意識が少しずつはっきりしてくる。それに伴って、目の前の人の姿もクリアになっていき……。それは知っている人の姿で、その人の名前は、そう──。ふう、せんぱい……？
？？,安心して、今救急車を呼んだわ。アタシの名前を知っているってことはうちの生徒ってこと？あ、ごめん、答えなくて大丈夫だから安静にしていて
千景,その声は確かに彼女の声に聞こえる。……夢なのかと思おうとしたけれど、育った環境故か虚構と現実の区別は昔からはっきりとしている。彼女の横を見ると、ホッとした様子の女の子の姿まで見えた。同様に見知った顔である。……認めたくはないが、事実としては受け入れざるを得ないのだろう。──目の前には、ゆゆゆの登場人物であるはずの風と樹、犬吠埼姉妹が揃って存在していた。その非現実的な光景のせいで、もっとも大切なことを思い出すのに少しだけ時間が必要だった
犬吠埼樹,あ、あの！急に動かれては危ないですよ！
犬吠埼風,さっきまで倒れていたのよ！？安静にしていなさいって！
千景,離して！──高嶋さん！高嶋さんはどこっ！！。なんてことなの！いくら非現実的な出来事を目の当たりにしたと言えども、高嶋さんのことを失念してしまうなんて！最低の薄情者よ私は！！
風,こら、落ち着きなさいって！……大丈夫、大丈夫だから、そのタカシマさんって人のことなら大丈夫だから
樹,お姉ちゃん……？
千景,……もしかして、高嶋さんの居場所を知っているの？
風,え、ええ！し、知っていますとも！……だからね、安心してここで少しジッとしていなさいな
千景,風先輩の意志の強い瞳が真っすぐに私を見つめてくる。……まったく、アニメの通りお人好しも良いところね。遅れながらに私は周囲の状況を確認してみる。どうやら今居るここは浜辺のようだ。再び姉のほうに視線を戻す。あなた、そういうの向いていないわよ？
風,と、突然何のこと？でも、落ち着いてくれたようね。……良かった
千景,嘘をつくならもっと理路整然と言葉を並べて、目は決して泳がせないことね。あなた、高嶋さんのことなんて全く知らないのでしょう？
風,ぎくっ！
樹,そ、その！お姉ちゃんのことを悪く思わないでください！きっと、今の嘘は──
千景,私を落ち着けるための方便だったのでしょう？……安心して、もう醜態はさらさないわ
樹,良かったです……
千景,自ら泥を被ろうとする姉に、その姉を気遣う妹。そして何より、互いの心根が真っすぐ過ぎる。……本当にアニメ通りの姉妹ね。犬吠埼姉の下手くそな嘘から得た沈静は、私に平常の思考力を戻してくれているようだった。考えることは多いだろうが、まず受け入れなければならないことは、高嶋さんがここに居ないこと。落ちていた"それ"を拾い、砂をはらう。小ぶりの手甲だった。覚えている高嶋さんとの最後の記憶はこの手甲に触れた場面。これが私の近くにあり見通しの良い浜辺に三人以外人影がないということは大切な彼女がこの状況に巻き込まれていないかもしれないという希望を抱かせてくれる。全く理由は分からない。けれどこの手甲が、ここに居る犬吠埼姉妹と同姓同名、容姿すら同様の人物との遭遇を起こした原因であることは間違いないだろう。それにこの浜辺、見れば見るほど三好夏凜が修練で利用していた浜辺にそっくりだった。……やはりここは──。一つ、いえ、二つ質問しても良いかしら？
風,答えられることなら答えるわよ？と言うか具合とか大丈夫なの？それと、さっきは嘘をついてしまってごめん
千景,そうね、あなたはもう嘘をつかないほうが賢明でしょうね。気分に関してはご心配なく。早速、質問なのだけれど──
樹,あはは、だって？お姉ちゃん
風,ううううぅっ！そ、そんなにアタシの嘘は下手なんかい……！
千景,……雑音は無視しましょう。半ば確信しながらも私は彼女にこう質問した。ここは、この町は、何という名前で今は"神世紀"何年なの？
風,……へ？
千景,大丈夫と言っているでしょう？
風,いやいや、あんた！記憶喪失なのよ！？大人しく救急車に運ばれていきなさいって！何、自然な感じでどっかに去ろうとしてんの！？
千景,犬吠埼姉が答えた町の名前はやはりゆゆゆの舞台であり、今が"西暦"でなく"神世紀"三百年であるということも分かった。当然、彼女の言葉に下手くそな嘘は含まれていないことは明白である。……こんな絵空事のようなあり得ない事態、巻き込まれるのは私一人で十分だった。私ですら頭がおかしくなってしまいそうなのに、心優しい彼女だったらどうなることか。精神に多大なダメージを受けてしまってもおかしくないだろう。ここに高嶋さんが居ないことを、彼女が西暦に取り残された結果であると信じよう。……信じたい。そうであって欲しいし、そうでなくてはならないと思った。彼女は堂々とひなたを歩ける人なのだから──。……でも、高嶋さんは私が居なくなったことを悲しんでくれているだろうか？……愚問が過ぎるわね。出来れば彼女のもとに帰りたいけれど、この場所は未来であるのか、はたまた異世界であるのか、それとも予測通りアニメの中の世界なのか。いずれにしろ帰還が容易でないことは確かだろう。これでもノベルゲームの経験はそれなりある。だからこその現状の適応力と言っても良い。ゆえに、定番に従って犬吠埼姉妹には私が記憶喪失であると嘘をついていた。素直な姉妹はあっけないほど簡単に信じ込んでしまっている。まさか、アニメの中の登場人物として毎週見ていましたなどと言えるはずもないし、言ってしまったら本格的に頭がおかしいと思われて面倒が起きることは必至だ。そして、現状最も困ってしまっていることは、救急車をすでに呼ばれてしまっていたこと。当たり前だがこの世界に保険証も戸籍もあるはずはないので病院に行くことは非常に良くない。しかしながら、この流れだと逃げることはできそうにないので、記憶喪失設定を上手く使っていくしかないだろう。……それにしても笑える話だ。自認さえする現状への適応力は、思えばかつての生活から逃避するために頭で描いていた妄想から生じたものである。あいつらに感謝することなど決してあり得ないが、その経験が役に立った初めての事態と言えるかもしれない。──さて。滅多に目にする機会なんてない救急車内部の天井を見上げながら、今後へと思考を巡らせていくことにしよう。救急車に乗ってしまった以上、なるようにしかならないのだから
風,お勤めご苦労である！
千景,……あなた、今日も来たの？
風,ひどっ！？出会った頃は風先輩って呼んで慕ってくれていたのに今では……よよよ
樹,お姉ちゃん、千景さんを困らせないの。でも、お姉ちゃんの名前を憶えていたことは元の記憶への大切な手がかりかもしれませんよね？
千景,……そうかもしれないわね。樹さん、今日も手をわずらわせてしまうわね
樹,い、いえ！私が来たくて来ているだけなのでそんな……
風,ちょっと！アタシと樹への態度違いすぎない！？大体なんで樹が樹さんでアタシが犬吠埼さんなのよ！？
千景,うるさいわね。どちらも犬吠埼さんだと区別がつかないでしょう？ただそれだけの話よ
風,絶対に他意があるでしょ！？
通りすがりの看護婦,犬吠埼さん、病院では静かにお願いしますね
風,……はい、しゅみましぇん……
樹,あははは……
千景,……。神世紀の医療技術が発展しているかは不明であるが、ひとまず一週間が経ち異常が見当たらないということで今日をもって退院となった。私がこのゆゆゆの世界──ひとまずそう結論付けることにした──に来て初めて出会った犬吠埼姉妹はこの一週間、欠かさず私を見舞ってくれていた。時間帯から察するに勇者部の活動が終わってから来ていたのだろう。……真摯な人柄が流石の勇者であり、それが面倒でもあった
樹,でも、お姉ちゃん。大赦は千景さんを知っている様子なんだよね？
風,多分ね。じゃないと、この待遇は考えられないわよ
千景,病院からようやく解放されて四半刻。私は犬吠埼姉妹と共にタクシーで真新しいアパートの前に来ていた。この中の一部屋が今日から私の自室になるとのことである。……キナ臭いことこの上ないわね。だけれど、戸籍のない私に他の手立てなどあるはずもない
風,それでいて、千景に関しての質問は一切答えてくれないし、この子を家に帰させてくれるわけでもない。ただ、こうしてアパートの一部屋を与えるだけ。……あんたもしかして、訳あり名家のお嬢様だったりするんじゃない？
千景,はっ
風,鼻で笑われた！？
千景,当然この明らかな大赦からの優遇には必ず裏がある。それに関してはこのお節介な先輩と意見が一致していた
風,大赦の人から預かった鍵の番号は、と……。ここが今日から千景の部屋になるわ
樹,と言うかお姉ちゃん、この部屋って……
千景,……三好……
風,まぁ、大赦絡みだもの、夏凜の部屋の隣にもなるわよねー
千景,この表札、やはり三好夏凜の部屋のものなのね……
三好夏凜,騒々しいのが来たと思ったら、やっぱり風たちだったわね
風,騒々しいとは何よ？ああ、千景、紹介するわね。この子は三好夏凜。いつも話している私たち勇者部の一番の新参者にしてにぼっしーよ
夏凜,にぼっしー言うな！それに、私はあんたらの監視に来ているだけで別に部員ってわけじゃ……
風,あら、照れちゃってもう
夏凜,うっさい！事実を言っているだけでしょうに！
千景,三好、夏凜……。見舞い話で聞かされてはいたが、こうして三人目のゆゆゆの登場人物を見ると不思議な感慨のような気持ちも浮かぶわね……。そして、犬吠埼姉の性格を考えるのであれば──
東郷美森,皆。共同通路での立ち話は他に住んでいる方のご迷惑となります。お部屋の中で話しましょう。──初めまして、東郷美森と申します。ここは夏凜ちゃんのお部屋ですので、どうか遠慮なさらずお入りくださいね
千景,……郡千景よ。犬吠埼姉が生活用品を後で買いに行くなどと言っていたから嫌な予感はしていたが、案の定勇者部の他の部員が居たわね。……東郷さんが居るとなると……駄目だ、急に動悸がしてきた。……あの人は彼女ではないのよ、郡千景？。そう言い聞かせても動悸は鎮まらず、場の流れが三好夏凜の部屋へと誘って行く。だから、必然として──
結城友奈,あなたがぐ、じゃないや……こおり千景さん、だよね？私は結城友奈です。お話は風先輩と樹ちゃんからいつも聞かせてもらっていて、会えるのをとっても楽しみにしていたんだー！よろしくね！
千景,暖かな手が、私のそれを包み込む。……この人は結城友奈。高嶋さんじゃない。だけれど……目の前の人はどうしても高嶋さんにしか見えない。容姿、発声、仕草、香り、体温、そのどれもが私の知っている彼女と一致してしまう。違うはずなのに、本当の彼女は遥か遠い西暦に居るはずなのに……
風,友奈、はしゃぐ気持ちは分かるけどね、千景は人見知りなのよ？いつも言っていたでしょ？
友奈,あ、ごめんね！
千景,あ……
夏凜,……悪いわね。まったく、全員馴れ馴れし過ぎるのよ
風,ともかく自己紹介はとりあえず皆終わったわね？千景、この子たちが讃州中学勇者部の──
？？,あの、アタシの自己紹介がまだなんですけど……
風,あ、ごめーん！てっきりもう済んでいると思っていたわぁ
？？,ひどいッス、部長！
千景,な……っ！？。──結城友奈、東郷美森、犬吠埼風、犬吠埼樹、三好夏凜……私の知っているゆゆゆの勇者部はこの五人で間違いない。そう、推測通りここがアニメと同じ世界であるのなら間違いないはずなのだ。それなのに──。"六人目"の少女は当たり前のように目の前に居て……
少女,アタシは三ノ輪銀……です！樹さんと同じ一年で、その、千景さんと同じ記憶喪失仲間ってことになるようです。不思議な縁？ってやつになるのかな？って感じですけど、どうかよろしくお願いしますッ！
千景,──見知らぬ少女は爽やかな笑顔と共に、そう言った。ここは紛れもないゆゆゆの世界である。入院中の約一週間で出した結論だった。犬吠埼姉妹はもちろんのこと、各種情報媒体の至る所で架空の組織であったはずの大赦の姿を見ることが出来る。つまり政治規模で大赦は存在していた。そのスケールになってしまえば最早疑う余地など残されているはずもない。しかしここにきて、勇者部六人目の部員と思わしき人物が現れてしまった。私の知るアニメの登場人物の中に彼女は確かに居なかったはずだ。そもそもゆゆゆは登場人物を極端に絞った箱庭世界として描いているため見落としようがない。だとすれば……いえ、待って！みのわ、三ノ輪銀ですって！？。僅かに聞き覚えのある名前。手元に届いた直後不運を招くこととなった鷲尾須美は勇者であるのノベライズ、そのあらすじを私は多少なりとも知っている。ネタバレ防止のため可能な限り情報遮断はしていたが、ネット社会である以上、あらすじ程度は嫌でも耳に入ってしまうものだ。私の記憶違いでなければ彼女はその中の登場人物の一人、しかも──三人目の先代勇者にあたるはずだった
風,千景？おーい、千景さんやーい？……あんたまさか、立ったまま眠っているとか言わないでしょうね？夏凜みたいに
夏凜,そんなことした記憶一切ないわよ！？
千景,……うるさいわね、何？
風,それはこっちの台詞でしょ？どったのボーっとして？……はっ！もしやこやつも銀に魅惑されおったのかー！？
銀,ちょ、風先輩！変なこと言わないでくださいよぉ！千景さんも困ってしまいますって！
美森,いけない！照れている銀も記録に残しておかなくちゃ……！
樹,友奈さん、私のクラスでも銀ちゃんに憧れている子がとっても多いんですよ
友奈,銀ちゃん可愛くてカッコいいもんねー
銀,あー！皆、勘弁してくださいよぉ……。ほら、千景さんに呆れられていますって
千景,……。……ゆゆゆの時代に三ノ輪銀の姿かたちがなかったのだから十中八九そう言うことになる。しかし、そうであるとしたら、……困った顔で、だけれど満更でもない苦笑を浮かべるこの三ノ輪銀という少女は、一体何者だと言うのだろうか──？
友奈,……。さっきは突然ごめんね。ええと、こおりさん……ぐんちゃんって呼んでも良いかな？
千景,っ！？。疑惑に支配されていた思考は全てが強制破棄され、代わりに心臓が急激に高鳴った。その呼び名はあまりにも不意打ちが過ぎる。……どうして、ぐんちゃん、なの……？。声が僅かに震える。もしかしたら、という期待があったのかもしれない。……だけれど、それの可能性は潰えている。彼女が高嶋さんならこの世界で疾うに出会っていたはずなのだから
友奈,あ、えっとね、風先輩にこおりって字をどう書くのかなって聞いたら住所とかの郡だって言われて、それからずっと心の中でぐんちゃんって呼んじゃっていたんだ。……ごめんね、失礼だよねこんなこと
千景,……。……いいえ、ぐんで構わないわ
友奈,ほんと？やったー！
千景,……僅かな期待はやはり外れる。それにしても、思考まで高嶋さんと一緒なのね……。複雑と言えば複雑ではあるのだけれど、彼女の声で耳慣れた呼び方を聞くと酷く安心を抱く。反面、ここまで高嶋さんと彼女が一致している以上、何らかの"意思"が介入していると見るのが自然だった
美森,良かったわね、友奈ちゃん。私は千景ちゃんと呼んでも大丈夫かしら？
千景,好きに呼べば良いわ。東郷さん、東郷美森か……。物語の前半では私という人間から最もかけ離れている性格だと思っていたけれど、物語の終わりまで見てしまえば何て言うことはない、彼女はこちら側の人間だった。……この気持ちは、もしかしたら同族嫌悪なのかもしれないわね
夏凜,それじゃあ、私は千景って呼ぶわ
風,じゃあ、アタシもぉ、ぐんちゃんって呼ん──
千景,はぁ！？煉獄に蹴り落とすわよ
風,怖っ！？明らかな冗談なのに煉獄ってあんたねぇ……
友奈,あはは、ぐんちゃんと風先輩ってとっても仲良しなんだね
千景,……その評価は酷く心外ではあるのだけれど、高嶋さんと同じ顔をした彼女に反論できるはずもなかった
銀,アタシと東郷さんはどうも同じ事故に巻き込まれてしまったようなんですよ。もちろん記憶喪失なんで何も覚えてはいないんですけどね
千景,腰を落ち着け例のぼたもちが出された頃、三ノ輪銀の記憶喪失についての話題へと移っていた。遅かれ早かれ避けては通れない話題なのだから早いうちに済ませたほうが良いと言う判断なのだろう
東郷,私は両足の麻痺とおよそ一年ほどの記憶が飛んでしまっています。今の世はばりあふりーが進んでいますし、記憶自体も短期間のもので日常への支障は見た目ほど大きくありません。それに友奈ちゃんや皆の配慮にも助けられていますので。ですが、銀は──
銀,いやー、全然実感はないんッスけどねぇ……。どうもアタシ、全ての記憶がなくなってしまっているようなんですよ
千景,なっ……！？
銀,あ、いえいえ、これが全然大丈夫なんですって！記憶と知識は違うっぽいっていうのが病院の先生の話で、実際学校の授業とかには全然ついていけてますし。……まぁ、勉強はあんまり得意じゃないんですけどねー
樹,銀ちゃんは私と同学年なんですけど、本当は友奈さんたちと同い年なんです。事故の影響で一年学校に通うことができなくて……
夏凜,そう、だったわね……
銀,あーあーもう！前にも言ったじゃないですか、アタシの記憶のことで暗くなるのは駄目だって。……それに記憶は確かに失われてしまったかもしれないですけど、こうして皆と、勇者部の皆で、掛け替えのない思い出を作ることができているんですから、アタシは絶対幸せ者で──って何を言わせるんですか！
風,うぅ……銀坊は本当に良い子や……
友奈,うぅ、ぎんちゃーん
銀,ゆ、友奈、さんの、抱きしめ方が、い、意外と……力が入って、いて……ぎぶ、ぎぶッス……！
美森,銀ったら羨ましい限りだわ
銀,と、東郷さん……た、助け……
夏凜,……あのさ、この流れ何回目？アタシですらかれこれ七回くらい見た記憶があるんだけど？
樹,あはは、もう半分ギャグみたいな流れになっていますよね
千景,場に流れるのは和やかな雰囲気。だけれど──。私は、私だけは本当の原因に心当たりがある。それが実際に、本当に……"満開"に原因があるのだとすれば──彼女は一体"何度"散華を繰り返したのだろうか──？。はぁ……流石に疲れたわね。考えてみれば高嶋さん並みのお人好しが六人も居たのだ。日の光も過ぎれば火傷となり、毒となる。夜を迎えた今、私は疲労によってグッタリしていた。……今日はもうシャワーで良いわね……。毒性の高かった先ほどまでの時間ではあるが、その一方で知り得た情報も多かった。神世紀でもITは日常に溶け込んでいる以上、今の世で有効となる資源は情報である。……困ったことに入院中の予測を覆す情報もそれなりにあったため、かみ砕くまでにはもう暫く時間が掛かってしまうのでしょうけれどね。……三ノ輪銀。勇者部で唯一詳細を知らない部員の名前を口の中で転がす。快活な性格と中性的な容姿、おそらく成長途中のやや高めの身長を持つ彼女は、ここ数日の非現実的な事態の中でもとびきりのイレギュラーであった。私には私の描くシナリオがある。それをあなたのようなイレギュラーで塗りつぶされるのは──ごめんなのよ。だから、私が高嶋さんの元へ帰るためには……きっと彼女を──。……頭を振る。思考ばかりで脳もガタが来ているのだろう。いい加減シャワーを浴びて、今日の疲れをとってしまおう。浴室まで行き、その前に置いてあるパステル色のバスタオル類が目に入る。同性に人気のありそうな見た目のくせにこんな家庭的な配慮まで出来るなんてね……。生活必需品の多くは三ノ輪銀と犬吠埼姉によるものだった。自身ではここまで気が回らなかったことだろうし、こうして事前に用意しておくことなどまずありえない。鬱陶しい一日ではあったけれど、もしかしたら、それなりに、本当にそれなりにだが、成果と呼べるものが情報以外にも存在していたのかもしれないわね……。暑い湯に打たれながら、私の新居での一日はこうして過ぎていった。……何故私は、西暦の時代でもない場所でこうして学校に来ているのだろうか？
夏凜,大丈夫よ、千景。私はこう見えて転入生としてはあんたの先輩よ。分からないことがあったら何でも聞きなさい！
千景,勇者部から一歩引いている素振りを見せている三好夏凜であるが、中身はアニメ通り根っからの善人だ。だから、今日の朝一から必要のない世話を度々焼かれていた。……それはもうサプリメントからにぼしに至るまで本当に色々と、ね……。にぼし星人を適当に追いやってから、私は教職員用の入り口へと向かう。──今日から讃州中学で、望んでもいない学校生活が……始まって、しまう。郡千景です。よろしくお願いします。本当に煩わしい。最低限のあいさつで自己紹介を終わらせ、指示された席へと向かう。……もちろん意図的なのだろう、隣には
風,相変わらず愛想のない子よねぇ。ま、とりあえずよろしくねー
千景,他を当たってちょうだい
風,他ってあんた以外居るはずがないでしょうが！……はぁ、風先輩と呼んで慕ってくれていた可愛いあの子はどこに行ったのかしらね？でも、よくよく考えれば同い年なのに先輩っておかしくない？
千景,ため息を吐きたいのはこちらよ……。高嶋さんがとても恋しい……。隣の席の人は無視して、黙って着席する。……。一体、私はこんなところで何をやっているのだろうか……？
友奈,ようこそ、勇者部へ！
千景,ひ、久しぶりね、結城さん……！
風,なんか今日一番で声が明るくなかった、あんた？
千景,……気のせいよ。休み時間の度に犬吠埼姉に付きまとわれ、こうして放課後も彼女のペースで勇者部部室に連行されてしまっていた。結城さんが居なければ当然無視を決め込むつもりであった
美森,風先輩、友奈ちゃんは人を明るくする天才ですよ？当然のことじゃないですか
風,あ、はい。東郷がそう言うんだったらそうなんでしょうね……
樹,私も友奈さんにはいつも元気を貰っています
銀,アタシも負けていられないなぁ。改めてよろしくッス！千景さん！
夏凜,あんたら暑苦しいわね……。まぁ、千景は私の家のお隣さんだし、ここでも困ったら私に頼りなさいな
千景,……それで、私をここに連れて来てどうしたいの？
風,いや、普通に勇者部への勧誘しかないでしょ？と言うか、さっき説明したはずよね！？
