羽沢つぐみ,どうですか、私が淹れた珈琲……
千聖,ふふ、イヴちゃんは本当に無邪気で可愛いわね。年下に囲まれて普段よりもお姉さんな振る舞いをする花音もとてもいいわ
紗夜,無益な争いはやめましょうか
千聖,ええ。みんな可愛いってことで手を打ちましょう
紗夜,はい。あ、言うのが遅くなってしまいましたが、いつも日菜がお世話になっています
千聖,いいえ。日菜ちゃんには……あまりの破天荒ぶりに振り回されることもあるけど、こっちも助けてもらってるから
紗夜,もしあの子が何か迷惑をかけているようなら遠慮なく言ってください。私の方からも注意しますので
千聖,……紗夜ちゃん関係で暴走する時が一番厄介なんだけど、って伝えてもいいのかしら
紗夜,白鷺さん？どうかしましたか？
千聖,いえ。もし何かあったら頼りにするわね
紗夜,ええ
千聖,ところで、紗夜ちゃんはどうしてここへ？
紗夜,どちらの理由をお聞きですか？
千聖,世間体の方でいいわよ
紗夜,ふと珈琲が飲みたくなりました。ここの珈琲は美味しいですからね
千聖,そう
紗夜,そういう白鷺さんは……
千聖,私も似たような理由よ。別に花音とイヴちゃんがつぐみちゃんの珈琲の試飲をするって話を聞いたから、という訳ではないわ
紗夜,そうですか。私と同じですね
千聖,ええ
紗夜,…………
千聖,…………
紗夜,白鷺さんも物好きね
千聖,紗夜ちゃんも物好きね
紗夜,……最近、パステルパレットの活動はどうですか
千聖,至って順調、かしらね
紗夜,そうですか。それは何よりです
千聖,紗夜ちゃんはどうなの？
紗夜,至っていつも通り、ですね
千聖,そう。それは何よりね
紗夜,……まぁ、贅沢を言えば
千聖,うん？
紗夜,つぐみさんとセッションしたいです
千聖,へぇ
紗夜,白鷺さんもそういうのがあるのでは？
千聖,……まぁ、ね。ちょっと花音とバンド組みたいわね
紗夜,それはつまり、日菜は私のバンドに組み込んでもいいという風に捉えても？
千聖,どうぞ。考えることは自由だもの
紗夜,ではギターは私と日菜ですね。キーボードがつぐみさん
千聖,じゃあ……こっちはベースが私でドラムが花音、キーボードがイヴちゃんね
紗夜,……そうなるとドラムは宇田川さんかしら
千聖,ボーカルはもちろん彩ちゃんで
紗夜,ベース……ベースは……
千聖,ギター……
紗夜,…………
千聖,…………
紗夜,……決めました
千聖,……私も。紗夜ちゃんからどうぞ
紗夜,では……ギターが私と日菜、ベースは牛込さん、ドラムに宇田川さん、キーボードがつぐみさんで
千聖,ボーカルは？
紗夜,つぐみさんです
千聖,へぇ？
紗夜,キーボードを弾きながら歌ってはいけないと誰が決めたのか、と。なんならボーカル担当のつぐみさんとキーボード担当のつぐみさんの２人を愛でたいのですが
千聖,紗夜ちゃん、気持ちは分かるけど言ってることが支離滅裂よ。気持ちは本当にすごく分かるんだけどね
紗夜,……つぐみさんは渡しませんよ？
千聖,狙ってないから安心して頂戴。私は花音が２人いたら素敵だなって思ってるだけだから
紗夜,そうですか。よかった
千聖,ところで、どうしてベースにりみちゃん？
紗夜,可愛いからです
千聖,なるほど
紗夜,北沢さんとどちらにするかでかなり迷いました。ただ、元気担当は日菜と宇田川さんで間に合ってるのではないかな、と今回は思いました
千聖,合理主義なのね
紗夜,臨機応変と言ってください。北沢さんが牛込さんに比べて何か劣っているとかそういう話ではありませんから。良くも悪くも純真無垢で満開のヒマワリのように、ぱぁっと笑う北沢さん。たまに出る関西弁になんとも言えない心の高ぶりを感じさせてくれる、小動物のような守りたくなる牛込さん。どちらも素敵な方ですから
千聖,そう
紗夜,ええ
千聖,じゃあ、次は私の番ね
紗夜,はい
千聖,ボーカル彩ちゃん、ギターにたえちゃん、ベースは私、ドラムに花音、キーボードがイヴちゃんね
紗夜,ギターに花園さんですか？
千聖,ええ。全方位から癒されたいのよ
紗夜,花園さんもその対象なんですか？
千聖,たえちゃんはどちらかというと間接的な要因ね。あの子のぶっちぎりの天然具合に新鮮な振り回され方をする彩ちゃんが目に浮かぶわ。それに花音はたえちゃんと意外と気が合うみたいだし、イヴちゃんとは一緒に海に遊びに行く仲だしね。しっかりそういうところも考えてあげなくちゃ
紗夜,丸山さんはいいんですか？
千聖,彩ちゃんはそれが持ち味だから。困り顔で涙目になっている時が一番輝く女の子だから
紗夜,そうですか。随分といい趣味をお持ちのようですね
千聖,ふふ、誉め言葉として受け取っておくわね。ありがとう。だけど揃いも揃って年下ばかりの紗夜ちゃんには負けるわ
紗夜,日菜は同い年です
千聖,でも妹よね？
紗夜,…………
千聖,…………
花音,あ……このケーキ、すごい美味しい
つぐみ,本当ですか？お口に合ったみたいで嬉しいです。実はこれ、イヴちゃんと私が作ったケーキなんですよ
花音,へぇ、そうなんだ。すごいね、お店で売り物に出来るくらい美味しいよ
つぐみ,そ、それはちょっと褒めすぎじゃないですか？
花音,ううん。本当にそれくらい美味しいよ。つぐみちゃんとイヴちゃん、お菓子作り上手なんだね
イヴ,…………
花音,あれ？どうしたの、イヴちゃん？
イヴ,いえ……私とツグミさんが作った、とは言っても、ほとんど私は何もしていないので……
つぐみ,そ、そんなことないよ！
イヴ,でも……私、砂糖の量を測ったりクリームを絞っただけです……
花音,え、えと……このケーキ、ちょうどいい甘さですごく美味しいな！。それにすごく綺麗にクリームが盛り付けられてるから、目でも楽しめるよ！
つぐみ,花音さんの言う通りだよ！イヴちゃんがしっかり砂糖の量を測ってくれて、丁寧にクリームを絞ってくれたから美味しいケーキが出来たんだよ！。もしイヴちゃんが手伝ってくれなかったら花音さんもこんなに美味しいって思ってくれなかったと思うよ！
花音,う、うん……！
イヴ,カノンさん……ツグミさん……。ありがとうございます！えへへ、お役に立ててとても嬉しいです！。もっともっとツグミさんのお役に立てるように、これからも精進しますね！
つぐみ,うん。またお菓子を作る時はよろしくね、イヴちゃん
花音,……私も食べてばっかりじゃなくて作る方に回った方がいいのかなぁ……
紗夜,一生懸命若宮さんをフォローするつぐみさん可愛い
千聖,ふふ、イヴちゃんは本当にコロコロ表情が変わって可愛らしいわね。そして自分の体形を気にする乙女な花音……素敵よ
紗夜,人の趣味はそれぞれですよね
千聖,ええ、その通りね。みんな違ってみんな良い、ということね
紗夜,そういうことです
千聖,それで……さっきの話に戻るけれど
紗夜,はい
千聖,実際に組んでみたいわね
紗夜,組みたいですね。……でも白鷺さんはともかく私の方は難しそうね
千聖,そうかしら？
紗夜,ええ。白鷺さんの方はほぼパスパレですし、メンバーを集めるのも簡単そうです
千聖,まぁ……そうね。花音も声をかければすぐに頷いてくれるだろうし……たえちゃんは普段から何を考えてるのかちょっとよく分からないけど。私としては紗夜ちゃんの方が簡単そうに思えるわよ？
紗夜,そうでしょうか。宇田川さんと日菜はすぐに手伝ってくれるでしょうが、つぐみさんは忙しそうですし、牛込さんに至ってはほとんど接点がありません
千聖,つぐみちゃんこそ、いの一番に了承してくれると思うけど
紗夜,……ええ。自分で言っておいてなんですが、改めて考えると二つ返事で参加してくれそうですね
千聖,それにりみちゃんも大丈夫よ。なんならたえちゃんと一緒に誘えばいいんじゃないかしら。それなら２人とも参加しやすいでしょうし
紗夜,ですが、あまり無理矢理に頼むのは……なんだか誘拐しているような気になってしまうので……
千聖,ああ……ちょっとイケナイ気分になりそうね
紗夜,ええ
千聖,思わずイジワルして困らせたくなるわよね
紗夜,え？
千聖,え？
紗夜,庇護欲をくすぐられて守りたくなるの間違いではないでしょうか
千聖,え？
紗夜,え？
千聖,…………
紗夜,…………
千聖,まぁ……年下趣味もいいと思うわよ？純真無垢な子に慕われるのって嬉しいし。でも面倒見の良さも、行き過ぎると過保護というか過干渉というか童女趣味というか……本人の為にもならないと思うけど。私も最近彩ちゃんにそんな感じだけど気にしたら負けね。彩ちゃんは同い年だからセーフのはずだし
紗夜,……そうですね。ですが、だからと言ってむやみやたらと厳しく、あるいは意地悪く接するのも如何なものかと存じます。もちろん厳しく接するのはその人の為にもなるでしょう。しかし、困っている姿を見たい、だなんて嗜虐趣味的なエゴを押し付けるのは根本的に人としてどうかと思いますね。何か過去の自分にブーメランを投げているような気がする。だけど気にしたら負けね
千聖,……やっぱり私たちは相容れないみたいね
紗夜,ええ。殊更強くそう思います
千聖,…………
紗夜,…………
花音,や、やっぱり私も運動しなくちゃいけない気がしてきた……
つぐみ,え、どうしてですか？
花音,さっきから私、食べてばっかり飲んでばっかりで……このままだと、その……
イヴ,大丈夫です！カノンさんは今のままでもとっても素敵です！
つぐみ,そうですよ、花音さん
花音,そう言ってくれるのはありがたいんだけどね……でもやっぱり気になっちゃうから……。つぐみちゃんはバンドに生徒会にアルバイトってすごい働き者だし……
つぐみ,い、いえ、そんな言うほどのことでも……
花音,イヴちゃんはそもそもアイドルだし……モデルさんでスタイル抜群だし……それに部活も掛け持ちしてるし……
イヴ,はい！ブシドーを極めるためには日々のケンサンが欠かせません！
花音,や、やっぱり私も運動しなくちゃ！でもどうすればいいんだろ……美咲ちゃんと一緒にテニスすればいいのかな……
つぐみ,花音さんがテニス……。どうしてだろう、涙目になってコート内を右往左往する姿が目に浮かぶ……
イヴ,あ、でしたら剣道部に体験入部しますか？
つぐみ,剣道！？。だ、ダメ……絶対ボコボコにされちゃう……！
花音,剣道……剣道かぁ……。確かにいいかもしれないね。イヴちゃんの練習してるところを見た時、すごく大変そうだったし……
つぐみ,だ、だめです、花音さん！
花音,ふぇっ！？
つぐみ,あ、え、えっと、大きな声出してごめんなさい……
花音,う、ううん
イヴ,どうしたんですか、ツグミさん
つぐみ,えと、その……いきなりすごい運動をしたら、怪我しちゃうかもしれないじゃないですか？
花音,あ、確かにそうかも……
イヴ,そうですね。練習前の準備運動はとても大切です！
つぐみ,やっぱりそうだよね、イヴちゃん。だから、いきなり部活に入るんじゃなくて、お休みの日にお出かけするのはどうですか？。ちょっとそこまでお散歩をする、というのでも結構運動になるんじゃないかなって思いますし……
花音,…………
つぐみ,……それじゃあダメですか？
花音,ううん、いいとは思うんだけど……私の場合、ね？ちょっとそこまでが半日かかる大冒険になっちゃうから……
イヴ,カノンさん、道を覚えるのが苦手、でしたね……
花音,うん……
つぐみ,え、えっと、それじゃあ私が一緒に付き添います！
花音,え？
つぐみ,私も最近運動不足かなって思ってたし……今度一緒にお散歩っていうか、どこかへ行きませんか？
花音,つぐみちゃん……ありがとう。えへへ、そうしたら頼っちゃっても……いい？
つぐみ,はい！
イヴ,私もカノンさんのお手伝いをしたいです！。カノンさん、水族館がお好きでしたよね？水族館ならたくさん歩きますし、きっと３人で行けば楽しいです！
花音,イヴちゃんも……。２人とも優しいね。ありがとう
つぐみ,いえいえ、私も花音さんとイヴちゃんとお出かけしてみたいですから
イヴ,そうです！礼には及びません！それに親しき人を助けるのはブシドーの基本ですから！
花音,それでもありがとう。えへへ
紗夜,……私は何をいがみ合っていたのだろう
千聖,……自分の小ささを痛感させられたわね
紗夜,すみません白鷺さん。先ほどは言いすぎました
千聖,いいえこちらこそ。ごめんなさい、紗夜ちゃん
紗夜,薬も行き過ぎれば毒になるように、何事も塩梅が大切ですよね
千聖,ええ。相手のことを思っての行いなんだもの。節度を弁えていれば何の問題もないわ
紗夜,だからさりげなくつぐみさんに予定を聞いて水族館に先回りしよう。これはセーフのハズ
千聖,だからそれとなく花音とイヴちゃんに予定を聞いて水族館に先回りしよう。これは大丈夫のハズ
紗夜,やはり私たちは分かり合えるようですね
千聖,ええ、そうね
紗夜,ふふ……
千聖,ふふふ……
紗夜,あら……もうこんな時間
千聖,楽しい時間は過ぎるのが早いわね
紗夜,すみません、白鷺さん。私はこの後ロゼリアの練習があるので、この辺りで失礼します
千聖,いいえ。有意義な時間をありがとう
紗夜,それはつぐみさんたちに言うべき言葉でしょう
千聖,確かにその通りね。……あ、そうだ、紗夜ちゃん
紗夜,はい？
千聖,最近、日菜ちゃんが寂しがっているわよ。おねーちゃん、近頃つぐちゃんばっかり構ってて冷たいんだ……って
紗夜,日菜が？そうですか……。ここ一週間毎日私のベッドに潜り込んでくるのはそのせいだったのね。すみません、教えてくれてありがとうございます。私としてはそんなつもりはなかったのですが、気付かないうちにあの子に嫌な思いをさせていたみたいですね。今日から少し優しく日菜に接しようと思います。とりあえず私の方から日菜のベッドに潜り込めばいいかしらね……？
千聖,いいえ。困ったときはお互い様だもの
紗夜,私も何かあったら教えますね
千聖,頼りにさせてもらうわ
紗夜,それでは、また
千聖,ええ。それじゃあね。……ふぅ、行ってしまったわね。…………。……私もこのあと雑誌の取材があるのよね。まぁ……まだ平気よね。駅まで早歩きで行って、パパっと現場に行けば……あと１５分はここにいられる。うん、大丈夫ね。ゆっくり花音たちを眺めていましょう……ふふっ
花音,水族館といえば、ハロハピのみんなと言った時に迷子のペンギンさんを保護したんだ
イヴ,迷子のペンギンさん、ですか？
花音,うん。水族館から脱走しちゃってて、駅の近くにいたのを抱っこして送り届けてあげたんだ。可愛かったなぁ、ペンギンさん……
つぐみ,さ、流石ハロハピ……水族館に行くだけでそんなことが起こったんですね
イヴ,ツグミさんもアフターグロウのみなさんと水族館に行ったと、前に言ってませんでしたか？
つぐみ,うん、行ったは行ったけど……私の提案でイルカショーを見てたらみんなずぶ濡れになっちゃって……。まだ３月で気温も低かったからね、みんなに悪いことしちゃったなってちょっと思ったんだ……
イヴ,そうだったんですね。でも、それなら今の季節にイルカショーはピッタリです！
つぐみ,そ、そうかな？
イヴ,はい！３人でビショビショになりましょう！
花音,……一応タオルとか持って行った方がいいかな？
千聖,はぁ……あの何ともない会話。癒されるわ……
