二宮飛鳥,ときに、文香さん
瑞樹,伊集院デカ長に報告ね、わかるわ
菜々,あぁ～ダジャレＧメン懐かしいですねぇ･･･毎回ハガキ送ってましたよ
楓,あの番組私以外にも女性リスナーいたんですね･･･
瑞樹,ラッパーザキバチョフさんとかリスナーもセンスあったわよねぇ～
菜々,ｱｯ･･･ｿﾚﾜﾀｼﾃﾞｽ･･･
瑞樹,うっそあれ菜々ちゃんだったの！？
楓,世間は狭いですねぇ
瑞樹,狭いわ
菜々,あ、あはは･･･
飛鳥,･･･すまない、こっちの話だ
文香,その飛鳥くんというのは･･･？
飛鳥,あ～･･･その、えっとだね･･･
文香,普段言い澱んだり逡巡することのない飛鳥さんが狼狽えています小梅ちゃん速やかに続きを早くハリーハリー
飛鳥,お得意の三点リーダーはどこへやったんだい？
小梅,えっと･･･仲間内での、飛鳥ちゃんの呼び方ですしょ、輝子ちゃんに幸子ちゃん･･･乃々ちゃんとか･･･ら、蘭子ちゃんも･･･
文香,そう、なんですか･･･？飛鳥くん
飛鳥,順応が早すぎる
文香,いえ･････････決して･････そんなことは･････････････
飛鳥,ほらもうさっきの反動が来てるじゃないか
文香,菜々さんは翌々日に来る、と言っていましたね･･･
飛鳥,やめてやりなよ
小梅,菜々ちゃんの腰には一時期･･･首に痣がある赤ちゃんが、しがみついてて
飛鳥,それ本人に言ってないだろうね？
小梅,う、うん私が視たのは･･･暗い洞窟の中で、菜々ちゃんの腕から取り上げられたその子が
飛鳥,待ってくれないか、小梅
小梅,･･･どうしたの？
飛鳥,言ってはなんだが･･･ボクはその類の話、あまり得意じゃないんだ
小梅,えっ･･･！？
飛鳥,なんだいその反応
小梅,い、一週間くらい前に飛鳥ちゃんホラーとか大好きだからたくさん教えたげてね♪って周子さんが･･･
飛鳥,･･･ボクが彼女に一体何をしたって言うんだ
文香,何もしないというのも、時として摩擦を生むものです･･･勉強になりましたね、飛鳥くん
飛鳥,的外れな教示を有難う、文香さん。･･･まぁ、その話はまた今度お願いするよ小梅
小梅,で、でも実はこれ･･･怖い話じゃなくて、いい話なんだけど･･･。うん･･･うん･･･あの子も、そう言ってる･･･えへ
飛鳥,折に触れキミが口にするあの子というのは超自我的な機能の喩えなのかい？
小梅,弔辞、が･･･？
飛鳥,不吉
文香,イド・自我・超自我･･･オーストリアの精神分析学者、ジークムント=フロイトによって提唱された･･･精神構造を３つに分けた概念ですね
小梅,いど･･･井戸？貞子ちゃんの話？
飛鳥,友人か何かみたいなフランクさだね
文香,･･････
小梅,(カチューシャを外して、後ろ髪を前に･･･！？)
飛鳥,ツッコまないよ
文香,･････････････大将、やってる？
飛鳥,えぇ･･･
文香,フレデリカさんに、ご指南いただきました･･･
飛鳥,貴女は一体ドコに向かってるんだ
小梅,ふ、文香さん･･･すごい眼、してる、ね･･･！
飛鳥,･･･そうだったありがとう、小梅
小梅,どう、いたしまして･･･？えへへ
飛鳥,ボクが呼ぶ前に部屋にいたんだろ先刻の話は聞こえていたかい？
小梅,じょ、成仏できない霊たちが･･･芳乃ちゃんのところに集まってるって話？
飛鳥,歌鈴さん面目丸潰れじゃないか
小梅,でも2割くらいは、クラリスさんに相談に行くらしい、よ･･･
飛鳥,ココ、本当にアイドル事務所にしておいていいのか･･･？
小梅,く、クラリスさんが･･･いつも眼を閉じてるのはね
飛鳥,今日のキミは絶好調だね
小梅,その方が、よく視えるからなんだって･･･
飛鳥,･･･そろそろ、本題に入らせて貰っても？
小梅,あぅご、ごめんなさい･･･文香さんの本、だっけ
飛鳥,そう、キミが適任だと思った
小梅,でもこれ･･･英語、なんだね
飛鳥,･･･なるほど、失念していた語学に堪能な千夏さんあたりに---
小梅,えと、タイトルは･･･ざ、かるつ･･･っ！？
飛鳥,お願いしようか---
小梅,(こ、これって･･･！)
飛鳥,埼玉の唯の写真でも掴ませれば喜んで---小梅？
小梅,ひゃ、ひゃいっ！？
文香,可愛い(どうかされましたか？)
小梅,あ、な、なんでもない･･･です
飛鳥,認識できているボクが言うのもなんだがソレはどう表現してるんだい
小梅,あの･･･私、こういう文献にく、詳しい友達いるから･･･大丈夫、だよ？
飛鳥,ん、そうなのかオカルト界隈には顔が広いってトコかな
小梅,そんな感じ･･･です
飛鳥,で、だ具体的な内容なんだが---
小梅,---うん、うん･･･分かったがんばるね
飛鳥,文香さんの眼が一過性のモノであれば蒸しタオルでも乗せておけばいいんだが、そうでない場合が怖いからな
小梅,わ、私たち･･･アイドル、だもんね
飛鳥,その通り、ステージで眼を血走らせて歌うアイドル･･･なんてのは、些か刺激的に過ぎる
小梅,私は、それも魅力的かなって･･･思うけど･･･
飛鳥,キミなら案外、パフォーマンスとして遣って退けるんじゃないか？
小梅,そ、そうかな･･･えへへ
飛鳥,可愛いなキミは
小梅,あぅ
飛鳥,充血とまでは行かずとも、カラーコンタクトなんか良いんじゃないか
小梅,こ、コンタクト入れたことなくて･･･ちょっと怖い、かも
飛鳥,オフで見かけた時メガネをしていたようだけど、アレは変装で？
小梅,うん･･･私、眼は良い方だから。そ、それにあのメガネ･･･プロデューサーが初めてくれたプレゼント、なんだ
飛鳥,へぇ、彼が意外だね
小梅,まだデビュー前だったのに、おかしなプロデューサーだよね･･･♪
飛鳥,全くだ･･･っと、少し話しすぎたか
文香,･･････
小梅,寝ちゃってる、ね
飛鳥,フフ、無理もない一晩中魔道書とにらめっこだ
小梅,･･･原典は今、日本にないはず･･･つまり昨日の川島さんは
飛鳥,小梅
小梅,は、はいっ
飛鳥,好奇心は猫をも殺す
小梅,･･･！
飛鳥,･･･決して、間抜けな猫になってくれるなよ
小梅,！うん･･･っ
飛鳥,長々と悪かったね時間、大丈夫かい？
小梅,だ、大丈夫･･･さっき丁度、レッスン終わったところだったから･･･
飛鳥,そうかん、その袖じゃ持ちにくいかな
小梅,う、ううん、それも大丈夫･･･ん、しょ。それと、飛鳥くん代わりに、っていうわけじゃないんだけど･･･
飛鳥,何だい
小梅,文香さんの方の解読が終わったら、その･･･ちょっと借りたくて
飛鳥,･･･本当にボクの話聞いてたのか？
小梅,う、だめかな･･･？
飛鳥,･･･労働には、それに見合った対価が与えられねばなるまい。それはキミとボクのような関係に於いても変わらない･･･そうだろう？小梅
小梅,じゃ、じゃあ･･･
飛鳥,程々にねこれでも柄になく信頼なんて抱いてる数少ない一人なんだ、失望させないでくれよ？
小梅,えへへ･･･飛鳥くん？
飛鳥,フン、ボクの気が変わらない内に早く行った方が---
小梅,だーいすきっ
飛鳥,だ･･･！？馬鹿かキミはっ！？
小梅,あ、間違えちゃった･･･♪ありがとうっ
飛鳥,一体どこをどうしたらそんなヒューマンエラーを･･･はぁ。と、とにかく！何か進展があれば連絡してくれ
小梅,はーいっ
飛鳥,･･･あ、魔道書で両手が---。---塞がっているのにどうやって閉めたのかは、考えない方が良さそうだ。(･･･この判断が誤りでなければいいんだが)
文香,･･････
飛鳥,渦中の姫君は夢の中、か
文香,ん･･･
飛鳥,おっと。･･･目の前で安心して寝ていられる程度の信頼は勝ち得ている、とそう捉えておくのが吉かな。(フフ、ただの生理現象に理由なんか求めてる)。ボクもココに来て随分と毒されてしまったみたいだね。天才娘の言を借りるなら、化学反応。もう･･･後戻りの出来ない。(時間が可逆であったなら、或いは･･･こんな感慨を抱くことも無いのかも知れないな)。尤も、ヒトとしては喜ばしい方を向いてるんだろうけれど。(それにしても安らかな寝顔･･･こちらまで微睡んでしまいそうになる)。一種の魔力とでも言おうか、欠伸が伝播するように･･･ふぁ。(･･･？文香さんの口が動いて･･･寝言か)
文香,-----
飛鳥,ココはひとつ、ご拝聴願おうじゃないか。(寝言は魂の言葉、なんて迷信もあったかな･･･文香さんはどんな)
文香,v歹hﾆopNm弋gj丐tmpjg夭mjpﾃﾞ7tﾛ襾
飛鳥,。･･･Zzz
文香,o?ypt叉>gj%kl茘t、jgt阿pjgt、8g豈、ml･････。------♪～～♪
飛鳥,･･･ん
文香,あ、おはようございます飛鳥さん
飛鳥,文香さ、ん･･･ッ！？
文香,あう
飛鳥,い～～～ッ！！
文香,･･･そんなに転がると、服を汚しますよ
飛鳥,何故文香さんは平気なんだい･･･！？
文香,読書をしていると、しばしば塀や電柱にぶつかってしまうので･･･それが原因かも知れません
飛鳥,徒歩での移動中に読書は如何なモノかと思うがね･･･
文香,どうしても続きが気になるので、仕方ありませんね
飛鳥,イヤにふてぶてしい。･･･それはともかく、非常に訊きにくいコトなんだが
文香,はい
飛鳥,ボクはどのくらいの間･･･文香さんの膝を占領していたのかな
文香,今が大体、七時半なので･･･大体4時間ほどでしょうか
飛鳥,よっ･･･！？。･･･迷惑だったろう、すまなかった
文香,いえ、私も今し方起きたところですので
飛鳥,デートの待ち合わせじゃないんだから
文香,それに、責任の一端は私にもありますし
飛鳥,･･･それは、どういう
文香,私は、その･･･直近に読んだ本の内容を、寝言で諳んじることがあるようでして･･･
飛鳥,ほう
文香,そういう場合、私は決まって･･･夢の中でも本を読んでいるんです
飛鳥,寝ても醒めてもそうなんだね、文香さんは
文香,はい、恥ずかしながら･･･それで、先ほどまで読んでいたのは件の魔道書だったんです
飛鳥,･･･うん？
文香,少し話は逸れますが･･･飛鳥さん、レム睡眠をご存知ですか？
飛鳥,RapidEyeMovementのイニシャルを取ってレム睡眠、だったかな
文香,流石ですレム睡眠は所謂浅い眠りのことで、急速眼球運動が見られる事からアメリカはシカゴ大学のユージン・アセリンスキーとナサニエル・クレイトマンらの研究によって1953年に発見･･･RapidEyeMovementの頭文字から命名されました。一般に、人間は睡眠深度の波形を90分から120分を1周期としてレム睡眠･ノンレム睡眠を繰り返す、と言われています
飛鳥,ふむ
文香,次に両者の役割ですが･･･青の二宮さん早かった！
飛鳥,唐突にバラエティ然としてきたね
文香,思いの外楽しく･･･胸の高鳴りが抑えられません
飛鳥,ソレが今日一番の仏頂面貼り付けてする発言かい？
文香,6･･･5、43210！･･･時間切れです
飛鳥,理不尽
文香,･･･疾く、お答え下さい
飛鳥,膨れるくらいなら早押し形式のままで良かったんじゃないかな･･･全く。睡眠自体の機能は確か･･･身体の休息と覚醒時に得た情報の整理、だったかなそれだけでは無いんだろうけど
文香,ブラボー！おお･･･ブラボー！！
飛鳥,文香さん、案外マンガにも手を出してるんだね･･･
文香,基本的にお勧めされたものには一通り目を通すようにしていますので･･･
飛鳥,流石は濫読家、といったトコロか
文香,ブライト・ブルー本来のスピードをお見せしよう･･･！
飛鳥,果たしてカチューシャひとつでそこまで変わるモノかな
文香,･･･飛鳥くんいやらしい
飛鳥,どういう思考回路してたらそんな返しが出てくるんだい！？
文香,ふふ冗談です
飛鳥,文香さんのそのフレーズに対する信頼はどこから来るんだ
文香,話を戻しますね
飛鳥,明言までして逸らしたのは貴女だったハズなのになんなんだいその態度
文香,身体は眠っていても脳、神経が起きている状態ということは、ある程度の刺激を受容するということでもあります
飛鳥,･･･して、先の話とはどう繋がるんだい
文香,飛鳥さん、慌てる乞食は貰いが少ないと言いまして
飛鳥,気が逸ったのは謝るがワードチョイス些か尖りすぎてはいないか？
文香,続けてよろしいですか？
飛鳥,･･･いい加減ボクの方がおかしいんじゃないかと思えてきたよ
文香,夢の中で、ソファに腰かけ件の魔道書を読んでいた私は･･･隣で眠そうにして座っている飛鳥さんに気付きまして
飛鳥,ほう
文香,今日は私事で散々振り回して申し訳なく感じたので･･･
飛鳥,自覚してアレなら尚のこと性質が悪いんじゃないかな
文香,ゆっくり眠れるように魔法をかけて差し上げようと思いまして
飛鳥,途端に思考がメルヘンだね
文香,ゆ、夢の内容というのは得てして理解不能であったり突拍子もないものが多いはずです…特別私がどうこう、というわけでは…///
飛鳥,フフ、そういうコトにしておこうか･･･続けてくれ
文香,と、とにかく…寝かせてあげたい、と考えた私はですね…
飛鳥,こうしていれば可愛らしいヒトにしか見えないんだがね･･･5つも年下に可愛らしい、なんて評されていると知ったら、またそんな顔を見せてくれるだろうか
文香,丁度本に載っていた呪文を
飛鳥,はいストップ
文香,…なんでしょう
飛鳥,あの魔道書に載っていた呪文を？
文香,はい
飛鳥,ボクに？
文香,はい
飛鳥,･･････可能であれば聴きたくなかったんだが、ソレの内容を掻い摘まんで教えてくれないか
文香,件の魔道書、CultsoftheGhouls…屍食教典儀とでも訳しましょうか。主に執筆以前のヨーロッパにおけるカニバリズムとそれが持つ宗教的、民俗的意味…儀式の手順やそれに依って持たらされるであろう恩恵が詳らかに記してある、というのが本書の概略になります
飛鳥,…頭が痛くなってきた
文香,呪文が効きすぎたのでしょうか
飛鳥,ッ、そうだ呪文！聴かせてくれ、過失と謂えども文香さんには語る義務があるハズだ…！
文香,…私は先ほど、〔意識の剥奪〕という呪文を
飛鳥,なるほど、その言い回しには惹かれるモノがある…が、ボク自身がその標的だったかと思うとゾッとしないね
文香,はい…こちら、強制的に対象の精神力を削り取って昏睡させる術ですので
飛鳥,そんな物騒な呪いをメルヘン呼ばわりされて赤面してたのかい？
文香,用法・用量を守れば、決して危険な代物ではないのですが…
飛鳥,製薬会社のCMじゃあないんだぞ…！。そもそも、昨日受け取った本をそこまで熟読できているのか？
文香,偽島さんに付箋を貼っていただいた箇所は、一通り憶えていますが…
飛鳥,理解りやすさを重視するコト自体は咎めないけれどね…その呼び名はもう少しどうにかした方がいいんじゃないかな
文香,飛鳥さん、呼称や代名詞というものは相手に伝わればそれでいいんですよ
飛鳥,おおよそ読書家が口にしていいセリフではないね･･･
文香,…ひとつ、言い忘れていた事がありました
飛鳥,いいだろう…ここまで来たらトコトン付き合おうじゃないか
文香,最初に魔道書の話になった時、私が偽島さんに頼まれ事をしたと…そう言ったのを憶えていますでしょうか
飛鳥,ああ･･･今の今まで全く触れられないモノだから忘れかけていたよ
文香,流石です、飛鳥さん
飛鳥,さっき同じセリフを言われた時とは随分ニュアンスが違うね！？
文香,頼まれ事は全部で三つ…
飛鳥,拓海さんなら手が出ているトコロだよ
文香,ひとつめは、一両日中に付箋貼付部の内容を把握する事
飛鳥,仕事で使う…そう言い含められていたならこれは仕方ないね
文香,ふたつ…今日、事務所でひとつめを継続して行う事
飛鳥,オフなのに事務所にいたのはそういうワケだったのか
文香,いえ、予定のないお休みの日は事務所で本を読んでいる事が多いので…こちらも快くお受けしました
飛鳥,とすると、偽島さんはそれも織り込み済みだったってコトになるね
文香,はい、恐らくは…そして三つめですが、
飛鳥,ああ
文香,然るべき時が来ればわかるわ…との事で、その時は教えていただけませんでした
飛鳥,…して、その然るべき時はいつ貴女に？
文香,私が一発芸の折に外したカチューシャから、この便箋折りのメッセージカードが落ちまして…
飛鳥,便箋折りなんて絶妙に川島さんのキャラを捉えている辺りに苛立ちを覚えるよ…どれ。白坂小梅に魔道書を譲渡せよ……ッ？！
文香,はい、それに加え-----
飛鳥,貴女はコレを読んで尚、小梅の手にCGが渡る事を許したのか！？
文香,あ、飛鳥さん落ち着いて…隅に描かれている紋様を見て下さい…っ！
飛鳥,ッ…すまない、少し熱くなりすぎた
文香,ｹﾎｯ…いえ、非は私にありますから…ここです
飛鳥,これは…アルファベット、では無さそうだが
文香,ゲルマン諸語の表記に用いられた、ルーン文字です…今は何の効力もありませんが、便箋が初めて開かれたタイミングで発動するよう設計されていたらしく…
飛鳥,…文香さんも意識を奪われた、と？
文香,ええ･･･飛鳥さんに私が行使したものとは、多少アプローチが異なるようでしたが。魔道書の儀式の項には夢見の冠は瞳を啓くといった記述がありました。前後の文脈から推察して広義に解釈するなら…感受性の拡充、鋭敏化…魔道の世界では双方向の交信、或いは高位の存在からの一方的な受信を可能にする物、として認識されているのかも知れません…
飛鳥,そうなると、こちらも偽島さんの恣意的な操作が働いている可能性がある…いや、確実にそうなんだろうね
文香,私の動きを封じつつ、小梅ちゃんに魔道書を渡してから飛鳥さんをも昏睡させる…概ね、そのような筋書きではないかと
飛鳥,であるなら、目下最大の問題は…
文香,偽島さんの目的…ですね
飛鳥,ああ、それが分からないコトには対策の立てようがない…情報を整理しながら動こう行くよ、文香さん
文香,え、あの、どこに…？
飛鳥,…チッ小梅には繋がらないか、当然と言えば当然だが
文香,何か、邪魔立てされたくない事情があるのでしょうか…？
飛鳥,文香さん、小梅の行き先を掴む為ボクらはこれから女子寮に向かう…だがその前に。もしもし、ボクだ。少しね今は寮の部屋に？。それは何より、急ぎの用なんだ隣の小梅は帰って来ているかい？。一度戻って来ている…というコトは。蘭子、繋いだままでいい小梅の部屋の様子を見て来てくれないか。謗りなら後でボクが幾らでも受ける･･････お願いだ。それにボクの推測が正しければ、小梅もソレを望んでいるハズだ。頼まれてくれるかい？。ありがとう、恩に着るよ
文香,あの、飛鳥さん…
飛鳥,なんだい文香さん
文香,小梅ちゃんの部屋には…ホラーグッズやDVDが、山と置いてあるように記憶しているのですが
飛鳥,…祈ろう
文香,十字を･･･
飛鳥,世間に逆行してフィーチャーフォンを使い続けていたのが功を奏したね…。ビンゴ
文香,･･････
飛鳥,出来ないなら無理にしなくても。それと蘭子、ドアは少し開けておいてくれ。フフ･･･都には悪いが、明日から探偵事務所でも開こうかな。ボクらは小梅とその部屋に歓迎されてるってコトさ蘭子、書き置きかメモのようなモノはないかい？
文香,･･･蘭子さんは、今何と
飛鳥,冷蔵庫に貼られていたと
文香,なるほど･･･何か解読する上でコツのようなものが？
飛鳥,ボクの中で何か、確固たるメソッドがあるワケじゃないんだ
文香,では、どういう事なのでしょう･･･
飛鳥,そうだな、喩えるなら･･･ラム肉にしか出せない風味や柔らかさ、とでも言おうか
文香,ラム肉、ですか？
飛鳥,ああ･･･1歳未満の、歯の足らない仔羊からしか得られないモノがソレだ。同様に、と言うと些か強引かも知れないが･･･思春期で14才のボクら二人も、そういった期間の限られた価値に囚われている。なればこそ、ボクは彼女にシンパシィを感じずにはいられないんだ多少ベクトルが違っていたとしても、ね
文香,･･･総括すると、お二人は仲がよろしいのですね
飛鳥,解釈は自由さ。あぁすまない蘭子、紙にはなんと？。･･･驚いたな
文香,ええ、小梅ちゃんの真似がこんなに上手いなんて
飛鳥,頼むからもう少し場の雰囲気を汲んでくれ･･･
文香,･･･飛鳥さん、これは
飛鳥,文香さん？心当たりでも、。･･･････････蘭子？。おいッ、どうした蘭子！？
文香,･･････！飛鳥さん、急ぎましょう！
飛鳥,文香さん！？一体何がっ
文香,状況を鑑みるに、私が便箋のルーンを目にした時と同じかと、ただ･･･
飛鳥,ただ？
文香,魔道書には〔意識の剥奪〕とは比べ物にならない程･･･危険な呪文も
飛鳥,･･････結論を急いてこのザマか
文香,飛鳥さん、蘭子さんにかけ直して携帯を鳴らして下さい･･･寮生の誰かが気付いてくれる事を祈りましょう
飛鳥,ああ、理解ってる･･･クソッもうすぐ女子寮だ、走るぞ！
文香,はいっ！。はい、はい･･･社員証はこちらに･･･
飛鳥,無事でいてくれ･･･！。！？･･･もしもし。輝子さん？蘭子は無事か！？。･･･今は小梅の部屋に？。説明は顔を合わせてからにしよう･･･少しその場で待っていてくれ。お邪魔するよ
星輝子,や、やぁ･･･いらっしゃい･･･別に私の部屋じゃないけどな
飛鳥,･･･ベッドに、寝かせておいてくれたのか。ハァ･･･もういいよ、文香さん
文香,分かりました
輝子,文香さんもいたのか･･･その手に持ってる四角いの、なんだ？
文香,鈍器です
輝子,ﾌﾋｨｯ！？･･･あ、よく見たら本、みたいだな
文香,ばれてしまいましたか
飛鳥,･･･文香さん、ボクは貴女に殿をお願いしたハズだが？
文香,何か武器を、との事でしたが･･･なにぶん急な話でこれしか用意できず･･･申し訳ありません
輝子,ﾌﾋ･･･近くで見てもタダの本にしか見えない･･･スゴい厚さだけど
文香,本は本でも･･･これは護身用です
輝子,護身用の、本･･･！？
飛鳥,基本的にその二語が結びつくコトは無いと思うんだが。この風体でよく本だと分かったね、輝子さん
輝子,せ、背表紙が見えたからな･･･。･･･ん、なんで文香さんは鈍器構えてたんだ？
飛鳥,キミがボクらに害なす者だった場合の、予防線だよ
輝子,どゆこと･･･？
文香,私達は輝子さんが敵である、もしくは貴女が輝子さんに扮した闖入者かも知れない･･･そう疑っています今もなお
輝子,おいおい･･･冗談キツいぜ。お、脅かさないでくれ･･･
飛鳥,フフ、すまなかった。ところで輝子さん、床にメモが落ちていなかったかい
輝子,ん、小梅ちゃんからのメッセージだろ？テーブルの上にあるぞ･･･ﾌﾋ
飛鳥,･･･ソレ、裏も読んだのか？
輝子,え、裏にも何か書いてあったのか･･･
飛鳥,ああ、まだならいいんだ･･･借りるよ
文香,飛鳥さん!？何を-----
飛鳥,ままよ。･･･異常なし、か。便箋のルーンは二文字･･･コレは一文字共通するのは、アルファベットの"I"に似ているコレか。文香さん、このルーンはどういへぶッ
輝子,本を顔面に･･･！？
飛鳥,ちっ･･･血迷ったか文香さん！？
文香,それはこちらの台詞です！。今、自分が何をしたか分かっているのですか･･･？
飛鳥,理解っているさこの上なく明瞭に、ね
輝子,は、話が見えないんだけど･･･？
飛鳥,貴女の考えているコトも大方の予想はつく･･･無用な危険を冒すべきではないと、そう言いたいんだろう
文香,では何故っ
飛鳥,蘭子を巻き込んだのが、ボクだからだよ
文香,･･･！
飛鳥,文香さん貴女はさっきの通話を聴いて、自分と同じかソレ以上に厄介な状況に蘭子が置かれているのではないか、と危惧したそうだね
文香,･･･えぇ
飛鳥,そしてその現状を確かめる方法はひとつ･･･ルーンの確認だ。ソレさえしてしまえば、効力が一度のみであるかに加え紋様を検めるコトも出来る･･････ボクにはソレが出来た、だからそうした。それだけのコトさ
文香,本当にそれだけですか？
飛鳥,ああ危険を冒さずに何かを得ようだなんて、烏滸がましいにも程がある
文香,先ほど結論を急いてこのザマか、そう仰いましたね？今の飛鳥さんと、先ほどのあなた･･･一体何が違うと言うのでしょうか
飛鳥,･･･それは、
文香,ここで倒れてもいい、と･･･そう思ったのですね。あなたはまだそんな事を･･･っ！
飛鳥,ぐ･･･ッ！
輝子,マウント･･･！？ふ、文香さん、暴力は･･･
文香,輝子さんは静かにしていて下さい！！
輝子,あ、ハイ･･･
文香,いいですか、飛鳥さん･･･蘭子ちゃんを巻き込んでしまったご自分を責める気持ちは分かります
飛鳥,･･････
文香,しかし私達は今、目指すべき場所すら分からない霧中にいるのです･･･闇雲にひた走ったところで時間を無駄にするだけ、違いますか？
飛鳥,･･･なら、。なら一体どうしろと言うんだ！。結果論でしかないが･･･あの時、蘭子を部屋に向かわせる必要は無かったメモだって、在り処だけ確認させれば、決して読ませる必要は無かったんだ･･･。ボクは蘭子を危険に晒してしまった、無用な危険に！
文香,飛鳥、さん･･･
飛鳥,そこで今、安らかに眠っているように見えるが･･･エスパーでもないボクらが、頭やカラダの中身まで見通すコトは出来ない。･･･ここに着くまでの短い時間で散々考えたよ。もし、外面を見ただけでは理解らないような、致命的な何かが奪われてしまっていたなら。それをボクも、供に背負うべきなんじゃないか、って･･･
文香,･･･飛鳥さん杞憂ではありましたが、もし仮に蘭子ちゃんの身が危なかったとして･･･飛鳥さんがそうする事を、彼女が望むとお考えですか？
飛鳥,そんなコト、本人に訊いたって理解らないさ
文香,いいえ、分かるはずです･･･あなたになら
飛鳥,･･････
文香,だって･･･そうでしょう。最初にあなたを巻き込んだのは、私なんですよ･･･？
飛鳥,･･･ッ
文香,あ･･･
飛鳥,気付いてあげられなくて･･･ごめん
文香,飛鳥、さん
飛鳥,仲間の為と嘯いて、己の事しか見えていなかったボクの責任だ
文香,え、あの･･･///
飛鳥,たとえ、息遣いを感じるような距離で視線を交わしたとて･･･何も理解りはしないが
輝子,涙を指で･･･！？
飛鳥,コトバなんかに逃げなければ、温もりに身を委ねる事も出来る･･･。ボクは此処にいるよ、文香さん
文香,･･･ご、
輝子,ご･･･？
文香,誤魔化されませんよ･･･っ
飛鳥,はは、手厳しいな
文香,でも･･･許して差し上げます
飛鳥,･･･ああ
輝子,今なら良いシャウトが出来そうだゼェ･･･！
飛鳥,そろそろ、落ち着いたかい
文香,はい･･･お見苦しいところを、とは言っても。飛鳥さんを戒めていたはずの私が逆に慰められている現状には･･･些か承服しかねますが
飛鳥,･･･取り急ぎ、情報の整理から始めようか
文香,･･･そうですね
飛鳥,まず順を追って、ボクらがココに来た理由からだ
文香,小梅ちゃんの捜索、及び足跡の確認ですね
