市ヶ谷有咲,話って？
美咲,あ、今ちょっとデレなかった？
有咲,デレてませーん
美咲,そっかー
有咲,そうだよ。つか私のことより弦巻さんのことじゃねーの、今は
美咲,あ、そうだったね。あたしから話してたのに
有咲,それで、奥沢さんはどうしたいんだよ
美咲,怯えるこころに何をしたいかって話？
有咲,ちげーよ。怯える弦巻さんに何する気だよ……いやいい、言わなくていいから
美咲,え、聞かないでいいの？
有咲,その笑顔見たらロクでもないことだって分かったからいい
美咲,そっかぁ。怯えるこころにわざと意地悪く接してちょっと不安にさせてから超優しくする、っていうギャップ萌えは筒抜けかぁ。怯え顔から一転、安心して天使かと見間違えるほどパッと輝いた笑顔になるんだけどちょっとだけ目尻に涙が浮かんでるところがイイって、やっぱり分かるよね
有咲,言わなくていいって言ったよな、私？
美咲,ごめんつい……想像したら口にしたくなって
有咲,はぁ……ほんと弦巻さん絡むとロクでもねーよこの人。しかも奥沢さん、言うだけ言って実際にそんなことやれないヘタレだし。ぜってー弦巻さんの怯えるとこ見て可哀想だから出来ないって言うよ。なのにパクチーだけでキレるって怒りの沸点がマジで分かんねー……
美咲,失礼な、あたしはいつでも一般的な常識人だよ
有咲,出会った当初は私もそうだと思ってた。最近はまったく反対の印象だよ
美咲,あたしを惑わせるこころが悪い
有咲,開き直んな
美咲,あたしに色んな世界を教えてくれたこころが大好きです
有咲,聞いてねーよ。松原先輩と奥沢さんは普通、って思ってたけど奥沢さんもしっかり頭ハローハッピーワールドだよ。松原先輩の胃が心配だよ
美咲,そんなに褒められるとちょっと照れちゃうよ……えへへ
有咲,もうツッコミ放棄しようかな……。うわっ
美咲,あれ、こころから電話だ
有咲,……スマホの着信音、弦巻さんの声にしてんの？
美咲,あ、いやいや、勘違いしないでよ？こころからの電話とメールとショートメッセージとメッセージアプリと呟きアプリの通知にしか設定してないよ？
有咲,それで何をどう勘違いするなって言うんだよ
美咲,だ、大丈夫だって。ちゃんとこれ、こころに頼んで録音させて貰ったやつだから。盗聴じゃないよ？
有咲,その心配は半分くらいしかしてねーって。つか出てやれよ
美咲,……いや、こころが怒ってたらどうしようって急に思ってさ
有咲,本当にヘタレだな奥沢さんは……
美咲,し、失礼な。あたしだってやる時はやるんだよ。ここ一番ではこころにだってガッと言えるもんね
有咲,パクチー出された時がここ一番かよ。ああもう、着信音気になるからさっさと出ろって！同じセリフもねーしワンループで何秒かかんだよそれ！
美咲,１８０秒
有咲,無駄になげぇ！もういい、スマホ寄越せっ
美咲,わ、ちょ、ちょっとまだ心の準備が……
有咲,知るかっ！
美咲,つ、繋がっちゃった……！あっ、こっ、こ、こころ！？
有咲,初っ端から声裏返るとかどんだけヘタレてるんだよ……
美咲,う、うるさいなっ――あ、ち、違うよ！？こころに言ったんじゃないよ！？
有咲,はぁ……喉乾いた。コーラ飲も
美咲,え、お、お昼の件！？あ、ああうん、アレね、アレはなんていうか……その……
有咲,…………
美咲,あ、いや、アレはあたしが悪かったよ。その、ごめんね？
有咲,…………
美咲,ううん、こころが謝ることなんてないってば。うん、怒ってない。むしろこころに申し訳なくて……
有咲,あ、ポテトなくなった
美咲,え、そんな！あたしがこころのこと嫌いになるなんて有り得ないってば！アレは本当に、あたしのワガママだったからさ……本当にごめんね、こころ
有咲,奥沢さんのポテト食お
美咲,うん、うん……ううん、あたしもこころのこと大好きだよ。当たり前だよ
有咲,…………
美咲,ほんとにごめんね？でもパクチーだけは今度から控えてもらえると……うん、ありがと
有咲,あ、コーラもなくなった
美咲,お詫びなんていいって！こころがまたお弁当作って来てくれればそれ以上の幸せはないよ！
有咲,奥沢さんのアイスティーもらお。間接キスは香澄以外としたくないからストローは私ので
美咲,うん、うん……うん。また明日も一緒にお弁当食べよう。……えっ？遊ぶって……これから？
有咲,私に構うな
美咲,……うん、分かった。じゃあこころの家に行くね？うん、それじゃあまた……
有咲,良かったなー仲直り出来て
美咲,うん、ありがと。それとごめん。あたしから誘っといて……
有咲,目の前でノロケられたら堪ったもんじゃねーからな、これは私の為でもあるんだよ。ほら、分かったらさっさと行けって
美咲,……あたし、市ヶ谷さんのそういうとこ好きだよ
有咲,そりゃどーも。ポテトとアイスティーは迷惑料な
美咲,それくらい安いもんだよ。じゃ、ちょっとこころの家に行ってくる
有咲,はいはい。パクチー出されてもキレんなよ
美咲,こころがあーんしてくれるって言ってたから平気
有咲,そーかよ
美咲,それじゃまたね、市ヶ谷さん。話、聞いてくれてありがと
有咲,おー。…………。……はぁ、結局ノロケ聞かされただけじゃん、私。まぁいつも通りの流れだからいいけどさ……奥沢さんとどっか寄り道すると大抵そうなるんだよなぁ。……私も香澄に電話しよ。スマホぽちっと。うわ、出んの早っ！？。あ、ああ、ううん、なんでも。香澄、電話出んの早ぇーなって。……はぁっ？私からかかってくるんじゃないかなって思った？。なんだよそれ、まるで以心伝心じゃねーかよ……えへへ。なっ、べ、別に喜んでねーし！。ったく、勘違いすんなよな……え？いや、別に用はないけど。なんとなく。そう、なんとなく。あーはいはい。私もお前の声が聞けて嬉しいですよー。あそうだ。用事思い付いたわ。いま暇か？ああ、ちょっと時間が出来てさ。うん、そうそう。どこかに行かないかって。で、デート！？ちげーよ、そういうんじゃねーよ！。……いや、そんな落ち込んだ声出すなよ……そ、そりゃ私だってそういう気持ちはなくもないけどさ……。あーうっせー！大好きとか言うな！言うなら電話じゃなくて面と向かって言え！！。……そうだよ、悪ぃかよ。私だって、その……アレだよ、アレ。うっせー！分かったよ、面と向かって言ってやるからっ！……ああ、じゃあ今、私は商店街にいるから――……
丸山彩,…………
松原花音,…………
彩,あの２人って、なんていうか……アレだね
花音,うん……でも美咲ちゃんの方がヒドイかな……
彩,……そうかな。有咲ちゃんも大概だと思うよ
花音,……そんなことないよ。美咲ちゃん、ハロハピでもっと……その、アレな時があるから……
彩,……そっかぁ
花音,……うん
彩,花音ちゃん……いつもお疲れ様です
花音,ううん、もう慣れたから平気だよ……。練習中はミッシェルなのを良いことに、こころちゃんに色々する美咲ちゃんに……
彩,色々、かぁ……
花音,色々、だね……
彩,…………
花音,…………
彩,花音ちゃん、今度一緒にお出かけしよっか
花音,えっ？
彩,……話、聞くよ？
花音,彩ちゃん……ありがとう
彩,ううん、気にしないで。じゃあ今度の日曜日にでも
花音,うん、楽しみにしてるね
