彡(―)(―),ふぁ～あ...
彡(ﾟ)(ﾟ),とにかくどうにかせんと...
(´・ω・`),急ぎで症状を緩和する薬をつくろう！。...できた！これを飲もう！
彡(ﾟ)(ﾟ),少しは楽になったで...
(´・ω・`),でもひどい有様だ...外をみて。多分ここら辺みんな感染してる！ニュースみよう！
TV,速報です！今恩慈英区で謎のウイルスが人々を苦しめています！。ウイルスは先日アフリカで発見された新型ウイルスとは異なるもののようです！感染すると高熱が出て脱糞してしまうようです！。少なくとも現段階で栃木県に感染者が出たもようです！
(´・ω・`),大変だ！なんでこんなことに...？
彡(ﾟ)(ﾟ),原因はおんちゃんしか考えられへんやろ！はよよんでくるで！
(o'ω'n),なんだおん？
彡(ﾟ)(ﾟ),おんちゃんはなんともないんか！？
(´・ω・`),とにかく検査しよう！。やっぱりウイルスでたよ...そういうことか...
彡(ﾟ)(ﾟ),？
(´・ω・`),おんちゃんはアフリカで新型ウイルスに感染した...。けどおんちゃんの中にある何か強大な力が、ウイルスを変異させたんだ！。それならおんちゃんの特徴である脱糞が症状に加わってるのも納得できる...
彡(ﾟ)(ﾟ),未知のウイルスでさえ自分のものにするおんちゃんは一体何者なんや...？
TV,今ついに四国で初の感染者が出たとの情報が入りました！ウイルスはっ、うっ...！。あああああああああああああああああああああああああああああああ！！！！！！！！！！！ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！
(´・ω・`),すごい感染力だ...このままじゃ日本がうんこだらけになっちゃう！
彡(ﾟ)(ﾟ),それ以上にみんな死んでまうで！
(´・ω・`),なんとかしてとめないと...！。病気を治せる薬、この病気のワクチンを作るんだ！。おんちゃんで変異したウイルス、いわばおんちゃんウイルスのパンデミックを止めるんだ！
彡(ﾟ)(ﾟ),それ、どうやって作るんや？
(´・ω・`),ワクチンを作るには、抗体が必要になる。実験体、ラットとかにウイルスを少しずつ与えていくんだ。死んでしまうものもいるけど、中にはウイルスに耐え抗体を獲得するものもいる。今は、お兄ちゃんにラットになってもらうよ
彡(ﾟ)(ﾟ),ちょちょちょ、待てや！なんでワイなん！？死ぬかもしれないんやろ！？
(´・ω・`),そうだよ無慈悲。何をしてもよみがえる生命能力、普通の人間にはないほどのポテンシャル...とにかくお兄ちゃんがやるんだよ！
彡(ﾟ)(ﾟ),うぎゃあーっ！。でも蘇るで！もう一回や！
(´・ω・`),ほい
彡(ﾟ)(ﾟ),うぎゃあーっ！。でももう慣れたで！楽勝や！
(´・ω・`),んじゃもうちょっと増やすね
彡(ﾟ)(ﾟ),うぎゃあーっ！。うぎゃあーっ！
(´・ω・`),大丈夫？もうだいぶ投与したけど...
彡(ﾟ)(ﾟ),結構慣れてきたな...だんだん抗体ができてるんやな
(´・ω・`),じゃ最後にもういっちょ
彡(ﾟ)(ﾟ),うぎゃあーっ！。...あれ？なんともないで？体が軽い...
(´・ω・`),ほんと！？抗体ができたんだ！！やったよお兄ちゃん、これでワクチンが作れる！！
彡(ﾟ)(ﾟ),これでみんなを治せるんやな...
(´・ω・`),よしっと！ワクチンができたよ！早速試そう！。うぎゃあーっ！。おっ...いいぞ！便意が消えていく！成功だ！。今おんちゃんウイルスは日本を飛び出して外国にも感染者が出てる！
彡(ﾟ)(ﾟ),でもこれでパンデミックは止められるな！
(´・ω・`),いや...まだ問題が...
彡(ﾟ)(ﾟ),なんや？
(´・ω・`),今言った通り、世界には大量の感染者が出てる。一人一人やってたらみんなしんじゃうよ
彡(ﾟ)(ﾟ),まじか...いっそ空からドバーとかやれたら一気にいけるのになあ...
(´・ω・`),空から...？。それだ！！
彡(ﾟ)(ﾟ),？
(´・ω・`),人工降雨ロケットだ！。それを打ち上げて人工の雲をつくり、ワクチン混じりの雨を降らす！
彡(ﾟ)(ﾟ),そんなことが...
(´・ω・`),二人で協力して人工降雨ロケットを作るんだ！。よし...できた！小型だけど...これをいっぱい作るよ！
彡(ﾟ)(ﾟ),でも、打ち上げどうするんや？さすがに日本一周してくるヒマはないで
(´・ω・`),そんなときにこれだよ
彡(ﾟ)(ﾟ),ドローンか？
(´・ω・`),打ち上げる場所をあらかじめ決めといて、そこまでいってうちあげるようプログラミングする
彡(ﾟ)(ﾟ),これでええんか？
(´・ω・`),うん。ここでも降らそう
彡(ﾟ)(ﾟ),お、雨降ってきたで。なんかめっちゃ叫び声聞こえるな...
(´・ω・`),ちゃんと効いてるね
(o'ω'n),なんだこの雨！苦しいおん！
彡(ﾟ)(ﾟ),おんちゃん、頼むからもう勝手に旅に出るのはやめてクレメンス...
