羽沢つぐみ,……おーい、おーい……
蘭,パスパレのスタジオ借りよう。楽曲提供したよしみできっと快く貸してくれるはず
ひまり,じゃあ私、ちょっと彩さんに確認とってみるね！
モカ,あとー、全部のＣＤに付けたらありがたみが薄れると思うんだよね～。だから初回限定盤の20枚だけに付けよっか
巴,だな。最初の２０枚さえ買えない馬の骨につぐの言葉は聞かせられねぇ
蘭,まったくだね
ひまり,あ、彩さーん、今時間ダイジョブですか～！？
蘭,つぐみの都合がいい日は……来週の月曜だっけ
ひまり,はい！ＣＤのオマケで……むしろこっちが本命？みたいな？あはは！
モカ,その日だねー、練習もお店の手伝いもない日は
巴,じゃあそこだな。ひまり、そこで頼む
ひまり,オッケー！。はい。なんで、来週の月曜日に……ええ、ありがとうございます！え？千聖さんが演技指導までしてくれるんですか？はい、ありがとうございます！
蘭,これでバッチリ
モカ,不備なっしーん
巴,完璧だな
ひまり,来週月曜でＯＫだって！千聖さんが演技まで見てくれるってさ！
蘭,怖いほど順調だね
モカ,すーぱーツグってるね～
巴,ああ、ツグってるぜ
ひまり,ぃよーし、みんなでがんばろー！。えいえい、おー！
蘭,…………
モカ,…………
巴,…………
ひまり,そこは乗らないの！？
つぐみ,今日もお疲れさまでした、イヴちゃん
若宮イヴ,はいっ、お疲れさまでした、ツグミさん！
つぐみ,最近、元気なイヴちゃんの接客のおかげでお客さんが増えてるってお母さんが言ってたよ
イヴ,ホントですか！？みなさんのお役に立てているようで嬉しいです！
つぐみ,ふふ、私も負けないようにしなくちゃね。あれ……ひまりちゃんだ。もしもし？。うん、お疲れさま、ひまりちゃん。あ、そうなんだ。みんなでコーラス入れる曲だよね。……似たようなやつ？。うん、大丈夫だよ。うん、また明日。ばいばい
イヴ,ヒマリさんですか？
つぐみ,うん。次の曲、来週の月曜にパスパレのスタジオで録音することになったみたい
イヴ,そうなんですか？それじゃあみなさんをお待ちしてますね！
つぐみ,よろしくね、イヴちゃん。みんなで歌う曲だもんね……私もしっかり喉の調子を整えて練習しなくちゃ。なんて考えて整えたコンディションは別の方面で使われました。くだんの月曜日、パスパレのスタジオに着くと、いの１番に千聖さんに捕まりました。困惑する私をアフターグロウのみんなは頑張れよ、つぐなら出来ると訳知り顔で送り出してくれました。千聖さんに連れてこられたのはパスパレのレッスンルーム、そこで渡されたのは台本。表紙には羽沢つぐみがお世話してくれるディスクの文字。より一層困惑する私に追い打ちをかけるように、千聖さんのものすごく厳しいレッスンが始まりました。1人の演者として半端な演技は見過ごすことは出来ないと豪語する千聖さんのレッスンは泣きそうなくらい激しくて怖かったです。みっちり２時間のレッスンを終えると、今度はスタジオに連れていかれました。楽器なんかが置いてあるスタジオじゃなく、声優さんが収録するようなスタジオでした。そこで目の端に引っかかった利用者履歴の中に、山吹沙綾の文字が書いてあって、そういえば最近元気がなかった沙綾ちゃんの事情がなんとなく察せました。そして始まった収録ではたくさんの恥ずかしいセリフを気持ちを込めて喋らされました。相変わらず鬼教官となった千聖さんに随時ダメ出しをくらって泣きそうになりながらなんとか収録を終えました。やっと千聖さんの恐怖から解放される、と思うとすごく嬉しかったような記憶があります。そしてそんな収録が終わってから1週間後……
蘭,ついに出来たね……通常盤と、つぐみがお世話してくれるディスクが入った初回限定盤15枚……
巴,ああ……こうしてカタチになったものを見ると感慨深いな……
モカ,料金設定も悩んだねぇ……つぐのボイスドラマが入るーってなると
ひまり,まぁね？そこはやっぱり、早さという誠意を見せていただくということで、お値段据え置き税抜き￥1,300でご提供するしかないよね
モカ,でもそれを買う人にはこれがある～
つぐみ,……うぅ
蘭,まるで新婚さんな純白のエプロンをまとったつぐみからの手渡し販売
巴,衣装も悩んだなぁ……
ひまり,お帰りなさいませご主人様なメイドさん派と初々しい新婚さんな普段着にエプロン派……激しい戦いだったね……
モカ,まー今回は趣旨が趣旨だからね……エプロン派に譲るよー
蘭,だね。……ただ、次は譲らないから
巴,へっ、いつでもかかってくるんだな
ひまり,次も返り討ちだよ～！
つぐみ,……どうしてこんなことに……。一戦終えた宿敵と書いて友と読む関係のように、いっそ清々しささえ感じられる4人がどこか遠い存在になっちゃったような気がする……気付いたら残り15枚になってるのって絶対みんなが買ってるよね……。ていうかなんでウチのお店でＣＤの販売するんだろ……お父さんもどうして許可を……まさか限定盤で買収とか……されてないよね……？
巴,おっと、そろそろ開店だな……
つぐみ,それよりも、20枚も刷ったって私なんかのＣＤは売れないんじゃ……。売れたら売れたで恥ずかしいけど売れなかったら売れなかったでそれもなんかヤだな……
蘭,つぐみ、もう開店だよ
つぐみ,あ、うん
ひまり,気合入れてこー！
モカ,ひーちゃんは大人しく静かにしててね～
？？,…………
つぐみ,開店時刻と同時にお店に入ってきた方……サングラスに大きなマスクと、平常時なら通報待ったなしな恰好の方です
？？,…………
つぐみ,その方はまっすぐこちらへ向かってきて――
？？,限定盤、すべて頂けるかしら
蘭,へぇ……
巴,なんと……
モカ,おー……
ひまり,すごーい……
つぐみ,…………。アフターグロウのみんなは感嘆というかそんな感じの反応だけど……え、まさか……？。……１枚1,404円ですので……合計15点で21,060円です……
？？,3万円で
つぐみ,はい、3万円お預かりしますので、お返しが――
？？,結構よ。素晴らしいものを頂いたのだから、それはチップとしてあなたに差し上げるわ
つぐみ,あ、はい
蘭,やるじゃん
巴,すげーな
モカ,かっくいー
ひまり,大人だ
つぐみ,じゃあこちら……限定盤を……すいません、規則ですので1枚ずつ手渡しさせていただきます
？？,大いに結構です
つぐみ,その方は私からの1枚ずつの手渡しにもとても丁寧に応じ、15枚すべてを受け取るととても満足そうに頷きました
？？,では、これで……
つぐみ,そして颯爽と、淡い水色をしたウェーブのかかっている髪を靡かせて、その方は退店されました。……あれってどう見ても……
蘭,まさか大人買いされるなんてね……
巴,まぁ可能性は考えていたけど、１番最初に来た客に全てを持ってかれるとはな
モカ,ひゅー、これは次回作は増版も視野に入れないとっすね～
ひまり,風貌は怪しかったけどすごく丁寧ないい人だったね！
つぐみ,…………。みんな気付いてないってことはきっと私の人間違いなんだろうな。きっとそうだよねそうに違いないよね。……はぁ。次回作へ向けての意気込みを語るみんなを尻目に、私は１つため息をついて呟きます。あとで沙綾ちゃんと悲しみを分かち合おう……
